Itemcode,Itemcode Description,HCPCS Code,Average Price
26134,"SPLINT APPL-FINGER,STATIC",29130,134.00
26144,CL TXMT TRIMALLEOLAR FX W MANP,27818,951.00
26146,SPLINT APPL-LONG LEG,29505,134.00
26147,SPLINT APPL-SHORT LEG,29515,134.00
26164,"REMOVE FB,INTRANASAL",30300,86.00
26165,"HEMORR:NAS,ANT,CAUT/PK,SIMP,UN",30901,152.00
26166,"HEMORR:NAS,ANT,CAUT/PK,SIMP,BI",30901,125.00
26167,"HEMORR:NAS,ANT,CAUT/PK,CMPL,UN",30903,152.00
26168,"HEMORR:NAS,ANT,CAUT/PK,CMPL,BI",30903,167.00
26169,"HEMORR:NAS,POST,CAUT/PH,INITI",30905,152.00
26170,"HEMORR:NAS,POST,CAUT/PK,SUBQ",30906,149.00
26172,"INTUBATION, ET, EMERGENT",31500,345.00
26173,TRACHE TUBE CHANGE,31502,245.00
26174,LARYNGOSCOPY-REMOVE FB,31511,181.00
26175,"TRACHEOSTOMY, EMERG; TRANSTRAC",31603,827.00
26176,"TRACHEOSTOMY, EMERG; CRICOTHYR",31605,"1,827.00"
26180,VENIPUNCT-JUG/SAGIT SINUS<3YRS,36400,46.00
26182,VENIPUNCTURE-OTHER VEIN < 3YRS,36406,23.00
26184,COLLECTION OF VENOUS BLOOD,36415,18.00
26186,INS NON-TUNNEL CV CATH 5YRS+,36556,"1,690.00"
26187,PLACE CV CATH-CUTDOWN 0-5YRS,36555,"1,690.00"
26189,ARTERIAL PUNCTURE,36600,41.00
26190,CATH ARTERIAL-CUTDOWN,36625,203.00
26192,I&D ABCS RTR&PARAPHARYN INTORA,42720,"2,001.00"
26193,I&D ABCS RTR&PARAPHARNG-EXTERN,42725,"4,026.00"
26194,REMOVAL FB PHARNYX,42809,68.00
26195,CONTRL OROPHARNGL HEMMOR-SIMPL,42960,149.00
26196,ESOPHAGOSCOPY-DIAGNOSTIC,43200,"1,399.00"
26198,REMOVE FECAL IMPACT/FB W/ANEST,45915,583.00
26201,ANOSCOPY-DIAGNOSTIC,46600,129.00
26202,ANOSCOPY-REMOVE FB,46608,944.00
26207,BLADDER IRRIGATION-SIMPLE,51700,423.00
26209,"INS BLADDER CATH, COMPLEX",51703,140.00
26213,PELVIC EXAM W/ANESTH,57410,"2,059.00"
26214,REMOVAL FB-VAG IMPACTED W/ANES,57415,"2,215.00"
26215,PUNCTURE SPINAL/LUMBAR-DIAGNOS,62270,"1,146.00"
26216,REMOVE FB EYE/CONJUNT-SUPRFICL,65205,175.00
26217,REMOVAL FB EYE/CONJUNC-EMBEDDE,65210,203.00
26218,REMOVE FB CORNEA W/O SLIT LAMP,65220,207.00
26219,REMOVE FB CORNEA W/ SLIT LAMP,65222,203.00
26220,DRAIN EXTERNAL EAR LESION-SIMP,69000,184.00
26221,REM FB AUDITORY CANAL WO ANES,69200,74.00
26222,REMOVE CERUMEN,69210,78.00
26223,INJECTION-IM,96372,96.00
26225,INJECTION-IV,96374,327.00
26228,CPR,92950,460.00
26248,ER VISIT - LEVEL 1,99281,195.00
26249,ER VISIT - LEVEL 2,99282,310.00
26250,ER VISIT - LEVEL 3,99283,539.00
26251,ER VISIT - LEVEL 4,99284,823.00
26252,ER VISIT - LEVEL 5,99285,"1,153.00"
26253,CRITICAL CARE-FIRST HOUR,99291,"1,837.00"
26254,CRITICAL CARE-ADD'L 30 MIN,99292,470.00
26255,I&D PERIANAL ABCESS-SUPERFICL,46050,494.00
26256,I&D VULVA/PERINEAL ABCESS,56405,543.00
26259,INC THROMB HEMORRHOID EXT,46083,387.00
26260,LEVEL I FACILITY FEE,G0463,189.00
26261,LEVEL II FACILITY FEE,99202,226.00
26262,LEVEL III FACILITY FEE,99203,301.00
26263,LEVEL IV FACILITY FEE,99204,354.00
26277,THORACENTESIS W/O GUIDANCE,32554,"1,225.00"
26280,CPR,92950,460.00
26285,HYDRATION IV INFUSION INITIAL,96360,327.00
26288,DRAIN ABCESS OF PALATE/UVULA,42000,440.00
26292,"IV INF, TX/DX, UP TO 1 HR",96365,327.00
26293,HYDRATE IV INFUSION ADD-ON,96361,64.00
26294,"IV INF, TX/DX ADD-ON",96366,64.00
26295,IV INJECTION SAME DRUG ADD-ON,96376,64.00
26296,"IV INJECTION, ADD-ON",96375,64.00
26298,INJ ANES PER NERVE/BRANCH,64450,438.00
26299,I&D OF SCROTUM,54700,"3,300.00"
26300,UPPER GI ENDOSCOPY,43235,"1,846.00"
26301,INS PICC LINE 5YRS+,36569,"1,690.00"
26302,"REM FB MUSCLE/TENDON,SMPL",20520,"1,846.00"
26305,EGD BIOPSY,43239,"1,846.00"
26306,"EGD;FLEX, W/BALLON DILATION",43220,"1,900.00"
26310,EGD INJ SCLEROSIS,43243,"1,846.00"
26311,CONCURRENT IV INFUSION,96368,64.00
26312,BLADDER IRRIGATION,51700,423.00
26315,EGD BAND LIGATION,43244,"1,846.00"
26316,IRRIG DRUG DELIVERY DEVICE,96523,100.00
26320,EGD DIRECT PLACE PERC GAS TUBE,43246,"2,132.00"
26325,EGD REMOVAL OF FOREIGN BODY,43247,"1,846.00"
26330,EGD GUIDE WIRE W/DILATION,43248,"1,846.00"
26335,EGD BALLOON DIL OF ESOPH <30MM,43249,"1,846.00"
26340,EGD REM T/P/LES HOT BX FORCEPS,43250,"1,271.00"
26342,UGI W ABLATION T/P/LES OTHER,43270,"1,846.00"
26344,COLONOSCOPY SUBMUC INJ,45381,"1,898.00"
26345,EGD W/REM T/P/LES BY SNARE,43251,"1,846.00"
26350,EGD CONTROL BLEEDING,43255,"1,846.00"
26351,SCRN COLONSCOP HI RSK PAT,G0105,"1,774.00"
26355,CHANGE GASTROSTOMY TUBE,43760,392.00
26360,ESOPH DILAT UNGUIDE W/BOUGIES,43450,939.00
26365,ERCP,43260,"3,880.00"
26370,"ERCP BIOPSY, SINGLE OR MULTI",43261,"3,212.00"
26375,ERCP SPHINCTEROTOMY,43262,"3,880.00"
26380,ERCP STONE REMOVE BILIARY/PANC,43264,"3,707.00"
26385,ERCP INSERTION TUBE/STENT,43274,"4,310.00"
26386,ERCP W/REMOVAL & EXCH OF STENT,43276,"4,000.00"
26387,ERCP W/REMOVAL OF FB OR STENT,43275,"4,000.00"
26395,"ERCP BALLOON DIL AMPULLA, BIL",43277,"3,132.00"
26400,PROCTOSIGMOIDOSCOPY,45300,840.00
26405,"PROCTOSIG, RIGID; WITH BX, SGL",45305,"2,031.00"
26410,PROCTO SNARE SINGLE TUMOR/POLY,45309,"1,202.00"
26415,PROCTO SNARE MUTLI TUMOR/POLYP,45315,"1,202.00"
26420,PROCTO CONTROL BLEEDING,45317,"1,202.00"
26425,SIGMOIDOSCOPY,45330,964.00
26430,SIGMOID BIOPSY,45331,"1,338.00"
26435,SIGMOID REM TUM/POL/LES HOT BX,45333,"1,257.00"
26440,SIGMOID CONTROL BLEEDING,45334,"1,092.00"
26445,SIGMOID REMOVE TUM/POLYP SNARE,45338,"1,717.00"
26450,"COLONOSCOPY, FLEX ; DX",45378,"1,898.00"
26455,COLONOSCOPY BIOPSY,45380,"1,898.00"
26460,COLONOSCOPY CONTROL BLEEDING,45382,"1,898.00"
26465,"COLONSCOPY,FLX W/REM T/L/P HBX",45384,"1,456.00"
26466,COLON THRU STOMA DIAG W/WO BRU,44388,"1,898.00"
26467,COLONOSCOPY/STOMA BIOPSY,44389,"1,898.00"
26468,COLONOSCOPY/STOMA CONTRL BLEED,44391,"1,341.00"
26469,COLON/STOMA W/REM T/L/P HOT BX,44392,"1,974.00"
26470,"COLONOSCOPY, FLX POLYP BY SNAR",45385,"1,898.00"
26471,COLONOSCOP/STOMA SNARE REMOVAL,44394,"1,323.00"
26472,COLON/STOMA W/ABL TUM/POL/LES,44401,"1,500.00"
26473,COLON/STOMA W/REM T/P/L SNARE,44402,"1,500.00"
26475,COLORECTAL CANCER SCREENING,G0121,939.00
26476,"COLONOSCOPY, FLEX W/FB REMOVAL",45379,"1,500.00"
26481,SCLP TRK LAYER CLOS 2.6-7.5 CM,12032,442.00
26482,SCLP TRK LAYER CLOS 7.6-12.5CM,12034,442.00
26491,UGI GO DIL FOR OBSTR,43245,"1,846.00"
27002,"I&D COMPLEX, POST OP WOUND",10180,"3,500.00"
27003,NASAL PHARYNGEAL SCOPE,92511,300.00
27004,TEMP PACEMAKER - SING CHAMBER,33210,"13,120.00"
27037,REM TUN CV CTH WO SUBQ PRT PMP,36589,"1,140.00"
27041,COLLECT BLOOD FROM IMPL VAD,36591,178.00
27045,INSERT BLADDER CATH,51701,130.00
27066,IRRIG DRUG DELIVERY DEVICE IP,96523,100.00
27279,REM IMPACTED CERUMEN UNILATERA,69209,110.00
28800,PACU OBSV 1ST HOUR,G0378,194.00
28805,PACU OBSV EACH ADDL HOUR,G0378,6.00
28825,PACU ADM OBSV HR 25 ADD EA,G0378,14.00
28900,SDC OBSV 1ST HOUR,G0378,194.00
28905,SDC OBSV EACH ADDL HOUR,G0378,6.00
28925,SDC ADM OBSV HR 25 ADD EA,G0378,14.00
29100,MPS3 OBSV 1ST HOUR,G0378,194.00
29101,OBS DIRECT REFERRAL,G0379,890.00
29102,MPS3 OBS TEL DIRECT REFERRAL,G0379,890.00
29103,MPS3 TEL OBS INITIAL HOUR,G0378,143.80
29104,MPS3 TEL OBS EA ADDL HOUR,G0378,16.00
29105,MPS3 OBSV EACH ADDL HOUR,G0378,7.00
29125,MPS3 ADM OBSV HR 25 ADD EA,G0378,14.00
29126,"IV PUSH, INITIAL",96374,327.00
29127,HYDRATION INFUSION INITIAL HR,96360,327.00
29128,"IV INFUSION, INITIAL HOUR",96365,327.00
29129,IV HYDRATION EA ADDL HOUR,96361,64.00
29130,MPS3 OBS MORE THAN 48 HOURS,G0378,14.00
29131,"IV INFUSION, EA ADDL HOUR",96366,64.00
29132,IV PUSH SAME DRUG ADD ON,96376,64.00
29133,IV PUSH EA ADDL NEW DRUG,96375,64.00
29134,IV CONCURRENT INFUSION,96368,64.00
29135,IV INF ADDL SEQ INF NEW DRUG,96367,64.00
29200,PCU TEL OBSV 1ST HOUR,G0378,508.00
29201,OBS DIRECT REFERRAL,G0379,890.00
29205,PCU TEL OBSV EACH ADDL HOUR,G0378,16.00
29225,PCU ADM TEL OBSV HR 25 ADD EA,G0378,37.00
29230,PCU TEL OBS MORE THAN 48 HOURS,G0378,36.00
29231,"IV PUSH, INITIAL",96374,327.00
29232,HYDRATION INFUSION INITIAL HR,96360,327.00
29233,"IV INFUSION, INITIAL HOUR",96365,327.00
29234,"IV INFUSION, EA ADDL HOUR",96361,64.00
29235,"IV INFUSION, EA ADDL HOUR",96366,64.00
29236,IV PUSH SAME DRUG ADD ON,96376,64.00
29237,IV PUSH EA ADDL NEW DRUG,96375,64.00
29238,IV CONCURRENT INFUSION,96368,64.00
29239,IV INF ADDL SEQ INF NEW DRUG,96367,64.00
29300,ICU OBSV 1ST HOUR,G0378,603.00
29301,OBS DIRECT REFERRAL,G0379,890.00
29305,ICU OBSV EACH ADDL HOUR,G0378,21.00
29325,ICU ADM OBSV HR 25 ADD EA,G0378,45.00
29330,ICU OBS MORE THAN 48 HOURS,G0378,44.00
29331,"IV PUSH, INITIAL",96374,327.00
29332,HYDRATION INFUSION INITIAL HR,96360,327.00
29333,"IV INFUSION, INITIAL HR",96365,327.00
29334,"IV HYDRATION, EA ADDL HOUR",96361,64.00
29335,"IV INFUSION, EA ADDL HOUR",96366,64.00
29336,IV PUSH SAME DRUG ADD ON,96376,64.00
29337,IV PUSH EA ADDL NEW DRUG,96375,64.00
29338,IV CONCURENT INFUSION,96368,64.00
29339,IV INF ADDL SEQ INF NEW DRUG,96367,64.00
29428,CO2 MONITOR,94770,422.00
29429,US GUIDED IV ACCESS,76937,100.00
29431,CATH FOR URINE SPECIMEN,P9612,25.00
29432,"REP LAC TONGUE, 2.6CM",41252,805.00
29433,CL TX RADIAL FX W/MANIPULATION,25505,"2,215.00"
29434,INS NON-TUNNEL CV CATH 5YRS+,36556,"1,245.00"
29436,GLUCOSE BLOOD FINGER STICK,82962,20.00
29438,"HYDRATION IV INFUSION,INIT",96360,233.00
29439,HYDRATE IV INFUSION ADD-ON,96361,64.00
29441,"IV INF, TX/DX, UP TO 1 HR",96365,327.00
29442,"IV INF, TX/DX, EACH ADDL HR",96366,64.00
29447,DRESS/DEBRIDE SM BURN W/O ANES,16020,189.00
29448,DRESS/DEBRID MED BURN W/O ANES,16025,160.00
29449,DRESS/DEBRID LG BURNW/ ANES,16030,188.00
29451,MOD CS OTHR PHYS 0-5YRS 1ST 15,99155,179.00
29453,HEMOCULT BY NSG STAFF ED,82270,27.00
29456,IV PUSH INJ THERAP/DIAGNOST,96374,327.00
29457,PARACENTESIS INITIAL,49083,946.00
29459,"AVULSION NAIL PLATE, EA ADDNL",11732,150.00
29460,REPAIR ON NAIL BED,11760,271.00
29462,VAGINAL DELIVERY,59409,"1,879.00"
29464,"AULSION OF NAIL PLATE, SIMPL",11730,230.00
29467,"LAC RPR INTERM FAC, EAR 2.5CM",12051,271.00
29468,"LAC RPR INT FACE,EAR 2.6-5.0CM",12052,190.00
29470,PERC PEG TUBE PLACEMENT,49440,"2,132.00"
29472,REPOSITION GASTRIC FEED TUBE,43761,736.00
29474,LAYER CLSR/NECK H F 2.6-7.5CM,12042,442.00
29475,I&D ABSCESS; SMPL OR SGL,10060,204.00
29478,LAYER CLSR/NECK H F 7.6-12.5CM,12044,442.00
29479,LAYER CLSR/NECK H F 12.6-20 CM,12045,186.00
29480,MOD CS SAME PHYS 0-5YRS 1ST 15,99151,185.00
29481,MOD CS SAME PHYS 5+YRS 1ST 15,99152,185.00
29482,MOD CS BY SAME PHYS EA ADDL 15,99153,176.00
29483,INSERT BLADDER CATHETER,51701,130.00
29484,INS TEMP BLADDER CATH,51702,50.00
29486,REPR COMPL EA ADDNL<5CM S/A/L,13122,490.00
29487,"WEDGE REMOVAL OF NAIL,TOE",11765,188.00
29488,NOSE UNLISTED PROCEDURE,30999,217.00
29489,EXPL PENETRATING WOUND EXTREM,20103,970.00
29491,REDUCTION OF ANKLE FRACTURE,27810,509.00
29492,INSERTION OF CHEST TUBE,32551,"1,970.00"
29494,PLACE NEEDLE INTRAOSSEOUS INFN,36680,140.00
29495,SUTURE OF TONGUE,41250,354.00
29496,DRAINAGE OF GUM LESION,41800,213.00
29498,"TX,PROPHY,DX INJ ADD-ON",96375,64.00
29499,TX/PRO/DX INJ SAME DRUG ADD-ON,96376,64.00
29500,PCU OBSV 1ST HOUR,G0378,194.00
29501,CLSD TXMT PHALANG DISLC W MANP,26700,223.00
29502,LAC RPR CMPL E/N/E/L 1.1-2.5CM,13151,616.00
29504,LIP PROCEDURE NEC,40799,269.00
29505,PCU OBSV EACH ADDL HOUR,G0378,7.00
29506,INCISE/DRAIN VESTIBULE MOUTH,40800,279.00
29507,I & D ABSCESS PERITONSILLAR,42700,470.00
29509,DRAIN/INJ INTMD JOINT BURSA,20605,440.00
29511,PROC PHARYNX TONSILS UNLISTED,42999,511.00
29513,CLSD TXMT PROX HUMER FX W MANP,23605,"2,575.00"
29515,CLSD TXMT DIST FIB FX W MANP,27788,311.00
29517,CLSD TXMT DIST RADL FX WO MANP,25600,280.00
29518,CLSD TX RADL SHAFT FX WO MANIP,25500,213.00
29519,REMOV FB FT; DEEP,28192,"2,100.00"
29523,AMPUTA FINGER NY JT; W DIR CLO,26951,"2,195.00"
29525,PCU ADM OBSV HR 25 ADD EA,G0378,14.00
29527,"REP TENDON/MUSCLE FOREARM,WRIS",25270,"3,948.00"
29529,REP COMPLEX TRUNK 2.6-7.5CM,13101,841.00
29530,PCU OBS MORE THAN 48 HOURS,G0378,14.00
29531,REP COMPXSCLP/EXTRM EA AD 5 CM,13102,585.00
29533,DRAIN INJECT SM JNT BURSA,20600,440.00
29535,CLO TRT KNEE DISLO;REQ ANES,27552,"2,057.00"
29539,CLO TRT HUM FXW/MANP W/WO TR,24505,266.00
29541,PERCUT PLCMT GASTROSTO NG TUBE,43246,"2,132.00"
29543,CLS TX SCAPULAR FX W MANIP,23575,812.00
29545,RPR COMPLX FORHD/AX/FT 1.1-2.5,13131,455.00
29549,DEBRIDEMENT SKIN SUBQ & MUSCLE,11043,840.00
29551,INJ TNDN SHTH/LIG/TRIG PT/CYST,20550,329.00
29553,TX SPON HIP DISLOC W/MAN W/ANS,27257,"2,057.00"
29555,CLO TRT DISTAL FIB FX;WO MANIP,27786,266.00
29557,CLO TRT TRIMALLEOLAR ANK FXW/O,27816,266.00
29559,INJ TENDN SHEATH LIG SING/MULT,20552,440.00
29561,CLO TRT FEM FX PROX END NCK;WO,27230,266.00
29567,CLO TRT TIBAL FX PROX;WO MANIP,27530,266.00
29568,CLSD TRTMT HIP DSLOCN W/O ANES,27250,340.00
29569,CLS TX RADIAL HD/NCK FX W MANI,24655,812.00
29571,I&D PILONIDAL CYST SIMPLE,10080,196.00
29573,CLO TRT METACARP FX 1WO MAN EA,26600,266.00
29577,CLO TRT MCP DISLC1W/MANIP;W/AN,26705,266.00
29579,CLO TRT PATELLAR FX W/O MANIP,27520,266.00
29581,CL TX ULNAR FX PROX END W MANP,24675,399.00
29583,FB REMOVAL SUBQ COMPLICATED,10121,"2,314.00"
29585,I & D ABSCESS COMPLIC OR MULT,10061,373.00
29587,CYSTOSTOMY TUBE CHANGE SIMPLE,51705,822.00
29589,INCISE & REM FB SUBQ SIMPLE,10120,442.00
29590,REP LIP FULL THICKNESS COMPLEX,40654,995.00
29592,CL TX FEM FX DISTAL W MANIP,27510,"2,100.00"
29593,BLEPHAROTOMY ABSC DRAIN EYELID,67700,435.00
29594,HEMOCULT BY NURSING STAFF,82270,27.00
29596,INSERTION OF TUNNELED CVP,36558,"4,300.00"
29597,ED TRANSPORT,,375.00
29598,FNA WITHOUT IMAGING GUIDANCE,10021,566.00
29600,MASU OBSV 1ST HOUR,G0378,194.00
29601,OBS DIRECT REFERRAL,G0379,890.00
29602,MASU TEL OBS DIRECT REFERRAL,G0379,890.00
29603,MASU TEL OBS INITIAL HOUR,G0378,143.80
29604,MASU TEL OBS EA ADDL HOUR,G0378,143.80
29605,MASU OBSV EACH ADDL HOUR,G0378,143.80
29625,MASU ADM OBSV HR 25 ADD EA,G0378,14.00
29630,MASU OBS MORE THAN 48 HOURS,G0378,14.00
29800,ED OBSV 1ST HOUR,G0378,194.00
29805,ED OBSV EACH ADDL HOUR,G0378,7.00
29825,ED ADM OBSV HR 25 ADD EA,G0378,14.00
29830,ED OBS MORE THAN 48 HOURS,G0378,14.00
29831,FORESKIN MANIPULATION,54450,400.00
30004,NATUR KILL CELL SURFACE ANTIGE,86357,359.00
30005,ACETAMINOPHEN LEVEL,80307,165.00
30006,MULTIPLE INHALANT ALERGEN SCR,86005,150.00
30007,ALLERGEN SPECIFIC IgE,86003,46.00
30010,"ACETONE, BLOOD",82009,44.00
30011,QUANTITATION OF DRUG,80299,255.00
30018,NEUTROPHIL FCT OXITATIVE BURST,82657,254.00
30019,ASPERGILLAS ANTIGEN DETECTION,87305,250.00
30021,SERUM IODINE,83789,132.00
30023,RET PROTO-ONCOGENE MUTATION,81405,"1,170.00"
30025,ALBUMIN,82040,47.00
30026,PREALBUMIN,84134,77.00
30027,MORPHOMETRIC ANALYSIS,88368,330.00
30028,TUMOR IMMUNOCHISTOCHEMISTRY,88361,330.00
30030,ALKALINE PHOSPHATASE,84075,55.00
30037,AMMONIA,82140,134.00
30040,AMYLASE,82150,60.00
30041,"AMYLASE, URINE",82150,58.00
30042,"AMYLASE, BODY FLUID",82150,60.00
30043,ARTHRITIS PANEL,86255,248.00
30044,BASIC METABOLIC PANEL,80048,118.00
30045,"BILIRUBIN, TOTAL",82247,65.00
30046,TOTAL BILIRUBIN AGE >14 DAYS,82247,65.00
30051,"BILIRUBIN, T&D",,100.00
30052,BILIRUBIN T&D >14 DAYS,,100.00
30053,BILIRUBIN TOTAL (BODY FLUID),82247,65.00
30054,BILE ACIDS,82239,84.00
30055,BUN (BLOOD UREA NITROGEN),84520,50.00
30056,BILIRUBIN TOTAL,82247,65.00
30057,BILIRUBIN DIRECT,82248,35.00
30058,BILIRUBIN TOTAL >14 DAYS,82247,65.00
30059,BILIRUBIN DIRECT >14 DAYS,82248,35.00
30060,CALCIUM,82310,48.00
30065,CHLORIDE,82435,45.00
30067,URINE CHLORIDE,82436,23.00
30069,BCR/ABL1 MAJOR TRANSLOCATION,81206,585.00
30070,CHOLESTEROL,82465,40.00
30072,QUANTITATION LIPOPROTEIN,83704,232.00
30073,"CHROMIUM, PLASMA",82495,127.00
30075,CARBON DIOXIDE (CO2),82374,42.00
30078,COMPREHENSIVE METABOLIC PANEL,80053,147.00
30079,CPK MB,82553,99.00
30080,"CPK,TOTAL",82550,68.00
30081,CPK TOTAL + ISO ENZYMES,82550,68.00
30082,BCR/ABL1 MINOR TRANSLOCATION,81207,585.00
30083,BCR-ABL-1,,"1,170.00"
30087,"CREATININE, OTHER SOURCE",82570,52.00
30089,"ORGANIC ACIDS, URINE",83919,212.00
30090,CREATININE,82565,43.00
30091,"CREATININE, URINE (SPOT)",82570,56.00
30092,"CREATININE, 24 HR URINE",82570,56.00
30093,PREGABALIN (LYRICA),80307,130.00
30095,CREATININE CLEARANCE,82575,70.00
30100,DIGOXIN LEVEL,80162,103.00
30102,"OPIATES, 1 OR MORE",80307,160.00
30103,OXYCODONE,80307,160.00
30104,IMMUNOFIXATION/SPEP,,670.00
30105,DILANTIN LEVEL,80185,120.00
30108,DRUG SCREEN (URINE),80307,147.00
30110,ELECTROLYTE PANEL,80051,129.00
30112,AMINO ACIDS QUANTITATIVE,82131,46.00
30113,CITRATE,82507,76.00
30114,OXALATE,83945,36.00
30116,"SULFATE, URINE",84392,14.00
30117,KIDNEY STONE SCREEN,,"1,382.00"
30118,"CARBAMAZEPINE, FREE",80157,162.00
30119,PARATHYROID HORMONE REL PEPTID,82397,50.00
30121,POSACONAZOLE LEVEL,80299,500.00
30122,MARIJUANA (THC) URINE QUANT,80307,50.00
30123,BARBITUATES,80345,40.00
30124,SERUM DRUG SCREEN,,557.00
30126,"AMPHETAMINES, SERUM",80307,260.00
30135,ETHANOL (BLOOD ALCOHOL),80307,134.00
30139,URINE ALCOHOL SCREENING,80307,62.00
30140,GAMMA GT,82977,49.00
30144,DA ETHANOL (BLOOD ALCOHOL),80320,125.00
30146,HEPATITIS D TOTAL,86692,200.00
30147,HEPATITIS D IGM,86692,200.00
30148,FANCC GENE ANALYSIS,81242,400.00
30149,LUTEINIZING RELEASING FACTOR,83727,300.00
30152,GENTAMICIN,80170,128.00
30155,"GLUCOSE; QUAN, BLOOD",82947,38.00
30156,POST GLUCOSE DOSE,82950,47.00
30157,SPINAL FLUID GLUCOSE,82945,50.00
30158,"GLUCOSE, BODY FLUID",82945,37.00
30159,"GLUCOSE, 2HR POST PRANDIAL",82947,37.00
30160,"GLUCOSE TOLERANCE, 1ST HOUR",82951,87.00
30167,HEALTH PANEL,80050,142.00
30170,LDH,83615,43.00
30171,"LDH, BODY FLUID",83615,43.00
30173,LIPID PANEL,80061,92.00
30175,LITHIUM,80178,57.00
30176,"GLUCOSE TOLERANCE, 2ND HOUR",82952,57.00
30177,"GLUCOSE TOLERANCE, 3RD HOUR",82952,57.00
30178,"GLUCOSE TOLERANCE, 4TH HOUR",82952,57.00
30179,"GLUCOSE TOLERANCE, 5TH HOUR",82952,57.00
30181,LIPASE,83690,67.00
30182,THC CONFIRMATION,G0481,150.00
30188,LIVER PANEL,80076,134.00
30190,MAGNESIUM,83735,64.00
30192,"MYOGLOBIN, SERUM",83874,131.00
30195,"OSMOLALITY, SERUM",83930,57.00
30196,OSMOLALITY,83935,42.00
30197,"OSMOLALITY, STOOL",84999,86.00
30199,FRANCISELLA TULARENSIS AB,86668,84.00
30200,PHENOBARBITAL LEVEL,80184,109.00
30204,CALCITONIN,82308,197.00
30205,PHOSPHORUS,84100,44.00
30206,PROPEPTIDE TYPE I COLLAGEN,82523,260.00
30210,"POTASSIUM (K), SERUM",84132,31.00
30211,"POTASSIUM, SPOT URINE",84133,49.00
30215,"POTASSIUM (K), URINE, 24 HR",84133,49.00
30219,MICROSATELLITE INSTABILITY ANA,81301,800.00
30221,HYPOGLYCEMIC PANEL URINE,80377,200.00
30222,PROINSULIN,84206,100.00
30223,TUMOR IMMUNOHISTOCHEM MANUAL,88360,330.00
30224,"ANTIBODY, WEST NILE VIRUS, IgM",86788,40.00
30226,"ANTIBODY, WEST NILE VIRUS",86789,40.00
30229,CELLULAR FUNCTION ASSAY,86352,373.00
30231,"ANTIPSYCHOTICS, NOS, 1-3",G0480,100.00
30244,RENAL FUNCTION PANEL,80069,147.00
30245,SALICYLATE,80307,95.00
30250,SGOT,84450,50.00
30255,SGPT,84460,50.00
30257,SEX HORMONE BINDING GLOBULIN,84270,166.00
30260,"SODIUM (NA), SERUM OR S.URINE",84295,37.00
30261,"SODIUM, SPOT URINE",84300,47.00
30263,SPOT BODY FLUID-SODIUM,84302,49.00
30265,"SODIUM (NA) URINE,24 HR",84300,48.00
30274,T3 UPTAKE,84479,61.00
30275,"T4, THYROXINE",84436,61.00
30276,"GLUCOSIDASE, BETA",82963,300.00
30280,TEGRETOL LEVEL,80156,120.00
30281,ANABOLIC STEROID SCREEN URINE,80307,120.00
30285,THEOPHYLLINE,80198,115.00
30287,TOBRAMYCIN,80200,184.00
30288,"FK-506, PROGRAF",80197,244.00
30289,TOPIRAMATE LEVEL,80201,157.00
30290,TOTAL PROTEIN (SERUM),84155,48.00
30295,TOTAL PROTEIN (CSF),84157,68.00
30296,"TOTAL PROTEIN, BODY FLUID",84157,48.00
30297,"GI PROFILE,  STOOL PCR",87507,551.00
30300,TRIGLYCERIDES,84478,57.00
30315,URIC ACID,84550,50.00
30316,ZONEGRAN (ZONISAMIDE),82542,162.00
30317,EGFR GENE ANALYSIS,81235,"1,000.00"
30318,"MORPHOMETRIC ANALYSIS, EACH ST",88374,800.00
30319,"MORPHOMETRIC ANALYSIS, MANUAL",88377,"1,100.00"
30320,"PATH SURGICAL CONSULT, 1ST BLO",88331,200.00
30321,HEROIN METABOLITE,G0480,161.00
30322,"OPIATES, 1 OR MORE",G0480,166.00
30324,ISLET CELL ANTIBODY,86341,170.00
31003,THROMBIN TIME; PLASMA,85670,50.00
31004,THROMBOPLASTIN INHIBITION TISS,85705,50.00
31010,CBC COMPL W/PLT W/AUTOM DIFF,85025,72.00
31013,FIBRINOLYTIC FACTORS/INHIBITOR,85420,50.00
31015,CBC NO DIFF (W/OUT DIFF),85027,57.00
31016,ANTITRYPSIN DEFICIENCY DNA,81332,340.00
31020,COLD AGGLUTINATION,86157,175.00
31021,CRYSTALS,89060,79.00
31022,ALPHA THALASSEMIA DNA ANALYSIS,81257,540.00
31030,EOSINOPHIL COUNT,85025,72.00
31031,EOSINOPHIL STAIN (URINE),87205,38.00
31035,FAT STAIN (STOOL OR URINE),89125,51.00
31036,VANCOMYCIN RESISTANT ENTEROCOC,87500,100.00
31037,BETA 2 TRANSFERRIN,86335,130.00
31057,FETAL FIBRONECTIN #120857,82731,380.00
31060,FIBRINOGEN DEGRAD PROD (FDP),85362,182.00
31062,GASTROCCULT/PH (GASTRIC),83986,58.00
31065,HEMATOCRIT (HCT),85014,26.00
31070,HEMOGLOBIN (HGB),85018,29.00
31075,HAPTOGLOBIN,83010,105.00
31080,MALARIA SMEAR EXAM,87207,66.00
31085,MONOSPOT,86308,87.00
31090,NASAL SMEAR FOR EOSINOPHILS,89190,31.00
31095,"OCCULT BLOOD, STOOL,DIAGNOSTIC",82272,29.00
31100,PARTIAL THROMBOPLASTIN TIME,85730,50.00
31102,PH BODY FLUID,83986,31.00
31103,PH,83986,31.00
