"Service Description","CPT Code","Charge Type","Christiana Facility Price"
"CATH, LT 7F FL3.5 SH GUIDE",C1887,Hospital,$170.00
"CATH, LT 7F FL4 SH GUIDE",C1887,Hospital,$170.00
"CATH, LT 7F FL4.5 SH GUIDE",C1887,Hospital,$170.00
"CATH, LT 7F FL5 SH GUIDE",C1887,Hospital,$170.00
"CATH, LT 7F FL6 GUIDE",C1887,Hospital,$208.25
"CATH, LT VENT 14FR",,Hospital,$74.11
"CATH, LT VENT 18FR",,Hospital,$90.94
"CATH, LUMBAR DRAIN",,Hospital,$710.47
"CATH, LUMBAR EXTERNAL DRAINAGE W/TUOHI NEEDLE",,Hospital,$810.86
"CATH, LUMBER EXT. DRAINAGE KIT",,Hospital,$956.25
"CATH, MAC WITH ADAPTORS",,Hospital,$13.81
"CATH, MADDURI 5FR X 70CM",,Hospital,$88.19
"CATH, MAESTRO 2.9FR 130 45 DEGREE MICRO",C1887,Hospital,"$1,168.75"
"CATH, MAESTRO 2.9FR 130 STRAIGHT MICRO",C1887,Hospital,"$1,168.75"
"CATH, MAESTRO 2.9FR 130 SWAN NECK MICRO",C1887,Hospital,"$1,168.75"
"CATH, MAGLINTE BALLOON 13FR",,Hospital,$710.22
"CATH, MALECOT 10FR PEDIATRIC",,Hospital,$47.92
"CATH, MALECOT 10FR PEDIATRIC 56498",C1758,Hospital,$7.59
"CATH, MALECOT 14FR PEDIATRIC",C1729,Hospital,$47.01
"CATH, MALECOT 16FR",,Hospital,$0.00
"CATH, MALECOT 18FR",,Hospital,$47.00
"CATH, MALECOT 20FR NEPHROSTOMY",C1729,Hospital,$361.08
"CATH, MALECOT 22FR",,Hospital,$47.92
"CATH, MALECOT 24FR",,Hospital,$47.92
"CATH, MALECOT 24FR NEPHROSTOMY",C1729,Hospital,$266.86
"CATH, MALECOT 28FR",,Hospital,$47.00
"CATH, MALECOT 30FR",,Hospital,$0.00
"CATH, MANASHIL SIALOGRAPHY SCSM-P-16",,Hospital,$163.07
"CATH, MANASHIL SIALOGRAPHY SCSM-P-22",,Hospital,$323.00
"CATH, MANASHIL SIALOGRAPHY SCSM-T-32",,Hospital,$323.00
"CATH, MARATHON FLOW DIRECTED MICRO",C1887,Hospital,"$4,152.25"
"CATH, MARINER KUMPE 5FR X 40CM .035",C1887,Hospital,$223.25
"CATH, MARINER RIM 5FR X 65CM .038",C1887,Hospital,$223.25
"CATH, MARINER VERTEBRAL 5FR X 130CM .035",C1887,Hospital,$485.90
"CATH, MARINR EP",,Hospital,"$2,592.50"
"CATH, MARKSMAN 3.2FR X 150CM",C1887,Hospital,"$4,186.25"
"CATH, MARKSMAN MICRO 3.2>2.8 .027 105MM",C1887,Hospital,"$4,186.25"
"CATH, MARKSMAN MICRO 3.2>2.8 .027 135MM",C1887,Hospital,"$4,186.25"
"CATH, MARSHALL 10-6/5.8/135CM",C1725,Hospital,"$1,029.35"
"CATH, MARSHALL 7X4X90CM",C1725,Hospital,$975.38
"CATH, MARSHALL 9X4X90CM",C1725,Hospital,$975.38
"CATH, MAVERICK MONO 2.0/20",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 2.5/15",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 2.5/20",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 3.0/15",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 3.0/20",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 3.5/15",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 3.5/20",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 4.0/15",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 4.0/20",C1725,Hospital,$510.00
"CATH, MAVERICK MONO 4.5/15",C1725,Hospital,$510.00
"CATH, MAVERICK XL BALLOON 4.5/15",,Hospital,$510.00
"CATH, MAVERICK XL BALLOON 4.5/20",,Hospital,$510.00
"CATH, MAVERICK XL BALLOON 5.0/15",,Hospital,$510.00
"CATH, MAVERICK XL BALLOON 5.0/20",,Hospital,$510.00
"CATH, MAXXUM 2.0/13",,Hospital,"$1,270.75"
"CATH, MAXXUM 2.0/20",C1725,Hospital,"$1,270.75"
"CATH, MAXXUM 2.0/29",C1725,Hospital,"$1,270.75"
"CATH, MAXXUM 2.5/13",,Hospital,"$1,270.75"
"CATH, MAXXUM 2.5/20",C1725,Hospital,"$1,270.75"
"CATH, MAXXUM 2.5/29",C1725,Hospital,"$1,270.75"
"CATH, MAXXUM 3.0/13",,Hospital,"$1,270.75"
"CATH, MAXXUM 3.0/20",C1725,Hospital,"$1,270.75"
"CATH, MAXXUM 3.5/13",,Hospital,"$1,270.75"
"CATH, MAXXUM 4.0/13",,Hospital,"$1,270.75"
"CATH, MAXXUM 4.5/13",,Hospital,"$1,270.75"
"CATH, MAXXUM 5.0/13",,Hospital,"$1,270.75"
"CATH, MAXXUM 5.0/29",C1725,Hospital,"$1,270.75"
"CATH, MERCI BALLOON GUIDE 8FR",,Hospital,"$4,570.88"
"CATH, MERCI DISTAL ACCESS .038 X 123CM",C1887,Hospital,"$4,281.45"
"CATH, MERCI DISTAL ACCESS .038 X 136CM",C1887,Hospital,"$3,890.45"
"CATH, MERCI DISTAL ACCESS 4.4FR 130CM",C1887,Hospital,"$3,890.45"
"CATH, MEWISSEN INF. 5FR 10CM",C1887,Hospital,$313.65
"CATH, MIC PROWLER 10 2.3F/1.7F",C1887,Hospital,"$3,230.60"
"CATH, MIC PROWLER PLUS 3FR",C1887,Hospital,"$3,230.60"
"CATH, MICRO  J",,Hospital,"$3,833.50"
"CATH, MICRO 45DEG",,Hospital,"$3,833.50"
"CATH, MICRO 90DEG",,Hospital,"$3,833.50"
"CATH, MICRO EXCELSIOR SL-10 PRESHAPED J 6CM X 150CM",C1887,Hospital,"$3,890.45"
"CATH, MICRO FASTRACKER 18MX150CMX20CM",,Hospital,"$3,612.50"
"CATH, MICRO GUIDE MGC",,Hospital,"$1,168.75"
"CATH, MICRO HEADWAY 17 ADVANCED 2.4FR 150CM STR/SHAPE",C1887,Hospital,"$3,315.00"
"CATH, MICRO HEADWAY 21 ID STR 2.5F156CM",C1887,Hospital,"$4,420.00"
"CATH, MICRO HEADWAY DUO .0165 STR 156CM",C1887,Hospital,"$3,201.53"
"CATH, MICRO HEADWAY DUO .0165 STR 167CM",C1887,Hospital,"$3,201.53"
"CATH, MICRO HEADWAY DUO .0165 STR 167CM 55020",,Hospital,"$3,201.53"
"CATH, MICRO NAVVUS RAPID EXCHANGE",,Hospital,"$2,337.50"
"CATH, MICRO PROGREAT ALPHA 2FR 130CM STR",C1887,Hospital,"$3,612.50"
"CATH, MICRO PROGREAT ALPHA 2FR 150CM STR",C1887,Hospital,"$3,612.50"
"CATH, MICRO RENEGADE STC ANGLED 150CM",,Hospital,"$1,704.25"
"CATH, MICRO RENEGADE STC STRAIGHT 150CM",,Hospital,"$1,627.92"
"CATH, MICRO STRAIGHT",,Hospital,"$3,833.50"
"CATH, MICRO SWIFTNINJA STEERABLE CORONARY 2.9FR 125CM",C1887,Hospital,"$7,225.00"
"CATH, MICRO TREVO PRO 18L",,Hospital,"$2,849.63"
"CATH, MICRO VELOCITY DELIVERY 2.95FR 164CM",,Hospital,"$4,403.00"
"CATH, MICROGUIDE MGX",,Hospital,"$1,041.25"
"CATH, MICROSHEATH XL STR 110CM PERIPHERAL SUP",,Hospital,"$1,253.75"
"CATH, MICROSHEATH XL VERTEBRAL 110CM PERI SUP",,Hospital,"$1,253.75"
"CATH, MICROSHEATH XLT TAP STR 110CM PERI SUP",,Hospital,"$1,253.75"
"CATH, MICROSHEATH XLT TAP VERTE 110CM PERI SU",,Hospital,"$1,253.75"
"CATH, MIDLINE 3FR",C1751,Hospital,$259.25
"CATH, MIDLINE 4FR",,Hospital,$242.25
"CATH, MINI-HAWK 2.6 DS",,Hospital,"$15,597.50"
"CATH, MOMA ULTRA GUIDE",,Hospital,"$7,862.50"
"CATH, MONCRIEF PERITONEAL W/2 CUFFS",C1750,Hospital,$975.66
"CATH, MONO MAVERICK 5.5/15",,Hospital,$510.00
"CATH, MONO MAVERICK 5.5/20",,Hospital,$510.00
"CATH, MONO MAVERICK 6.0/20",,Hospital,$510.00
"CATH, MONO MAVERICK 6.05/15",,Hospital,$510.00
"CATH, MONO MAVERICK2 1.5/15",C1725,Hospital,$510.00
"CATH, MONO MAVERICK2 1.5/20",C1725,Hospital,$510.00
"CATH, MONO MAVERICK2 2.0/15",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 2.0/20",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 2.0/30",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 2.0/9",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 2.5/15",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 2.5/20",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 2.5/30",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 2.5/9",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 3.0/15",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 3.0/20",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 3.0/30",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 3.0/9",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 3.5/15",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 3.5/20",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 3.5/30",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 3.5/9",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 4.0/15",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 4.0/20",C1725,Hospital,$467.50
"CATH, MONO MAVERICK2 4.0/30",C1725,Hospital,$510.00
"CATH, MONO MAVERICK2 4.0/9",C1725,Hospital,$467.50
"CATH, MORPH ACCESSPRO INTRODUCER 6FR 45CM",C1766,Hospital,"$2,507.50"
"CATH, MORPH ACCESSPRO INTRODUCER 6FR 90CM",C1766,Hospital,"$2,507.50"
"CATH, MOTARJEME 5FR 65CM",,Hospital,$50.41
"CATH, MPA SOFT-VU 5FR X 100CM .035",C1887,Hospital,$96.31
"CATH, MPA2 6FR X 100CM",,Hospital,$30.81
"CATH, MR 7 X 4 X 75CM",C1725,Hospital,$975.38
"CATH, MR 8 X 4 X 75CM",C1725,Hospital,$975.38
"CATH, MTI 2.9-150-5 CM",,Hospital,$828.75
"CATH, MTI, 2.9-150-10 CM",,Hospital,$828.75
"CATH, MULTIPURPOSE 5FR A CURVE 125CM",,Hospital,$30.81
"CATH, MULTIPURPOSE DRAIN 10.2FR",C1729,Hospital,$554.63
"CATH, NANOCROSS .014 PTA 1.5 X 80 X 150",C1725,Hospital,"$1,678.75"
"CATH, NANOCROSS .014 PTA 2.0 X 150 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 2.0 X 210 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 2.0 X 80 X 150",,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 2.0MM X 20MM X 150CM",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 2.5 X 150 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 2.5 X 210 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 2.5 X 80 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 2.5MM X 20MM X 150CM",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 3.0 X 150 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 3.0 X 210 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 3.0 X 80 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 3.0MM X 20MM X 150CM",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 3.5 X 150 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 3.5 X 210 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 3.5 X 80 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 3.5MM X 120MM X 150CM",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 3.5MM X 20MM X 150CM",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 4.0 X 150 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 4.0 X 210 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS .014 PTA 4.0 X 80 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS .014 PTA 4.0MM X 20MM X 150CM",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS ELITE .014 PTA 1.5MM X 20 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS ELITE .014 PTA 2.5MM X 120 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS ELITE .014 PTA 2.5MM X 40 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS ELITE .014 PTA 2MM X 120 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS ELITE .014 PTA 2MM X 40 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS ELITE .014 PTA 2MM X150 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS ELITE .014 PTA 3.5MM X 40 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS ELITE .014 PTA 3MM X 120 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS ELITE .014 PTA 3MM X 40 X 150",C1725,Hospital,"$1,041.25"
"CATH, NANOCROSS ELITE .014 PTA 4MM X 120 X 150",C1725,Hospital,"$1,190.00"
"CATH, NANOCROSS ELITE .014 PTA 4MM X 40 X 150",C1725,Hospital,"$1,041.25"
"CATH, NAVICROSS SUPPORT  .035 X 135CM, STR TIP",C1887,Hospital,$841.50
"CATH, NAVICROSS SUPPORT  .035 X 150CM, STR TIP",C1887,Hospital,$841.50
"CATH, NAVICROSS SUPPORT  .035 X 65CM, STR TIP",C1887,Hospital,$841.50
"CATH, NAVICROSS SUPPORT .035 135CM 30DEG ANGLE",C1887,Hospital,$841.50
"CATH, NAVICROSS SUPPORT .035 150CM 30DEG ANGLE",C1887,Hospital,$841.50
"CATH, NAVICROSS SUPPORT .035 65CM 30DEG ANGLE",C1887,Hospital,$841.50
"CATH, NAVICROSS SUPPORT .035 X 90CM ANGLED",C1887,Hospital,$841.50
"CATH, NAVIEN DCS SUPPORT 5FR .058 125CM",C1887,Hospital,"$4,653.75"
"CATH, NAVIEN DCS SUPPORT 7FR .058 105CM",C1887,Hospital,"$4,811.00"
"CATH, NAVIEN DCS SUPPORT 7FR .058 115CM",C1887,Hospital,"$4,653.75"
"CATH, NAVIEN DCS SUPPORT 7FR .058 130CM",C1887,Hospital,"$4,653.75"
"CATH, NAVISTAR",C1732,Hospital,"$9,830.25"
"CATH, NAVISTAR 4MM EZ STEER CURVE",,Hospital,"$11,645.00"
"CATH, NAVISTAR CURVE B 4MM",C1732,Hospital,"$9,830.25"
"CATH, NAVISTAR CURVE C",,Hospital,"$9,830.25"
"CATH, NAVISTAR CURVE D 4MM",C1732,Hospital,"$9,830.25"
"CATH, NAVISTAR CURVE F 4MM",C1732,Hospital,"$9,830.25"
"CATH, NAVISTAR CURVE J 4MM",C1732,Hospital,"$9,830.25"
"CATH, NAVISTAR J8L",C1732,Hospital,"$9,830.25"
"CATH, NAVISTAR RMT 4MM",C1732,Hospital,"$12,622.50"
"CATH, NAVISTAR RMT DS 8MM",C1732,Hospital,"$12,622.50"
"CATH, NAVISTAR RMT THERMOCOOL",C1732,Hospital,"$15,032.25"
"CATH, NAVISTAR THERMOCOOL B CURVE",,Hospital,"$12,490.75"
"CATH, NAVISTAR THERMOCOOL D CURVE",,Hospital,"$12,490.75"
"CATH, NAVISTAR THERMOCOOL F CURVE",,Hospital,"$12,490.75"
"CATH, NAVISTAR THERMOCOOL J CURVE",,Hospital,"$12,490.75"
"CATH, NAVITUS L JETSTREAM 7FR 120CM .014",C1724,Hospital,"$14,407.50"
"CATH, NC MONORAIL 2.5/9 BALLOON",C1725,Hospital,$765.00
"CATH, NC MONORAIL 3.0/9 BALLOON",C1725,Hospital,$765.00
"CATH, NC MONORAIL 3.5/9 BALLOON",C1725,Hospital,$765.00
"CATH, NC MONORAIL 4.0/9 BALLOON",C1725,Hospital,$765.00
"CATH, NC MONORAIL 4.5/9 BALLOON",C1725,Hospital,$765.00
"CATH, NC QUANTUM APEX MR 12MM X 2.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 12MM X 2MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 12MM X 3.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 12MM X 3MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 12MM X 4.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 12MM X 4MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 12MM X 5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 2.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 2.75MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 2MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 3.25MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 3.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 3MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 4.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 4MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 15MM X 5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 2.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 2.75MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 2MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 3.25MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 3.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 3MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 4.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 4MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 20MM X 5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 30MM X 2.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 30MM X 2MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 30MM X 3.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 30MM X 3MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 30MM X 4MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 6MM X 2.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 6MM X 2MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 6MM X 3.5MM",C1725,Hospital,$510.00
"CATH, NC QUANTUM APEX MR 6MM X 3MM",C1725,Hospital,$510.00
"CATH, NC QUANTUM APEX MR 6MM X 4.5MM",C1725,Hospital,$510.00
"CATH, NC QUANTUM APEX MR 6MM X 4MM",C1725,Hospital,$510.00
"CATH, NC QUANTUM APEX MR 6MM X 5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 2.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 2.75MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 2MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 3.25MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 3.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 3MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 4.5MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 4MM",C1725,Hospital,$467.50
"CATH, NC QUANTUM APEX MR 8MM X 5MM",C1725,Hospital,$467.50
"CATH, NC RANGER 15/3.0",C1725,Hospital,$765.00
"CATH, NC RANGER 15/3.5",,Hospital,$765.00
"CATH, NC RANGER 15/4.0",C1725,Hospital,$765.00
"CATH, NC RANGER 2.5/15",C1725,Hospital,$765.00
"CATH, NC RANGER 2.5/9",,Hospital,$765.00
"CATH, NEONATAL ORAL SUCTION 10FR",,Hospital,$0.29
"CATH, NEONATAL ORAL SUCTION 6FR",,Hospital,$6.16
"CATH, NEONATAL ORAL SUCTION 8FR",,Hospital,$6.16
"CATH, NEPH FLEX-FIRM 8FR, 25CM",C1729,Hospital,$392.62
"CATH, NEPHOURETERAL 10FR 22CM",C1769,Hospital,$500.78
"CATH, NEPHROMAX BALLOON 7FR X 55CM",C1726,Hospital,"$1,024.59"
"CATH, NEPHROSTOMY 6FR 38-25",,Hospital,$304.94
"CATH, NEPHROSTOMY PERCU 8FR 26.5CM",C2627,Hospital,$331.08
"CATH, NEPHROSTOMY PIGTAIL 6FR",C1729,Hospital,$214.63
"CATH, NEPHROSTOMY, 14FR, 38-25",,Hospital,$314.50
"CATH, NEPHROURETERAL 10FRX22CM",C2617,Hospital,$599.89
"CATH, NEPHROURETERAL 8FR 22",C2617,Hospital,$599.89
"CATH, NEPHROURETERAL 8FR 24",C2617,Hospital,$522.33
"CATH, NEPHROURETERAL 8FR 24CM",C2617,Hospital,$398.35
"CATH, NEURO GUIDE 6FR 100CM",C1887,Hospital,"$1,020.00"
"CATH, NEURO GUIDE 6FR 90CM",C1887,Hospital,"$1,020.00"
"CATH, NEUROFORM STENT STABILIZER",,Hospital,"$4,770.20"
"CATH, NEURON DELIVERY 95/6 MP",C1887,Hospital,"$2,805.00"
"CATH, NEURON DELIVERY 95/6 STRAIGHT",C1887,Hospital,"$2,805.00"
"CATH, NEURON MAX LONG SHEATH 6FR 80/4 STR 80CM 4CM",C1887,Hospital,"$2,061.25"
"CATH, NEURON MAX LONG SHEATH 6FR 90/4 STR 90CM 4CM",C1887,Hospital,"$2,103.75"
"CATH, NEXT STEP HD 15FR X 19CM",,Hospital,"$1,593.75"
"CATH, NEXT STEP HD 15FR X 23CM",,Hospital,"$1,593.75"
"CATH, NEXT STEP HD 15FR X 27CM",,Hospital,"$1,593.75"
"CATH, NEXT STEP HD 15FR X 31CM",,Hospital,"$1,593.75"
"CATH, NIAGRA DUAL LUMEN",C1752,Hospital,$408.00
"CATH, NINJA 2.5/15",C1725,Hospital,"$1,338.75"
"CATH, NON-HYDOPHILIC .038 5FR 125CM SIM2",,Hospital,$106.25
"CATH, NOVY 3FR, 55CM W/.015 WG",,Hospital,$250.75
"CATH, OB-7-2-100",,Hospital,$765.00
"CATH, OB-7-2-65",C2628,Hospital,$860.46
"CATH, OB5-2-100",,Hospital,$765.00
"CATH, OCCLUSION HYPERFORM 4X7MM BALLOON",,Hospital,"$8,160.00"
"CATH, OCCLUSION HYPERFORM 7X7MM BALLOON",,Hospital,"$8,160.00"
"CATH, OCCLUSION HYPERGLIDE 3MMX10MM BALLOON",C2628,Hospital,"$7,331.25"
"CATH, OCCLUSION HYPERGLIDE 4X10MM BALLOON",,Hospital,"$7,696.75"
"CATH, OCCLUSION HYPERGLIDE 4X15MM BALLOON",,Hospital,"$7,696.75"
"CATH, OCCLUSION HYPERGLIDE 4X20MM BALLOON",,Hospital,"$7,696.75"
"CATH, OCCLUSION HYPERGLIDE 4X30MM BALLOON",,Hospital,"$7,696.75"
"CATH, OFF-ROAD RE-ENTRY LONG",C1725,Hospital,"$7,203.75"
"CATH, OFF-ROAD RE-ENTRY SHORT",C1725,Hospital,"$7,756.25"
"CATH, OMNI FLUSH S/V 5FR. 65CM",C1725,Hospital,$63.75
"CATH, OPEN END URET 5 FR",C1758,Hospital,$43.61
"CATH, OPEN END URET 6 FR",C1758,Hospital,$41.64
"CATH, OPEN END URET. 7 FR.",C1758,Hospital,$41.64
"CATH, OPTA LP 8MM X 80MM 110CM",,Hospital,$956.25
"CATH, OPTI-FLOW 23CM VITA-CUFF",,Hospital,"$1,428.00"
"CATH, OPTICROSS CORONARY ULTRASOUND IMAGING",C1763,Hospital,"$2,698.75"
"CATH, OPTIPLAST XT PTA BALLOON 10/2/6/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 10/3/6/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 10/4/6/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 3/2/8/120",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 3/4/8/120",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 4/2/8/120",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 4/4/8/120",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 5/10/8/120",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 5/2/8/120",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 5/2/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 5/4/8/120",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 5/4/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 6/10/8/120",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 6/2/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 6/4/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 7/2/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 7/3/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 7/4/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 8/2/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 8/3/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 8/4/8/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 9/2/6/75",C1725,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 9/3/6/75",,Hospital,$743.75
"CATH, OPTIPLAST XT PTA BALLOON 9/4/6/75",C1725,Hospital,$743.75
"CATH, ORBITER PV VARIBLE LOOP MAPPING",C1730,Hospital,"$7,012.50"
"CATH, ORBITER ST ATRIAL MAPPING",C1731,Hospital,"$3,952.50"
"CATH, ORBITER ST LARGE CURVE",,Hospital,"$3,952.50"
"CATH, OSBORN 1 4FR",,Hospital,$48.88
"CATH, OSBORN 4FR 125CM",,Hospital,$51.85
"CATH, OSBOURN1 6FR 125CM",,Hospital,$97.75
"CATH, OUTBACK RE-ENTRY",,Hospital,"$7,012.50"
"CATH, P5.0-35-100-M-NS-MAN 5FR",,Hospital,$69.91
"CATH, P5.0-35-65-P-NS-O",,Hospital,$69.96
"CATH, P6.0-35-100-M-NS-0",,Hospital,$80.75
"CATH, P6.0-38-65-M-6S-0",,Hospital,$80.75
"CATH, P6.5-38-100-M-6S-0",,Hospital,$80.75
