Facility,MS DRG,Description,Average Charge
Fort Hamilton Hughes Memorial Hospital,543,Pathological Fractures & Musculoskelet & Conn Tiss Malig W Cc," $35,252 "
Fort Hamilton Hughes Memorial Hospital,544,Pathological Fractures & Musculoskelet & Conn Tiss Malig W/O Cc/Mcc," $24,272 "
Fort Hamilton Hughes Memorial Hospital,545,Connective Tissue Disorders W Mcc," $26,951 "
Fort Hamilton Hughes Memorial Hospital,549,Septic Arthritis W Cc," $32,957 "
Fort Hamilton Hughes Memorial Hospital,550,Septic Arthritis W/O Cc/Mcc," $8,328 "
Fort Hamilton Hughes Memorial Hospital,551,Medical Back Problems W Mcc," $40,554 "
Fort Hamilton Hughes Memorial Hospital,552,Medical Back Problems W/O Mcc," $32,630 "
Fort Hamilton Hughes Memorial Hospital,554,Bone Diseases & Arthropathies W/O Mcc," $31,362 "
Fort Hamilton Hughes Memorial Hospital,555,Signs & Symptoms Of Musculoskeletal System & Conn Tissue W Mcc," $37,816 "
Fort Hamilton Hughes Memorial Hospital,556,Signs & Symptoms Of Musculoskeletal System & Conn Tissue W/O Mcc," $25,834 "
Fort Hamilton Hughes Memorial Hospital,557,"Tendonitis, Myositis & Bursitis W Mcc"," $52,554 "
Fort Hamilton Hughes Memorial Hospital,558,"Tendonitis, Myositis & Bursitis W/O Mcc"," $18,203 "
Fort Hamilton Hughes Memorial Hospital,560,"Aftercare, Musculoskeletal System & Connective Tissue W Cc"," $30,615 "
Fort Hamilton Hughes Memorial Hospital,561,"Aftercare, Musculoskeletal System & Connective Tissue W/O Cc/Mcc"," $57,762 "
Fort Hamilton Hughes Memorial Hospital,562,"Fx, Sprn, Strn & Disl Except Femur, Hip, Pelvis & Thigh W Mcc"," $31,697 "
Fort Hamilton Hughes Memorial Hospital,563,"Fx, Sprn, Strn & Disl Except Femur, Hip, Pelvis & Thigh W/O Mcc"," $27,513 "
Fort Hamilton Hughes Memorial Hospital,564,Other Musculoskeletal Sys & Connective Tissue Diagnoses W Mcc," $44,622 "
Fort Hamilton Hughes Memorial Hospital,565,Other Musculoskeletal Sys & Connective Tissue Diagnoses W Cc," $29,455 "
Fort Hamilton Hughes Memorial Hospital,566,Other Musculoskeletal Sys & Connective Tissue Diagnoses W/O Cc/Mcc," $24,072 "
Fort Hamilton Hughes Memorial Hospital,570,Skin Debridement W Mcc," $50,371 "
Fort Hamilton Hughes Memorial Hospital,571,Skin Debridement W Cc," $40,767 "
Fort Hamilton Hughes Memorial Hospital,572,Skin Debridement W/O Cc/Mcc," $35,863 "
Fort Hamilton Hughes Memorial Hospital,579,"Other Skin, Subcut Tiss & Breast Proc W Mcc"," $51,372 "
Fort Hamilton Hughes Memorial Hospital,580,"Other Skin, Subcut Tiss & Breast Proc W Cc"," $52,088 "
Fort Hamilton Hughes Memorial Hospital,581,"Other Skin, Subcut Tiss & Breast Proc W/O Cc/Mcc"," $38,515 "
Fort Hamilton Hughes Memorial Hospital,592,Skin Ulcers W Mcc," $19,309 "
Fort Hamilton Hughes Memorial Hospital,595,Major Skin Disorders W Mcc," $25,354 "
Fort Hamilton Hughes Memorial Hospital,597,Malignant Breast Disorders W Mcc," $55,428 "
Fort Hamilton Hughes Memorial Hospital,600,Non-Malignant Breast Disorders W Cc/Mcc," $11,473 "
Fort Hamilton Hughes Memorial Hospital,601,Non-Malignant Breast Disorders W/O Cc/Mcc," $11,567 "
Fort Hamilton Hughes Memorial Hospital,602,Cellulitis W Mcc," $30,374 "
Fort Hamilton Hughes Memorial Hospital,603,Cellulitis W/O Mcc," $22,075 "
Fort Hamilton Hughes Memorial Hospital,605,"Trauma To The Skin, Subcut Tiss & Breast W/O Mcc"," $30,847 "
Fort Hamilton Hughes Memorial Hospital,606,Minor Skin Disorders W Mcc," $113,868 "
Fort Hamilton Hughes Memorial Hospital,607,Minor Skin Disorders W/O Mcc," $15,033 "
Fort Hamilton Hughes Memorial Hospital,616,"Amputat Of Lower Limb For Endocrine,Nutrit,& Metabol Dis W Mcc"," $151,242 "
Fort Hamilton Hughes Memorial Hospital,617,"Amputat Of Lower Limb For Endocrine,Nutrit,& Metabol Dis W Cc"," $59,109 "
Fort Hamilton Hughes Memorial Hospital,622,"Skin Grafts & Wound Debrid For Endoc, Nutrit & Metab Dis W Mcc"," $52,155 "
Fort Hamilton Hughes Memorial Hospital,623,"Skin Grafts & Wound Debrid For Endoc, Nutrit & Metab Dis W Cc"," $45,911 "
Fort Hamilton Hughes Memorial Hospital,624,"Skin Grafts & Wound Debrid For Endoc, Nutrit & Metab Dis W/O Cc/Mcc"," $11,921 "
Fort Hamilton Hughes Memorial Hospital,629,"Other Endocrine, Nutrit & Metab O.R. Proc W Cc"," $78,153 "
Fort Hamilton Hughes Memorial Hospital,637,Diabetes W Mcc," $44,082 "
Fort Hamilton Hughes Memorial Hospital,638,Diabetes W Cc," $25,192 "
Fort Hamilton Hughes Memorial Hospital,639,Diabetes W/O Cc/Mcc," $15,178 "
Fort Hamilton Hughes Memorial Hospital,640,"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W Mcc"," $35,182 "
Fort Hamilton Hughes Memorial Hospital,641,"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W/O Mcc"," $25,581 "
Fort Hamilton Hughes Memorial Hospital,644,Endocrine Disorders W Cc," $32,274 "
Fort Hamilton Hughes Memorial Hospital,645,Endocrine Disorders W/O Cc/Mcc," $14,433 "
Fort Hamilton Hughes Memorial Hospital,654,Major Bladder Procedures W Cc," $51,315 "
Fort Hamilton Hughes Memorial Hospital,668,Transurethral Procedures W Mcc," $79,501 "
Fort Hamilton Hughes Memorial Hospital,669,Transurethral Procedures W Cc," $52,873 "
Fort Hamilton Hughes Memorial Hospital,670,Transurethral Procedures W/O Cc/Mcc," $53,573 "
Fort Hamilton Hughes Memorial Hospital,673,Other Kidney & Urinary Tract Procedures W Mcc," $105,941 "
Fort Hamilton Hughes Memorial Hospital,674,Other Kidney & Urinary Tract Procedures W Cc," $29,691 "
Fort Hamilton Hughes Memorial Hospital,682,Renal Failure W Mcc," $43,494 "
Fort Hamilton Hughes Memorial Hospital,683,Renal Failure W Cc," $29,524 "
Fort Hamilton Hughes Memorial Hospital,684,Renal Failure W/O Cc/Mcc," $23,514 "
Fort Hamilton Hughes Memorial Hospital,686,Kidney & Urinary Tract Neoplasms W Mcc," $36,158 "
Fort Hamilton Hughes Memorial Hospital,687,Kidney & Urinary Tract Neoplasms W Cc," $47,195 "
Fort Hamilton Hughes Memorial Hospital,689,Kidney & Urinary Tract Infections W Mcc," $34,795 "
Fort Hamilton Hughes Memorial Hospital,690,Kidney & Urinary Tract Infections W/O Mcc," $28,502 "
Fort Hamilton Hughes Memorial Hospital,693,Urinary Stones W/O Esw Lithotripsy W Mcc," $18,775 "
Fort Hamilton Hughes Memorial Hospital,694,Urinary Stones W/O Esw Lithotripsy W/O Mcc," $21,519 "
Fort Hamilton Hughes Memorial Hospital,696,Kidney & Urinary Tract Signs & Symptoms W/O Mcc," $33,511 "
Fort Hamilton Hughes Memorial Hospital,698,Other Kidney & Urinary Tract Diagnoses W Mcc," $45,686 "
Fort Hamilton Hughes Memorial Hospital,699,Other Kidney & Urinary Tract Diagnoses W Cc," $24,894 "
Fort Hamilton Hughes Memorial Hospital,700,Other Kidney & Urinary Tract Diagnoses W/O Cc/Mcc," $21,239 "
Fort Hamilton Hughes Memorial Hospital,707,Major Male Pelvic Procedures W Cc/Mcc," $42,809 "
Fort Hamilton Hughes Memorial Hospital,708,Major Male Pelvic Procedures W/O Cc/Mcc," $38,525 "
Fort Hamilton Hughes Memorial Hospital,711,Testes Procedures W Cc/Mcc," $81,719 "
Fort Hamilton Hughes Memorial Hospital,713,Transurethral Prostatectomy W Cc/Mcc," $94,991 "
Fort Hamilton Hughes Memorial Hospital,717,Other Male Reproductive System O.R. Proc Exc Malignancy W Cc/Mcc," $38,153 "
Fort Hamilton Hughes Memorial Hospital,718,Other Male Reproductive System O.R. Proc Exc Malignancy W/O Cc/Mcc," $38,740 "
Fort Hamilton Hughes Memorial Hospital,722,"Malignancy, Male Reproductive System W Mcc"," $4,304 "
Fort Hamilton Hughes Memorial Hospital,723,"Malignancy, Male Reproductive System W Cc"," $37,982 "
Fort Hamilton Hughes Memorial Hospital,725,Benign Prostatic Hypertrophy W Mcc," $110,603 "
Fort Hamilton Hughes Memorial Hospital,726,Benign Prostatic Hypertrophy W/O Mcc," $21,507 "
Fort Hamilton Hughes Memorial Hospital,727,Inflammation Of The Male Reproductive System W Mcc," $30,358 "
Fort Hamilton Hughes Memorial Hospital,728,Inflammation Of The Male Reproductive System W/O Mcc," $19,540 "
Fort Hamilton Hughes Memorial Hospital,741,"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W/O Cc/Mcc"," $40,428 "
Fort Hamilton Hughes Memorial Hospital,742,Uterine & Adnexa Proc For Non-Malignancy W Cc/Mcc," $61,419 "
Fort Hamilton Hughes Memorial Hospital,743,Uterine & Adnexa Proc For Non-Malignancy W/O Cc/Mcc," $39,467 "
Fort Hamilton Hughes Memorial Hospital,747,"Vagina, Cervix & Vulva Procedures W/O Cc/Mcc"," $28,398 "
Fort Hamilton Hughes Memorial Hospital,749,Other Female Reproductive System O.R. Procedures W Cc/Mcc," $59,399 "
Fort Hamilton Hughes Memorial Hospital,754,"Malignancy, Female Reproductive System W Mcc"," $52,913 "
Fort Hamilton Hughes Memorial Hospital,757,"Infections, Female Reproductive System W Mcc"," $71,146 "
Fort Hamilton Hughes Memorial Hospital,759,"Infections, Female Reproductive System W/O Cc/Mcc"," $17,443 "
Fort Hamilton Hughes Memorial Hospital,760,Menstrual & Other Female Reproductive System Disorders W Cc/Mcc," $21,810 "
Fort Hamilton Hughes Memorial Hospital,761,Menstrual & Other Female Reproductive System Disorders W/O Cc/Mcc," $28,426 "
Fort Hamilton Hughes Memorial Hospital,765,Cesarean Section W Cc/Mcc," $32,691 "
Fort Hamilton Hughes Memorial Hospital,766,Cesarean Section W/O Cc/Mcc," $28,360 "
Fort Hamilton Hughes Memorial Hospital,767,Vaginal Delivery W Sterilization &/Or D&C," $42,223 "
Fort Hamilton Hughes Memorial Hospital,769,Postpartum & Post Abortion Diagnoses W O.R. Procedure," $42,751 "
Fort Hamilton Hughes Memorial Hospital,774,Vaginal Delivery W Complicating Diagnoses," $27,846 "
Fort Hamilton Hughes Memorial Hospital,775,Vaginal Delivery W/O Complicating Diagnoses," $25,036 "
Fort Hamilton Hughes Memorial Hospital,776,Postpartum & Post Abortion Diagnoses W/O O.R. Procedure," $18,953 "
Fort Hamilton Hughes Memorial Hospital,777,Ectopic Pregnancy," $36,140 "
Fort Hamilton Hughes Memorial Hospital,778,Threatened Abortion," $15,926 "
Fort Hamilton Hughes Memorial Hospital,779,Abortion W/O D&C," $23,238 "
Fort Hamilton Hughes Memorial Hospital,780,False Labor," $7,107 "
Fort Hamilton Hughes Memorial Hospital,781,Other Antepartum Diagnoses W Medical Complications," $19,946 "
Fort Hamilton Hughes Memorial Hospital,782,Other Antepartum Diagnoses W/O Medical Complications," $7,231 "
Fort Hamilton Hughes Memorial Hospital,789,"Neonates, Died Or Transferred To Another Acute Care Facility"," $18,476 "
Fort Hamilton Hughes Memorial Hospital,790,"Extreme Immaturity Or Respiratory Distress Syndrome, Neonate"," $58,803 "
Fort Hamilton Hughes Memorial Hospital,791,Prematurity W Major Problems," $43,680 "
Fort Hamilton Hughes Memorial Hospital,792,Prematurity W/O Major Problems," $27,568 "
Fort Hamilton Hughes Memorial Hospital,793,Full Term Neonate W Major Problems," $47,092 "
Fort Hamilton Hughes Memorial Hospital,794,Neonate W Other Significant Problems," $10,707 "
Fort Hamilton Hughes Memorial Hospital,795,Normal Newborn," $6,349 "
Fort Hamilton Hughes Memorial Hospital,799,Splenectomy W Mcc," $232,084 "
Fort Hamilton Hughes Memorial Hospital,803,Other O.R. Proc Of The Blood & Blood Forming Organs W Cc," $96,506 "
Fort Hamilton Hughes Memorial Hospital,808,Major Hematol/Immun Diag Exc Sickle Cell Crisis & Coagul W Mcc," $42,803 "
Fort Hamilton Hughes Memorial Hospital,809,Major Hematol/Immun Diag Exc Sickle Cell Crisis & Coagul W Cc," $31,844 "
Fort Hamilton Hughes Memorial Hospital,810,Major Hematol/Immun Diag Exc Sickle Cell Crisis & Coagul W/O Cc/Mcc," $16,710 "
Fort Hamilton Hughes Memorial Hospital,811,Red Blood Cell Disorders W Mcc," $53,375 "
Fort Hamilton Hughes Memorial Hospital,812,Red Blood Cell Disorders W/O Mcc," $31,791 "
Fort Hamilton Hughes Memorial Hospital,813,Coagulation Disorders," $108,968 "
Fort Hamilton Hughes Memorial Hospital,815,Reticuloendothelial & Immunity Disorders W Cc," $16,821 "
Fort Hamilton Hughes Memorial Hospital,816,Reticuloendothelial & Immunity Disorders W/O Cc/Mcc," $22,223 "
Fort Hamilton Hughes Memorial Hospital,824,Lymphoma & Non-Acute Leukemia W Other Proc W Cc," $79,503 "
Fort Hamilton Hughes Memorial Hospital,836,Acute Leukemia W/O Major O.R. Procedure W/O Cc/Mcc," $18,189 "
Fort Hamilton Hughes Memorial Hospital,840,Lymphoma & Non-Acute Leukemia W Mcc," $40,592 "
Fort Hamilton Hughes Memorial Hospital,841,Lymphoma & Non-Acute Leukemia W Cc," $47,363 "
Fort Hamilton Hughes Memorial Hospital,843,Other Myeloprolif Dis Or Poorly Diff Neopl Diag W Mcc," $73,673 "
Fort Hamilton Hughes Memorial Hospital,853,Infectious & Parasitic Diseases W O.R. Procedure W Mcc," $136,508 "
Fort Hamilton Hughes Memorial Hospital,854,Infectious & Parasitic Diseases W O.R. Procedure W Cc," $53,845 "
Fort Hamilton Hughes Memorial Hospital,856,Postoperative Or Post-Traumatic Infections W O.R. Proc W Mcc," $49,991 "
Fort Hamilton Hughes Memorial Hospital,857,Postoperative Or Post-Traumatic Infections W O.R. Proc W Cc," $53,593 "
Fort Hamilton Hughes Memorial Hospital,862,Postoperative & Post-Traumatic Infections W Mcc," $79,350 "
Fort Hamilton Hughes Memorial Hospital,863,Postoperative & Post-Traumatic Infections W/O Mcc," $20,981 "
Fort Hamilton Hughes Memorial Hospital,864,Fever And Inflammatory Conditions," $25,356 "
Fort Hamilton Hughes Memorial Hospital,866,Viral Illness W/O Mcc," $56,388 "
Fort Hamilton Hughes Memorial Hospital,868,Other Infectious & Parasitic Diseases Diagnoses W Cc," $54,233 "
Fort Hamilton Hughes Memorial Hospital,869,Other Infectious & Parasitic Diseases Diagnoses W/O Cc/Mcc," $8,555 "
Fort Hamilton Hughes Memorial Hospital,870,Septicemia Or Severe Sepsis W Mv >96 Hours Or Peripheral Extracorporeal Membrane Oxygenation (Ecmo)," $197,536 "
Fort Hamilton Hughes Memorial Hospital,871,Septicemia Or Severe Sepsis W/O Mv >96 Hours W Mcc," $59,197 "
Fort Hamilton Hughes Memorial Hospital,872,Septicemia Or Severe Sepsis W/O Mv >96 Hours W/O Mcc," $31,245 "
Fort Hamilton Hughes Memorial Hospital,880,Acute Adjustment Reaction & Psychosocial Dysfunction," $18,499 "
Fort Hamilton Hughes Memorial Hospital,881,Depressive Neuroses," $14,155 "
Fort Hamilton Hughes Memorial Hospital,882,Neuroses Except Depressive," $16,734 "
Fort Hamilton Hughes Memorial Hospital,883,Disorders Of Personality & Impulse Control," $15,190 "
Fort Hamilton Hughes Memorial Hospital,884,Organic Disturbances & Intellectual Disability," $26,843 "
Fort Hamilton Hughes Memorial Hospital,885,Psychoses," $18,619 "
Fort Hamilton Hughes Memorial Hospital,894,"Alcohol/Drug Abuse Or Dependence, Left Ama"," $20,065 "
Fort Hamilton Hughes Memorial Hospital,896,Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W Mcc," $41,399 "
Fort Hamilton Hughes Memorial Hospital,897,Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W/O Mcc," $19,426 "
Fort Hamilton Hughes Memorial Hospital,902,Wound Debridements For Injuries W Cc," $112,620 "
Fort Hamilton Hughes Memorial Hospital,907,Other O.R. Procedures For Injuries W Mcc," $75,971 "
Fort Hamilton Hughes Memorial Hospital,908,Other O.R. Procedures For Injuries W Cc," $102,371 "
Fort Hamilton Hughes Memorial Hospital,914,Traumatic Injury W/O Mcc," $19,194 "
Fort Hamilton Hughes Memorial Hospital,915,Allergic Reactions W Mcc," $58,655 "
Fort Hamilton Hughes Memorial Hospital,916,Allergic Reactions W/O Mcc," $21,131 "
Fort Hamilton Hughes Memorial Hospital,917,Poisoning & Toxic Effects Of Drugs W Mcc," $40,171 "
Fort Hamilton Hughes Memorial Hospital,918,Poisoning & Toxic Effects Of Drugs W/O Mcc," $17,677 "
Fort Hamilton Hughes Memorial Hospital,919,Complications Of Treatment W Mcc," $6,647 "
Fort Hamilton Hughes Memorial Hospital,920,Complications Of Treatment W Cc," $35,161 "
Fort Hamilton Hughes Memorial Hospital,921,Complications Of Treatment W/O Cc/Mcc," $45,075 "
Fort Hamilton Hughes Memorial Hospital,935,Non-Extensive Burns," $13,220 "
Fort Hamilton Hughes Memorial Hospital,940,O.R. Proc W Diagnoses Of Other Contact W Health Services W Cc," $67,337 "
Fort Hamilton Hughes Memorial Hospital,947,Signs & Symptoms W Mcc," $44,155 "
Fort Hamilton Hughes Memorial Hospital,948,Signs & Symptoms W/O Mcc," $25,413 "
Fort Hamilton Hughes Memorial Hospital,951,Other Factors Influencing Health Status," $5,487 "
Fort Hamilton Hughes Memorial Hospital,956,"Limb Reattachment, Hip & Femur Proc For Multiple Significant Trauma"," $129,938 "
Fort Hamilton Hughes Memorial Hospital,974,Hiv W Major Related Condition W Mcc," $55,465 "
Fort Hamilton Hughes Memorial Hospital,975,Hiv W Major Related Condition W Cc," $47,780 "
Fort Hamilton Hughes Memorial Hospital,977,Hiv W Or W/O Other Related Condition," $62,697 "
Fort Hamilton Hughes Memorial Hospital,981,Extensive O.R. Procedure Unrelated To Principal Diagnosis W Mcc," $107,880 "
Fort Hamilton Hughes Memorial Hospital,982,Extensive O.R. Procedure Unrelated To Principal Diagnosis W Cc," $82,944 "
Fort Hamilton Hughes Memorial Hospital,983,Extensive O.R. Procedure Unrelated To Principal Diagnosis W/O Cc/Mcc," $56,719 "
Fort Hamilton Hughes Memorial Hospital,987,Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Mcc," $81,403 "
Fort Hamilton Hughes Memorial Hospital,988,Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Cc," $66,515 "
Fort Hamilton Hughes Memorial Hospital,989,Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W/O Cc/Mcc," $42,483 "
