BRONSON HEALTHCARE GROUP,,,
PHARMACY CHARGEMASTER,,,
"AS OF JANUARY 1, 2019",,,
,,,
Medication,11 Digit NDC Code,Charge Per 1 Unit,
CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH,52376002102, 0.26 ,BMH
CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH,50383072015, 0.92 ,BMH
CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH,50383072017, 0.92 ,BMH
CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH,09900000023, 0.26 ,BMH
CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH,00116200115, 0.09 ,BMH
CHLOROPROCAINE (PF) 20 MG/ML (2 %) INJECTION SOLUTION,63323047727, 4.17 ,BMH
CHLOROPROCAINE (PF) 30 MG/ML (3 %) INJECTION SOLUTION,63323047827, 4.38 ,BMH
CHLOROPROCAINE (PF) 30 MG/ML (3 %) INJECTION SOLUTION,00143921010, 4.11 ,BMH
CHLOROPROCAINE (PF) 30 MG/ML (3 %) INJECTION SOLUTION,00143921001, 4.11 ,BMH
CHLOROTHIAZIDE 250 MG TABLET,00378015001, 4.43 ,BMH
CHLOROTHIAZIDE 250 MG/5 ML ORAL SUSPENSION,09900000734, 2.35 ,BMH
CHLOROTHIAZIDE SODIUM 500 MG INTRAVENOUS SOLUTION,25021030520, 216.45 ,BMH
CHLOROTHIAZIDE SODIUM 500 MG INTRAVENOUS SOLUTION,17478041940, 196.92 ,BMH
CHLOROTHIAZIDE SODIUM 500 MG INTRAVENOUS SOLUTION,63323065820, 175.16 ,BMH
CHLORPHENIRAMINE 4 MG TABLET,87701060111, 0.71 ,BMH
CHLORPHENIRAMINE 4 MG TABLET,00904001261, 0.66 ,BMH
CHLORPHENIRAMINE 4 MG TABLET,49483024201, 0.49 ,BMH
CHLORPROMAZINE 10 MG TABLET,00781591301, 9.31 ,BMH
CHLORPROMAZINE 200 MG TABLET,00832030400, 24.73 ,BMH
CHLORPROMAZINE 25 MG TABLET,00832030100, 12.37 ,BMH
CHLORPROMAZINE 25 MG/ML INJECTION SOLUTION,00641139835, 55.63 ,BMH
CHLORPROMAZINE 25 MG/ML INJECTION SOLUTION,00641139831, 55.63 ,BMH
CHLORTHALIDONE 25 MG TABLET,51079005801, 7.27 ,BMH
CHLORTHALIDONE 25 MG TABLET,51079005820, 7.27 ,BMH
CHLORZOXAZONE 500 MG TABLET,00591252001, 1.99 ,BMH
"CHOLECALCIFEROL (VITAMIN D3) 1,000 UNIT TABLET",00761009840, 0.52 ,BMH
"CHOLECALCIFEROL (VITAMIN D3) 1,000 UNIT TABLET",00904582460, 0.33 ,BMH
"CHOLECALCIFEROL (VITAMIN D3) 1,000 UNIT TABLET",00904582461, 0.78 ,BMH
CHOLECALCIFEROL (VITAMIN D3) 400 UNIT TABLET,00904582360, 0.26 ,BMH
"CHOLECALCIFEROL (VITAMIN D3) 5,000 UNIT CAPSULE",00904598660, 0.61 ,BMH
CHOLESTYRAMINE-ASPARTAME 4 GRAM ORAL POWDER,00185093997, 2.12 ,BMH
CHOLESTYRAMINE-ASPARTAME 4 GRAM ORAL POWDER FOR SUSP IN A PACKET,00245003660, 9.21 ,BMH
CHOLESTYRAMINE-ASPARTAME 4 GRAM ORAL POWDER FOR SUSP IN A PACKET,49884046663, 9.21 ,BMH
CHOLESTYRAMINE-ASPARTAME 4 GRAM ORAL POWDER FOR SUSP IN A PACKET,00245003689, 9.21 ,BMH
CHOLESTYRAMINE-ASPARTAME 4 GRAM ORAL POWDER FOR SUSP IN A PACKET,49884046665, 9.21 ,BMH
CHONDROITIN SULF-SODIUM HYALURONATE 40 MG-17 MG/ML INTRAOCULAR SYRINGE,08065183710, 321.34 ,BMH
CHONDROITIN-SOD HYALURON 3 %-4 %(0.5 ML)1 %(0.55 ML)INTRAOCULAR SYRING,08065183150, 329.09 ,BMH
CHONDROITIN-SOD HYALURON 4 %-3 % (40 MG-30 MG/ML) INTRAOCULAR SYRINGE,08065183975, 310.75 ,BMH
CHROMIUM CHLORIDE 4 MCG/ML INTRAVENOUS SOLUTION,00409409301, 24.80 ,BMH
CHROMIUM CHLORIDE 4 MCG/ML INTRAVENOUS SOLUTION,00409409309, 24.80 ,BMH
CHROMIUM CHLORIDE 4 MCG/ML INTRAVENOUS SOLUTION,00409409310, 24.80 ,BMH
CHROMIUM CHLORIDE SD 0.5 MCG/ML IV,09900000057, 0.15 ,BMH
CIDOFOVIR 75 MG/ML INTRAVENOUS SOLUTION,61958010101, 453.47 ,BMH
CILOSTAZOL 50 MG TABLET,00054002821, 2.80 ,BMH
CILOSTAZOL 50 MG TABLET,59148000316, 8.21 ,BMH
CILOSTAZOL 50 MG TABLET,60505252101, 3.24 ,BMH
CILOSTAZOL 50 MG TABLET,70436005006, 2.02 ,BMH
CINACALCET 30 MG TABLET,55513007330, 93.06 ,BMH
"CIPROFLOXACIN 0.3 %-DEXAMETHASONE 0.1 % EAR DROPS,SUSPENSION",00065853302, 94.95 ,BMH
CIPROFLOXACIN 250 MG TABLET,68084006911, 4.35 ,BMH
CIPROFLOXACIN 250 MG TABLET,68084006901, 4.35 ,BMH
CIPROFLOXACIN 250 MG/5 ML ORAL SUSPENSION,68180039201, 4.16 ,BMH
CIPROFLOXACIN 250 MG/5 ML ORAL SUSPENSION,50419077701, 5.86 ,BMH
CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,25021011487, 0.51 ,BMH
CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,00409477702, 0.38 ,BMH
CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,00409477750, 0.38 ,BMH
CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,36000000924, 0.38 ,BMH
CIPROFLOXACIN 500 MG TABLET,68084007011, 3.74 ,BMH
CIPROFLOXACIN 500 MG TABLET,68084007001, 3.74 ,BMH
CIPROFLOXACIN 500 MG TABLET,51079018201, 3.39 ,BMH
CIPROFLOXACIN 500 MG TABLET,00904637861, 3.03 ,BMH
CIPROFLOXACIN 6 % (6 MG/0.1 ML) INTRATYMPANIC SUSPENSION,69251020101, 981.30 ,BMH
CIPROFLOXACIN 6 % (6 MG/0.1 ML) INTRATYMPANIC SUSPENSION,69251020102, 981.30 ,BMH
CIPROFLOXACIN 750 MG TABLET,55111012850, 2.84 ,BMH
CIPROFLOXACIN 750 MG TABLET,68084007101, 4.01 ,BMH
CIPROFLOXACIN 750 MG TABLET,00172531360, 8.05 ,BMH
CISATRACURIUM 2 MG/ML INTRAVENOUS SOLUTION,00074437805, 13.05 ,BMH
CISATRACURIUM 2 MG/ML INTRAVENOUS SOLUTION,00781315075, 4.41 ,BMH
CISATRACURIUM 2 MG/ML INTRAVENOUS SOLUTION,00781315095, 4.41 ,BMH
CISATRACURIUM 2 MG/ML INTRAVENOUS SOLUTION,63323041605, 7.82 ,BMH
CISATRACURIUM CONCENTRATE 10 MG/ML (ICU USE ONLY) INTRAVENOUS SOLUTION,63323041820, 29.52 ,BMH
CISATRACURIUM CONCENTRATE 10 MG/ML (ICU USE ONLY) INTRAVENOUS SOLUTION,00781315380, 23.98 ,BMH
CISATRACURIUM CONCENTRATE 10 MG/ML (ICU USE ONLY) INTRAVENOUS SOLUTION,00781315395, 23.98 ,BMH
CISPLATIN 1 MG/ML INTRAVENOUS SOLUTION,00703574711, 4.25 ,BMH
CISPLATIN 1 MG/ML INTRAVENOUS SOLUTION,63323010351, 3.61 ,BMH
CISPLATIN 1 MG/ML INTRAVENOUS SOLUTION,00703574811, 3.55 ,BMH
CISPLATIN 1 MG/ML INTRAVENOUS SOLUTION,63323010365, 1.96 ,BMH
CISPLATIN 1 MG/ML INTRAVENOUS SOLUTION,63323010364, 1.67 ,BMH
CITALOPRAM 10 MG TABLET,00378623101, 0.38 ,BMH
CITALOPRAM 10 MG TABLET,00904608461, 1.22 ,BMH
CITALOPRAM 20 MG TABLET,65162005310, 2.51 ,BMH
CITALOPRAM 20 MG TABLET,00904608561, 1.18 ,BMH
CITALOPRAM 20 MG TABLET,68084074411, 1.74 ,BMH
CITALOPRAM 20 MG TABLET,68084074401, 1.74 ,BMH
CITALOPRAM 40 MG TABLET,00904608661, 1.43 ,BMH
CITRATE DEXTROSE SOLUTION,00942064104, 0.08 ,BMH
CITRIC ACID (BULK) POWDER,38779006809, 0.17 ,BMH
CLADRIBINE 10 MG/10 ML INTRAVENOUS SOLUTION,63323014010, 98.92 ,BMH
CLARITHROMYCIN 250 MG/5 ML ORAL SUSPENSION,00781602346, 5.49 ,BMH
CLARITHROMYCIN 500 MG TABLET,00781196260, 3.93 ,BMH
CLARITHROMYCIN 500 MG TABLET,68382076214, 12.53 ,BMH
CLARITHROMYCIN 500 MG TABLET,00074258660, 33.73 ,BMH
CLARITHROMYCIN 500 MG TABLET,00527193206, 4.21 ,BMH
CLINDAMYCIN 100 MG/ML CUSTOM INJECTION,00009090211, 16.38 ,BMH
CLINDAMYCIN 100 MG/ML CUSTOM INJECTION,00009072805, 8.95 ,BMH
CLINDAMYCIN 100 MG/ML CUSTOM INJECTION,00009090218, 16.38 ,BMH
CLINDAMYCIN 150 MG/ML INJECTION SOLUTION,00009090211, 4.85 ,BMH
CLINDAMYCIN 150 MG/ML INJECTION SOLUTION,00009072805, 1.59 ,BMH
CLINDAMYCIN 150 MG/ML INJECTION SOLUTION,00009090218, 4.85 ,BMH
CLINDAMYCIN 150 MG/ML INJECTION SOLUTION,00009072809, 1.59 ,BMH
CLINDAMYCIN 150 MG/ML INJECTION SOLUTION,47781046168, 3.54 ,BMH
CLINDAMYCIN 150 MG/ML INJECTION SOLUTION (BMH OSC),00009072809, 1.59 ,BMH
CLINDAMYCIN 150 MG/ML INJECTION SOLUTION (BMH OSC),00009072805, 1.59 ,BMH
CLINDAMYCIN 2 % VAGINAL CREAM,59762500901, 6.99 ,BMH
CLINDAMYCIN 2 % VAGINAL CREAM,00168027740, 5.42 ,BMH
CLINDAMYCIN 600 MG (IV PREMIX),09900000157, 1.30 ,BMH
CLINDAMYCIN 600 MG/50 ML IVPB IN D5W OR NS CUSTOM,09900000157, 0.42 ,BMH
CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION,00574012901, 4.44 ,BMH
CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION,59762001601, 4.44 ,BMH
CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION,65862059601, 4.18 ,BMH
CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION,65162046819, 4.18 ,BMH
CLINDAMYCIN 900 MG (IV PREMIX),09900000158, 1.54 ,BMH
CLINDAMYCIN 900 MG/50 ML IVPB IN D5W OR NS CUSTOM,09900000158, 0.33 ,BMH
CLINDAMYCIN HCL 150 MG CAPSULE,59762332801, 4.39 ,BMH
CLINDAMYCIN HCL 150 MG CAPSULE,65862018501, 4.23 ,BMH
CLINDAMYCIN HCL 150 MG CAPSULE,00591570801, 3.15 ,BMH
CLINDAMYCIN HCL 150 MG CAPSULE,63739005910, 2.00 ,BMH
CLINDAMYCIN HCL 150 MG CAPSULE,68084024301, 3.69 ,BMH
CLINDAMYCIN HCL 150 MG CAPSULE,68084024311, 3.69 ,BMH
CLINDAMYCIN HCL 150 MG CAPSULE,42292001801, 4.38 ,BMH
CLINDAMYCIN HCL 150 MG CAPSULE,42292001820, 4.37 ,BMH
CLINDAMYCIN HCL 300 MG CAPSULE,68084024401, 2.92 ,BMH
CLINDAMYCIN HCL 300 MG CAPSULE,68084024411, 2.92 ,BMH
CLINDAMYCIN IN NS 30 MG/0.5 ML FOR DISCOGRAM,09900000390, 9.96 ,BMH
CLOBAZAM 10 MG TABLET,67386031401, 62.09 ,BMH
CLOBAZAM 2.5 MG/ML ORAL SUSPENSION,67386031321, 30.48 ,BMH
CLOBAZAM 2.5 MG/ML ORAL SUSPENSION,09900000597, 14.28 ,BMH
CLOBAZAM 2.5 MG/ML ORAL SUSPENSION,09900000626, 25.26 ,BMH
CLOBETASOL 0.05 % TOPICAL CREAM,51672125801, 3.56 ,BMH
CLOBETASOL 0.05 % TOPICAL OINTMENT,51672125901, 2.70 ,BMH
CLOFARABINE 20 MG/20 ML INTRAVENOUS SOLUTION,00024586001, 269.40 ,BMH
CLOMIPRAMINE 25 MG CAPSULE,51672401105, 23.34 ,BMH
CLOMIPRAMINE 25 MG CAPSULE,51672401106, 15.30 ,BMH
CLONAZEPAM 0.125 MG DISINTEGRATING TABLET,49884030602, 2.79 ,BMH
CLONAZEPAM 0.125 MG DISINTEGRATING TABLET,49884030652, 2.79 ,BMH
CLONAZEPAM 0.5 MG DISINTEGRATING TABLET,00555009696, 4.19 ,BMH
CLONAZEPAM 0.5 MG TABLET,00185006301, 0.26 ,BMH
CLONAZEPAM 0.5 MG TABLET,51079088101, 1.61 ,BMH
CLONAZEPAM 0.5 MG TABLET,51079088120, 1.61 ,BMH
CLONAZEPAM 0.5 MG TABLET,16729013600, 0.65 ,BMH
CLONAZEPAM 0.5 MG TABLET,00781801801, 1.17 ,BMH
CLONAZEPAM 0.5 MG TABLET,63739026310, 0.82 ,BMH
CLONAZEPAM 0.5 MG TABLET,00004006801, 9.31 ,BMH
CLONAZEPAM 0.5 MG TABLET,00781801805, 1.17 ,BMH
CLONAZEPAM 0.5 MG TABLET,43547040610, 0.26 ,BMH
CLONAZEPAM 0.5 MG TABLET,00228300311, 0.25 ,BMH
CLONAZEPAM 1 MG TABLET,00904610261, 0.96 ,BMH
CLONAZEPAM 1 MG TABLET,51079088201, 1.47 ,BMH
CLONAZEPAM 1 MG TABLET,51079088220, 1.47 ,BMH
CLONAZEPAM 1 MG TABLET,00185006401, 0.40 ,BMH
CLONAZEPAM 1 MG TABLET,00378191201, 0.65 ,BMH
CLONAZEPAM 1 MG TABLET,16729013700, 0.68 ,BMH
CLONAZEPAM 1 MG TABLET,43547040710, 0.33 ,BMH
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH,00591350804, 90.20 ,BMH
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH,00555100916, 43.53 ,BMH
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH,00378087116, 45.94 ,BMH
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH,00378087199, 45.94 ,BMH
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERMAL PATCH,00378087216, 63.92 ,BMH
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERMAL PATCH,00597003234, 383.54 ,BMH
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERMAL PATCH,00378087299, 63.92 ,BMH
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERMAL PATCH,00378087316, 81.97 ,BMH
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERMAL PATCH,00378087399, 81.97 ,BMH
CLONIDINE HCL 0.1 MG TABLET,62584065711, 1.39 ,BMH
CLONIDINE HCL 0.1 MG TABLET,51079029901, 0.99 ,BMH
CLONIDINE HCL 0.1 MG TABLET,51079029920, 0.99 ,BMH
CLONIDINE HCL 0.1 MG TABLET,00904565661, 1.03 ,BMH
CLONIDINE HCL 0.2 MG TABLET,51079030001, 1.51 ,BMH
CLONIDINE HCL 0.2 MG TABLET,62584033911, 1.95 ,BMH
CLONIDINE HCL 0.2 MG TABLET,51079030020, 1.50 ,BMH
CLONIDINE HCL 0.2 MG TABLET,00904565761, 1.25 ,BMH
CLONIDINE HCL 0.2 MG TABLET,29300013601, 0.71 ,BMH
"CLONIDINE HCL ER 0.1 MG TABLET,EXTENDED RELEASE,12 HR",68084086625, 17.64 ,BMH
"CLONIDINE HCL ER 0.1 MG TABLET,EXTENDED RELEASE,12 HR",68084086695, 17.65 ,BMH
"CLONIDINE HCL ER 0.1 MG TABLET,EXTENDED RELEASE,12 HR",66993077660, 9.60 ,BMH
CLOPIDOGREL 300 MG TABLET,63653133202, 89.29 ,BMH
CLOPIDOGREL 300 MG TABLET,51079055801, 38.47 ,BMH
CLOPIDOGREL 300 MG TABLET,51079055803, 38.47 ,BMH
CLOPIDOGREL 300 MG TABLET,55111067131, 47.52 ,BMH
CLOPIDOGREL 300 MG TABLET,00904646707, 36.20 ,BMH
CLOPIDOGREL 75 MG TABLET,63653117103, 22.32 ,BMH
CLOPIDOGREL 75 MG TABLET,00904629401, 2.08 ,BMH
CLOPIDOGREL 75 MG TABLET,51079055701, 4.45 ,BMH
CLOPIDOGREL 75 MG TABLET,51079055720, 4.44 ,BMH
CLOPIDOGREL 75 MG TABLET,00904629461, 3.36 ,BMH
CLORAZEPATE DIPOTASSIUM 3.75 MG TABLET,00378003001, 3.67 ,BMH
CLOTRIMAZOLE 1 % TOPICAL CREAM,00168013315, 2.96 ,BMH
CLOTRIMAZOLE 1 % TOPICAL CREAM,45802043401, 0.90 ,BMH
CLOTRIMAZOLE 1 % TOPICAL CREAM,51672200201, 1.53 ,BMH
CLOTRIMAZOLE 1 % TOPICAL CREAM,00904782236, 0.65 ,BMH
CLOTRIMAZOLE 1 % VAGINAL CREAM,51672200306, 0.26 ,BMH
CLOTRIMAZOLE 10 MG TROCHE,00574010777, 3.21 ,BMH
CLOTRIMAZOLE 10 MG TROCHE,00054414622, 4.00 ,BMH
CLOTRIMAZOLE 10 MG TROCHE,00054814622, 3.31 ,BMH
CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM,00168025815, 1.42 ,BMH
CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM,66993089815, 5.40 ,BMH
CLOZAPINE 100 MG DISINTEGRATING TABLET,18860010401, 55.39 ,BMH
CLOZAPINE 100 MG TABLET,00078012705, 48.36 ,BMH
CLOZAPINE 100 MG TABLET,00078012706, 43.40 ,BMH
CLOZAPINE 100 MG TABLET,00078012761, 48.36 ,BMH
CLOZAPINE 100 MG TABLET,51079092201, 5.25 ,BMH
CLOZAPINE 100 MG TABLET,51079092220, 5.24 ,BMH
CLOZAPINE 100 MG TABLET,00093777201, 4.46 ,BMH
CLOZAPINE 25 MG TABLET,51079092101, 4.37 ,BMH
CLOZAPINE 25 MG TABLET,00078012661, 18.67 ,BMH
CLOZAPINE 25 MG TABLET,00078012605, 18.66 ,BMH
CLOZAPINE 25 MG TABLET,51079092120, 4.36 ,BMH
CLOZAPINE 25 MG TABLET,00093435901, 2.19 ,BMH
"COAGULATION FACTOR IX (RECOMB) 1,000 UNIT INTRAVENOUS SOLUTION",58394063503, 3.40 ,BMH
"COAGULATION FACTOR IX (RECOMB) 2,000 UNIT INTRAVENOUS SOLUTION",58394063603, 3.40 ,BMH
"COAGULATION FACTOR VIIA RECOMB 1 MG (1,000 MCG) INTRAVENOUS SOLUTION",00169720101," 6,164.48 ",BMH
"COAGULATION FACTOR VIIA RECOMB 2 MG (2,000 MCG) INTRAVENOUS SOLUTION",00169720201," 10,017.28 ",BMH
"COAGULATION FACTOR VIIA RECOMB 5 MG (5,000 MCG) INTRAVENOUS SOLUTION",00169720501," 25,043.20 ",BMH
COCAINE 4 % TOPICAL SOLUTION,00527172874, 132.43 ,BMH
CODEINE 10 MG-GUAIFENESIN 100 MG/5 ML ORAL LIQUID,00603107558, 1.26 ,BMH
CODEINE 10 MG-GUAIFENESIN 100 MG/5 ML ORAL LIQUID,00121177505, 1.80 ,BMH
CODEINE 10 MG-GUAIFENESIN 100 MG/5 ML ORAL LIQUID,00121077516, 1.68 ,BMH
CODEINE SULFATE 30 MG TABLET,00054024424, 5.63 ,BMH
CODEINE SULFATE 30 MG TABLET,00054024425, 6.11 ,BMH
COLCHICINE 0.6 MG TABLET,64764011907, 24.16 ,BMH
COLESEVELAM 625 MG TABLET,65597070118, 12.63 ,BMH
COLESTIPOL 1 GRAM TABLET,59762045001, 4.72 ,BMH
COLESTIPOL 5 GRAM ORAL PACKET,00115521230, 10.89 ,BMH
COLESTIPOL 5 GRAM ORAL PACKET,00115521218, 10.89 ,BMH
COLESTIPOL 5 GRAM ORAL PACKET,00009026001, 23.24 ,BMH
COLESTIPOL 5 GRAM ORAL PACKET,59762026001, 10.79 ,BMH
COLISTIN (COLISTIMETHATE SODIUM) 150 MG SOLUTION FOR INJECTION,39822061501, 116.64 ,BMH
COLISTIN (COLISTIMETHATE SODIUM) 150 MG SOLUTION FOR INJECTION,42023010701, 116.55 ,BMH
COLISTIN (COLISTIMETHATE SODIUM) 150 MG SOLUTION FOR INJECTION,00574085801, 107.78 ,BMH
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM 250 UNIT/GRAM TOPICAL OINTMENT,00064501030, 20.88 ,BMH
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM 250 UNIT/GRAM TOPICAL OINTMENT,50484001030, 22.99 ,BMH
COMPOUNDING VEHICLE NO.8 ORAL LIQUID,00574030416, 0.35 ,BMH
COMPOUNDING VEHICLE NO.8 ORAL LIQUID,00395009016, 0.28 ,BMH
COMPOUNDING VEHICLE SUGAR-FREE NO.9 ORAL LIQUID,00395009416, 0.28 ,BMH
COMPOUNDING VEHICLE SUSPENSION NO.7 ORAL,00574030316, 0.35 ,BMH
COMPOUNDING VEHICLE SUSPENSION SUGAR-FREE NO.20 ORAL,39328001416, 0.38 ,BMH
CONJUGATED ESTROGENS 0.3 MG TABLET,00046110081, 18.53 ,BMH
CONJUGATED ESTROGENS 0.625 MG TABLET,00046110281, 18.53 ,BMH
CONJUGATED ESTROGENS 0.625 MG/GRAM VAGINAL CREAM,00046087221, 38.82 ,BMH
CONJUGATED ESTROGENS 1.25 MG TABLET,00046110481, 18.53 ,BMH
CONJUGATED ESTROGENS 25 MG SOLUTION FOR INJECTION,00046074905, 985.48 ,BMH
COPPER GLYCINATE AMINO ACID CHELATE 2.5 MG TABLET,03398400640, 2.09 ,BMH
COPPER GLYCINATE AMINO ACID CHELATE 2.5 MG TABLET,09900000385, 2.09 ,BMH
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,67457002702, 272.62 ,BMH
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,00548590000, 353.88 ,BMH
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,00781344095, 73.43 ,BMH
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,00781344071, 73.43 ,BMH
CROTALIDAE POLYVAL IMMUNE FAB SOLUTION FOR INJECTION,50633011012," 7,782.66 ",BMH
CUPRIC CHLORIDE 0.4 MG/ML INTRAVENOUS SOLUTION,00409409201, 24.80 ,BMH
"CYANOCOBALAMIN (VIT B-12) 1,000 MCG/ML INJECTION SOLUTION",00517003125, 29.10 ,BMH
"CYANOCOBALAMIN (VIT B-12) 1,000 MCG/ML INJECTION SOLUTION",70069000510, 21.82 ,BMH
"CYANOCOBALAMIN (VIT B-12) 1,000 MCG/ML INJECTION SOLUTION",70069000501, 21.82 ,BMH
"CYANOCOBALAMIN (VIT B-12) 1,000 MCG/ML INJECTION SOLUTION",63323004401, 15.86 ,BMH
CYANOCOBALAMIN (VIT B-12) 100 MCG TABLET,00904113213, 0.50 ,BMH
CYANOCOBALAMIN (VIT B-12) 100 MCG TABLET,00536354201, 0.69 ,BMH
CYANOCOBALAMIN (VIT B-12) 500 MCG TABLET,51645091301, 1.76 ,BMH
CYANOCOBALAMIN (VIT B-12) 500 MCG TABLET,00536355101, 1.20 ,BMH
CYANOCOBALAMIN (VIT B-12) 500 MCG TABLET,00904320713, 0.82 ,BMH
CYANOCOBALAMIN (VIT B-12) 500 MCG TABLET,50268085415, 1.63 ,BMH
CYANOCOBALAMIN (VIT B-12) 500 MCG TABLET,50268085411, 1.63 ,BMH
CYCLOBENZAPRINE 10 MG TABLET,51079064401, 1.27 ,BMH
CYCLOBENZAPRINE 10 MG TABLET,51079064420, 1.27 ,BMH
CYCLOBENZAPRINE 10 MG TABLET,00904780961, 0.96 ,BMH
CYCLOBENZAPRINE 5 MG TABLET,00603307821, 0.87 ,BMH
CYCLOBENZAPRINE 5 MG TABLET,10702000601, 0.66 ,BMH
CYCLOBENZAPRINE 5 MG TABLET,69097084507, 1.03 ,BMH
CYCLOBENZAPRINE 5 MG TABLET,00378077101, 1.01 ,BMH
CYCLOBENZAPRINE 5 MG TABLET,00591325601, 3.64 ,BMH
CYCLOPENTOLATE 1 % EYE DROPS,24208073501, 19.81 ,BMH
CYCLOPENTOLATE 1 % EYE DROPS,00065039605, 31.18 ,BMH
CYCLOPENTOLATE 1 % EYE DROPS,17478010002, 11.03 ,BMH
CYCLOPENTOLATE-PHENYLEPHRINE 0.2 %-1 % EYE DROPS,00065035902, 45.33 ,BMH
CYCLOPHOSPHAMIDE 1 GRAM INTRAVENOUS SOLUTION,10019095601," 1,559.76 ",BMH
CYCLOPHOSPHAMIDE 1 GRAM INTRAVENOUS SOLUTION,10019095616," 1,559.76 ",BMH
CYCLOPHOSPHAMIDE 2 GRAM INTRAVENOUS SOLUTION,10019095701," 2,948.81 ",BMH
CYCLOPHOSPHAMIDE 2 GRAM INTRAVENOUS SOLUTION,10019095711," 2,948.81 ",BMH
CYCLOPHOSPHAMIDE 50 MG CAPSULE,00054038325, 30.82 ,BMH
CYCLOPHOSPHAMIDE 500 MG INTRAVENOUS SOLUTION,00781323394," 1,198.35 ",BMH
CYCLOSPORINE 100 MG CAPSULE,00078024161, 48.71 ,BMH
CYCLOSPORINE 100 MG CAPSULE,00078024115, 48.71 ,BMH
CYCLOSPORINE 25 MG CAPSULE,00078024015, 12.20 ,BMH
CYCLOSPORINE 250 MG/5 ML INTRAVENOUS SOLUTION,00078010901, 36.43 ,BMH
CYCLOSPORINE 250 MG/5 ML INTRAVENOUS SOLUTION,00574086610, 30.92 ,BMH
CYCLOSPORINE MODIFIED 100 MG/ML ORAL SOLUTION,00078027422, 29.28 ,BMH
CYPROHEPTADINE 2 MG/5 ML SYRUP,00472140016, 1.29 ,BMH
CYPROHEPTADINE 4 MG TABLET,60258085001, 2.57 ,BMH
CYPROHEPTADINE 4 MG TABLET,00093292901, 2.95 ,BMH
CYPROHEPTADINE 4 MG TABLET,52817021010, 4.32 ,BMH
CYSTEINE (L-CYSTEINE) 50 MG/ML INTRAVENOUS SOLUTION,66758000501, 0.99 ,BMH
CYSTEINE (L-CYSTEINE) 50 MG/ML INTRAVENOUS SOLUTION,66758000502, 0.99 ,BMH
CYSTEINE (L-CYSTEINE) 50 MG/ML INTRAVENOUS SOLUTION,00781894095, 2.47 ,BMH
CYTARABINE (PF) 2 GRAM/20 ML (100 MG/ML) INJECTION SOLUTION,63323012020, 14.31 ,BMH
CYTARABINE (PF) 2 GRAM/20 ML (100 MG/ML) INJECTION SOLUTION,61703031922, 10.75 ,BMH
CYTOMEGALOVIRUS IMMUNE GLOBULIN 50 MG/ML INTRAVENOUS SOLUTION,44206053211, 87.78 ,BMH
CYTOMEGALOVIRUS IMMUNE GLOBULIN 50 MG/ML INTRAVENOUS SOLUTION,44206053290, 87.78 ,BMH
DABIGATRAN ETEXILATE 150 MG CAPSULE,00597013560, 18.03 ,BMH
DABIGATRAN ETEXILATE 150 MG CAPSULE,00597036082, 19.46 ,BMH
DABIGATRAN ETEXILATE 75 MG CAPSULE,00597014960, 16.70 ,BMH
DABIGATRAN ETEXILATE 75 MG CAPSULE,00597035556, 19.46 ,BMH
DACARBAZINE 200 MG INTRAVENOUS SOLUTION,61703032722, 313.14 ,BMH
DACARBAZINE 200 MG INTRAVENOUS SOLUTION,00703507501, 230.22 ,BMH
DACARBAZINE 200 MG INTRAVENOUS SOLUTION,63323012820, 113.90 ,BMH
