Charge Code,Charge Description,Rev Code,HCPCS/CPT Code2,Modifier,ALT CPT/HCPC DRIVER,ALT CPT/HCPC ,ALT REV DRIVER,ALT REV ,ALT REV DRIVER3,ALT REV 2,2019 Charge,2019 Tiered Pricing
30001124,HC CULTURE LEGIONELLA,0306,87081,,,,,,,,$204.00,
30001139,HC MUSK ANTIBODY,0301,83519,,,,,,,,$976.00,
30001149,HC ZONISAMIDE,0301,80203,,,,,,,,$142.00,
30001157,HC COLLECTION CAPILLARY BLOOD SPECIMEN,0300,36416,,,,,,,,$21.00,
30001161,HC 25-HYDROXYVITAMIN D2 AND D3,0301,82306,,,,,,,,$91.00,
30001167,HC VITAMIN B2 RIBOFLAVIN,0301,84252,,,,,,,,$90.00,
30001178,HC HELCOBACTER PYLORI POC,0302,86677,,,,,,,,$91.00,
30001192,HC DRUG 7 DOT CHAIN OF CUSTODY,0301,80307,,,,,,,,$46.00,
30001198,HC SUSCEPT BETA LACTAMASE,0306,87185,,,,,,,,$52.00,
30001202,HC BACTERIAL ID BACILLUS,0306,87077,,,,,,,,$71.00,
30001203,HC LACTOFERIN FECES,0301,83630,,,,,,,,$116.00,
30001207,HC WET MOUNT SMEAR,0309,87210,,MCR,Q0111,,,,,$62.00,
30001212,HC INHIBIN A (DIMER),0302,86336,,,,,,,,$59.00,
30001213,HC INHIBIN B,0301,83520,,,,,,,,$196.00,
30001225,HC H PILORI ANTIGEN,0306,87338,,,,,,,,$159.00,
30001230,HC COBALT SERUM OR BLOOD,0300,83018,,,,,,,,$193.00,
30001238,HC BCR ABL1 MINOR QUANT,0310,81207,,,,,,,,$741.00,
30001245,HC ANNA TITER,0300,86256,,,,,,,,$212.00,
30001248,HC MRSA BY PCR,0306,87641,,,,,,,,$159.00,
30001249,HC CLOSTRIDIUM BY PCR,0306,87493,,,,,,,,$385.00,
30001251,HC EPSTEIN BARR ATB NUCLEAR ATG,0302,86664,,,,,,,,$136.00,
30001255,HC GROSS ID,0310,88300,,,,,,,,$67.00,
30001258,HC MICRO SATELLITE INSTABILITY,0310,81301,,,,,,,,$419.00,
30001262,HC VITAMIN D 25 HYDROXY,0301,82306,,,,,,,,$276.00,
30001263,HC GROUP B STREP BY PCR,0306,87653,,,,,,,,$240.00,
30001264,HC PLACENTA ALPHA MICRO IG C/V POC,0300,84112,,,,,,,,$290.00,
30001267,HC C1Q COMPLEMENT COMPONENT,0302,86160,,,,,,,,$307.00,
30001274,HC HELICOBACTOR PYLORI BREATH TEST,0300,83013,,,,,,,,$250.00,
30001275,HC LIPASE FLUID,0301,83690,,,,,,,,$43.00,
30001292,HC LIVER KIDNEY MICROSOME ABS IGG,0302,86376,,,,,,,,$61.00,
30001295,HC DRVVT REFLEX TO 1:1 MIX&CONFIRM,0305,85613,,,,,,,,$124.00,
30001296,HC NEPHELOMETRY KAPPA FREE LIGHT CHAINS,0301,83883,,,,,,,,$244.00,
30001298,HC C TRACHOMATIS,0306,87491,,,,,,,,$126.00,
30001299,HC N GONORRHOEAE BY AMD,0306,87591,,,,,,,,$291.00,
30001303,HC ACHR BINDING ATB,0301,83519,,,,,,,,$305.00,
30001311,HC VIRAL CULTURE RESPIRATORY,0306,87252,,,,,,,,$337.00,
30001316,HC QUANT FREE KAPPA LT CHAINS SERUM,0301,83883,,,,,,,,$155.00,
30001317,HC QUANT FREE LAMBDA LT CHAINS SERUM,0301,83883,,,,,,,,$155.00,
30001322,HC HEP ANTI XA FONDAPARINX,0305,85520,,,,,,,,$218.00,
30001325,HC MEDTOX LEAD SCREEN COLLECTION,0300,36416,,,,,,,,$21.00,
30001327,HC F5 GENE,0310,81241,,,,,,,,$675.00,
30001328,HC F2 GENE,0310,81240,,,,,,,,$714.00,
30001331,HC HFE GENE,0310,81256,,,,,,,,$734.00,
30001332,HC SHIGA TOXIN 1,0306,87427,,,,,,,,$132.00,
30001336,HC CALPROTECTIN FECAL,0301,83993,,,,,,,,$88.00,
30001338,HC DEAMIDATED GLIADIN PEPTIDE ATB IGA,0300,83516,,,,,,,,$157.00,
30001339,HC CELIAC RELEX PANEL,0300,82784,,,,,,,,$224.00,
30001340,HC DEAMIDATED GLIADIN PEPTIDE ATB IGG,0300,83516,,,,,,,,$157.00,
30001342,HC HC A1C,0300,83036,,,,,,,,$87.00,
30001348,HC CHLAMYDIA AND GC (TMA),0306,87801,,,,,,,,$153.00,
30001357,HC TRICHOMONAS VAGINALIS (TMA),0306,87661,,,,,,,,$154.00,
30001359,HC CYTO PAP THIN LAYER C/V MANUAL DIAG,0311,88142,,,,,,,,$110.00,
30001368,HC GLUCOSE 1HR 75G COLA,0301,82950,,,,,,,,$69.00,
30001371,HC CF DNA DIAGNOSTIC LAB,0310,81220,,,,,,,,$950.00,
30001382,HC UA AUTO WITHOUT MICRO 81003,0307,81003,,,,,,,,$34.00,
30001387,HC JAK2 EXON 12 MUTAT BY PCR,0310,81403,,,,,,,,$474.00,
30001406,HC MYCOPHENOLIC ACID,0301,80180,,,,,,,,$266.00,
30001432,HC MICROBE SUSCEPTIBLE DIFFUSE,0306,87181,,,,,,,,$45.00,
30001440,HC BENZODIAZEPINES1-12,0301,80346,,"MCR, BLU, HUMA",G0480,,,,,$183.00,
30001442,HC DRUG SCREEN QUANT ALCOHOLS,0301,80320,,MCR,G0480,,,,,$240.00,
30001443,HC ALCOHOLS BIOMARKERS 1OR 2,0301,80321,,MCR,G0480,,,,,$80.00,
30001445,HC DRUG SCREEN AMPHETAMINES 1/2,0301,80324,,MCR,G0480,,,,,$136.00,
30001453,HC ALKALOIDS NOS,0301,80323,,MCR,G0480,,,,,$148.00,
30001454,HC OPIATES 1 OR MORE,0301,80361,,MCR,G0480,,,,,$178.00,
30001459,HC HPV HIGH-RISK TYPES,0300,87624,,,,,,,,$176.00,
30001461,HC ASSAY OF AMITRIPTYLINE,0301,80355,,MCR,G0480,,,,,$218.00,
30001463,HC ANTIDEPRESSANT TRICYCLIC 1/2,0301,80335,,MCR,G0480,,,,,$218.00,
30001467,HC ASSAY OF DESIPRAMINE,0301,80335,,MCR,G0480,,,,,$164.00,
30001468,HC ASSAY OF SALICYLATE,0301,80307,,,,,,,,$253.00,
30001472,HC ASSAY OF ACETAMINOPHEN,0301,80329,,MCR,G0480,,,,,$218.00,
30001473,HC MICROALBUMIN QUANTITATIVE URINE,0300,82043,,,,,,,,$141.00,
30001481,HC AMIKACIN PEAK,0301,80150,,,,,,,,$145.00,
30001486,HC CONFIRMATION MARIJUANA U,0301,80349,,MCR,G0480,,,,,$183.00,
30001501,HC FENTANYL SERUM,0300,80354,,MCR,G0480,,,,,$233.00,
30001503,HC BUPRENORPHINE & METABOLITES UR,0301,80348,,MCR,G0480,,,,,$169.00,
30001504,HC ALCOHOL SERUM CUSTODY,0301,80320,,MCR,G0480,,,,,$27.00,
30001508,HC NICOTINE COTININE RANDOM URINE,0301,80323,,MCR,G0480,,,,,$164.00,
30001511,HC AMPHETAMINES SER/PLA CONFIRM,0301,80324,,MCR,G0480,,,,,$136.00,
30001520,HC METHADONE UR QUANT CONFIRM,0301,80358,,MCR,G0480,,,,,$181.00,
30001527,HC MACROSCOPIC EXAM PARASITE,0306,87169,,,,,,,,$19.00,
30001532,HC BK VIRUS DET BY PCR URINE,0306,87799,,,,,,,,$377.00,
30001557,HC PROTEIN S FUNCTIONAL,0305,85306,,,,,,,,$64.00,
30001562,"HC VON WILLEBRAND FACTOR ACTIVITY,RISTOCETIN COFACTOR",0300,85245,,,,,,,,$40.00,
30001594,HC SYPHILIS IGG,0300,86780,,,,,,,,$65.00,
30001595,HC DRUG SCREEN 7 MEDICAL,0301,80307,,,,,,,,$130.00,
30001596,"HC AIT DRUG SCREEN,URINE",0301,80307,,,,,,,,$273.00,
30001609,HC PROCALCITONIN,0300,84145,,,,,,,,$408.00,
30001619,HC HEPATITIS C HIGH RESOLUTION GENOTYPING,0300,87902,,,,,,,,$592.00,
30001621,HC PROTEIN C FUNCTIONAL,0305,85303,,,,,,,,$58.00,
30001678,HC VARICELLA ZOSTER IGG,0302,86787,,,,,,,,$42.00,
30001706,HC BORDETELLA PERTUSSIS,0306,87798,,,,,,,,$140.00,
30050003,HC METHYLENEDIOXYAMPHETAMINES,0301,80359,,MCR,G0480,,,,,$121.00,
30050005,HC RBC PRETREATMENT SERUM,0300,86978,,,,,,,,$69.00,
30050007,HC CYTOGENETICS DNA PROBE,0310,88271,,,,,,,,$177.00,
30050010,HC RBC PRETX INCUBAT W/ENZYMES,0300,86971,,,,,,,,$241.00,
30050011,HC RBC PRETX INCUBAT W/CHEMICAL,0300,86970,,,,,,,,$111.00,
30070000,HC COLLECTION BLOOD CENTRAL/PERIPHERAL CATH VENOUS,0361,36592,,,,,,,,$135.00,
30070002,HC OBSTETRIC PANEL,0300,80055,,,,,,,,$595.00,
30070006,HC PHENOBARBITAL QUANT,0301,80184,,,,,,,,$113.00,
30070007,HC LAMOTRIGINE M,0301,80175,,,,,,,,$128.00,
30070008,HC TIAGABINE,0300,80199,,,,,,,,$83.00,
30070009,HC ALBUMIN MS PROFILE,0301,82040,,,,,,,,$18.00,
30070012,HC ALPHA 1 ANTI TRYPSIN PHENO,0301,82104,,,,,,,,$134.00,
30070021,HC CYANIDE,0301,82600,,,,,,,,$83.00,
30070024,HC FETAL HEMOGLOBIN CHEMICAL,0301,83030,,,,,,,,$96.00,
30070025,HC FETAL HEMOGLOBIN ASSAY QUAL,0301,83033,,,,,,,,$85.00,
30070033,HC IMMUNOGLOBULIN FREE LT CHAINS,0301,83883,,,,,,,,$162.00,
30070034,HC ORGANIC ACIDS QUAL EA,0301,83919,,,,,,,,$340.00,
30070035,HC ASSAY OF BLOOD PKU,0301,84030,,,,,,,,$146.00,
30070036,HC PHOSPHOURS,0301,84100,,,,,,,,$86.00,
30070037,HC ASSAY OF PORPHOBILINOGEN,0301,84110,,,,,,,,$35.00,
30070038,HC ASSAY OF 17-HYDROXYPREGNENO,0301,84143,,,,,,,,$185.00,
30070039,"HC TOTAL PROTEIN SERUM, PLASMA OR WHOLE B",0301,84155,,,,,,,,$84.00,
30070040,HC MONOCLONAL PROT STUD,0301,84156,,,,,,,,$74.00,
30070041,HC PROTEIN ELECTROPHORESIS URINE,0301,84166,,,,,,,,$96.00,
30070044,HC UREA-N CLEARANCE TEST,0301,84545,,,,,,,,$145.00,
30070046,HC POC BLOOD GASES W/O2 SATURATION,0301,82805,,,,,,,,$232.00,
30070047,HC BLOOD GASES O2 SAT ONLY,0301,82810,,,,,,,,$53.00,
30070048,HC MITOCHONDRIAL ANTIBODIES,0301,83516,,,,,,,,$190.00,
30070049,HC PARIETAL CELL AB IGG S,0302,83516,,,,,,,,$47.00,
30070051,HC RIA NON ANITBODY,0301,83519,,,,,,,,$109.00,
30070058,HC GLOM BASEMENT MEMBRANE AB,0301,83520,,,,,,,,$277.00,
30070061,HC CLOT FACTOR VIII MULTIMETRIC,0305,85247,,,,,,,,$57.00,
30070064,HC FIBRINOLYSINS SCREEN I&R,0305,85390,,,,,,,,$75.00,
30070066,HC ADAMTS 13 ACTIVITY,0305,85397,,,,,,,,$350.00,
30070069,HC HEXAGNAL PHOSPH PLTLT NEUTRL,0300,85598,,,,,,,,$86.00,
30070070,HC REPTILASE TEST,0300,85635,,,,,,,,$42.00,
30070072,HC CULTURE VAGINAL,0306,87070,,,,,,,,$159.00,
30070073,HC CULTURE ANAEROBIC,0306,87077,,,,,,,,$155.00,
30070074,HC CULTURE BLADDER,0306,87086,,,,,,,,$159.00,
30070075,HC INF NUC ACID RESP VIRUS TRANS & PROBE 3-5 TARGETS,0306,87631,,,,,,,,$357.00,
30070076,HC INFECT AG DEC NUCLEIC ACID INFLU DNA AMP PROBE,0306,87502,,,,,,,,$276.00,
30070077,HC CULTURE SPUTUM,0306,87070,,,,,,,,$148.00,
30070078,HC CULTURE NOSE AND THROAT,0306,87070,,,,,,,,$159.00,
30070079,HC ENDOMYSIAL ABS IGA,0302,86256,,,,,,,,$70.00,
30070090,HC CAMPY ANTIGEN SCREEN,0306,87899,,,,,,,,$54.00,
30070091,HC KB SENSITIVITY,0306,87184,,,,,,,,$62.00,
30070092,HC CULTURE BRONCH BRUSH,0306,87070,,,,,,,,$126.00,
30070093,HC HEMOGLOBIN CHROMOTOGRAPHY,0301,83021,,,,,,,,$43.00,
30070094,HC RICKETTSIA AB,0300,86757,,,,,,,,$164.00,
30070098,"HC AMMONIUM, 24HR, U",0301,82140,,,,,,,,$104.00,
30070099,HC HEMOLYSINS & AGGLUTININS AUTO SCREEN EA,0300,86940,,,,,,,,$116.00,
30070100,HC VANCOMYCIN RESISTANT ENTEROCOCCUS SCREEN,0306,87045,,,,,,,,$140.00,
30070105,HC BARTONELLA PCR,0306,87801,,,,,,,,$195.00,
30070106,"HC MPL EXON 10 MUTATION DETECTION, B",0310,81403,,,,,,,,$474.00,
30070107,"HC PROTHROMBIN G20210A MUTATION, B",0310,81240,,,,,,,,$707.00,
30070109,HC CMV DNA DETECT/QUANT,0300,87497,,,,,,,,$534.00,
30070110,HC EPSTEIN BAR VIRUS ATB EARLY DETECT,0302,86663,,,,,,,,$55.00,
30070111,HC BILIRUBIN TOTAL,0301,82247,,,,,,,,$47.00,
30070112,HC HEMOPHILUS INFLUENZA ANTIBODY,0300,86684,,,,,,,,$44.00,
30070113,HC ASSAY OF LIPOPROTEIN (A),0301,83695,,,,,,,,$161.00,
30070114,HC SULFATE URINE,0301,84392,,,,,,,,$34.00,
30070115,HC AEROBIC IDENTIFICATION,0306,87077,,,,,,,,$76.00,
30070116,HC ANAEROBIC IDENTIFICATION,0306,87076,,,,,,,,$96.00,
30070117,HC COLONY COUNT,0306,87088,,,,,,,,$48.00,
30070118,HC YEAST IDENTIFICATION,0306,87106,,,,,,,,$26.00,
30070119,HC CULTURE MISC,0306,87070,,,,,,,,$82.00,
30070120,HC SPECIMEN CONCENTRATION,0300,87015,,,,,,,,$45.00,
30070121,HC BETA 2 GLYCOPROTEIN 1 AB IGM IGG S,0302,86146,,,,,,,,$304.00,
30070122,"HC BK VIRUS PCR, QUANT, P",0306,87799,,,,,,,,$377.00,
30070123,"HC CALR GENE MUTATION, EXON 9",0310,81219,,,,,,,,$680.00,
30070124,HC PROTEIN IMMUNOFIXATION - URINE,0300,86335,,,,,,,,$158.00,
30070130,HC ELECTROLYTES POC,0300,80051,,,,,,,,$146.00,
30070131,HC LACTATE POC,0300,83605,,,,,,,,$150.00,
30070132,HC BLOOD TYPING PATERNITY TEST,0300,86910,,,,,,,,$19.00,
30070134,HC DRUG SCREEN BATH SALTS,0301,82542,,,,,,,,$50.00,
30070135,HC DRUG SCREEN SYNTHETIC MARIJUANA,0301,82542,,,,,,,,$50.00,
30070141,HC DRUG SCREEN ALCOHOL URINE,0301,80320,,,,,,,,$19.00,
30070142,HC CREATININE BLOOD POC,0301,82565,,,,,,,,$81.00,
30070150,HC URINE BACTERIA ID EA ISOLATE,0306,87088,,,,,,,,$93.00,
30070152,HC SEMEN ANALYSIS PRESENCE/MOTILITY,0300,89321,,,,,,,,$88.00,
30070153,HC RSV BY PCR,0306,87798,,,,,,,,$276.00,
30070154,HC HYSTOLYTICA GRP ANTIGEN EIA,0306,87337,,,,,,,,$43.00,
30070155,HC CULTURE BRONCH WASH,0306,87070,,,,,,,,$159.00,
30070156,HC RECEPTOR ASSAY ESTROGEN,0301,84233,,,,,,,,$100.00,
30070157,HC RECEPTOR ASSAY PROGESTERONE,0301,84234,,,,,,,,$100.00,
30070158,HC ANTIMULLERIAN HORMONE SERUM,0301,83520,,,,,,,,$165.00,
30070159,HC SHIGA TOXIN 2 AF,0306,87899,,,,,,,,$123.00,
30070162,HC SHIGA TOXIN 1 AF,0306,87899,,,,,,,,$123.00,
30070163,HC BLOOD GAS VENOUS POC,0301,82803,,,,,,,,$232.00,
30070170,"HC JAK 2 EXON 12 MUTATION DETECTION, B",0310,0027U,,,,,,,,$474.00,
30070179,HC COLLECTION DRUG SCREEN SPECIMEN,0300,,,,,,,,,$19.24,
30070199,HC PH BODY FUILD POC,0301,83986,,,,,,,,$38.00,
30070200,HC BLOOD GAS CAPILLARY POC,0301,82803,,,,,,,,$232.00,
30070202,HC UMBILICAL DRUG SCREEN,0301,80307,,,,,,,,$290.00,
30070203,HC FAST HIV-1 AB SCREEN,0300,86701,,,,,,,,$102.00,
30070204,HC DRUG SCREEN 10 PANEL URINE W/EXP OPIATES,0301,80307,,,,,,,,$35.00,
30070205,HC DRUG SCREEN 10 PANEL URINE MEDTOX,0301,80307,,,,,,,,$22.80,
30070206,HC DRUG SCREEN 5 PANEL HAIR W/EXP OPIATES,0301,80307,,,,,,,,$45.00,
30070207,HC DRUG SCREEN SUBOXONE,0301,80307,,,,,,,,$37.00,
30070208,HC URINE EOSINOPHILS,0300,87205,,,,,,,,$73.00,
30070209,HC DRUG SCREEN 5 PANEL HAIR,0301,80307,,,,,,,,$40.00,
30070210,HC DRUG SCREEN 5 PANEL URINE MEDTOX,0301,80307,,,,,,,,$18.00,
30070211,HC HER 2 AMP BREAST CANCER FISH,0300,88299,,,,,,,,$581.00,
30070212,HC LAB SHIPPING AND HANDLING 250,0300,99001,,,,,,,,$250.00,
30070213,"HC VON WILLEBRAND FACTOR ACTIVITY, PLASMA",0305,85397,,,,,,,,$330.00,
30070214,"HC WEST NILE VIRUS AB IGM, S",0300,86788,,,,,,,,$118.00,
30070215,HC ALLERGEN SPECIFIC IGE,0300,86003,,,,,,,,$62.00,
30070216,HC PROGESTERONE STAIN RECEPTOR,0310,88360,,,,,,,,$213.00,
30070217,HC ESTROGEN STAIN RECEPTOR,0310,88360,,,,,,,,$213.00,
30070218,HC RNA GENOTYPE 1 NS 5A DRUG RESIST,0300,87902,,,,,,,,$592.00,
30070219,"HC VALPROIC/DIPROPYLACETIC ACID, FREE",0300,80165,,,,,,,,$111.00,
30070220,HC GABITRIL,0300,80299,,,,,,,,$153.00,
30070221,"HC EGFR GENE ANALYSIS, COMMON VARIANTS",0310,81235,,,,,,,,$800.00,
30070222,HC MSH6 GENE ANALYSIS,0310,81299,,,,,,,,$473.00,
30070223,"HC CORTISOL, SALIVA",0300,82533,,,,,,,,$221.00,
30070224,HC FLUORESCENT AB SCREEN,0300,86255,,,,,,,,$212.00,
30070225,HC MYCOBACTERIA PROBE IDENT BROTH,0300,87150,,,,,,,,$80.00,
30070226,HC CMV QUANTIFICATION,0300,87252,,,,,,,,$372.00,
30070227,"HC MYCOBACTERIUM TUBERCULOSIS COMPLEX MOLECULAR, PCR",0300,87556,,,,,,,,$414.00,
30070228,HC LUNG FISH MANNUAL,0310,88377,,,,,,,,$467.00,
30070229,HC RESPIRATORY PANEL,0306,87633,,,,,,,,"$1,201.00",
30070230,"HC STOOL PANEL, MOLECULAR",0306,87506,,,,,,,,$615.00,
30070231,HC SUBTYPE FLU/RSV PANEL,0306,87632,,,,,,,,$615.00,
30070232,"HC BORDETELLA PANEL, MOLECULAR",0306,87631,,,,,,,,$370.00,
30070233,HC VIRAL RESPIRATORY PANEL,0306,87632,,,,,,,,$615.00,
30070234,"HC MYCOPLASMA PNEUMONIAE AB, IGG",0300,86738,,,,,,,,$111.00,
30070235,"HC MYCOPLASMA PNEUMONIAE AB, IGM",0300,86738,,,,,,,,$111.00,
30070236,HC PROMETHEUS THIOPURINE METABOLITES,0300,82542,,,,,,,,$282.00,
30070237,"HC ALAD, WHOLE BLOOD",0300,82657,,,,,,,,$399.00,
30070238,"HC ESTROGENS, FRACTIONATED",0300,82671,,,,,,,,$134.00,
30070239,"HC STRIATIONAL STRIATED MUSCLE AB, S",0300,83520,,,,,,,,$210.00,
30070240,HC THYROTROPIN RECEPTOR AB,0300,83520,,,,,,,,$197.00,
30070241,HC HIV 1 AB,0300,86701,,,,,,,,$81.00,
30070242,HC HIV 2 AB,0300,86702,,,,,,,,$123.00,
30070243,HC DETECT AGENT NOS DNA AMP,0300,87798,,,,,,,,$334.00,
30070244,"HC ASPERGILLUS, IGG",0300,86606,,,,,,,,$62.00,
30070245,"HC ASPERGILLUS, IGE",0300,86603,,,,,,,,$131.00,
30070246,"HC COAG FACTOR II ASSAY, P",0300,85210,,,,,,,,$66.00,
30070247,"HC STACLOT LA, P",0300,85598,,,,,,,,$310.00,
30070248,HC ASPERGILLUS GALACOMANNAN,0300,87305,,,,,,,,$195.00,
30070249,HC SUSCEPTIBILITY PANEL,0300,87186,,,,,,,,$154.00,
30070250,"HC MEPHEDRONE & METHYLONE, URINE",0301,80307,,,,,,,,$118.00,
30070251,HC PRETX SERUM RBC ANTB ID INCUBATION INHIBITORS EA,0300,86977,,,,,,,,$128.00,
30070252,HC SPLITTING BLOOD/BLOOD PRODUCTS EACH UNIT,0300,86985,,,,,,,,$128.00,
30070253,HC PLATELET CROSSMATCH,0300,86022,,,,,,,,$260.00,
30070255,HC CATECHOLAMINES FRACTIONATED URINE,0301,82384,,,,,,,,$280.00,
30070256,"HC CYSTINURIA PROFILE QUANTATIVE, 24H, U",0300,82136,,,,,,,,$339.00,
30070257,HC RT VENOUS LACTATE,0300,83605,,,,,,,,$150.00,
30070258,HC PHOSPHATIDYLSERINE PROTHROMBIN AB IGG,0300,86148,,,,,,,,$54.00,
30070259,HC PHOSPHATIDYLSERINE PROTHROMBIN AB IGM,0300,86148,,,,,,,,$54.00,
30070260,HC CARBOXY THC CONFIRM,0301,80349,,MCR,G0480,,,,,$170.00,
30070261,HC OXYCODONE,0301,80365,,MCR,G0480,,,,,$170.00,
30070262,"HC VIRAL SMEAR, SHELL VIAL",0310,87254,,,,,,,,$80.00,
30070263,HC PLT NEUT DRVVT CONFIRM,0300,85597,,,,,,,,$73.00,
30070264,HC ANA BODY FLUID,0300,86038,,,,,,,,$79.00,
30070265,HC BETHESDA UNITS,0300,85335,,,,,,,,$52.00,
30070266,HC PLT NEUT LUPUS INHIBITOR,0300,85597,,,,,,,,$25.00,
30070267,HC KIT GENE TARGETED SEQ ANALYSIS,0310,81272,,,,,,,,$697.00,
30070268,HC PDSFRA GENE,0310,81314,,,,,,,,$697.00,
30070269,"HC LACOSAMIDE, S",0300,80299,,,,,,,,$153.00,
30070270,HC THERMOACTINOMYCES VUL IGG,0300,86609,,,,,,,,$44.00,
30070271,"HC MICROPOLYSPORA FAENI, IGG",0300,86609,,,,,,,,$44.00,
30070272,HC GLUCOSE BLOOD RESP,0300,82947,,,,,,,,$58.00,
30070273,HC C1Q COMPLEMENT FUNCTIONAL ACTIVITY,0300,86161,,,,,,,,$307.00,
30070274,"HC DRUG ABUSE SURVEY W CONFIRM, 9P, URINE",0301,80307,,,,,,,,$170.00,
30070275,HC STREP PNM IGG SEROTYPE,0300,86317,,,,,,,,$22.00,
30070276,HC B CELLS TOTAL COUNT,0300,86355,,,,,,,,$138.00,
30070277,HC NATURAL KILLER CELL TOTAL COUNT,0300,86357,,,,,,,,$138.00,
30070278,"HC Q FEVER PHASE I ANTIBODY, IGG",0300,86638,,,,,,,,$42.00,
30070279,"HC Q FEVER PHASE I ANTIBODY, IGM",0300,86638,,,,,,,,$42.00,
30070280,"HC Q FEVER PHASE II ANTIBODY, IGM",0300,86638,,,,,,,,$42.00,
30070281,"HC Q FEVER PHASE II ANTIBODY, IGG",0300,86638,,,,,,,,$42.00,
30070282,HC HERPES SOMPLX VIRUS AMPLIFIED PROBE TQ S/P,0300,87529,,,,,,,,$209.00,
30070283,HC BUPRENORPHINE CONFIRMATION,0301,80307,,,,,,,,$147.00,
30070284,"HC TRAMADOL AND METABOLITE, RNDM URINE",0301,80373,,MCR,G0480,,,,,$177.00,
30070285,HC SURGERY ACT,0305,85347,,,,,,,,$350.00,
30070286,"HC N-METHYLHISTAMINE, 24 HR, URINE",0300,82542,,,,,,,,$293.00,
30070287,"HC 2,3-DINOR-11 BETA-PROSTAGLANDIN F2 ALPHA, URINE",0300,84150,,,,,,,,$261.00,
30070288,"HC DRUG SCREEN, PRESCRIPTION/OTC",0301,80307,,,,,,,,$310.00,
30070289,"HC TESTOSTERONE, BIOAVAILABLE",0301,84410,,,,,,,,$76.00,
30070290,HC DIPHTHERIA TOXOID IGG ANTIBODY,0300,86317,,,,,,,,$54.00,
30070291,"HC PROTEONASE 3 ANTIBODIES, IGG, SERUM",0300,83516,,,,,,,,$49.00,
30070292,HC BILE ACID PROFILE,0301,82542,,,,,,,,$375.00,
30070293,"HC LEGIONELLA SPECIES, MOLEDULAR DETECTION, PCR",0306,87801,,,,,,,,$202.00,
30070294,"HC GALACTOSE-ALPHA-1,3-IGE",0300,86003,,,,,,,,$86.00,
30070295,HC ADENOVIRUS CULTURE,0306,87301,,,,,,,,$154.00,
30070296,HC SUSCEPTIBILITY PANEL-MAYO,0306,87186,,,,,,,,$219.00,
30070297,HC SOLUABLE LIVER ANTIGEN AUTOANTIBODIES,0301,83520,,,,,,,,$132.00,
30070298,HC MI-2,0301,83516,,,,,,,,$135.00,
30070299,"HC EPSTEIN-BARR VIRUS, MOLECULAR DETECTION,PCR",0306,87799,,,,,,,,$123.00,
30070300,"HC TOXOPLASMA GONDII AB, IGM",0302,86778,,,,,,,,$44.00,
30070301,HC BETA-CROSS LAPS,0301,82523,,,,,,,,$68.00,
30070302,"HC FUNGAL CULTURE, DERMAL",0306,87101,,,,,,,,$77.00,
30070303,"HC CLOBAZAM, SERUM/PLASMA",0301,80339,,MCR,G0480,,,,,$123.00,
30070304,HC ADALIMUMAB QUANT,0301,80299,,,,,,,,$389.00,
30070305,HC GLUTAMIC ACID DECARBOXYLASE AB ASSAY SERUM,0302,86341,,,,,,,,$72.00,
30070306,HC HIV-2 DNA/RNA QUAL,0300,87538,,,,,,,,$407.00,
30070307,HC HUMAN T-CELL LYMPHOTROPHIC VIRUS SCREEN,0300,86790,,,,,,,,$44.00,
30070308,HC C1 ESTERASE INHIBITOR FUNCTIONAL QUANT,0301,83520,,,,,,,,$56.00,
30070309,HC C2 COMPLEMENT FUNCTIONAL SERUM,0302,86161,,,,,,,,$52.00,
30070310,"HC BULLOUS PEMPHIGOID, BP180, IGG",0301,83516,,,,,,,,$86.00,
30070311,"HC BULLOUS PEMPHIGOID, BP230, IGG",0301,83516,,,,,,,,$86.00,
30070312,HC NEURONAL V-G K CHANNEL AB,0301,83519,,,,,,,,$182.00,
30070313,HC N-TYPE CALCIUM CHANNEL AB,0301,83519,,,,,,,,$182.00,
30070314,HC P/Q-TYPE CALCIUM CHANNEL AB,0301,83519,,,,,,,,$182.00,
30070315,HC PURKINJE CLL CYTOPLASMIC AB TYPE TR,0302,86255,,,,,,,,$162.00,
30070316,"HC CRMP-5-IGG, S",0302,86255,,,,,,,,$162.00,
30070317,HC PURKINJE CELL CYTOPLASMIC AB TYPE 2,0302,86255,,,,,,,,$162.00,
30070318,HC ANTI-NEURONAL NUCLEAR AB TYPE 3,0302,86255,,,,,,,,$162.00,
30070319,HC ANTI-NEURONAL NUCLEAR AB TYPE 2,0302,86255,,,,,,,,$162.00,
30070320,HC ANTI-NEURONAL NUCLEAR AB TYPE 1,0302,86255,,,,,,,,$162.00,
30070321,"HC ACHR GANGLIONIC NEURONL AB, S",0301,83519,,,,,,,,$182.00,
30070322,"HC AMPHIPHYSIN AB, S",0302,86255,,,,,,,,$162.00,
30070323,HC ANTI-GLIAL NUCLEAR AB TYPE 1,0302,86255,,,,,,,,$162.00,
30070324,"HC NMDA-R AB CBA, S",0302,86255,,,,,,,,$162.00,
30070325,"HC AMPA-R AB CBA, S",0302,86255,,,,,,,,$162.00,
30070326,"HC GABA-B-R AB CBA, S",0302,86255,,,,,,,,$162.00,
30070327,"HC LGI1-IGG CBA, S",0302,86255,,,,,,,,$162.00,
30070328,"HC CASPR2-IGG CBA, S",0302,86255,,,,,,,,$162.00,
