Technical Description,Charge
CATHETER GD STBL,1.00
CATHETER GD STR 6FR .070IN 90,514.00
CATHETER GD STR XB CRV 6FR .07,568.00
CATHETER GD ULTIMATE1 CRV 6FR,78.00
CATHETER GD ULTMT 2 CRV 6FR,78.00
CATHETER GD VODA LT 3 CRV 100,96.00
CATHETER GD VODA LT 3.5 CRV,96.00
CATHETER GD XB3.5 CRV 8FR 90CM,86.00
CATHETER GD XB4 CRV 8FR 90CM,86.00
CATHETER GLIDE ANG 5FR X 100CM,140.00
CATHETER GLIDE ANGLED 5FX100CM,99.00
CATHETER GLIDE SIMMONS 5FX100C,138.00
CATHETER GLIDE STRAIGHT 4FR,114.00
CATHETER GOODALE-LUBIN 7FR,470.00
CATHETER GRAHAM 18 FR,129.00
CATHETER GUIDE FOR TVT,200.00
CATHETER GUIDING 8F 95CM,1750.00
CATHETER GUIDING HOPKINS 8FR,288.00
CATHETER HABIB ADAPTER,560.00
CATHETER HABIB ENDOHPB BIPOLAR,2990.00
CATHETER HALO 60 ABLATION,1800.00
CATHETER HEAD HUNTER 4F 100CM,26.00
CATHETER HEMOSPLIT 14.5FX19CM,1023.00
CATHETER HEMOSPLIT 19CM,1044.00
CATHETER HEMOSPLIT 19CM,478.00
CATHETER HEMOSPLIT BIOBLOCK 19,1104.00
CATHETER HEMOSPLIT BIOBLOCK 27,810.00
CATHETER HERCULINK 6X12MM,2500.00
CATHETER HICKMAN 9.6FR,292.00
CATHETER HOLTER PERIONEAL TYPE,309.00
CATHETER HYSTERO MOVABLE CUP,107.00
CATHETER II BLAZER 10MM 8FR,2832.00
CATHETER IMPELLA 2.5,40000.00
CATHETER IMPELLA 2.5,40000.00
CATHETER IMPELLA 2.5,40000.00
CATHETER IMPELLA CP,50000.00
CATHETER IMPELLA CP,50000.00
CATHETER IMPELLA CP 0048-0003,50000.00
CATHETER INDURA 1P INTRATHECAL,1130.00
CATHETER INFUS .010IN 2.7FR,1230.00
CATHETER INFUS .010IN 2.7FR,1100.00
CATHETER INFUS .010IN 3FR 1.5,998.00
CATHETER INFUS .011IN 3-1.8FR,1720.00
CATHETER INFUS .014IN 2.5-3FR,1140.00
CATHETER INFUS .014IN 45D 250,1270.00
CATHETER INFUS .014IN 45D 250,1218.00
CATHETER INFUS .014IN MIC 2.3,1346.00
CATHETER INFUS .018IN 2.9FR,370.00
CATHETER INFUS .018IN 3-2.8FR,1360.00
CATHETER INFUS .018IN J CRV,1312.00
CATHETER INFUS .01IN 3-1.5FR,1720.00
CATHETER INFUS .025IN 45D MIC,1860.00
CATHETER INFUS .027IN; MIC;,1100.00
CATHETER INFUS .029IN .024IN,2530.00
CATHETER INFUS .035IN 4.8FR 65,4900.00
CATHETER INFUS .035IN 4FR 100,212.00
CATHETER INFUS .035IN 4FR 135,220.00
CATHETER INFUS .035IN 4FR 135,220.00
CATHETER INFUS .035IN 4FR 65CM,212.00
CATHETER INFUS .038IN 2.4-1.7,1587.00
CATHETER INFUS .038IN 23FR 3/8,4700.00
CATHETER INFUS .038IN 27FR 3/8,4700.00
CATHETER INFUS .038IN 5FR 100,310.00
CATHETER INFUS .038IN 5FR 135,310.00
CATHETER INFUS 1.2FR 165CM 12,1316.00
CATHETER INFUS 1.5FR .010IN,1194.00
CATHETER INFUS 1.5FR MCTH FLW,1194.00
CATHETER INFUS 1.8FR 10CM MCTH,1194.00
CATHETER INFUS 2.4FR 165CM 12,1316.00
CATHETER INFUS 20CM .010IN,1720.00
CATHETER INFUS 20CM 2 MRKR,1528.00
CATHETER INFUS 20FR 3/8IN 12.2,4700.00
CATHETER INFUS 250 PSI 5FR,1192.00
CATHETER INFUS 3-1.8FR,1330.00
CATHETER INFUS 3-2.3FR .021IN,1493.00
CATHETER INFUS 3-2.5FR .021IN,772.00
CATHETER INFUS 3-2.5FR .021IN,772.00
CATHETER INFUS 45D .014IN 1.9,1546.00
CATHETER INFUS 45D .014IN 2.1,1140.00
CATHETER INFUS 45D .014IN 2.1,1230.00
CATHETER INFUS 45D .038IN,1701.00
CATHETER INFUS 45D MIC 2.4-1.9,1192.00
CATHETER INFUS 4FR 135CM 10CM,280.00
CATHETER INFUS 50CM DL MRKR,1300.00
CATHETER INFUS 5CM DL MRKR,1312.00
CATHETER INFUS 5CM MCTH PRWLR,1440.00
CATHETER INFUS 5FR 90CM 10CM,280.00
CATHETER INFUS 5FR 90CM 20CM,280.00
CATHETER INFUS 5FR 90CM 30CM,280.00
CATHETER INFUS 5FR 90CM 40CM,280.00
CATHETER INFUS 5FR 90CM 5CM,280.00
CATHETER INFUS 7.5CM DL MRKR,1200.00
CATHETER INFUS 7.5CM DL MRKR,1200.00
CATHETER INFUS 90D .014IN ANG,1218.00
CATHETER INFUS 90D .014IN ANG,1218.00
CATHETER INFUS 90D 2.4-1.9FR,1270.00
CATHETER INFUS 90D 2.4-1.9FR,1218.00
CATHETER INFUS 90D 2.8-2.3FR,1312.00
CATHETER INFUS 90D 3-2.3FR,1573.00
CATHETER INFUS CORON SIN,3956.00
CATHETER INFUS EMP CRV 1.5FR,1194.00
CATHETER INFUS J CRV 150CM,1701.00
CATHETER INFUS J CRV 2.3FR 1.9,1312.00
CATHETER INFUS MIC 1.5CM DLV,3990.00
CATHETER INFUS MIC 2.8FR 3.2FR,1900.00
CATHETER INFUS MIC 3CM DLV,3990.00
CATHETER INFUS MP CRV 1.2FR,1316.00
CATHETER INFUS MP CRV 1.8FR,1194.00
CATHETER INFUS MP CRV 1.8FR 20,1194.00
CATHETER INFUS MP CRV 2.3-1.9,1312.00
CATHETER INFUS MP CRV 2.4FR,1316.00
CATHETER INFUS RBR 14,900.00
CATHETER INFUS STD .013IN 155,1194.00
CATHETER INFUS STR CRV 2.3-1.7,1398.00
CATHETER INFUS STR CRV 2.3-1.7,1590.00
CATHETER INFUS STR MIC 2.4FR,1100.00
CATHETER INFUSION 10CM 135CM,280.00
CATHETER INFUSION 10CM 135CM,308.00
CATHETER INFUSION 10CM 135CM,296.00
CATHETER INFUSION 10CM 90CM,280.00
CATHETER INFUSION 135CM 4F,280.00
CATHETER INFUSION 20CM 90CM,296.00
CATHETER INFUSION 30CM 90CM,296.00
CATHETER INFUSION 40CM 90CM,296.00
CATHETER INFUSION 5CM 90CM,296.00
CATHETER INFUSION SUREFIRE LT,4900.00
CATHETER INFUSION SUREFIRE ST,4900.00
CATHETER INTERLOCK 100CM,27.00
CATHETER INTERLOCK 65CM,27.00
CATHETER INTRADISCAL SPINESMIT,1996.00
CATHETER INTRAVASCULAR 5F,158.00
CATHETER INTVN .012IN 5.5FR,796.00
CATHETER INTVN .014IN 3FR 135,1750.00
CATHETER INTVN .021IN 2.8-3FR,680.00
CATHETER INTVN .021IN 2.8FR,1040.00
CATHETER INTVN 2CM TIP 5FR,158.00
CATHETER INTVN 8FR .088IN .071,758.00
CATHETER IRRIG RLV VTX 2 SIN 1,310.00
CATHETER IT 2 PC CLSD TIP NDR,1030.00
CATHETER IT 2 PC CONN PIN,1800.00
CATHETER IT LNG .296ML 2 PC,2070.00
CATHETER IU BAKRI 24FR 54CM,417.00
CATHETER IU BAKRI 24FR 54CM,417.00
CATHETER IU HYSTEROCATH 16FR,125.00
CATHETER JACKSON PRATT 15FR,71.00
CATHETER JEJUSTOMY,80.00
CATHETER JETSTREAM THRMB,6600.00
CATHETER JJNSTM 70CM 8.5FR,98.00
CATHETER JOSEPHSON 5FR,230.00
CATHETER JTYPE CELSIUS,3200.00
CATHETER KIT CAMINO 4FR,1064.00
CATHETER KIT PLEURX,99.00
CATHETER KT DIL UROMAX 5.8FR 7,590.00
CATHETER KT NEPHRO STENT PED 8,87.00
CATHETER LAPAROSCOPIC ARROW,26.00
CATHETER LASSO MAPPING,3200.00
CATHETER LAVAGE SINUS 22 CM,250.00
CATHETER LAVAGE SINUS 22 CM,250.00
CATHETER LCRML 3MM LCRCTH BIL,1110.00
CATHETER LCRML 5MM LCRCTH,760.00
CATHETER LEON ROUND DUAL 10F,370.00
CATHETER LINEAR IAB 7.5F 34CC,1530.00
CATHETER LINEAR IAB 7.5FR 40CC,1530.00
CATHETER LUMEN DUAL 24CM,480.00
CATHETER LUMEN DUAL 28CM,480.00
CATHETER LUMEN DUAL 6FR,258.00
CATHETER MALE SIL 12FR 20CM,57.00
CATHETER MARINER 4FR 100CM,80.00
CATHETER MARINER 4FR 65CM,80.00
CATHETER MICRO 165CM 1.3F,1100.00
CATHETER MICRO 170 45 DEGREE,1236.00
CATHETER MICRO 170 45 DEGREE,1236.00
CATHETER MICRO 170 90 DEGREE,1236.00
CATHETER MICRO 170 90 DEGREE,1236.00
CATHETER MICRO 190 45 DEGREE,1140.00
CATHETER MICRO 190 45 DEGREE,1140.00
CATHETER MICRO 190 90 DEGREE,1140.00
CATHETER MICRO 190 90 DEGREE,1140.00
CATHETER MICRO 2.4F 150CM,900.00
CATHETER MICRO COURIER .0170,1300.00
CATHETER MICRO COURIER .0190,1140.00
CATHETER MICRO ECHELON 14 1.9F,1270.00
CATHETER MICRO GUIDE,500.00
CATHETER MICRO GUIDE 126CM,500.00
CATHETER MICRO2.4F 150CM MERCI,900.00
CATHETER MINI OMNI 4FR 65CM,30.00
CATHETER MINNIE .014IN X135CM,198.00
CATHETER MINNIE .018X135,198.00
CATHETER MINNIE .035X135CM,198.00
CATHETER MNMTRY SHT TIP 5MM 5,350.00
CATHETER MULTIPURPOSE 6FR,150.00
CATHETER NARROWFLEX 8FR 30CC,1257.00
CATHETER NARROWFLEX 8FR 40CC,1257.00
CATHETER NAVIPORT,1050.00
CATHETER NAVISTAR D-CURVE 7.,5600.00
CATHETER NAVISTAR F CURVE 4M,5600.00
CATHETER NAVISTAR F-CURVE 7.,5600.00
CATHETER NAVISTAR J-CURVE 7.,5600.00
CATHETER NEPHRO 8.5 X 22CM,230.00
CATHETER NEPHROMAX 7FR 10-12MM,600.00
CATHETER NEWTON 2 4FR 100CM,30.00
CATHETER NIAGARA 12FRX20CM,176.00
CATHETER NPHSTM 28CM 10FR LOOP,233.00
CATHETER NVG EDG 45D XTD WRK,2368.00
CATHETER OMNI FLUSH,48.00
CATHETER OMNI FLUSH 5FR 70CM,227.00
CATHETER OMNIFLUSH 3FX55CM,58.00
CATHETER OMNIFLUSH 4FX65CM,58.00
CATHETER OMNIFLUSH 5F X 65CM,29.00
CATHETER OMNIFLUSH 5FX65CM,58.00
CATHETER OUTBACK RE-ENTRY,4000.00
CATHETER OVER THE WIRE EMB 3FR,156.00
CATHETER PASSER,196.00
CATHETER PASSER SYNCHROMED,196.00
CATHETER PERCCUTAEOUS 12FX35CM,195.00
CATHETER PERCUTAN STANLEY 14F,68.00
CATHETER PERFUSION JEHLE,413.00
CATHETER PERIPH 5.3FR 7-4FR 75,362.00
CATHETER PERIPH 55CM 1 6FR,22.00
CATHETER PERIPH 55CM 6FR RDC,508.00
CATHETER PEZZAR 10FR,28.00
CATHETER PEZZAR 12 FR,28.00
CATHETER PEZZAR 14FR,28.00
CATHETER PHENOM 27,2600.00
CATHETER PHILIPS 16 FRENCH,125.00
CATHETER PIGTAIL 4FR 65CM,36.00
CATHETER PIGTAIL 5FX110CM,58.00
CATHETER PIGTAIL MARKING,251.00
CATHETER PLUM ART 110CM 7FR,75.00
CATHETER PNEUMO TURN PIGTAIL 6,208.00
CATHETER POLY LUMEN SINGLE 5FR,660.00
CATHETER POLY LUMEN SINGLE 6FR,693.00
CATHETER PORTO SINGLE LUMEN,620.00
CATHETER PRONTO,900.00
CATHETER PRONTO LOW PROFILE,900.00
CATHETER PSH .035IN BL DCT GW,112.00
CATHETER PTCA 150CM 20MM 4.5MM,370.00
CATHETER PULM .035IN 15-18MM,650.00
CATHETER PULM 3CM .035IN 12-15,650.00
CATHETER QUADPOLAR 6FR,946.00
CATHETER QUADRIPOLAR CRD-2 5,270.00
CATHETER QUADRIPOLAR JSN 6FR,230.00
CATHETER QUICK-CROSS .014X135,260.00
CATHETER QUICK-CROSS 135.035,280.00
CATHETER RCEP 13FR,169.00
CATHETER RE-ENTRY OUTBACK,4060.00
CATHETER REFLES 058X130CM,2390.00
CATHETER REFLEX 072X 105CM,1933.00
CATHETER REFLEX 072X 105CM,1790.00
CATHETER RELIEVA SINUS 7X16MM,1126.00
CATHETER REPERFUSION 4MAX MP,2780.00
CATHETER RESERVOIR MCCOMB NEO,290.00
CATHETER RESERVOIR MCCOMB NEO,290.00
CATHETER RIM 5FX65CM,26.00
CATHETER ROBINSON 24F,9.00
CATHETER ROTABLATOR BURR 1.75,1790.00
CATHETER ROYAL FLUSH 5FX100CM,154.00
CATHETER RUTNER BALLOON  16F,89.00
CATHETER RUTNER UNIVERSAL 5F,21.00
CATHETER RUTNER UNIVERSAL 5F,21.00
CATHETER SAFIRE CURL LG 4MM,1500.00
CATHETER SAFIRE CURL LG 5MM,152.00
CATHETER SAFIRE CURL MED 4MM,1500.00
CATHETER SELECTIVE 1 4FR 80CM,114.00
CATHETER SELECTIVE 24FR 80CM,114.00
CATHETER SET BACTISEAL 1.9,715.00
CATHETER SET BACTISEAL EVD 1.5,666.00
CATHETER SET BACTISEAL EVD 1.9,1100.00
CATHETER SET ILLUM URETERAL,282.00
CATHETER SET VENOUS 5FRX60CM,147.00
CATHETER SHAPEABLE .035X135CM,374.00
CATHETER SHEATH FAST 10FR,48.00
CATHETER SHEATH FAST 9FR,18.00
CATHETER SHEATH LT SL-1 8.5F,280.00
CATHETER SIDEWINDER 5F 100CM,26.00
CATHETER SIMMONS 4F 100CM,114.00
CATHETER SIN 16MM RLV SOLO 5MM,1368.00
CATHETER SIN 7MM 16MM FLXTB,1125.00
CATHETER SINGLE SITE 5 INCH,11.00
CATHETER SINUS BALLOON 5X24MM,1442.00
CATHETER SINUS CORON SUPRA 5,354.00
CATHETER SINUS ENDOPLEGE,3956.00
CATHETER SLIP 4F 65CM,120.00
CATHETER SOFTVU CB1X4X90X.035,26.00
CATHETER SOLENT DISTA,3850.00
CATHETER SOS 1 8F X 80CM,26.00
CATHETER SOS 2 5F X 80CM,26.00
CATHETER SOS-1 4FX80CM,26.00
CATHETER SOS-1 5FX80CM,26.00
CATHETER SOS-2 5FX80CM,26.00
CATHETER SOUNDSTAR,5000.00
CATHETER SOUNDSTAR ECO 8FR,14040.00
CATHETER SOUNDSTAR ECO 8FR,5152.00
CATHETER SPBC MLCT 12FR 25CM,139.00
CATHETER SPBC RTNR 16FR 22CM,89.00
CATHETER SPBC STAMEY 14FR 25CM,68.00
CATHETER SPECIAL ORDER 4F 65CM,50.00
CATHETER SPECIAL ORDER 4F 65CM,58.00
CATHETER SPINE 8 PIN,3590.00
CATHETER SPINE 8 PIN,3590.00
CATHETER SPIROFLEX ULTRA,3440.00
CATHETER SPRINTER 1.5/10MM,480.00
CATHETER SPRINTER RPDX 1.5X12,480.00
CATHETER SPY SCOPY ACCESS &DEL,1900.00
CATHETER STARBURST 4X25CM,4390.00
CATHETER STARBURST 4X25CM,4390.00
CATHETER STINGRAY LP 3.2FR,3059.00
CATHETER STR ART 4FR 100CM,26.00
CATHETER STR ART 4FR 65CM,30.00
CATHETER STRAIGHT 4F X 65CM,26.00
CATHETER STRAIGHT 4FX90CM,26.00
CATHETER STRAIGHT 5F X 65CM,26.00
CATHETER STRAIGHT 5FX90CM,26.00
CATHETER SUP 90CM 4FR CXI SS,350.00
CATHETER SWAN NECK CURL PERI,326.00
CATHETER TANDEM,132.00
CATHETER TENCKHOFF CUST CUR PE,143.00
CATHETER TENCKHOFF ST PED,126.00
CATHETER TENCKHOFF STD CURL AD,143.00
CATHETER TENCKHOFF STR CHR,90.00
CATHETER THRMB .014IN 2.5MM,5700.00
CATHETER THRMB .014IN 2.7MM,5700.00
CATHETER THRMB .035IN .038IN,250.00
CATHETER THRMB .035IN .038IN,250.00
CATHETER THRMB .035IN .038IN,248.00
CATHETER THRMB 10CM 80CM,4190.00
CATHETER THRMB 120CM 1 LUM OTW,2510.00
CATHETER THRMB 120CM 5FR .04IN,250.00
CATHETER THRMB 120CM OTW RDPQ,1880.00
CATHETER THRMB 130CM 4.3FR,1990.00
CATHETER THRMB 136CM 5FR .054,2780.00
CATHETER THRMB 140CM .059IN,900.00
CATHETER THRMB 141CM 4.1FR,2380.00
CATHETER THRMB 141CM 4.1FR,2380.00
CATHETER THRMB 150CM 3.4-4.1FR,2490.00
CATHETER THRMB 154CM 3.9X2.8FR,2380.00
CATHETER THRMB 154CM 3.9X2.8FR,2380.00
CATHETER THRMB 154CM 4.1X3.4FR,2380.00
CATHETER THRMB 154CM 4.1X3.4FR,2380.00
CATHETER THRMB 15CM 80CM,4190.00
CATHETER THRMB 15CM 80CM 8FR,3990.00
CATHETER THRMB 160CM DYSON MN,3380.00
CATHETER THRMB 180CM 2.5MM MRC,6390.00
CATHETER THRMB 180CM 2.5MM MRC,6390.00
CATHETER THRMB 180CM 2MM MRC,6390.00
CATHETER THRMB 180CM 3MM MRC,6390.00
CATHETER THRMB 200CM .028IN,4580.00
CATHETER THRMB 200CM .035IN,4580.00
CATHETER THRMB 26CM 2-4MM,12700.00
CATHETER THRMB 30CM 80CM,4190.00
CATHETER THRMB 31CM 2-4MM,12700.00
CATHETER THRMB 31CM 2-4MM,12700.00
CATHETER THRMB 31CM 3-5.5MM,12700.00
CATHETER THRMB 31XM 3-5.5MM,12700.00
CATHETER THRMB 42CM 3-5.5MM,12700.00
CATHETER THRMB 42CM 3-5.5MM,12700.00
CATHETER THRMB 50CM 6FR AVX,800.00
CATHETER THRMB 5MAX ACE 64,5670.00
CATHETER THRMB 85CM 8FR INDG,5980.00
CATHETER THRMB 90CM 6FR 3MM,2460.00
CATHETER THRMB ANGJT 2MM PMP,450.00
CATHETER THRMB REPERFUSION3MAX,2780.00
CATHETER THRMB REPERFUSION4MAX,2780.00
CATHETER THRMB SPIROFLEX ANGJT,3440.00
CATHETER THROMBOLYSIS 15X80CM,3990.00
CATHETER THROMBOLYSIS 30X80CM,3990.00
CATHETER THROMBOLYSIS 30X80CM,3990.00
CATHETER TIP CULT,216.00
CATHETER TORNUS,1590.00
CATHETER TRAY CVC 2 LUMEN 4FRX,21.00
CATHETER TRIFUSION 23CM,842.00
CATHETER TUBE CHANGE,629.00
CATHETER ULTRA 6FR,1250.00
CATHETER ULTRA 6FR,2730.00
CATHETER ULTRAFLEX 7.5FR 30CC,1378.00
CATHETER ULTRAFLEX 7.5FR 40CC,1378.00
CATHETER ULTRASOUND 8FR,5600.00
CATHETER UMBIL COAX,290.00
CATHETER URET 4FR 70CM,16.00
CATHETER URET 8FR 70CM,16.00
CATHETER URET COUDE TP 3FR 12.,74.00
CATHETER URET O/E 8FR 70CM,18.00
CATHETER URET SIX EYES 24FR,472.00
CATHETER URET SPRL TIP 2FR 12.,113.00
CATHETER URET SPRL TIP 6FR 12.,113.00
CATHETER URETH ROBINSON 10FR,7.00
CATHETER URETH ROBINSON 8FR,8.00
CATHETER URETHRAL ROB 12FR,1.00
CATHETER URETL 5FR 70CM,136.00
CATHETER URETL AXXCESS 6FR 70,247.00
CATHETER URETL SFLX 4FR 70CM,16.00
CATHETER URETL WHISTLE TIP 3F,84.00
CATHETER URETL WHISTLE TIP 4F,84.00
CATHETER URO DIL SET 130CM 30,151.00
CATHETER URTH 5.8FR 24FR 75CM,812.00
CATHETER URTH BDX LBR 12FR FL,23.00
CATHETER US 20MHZ SHT TPR 5FR,750.00
CATHETER US 20MHZ STD TPR 5FR,725.00
CATHETER US 6FR 120CM RE ENTRY,5000.00
CATHETER US 8FR SOUNDSTAR GE,14040.00
CATHETER US 8FR SOUNDSTAR GE,5152.00
CATHETER VASC 150CM WINGMAN CX,1492.00
CATHETER VERIPATH IM 6FR,150.00
CATHETER VIA 027,2400.00
CATHETER VIA 033,2400.00
CATHETER VISITREX EPISENSE,14400.00
CATHETER WEDGE PULMONARY 7FR,136.00
CATHETER WOVEN WHISTLE 5FR 036,820.00
CATHETER WOVEN WHISTLE 6F 0310,78.00
CATHETER XPEEDIOR ULTRA,2330.00
CATHETER**USE ITEM 67119**,584.00
CATHTER ARWY HUMANITARIAN USE,1500.00
CATSCAN GUIDED NEEDLE PLACE,2269.00
CAUTERY OF CERVIX;CRYOCVAUTERY,530.00
CAUTERY WETFIELD 23G,74.00
CAVERNOSOGRAPHY,836.00
CAVH W/WO DIALYSIS,1887.00
CBC,85.00
CBC DIFFERENTIAL,119.00
CBC MANUAL DIFFER-BMT,63.00
CBG-MET HEMOGLOBIN,280.00
CD 19 FLOW MRKR,262.00
CD 3 FLOW MRKR,286.00
CD 4/8 FLOW MRKR,422.00
CD 56/16 FLOW MRKR,306.00
CD UNIT STD,820.00
CD34 RESULT,247.00
CD34 STEM CELL QUANT,534.00
CDH 5.5X30 PREBENT ROD TI,516.00
CDH 6.35X30 PREBENT ROD TI,556.00
CDH 6.35X40 PREBENT ROD TI,516.00
CDH 6.35X50 PREBENT ROD TI,539.00
CDH 6.35X60 PREBENT ROD TI,510.00
CDH 6.35X70 PREBENT ROD TI,585.00
CDH M8 DUAL ROD STAPLE,1493.00
CDH M8 DUAL ROD STAPLE,1493.00
CDH M8 FAS 5.5X35,1343.00
CDH M8 FAS 5.5X40,1343.00
CEA,261.00
"CEA AG, BODY FLUID",14.00
CEDAR LODGE ALS MILEAGE,2.00
CEDAR LODGE BLS MILEAGE,2.00
CEFAZ 1G/GENT 120MG/BACI 50K,86.40
CEFAZ 1G/GENT 480MG/BACI 200K,307.06
CEFAZ 1G/GENT 80MG/BACI 50K,71.81
CEFAZOLIN 1G/NACI 0.9% 1000ML,16.55
CEFAZOLIN 2G D5W 50ML,22.82
CEFAZOLIN 2G/NACI 0.9% 1000ML,36.00
CEFAZOLIN 500MG INJ,24.95
CEFAZOLIN SODIUM INJ 1G,5.18
CEFAZOLIN SODIUM INJ 500MG,20.73
CEFAZOLIN SODIUM INJ 500MG,1.22
CEFEPIME 1G/50ML INJ,35.61
CEFEPIME 2000MG,59.72
CEFEPIME 20MG/ML SYRINGE,4.22
CEFEPIME 2G IVPB,103.74
CEFEPIME 2G/D5W 50ML IVPB,51.77
CEFEPIME DESENSITIZE,0.01
CEFEPIME HCI INJ 500MG,59.80
CEFOTAXIME 100MG/ML SYRINGE,2.91
CEFOXITIN 1G IN 50ML DEXTROSE,35.91
CEFOXITIN 1GM SYRINGE,1.60
CEFOXITIN 2G IN 50ML DEXTROSE,57.16
CEFOXITIN 2GM,40.48
CEFPODOXIME 100MG/5ML SUSP,2.79
CEFPODOXIME 200MG TABLET,24.10
CEFTAZIDIME 11.25MG/0.5ML INTR,22.34
CEFTAZIDIME 1GM SYRINGE,2.15
CEFTAZIDIME 2G INJ,26.29
CEFTAZIDIME INJ 500MG,10.16
CEFTAZIDIME-AVIBACTAM 2.5G INJ,805.32
CEFTOLOZANE-TAZOBACTAM 1.5G IN,270.63
CEFTRIAXONE 1G/50ML IVPB,24.00
CEFTRIAXONE 20MG/ML SYRINGE,4.66
CEFTRIAXONE 2G INJ,13.05
CEFTRIAXONE 350MG/ML INJ,2.26
CEFTRIAXONE INJ 250MG,2.62
CEFTRIAXONE SOD 2G/50ML SOL,57.47
CEFTRIAXONE SODIUM INJ 250MG,85.37
CEFUROXIME PB,19.62
CELECOXIB CAP 100 MG,12.31
CELECOXIB CAP 200 MG,20.51
CELERO NEEDLE VAC AST 12GA,414.00
CELL BLOCK ANY SOURCE,356.00
CELL SAVER BLOOD SALVAGE INPT,2123.00
CELL SAVER BLOOD SALVAGE OUTPT,2123.00
CELL SORTING T-CELLS/MYELOID,238.00
CELLANO AG NEG BLD,300.00
CELLULAR SVC. & ADAPTOR,500.00
CELLULOSE OXD 3X2IN ABSORB,3.00
CELLULOSE OXD 3X2IN ABSORB,3.00
CELLULOSE OXD 9X6IN ABSORB,294.00
CEM BONE NORIAN CRS 10CC,4260.00
CEMENT BN 40GM GNTA,371.00
CEMENT BN CMW2 20GM STRL,158.00
CEMENT BN DIRECTINJECT HA 10CC,6806.00
CEMENT BN DIRECTINJECT HA 5CC,3564.00
CEMENT BN HYDROSET BN SUB VOID,2721.00
CEMENT BN KYPHON 2 GUN FIL,790.00
CEMENT BN KYPHON 3 GUN FIL DEV,790.00
CEMENT BN KYPHON CRTDG 8ML CDS,180.00
CEMENT BN PLC LV+G 40GM,871.00
CEMENT BN PLC R+G SGL DS,870.00
CEMENT BN QUICKSET MACROPOROUS,5700.00
CEMENT BN ROT MX REACTANT VOID,5706.00
CEMENT BN SIL SS 60MM 40GM KN,3618.00
CEMENT BN SMPX P RDPQ FD STRL,15.00
CEMENT BONE,1970.00
CEMENT BONE FILLER,250.00
CEMENT BONE FULL DOSE,196.00
CEMENT BONE GENTAMICIN,627.00
CEMENT BONE KRYPTONITE 5CC,3150.00
CEMENT BONE SMARTSET 40G,139.00
CEMENT BONE W/GENT AMICIN 40G,314.00
CEMENT CONFIDENCE,6365.00
CEMENT DIRECT INJECT 3CC,2196.00
CEMENT HYDROSET INJ 15CC,6417.00
CEMENT MIXER,108.00
CEMENT OTOMIMIX,686.00
CEMENT SMARTSET W/GENTAMICIN,627.00
CEMENT SPACER MOLD STAGE ONE,5176.00
CEMENT SPINEPLEX HALF DOSE,550.00
CEMENTRALIZER 8.5MM,240.00
CEMENTRALIZER 9.25MM,161.00
CEMENTRALIZER FEM STM 11MM,240.00
CEMENTRALIZER FEM STM 12MM,240.00
CEMENTRALIZER FEM STM 13MM,240.00
CENTER SM 20MM,3066.00
CENTERPIECE 19X45MM EXPANDING,15700.00
CENTERPIECE 22X37MM,17000.00
CENTERPIRCE EXPANDING 22X35X52,13700.00
CENTRAL AUD FUNCT ADD 15 MIN,190.00
CENTRAL AUD FUNCT LST HR,748.00
CENTRAL BYPASS SUP W TAVR,11449.00
CENTRALIZER DISTAL 9MM,258.00
CENTRALIZER DST 17MM,176.00
CENTRALIZER DST 9MM,250.00
CENTRALIZER FEM DST ANSWER 11M,258.00
CENTRALIZER FEM DST ANSWER 13M,258.00
CENTRALIZER FEM DST ANSWER 15M,258.00
CENTRALIZER HIP 42X28,1518.00
CENTRALIZER STM 10MM G4 ECHO,374.00
CENTRALIZER STM 11MM VRSY PRX,177.00
CENTRALIZER STM 12MM HIP DST,374.00
CENTRALIZER STM 13MM VRSY DST,178.00
CENTRALIZER STM 14MM DST FEM,168.00
CENTRALIZER STM 14MM HIP DST,374.00
CENTRALIZER STM 14MM VRSY DST,200.00
CENTRALIZER STM 14MM VRSY HIP,238.00
CENTRALIZER STM 15MM VRSY HIP,200.00
CENTRALIZER STM 18MM HIP DST,374.00
CENTRALIZER STM 19MM HIP DST,374.00
CEPHALEXIN 250MG CAP,1.85
CEPHALEXIN 250MG/5ML ORAL SUSP,2.56
CEPHALEXIN 250MG/5ML SUSP,0.47
CEPHALEXIN 500MG CAP,3.36
CER BIOLOXD MOD HD 32MM S,1400.00
CER BIOLOXD MOD HD 36MM +3NK,1400.00
CER BIOLOXD MOD HD 36MM +3NK,1400.00
CER BIOLOXD MOD HD 36MM +3NK,1400.00
CER BIOLOXD MOD HD 36MM +6NK,1400.00
CER BIOLOXD MOD HD 36MM +6NK,1400.00
CER**USE ITEM 141396**,1400.00
CER**USE ITEM 141396**,1400.00
CERAMAX,11000.00
CERAMIC HD 36 +0,3030.00
CERAMIC HEAD TYPE 1,8142.00
CERCLAGE CERVIX DURING PREG,4859.00
CERCLAGE CERVIX NON-OB,5214.00
CERCLAGE OF CERTVIX-VAGINAL,5322.00
CERCLAGE REMOVAL CERVIX,377.00
CEREBRAL VASCULAR OR MIN CHG,48.00
CERULOPLASMIN,125.00
CERV BX/EX LES +/-FULG-SEP PX,703.00
CERV/VAGINAL CANCER SCREENING,223.00
CERVICAL BIOPSY - SEPARATE PX,1378.00
