CDM DESCRIPTION,PRIMARY PRICE
CUP HUMERAL,"$4,461.00 "
CUP MDLR TM CH/MLHL REV,"$11,705.00 "
CUP MDLR TM CH/MLHL REV,"$8,417.00 "
CUP PINN SECTOR GRIPTION,"$7,891.00 "
CUPRIC CHLORIDE INJ 4 MG/10 ML,$148.00 
CURT MRI RVRS 7MM X17,"$2,789.00 "
CUSTOM IMPLANT - A COMPLEXITY,"$34,170.00 "
CUSTOM IMPLANT - M COMPLEXITY,"$30,090.00 "
CUSTOM IMPLANT - S COMPLEXITY,"$28,050.00 "
CUTTING BLOCK TOTAL KNEE,"$2,631.00 "
CUTTING EDGE NDL SS CABLE,"$2,315.00 "
CV OH LEVEL OFF PUMP 0-30 MIN,"$8,750.00 "
CV OH LEVEL ON PUMP 0-30 MIN,"$8,750.00 "
CV OR LEVEL 1 OPEN,"$7,650.00 "
CV OR LEVEL 1 PERC,"$4,590.00 "
CV OR LEVEL 10 PERC,"$9,792.00 "
CV OR LEVEL 2 OPEN,"$8,517.00 "
CV OR LEVEL 2 PERC,"$5,365.00 "
CV OR LEVEL 3 OPEN,"$9,149.00 "
CV OR LEVEL 3 PERC,"$5,987.00 "
CV OR LEVEL 4 OPEN,"$9,772.00 "
CV OR LEVEL 4 PERC,"$6,936.00 "
CV OR LEVEL 5 OPEN,"$10,404.00 "
CV OR LEVEL 5 PERC,"$7,252.00 "
CV OR LEVEL 6 OPEN,"$11,036.00 "
CV OR LEVEL 6 PERC,"$7,885.00 "
CV OR LEVEL 7 OPEN,"$12,617.00 "
CV OR LEVEL 7 PERC,"$8,201.00 "
CV OR LEVEL 8 PERC,"$8,833.00 "
CV OR LEVEL 9 PERC,"$9,455.00 "
CV OR LEVEL OPEN VASC W/ PUMP,"$11,876.00 "
CV OR LEVEL OPEN VASC W/O PUMP,"$10,796.00 "
CV OR LEVEL PERC VASC W/ PUMP,"$8,756.00 "
CV OR LEVEL PERC VASC W/O PUMP,"$7,960.00 "
CVR BUR HL 12MM 6 HL TI CRNFCL,"$1,164.00 "
CVR BUR HL 13MM 16 HL TI SM,$853.00 
CVR BUR HL 17MM 6 HL TI CRNFCL,"$1,164.00 "
CVR BUR HL 18.5MM TI LG CRNFCL,"$1,005.00 "
CVR BUR HL LOPRFL TI,"$1,105.00 "
CYANIDE,$112.00 
CYANOCOBALAMIN INJ 1 MG/1 ML,$31.00 
CYCLIC AMP URINE,$344.00 
CYCLIC CITRULLINE PEPTIDE,$143.00 
CYCLOBENZAPRINE 10 MG TAB U-D,$10.00 
CYCLOPENTOLATE OPH SOLN 1% 2ML,$47.00 
CYCLOPENTOLATE OPH SOLN 2% 2ML,$111.00 
CYCLOPHOSPHAMIDE CAP 25 MG,$28.00 
CYCLOPHOSPHAMIDE-1 INJ 100 MG,$338.00 
CYCLOPHOSPHAMIDE-2 INJ 100 MG,$338.00 
CYCLOPHOSPHAMIDE-500 INJ 100MG,$338.00 
CYCLOSPORINE,$172.00 
CYCLOSPORINE INJ 250 MG/5 ML,$156.00 
CYCLOSPORINE LIQ 100MG/ML-50ML,$919.00 
CYPROHEPTADINE 4 MG TAB U/D,$10.00 
CYST ASP/BREAST/EACH ADD/LT,$312.00 
CYST ASP/BREAST/EACH ADD/LT,$495.00 
CYST ASP/BREAST/EACH ADD/RT,$312.00 
CYST ASP/BREAST/EACH ADD/RT,$495.00 
CYST ASPIRATION/BREAST/LT (EX),"$1,608.00 "
CYST ASPIRATION/BREAST-LT (EX),"$1,353.00 "
CYST ASPIRATION/BREAST-RT (EX),"$1,353.00 "
CYST ASPIRATION/BREAST-RT (EX),"$1,608.00 "
CYST ASPIRATION/GANGLION,$426.00 
CYSTATIN C,$136.00 
CYSTIC FIBROSIS,$144.00 
CYSTINE,$78.00 
"CYSTINE, 24 HOUR URINE QUANTIT",$156.00 
CYSTO CONRAY II 250ML BLADDER,$111.00 
CYSTOGRAM/3 VIEW MINIMUM (EX),$702.00 
CYSTOGRAPHY-3 VIEWS,$702.00 
CYTARABINE (2) INJ 100 MG/1 ML,$6.00 
CYTARABINE INJ 100 MG/5 ML,$31.00 
CYTO & MOLEC INTERP RPT,$188.00 
CYTO BRUSHING,$141.00 
CYTO EXAM INTRAOP ADDITIONAL,$56.00 
CYTO EXAM INTRAOP INITIAL,$150.00 
CYTO SELECT CELL INHANCE TECH,$312.00 
CYTO SMEAR PREP SCREEN INTERM,$72.00 
CYTOGEN MICRO COPY & SIN SNP,"$3,502.00 "
CYTOGENETICS & MOL CYT INT RPT,$188.00 
CYTOGENETICS INTEREP AND REPOR,$172.00 
CYTOKERATIN (SOLUABLE LIVER,$156.00 
CYTOPATH NON GYN,$52.00 
D5.2NS PREMIX WITH KCL 20 MEQ,$161.00 
D5/.2NS INJ 1000 ML BAG,$161.00 
D5/.45NS INJ 1000 ML BAG,$161.00 
D5/0.9NS INJ 1000 ML BAG,$161.00 
D5/LR INJ 1000 ML BAG,$161.00 
D5/NS PREMIX WITH KCL 20 MEQ,$161.00 
D5NS PREMIX WITH KCL 40 MEQ,$161.00 
D5W.45NS PREMIX WITH KCL 10MEQ,$161.00 
D5W.45NS PREMIX WITH KCL 20MEQ,$161.00 
D5W.45NS PREMIX WITH KCL 40MEQ,$161.00 
DABIGATRAN 150 MG CAP,$35.00 
DABIGATRAN 75 MG CAP,$35.00 
DACARBAZINE INJ 100 MG - J,$22.00 
DACARBAZINE INJ 200 MG  - J,$44.00 
DACTINOMYCIN INJ 0.5 MG,"$8,600.00 "
DAKINS SOLN 0.5% - 480 ML,$89.00 
DAKINS SOLN. 0.25% - 16 OZ,$82.00 
DANAZOL 100 MG CAP,$37.00 
DANTROLENE CAP 25 MG UNIT DOSE,$10.00 
DANTROLENE INJ 20 MG,$697.00 
DAPTOMYCIN INJ 1 MG,$4.00 
DAPTOMYCIN IV 500 MG/100 ML,"$1,628.00 "
DARATUMUMAB 100 INJ 10 MG,$315.00 
DARATUMUMAB 400 INJ 10 MG,$315.00 
DARBEPOETIN 100 MCG (DIALYSIS),"$2,697.00 "
DARBEPOETIN 100 MCG/0.5 ML SYR,"$2,697.00 "
DARBEPOETIN 150 MCG (DIALYSIS),"$4,046.00 "
DARBEPOETIN 150 MCG/0.3 ML,"$4,046.00 "
DARBEPOETIN 200 MCG (DIALYSIS),"$5,394.00 "
DARBEPOETIN 200MCG/0.4ML SYR,"$5,394.00 "
DARBEPOETIN 25 MCG (DIALYSIS),$675.00 
DARBEPOETIN 300 MCG/0.6 MLSYR,"$8,090.00 "
DARBEPOETIN 40 MCG (DIALYSIS),"$1,079.00 "
DARBEPOETIN 40 MCG/0.4 ML SYR,"$1,079.00 "
DARBEPOETIN 500MCG/ML SYR,"$13,011.00 "
DARBEPOETIN 60 MCG (DIALYSIS),"$1,618.00 "
DARBEPOETIN 60 MCG/0.3 ML SYR,"$1,618.00 "
DARBEPOETIN-POLYS 25MCG/0.42ML,$675.00 
DAS STAIN-RENAL BIOPSY,$303.00 
DAUNORUBICIN INJ 10 MG,$193.00 
DBM PUTTY ACCELL CONNEXUS 1CC,"$1,306.00 "
DBM PUTTY EVO3C 10CC,"$11,624.00 "
DBM PUTTY EVO3C 2.5CC,"$3,577.00 "
DBM PUTTY EVO3C 5CC,"$6,260.00 "
D-DIMER,$198.00 
D-DIMER,$228.00 
Debakey woven poly fabric 4x4,$743.00 
DEBR NON-SELECTIVE W/O ANES,$136.00 
DEBR SKIN TO BONE 1ST 20SQ CM,"$2,455.00 "
DEBR SKIN/SQ TISSUE 1ST 20SQCM,$844.00 
DEBR SKIN/SQ TISSUE ADD 20SQCM,$770.00 
DEBR SKIN/SQ TSS/MUS EA 20SQCM,"$1,092.00 "
DEBR SKN TO BONE EA ADD 20SQCM,$822.00 
DEBR SKN/SQ TISS/MUS 1ST20SQCM,"$1,139.00 "
DEBR/REM DEV TISSUE <20 SQ CM,$523.00 
DEBR/REM FB SKIN/MUSCLE/BONE,"$1,467.00 "
DEBR/REM FB SKIN/SUBQ,"$1,569.00 "
DEBRIBEMENT-SKIN UPTO 10%,$646.00 
DEBRIDEMENT OF NAILS 1-5,$100.00 
DECAL,$97.00 
DECITABINE INJ 1 MG,$155.00 
DECLOTTING DEVICE,$770.00 
DEFEROXAMINE INJ 500 MG,$91.00 
DEFIB Evera MRI XT DR 2 CH,"$36,934.00 "
DEFIB INSET S/D 33249,"$43,954.00 "
DEFIB REPMT REMOVAL OLD GENER,"$5,573.00 "
DEFIBRILLATOR VIVA S DF4,"$42,329.00 "
DEGARELIX ACETATE INJ 1 MG,$40.00 
DEGARELIX ACETATE INJ 120 MG,"$4,363.00 "
DELIVERY OF PLACENTA,"$2,403.00 "
DELTA CER HEAD 12/14 32MM,"$6,575.00 "
DEM BONE MATRIX 300CC 2.5 CC,"$5,523.00 "
DENGUE FEVER ANTIBODIES,$126.00 
DENOSUMAB INJ (PROLIA) 1 MG,$88.00 
DENOSUMAB INJ (XGEVA) 1 MG,$84.00 
DEOXYCORTICOSTERONE,$364.00 
DERM FARINANE IGE (RAST),$52.00 
DERM PTERONYSSINUS IGE,$52.00 
DESFLURANE INHAL 15 MIN=1 DOSE,$156.00 
DESILET HOFFMAN,$247.00 
DESIPRAMINE,$121.00 
DESMOPRESSIN INJ 1 MCG,$139.00 
DESMOPRESSIN MDV INJ 1 MCG,$140.00 
DEST NRV FACET JNT C/T EA ADD,"$2,729.00 "
DEST NRV FACET JNT C/T SGL,"$2,728.00 "
DEST NRV FACET JNT L/S EA ADD,"$2,894.00 "
DEST NRV FACET JNT L/S SGL,"$5,077.00 "
DESTRUCT NERVE CELIAC PLEXUS,"$2,374.00 "
DESTRUCT NERVE INTERCOSTAL,"$2,636.00 "
DESTRUCT NERVE PERIPHERAL,"$2,371.00 "
DESTRUCTION BENIGN LESION < 15,$322.00 
DEV .25IN CNCT 15IN DLP PRICRD,$63.00 
DEV AL FM PSTN HIP KT PD REPL,$452.00 
DEV ATRICLIP LAA EXLUSION,"$7,864.00 "
DEV BX 20CM 18GA MXCOR 22MM,$274.00 
DEV BX 60CM 18GA Q COR LVR NDL,"$2,367.00 "
DEV CLSR SLNT SYS DURASEAL,"$3,526.00 "
DEV CMPR ARCH PNEUM DOME BELT,$553.00 
DEV CNCPTV ESSURE,"$8,995.00 "
DEV COAG 3CM EPI-SENSE GD,"$32,130.00 "
DEV E STCH V-LOC 180 CLSR 8IN,$378.00 
DEV ESCP DEL 2.5MM 180CM,$658.00 
DEV FX ANKL SS ZIPTIGHT,"$3,460.00 "
DEV FX VIOL 5MM ABSORBATACK,"$12,065.00 "
DEV MAX30 INFL SYR PRSS MNTR,$399.00 
DEV MYOSURE TISSUE REMOVAL,"$6,813.00 "
DEV NDL TRANSBRONC 22GA 40MM,$436.00 
DEV RETRIEVAL LD LCK LLD,"$2,394.00 "
DEV RETRIEVAL LD LCK LLD,"$2,674.00 "
DEV SL 22CM 12MM ENSEAL G2,"$17,232.00 "
DEV SUT 0 ES-9 48IN BRAID NDL,$268.00 
DEV SUT 10MM TROC ST FACIA,$318.00 
DEV SUTURE,$268.00 
DEV VSCSRG VISCOAT IO 3% SOD,$321.00 
DEVICE EMBOLIC PROT SPIDERX 7X,"$6,837.00 "
DEVICE INFLATION ENDO BIG 60,$186.00 
DEVICE VACUUM EXTRACTION,$306.00 
DEXAMETH. OPH SOLN 0.1%-5ML,$138.00 
DEXAMETHASONE 4 MG TAB UD,$10.00 
DEXAMETHASONE INJ 10 MG/1 ML,$28.00 
DEXAMETHASONE INJ 20MG/5ML,$28.00 
DEXAMETHASONE INJ 4MG/10ML,$28.00 
DEXAMETHASONE INJ 4MG/1ML,$28.00 
DEXAMETHASONE LIQ 0.5MG/5ML UD,$10.00 
DEXAMETHASONE TAB 0.5 MG U/D,$10.00 
DEXAMETHASONE TAB 2 MG UD,$10.00 
DEXMEDETOMID. IV 400MCG/100ML,$517.00 
DEXMEDETOMIDINE IV 16 MCG/4 ML,$25.00 
DEXMEDETOMIDINE IV 200 MCG VTB,$200.00 
DEXMEDETOMIDINE IV 200MCG/2ML,$200.00 
DEXMEDETOMIDINE IV 400 MCG,$414.00 
DEXMEDETOMIDINE IV 400MCG/4ML,$414.00 
DEXPANTHENOL INJ 500 MG/2 ML,$34.00 
DEXRAZOXANE INJ 250 MG  - J,"$1,298.00 "
DEXTROSE 10% INJ 1000 ML BAG,$161.00 
DEXTROSE 10% INJ 500ML BAG,$54.00 
DEXTROSE 10PERCENT 250CC,$10.00 
DEXTROSE 25% 10 ML SYRINGE,$54.00 
DEXTROSE 4 GRAM TAB,$10.00 
DEXTROSE 5% INJ 100 ML BAG,$54.00 
DEXTROSE 5% INJ 1000 ML BAG,$161.00 
DEXTROSE 5% INJ 250 ML BAG,$54.00 
DEXTROSE 5% INJ 50 ML BAG,$54.00 
DEXTROSE 5% INJ 500 ML BAG,$54.00 
DEXTROSE 5% IV ADV BAG 100 ML,$52.00 
DEXTROSE 5% WATER 250ML AVIVA,$54.00 
DEXTROSE 5%-WATER 500ML AVIVA,$54.00 
DEXTROSE 50% 50ML SYRINGE,$54.00 
DEXTROSE INJ 50% 50ML VIAL,$28.00 
DF Inventra DX ProMRI Atrial,"$34,853.00 "
DF Itrevia  DR-T,"$32,773.00 "
DF Itrevia HF-T QP DF-4 H,"$36,934.00 "
DF-4 Iperia  DR-T ProMRI,"$35,894.00 "
DF-4 Itrevia  VR-T,"$31,732.00 "
DFBR CRD  VALITUDE X4,"$45,544.00 "
DFBR INCEPTA DR CRD 2.43,"$36,934.00 "
DFBR INCEPTA VR CRD 6.17X7.45,"$36,971.00 "
DFBR LUMAX 540 HF-T,"$40,587.00 "
DFIB AMPLIA 2POLAR LT VENTR LD,"$37,230.00 "
DFIB AMPLIA QDRIPOLAR VENTR LT,"$40,290.00 "
DHEA SULFATE,$217.00 
"DHEA, UNCONJUGATED",$184.00 
DIAB SELF MGT GRP;PER 30 MIN,$56.00 
DIAB SELFMGT INDVID;PER 30 MIN,$97.00 
DIAGNOSTIC CATH 6FR FL4,$42.00 
DIALY SHUNT ANG/DECLOT W PTA,"$22,524.00 "
DIALY SHUNT ANG/DECLOT W STENT,"$24,419.00 "
DIALYSIS CENTRAL PTA,"$15,752.00 "
DIALYSIS CENTRAL PTA W STENT,"$16,468.00 "
DIALYSIS SHUNT ANG W PTA,"$16,678.00 "
DIALYSIS SHUNT ANG W STENT,"$16,678.00 "
DIALYSIS SHUNT ANG/DECLOT,"$7,952.00 "
DIALYSIS SHUNT ANGIOGRAM,"$2,485.00 "
DIALYSIS SHUNT EMBOLIZATION,"$20,186.00 "
DIAZEPAM 2 MG TAB U/D,$10.00 
DIAZEPAM INJ 10MG/2ML,$86.00 
DIAZEPAM TAB 10 MG UNIT DOSE,$10.00 
DIAZEPAM TAB 5 MG UNIT DOSE,$10.00 
DICLOXACILLIN 250MG CAPSULE,$10.00 
DICYCLOMINE CAP 10 MG U/D,$10.00 
DICYCLOMINE HCL 20MG/2ML INJ,$168.00 
DIFFUSION STUDIES,$344.00 
DIGIT REMOVAL,$153.00 
DIGITOXIN,$175.00 
DIGOXIN,$136.00 
DIGOXIN IMMUNE FAB INJ 40 MG,"$13,808.00 "
DIGOXIN INJ 0.5MG/2ML,$28.00 
DIGOXIN TAB 0.125 MG UNIT DOSE,$10.00 
DIGOXIN TAB 0.25 MG UNIT DOSE,$10.00 
DIHYDROCODEINONE SERUM,$72.00 
DIHYDROERGOTAMINE INJ 1MG/1ML,$558.00 
DIL CATH 8FRX20CM .035MM,$33.00 
DIL ENTERAL ACCESS,$488.00 
DIL ESCP SAFEGUIDE,$499.00 
DIL EVOL  MECH SHTH 11FR,"$4,670.00 "
DIL EVOL  MECH SHTH 13FR,"$4,670.00 "
DIL EVOL  MECH SHTH 9FR,"$4,670.00 "
DIL EVOL SHRT MECH SHTH 11FR,"$4,077.00 "
DIL EVOL SHRT MECH SHTH 9FR,"$4,077.00 "
DIL LACHRYMAL MN MNK SIL STNT,$291.00 
DIL LACHRYMAL RTLNG SIL,$401.00 
DIL QTM TTC ESCP CLN 5.5CM 240,$568.00 
DIL URET 60CM 12FR AQ LNG TPR,$147.00 
DIL URETH STRCT FLFRM INT MALE,"$2,876.00 "
DIL VASC 4FR 20CM STD RADOPQ,$44.00 
DIL VASC 5FR 20CM STD RADOPQ,$34.00 
DIL VASC 6FR 20CM STD RADOPQ,$34.00 
DIL VASC 7FR 20CM STD RADOPQ,$34.00 
DILANTIN FREE,$94.00 
DILANTIN TOTAL,$153.00 
DILATE BIL STRICTURE W/O STENT,"$4,099.00 "
DILATE BIL STRICTURE W/STENT,"$5,118.00 "
DILATERIA EXTRA THICK,$61.00 
DILATERIA MED THICK,$61.00 
DILATERIA THICK,$61.00 
DILATERIA THIN,$61.00 
DILATION NEPHROSTOMY TRACT,"$4,881.00 "
DILATOR,$33.00 
DILATOR 20F,$88.00 
DILATOR COPE SADDEKNI,$115.00 
DILTIAZEM 100MG + 100ML MINBAG,$214.00 
DILTIAZEM ER CAP 120 MG,$10.00 
DILTIAZEM ER CAP 240 MG,$10.00 
DILTIAZEM ERCAP 300 MG,$10.00 
DILTIAZEM EXT-REL 180MG CAP,$10.00 
DILTIAZEM HCL INJ 50 MG/10 ML,$28.00 
DILTIAZEM INJ 100MG ADV VIAL,$214.00 
DILTIAZEM INJ 125 MG/25 ML,$214.00 
DILTIAZEM INJ 25MG/5ML,$28.00 
DILTIAZEM TAB 30 MG U/D,$10.00 
DILTIAZEM TAB 60 MG U/D,$10.00 
DIMERCAPROL INJ 300ML/3ML,$862.00 
DIPHENHYDRAMINE INJ 50MG-J,$28.00 
DIPHENHYDRAMINE LIQ 25MG/10ML,$10.00 
DIPHENHYDRAMINE PO 50MG,$10.00 
DIPHENOXYLATE/ATROPINE TAB U/D,$10.00 
DIPHENYDRAMINE 25MG CAP U/D,$10.00 
DIPHTHERIA ABS,$156.00 
DIPYRIDAMOLE 50MG/10ML INJ,$36.00 
DIPYRIDAMOLE TAB 50 MG U/D,$10.00 
DIRECT LARYNGOSCOPY DIAGNOSTIC,"$1,882.00 "
DIRECT LARYNOSCOPY W/ ASP,"$2,841.00 "
DIRECTED COLLECT PROC STORE,$686.00 
DISCOGRAPHY-LUMBAR,"$2,585.00 "
DISOPYRAMIDE,$175.00 
DISP BIO-TENODESIS,$922.00 
DISSECTOR MARTIN,"$7,338.00 "
DIVALPROEX 125MG SPRINKLE CAP,$10.00 
DLYS POWER-TRIALYSIS 13FX30,$788.00 
DM OP SELF-MAN GROUP-30 MINTS,$56.00 
DM OP SELF-MAN INDIVIDUAL-30MI,$97.00 
DMSO 50% INJ 50 ML VIAL,"$2,280.00 "
DNA AB,$210.00 
DNA AB DOUBLE STRANDED,$210.00 
DOBUTAMINE INJ 250 MG/20 ML,$214.00 
DOBUTAMINE IV 1000 MG/250 ML,$200.00 
DOBUTAMINE PREMIX 500MG-D5W250,$214.00 
DOBUTAMINE STRESS ECHO,"$2,008.00 "
DOBUTAMINE STRESS ECHO,"$1,587.00 "
DOBUTAMINE THALLIUM STRESS,"$6,146.00 "
DOCETAXEL 20 INJ 1 MG,$39.00 
DOCETAXEL 80 INJ 1 MG,$39.00 
DOCUSATE LIQ 100MG/10ML U/D,$10.00 
DOCUSATE SOD. 100 MG UNIT DOSE,$10.00 
DOFETILIDE CAP 125 MCG,$45.00 
DOLUTEGRAVIR 50 MG TAB,$437.00 
DOMEBORO POWDER U/D PACK,$21.00 
DONEPEZIL TABLET 5 MG,$10.00 
DOPAMINE INJ 200 MG/5 ML,$214.00 
DOPAMINE PREMIX 400MG D5W250ML,$214.00 
DOPPLER COLOR FLOW VEL MAP,$560.00 
DOPPLER ECHO FOLLOWUP LTD,$458.00 
DOPPLER ECHO PULSED WAVE,$703.00 
DORADO PTA 10X4X80,$974.00 
DORSAL DISTAL RADIUS PLATE,"$6,420.00 "
DORZOLAMIDE OPH SOL 2% -5ML,$97.00 
DOXAZOSIN TAB 2 MG - BTL,$10.00 
DOXEPIN 25 MG CAP UNIT DOSE,$10.00 
DOXERCALCIFEROL INJ 2 MCG/1 ML,$61.00 
DOXORUBICIN INJ 10 MG,$16.00 
DOXORUBICIN LIPOSOME-10 10 MG,"$2,958.00 "
DOXORUBICIN LIPOSOME-25 10 MG,"$2,958.00 "
DOXYCYCLINE 100MG+MINIBAG 100,$267.00 
DOXYCYCLINE CAP 100 MG U/D,$43.00 
DOXYCYCLINE HYCLATE 100 MG CAP,$10.00 
DOXYCYCLINE INJ 100 MG,$267.00 
DRAIN ABSC/CYST DENTOALVEOLAR,$510.00 
DRAIN ABSC/CYST SKENES GLAND,"$2,861.00 "
DRAIN ABSCESS LYMPH NODE SMP,"$2,715.00 "
DRAIN ABSCESS SCROTAL WALL,"$1,054.00 "
DRAIN ABSCESS/HEMATOMA NASAL,$493.00 
DRAIN ABSCS EXT AUDITORY CANAL,$879.00 
DRAIN BY CATH SOFT TISSUE,"$3,297.00 "
DRAIN EXT EAR ABSCESS/HEMATOMA,$558.00 
DRAIN INCISON TAUT,$50.00 
DRAIN PALATE/UVULA ABSCESS,$572.00 
DRAIN T-TUBE 16FR,$40.00 
DRAIN T-TUBE 20FR,$40.00 
DRAIN/INJ MAJOR JOINT/BURSA LT,"$2,398.00 "
DRAIN/INJ MAJOR JOINT/BURSA RT,"$2,398.00 "
DRAINAGE CATH,$368.00 
DRAINAGE FUHRMAN 8.5 PLEURAL,$708.00 
DRAINAGE OF BLEPHAROTOMY,$493.00 
Dressing Hydrocollid Aquacel,$138.00 
DRG HMST FLSL 500IU/ML THRMB,$990.00 
DRILL 3.2MM,"$1,315.00 "
DRILL 4.5MM,"$1,957.00 "
DRILL BIT 1.6X22MM,$832.00 
Drill Bit 1.9MM,$817.00 
Drill Bit 2.4MM/3.5MM,$868.00 
DRILL BIT 2.5,$316.00 
DRILL BIT 4.0,$948.00 
DRILL BIT C/STOP 2.5MM,"$1,873.00 "
DRILL BIT QUICK CONNECT 2.4MM,$563.00 
"DRILL BIT, 4.0MM CALIBRATED",$965.00 
"DRILL POINT 3/32""  X 5""",$180.00 
DRIVER CNCT SQ TIP 2.0MM,$501.00 
DRL NTR NL SRG 152.5MM 4.3MM,$562.00 
DRL SLD SD CUT 40MM,$578.00 
DRL SRG 130MM VLP 2MM,$451.00 
DRL SRG 2.5MM STD SS SM FRAG,$614.00 
DRL SRG 3.4MM CNN,"$1,030.00 "
DRL SRG SHRT 4.8MM,"$2,133.00 "
DRL SURGIBIT SRG 2MM 2.3MM SCR,$601.00 
DRN .25IN VNYL SS INFCT,$128.00 
DRN 1/8IN END PRFR RND TROC,$112.00 
DRN 1/8IN VNYL SS 255000210,$133.00 
DRN 20CMX10MM FULL PRFR FLT,$107.00 
DRN 20CMX7MM FULL PRFR WO,$107.00 
DRN 3/16IN END PRFR RND,$112.00 
DRN 3/16IN VNYL SS INFCT,$128.00 
DRN 6.44IN 8FR THOR CATH,$496.00 
DRN 80CM LMBR XTRN SYS CATH,"$1,105.00 "
DRN ABSCESS/HEMAT NASAL SEPTUM,$736.00 
DRN INCS .25IN 12IN PNRS RBR,$5.00 
DRN INCS .25IN OCN PLS WTRSL,$171.00 
DRN INCS 12FR 12IN DVR RBR BIL,$40.00 
DRN INCS 15FR SIL 3/16IN 4,$406.00 
DRN INCS 15X3/8IN ABRMN SIL,$153.00 
DRN INCS 19FR JP SIL END PRFR,$33.00 
DRN INCS 19FR SIL 3/16IN 4,$97.00 
DRN INCS 49IN 3/16IN 10IN RND,$22.00 
DRN INCS 5/8IN 18IN PNRS RBR,$6.00 
DRN INCS OAS PLS THOR SGL CLT,$161.00 
DRN INCS OCN PLS THOR SGL CLT,$136.00 
DRN JACKSON PRATT 7MM,$97.00 
DRONEDARONE HCL 400MG TAB,$54.00 
DRSG 3X3IN HDRCL ADH GEL WTPRF,$9.00 
DRSG ABD HDRPHB KT PU STRL LF,"$1,936.00 "
DRSG ABS FLXB CNFRM CNTRL GEL,$10.00 
DRSG ACTICOAT 3 FLEX 4X4IN,$36.00 
DRSG ALVN LIFE FM 6 1/16INX6,$14.00 
DRSG BRN ACTCT7 ANBCTRL VRSTL,$85.00 
DRSG CA ALG LEPTOSP HONEY 2X2,$23.00 
DRSG DDRGL NCTXC FLPTP TUBE,$28.00 
DRSG GRMCDL 4.34X4.34IN HEX,$45.00 
DRSG GRMCDL SLVSRB IONIC SLVR,$77.00 
DRSG HDRCLD CRSL GLAMINATE,$70.00 
DRSG HYROCOLOID MEDIHOEY 1.5OZ,$58.00 
DRSG MEDIHONEY .5 OZ TUBE,$21.00 
DRSG MEDIHONEY 3.5 OZ TUBE,$134.00 
DRSG NACL ABS FOLD 4X4IN STRL,$5.00 
DRSG OAS 10X7CM FEN MTRX FRZDR,"$4,468.00 "
DRSG OAS 3 X 3.5CM FEN MTRX,$485.00 
DRSG PETRO 9X3IN CRD CTTN GZE,$5.00 
DRSG RGD NONWEIGHT BRNG PS WND,"$1,924.00 "
DRSG THK3.3CM LG VAC GFM 26X15,$291.00 
DRSG THK3.3CM LG VAC GFM SLVR,$416.00 
DRSG THK3.3CM MED VAC GFM 18,$241.00 
DRSG THK3.3CM MED VAC GFM SLVR,$335.00 
DRSG THK3.3CM SM VAC GFM 10,$192.00 
DRSG WND 4X4IN ENLUXTRA,$26.00 
DRSG WND 8X8IN MSLT NACL PLSTR,$998.00 
DRTSTK MANISCAL IMP 14MM,$979.00 
DRUG SCREEN ENCOUNTER REF LAB,$352.00 
DRUG TEST PRESUMPTIVE CHEM ANL,$352.00 
"DRVVT, LAC",$158.00 
DRY NEEDLING SCREENING,$82.00 
DRY NEEDLING TREATMENT,$40.00 
DSCT BLN PDB SPCMKR PRPERITN,"$1,717.00 "
DSCT BLN SPCMKR 12MM PRPERITN,$884.00 
DSCT LAPSCP BLNT TIP ROT INSL,$96.00 
DTPA- PER 0.5 MCI,"$3,183.00 "
DTPA-PER MCI UP TO 25 MCI,$168.00 
DUAL CUT SAG BLD 13X90X1.19MM,$259.00 
DUBICAINE,$42.00 
DULOXETINE HCL 30MG CAP,$68.00 
DUODENOGRAPHY HYPOTONIC,$510.00 
DUONEB INH SOLN 3ML,$43.00 
DUPLEX LOWER ARTERIAL LIMITED,$701.00 
DURA FLOW 15.5X55CM,"$1,578.00 "
DXTEND MODULAR HUM STEM D10 HA,"$5,832.00 "
DYAGEN MINI ICD VR,"$31,110.00 "
DYNAGEN MINI ICD DR,"$33,150.00 "
e ANTIGEN TYPING,$97.00 
E ANTIGEN TYPING,$97.00 
EA PI PUMP W PROGRAMMING,$910.00 
EA PI PUMP WO PROG/REFL,$775.00 
EAR IMP BOJRAB PRECUT,"$1,969.00 "
EAR IMP BOJRAB TOTAL OR PARTL,"$1,887.00 "
EAR IMP TL W/INTEGRATED SHOE,"$2,213.00 "
EBV DNA PCR CSF,$367.00 
EBV DNA QT PCR,$367.00 
EBV IGG VCA,$194.00 
EBV IGM VCA,$194.00 
EBV VIRAL CAPSID AG IGA,$194.00 
ECHO 2D F/U LIMITED W/CONTRAST,"$1,187.00 "
ECHO 2D FOLLOWUP LIMITED,$729.00 
ECHO 2-D ONLY,"$1,216.00 "
ECHO 2-D ONLY W/CONTRAST,"$1,516.00 "
ECHO 2D PULSED WAVE/COLOR FLOW,"$2,050.00 "
ECHO GUIDED PERICARDIOCENTESIS,$684.00 
ECHO W/CONTRAST M-MODE COLOR,"$2,421.00 "
ECHOVIRUS,$129.00 
ECHOVIRUS TYPE 11,$84.00 
ECHOVIRUS TYPE 30,$84.00 
ECHOVIRUS TYPE 4,$84.00 
ECHOVIRUS TYPE 7,$84.00 
ECHOVIRUS TYPE 9,$84.00 
EDOXABAN 30 MG TABLET,$91.00 
EDROPHONIUM INJ 150MG/15ML,$390.00 
