CDM DESCRIPTION,PRIMARY PRICE
ESTRADIOL                  WMC,$381.00 
ETCO2 MONITOR WMC,$76.00 
ETHOSUXIMIDE WMC,$187.00 
EXERCISE TEST FOR BRONCHOSPASM,$200.00 
EXTRACTABLE NUCLEAR AG ABS,$240.00 
EXTREMITY/BI/ARTERIOGRAM,"$5,212.00 "
EXTREMITY/BI/VENOGRAM,"$2,245.00 "
EXTREMITY/UNI/ARTERIOGRAM,"$4,980.00 "
EXTREMITY/UNI/VENOGRAM,"$1,816.00 "
F BODY/NOSE-RECUM/1V/CHILD,$306.00 
FACET JNT INJ C/T 1ST LVL-LT,"$2,194.00 "
FACET JNT INJ C/T 1ST LVL-RT,"$2,194.00 "
FACET JNT INJ C/T 1ST LVL-UNI,"$2,194.00 "
FACET JNT INJ C/T 2ND LVL-LT,"$1,255.00 "
FACET JNT INJ C/T 2ND LVL-RT,"$1,255.00 "
FACET JNT INJ C/T 2ND LVL-UNI,"$1,255.00 "
FACET JNT INJ C/T 3OR> LVL-UNI,$871.00 
FACET JNT INJ C/T 3OR>LVL-LT,$871.00 
FACET JNT INJ C/T 3OR>LVL-RT,$871.00 
FACET JNT INJ L/S 1ST LVL-LT,"$2,312.00 "
FACET JNT INJ L/S 1ST LVL-RT,"$2,245.00 "
FACET JNT INJ L/S 1ST LVL-UNI,"$2,245.00 "
FACET JNT INJ L/S 2ND LVL-LT,"$1,224.00 "
FACET JNT INJ L/S 2ND LVL-RT,"$1,224.00 "
FACET JNT INJ L/S 2ND LVL-UNI,"$1,224.00 "
FACET JNT INJ L/S 3OR> LVL-LT,"$1,327.00 "
FACET JNT INJ L/S 3OR> LVL-RT,"$1,327.00 "
FACET JNT INJ L/S 3OR> LVL-UNI,"$1,327.00 "
FACIAL BONES/3 VIEW MINIMUN,$428.00 
FACILITY OP VISIT,$94.00 
FACTOR VIII ACTIVITY S-SOUT,$367.00 
FACTOR VIII VON WILLEBRAND AG,$457.00 
FACTOR XIII ACTIVITY,$274.00 
FAT STAIN FECES,$73.00 
FEBRILE AGGLUTINATION WMC,$129.00 
FELBATOL-WMC,$172.00 
FEMUR-LT/1 VIEW,$501.00 
FEMUR-LT/2 VIEW,$482.00 
FEMUR-RT/1 VIEW,$501.00 
FEMUR-RT/2 VIEW,$482.00 
FERRITIN                   WMC,$135.00 
FFP PED PROCESS,$295.00 
FFP PHERESIS               WMC,$286.00 
FIBRIN DEGRADATION PROD-WMC,$177.00 
FIBRINOGEN ACTIVITY,$203.00 
FINGER/FIFTH DIGIT(LEFT HAND),$340.00 
FINGER/FIFTH DIGIT(RIGHT HAND),$340.00 
FINGER/FOURTH DIGIT(LEFT HAND),$340.00 
FINGER/FOURTH DIGIT(RIGHT HAND,$340.00 
FINGER/SECOND DIGIT(LEFT HAND),$340.00 
FINGER/SECOND DIGIT(RIGHT HAND,$340.00 
FINGER/THIRD DIGIT (RIGHT HAND,$340.00 
FINGER/THIRD DIGIT(LEFT HAND),$340.00 
FLD CELL COUNT DIFF        WMC,$146.00 
"FLEX BX BY HOT(POL,TUM,LES)","$1,908.00 "
"FLEX BX BY SNARE (POL,TUM,LES)","$1,918.00 "
FLEX SIGMOID,"$1,745.00 "
FLEX SIGMOID  CA SCRN,"$1,745.00 "
FLEX W/ BIOPSY,"$1,816.00 "
FLEX W/ CNTRL BLEED ANY METHOD,"$1,888.00 "
FLEX W/ INJECTION,"$2,378.00 "
FLEX W/ TRANSENDO BLN DILATION,"$1,531.00 "
FLEX W/ US,"$2,378.00 "
FLEX W/FNA,"$2,571.00 "
FLEXICARE I3000 ACUTE CARE,$171.00 
FLEXICARE I3000 SB,$171.00 
FLEXICARE M4000 ACUTE CARE,$262.00 
FLEXICARE M4000 SB,$262.00 
FLORO < 1 HR,$755.00 
FLOURO GUIDE/PAIN MANAGEMENT,$847.00 
FLOW CYTOMETRY DNA ANALYSIS LL,$663.00 
FLUCYSTOSINE,$224.00 
FLUID CELL COUNT,$110.00 
FLUORD/UP TO 1 HOUR,$602.00 
FLUORO CVC PLACEMENT,$857.00 
FLUORO GUIDE NEEDLE PLACEMENT,$847.00 
FLUORO GUIDE W/WO CONTRAST VER,$857.00 
FLURO GUIDE NEEDLE ASP,$990.00 
FLUTTER VALE,$335.00 
FNA INTERPRETATION & REPORT,$367.00 
FOLATE                     WMC,$140.00 
FOLIC ACID RBC             WMC,$150.00 
FOLLICLE STIMULATING HORMONWMC,$274.00 
FOOT-LT/1 VIEW,$337.00 
FOOT-LT/2 VIEW MINIMUM,$386.00 
FOOT-LT/3 VIEW MINIMUN,$519.00 
FOOT-RT/1 VIEW,$337.00 
FOOT-RT/2 VIEW MINIMUM,$386.00 
FOOT-RT/3 VIEW MINIMUM,$519.00 
FOOT-WMC,$337.00 
FOREARM-LT/1 VIEW,$451.00 
FOREARM-LT/2 VIEW,$446.00 
FOREARM-RT/1 VIEW,$451.00 
FOREARM-RT/2 VIEW,$446.00 
FROZEN SECT ADDITIONAL TISSUE,$133.00 
FROZEN SECTION-WMC,$265.00 
FRUCTOSE SEMEN,$189.00 
FTA,$137.00 
FUNGAL ID,$123.00 
FVC/FEV1 W/BRONCH-WMC,$611.00 
FVC/FEV1-WMC,$370.00 
GABAPENTIN,$104.00 
GALACTOSE NEONATE,$91.00 
GALACTOSEMIA ENZYME,$230.00 
GAMMAGLOBULIN,$152.00 
GAS DILUTION/WASHOUT DETERMINE,$408.00 
GASTRIN-WMC,$252.00 
GASTROGRAFIN ENEMA,$939.00 
GASTROSTOMY TUBE CHANGE/REPO,$837.00 
GC AMP PROBE REF LAB,$131.00 
GC AMPLIFIED PROBE,$260.00 
GENERAL LEVEL 1 ANES,"$2,777.00 "
GENTAMYCIN,$168.00 
GENTAMYCIN TROUGH          WMC,$168.00 
GGTP                       WMC,$123.00 
GI TUBE PLACEMENT (LONG),$622.00 
GIARDIA AG IMMUNOASSAY,$93.00 
GLUCOSE                    WMC,$54.00 
GLUCOSE (FLUID) QUANTITATIVE,$82.00 
GLUCOSE 6 PHOS DEHYDROGENA WMC,$153.00 
GLUCOSE ADDITIONAL TEST - WMC,$58.00 
GLUCOSE BLOOD REAGENT STRIP,$26.00 
GLUCOSE POC,$54.00 
GLUCOSE POST DOSE QUANTITATIVE,$90.00 
GLUCOSE TOL 3SPECIMENS-WMC,$214.00 
GLYCOSYLATED HEMOGLOBIN WMC,$101.00 
GW MAXXWIRE,"$1,035.00 "
H PYLORI (CLO TEST),$163.00 
H PYLORI ANTIGEN STOOL,$178.00 
H PYLORI IGG,$161.00 
H1N1 GENE,$360.00 
HAEMOPHILUS INFLU B IGG,$110.00 
HAND-BILATERAL/1 VIEW,$337.00 
HAND-LT/1 VIEW,$338.00 
HAND-LT/2 VIEW MINIMUM,$344.00 
HAND-LT/3 VIEW MINIMUM,$452.00 
HAND-RT/1 VIEW,$338.00 
HAND-RT/2 VIEW MINIMUN,$344.00 
HAND-RT/3 VIEW MINIMUM,$452.00 
HAPTOGLOBIN QUANT,$109.00 
HAPTOGLOBIN QUATITATIVE,$109.00 
HCV GENOTYPE,$568.00 
HCV RNA PCR QUANT,$477.00 
HCV RNA QUAL PCR,$117.00 
HEAVY METAL QUANT EA,$214.00 
HEAVY METAL-WMC,$262.00 
HEEL-LT/2 VIEW MINIMUN,$404.00 
HEEL-RT/2 VIEW MINIMUM,$404.00 
HEMATOCRIT,$46.00 
HEMATOCRIT                 WMC,$46.00 
HEMOGLOBIN                 WMC,$39.00 
HEMOGLOBIN ELECTROPHORESIS WMC,$134.00 
HEP B SURFACE AG NEUTRAL CONF,$105.00 
HEPARIN INDUCED PIT ANTIBODY,$259.00 
HEPATITIS (HCV),$153.00 
HEPATITIS A AB,$82.00 
HEPATITIS A VIRAL ABY-IGM,$90.00 
HEPATITIS B CORE ANTIBODY  WMC,$81.00 
HEPATITIS B COR-M AB,$121.00 
HEPATITIS B SURFACE ANTIBODY,$120.00 
HEPATITIS B SURFACE ANTIGE WMC,$112.00 
HEPATITIS BE ANTIBODY      WMC,$87.00 
"HEPATITIS PANEL, ACUTE",$414.00 
HER 2 NEU SERUM,$276.00 
HERPES SIMPLEX VIRUS TYPE 1 AB,$86.00 
HERPES SIMPLEX VIRUS TYPE 2 AB,$109.00 
HGB FRACTION NEONATE,$134.00 
HGB FRACTION QUANT CHROMATOG,$108.00 
HI FREQUENCY OSCILLATION INIT,"$1,714.00 "
HIGH FLOW N/C,$69.00 
HIGH FLOW N/C PER HR 02,$22.00 
HIGH FLOW O2 SET UP,$260.00 
HIGH RESOL LIPOPROTEIN VAP CHO,$82.00 
HIP/UNI-LT/2 VIEW MIN W PELVIS,$468.00 
HIP/UNI-RT/2VIEW MIN W PELVIS,$468.00 
HIP-LT/1 VIEW W PELVIS,$444.00 
HIP-RT/1 VIEW W PELVIS,$444.00 
HIPS-BILAT-2V MIN/EA + PELVIS,$637.00 
HISTO CYTO ID ENZYME MBX,$347.00 
HISTOPLASMA AG URINE,$211.00 
HIV 1 RAPID SCREEN,$103.00 
HIV 1&2 RAPID SCREEN,$207.00 
HIV WESTERN BLOT-WMC,$318.00 
HIV-1 & HIV-2 SINGLE ASSAY,$211.00 
HIV-1 & HIV-2 SINGLE ASSAY,$211.00 
HIV-1 RNA BY PCR QUANT,$522.00 
HOLTER MONITOR SCANNING,$921.00 
HOMOCYSTINE PLASMA,$309.00 
HOMOGENILATION TISSUE,$76.00 
HSV NON SPECIFIC TYPE,$54.00 
HUMERUS LT/2 VIEW MINIMUN,$306.00 
HUMERUS-RT/2 VIEW MINIMUM,$306.00 
IBV (IMPLANT),"$11,780.00 "
IMMUNOASSAY FOR TUMOR A QUAN,$224.00 
IMMUNOCYTOCHEMISTRY EACH AB,$276.00 
IMMUNOFIXATION SERUM,$177.00 
IMMUNOFIXATION URINE,$213.00 
IMMUNOGLOBULIN A,$152.00 
IMMUNOGLOBULIN E           WMC,$222.00 
IMMUNOGLOBULIN M,$152.00 
IN-111 WBC(OXYQUIN)/.5MCI DRUG,"$3,837.00 "
INCENTIVE SPIROMETRY,$146.00 
INDIA INK-WMC,$63.00 
INF AGENT AG NOT SPEC EA,$122.00 
INFANT NON INVASIVE VENT,"$1,143.00 "
INFANT VENT INITIAL DAY,"$1,714.00 "
INFERIOR VENA CAVA W/SER,"$4,388.00 "
INFLU A RNA,$360.00 
INFLU VIRUS MULT TYPES RT PCR,$490.00 
INFLUENZA A ANTIGEN,$98.00 
INFLUENZA A FMC,$110.00 
INFLUENZA B ANTIGEN,$98.00 
INFLUENZA B FMC,$110.00 
INFUSION NONCHEM 1ST HR >15MN,$682.00 
INFUSION NONCHEM ADD HR>30MIN,$260.00 
INFUSION NONCHEM CONCURRENT,$363.00 
INFUSION NONCHEM SEQ 1HR>15MM,$400.00 
INITIAL PAP THERAPY,$173.00 
INJ ANES STELLATE GANGLION,"$2,126.00 "
INJ EPIDURAL BLOOD/CLOT PATCH,"$1,337.00 "
INJ PROC CYSTOG/VOID URETH,$806.00 
INJ PROC RETRO URETHRO,$694.00 
INJ PROC SI JNT AND ARTHROGRPH,"$2,122.00 "
INJECT ESA-CHEMO INDUCED,$203.00 
INJECT ESA-NONCHEMO/RADIO,$203.00 
INJECT ESA-RADIO INDUCED,$203.00 
INJECT TENDON SHEATH/LIGAMENT,$500.00 
"INJECTION, SQ OR IM",$203.00 
INSERT AIRWAY EMERGENCY,$627.00 
INSULIN,$205.00 
"INSULIN, FREE",$206.00 
"INSULIN, TOTAL",$205.00 
INTERLEUKIN 2,$179.00 
INTRODUCTION LONG GI TUBE,$765.00 
INTUBATION EMERGENCY,$816.00 
IPPB INITIAL,$173.00 
IPPB SUB,$173.00 
IRON                       WMC,$72.00 
IRT NEONATE,$141.00 
ISOHEMAGGLUTININ A1,$181.00 
ISOHEMAGGLUTININ A2,$181.00 
ISOHEMAGGLUTININ B,$181.00 
IV HYDRATION EA ADDL HR >30MIN,$222.00 
IV HYDRATION INIT 31 TO 1HR,$593.00 
IVP W OR W/O TOMOGRAPHY,$918.00 
JC POLYOMA VIRUS CSF,$360.00 
JO 1 ANTIBODY,$240.00 
K167,$586.00 
KAPPA LIGHT CHAIN FREE,$109.00 
KEPPRA LEVEL,$149.00 
KIDNEY STONE COMP CREATININE,$77.00 
KIDNEY STONE COMP OSMO,$92.00 
KIDNEY STONE COMP RENAL,$265.00 
KIDNEY STONE COMP URIC ACID,$82.00 
KNEE-LT/ 3 VIEWS,$467.00 
KNEE-LT/1 OR 2 VIEWS,$388.00 
KNEE-LT/4 OR MORE VIEWS,$589.00 
KNEE-RT/1 OR 2 VIEWS,$388.00 
KNEE-RT/3 VIEWS,$467.00 
KNEE-RT/4 OR MORE VIEWS,$589.00 
KNEES-BOTH/AP STANDING,$419.00 
KOH                        WMC,$56.00 
LAB MISC-WMC,$500.00 
LACTIC ACID                WMC,$127.00 
LACTIC ACID (FLUID)        WMC,$127.00 
LAM ARM CRADLE,$44.00 
LAMBDA LIGHT CHAIN FREE,$109.00 
LARGE JT ASP/INJ/ARTHRO (EX),$918.00 
LARYNGOSCOPY - DIAG,"$2,378.00 "
LARYNGOSCOPY W/BX,"$2,378.00 "
LARYNGOSCOPY/NEW BORN,"$2,378.00 "
LDH                        WMC,$68.00 
LDH (FLUID)                WMC,$68.00 
LDH ISOENZYMES             WMC,$93.00 
LEAD BLOOD                 WMC,$96.00 
LEFT THUMB,$340.00 
LEGIONELLA ANTIGEN URINE,$160.00 
LEGIONNAIRE TITER-WMC,$187.00 
LEUTENIZING HORMONE,$261.00 
LIGATION OF A-V FISTULA,"$5,116.00 "
LIPASE                     WMC,$179.00 
LIPID PANEL                WMC,$138.00 
LITHIUM                    WMC,$168.00 
LIVER PANEL-WMC,$239.00 
LOW EXT ART PHYSIO/BIL COMP,$768.00 
LOWER EXT ARTER DUP COMP/BIL,"$1,001.00 "
LOWER EXT ARTER DUP LTD/UNI/LT,$687.00 
LOWER EXT ARTER DUP LTD/URI/RT,$687.00 
LOWER EXT VENOUS DUP COMP BIL,"$1,469.00 "
LOWER EXT VENOUS DUPLEX LIM,$758.00 
LOWER EXT VENOUS MAPPING-WMC,$969.00 
LOWER EXT-LT < 1YR /1 VIEW,$337.00 
LOWER EXT-LT < 1YR /2 VIEW,$306.00 
LOWER EXT-RT < 1YR /1 VIEW,$337.00 
LOWER EXT-RT < 1YR /2 VIEW,$306.00 
LP DIAGNOSTIC,"$1,133.00 "
LP THERAPEUTIC,"$1,041.00 "
LP-ITB THERAPY,"$2,940.00 "
"LUMBAR (AP,LAT, W OBL VIEWS)",$820.00 
LUMBAR AP LAT W FLEX EXT,$820.00 
"LUMBAR COM(AP,LAT,OBL,FL)",$971.00 
LUMBAR FLEX EXT,$602.00 
LUMBAR PUNCTURE-WMC,"$1,210.00 "
LUMBAR/1 VIEW,$403.00 
LUMBAR-AP + LAT OB 2-3 VIEWS,$601.00 
LYME DISEASE CSF,$211.00 
LYME DISEASE EIA REFLEX WB,$260.00 
LYMPH AG STIM CANDIDA,$286.00 
LYMPH AG STIM CON A,$286.00 
LYMPH AG STIM PHA,$286.00 
LYMPH AG STIM PPD,$286.00 
LYMPH AG STIM PWM,$286.00 
LYMPH AG STIM TETANUS,$286.00 
LYSOSOMAL ENZYME,$335.00 
MAC LEVEL 3 ANES,"$1,163.00 "
MAGNESIUM                  WMC,$81.00 
MAI DNA PCR,$217.00 
MAI SUSCEPTIBILITY MIC,$120.00 
MAMMO IMPLANT SCREEN BILATERAL,$349.00 
MAMMO IMPLANT SCREEN UNI LEFT,$349.00 
MAMMO IMPLANT SCREEN UNI RIGHT,$349.00 
MAMMO SCREEN BILATERAL,$349.00 
MAMMO SCREEN LEFT,$349.00 
MAMMO SCREEN RIGHT,$349.00 
MANDIBLE/COMPLETE 4 VIEW,$433.00 
MASTOIDS COMPLETE-3 V PER SIDE,$385.00 
MDI INITIAL,$173.00 
MDI SUBSEQUENT,$173.00 
MDS FISH TARGETGENE,$378.00 
MECH CHEST WALL OSCILLATION,$235.00 
METANEPHRINES FRACT URINE,$299.00 
METANEPHRINES PLASMA,$299.00 
METHADONE DRUG SCREEN,$459.00 
MG TOMOSYTHESIS 3D DIAG BILAT,$376.00 
MG TOMOSYTHESIS 3D DIAG UNILAT,$280.00 
MG TOMOSYTHESIS 3D SCREEN BIL,$148.00 
MICROALBUMIN URINE,$85.00 
MICROALBUMIN URINE QUAN,$112.00 
MICROALBUMIN URINE QUANT,$85.00 
MIXING STUDY PT,$61.00 
MIXING STUDY PTT,$91.00 
MM FISH TARGETGENE,$378.00 
MONO TEST                  WMC,$124.00 
MONONUCLEAR CELL AG QUAN,$214.00 
MONTGOMERY SPEAKING VALVE,$309.00 
MORPH ANALY:TUMOR IMMUNOHISTO,$398.00 
MORPH ANALYSIS ISH MANUAL,$378.00 
MORPH ISH COMP ASSIST,$494.00 
MORPH ISH MANUAL,$378.00 
MORPHOMETRIC ANALYSIS TUMOR,$178.00 
MOTILITY ESOPH,"$1,551.00 "
MRI GUIDE BREAST BX,"$3,033.00 "
MRI:3D DIFF WORKSTATION,$980.00 
MRI:ABDOMEN W CONTRAST,"$3,622.00 "
MRI:ABDOMEN W/WO CON,"$4,327.00 "
MRI:ABDOMEN WO CONTRAST,"$3,265.00 "
MRI:BONE MARROW BLOOD SUPPLY,"$2,546.00 "
MRI:BRAIN W CON,"$3,663.00 "
MRI:BRAIN W/WO CON,"$4,602.00 "
MRI:BRAIN WO CONTRAST,"$3,388.00 "
MRI:BREAST W/WO CON UNI-LT,"$3,523.00 "
MRI:BREAST W/WO CON UNI-RT,"$3,523.00 "
MRI:BREAST W/WO CON-BILAT,"$3,439.00 "
MRI:CARD MORPH WO CON-WMC,"$3,184.00 "
MRI:CARD MORPH WO/W CON,"$3,388.00 "
MRI:CERVICAL W CON-WMC,"$3,837.00 "
MRI:CERVICAL W/WO CON-WMC,"$4,643.00 "
MRI:CERVICAL WO CONTRAST,"$3,265.00 "
MRI:CHEST W CON,"$2,546.00 "
MRI:CHEST W/WO CON,"$4,214.00 "
MRI:CHEST WO CON,"$3,342.00 "
MRI:LOWER EXT JOINT W CON-LT,"$3,286.00 "
MRI:LOWER EXT JOINT W CON-RT,"$3,286.00 "
MRI:LOWER EXT JOINT WO CON-LT,"$3,265.00 "
MRI:LOWER EXT JOINT WO CON-RT,"$3,265.00 "
MRI:LOWER EXT JT W/WO CON-LT,"$4,224.00 "
MRI:LOWER EXT JT W/WO CON-RT,"$4,224.00 "
MRI:LOWER EXT W CON-LT,"$2,750.00 "
MRI:LOWER EXT W CON-RT,"$2,750.00 "
MRI:LOWER EXT W/WO CON-LT,"$3,908.00 "
MRI:LOWER EXT W/WO CON-RT,"$3,908.00 "
MRI:LOWER EXT WO CON-LT,"$3,265.00 "
MRI:LOWER EXT WO CON-RT,"$3,265.00 "
MRI:LUMBAR W CON,"$3,837.00 "
MRI:LUMBAR W CON-LIMITED,"$3,837.00 "
MRI:LUMBAR W/WO CON-WMC,"$4,500.00 "
MRI:LUMBAR WO CON,"$3,265.00 "
MRI:NEEDLE PLACEMENT/LOC,"$3,033.00 "
MRI:ORBIT/FACE/NECK W CON,"$2,750.00 "
MRI:ORBIT/FACE/NECK WO CON,"$3,265.00 "
MRI:ORBIT/FACE/NECK/W/WO CON,"$4,265.00 "
MRI:PELVIS W CON,"$2,673.00 "
MRI:PELVIS W/WO CON,"$4,214.00 "
MRI:PELVIS WO CON,"$3,265.00 "
MRI:SPECTROSCOPY,"$2,735.00 "
MRI:THORACIC W CON-LIMITED,"$3,033.00 "
MRI:THORACIC W CON-WMC,"$3,033.00 "
MRI:THORACIC W/WO CON-WMC,"$4,857.00 "
MRI:THORACIC WO CONTRAST,"$3,265.00 "
MRI:TMJ'S (UNI OR BILATERAL),"$3,265.00 "
MRI:UPPER EXT JOINT W CON-LT,"$3,286.00 "
MRI:UPPER EXT JOINT W CON-RT,"$3,286.00 "
MRI:UPPER EXT JOINT WO CON-LT,"$3,265.00 "
MRI:UPPER EXT JOINT WO CON-RT,"$3,265.00 "
MRI:UPPER EXT JT W/WO CON-LT,"$4,061.00 "
MRI:UPPER EXT JT W/WO CON-RT,"$4,061.00 "
MRI:UPPER EXT W CON-LT,"$3,033.00 "
MRI:UPPER EXT W CON-RT,"$3,033.00 "
MRI:UPPER EXT W/WO CON-LT,"$3,908.00 "
MRI:UPPER EXT W/WO CON-RT,"$3,908.00 "
MRI:UPPER EXT WO CON-LT,"$3,265.00 "
MRI:UPPER EXT WO CON-RT,"$3,265.00 "
MTHFR MOLECULAR ISOLATION,$55.00 
MYCO PLASMA PNEUM IGG-WMC,$117.00 
MYCOBACTERIUM ID,$129.00 
MYCOPHENOLIC ACID,$159.00 
MYOGLOBIN SERM QUANT,$157.00 
NASAL BONES/3 VIEW MINIMUN,$485.00 
NEBULIZER US DEMO/EVAL,$132.00 
NECK (FB SOFT TISSUE)-WMC,$319.00 
NECROP G & M INFANT BRAIN-WMC,"$1,092.00 "
NECROP G/M BRAIN/SP CRD-WMC,"$1,633.00 "
NECROP INFANT BRAIN-WMC,"$1,092.00 "
NECROP MACERATE STLBORN-WMC,$406.00 
NECROP NEWBORN BRAIN-WMC,$406.00 
NECROP SINGLE ORGAN-WMC,$406.00 
NECROP STILLBORN BRAIN-WMC,$542.00 
NECROPSY BRAIN/SPINAL CORD WMC,"$1,363.00 "
NECROPSY FORENSIC-WMC,"$1,363.00 "
NECROPSY GROSS & MICRO-WMC,"$1,092.00 "
NECROPSY GROSS ONLY-WMC,$542.00 
NECROPSY REGIONAL-WMC,$542.00 
NECROPSY WITH BRAIN-WMC,"$1,092.00 "
NEEDLE ASP ADEQUACY EVAL-WMC,$194.00 
NEO PIT ALIQ 10ML,$388.00 
NEO PIT ALIQ 1ML,$388.00 
NEO PIT ALIQ 50ML,$388.00 
NEO PIT ALIQ 5ML,$388.00 
NEO RBC ALIQ 10ML,$388.00 
NEO RBC ALIQ 1ML,$388.00 
NEO RBC ALIQ 50ML,$388.00 
NEO RBC ALIQ 5ML,$388.00 
NEONATAL ARTERIAL BLOOD GAS,$245.00 
NEPHRO TUBE REMOV C FLURO,"$3,898.00 "
NEPHROSTO LOOPOGRAM,"$1,031.00 "
NERVE BLOCK FEMORAL S,"$1,224.00 "
NERVE BLOCK GREATER OCCIPITAL,"$1,224.00 "
NERVE BLOCK ILIOINGUINAL,"$1,224.00 "
NERVE BLOCK INTERCOSTAL M,"$2,179.00 "
NERVE BLOCK INTERCOSTAL S,"$1,099.00 "
NEUT FUNCT OXIDATIVE BURST,$362.00 
NEUTRALIXATION-WMC,$121.00 
NEUTROSPEC (TC-99M),"$2,245.00 "
NEW PT OV 99204,$398.00 
NHL FISH CULTURE,$847.00 
NHL FISH DNA PROBE EA,$204.00 
NHL FISH HYBRIDE100-300 CELLS,$357.00 
NITRIC OXIDE PER HOUR,$220.00 
NK CELL COUNT,$166.00 
NM BONE SCAN (LIMITED),"$1,520.00 "
NM BONE SCAN/MULT,"$1,571.00 "
NM BONE SCAN/WHOLE BODY,"$2,071.00 "
NM GI BLEEDING,"$1,582.00 "
NM GI EMPTYING,"$1,898.00 "
NM HIDA HEPATOBILARY PHARM,"$2,041.00 "
NM INFLAMMA (INFEDCTION)LOC/WB,"$2,449.00 "
NM LIVER SPLEEN/STATIC,"$1,592.00 "
NM LUNG VENT PERFUSION,"$2,184.00 "
NM MYO/CARDIOLITE STRESS TEST,"$4,796.00 "
NM PARATHYROID,"$1,449.00 "
NM THREE PHASE BONE SCAN-WMC,"$2,122.00 "
NM:INFLAMMATORY(INFECT)LOC/LIM,"$1,898.00 "
NMDA RECEPTOR,$227.00 
NMR LIPOPROFILE,$253.00 
NM-TREAD MILL STRESS TEST,"$1,408.00 "
NON INVASIVE VENT,$808.00 
NONCHEMO IV PUSH EA ADDL DRUG,$291.00 
NONCHEMO IV PUSH INITIAL DRUG,$327.00 
NONCHEMO IVP ADDL SAME DRG >30,$257.00 
NORTRIPTYLINE-WMC,$119.00 
NOSE MRSA CULTURE,$150.00 
NP OV LEVEL I,$194.00 
NP OV LEVEL II,$235.00 
NP OV LEVEL III,$306.00 
NT SUCTION RC,$258.00 
O2 INITIAL HOUR,$82.00 
O2/HOUR-WMC,$46.00 
OCCULT BLOOD GASTRIC       WMC,$47.00 
OLIGOCLONAL BANDS CSF,$289.00 
OPIATES DRUG SCREEN,$345.00 
OR LEVEL 1 TIME CHARGE,"$7,350.00 "
OR LEVEL 2 TIME CHARGE,"$8,151.00 "
OR LEVEL 3 TIME CHARGE,"$9,354.00 "
ORBITS/4 VIEW MINIMUN,$477.00 
OR-FLUORO LT 1 HOUR,$755.00 
OSMOLALITY BLOOD-WMC,$83.00 
OSMOLALITY STOOL,$82.00 
OSMOLALITY URINE           WMC,$83.00 
OT  LMB SPLINT,$365.00 
OT D E/W/H ORTHO,$864.00 
OT D E/W/H/F ORTHO,$864.00 
OT D FING ORTHO,$236.00 
OT D H/F ORTHO,$386.00 
OT D W/H ORTHO,$971.00 
OT D W/H/F ORTHO,$793.00 
OT DIP/PIP FLEX STRAP,$277.00 
OT HINGED W/H/F ORTHO,"$2,804.00 "
OT JOINT JACK,$485.00 
OT OVAL 8 - PRE-FAB,$172.00 
OT PF FLEXION GLOVE,$282.00 
OT PF H/F ORTHO,$400.00 
OT PF W/H ORTHO,$696.00 
OT PF W/H/F ORTHO,"$1,137.00 "
OT PF WRIST ORTHO,$415.00 
OT S E/W/H ORTHO,"$1,130.00 "
OT S E/W/H/F ORTHO,"$1,130.00 "
OT S ELBOW ORTHO,$465.00 
OT S FING ORTHO,$291.00 
OT S H/F ORTH,$378.00 
OT S HAND ORTHO,$426.00 
OT S W/H ORTHO,$661.00 
OT S W/H/F ORTHO,$374.00 
OT-ADL EA 15MIN,$115.00 
OT-ADL W/MOD EA 15MIN,$133.00 
OT-APP SHORT ARM SPL STA,$436.00 
OT-APPL DYNAMIC SHORT ARM SPL,$380.00 
OT-AQUATIC THRPY W/MD EA 15MI,$133.00 
OT-ASST TECH ASSESS EA 15MIN,$100.00 
OT-AST TCH ASMT W/MOD EA 15MI,$91.00 
OT-COGNITIVE PERFORMACE TEST,$207.00 
OT-COMM WRK REINTERG EA 15MIN,$109.00 
OT-CONTRAST BATH EA 15 MIN,$122.00 
OT-E STIM(ATTEND) EA 15 MIN,$161.00 
OT-ELECTRICAL STIM(UNATTENDED),$146.00 
OT-EVAL HIGH COMPLEXITY 60MIN,$441.00 
OT-EVAL LOW COMPLEXITY 30MIN,$223.00 
OT-EVAL MOD COMPLEXITY 45MIN,$370.00 
OT-EXERCISE EA 15 MIN,$164.00 
OT-EXERCISE W/MOD EA 15 MIN,$143.00 
OT-FINGER SPLINT DYNAMIC,$383.00 
OT-FINGER SPLINT STATIC,$357.00 
OT-FOREARM TO HAND SPLINT,$380.00 
OT-FUNCT ACT W/MD EA 15MIN,$133.00 
OT-FUNCT ACTIVITIES EA 15MIN,$115.00 
OT-FUNCT CAP W/MOD EA 15MIN,$133.00 
OT-FUNCT CAPACITY EA 15MIN,$126.00 
OT-GONIOMETRY HAND,$99.00 
OT-GONIOMETRY UE,$107.00 
OT-GROUP THERAPY,$126.00 
OT-HME INST W/MOD EA 15MIN,$133.00 
OT-HOME INSTRUCT EA 15MIN,$115.00 
OT-IONTOPHORESIS EA 15 MIN,$117.00 
OT-JOBST COMP,$108.00 
OT-JOBST COMP W/MOD,$91.00 
OT-MANUAL THERAPY EA 15MIN,$186.00 
OT-MANUAL THRPY W/MOD EA 15MI,$153.00 
OT-MASSAGE EA 15MIN,$112.00 
OT-MASSAGE W/MOD EA 15MIN,$122.00 
OT-NEUROBEHAVIOR STATUS CA,$326.00 
OT-NEUROMUSC REED EA 15 MIN,$110.00 
