NDC,Description,Number Units Charged,Charge Amount Units,Charge
36000-009-24 ,CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN ,200,mL,$55.50
0409-4777-50 ,Ciprofloxacin in D5W 400 MG/200ML Soln 200 mL Flex Cont,200,mL,$40.00
0065-8533-02 ,CIPROFLOXACIN-DEXAMETHASONE 0.3-0.1 % OT SUSP ,7.5,mL,$483.50
0074-4378-05 ,cisatracurium 2 MG/ML Soln 5 mL Vial,5,mL,$104.00
63323-416-05 ,cisatracurium 2 MG/ML Soln 5 mL Vial,5,mL,$96.50
0781-9038-70 ,cisatracurium 20 MG/10ML Soln 10 mL Vial,10,mL,$130.50
0074-4380-10 ,CISATRACURIUM BESYLATE 20 MG/10ML IV SOLN ,10,mL,$134.50
0074-4378-05 ,cisatracurium PF 10 MG/5ML Soln 5 mL Vial,5,mL,$104.00
63323-416-05 ,cisatracurium PF 10 MG/5ML Soln 5 mL Vial,5,mL,$96.50
60505-2518-1 ,citalopram 10 MG Tabs 100 Each Bottle,1,Each,$13.50
60505-2519-1 ,citalopram 20 MG Tabs 100 Each Bottle,1,Each,$14.00
0904-6085-61 ,citalopram 20 MG Tabs 100 Each Box,1,Each,$14.00
59762-3328-1 ,clindamycin 150 MG Caps 100 Each Bottle,1,Each,$12.50
0904-5959-61 ,clindamycin 150 MG Caps 100 Each Box,1,Each,$12.00
63739-059-10 ,clindamycin 150 MG Caps 100 Each Box,1,Each,$12.00
0009-0870-26 ,clindamycin 300 MG/2ML Soln 2 mL Vial,2,mL,$40.00
0009-3382-01 ,clindamycin 900 MG/50ML Soln 50 mL Flex Cont,50,mL,$112.50
0781-3290-09 ,clindamycin 900 MG/50ML Soln 50 mL Flex Cont,50,mL,$101.50
0781-9222-09 ,clindamycin 900 MG/50ML Soln 50 mL Flex Cont,50,mL,$101.50
0009-0902-18 ,clindamycin 900 MG/6ML Soln 6 mL Vial,6,mL,$55.00
47781-465-70 ,CLINDAMYCIN PHOSPHATE 9 GM/60ML IJ SOLN ,60,mL,$129.00
0009-0902-11 ,CLINDAMYCIN PHOSPHATE 900 MG/6ML IJ SOLN ,6,mL,$55.00
0781-8018-01 ,clonazePAM 0.5 MG Tabs 100 Each Bottle,1,Each,$31.50
63739-263-10 ,clonazePAM 0.5 MG Tabs 100 Each Box,1,Each,$32.00
51079-299-01 ,cloNIDine 0.1 MG Tabs 1 Each Blister,1,Each,$11.50
0378-0152-01 ,cloNIDine 0.1 MG Tabs 100 Each Bottle,1,Each,$11.50
0904-5656-61 ,cloNIDine 0.1 MG Tabs 100 Each Box,1,Each,$11.50
0904-6294-61 ,clopidogrel 75 MG Tabs 100 Each Box,1,Each,$15.50
0904-7822-36 ,clotrimazole 1 % Crea 14.17 g Tube,14.17,g,$5.50
0472-0379-15 ,clotrimazole-betamethasone 1-0.05 % Crea 15 g Tube,15,g,$125.50
0168-0258-15 ,CLOTRIMAZOLE-BETAMETHASONE 1-0.05 % EX CREA ,15,g,$83.00
0046-0872-21 ,conjugated estrogens 0.625 MG/GM Crea 30 g Tube,30,g,$779.50
0046-0749-05 ,conjugated estrogens 25 MG Solr 1 Each Vial,1,Each,$678.00
0548-5900-00 ,cosyntropin 0.25 MG Solr 1 Each Vial,1,Each,$267.00
0143-9621-01 ,CYANOCOBALAMIN 1000 MCG/ML IJ SOLN ,1,mL,$66.50
63323-044-01 ,cyanocobalamin 1000 MCG/ML Soln 1 mL Vial,1,mL,$66.50
51079-644-01 ,cyclobenzaprine 10 MG Tabs 1 Each Blister,1,Each,$12.00
59746-177-06 ,cyclobenzaprine 10 MG Tabs 100 Each Bottle,1,Each,$12.50
0904-7809-61 ,cyclobenzaprine 10 MG Tabs 100 Each Box,1,Each,$12.50
50268-190-11 ,CYCLOBENZAPRINE HCL 5 MG PO TABS ,1,Each,$12.50
68084-753-95 ,CYCLOBENZAPRINE HCL 5 MG PO TABS ,1,Each,$12.50
0065-0359-02 ,cyclopentolate-phenylephrine 0.2-1 % Soln 2 mL Bottle,2,mL,$110.00
0023-9163-30 ,CYCLOSPORINE 0.05 % OP EMUL ,1,Each,$47.50
52959-430-30 ,desvenlafaxine 50 MG Tb24 30 Each Bottle,1,Each,$35.00
0008-1211-30 ,DESVENLAFAXINE SUCCINATE ER 50 MG PO TB24 ,1,Each,$65.50
51991-311-90 ,DESVENLAFAXINE SUCCINATE ER 50 MG PO TB24 ,1,Each,$52.00
0054-3177-63 ,dexamethasone 0.5 MG/5ML Soln 500 mL Bottle,500,mL,$96.50
0054-3176-44 ,dexamethasone 1 MG/ML Conc 30 mL Bottle,30,mL,$106.00
63323-165-05 ,dexamethasone 20 MG/5ML Soln 5 mL Vial,5,mL,$59.50
55150-237-01 ,dexamethasone 4 MG/ML Soln 1 mL Vial,1,mL,$38.50
63323-165-01 ,dexamethasone 4 MG/ML Soln 1 mL Vial,1,mL,$39.50
63323-165-02 ,dexamethasone 4 MG/ML Soln 1 mL Vial,1,mL,$39.50
67457-423-00 ,dexamethasone 4 MG/ML Soln 1 mL Vial,1,mL,$38.00
0641-0367-21 ,DEXAMETHASONE SODIUM PHOSPHATE 10 MG/ML IJ SOLN ,1,mL,$38.50
67457-422-54 ,DEXAMETHASONE SODIUM PHOSPHATE 20 MG/5ML IJ SOLN ,5,mL,$39.50
63824-175-63 ,dextromethorphan 30 MG/5ML Suer 89 mL Bottle,89,mL,$9.50
0338-0023-02 ,DEXTROSE 10 % IV SOLN ,250,mL,$47.50
0338-0023-03 ,DEXTROSE 10 % IV SOLN ,500,mL,$48.50
0409-7930-02 ,dextrose 10 % Soln 250 mL Flex Cont,250,mL,$49.50
0409-7930-02 ,dextrose 10 % Soln 250 mL Flex Cont,250,mL,$49.50
0409-7930-03 ,dextrose 10 % Soln 500 mL Flex Cont,500,mL,$50.50
0409-7930-03 ,dextrose 10 % Soln 500 mL Flex Cont,500,mL,$50.50
0409-7993-09 ,"dextrose 5 % and 0.45 % NaCl with KCl 10 mEq 10-5-0.45 MEQ/L-%-% Soln 1,000 mL Flex Cont",1000,mL,$40.00
0409-7902-09 ,"dextrose 5 % and 0.45 % NaCl with KCl 20 mEq/L 20-5-0.45 MEQ/L-%-% Soln 1,000 mL Flex Cont",1000,mL,$40.00
0409-7904-09 ,"dextrose 5 % and 0.45 % NaCl with KCl 40 mEq 40-5-0.45 MEQ/L-%-% Soln 1,000 mL Flex Cont",1000,mL,$40.00
0409-7926-09 ,"dextrose 5 % and 0.45% NaCl 5-0.45 % Soln 1,000 mL Flex Cont",1000,mL,$48.50
0409-7107-09 ,"dextrose 5 % and 0.9 % NaCl with KCl 20 mEq 20-5-0.9 MEQ/L-%-% Soln 1,000 mL Flex Cont",1000,mL,$40.00
0338-0089-04 ,"dextrose 5 % and 0.9% NaCl 5-0.9 % Soln 1,000 mL Flex Cont",1000,mL,$32.00
0409-7941-09 ,"dextrose 5 % and 0.9% NaCl 5-0.9 % Soln 1,000 mL Flex Cont",1000,mL,$48.50
0338-0017-11 ,DEXTROSE 5 % IV SOLN ,50,mL,$30.00
0338-0017-38 ,DEXTROSE 5 % IV SOLN ,100,mL,$29.50
0338-6346-02 ,DEXTROSE 5 % IV SOLN ,250,mL,$49.50
0338-0017-48 ,dextrose 5 % Soln 100 mL Flex Cont,100,mL,$30.00
0409-7923-37 ,dextrose 5 % Soln 100 mL Flex Cont,100,mL,$29.50
0409-7923-20 ,dextrose 5 % Soln 25 mL Flex Cont,25,mL,$30.00
0338-0017-02 ,dextrose 5 % Soln 250 mL Flex Cont,250,mL,$31.00
0409-7922-02 ,dextrose 5 % Soln 250 mL Flex Cont,250,mL,$49.50
0409-7923-36 ,dextrose 5 % Soln 50 mL Flex Cont,50,mL,$30.00
0338-0017-48 ,dextrose 5% 5 % Soln 100 mL Flex Cont,100,mL,$30.00
0409-7923-37 ,dextrose 5% 5 % Soln 100 mL Flex Cont,100,mL,$29.50
0409-7923-20 ,dextrose 5% 5 % Soln 25 mL Flex Cont,25,mL,$30.00
0338-0017-02 ,dextrose 5% 5 % Soln 250 mL Flex Cont,250,mL,$31.00
0409-7922-02 ,dextrose 5% 5 % Soln 250 mL Flex Cont,250,mL,$49.50
0409-7923-36 ,dextrose 5% 5 % Soln 50 mL Flex Cont,50,mL,$30.00
0409-7926-09 ,"dextrose 5% and 0.45% NaCl 5-0.45 % Soln 1,000 mL Flex Cont",1000,mL,$48.50
0338-0089-04 ,"dextrose 5% and 0.9% NaCl 5-0.9 % Soln 1,000 mL Flex Cont",1000,mL,$32.00
0409-7941-09 ,"dextrose 5% and 0.9% NaCl 5-0.9 % Soln 1,000 mL Flex Cont",1000,mL,$48.50
0409-7929-09 ,"dextrose 5% in lactated ringers 5 % Soln 1,000 mL Flex Cont",1000,mL,$48.50
0409-7929-03 ,dextrose 5% in lactated ringers 5 % Soln 500 mL Flex Cont,500,mL,$50.50
0409-7929-09 ,"dextrose 5% lactated ringers 5 % Soln 1,000 mL Flex Cont",1000,mL,$48.50
0409-7929-03 ,dextrose 5% lactated ringers 5 % Soln 500 mL Flex Cont,500,mL,$50.50
0338-0811-04 ,"dextrose 5% lactated ringers with KCl 20 mEq 20 MEQ/L Soln 1,000 mL Flex Cont",1000,mL,$79.50
0409-7111-09 ,"dextrose 5% lactated ringers with KCl 20 mEq 20 MEQ/L Soln 1,000 mL Flex Cont",1000,mL,$41.00
0409-4902-34 ,dextrose 50 % Soln 50 mL Syringe,50,mL,$62.00
0409-7517-16 ,dextrose 50 % Soln 50 mL Syringe,50,mL,$61.50
0409-6648-02 ,dextrose 50 % Soln 50 mL Vial,50,mL,$30.50
0409-7120-07 ,"dextrose 70 % Soln 2,000 mL Flex Cont",2000,mL,$105.50
0338-0125-04 ,DEXTROSE IN LACTATED RINGERS 5 % IV SOLN ,1000,mL,$48.50
0338-0085-04 ,DEXTROSE-NACL 5-0.45 % IV SOLN ,1000,mL,$48.50
40985-27384 ,dha expecta lipil 200 MG Caps 30 Each Bottle,1,Each,$0.50
74312-34846 ,dha expecta lipil 200 MG Caps 30 Each Bottle,1,Each,$0.50
10542-010-10 ,DIALYVITE PO TABS ,1,Each,$11.50
0904-5880-61 ,DIAZEPAM 5 MG PO TABS ,1,Each,$31.50
51079-285-20 ,DIAZEPAM 5 MG PO TABS ,1,Each,$31.50
63739-073-10 ,diazePAM 5 MG Tabs 100 Each Box,1,Each,$31.00
61442-102-60 ,DICLOFENAC SODIUM 50 MG PO TBEC ,1,Each,$12.00
0093-3125-01 ,dicloxacillin 500 MG Caps 100 Each Bottle,1,Each,$14.00
51079-119-01 ,DICYCLOMINE HCL 20 MG PO TABS ,1,Each,$12.00
17478-937-25 ,dilTIAZem 125 MG/25ML Soln 25 mL Vial,25,mL,$85.50
0641-9219-01 ,DILTIAZEM HCL 125 MG/25ML IV SOLN ,25,mL,$61.50
17478-937-10 ,DILTIAZEM HCL 50 MG/10ML IV SOLN ,10,mL,$40.50
63739-015-10 ,DILTIAZEM HCL ER COATED BEADS 180 MG PO CP24 ,1,Each,$11.50
50484-044-09 ,dimethicone 1 % Crea 113 g Tube,113,g,$9.50
0456-4123-63 ,dinoprostone 10 MG Inst 1 Each Box,1,Each,$673.00
55566-2800-1 ,dinoprostone 10 MG Inst 1 Each Box,1,Each,$821.00
0904-5306-60 ,diphenhydrAMINE 25 MG Caps 100 Each Bottle,1,Each,$0.50
0904-5306-61 ,diphenhydrAMINE 25 MG Caps 100 Each Box,1,Each,$0.50
0904-2056-61 ,diphenhydrAMINE 50 MG Caps 100 Each Box,1,Each,$0.50
0641-0376-21 ,diphenhydrAMINE 50 MG/ML Soln 1 mL Vial,1,mL,$38.50
0641-0376-25 ,diphenhydrAMINE 50 MG/ML Soln 1 mL Vial,1,mL,$38.50
63323-664-01 ,diphenhydrAMINE 50 MG/ML Soln 1 mL Vial,1,mL,$40.50
0121-0489-05 ,DIPHENHYDRAMINE HCL 12.5 MG/5ML PO ELIX ,5,mL,$3.00
0904-7651-51 ,DIPHENHYDRAMINE-APAP (SLEEP) 25-500 MG PO TABS ,1,Each,$0.50
12547-17162 ,diphenhydrAMINE-zinc acetate 1-0.1 % Crea 28.3 g Tube,28.3,g,$4.00
0904-5354-31 ,DIPHENHYDRAMINE-ZINC ACETATE 2-0.1 % EX CREA ,28,g,$4.50
0378-0415-01 ,diphenoxylate-atropine 2.5-0.025 MG Tabs 100 Each Bottle,1,Each,$32.00
0904-6364-61 ,DIVALPROEX SODIUM ER 500 MG PO TB24 ,1,Each,$13.50
0409-2344-88 ,DOBUTamine 250 MG/20ML Soln 20 mL Vial,20,mL,$60.50
0135-0200-03 ,docosanol 10 % Crea 2 g Pump Btl,2,g,$19.00
0135-0200-01 ,docosanol 10 % Crea 2 g Tube,2,g,$19.00
0904-2244-61 ,docusate 100 MG Caps 100 Each Box,1,Each,$0.50
0904-6455-61 ,docusate 100 MG Caps 100 Each Box,1,Each,$0.50
63739-478-10 ,docusate 100 MG Caps 100 Each Box,1,Each,$0.50
60687-129-11 ,DOCUSATE SODIUM 100 MG PO CAPS ,1,Each,$0.50
50383-771-10 ,DOCUSATE SODIUM 150 MG/15ML PO LIQD ,10,mL,$1.00
49702-228-13 ,DOLUTEGRAVIR SODIUM 50 MG PO TABS ,1,Each,$167.00
0409-5820-01 ,DOPamine 40 MG/ML Soln 5 mL Vial,5,mL,$40.00
51079-437-01 ,doxepin 25 MG Caps 1 Each Blister,1,Each,$12.00
60687-118-21 ,doxycycline 100 MG Caps 30 Each Box,1,Each,$15.00
0143-3142-50 ,doxycycline 100 MG Caps 50 Each Bottle,1,Each,$31.00
53489-119-02 ,doxycycline 100 MG Caps 50 Each Bottle,1,Each,$33.00
63323-130-11 ,doxycycline 100 MG Solr 1 Each Vial,1,Each,$122.50
63323-130-13 ,doxycycline 100 MG Solr 1 Each Vial,1,Each,$116.50
41167-00606 ,doxylamine 25 MG Tabs 8 Each Box,1,Each,$0.50
41167-00609 ,DOXYLAMINE SUCCINATE (SLEEP) 25 MG PO TABS ,1,Each,$0.50
70000-0249-1 ,DOXYLAMINE SUCCINATE (SLEEP) 25 MG PO TABS ,1,Each,$0.50
55494-100-10 ,doxylamine-pyridoxine 10-10 MG Tbec 100 Each Bottle,1,Each,$40.50
49281-510-05 ,DTaP-IPV-Hib Vaccine Susr 1 Each Vial,1,Each,$235.50
57237-018-30 ,DULoxetine 30 MG Cpep 30 Each Bottle,1,Each,$39.00
0904-6453-61 ,DULOXETINE HCL 30 MG PO CPEP ,1,Each,$32.50
0904-6454-61 ,DULOXETINE HCL 60 MG PO CPEP ,1,Each,$32.50
61958-0601-1 ,EMTRICITABINE 200 MG PO CAPS ,1,Each,$87.50
63323-568-95 ,enoxaparin 100 MG/ML Soln 1 mL Syringe,1,mL,$80.00
63323-569-84 ,enoxaparin 150 MG/ML Soln 1 mL Syringe,1,mL,$142.50
63323-569-95 ,enoxaparin 150 MG/ML Soln 1 mL Syringe,1,mL,$101.00
63323-568-94 ,enoxaparin 30 MG/0.3ML Soln 0.3 mL Syringe,0.3,mL,$40.50
0075-0620-41 ,enoxaparin 40 MG/0.4ML Soln 0.4 mL Syringe,0.4,mL,$154.00
0781-3224-02 ,enoxaparin 40 MG/0.4ML Soln 0.4 mL Syringe,0.4,mL,$133.00
63323-568-87 ,enoxaparin 40 MG/0.4ML Soln 0.4 mL Syringe,0.4,mL,$71.00
63323-568-96 ,enoxaparin 40 MG/0.4ML Soln 0.4 mL Syringe,0.4,mL,$42.00
63323-568-98 ,enoxaparin 60 MG/0.6ML Soln 0.6 mL Syringe,0.6,mL,$62.50
0075-0620-40 ,ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN ,0.4,mL,$154.00
0703-8540-21 ,ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN ,0.4,mL,$71.00
71030-003-02 ,EPHEDRINE SULFATE 25 MG/5ML IV SOSY WRAPPER ,5,mL,$166.50
69374-901-05 ,ePHEDrine sulfate 25 MG/5ML Sosy 5 mL Syringe,5,mL,$123.50
76014-005-25 ,ePHEDrine Sulfate 50 MG/ML Soln 1 mL Vial,1,mL,$165.00
69374-901-10 ,EPHEDRINE SULFATE-NACL 50-0.9 MG/10ML-% IV SOSY ,10,mL,$236.50
71030-003-10 ,EPHEDRINE SULFATE-NACL 50-0.9 MG/10ML-% IV SOSY ,10,mL,$217.50
71030-003-12 ,EPHEDRINE SULFATE-NACL 50-0.9 MG/10ML-% IV SOSY ,10,mL,$226.00
0409-4921-20 ,EPINEPHrine PF 1 MG/10ML Sosy 10 mL Syringe,10,mL,$56.50
76329-3316-1 ,EPINEPHrine PF 1 MG/10ML Sosy 10 mL Syringe,10,mL,$62.50
54288-103-01 ,EPINEPHRINE PF 1 MG/ML IJ SOLN ,1,mL,$99.00
0409-7241-25 ,EPINEPHrine PF 1 MG/ML Soln 1 mL Ampule,1,mL,$39.50
55513-126-01 ,epoetin alfa 2000 UNIT/ML Soln 1 mL Vial,1,mL,$154.50
0006-3843-71 ,ertapenem 1 g Solr 1 Each Vial,1,Each,$315.00
0006-3845-01 ,ertapenem 1 g Solr 1 Each Vial,1,Each,$329.00
0006-3845-71 ,ertapenem 1 g Solr 1 Each Vial,1,Each,$329.00
55150-282-20 ,ertapenem 1 g Solr 1 Each Vial,1,Each,$307.00
0574-4024-50 ,erythromycin 5 MG/GM Oint 1 g Tube,1,g,$42.00
24208-910-19 ,erythromycin 5 MG/GM Oint 1 g Tube,1,g,$55.50
0409-6482-01 ,erythromycin 500 MG Solr 1 Each Vial,1,Each,$247.00
24338-122-13 ,ERYTHROMYCIN BASE 250 MG PO TBEC ,1,Each,$42.50
68084-617-11 ,escitalopram 10 MG Tabs 1 Each Blister,1,Each,$15.50
0456-2010-63 ,escitalopram 10 MG Tabs 100 Each Box,1,Each,$43.50
0904-6426-61 ,escitalopram 10 MG Tabs 100 Each Box,1,Each,$15.50
0456-2005-01 ,ESCITALOPRAM OXALATE 5 MG PO TABS ,1,Each,$54.00
59746-279-01 ,ESCITALOPRAM OXALATE 5 MG PO TABS ,1,Each,$16.00
10019-120-01 ,esmolol 100 MG/10ML Soln 10 mL Vial,10,mL,$89.00
63323-652-10 ,esmolol 100 MG/10ML Soln 10 mL Vial,10,mL,$98.50
0378-3350-99 ,estradiol 0.05 MG/24HR Ptwk 4 Each Box,1,Each,$93.50
47781-206-04 ,ESTRADIOL 0.05 MG/24HR TD PTWK ,1,Each,$89.50
47781-207-04 ,ESTRADIOL 0.06 MG/24HR TD PTWK ,1,Each,$89.50
47781-208-04 ,estradiol 0.075 MG/24HR Ptwk 4 Each Box,1,Each,$89.50
0378-3352-99 ,estradiol 0.1 MG/24HR Ptwk 4 Each Box,1,Each,$93.50
47781-209-04 ,ESTRADIOL 0.1 MG/24HR TD PTWK ,1,Each,$89.50
0555-0886-02 ,ESTRADIOL 1 MG PO TABS ,1,Each,$12.00
0591-0487-01 ,estradiol 1 MG Tabs 100 Each Bottle,1,Each,$12.00
0046-1104-81 ,estrogens (conjugated) 1.25 MG Tabs 100 Each Bottle,1,Each,$34.00
0409-6695-01 ,etomidate 2 MG/ML Soln 10 mL Vial,10,mL,$60.50
50268-303-11 ,famotidine 20 MG Tabs 1 Each Blister,1,Each,$13.00
51079-966-01 ,famotidine 20 MG Tabs 1 Each Blister,1,Each,$13.00
64679-936-03 ,"famotidine 20 MG Tabs 1,000 Each Bottle",1,Each,$13.00
63739-645-10 ,famotidine 20 MG Tabs 100 Each Box,1,Each,$11.50
63323-739-12 ,famotidine 20 MG/2ML Soln 2 mL Vial,2,mL,$38.00
67457-433-00 ,famotidine 20 MG/2ML Soln 2 mL Vial,2,mL,$38.00
65649-211-24 ,FAMOTIDINE 40 MG/5ML PO SUSR ,50,mL,$435.00
0338-0519-13 ,fat emulsion 20 % Emul 500 mL Flex Cont,500,mL,$165.50
0338-0519-03 ,fat emulsion 20 % Emul 500 mL Plas Cont,500,mL,$165.50
0338-0519-09 ,FAT EMULSION 20 % IV EMUL ,250,mL,$183.00
0409-9094-22 ,fentaNYL (PF) 100 MCG/2ML Soln 2 mL Vial,2,mL,$43.50
0641-6027-01 ,fentaNYL (PF) 100 MCG/2ML Soln 2 mL Vial,2,mL,$44.00
0641-6027-25 ,fentaNYL (PF) 100 MCG/2ML Soln 2 mL Vial,2,mL,$44.00
0409-9094-25 ,fentaNYL (PF) 250 MCG/5ML Soln 5 mL Vial,5,mL,$44.50
60505-7006-0 ,fentaNYL 25 MCG/HR Pt72 1 Each Package,1,Each,$106.50
60505-7007-0 ,fentaNYL 50 MCG/HR Pt72 1 Each Package,1,Each,$145.50
0409-9094-22 ,fentaNYL 50 mcg/mL Soln 2 mL Vial,2,mL,$43.50
0641-6027-01 ,fentaNYL 50 mcg/mL Soln 2 mL Vial,2,mL,$44.00
0641-6027-25 ,fentaNYL 50 mcg/mL Soln 2 mL Vial,2,mL,$44.00
0409-9093-32 ,FENTANYL CITRATE (PF) 100 MCG/2ML IJ SOLN ,2,mL,$44.00
0409-9094-11 ,FENTANYL CITRATE (PF) 100 MCG/2ML IJ SOLN ,2,mL,$43.00
0409-9093-35 ,FENTANYL CITRATE (PF) 250 MCG/5ML IJ SOLN ,5,mL,$44.50
38779-1284-5 ,ferric subsulfate Soln 100 mL Bottle,100,mL,$90.50
0574-0508-11 ,ferrous gluconate 324 (38 Fe) MG Tabs 100 Each Box,1,Each,$0.50
50383-778-16 ,FERROUS SULFATE 220 (44 FE) MG/5ML PO ELIX ,473,mL,$9.00
0904-7590-80 ,"ferrous sulfate 325 (65 Fe) MG Tabs 1,000 Each Bottle",1,Each,$0.50
0904-7591-61 ,ferrous sulfate 325 (65 Fe) MG Tabs 100 Each Box,1,Each,$0.50
0245-0108-89 ,ferrous sulfate 325 (65 Fe) MG Tbec 1 Each Blister,1,Each,$1.00
0245-0108-01 ,ferrous sulfate 325 (65 Fe) MG Tbec 100 Each Box,1,Each,$1.00
54838-011-50 ,ferrous sulfate 75 (15 FE) mg/mL Soln 50 mL Bottle,50,mL,$6.00
0536-3481-08 ,FERROUS SULFATE ER 140 (45 FE) MG PO TBCR ,1,Each,$0.50
59338-775-01 ,FERUMOXYTOL 510 MG/17ML IV SOLN ,17,mL,"$1,629.50"
45802-571-78 ,fexofenadine 180 MG Tabs 100 Each Bottle,1,Each,$0.50
0378-0782-93 ,FEXOFENADINE HCL 180 MG PO TABS ,1,Each,$2.50
65628-201-10 ,FIRST-VANCOMYCIN 50 50 MG/ML PO SOLN ,300,mL,$316.00
0904-4043-60 ,fish oil omega-3 fatty acids 1000 MG Caps 100 Each Bottle,1,Each,$0.50
16500-07909 ,flintstones plus iron Chew 60 Each Bottle,1,Each,$0.50
59762-5029-1 ,fluconazole 10 MG/ML Susr 35 mL Bottle,35,mL,$113.00
0172-5412-11 ,FLUCONAZOLE 150 MG PO TABS ,1,Each,$60.50
57237-005-11 ,fluconazole 150 MG Tabs 12 Each Box,1,Each,$60.50
0904-6501-61 ,FLUCONAZOLE 200 MG PO TABS ,1,Each,$69.50
36000-002-06 ,fluconazole 200-0.9 MG/100ML-% Soln 100 mL Flex Cont,100,mL,$62.50
55390-012-01 ,fluconazole 200-0.9 MG/100ML-% Soln 100 mL Vial,100,mL,$107.50
0115-7033-01 ,fludrocortisone 0.1 MG Tabs 100 Each Bottle,1,Each,$12.00
17478-253-10 ,fluorescein 10 % Soln 5 mL Vial,5,mL,$119.00
0904-5784-61 ,FLUoxetine 10 MG Caps 100 Each Box,1,Each,$13.50
68084-605-11 ,FLUoxetine 20 MG Caps 1 Each Blister,1,Each,$14.00
50111-648-01 ,FLUoxetine 20 MG Caps 100 Each Bottle,1,Each,$14.00
0904-5785-61 ,FLUoxetine 20 MG Caps 100 Each Box,1,Each,$13.50
0378-0734-93 ,FLUOXETINE HCL 10 MG PO TABS ,1,Each,$14.00
0054-3270-99 ,fluticasone 50 MCG/ACT Susp 16 g Bottle,16,g,$188.00
60505-0829-1 ,fluticasone 50 MCG/ACT Susp 16 g Bottle,16,g,$211.50
60505-0847-3 ,fluticasone 50 MCG/ACT Susp 16 g Bottle,16,g,$211.50
0173-0874-14 ,FLUTICASONE FUROATE 100 MCG/ACT IN AEPB ,14,Each,$233.00
0173-0859-14 ,FLUTICASONE FUROATE-VILANTEROL 100-25 MCG/INH IN AEPB ,28,Each,$295.00
0173-0882-10 ,FLUTICASONE FUROATE-VILANTEROL 200-25 MCG/INH IN AEPB ,60,Each,$748.00
0173-0882-14 ,FLUTICASONE FUROATE-VILANTEROL 200-25 MCG/INH IN AEPB ,28,Each,$295.00
0173-0695-04 ,fluticasone-salmeterol 100-50 MCG/DOSE Aepb 14 Each Disp Pack,1,Each,$57.50
62584-897-11 ,folic acid 1 MG Tabs 1 Each Blister,1,Each,$11.50
63739-537-10 ,folic acid 1 MG Tabs 100 Each Box,1,Each,$11.50
0904-3197-60 ,folic acid 400 MCG Tabs 100 Each Bottle,1,Each,$0.50
63323-184-10 ,folic acid 5 MG/ML Soln 10 mL Vial,10,mL,$164.00
63323-184-11 ,folic acid 5 MG/ML Soln 10 mL Vial,10,mL,$131.50
0456-4300-01 ,FOSFOMYCIN TROMETHAMINE 3 G PO PACK ,1,Each,$235.00
0409-6102-18 ,FUROSEMIDE 10 MG/ML IJ SOLN ,4,mL,$40.50
0409-6102-37 ,FUROSEMIDE 10 MG/ML IJ SOLN ,10,mL,$58.00
23155-473-31 ,FUROSEMIDE 10 MG/ML IJ SOLN ,2,mL,$40.50
36000-283-25 ,FUROSEMIDE 10 MG/ML IJ SOLN ,4,mL,$41.00
63323-280-01 ,FUROSEMIDE 10 MG/ML IJ SOLN ,2,mL,$63.50
0517-5702-25 ,furosemide 10 MG/ML Soln 2 mL Vial,2,mL,$39.00
36000-282-25 ,furosemide 10 MG/ML Soln 2 mL Vial,2,mL,$40.00
0409-6102-26 ,furosemide 10 MG/ML Soln 4 mL Vial,4,mL,$40.50
0054-3294-46 ,furosemide 10 MG/ML Soln 60 mL Bottle,60,mL,$48.00
51079-072-01 ,furosemide 20 MG Tabs 1 Each Blister,1,Each,$11.50
0378-0208-01 ,furosemide 20 MG Tabs 100 Each Bottle,1,Each,$11.50
67877-222-01 ,gabapentin 100 MG Caps 100 Each Bottle,1,Each,$31.50
0904-6665-61 ,GABAPENTIN 100 MG PO CAPS ,1,Each,$31.00
0904-6666-61 ,GABAPENTIN 300 MG PO CAPS ,1,Each,$31.00
67684-2000-3 ,GADOTERATE MEGLUMINE 10 MMOL/20ML IV SOLN ,20,mL,$254.50
63323-173-02 ,gentamicin (preservative free) 10 MG/ML Soln 2 mL Vial,2,mL,$41.50
63323-173-02 ,gentamicin (preservative free) 10 MG/ML Soln 2 mL Vial,2,mL,$41.50
63323-513-02 ,gentamicin (preservative free) 10 MG/ML Soln 2 mL Vial,2,mL,$42.00
63323-513-02 ,gentamicin (preservative free) 10 MG/ML Soln 2 mL Vial,2,mL,$42.00
17478-284-35 ,gentamicin 0.3 % Oint 3.5 g Tube,3.5,g,$116.00
61314-633-05 ,gentamicin 0.3 % Soln 5 mL Bottle,5,mL,$88.50
0338-0503-48 ,gentamicin 0.8-0.9 MG/ML-% Soln 100 mL Flex Cont,100,mL,$41.00
0409-7884-23 ,gentamicin 0.8-0.9 MG/ML-% Soln 100 mL Flex Cont,100,mL,$56.50
0338-0507-48 ,gentamicin 1.2-0.9 MG/ML-% Soln 100 mL Flex Cont,100,mL,$41.50
0409-1207-03 ,gentamicin 40 MG/ML Soln 2 mL Vial,2,mL,$38.50
0409-1207-25 ,gentamicin 40 MG/ML Soln 2 mL Vial,2,mL,$38.00
0338-0505-48 ,GENTAMICIN IN SALINE 1-0.9 MG/ML-% IV SOLN ,100,mL,$41.50
