Charge Code,Description,CPT/HCPCS,Fee
2129024,COMPONENT FEMORAL CEMENTED 5 RIGHT TRIATHLON,C1776,"$13,401.00 "
2129025,BASEPLATE TIBIAL PRIMARY CEMENTED 4 TRIATHLON,C1776,"$7,920.00 "
2129026,INSERT TIBIAL X3 4 11MM POSTERIOR STABILIZED TRIATHLON,C1776,"$9,231.00 "
2129027,COMPONENT PATELLAR X3 H10 MM OD36 MM SYMMETRIC TRIATHLON,C1776,"$4,577.00 "
2129028,PEG FIXATION TRIATHLON DISTAL FEMORAL KNEE MODULAR,,"$1,916.00 "
2129029,NAIL CEPHALOMEDULLARY 125CCD LONG L40CM OD13MM RT,C1713,"$9,308.00 "
2129031,PLATE BONE MINI ARCH L33 MM SPINAL 1 BEND TITANIUM,,"$2,420.00 "
2129034,SCREW BONE L8 MM OD2 MM CORTICAL SELF TAPPING STARDRIVE,,$180.00 
2129036,DEVICE SUTURING SPEEDSTITCH CASSETTE NEEDLE,,$540.00 
2129040,"FIBER, OPTIC GREENLIGHT MOXY",,"$3,420.00 "
2129042,"FIBER, HOLMIUM MICRON 200 SINGLE USE",,$389.00 
2129047,GRAFT SOFT TISSUE FASCIA 200SQ CM OR MORE FROZEN,,"$3,132.00 "
2129049,KIT ACCESSORY NEUROSTIMULATOR 3550-24,,$180.00 
2129051,SYSTEM BONE CEMENT COMPACT VACUUM MIXING,,$513.00 
2129052,MASK QUATTRO FX FULL FACE MEDIUM,A7030,$145.00 
2129053,CUSHION MIRAGE FX QUATTRO MEDIUM,A7031,$60.00 
2129055,CUSHION AND FLAP COMFORTGEL LARGE REPLACEMENT,A7032,$30.00 
2129056,MASK COMFORTGEL BLUE LARGE,A7034,$75.00 
2129057,MASK COMFORTGEL BLUE MEDIUM,A7034,$75.00 
2129058,CUSHION AND FLAP COMFORTGEL PETITE REPLACEMENT,A7032,$30.00 
2129059,MASK COMFORTGEL BLUE PETITE,A7034,$75.00 
2129060,CUSHION AND FLAP COMFORTGEL MEDIUM REPLACEMENT,A7032,$30.00 
2129061,SCREW BONE L38 MM L12.6 MM OD4.5 MM CANNULATED,,$647.00 
2129063,GRAFT TISSUE SCLERA PATCH - 1/4,L8610,$720.00 
2129065,NEEDLE LOCALIZATION HAWKINS III L12.5 CM OD20 GA BREAST,,$94.00 
2129068,BIT DRILL OD3.2 MM CANNULATED QUICK COUPLING,,"$2,384.00 "
2129074,SPACER LORDOTIC 10MM ANTERIOR CERVICAL INTERBODY FUSION,,"$5,501.00 "
2129075,CATHETER DRAINAGE BACTISEAL EVD 1.9 MM SET CLAMP,,"$2,213.00 "
2129076,PLATE BONE LARGE LEFT CLAVICLE 8 HOLE NARROW PROFILE,,"$4,061.00 "
2129077,SCREW LPS CANNULATED L30 X W2.3MM,,$490.00 
2129078,CUSHION QUATTRO FX CUSHION LG,A7031,$60.00 
2129079,PACKING NASAL STAMMBERGER FOAM DISSOLVABLE DRESSING,,$242.00 
2129080,MASK QUATTRO FX FULL FACE LG,A7030,$145.00 
2129081,CUSHION QUATTRO FX SM,A7031,$60.00 
2129082,MASK QUATTRO FX FULL FACE SM,A7030,$145.00 
2129092,PLATE BONE PERI-LOC L81 MM LEFT OLECRANON 6 HOLE,C1713,"$3,535.00 "
2129094,SCREW BONE PERI-LOC 55X2.7 MM CORTEX LOCKING SELF TAPPING,,$383.00 
2129095,SCREW BONE PERI-LOC 30X3.5MM CORTEX LOCKING SELF TAPPING,,$392.00 
2129096,SCREW BONE PERI-LOC 22X3.5MM CORTEX LOCKING SELF TAPPING,,$392.00 
2129098,SCREW BONE PERI-LOC 12X3.5MM CORTEX LOCKING SELF TAPPING,,$392.00 
2129099,SCREW BONE PERI-LOC 14X3.5MM CORTEX LOCKING SELF TAPPING,,$392.00 
2129100,SCREW BONE PERI-LOC 26X3.5MM CORTEX LOCKING SELF TAPPING,,$392.00 
2129101,SCREW BONE PERI-LOC 24X3.5MM CORTEX LOCKING SELF TAPPING,,$77.00 
2129103,SPACER SPINAL OPAL L32 MM X W9 MM X H10 MM REVOLVE,,"$10,253.00 "
2129104,ROD SPINAL TITANIUM L65 MM OD6 MM SOFT CURVED CLICKX,,$620.00 
2129105,STEM FEMORAL TIVANIUM L135 MM OD19 MM TAPERED ZMR,C1776,"$8,111.00 "
2129106,HEAD BIPOLAR OD48 MM ID28 MM  SELF-CENTERING,C1776,"$1,620.00 "
2129107,STEM FEMORAL +8 LAT LONG L225MM L36MM OD20MM OD15MM STRT,C1776,"$16,282.00 "
2129108,GRAFT BONE STAGRAFT DBM 5 ML PUTTY,,"$2,942.00 "
2129109,IMPLANT PUNCTAL .5MM X 2.0MM ABSORBABLE SYNTHETIC EXTEND,A4262,$33.00 
2129113,LINER ACETABULAR DURALOC MARATHON NEUTRAL OD54MM ID32MM,C1776,"$5,500.00 "
2129114,CAGE SPINAL CONCORDE L27MM X W10MM X H9MM BULLET PARALLEL,C1889,"$9,720.00 "
2129115,PIN FIXATION SKYLINE STRAIGHT TEMPORARY,,$486.00 
2129117,COMPONENT FEMORAL SROM L66 MM X W62 MM RT SMALL,C1776,"$21,159.00 "
2129118,INSERT TIBIAL UNIVERSAL SMALL H28 MM HINGED,C1776,"$9,600.00 "
2129119,LEAD NEUROSTIMULATOR INTERSTIM L33CM 3093-33,C1778,"$11,826.00 "
2129120,SHELL ACETABULAR TRABECULAR METAL OD54 MM MULTIHOLE,C1776,"$6,840.00 "
2129121,SCREW BONE AEQUALIS L26 MM OD4.5 MM LOCKING,,$486.00 
2129122,SPHERE GLENOID AEQUALIS OD42 MM REVERSED 29 MM BASEPLATE,C1776,"$9,677.00 "
2129123,HEAD FEMORAL PCA -3 MM OD32 MM OFFSET,C1776,"$3,307.00 "
2129124,CATHETER UMBILICAL COAXIAL,,$314.00 
2129125,CABLE CATHETER ELECTRICAL UMBILICAL DISPOSABLE,,$611.00 
2129126,INTRODUCER SHEATH FLEXCATH OD12 FR STEERABLE,C1766,"$3,600.00 "
2129128,AGENT HEMOSTATIC VITAGEL 2 ML SEALANT KIT,,$843.00 
2129131,LASER SURGICAL DEEPFX BRIDGE THERAPY KIT DISPOSABLE,,$90.00 
2129133,"KIT, MANUAL RETRACTION ARCTIC FRONT ABLATION",,$540.00 
2129135,SCREW BONE L60 MM OD6.7 MM CANNULATED,,$911.00 
2129136,"KIT, ACP SERIES 2",,$375.00 
2129139,"ACD-A SOLUTION, A, U.S.P., 500ML",,$144.00 
2129155,SCREW BONE L45 CM OD6.7 MM CANNULATED,,$900.00 
2129157,GUIDEWIRE ORTHOPEDIC L200 MM OD2.4 MM TROCAR TIP,,$36.00 
2129158,BIT DRILL L120 MM OD4 MM BONE CANNULATED,,$702.00 
2129171,BASEPLATE GLENOID SHOULDER REVERSED 25 MM LONG POST II,C1776,"$6,646.00 "
2129172,SPHERE GLENOID AEQUALIS OD36 MM CENTERED 25 MM BASEPLATE,C1776,"$7,614.00 "
2129173,"DEVICE, SPECIMEN RETRIEVAL 14.10CMX25.4CM 1550ML",,$207.00 
2129175,"DEVICE, SPECIMEN RETRIEVAL 5.6CMX14CM 235ML",,$431.00 
2129176,PLATE BONE CSLP TITANIUM L59 MM L51 MM 3 LEVEL LOCKING,,"$3,240.00 "
2129177,SCREW CSLP USS L18MM OD4MM SELF TAPPING EXPANSION HEAD,,$450.00 
2129179,HEAD HUMERAL EQUINOXE OD53MM SHOULDER EXPANDED,C1776,"$3,780.00 "
2129180,LINER ACETABULAR OD64 MM ID36 MM SHELL CONSTRAINED,C1776,"$20,685.00 "
2129181,SURFACE ARTICULAR NEXGEN LCCK SZ 17 5-6 G L74 MM X W46 MM,C1776,"$7,053.00 "
2129182,PROSTHESIS VOICE BLOM-SINGER CLASSIC L18MM OD20FR INDWLLNG,L8509,$639.00 
2129185,EXPANDER TISSUE H13CM W14CM P7.1 600ML STYLE 133MX,C1789,"$5,742.00 "
2129186,GRAFT STENT AAA 16CMX23MMX14.5MM TRUNK IPSILAT LEG EXCLUDER,,"$35,858.00 "
2129188,VALVE SUCTION BRONCHIAL IBV OD6 MM,,"$9,540.00 "
2129189,VALVE SUCTION BRONCHIAL IBV OD7 MM,,"$9,540.00 "
2129191,PLATE BONE 4 D PETITE RIGHT METATARSOPHALANGEAL LOCKING,,"$2,247.00 "
2129192,CATHETER BALLOON DILATATION ODSEC10 MM 2 LUMEN,C1726,$588.00 
2129193,STEM FEMORAL TIVANIUM ALLOY L185 MM OD19 MM TAPERED,C1776,"$9,252.00 "
2129194,BODY CONE TIVANIUM 17.7 MM A L80 MM X H35 MM OD46 MM,C1776,"$12,156.00 "
2129195,PLATE BONE L77 MM PROXIMAL ULNAR RIGHT 3 HOLE,,"$2,768.00 "
2129196,"SCREW BONE LOCKING 3.5MM WITH 2.7 MM HEAD, L28 MM LONG",,$367.00 
2129197,SCREW BONE UNIVERSAL L26 MM OD2.7 MM ORTHOPEDIC LOCKING,,$396.00 
2129198,SCREW BONE UNIVERSAL L38 MM OD2.7 MM ORTHOPEDIC LOCKING,,$396.00 
2129199,"SCREW BONE CANCELLOUS 4MM, PARTIALLY THREADED, 70MM LONG",,$75.00 
2129200,CONTRAST RAD ISOVUE M200MG 41 PERCENT IOPAMIDOL PER ML,Q9966,$4.00 
2129201,CONTRAST RAD ISOVUE M 300MG 61 PERCENT IOPAMIDOL PER ML,Q9967,$5.00 
2129203,SCREW BONE BIODUR L55 MM OD3.5 MM CANNULATED,C1713,$638.00 
2129204,GRAFT STENT ENDO TALENT L160 MM OD32 MM PROXIMAL MAIN,,"$56,438.00 "
2129205,STEM HUMERAL 127.5 D 4A L78 MM NEW SHOULDER,C1776,"$11,704.00 "
2129206,INTRODUCER CATHETER FAST-CATH .038 8.5 FR RAMP CURVE,C1893,$530.00 
2129207,BIT DRILL BIGLIANI FLATOW STAINLESS STEEL SHOULDER STERILE,,$567.00 
2129209,SNARE ENDOSCOPIC SNAREMASTER 2.8 MM L230 CM OD20 MM,,$95.00 
2129229,ROD SPINAL USS TITANIUM L125 MM OD6 MM,,$620.00 
2129230,HEAD FEMORAL BIOLOX DELTA +3 OD36MM,C1776,"$2,340.00 "
2129231,LINER ACETABULAR E-POLY RINGLOC SZ 24 ID36MM HI WALL,C1776,"$3,780.00 "
2129232,ADAPTER LEAD 2 X 4 POCKET,C1883,"$3,564.00 "
2129233,EXTENSION QUADRAPOLAR INTERSTIM L25CM MODEL 3095,C1883,"$1,782.00 "
2129234,GUIDEWIRE VASCULAR L260CM OD.032IN RADIOPAQUE BAND,C1769,$66.00 
2129238,"CATHETER BALLOON, 4MM-4CM/135CM POWERFLEX",C1725,$449.00 
2129239,"CATHETER BALLOON, 4MM-4CM/80CM POWERFLEX",C1725,$449.00 
2129240,"CATHETER BALLOON, 5MM-4CM/135CM POWERFLEX",C1725,$449.00 
2129241,"CATHETER BALLOON, 6MM-4CM/135CM POWERFLEX",C1725,$661.00 
2129244,"CATHETER BALLOON, SAVVY 4MM X 6CM X 120CM",C1725,$900.00 
2129245,"CATHETER BALLOON, SAVVY 5MM X 6CM X 120CM",C1725,$900.00 
2129248,RELOAD STAPLER ENDO GIA MEDIUM L45 MM THICK,,"$1,375.00 "
2129249,TUBING ABLATION SYSTEM L9 FT PUMP MICROWAVE CHAMBER,,$0.01 
2129250,APPLICATOR THERMOABLATION HYPERTHERMIA MICROWAVE,,$0.01 
2129251,SYSTEM ABLATION EVIDENT 22CM PERCUTANEOUS MICROWAVE ANTENNA,,$0.01 
2129252,"KIT, COAGULATION PLANAR",,$0.01 
2129253,"BUTTON, PLASMA VAPORIZATION",,"$1,939.00 "
2129254,ELECTRODE ELECTROSURGICAL MED 30D LOOP,,"$1,847.00 "
2129262,PLATE BONE SECOND THIRD TARSOMETATARSAL 7 HOLE LOCKING,,"$2,247.00 "
2129263,SCREW BONE TITANIUM L34 MM OD2.7 MM CORTICAL,,$238.00 
2129264,SCREW BONE TITANIUM L40 MM OD2.7 MM CORTICAL TAP,,$216.00 
2129277,SHEATH INTRODUCER GORE L28CM OD24FR OD9.1MM ID8.2MM DRYSEAL,,"$1,206.00 "
2129278,STENT ENDOPROSTHESIS GORE TAG L15 CM OD37 MM THORACIC,C1874,"$44,625.00 "
2129279,STENT ENDOPROSTHESIS GORE TAG L10 CM OD31 MM THORACIC,C1874,"$44,625.00 "
2129282,COMPONENT FEMORAL TRIATHLON SZ5 LEFT KNEE TOTAL STABILIZED,C1776,"$23,571.00 "
2129283,BASEPLATE TIBIAL TRIATHLON 6 UNIVERSAL KNEE TOTAL STABILIZE,C1776,"$11,221.00 "
2129284,INSERT TIBIAL TRIATHLON X3 SZ6 6MM POSTERIOR STABILIZED,C1776,"$8,698.00 "
2129285,STEM FEMORAL TRIATHLON L100 MM OD14 MM PRESS FIT FLUTED,C1776,"$6,555.00 "
2129286,STEM FEMORAL TRIATHLON L100 MM OD18 MM PRESS FIT FLUTED,C1776,"$4,778.00 "
2129287,ADAPTER FEMORAL TRIATHLON 2 MM OFFSET,C1776,"$4,614.00 "
2129288,STEM FEMORAL TRIATHLON L25MM EXTENDER,C1776,"$3,903.00 "
2129289,COLLECTOR BONE SPECIMEN ASSEMBLY,,$347.00 
2129290,TRAY MINI SAVI-6 APPLICATOR,C1728,"$9,900.00 "
2129294,"PILLOW, NASAL SM MED LG MIRAGE SWIFT II",,$206.00 
2129301,STEM FEMORAL FITMORE B 7 HIP,C1776,"$7,380.00 "
2129302,STEM HUMERAL DELTA XTEND 1 STANDARD OD10 MM CEMENTED MONOBL,C1776,"$19,114.00 "
2129303,CUP ACETABULAR HUMERAL,C1776,"$7,504.00 "
2129304,COMPONENT FEMORAL VANGUARD COBALT CHROME INTERLOK L65 MM RI,C1776,"$7,920.00 "
2129305,STEM FEMORAL UNIVERSAL L115 MM OD18 MM FLUTED,C1776,"$5,254.00 "
2129313,"BALLOON CATHETER, 10MM-4CM/135CM POWERFLEX",C1725,$900.00 
2129315,STENT BILIARY PALMAZ XL L30CM OD10MM TRANSHEPTIC PREMOUNTED,C1876,"$5,832.00 "
2129316,"PLATE, FRACTURE 80MM LEFT",,"$3,046.00 "
2129317,SCREW BONE L44MM OD6.5MM CANCELLOUS LOCKING,,$382.00 
2129318,PROSTHESIS VOICE 22.5FR 15MM PROVOX VEGA,L8509,$886.00 
2129319,SCREW BONE L26MM OD3.8MM CANCELLOUS LOCKING,,$332.00 
2129320,SCREW BONE L29MM OD3.8MM CANCELLOUS LOCKING,,$332.00 
2129321,SCREW BONE L32MM OD3.8MM CANCELLOUS LOCKING,,$332.00 
2129322,SCREW BONE L35MM OD3.8MM CANCELLOUS LOCKING,,$332.00 
2129323,SCREW BONE L38MM OD3.8MM CANCELLOUS LOCKING,,$332.00 
2129324,SCREW BONE L41MM OD3.8MM CANCELLOUS LOCKING,,$332.00 
2129325,PROSTHESIS VOICE 22.5FR 10MM PROVOX VEGA,L8509,$821.00 
2129326,SCREW BONE L44MM OD3.8MM CANCELLOUS LOCKING,,$332.00 
2129327,SCREW BONE L32MM OD3.8MM CORTICAL COMPRESSION,,$332.00 
2129328,SCREW BONE L29 MM OD3.8MM CORTICAL LOCKING,,$332.00 
2129329,SCREW BONE SHAFT L28MM OD3.5MM CORTEX POLYAXIAL SYNAPSE,,"$3,035.00 "
2129330,SCREW BONE SHAFT L34MM OD3.5MM CORTEX POLYAXIAL SYNAPSE,,"$3,035.00 "
2129331,SCREW BONE L28MM OD4.0MM CANCELLOUS POLYAXIAL SYNAPSE,,"$3,035.00 "
2129332,SCREW BONE L32MM OD4.0MM CANCELLOUS POLYAXIAL SYNAPSE,,"$3,035.00 "
2129333,SCREW BONE L38MM OD4.0MM CANCELLOUS POLYAXIAL SYNAPSE,,"$3,035.00 "
2129334,SCREW BONE L34MM OD4.0MM CANCELLOUS SYNAPSE,,"$3,035.00 "
2129335,SCREW BONE SHAFT L20MM OD3.5MM SYNAPSE,,"$3,035.00 "
2129347,PLATE BONE TITANIUM L32 MM SPINAL 2 LEVEL SKYLINE,C1889,"$3,050.00 "
2129348,SCREW BONE L40MM OD6.5MM CANNULATED POLYAXIAL,,"$3,960.00 "
2129349,ROD SPINAL L50MM DUAL BALL SPHERX DBR II,,"$3,856.00 "
2129350,STENT GRAFT OD32MM ODSEC16MM L166MM BIFURCATED ENDURANT,,"$34,913.00 "
2129351,GRAFT ENDURANT 93MM 16MM 16MM CONTRALATERAL LIMB,,"$16,275.00 "
2129353,HEAD FEMORAL BIOLOX DELTA +3.5MM 32MM,C1776,"$2,700.00 "
2129354,SCREW BONE L55 MM OD6.7 MM CANNULATED LOW PROFILE,,$900.00 
2129355,SCREW BONE L70 MM OD6.7 MM CORTICAL LOW PROFILE,,"$1,134.00 "
2129356,"MIXER, BONE CEMENT KYPHON",,$288.00 
2129359,SCREW CORTICAL L50MM OD5MM FIXED ANGLE,,$792.00 
2129360,BODY CONE ZMR TIVANIUM POROUS B L45 MM OD46 MM FEMORAL HIP,C1776,"$12,156.00 "
2129361,COMPONENT ARTICULAR SZ 3 L66XW42XH10MM NEXGEN CR,C1776,"$2,880.00 "
2129363,"PILLOW, NASAL SWIFT 2 LG PAIR",A7033,$25.00 
2129364,IMPLANT BREAST NATRELLE P4.1CM OD13.8CM 420-440ML STYLE68LP,C1789,$900.00 
2129365,PIN EXTERNAL FIXATION BIGLIANI FLATOW 3.2MM,,$360.00 
2129366,SCREW BONE 35MM 3.5MM LOCKING STARDRIVE SELF-TAPPING,,$548.00 
2129369,COMPONENT FEMORAL PFC SIGMA SZ 4 RIGHT,C1776,"$19,234.00 "
2129370,STEM TIBIAL UNIVERSAL L115 MM OD12 MM FLUTED,C1776,"$5,254.00 "
2129371,COMPONENT FEMORAL  PFC SIGMA SZ 4 12MM RIGHT DISTAL,C1776,"$3,360.00 "
2129372,COMPONENT FEMORAL  PFC SIGMA SZ4 H4MM POSTERIOR,C1776,"$3,360.00 "
2129373,GRAFT STENT ENDURANT 166MM 28X13MM 20 FR BIFURCATED,,"$34,913.00 "
2129374,GRAFT STENT ENDURANT 124MM 16X13MM 14FR CONTRALAT LIMB,,"$17,413.00 "
2129375,GRAFT STENT ENDURANT 166M 25X16MM STENT BIFURCATED,,"$34,913.00 "
2129376,GRAFT STENT ENDURANT 93MM 16X13MM  CONTRALATERAL LIMB,,"$17,238.00 "
2129377,GRAFT STENT ENDURANT 82MM 13X13MM 15FR ILIAC EXTENSION,,"$16,275.00 "
2129378,ZENITH FLEX AAA ENDOVASCULAR BIFURCATED MAIN BODY GRAFT,C1874,"$29,533.00 "
2129379,ZEST FOAM AND SEAL KIT PETITE,A7032,$30.00 
2129380,ZEST FOAM AND SEAL KIT PLUS,A7032,$30.00 
2129381,"MASK, ZEST PLUS",A7034,$75.00 
2129383,"MASK, ZEST STANDARD",A7034,$75.00 
2129385,HEAD RADIAL OD28 MM RIGHT ELBOW,C1776,"$8,612.00 "
2129386,STEM RADIAL TITANIUM L9 MM OD6 MM,C1776,"$5,242.00 "
2129387,PLATE BONE LEFT LATERAL EPICONDYLAR 20 HOLE LOCKING,C1713,"$3,510.00 "
2129388,SCREW BONE TITANIUM L22 MM OD3.5 MM CORTICAL LOCKING,,$378.00 
2129391,"LENGTHENER, STANDARD EXTERNAL FIXATION MINIRAIL SYSTEM",,"$3,960.00 "
2129393,COVER CLAMP EXTERNAL FIXATION MINIRAIL SYSTEM,,$360.00 
2129394,TEMPLATES SET EXTERNAL FIXATION MINIRAIL SYSTEM GUIDE,,$810.00 
2129395,SCREW CORTICAL L50/18 MM OD3-2.5 MM  MINIRAIL,C1713,$360.00 
2129396,SCREW CORTICAL L60/25MM OD3-2.5 MM MINIRAIL,C1713,$360.00 
2129397,CATHETER BALLOON DILATATION MINI-TREK L8 MM OD1.5 MM OTW,C1725,$504.00 
2129398,CATHETER BALLOON DILATATION MINI-TREK L12 MM OD1.5 MM OTW,C1725,$504.00 
2129399,CATHETER BALLOON DILATATION MINI-TREK L15 MM OD1.5 MM OTW,C1725,$504.00 
2129400,CATHETER BALLOON DILATATION MINI-TREK L20 MM OD1.5 MM OTW,C1725,$504.00 
2129401,CATHETER BALLOON DILATATION MINI-TREK L8 MM OD2 MM OTW,C1725,$504.00 
2129402,CATHETER BALLOON DILATATION MINI-TREK L12 MM OD2 MM OTW,C1725,$396.00 
2129403,CATHETER BALLOON DILATATION MINI-TREK L15 MM OD2 MM OTW,C1725,$504.00 
2129404,CATHETER BALLOON DILATATION MINI-TREK L20 MM OD2 MM OTW,C1725,$504.00 
2129405,CATHETER BALLOON DILATATION TREK L8 MM OD2.5 MM OTW,C1725,$504.00 
2129406,CATHETER BALLOON DILATATION TREK L12 MM OD2.5 MM OTW,C1725,$504.00 
2129407,CATHETER BALLOON DILATATION TREK L15 MM OD2.5 MM OTW,C1725,$504.00 
2129408,CATHETER BALLOON DILATATION TREK L20 MM OD2.5 MM OTW,C1725,$504.00 
2129409,CATHETER BALLOON DILATATION TREK L8 MM OD3 MM OTW,C1725,$504.00 
2129410,CATHETER BALLOON DILATATION TREK L12 MM OD3 MM OTW,C1725,$504.00 
2129411,CATHETER BALLOON DILATATION TREK L15 MM OD3 MM OTW,C1725,$504.00 
2129412,CATHETER BALLOON DILATATION TREK L20 MM OD3 MM OTW,C1725,$504.00 
2129413,CATHETER BALLOON DILATATION TREK L8 MM OD3.5 MM OTW,C1725,$504.00 
2129414,CATHETER BALLOON DILATATION TREK L12 MM OD3.5 MM OTW,C1725,$504.00 
2129415,CATHETER BALLOON DILATATION TREK L15 MM OD3.5 MM OTW,C1725,$504.00 
2129416,CATHETER BALLOON DILATATION TREK L20 MM OD3.5 MM OTW,C1725,$504.00 
2129417,CATHETER BALLOON DILATATION TREK L08 MM OD4 MM OTW,C1725,$504.00 
2129418,CATHETER BALLOON DILATATION TREK L12 MM OD4 MM OTW,C1725,$504.00 
2129419,CATHETER BALLOON DILATATION TREK L15 MM OD4 MM OTW,C1725,$504.00 
2129420,CATHETER BALLOON DILATATION TREK L20 MM OD4 MM OTW,C1725,$504.00 
2129421,CATHETER BALLOON DILATATION TREK L12 MM OD4.5 MM OTW,C1725,$504.00 
2129422,CATHETER BALLOON DILATATION TREK L15 MM OD4.5 MM OTW,C1725,$504.00 
2129423,CATHETER BALLOON DILATATION TREK L12 MM OD5 MM OTW,C1725,$504.00 
2129424,CATHETER BALLOON DILATATION TREK L15 MM OD5 MM OTW,C1725,$504.00 
2129425,SCREW BONE CANNULATED BIODUR 1/2 THREAD L55 MM OD4MM,C1713,$670.00 
2129426,SCREW BONE CANNULATED BIODUR 1/2 THREAD L60 MM OD4 MM,C1713,$670.00 
2129427,SCREW BONE CANNULATED BIODUR FULL THREAD L60 MM OD3.5 MM,C1713,$638.00 
2129428,BODY CONE C L35 MM OD40 MM STANDARD OFFSET,C1776,"$12,156.00 "
2129429,PLATE BONE TITANIUM OLECRANON 13 HOLE LOCKING EXTENDED,,"$3,096.00 "
2129430,SCREW BONE L40 MM OD3.5 MM CORTICAL LOCKING,,$317.00 
2129431,NCB PERIPROSTHETIC DISTAL FEMUR PLATE RIGHT 12 HOLE L278 MM,,"$6,707.00 "
2129432,SCREW BONE NCB PROTASUL-64 L32 MM OD5 MM CORTICAL FEMORAL S,,$798.00 
2129433,SCREW BONE NCB PROTASUL-64 L34 MM OD5 MM ORTHOPEDIC SELF TA,,$798.00 
2129434,SCREW BONE L50 MM OD5 MM CANCELLOUS,,$678.00 
2129435,SCREW BONE NCB PROTASUL L60 MM CANCELLOUS,,$678.00 
2129436,SCREW BONE NCB PROTASUL L65 MM OD5 MM CORTICAL SELF TAPPING,,$798.00 
2129437,SCREW BONE NCB PROTASUL-64 L75 MM OD5 MM CORTICAL FEMORAL S,,$798.00 
2129438,SCREW BONE NCB PROTASUL-64 L65 MM L32 MM OD5 MM CANCELLOUS,,$798.00 
2129439,BIT DRILL NCB STAINLESS STEEL STANDARD L195 MM OD4.3 MM FEM,,$492.00 
2129440,SCREW BONE MOUNTAINEER TITANIUM L24 MM OD4 MM  FIXED ANGLE,,"$2,654.00 "
2129441,CATHETER ATHERECTOMY ROTALINK 2.15 MM BURR L135 CM,C1724,"$4,050.00 "
2129445,KIT DRILL PIN TRIM IT 2MM X 100MM,,$756.00 
2129446,"SYSTEM, IMPLANT DISTAL BICEPS REPAIR IMPLANT",,"$3,060.00 "
2129447,DEVICE FIXATION L120 MM OD4 MM CLAVICLE FRACTURE REPAIR,,"$10,530.00 "
2129448,"SCREW, BONE 2.7 MM X 24 MM SELF TAPPING CORTEX",,$260.00 
2129449,"GUIDEWIRE, J-TIP CLAVICLE",,$213.00 
2129450,"GUAGE, DEPTH",,$357.00 
2129451,K WIRE SINGLE DIAMOND POINT 1.6MM,,$137.00 
2129453,SCREW BONE L14 MM OD2.7 MM UNIVERSAL LOCKING SYSTEM,,$333.00 
2129454,SCREW BONE L16 MM OD2.7 MM UNIVERSALLOCKING SYSTEM,,$333.00 
2129456,SCREW BONE L28 MM OD2.7 MM UNIVERSAL LOCKING SYSTEM,,$333.00 
2129458,LINER ACETABULAR 15D 38MM GROUP E DYNASTY,C1776,"$2,718.00 "
2129459,HEAD FEMORAL 38MM DYNASTY,C1776,"$3,960.00 "
2129460,PLATE BONE 7 HOLE 1/3 TUBULAR LOCKING,,$720.00 
2129461,SCREW BONE  L12 MM OD3.5 MM CORTICAL SELF TAPPING  ULS,,$98.00 
2129462,SCREW BONE  L14 MM OD3.5 MM CORTICAL SELF TAPPING  ULS,,$72.00 
2129463,SCREW BONE  L16 MM OD3.5 MM CORTICAL SELF TAPPING  ULS,,$72.00 
2129464,SCREW BONE  L18 MM OD3.5 MM CORTICAL SELF TAPPING  ULS,,$72.00 
2129465,SCREW BONE  L44 MM OD3.5 MM LOCKING ULS,,$402.00 
2129466,SCREW BONE  L42 MM OD3.5 MM LOCKING ULS,,$402.00 
2129467,SCREW BONE  L46 MM OD3.5 MM LOCKING ULS,,$402.00 
2129469,"CATHETER, BALLOON DILATATION 1.50MM X 08MM RX MINI-TREK",C1725,$504.00 
2129470,"CATHETER, BALLOON DILATATION 1.50MM X 12MM RX MINI-TREK",C1725,$396.00 
2129471,"CATHETER, BALLOON DILATATION 1.50MM X 15MM RX MINI-TREK",C1725,$396.00 
2129472,"CATHETER, BALLOON DILATATION 1.50MM X 20MM RX MINI-TREK",C1725,$396.00 
2129473,"CATHETER, BALLOON DILATATION 2.0MM X 08MM RX MINI-TREK",C1725,$504.00 
2129474,"CATHETER, BALLOON DILATATION 2.0MM X 12MM RX MINI-TREK",C1725,$396.00 
2129475,"CATHETER, BALLOON DILATATION 2.0MM X 15MM RX MINI-TREK",C1725,$504.00 
2129476,"CATHETER, BALLOON DILATATION 2.0MM X 20MM RX MINI-TREK",C1725,$396.00 
2129477,"CATHETER, BALLOON DILATATION 2.25MM X 12MM RX TREK",C1725,$504.00 
2129478,"CATHETER, BALLOON DILATATION 2.25MM X 15MM RX TREK",C1725,$504.00 
2129479,"CATHETER, BALLOON DILATATION 2.50MM X 08MM RX TREK",C1725,$504.00 
2129480,"CATHETER, BALLOON DILATATION 2.50MM X 12MM RX TREK",C1725,$396.00 
2129481,"CATHETER, BALLOON DILATATION 2.50MM X 15MM RX TREK",C1725,$396.00 
2129482,"CATHETER, BALLOON DILATATION 2.50MM X 20MM RX TREK",C1725,$396.00 
2129483,"CATHETER, BALLOON DILATATION 2.75MM X 12MM RX TREK",C1725,$504.00 
2129484,"CATHETER, BALLOON DILATATION 2.75MM X 15MM RX TREK",C1725,$504.00 
2129485,"CATHETER, BALLOON DILATATION 3.0MM X 08MM RX TREK",C1725,$504.00 
2129486,"CATHETER, BALLOON DILATATION 3.0MM X 12MM RX TREK",C1725,$504.00 
2129487,"CATHETER, BALLOON DILATATION 3.0MM X 15MM RX TREK",C1725,$504.00 
