Supply Name,Calculated Charge
IMPLANT SPINAL ROD THORACOLUMBAR 5.5X80MM TITANIUM PREBENT SPHERX 7292080,$830.00
IMPLANT SPINAL ROD THORACOLUMBAR 5.5X85MM TITANIUM PREBENT SPHERX 7292085,$830.00
IMPLANT PLATE SPINE ANTERIOR CERVICAL 32MM TITANIUM LEVEL 1 NSTRL FIXED ANGLE GRADIENT GRADIENT PLUS 7450132,"$3,510.00"
IMPLANT PLATE SPINE ANTERIOR CERVICAL 36MM TITANIUM LEVEL 1 NSTRL FIXED ANGLE GRADIENT GRADIENT PLUS 7450136,"$3,510.00"
IMPLANT PLATE SPINE ANTERIOR CERVICAL 50MM TITANIUM LEVEL 2 NSTRL FIXED ANGLE GRADIENT GRADIENT PLUS 7450250,"$3,510.00"
IMPLANT PLATE SPINE ANTERIOR CERVICAL 52MM TITANIUM LEVEL 2 NSTRL FIXED ANGLE GRADIENT GRADIENT PLUS 7450252,"$3,510.00"
IMPLANT PLATE SPINE ANTERIOR CERVICAL 54MM TITANIUM LEVEL 2 NSTRL FIXED ANGLE GRADIENT GRADIENT PLUS 7450254,"$3,510.00"
IMPLANT PLATE SPINE ANTERIOR CERVICAL 68MM TITANIUM LEVEL 3 NSTRL FIXED ANGLE GRADIENT GRADIENT PLUS 7450368,"$3,900.00"
IMPLANT PLATE SPINE ANTERIOR CERVICAL 90MM TITANIUM LEVEL 4 NSTRL FIXED ANGLE GRADIENT GRADIENT PLUS 7450490,"$4,680.00"
IMPLANT SPINAL ROD LUMBAR 300MM TITANIUM PREBENT SPHERX 7216300,"$1,245.00"
IMPLANT SPINAL ROD LUMBAR 6.25X25MM TITANIUM PREBENT SPHERX 7217025,"$1,245.00"
IMPLANT SPINAL ROD LUMBAR 6.25X45MM TITANIUM PREBENT SPHERX 7217045,"$1,245.00"
IMPLANT SPINAL ROD LUMBAR 6.25X70MM TITANIUM PREBENT SPHERX 7217070,"$1,245.00"
IMPLANT SPINAL ROD LUMBAR 6.25X75MM TITANIUM PREBENT SPHERX 7217075,"$1,245.00"
IMPLANT SPINAL ROD LUMBAR 6.25X80MM TITANIUM PREBENT SPHERX 7217080,"$1,245.00"
SCREW SPINAL PEDICLE 7.5X30 POLYAXIAL SOLID TITANIUM SPHERX 7217530,"$2,769.00"
SCREW SPINAL PEDICLE 6X45 POLYAXIAL SOLID TITANIUM OPTIMA SPA6045,"$2,574.00"
SCREW SPINAL PEDICLE 6X50 POLYAXIAL SOLID TITANIUM OPTIMA SPA6050,"$2,574.00"
SCREW SPINAL ANTERIOR CERVICAL 4.2X12 VARIABLE ANGLE SOLID SELF TAPPING TITANIUM TRINICA 0700117001,$498.00
SCREW SPINAL ANTERIOR CERVICAL 4.2X14 VARIABLE ANGLE SOLID SELF TAPPING TITANIUM TRINICA 0700117002,$498.00
SCREW SPINAL ANTERIOR CERVICAL 4.2X16 VARIABLE ANGLE SOLID SELF TAPPING TITANIUM TRINICA 0700117003,$498.00
SCREW SPINAL L10 MM OD4.2 MM SELF TAPPING VARIABLE ANGLE ANTERIOR CERVICAL TRINICA TITANIUM GREEN,$498.00
SCREW SPINAL L11 MM OD4.2 MM SELF TAPPING VARIABLE ANGLE ANTERIOR CERVICAL TRINICA TITANIUM GREEN,$498.00
SCREW SPINAL L13 MM OD4.2 MM SELF TAPPING VARIABLE ANGLE ANTERIOR CERVICAL TRINICA TITANIUM GREEN,$498.00
SCREW SPINAL ANTERIOR CERVICAL 4.6X12 VARIABLE ANGLE SOLID SELF TAPPING TITANIUM TRINICA 0700118001,$498.00
SCREW SPINAL ANTERIOR CERVICAL 4.6X14 VARIABLE ANGLE SOLID SELF TAPPING TITANIUM TRINICA 0700118002,$498.00
IMPLANT SPINAL CAGE 8X18X45MM LUMBAR PEEK XLIF NON STERILE COROENT 6980845,"$13,320.00"
IMPLANT SPINAL CAGE 8X18X50MM LUMBAR PEEK XLIF NON STERILE COROENT 6980850,"$13,320.00"
IMPLANT SPINAL CAGE 10X18X40MM LUMBAR PEEK XLIF NON STERILE COROENT 6981040,"$13,320.00"
IMPLANT SPINAL CAGE 10X18X45MM LUMBAR PEEK XLIF NON STERILE COROENT 6981045,"$13,320.00"
IMPLANT SPINAL CAGE 10X18X50MM LUMBAR PEEK XLIF NON STERILE COROENT 6981050,"$13,320.00"
IMPLANT SPINAL CAGE 10X18X55MM LUMBAR PEEK XLIF NON STERILE COROENT 6981055,"$13,320.00"
IMPLANT SPINAL CAGE 12X18X40MM LUMBAR PEEK TLIF NON STERILE COROENT 6981240,"$13,320.00"
IMPLANT SPINAL CAGE 12X18X45MM LUMBAR PEEK TLIF NON STERILE COROENT 6981245,"$13,320.00"
IMPLANT SPINAL CAGE 12X18X50MM LUMBAR PEEK TLIF NON STERILE COROENT 6981250,"$13,320.00"
IMPLANT SPINAL CAGE 12X18X55MM LUMBAR PEEK TLIF NON STERILE COROENT 6981255,"$13,320.00"
SCREW SPINAL L10 MM OD4 MM STANDARD SELF TAPPING,$498.00
IMPLANT SPINAL LUMBAR STAINLESS STEEL 6.35X75MM STRAIGHT EXPEDIUM 189662075,$830.00
IMPLANT SPINAL LUMBAR STAINLESS STEEL 6.35X85MM STRAIGHT EXPEDIUM 189662085,$830.00
IMPLANT SPINAL LUMBAR STAINLESS STEEL 6.35X95MM STRAIGHT EXPEDIUM 189662095,$830.00
IMPLANT SPINAL ROD LUMBAR 6.35X120MM STAINLESS STEEL STRAIGHT EXPEDIUM 189662120,$830.00
IMPLANT SPINAL ROD LUMBAR 6.35X300MM STAINLESS STEEL STRAIGHT EXPEDIUM 189662300,"$1,660.00"
IMPLANT SPINAL ROD LUMBAR 6.35X600MM STAINLESS STEEL STRAIGHT EXPEDIUM 189662600,"$1,660.00"
IMPLANT SPINAL ROD LUMBAR 5.5-6.35X450MM STAINLESS STEEL STRAIGHT EXPEDIUM 189670450,"$1,660.00"
IMPLANT SPINAL ROD LUMBAR 5.5-6.35X600MM STAINLESS STEEL STRAIGHT EXPEDIUM 189670600,"$1,660.00"
IMPLANT SPINAL ROD LUMBAR 6.35X35MM STAINLESS STEEL EXPEDIUM 189672035,$830.00
IMPLANT SPINAL ROD LUMBAR 6.35X45MM STAINLESS STEEL EXPEDIUM 189672045,$830.00
IMPLANT SPINAL ROD LUMBAR 6.35X65MM STAINLESS STEEL EXPEDIUM 189672065,$830.00
IMPLANT SPINAL ROD LUMBAR 6.35X75MM STAINLESS STEEL EXPEDIUM 189672075,$830.00
IMPLANT SPINAL ROD LUMBAR 6.35X85MM STAINLESS STEEL EXPEDIUM 189672085,$830.00
IMPLANT SPINAL ROD LUMBAR 6.35X95MM STAINLESS STEEL EXPEDIUM 189672095,$830.00
IMPLANT SPINAL ROD LUMBAR 6.35X300MM STAINLESS STEEL EXPEDIUM 189680300,"$1,660.00"
IMPLANT SPINAL ROD LUMBAR 6.35X450MM STAINLESS STEEL EXPEDIUM 189680450,"$1,660.00"
SCREW SPINAL L20 MM OD4.35 MM UNIPLANAR EXPEDIUM STAINLESS STEEL F/6.35MM ROD,"$2,437.50"
CATHETER CTRL VEN L30CM OD1.9FR DL,$313.41
SCREW SPINAL L14 MM OD4 MM SELF TAPPING STANDARD,$498.00
IMPLANT SPINAL ROD PRE LORDOTIC 6.35X75MM TITANIUM PREBENT EXPEDIUM 179972075,$830.00
IMPLANT SPINAL ROD PRE LORDOTIC 6.35X95MM TITANIUM PREBENT EXPEDIUM 179972095,$830.00
SCREW SPINAL L25 MM OD4.35 MM UNIPLANAR EXPEDIUM TITANIUM F/6.35MM ROD,"$2,437.50"
SCREW SPINAL L35 MM OD4.35 MM UNIPLANAR EXPEDIUM TITANIUM F/6.35MM ROD,"$2,437.50"
SCREW SPINAL L40 MM OD4.35 MM UNIPLANAR EXPEDIUM TITANIUM F/6.35MM ROD,"$2,437.50"
SCREW SPINAL PEDICLE 5X25 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988525,"$2,437.50"
SCREW SPINAL PEDICLE 5X30 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988530,"$2,437.50"
SCREW SPINAL PEDICLE 10X35 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612035,"$2,437.50"
SCREW SPINAL PEDICLE 10X40 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612040,"$2,437.50"
SCREW SPINAL PEDICLE 10X45 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612045,"$2,437.50"
SCREW SPINAL PEDICLE 10X50 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612050,"$2,437.50"
SCREW SPINAL PEDICLE 10X60 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612060,"$2,437.50"
SCREW SPINAL PEDICLE 10X65 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612065,"$2,437.50"
SCREW SPINAL PEDICLE 5X35 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988535,"$2,437.50"
SCREW SPINAL PEDICLE 5X40 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988540,"$2,437.50"
SCREW SPINAL PEDICLE 4X6 SOLID SELF TAPPING TITANIUM ASSURE 110806,$622.50
SCREW BONE 4X8MM STAINLESS STEEL STANDARD FULL THREAD SPINE ASSURE 110808,$622.50
SCREW SPINAL PEDICLE 5X45 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988545,"$2,437.50"
SCREW SPINAL L25 MM OD6 MM UNIPLANAR EXPEDIUM TITANIUM F/6.35MM ROD,"$2,437.50"
SCREW SPINAL L30 MM OD6 MM UNIPLANAR EXPEDIUM TITANIUM F/6.35MM ROD,"$2,437.50"
SCREW SPINAL PEDICLE 6X35 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988635,"$2,437.50"
SCREW SPINAL PEDICLE 6X40 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988640,"$2,437.50"
SCREW SPINAL PEDICLE 6X45 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988645,"$2,437.50"
SCREW SPINAL PEDICLE 6X50 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988650,"$2,437.50"
SCREW SPINAL PEDICLE 6X55 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988655,"$2,437.50"
SCREW SPINAL L30 MM OD7 MM UNIPLANAR EXPEDIUM TITANIUM F/6.35MM ROD,"$2,437.50"
SCREW SPINAL PEDICLE 7X35 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988735,"$2,437.50"
SCREW SPINAL PEDICLE 7X40 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988740,"$2,437.50"
SCREW SPINAL PEDICLE 7X50 POLYAXIAL SOLID TITANIUM EXPEDIUM 179988750,"$2,437.50"
SCREW SPINAL L55 MM OD7 MM UNIPLANAR EXPEDIUM TITANIUM F/6.35MM ROD,"$2,437.50"
SCREW SPINAL PEDICLE SOLID 6.35MM STAINLESS STEEL NON STERILE EXPEDIUM 189602000,$311.25
SCREW SPINAL PEDICLE 8X90 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912890,"$2,437.50"
SCREW SPINAL PEDICLE 9X110 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912901,"$2,437.50"
SCREW SPINAL PEDICLE 9X120 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912902,"$2,437.50"
SCREW SPINAL PEDICLE 9X130 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912903,"$2,437.50"
SCREW SPINAL PEDICLE 9X30 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912930,"$2,437.50"
SCREW SPINAL PEDICLE 9X40 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912940,"$2,437.50"
SCREW SPINAL PEDICLE 9X45 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912945,"$2,437.50"
SCREW SPINAL PEDICLE 9X50 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912950,"$2,437.50"
SCREW SPINAL PEDICLE 9X55 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912955,"$2,437.50"
SCREW SPINAL PEDICLE 9X60 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912960,"$2,437.50"
SCREW SPINAL PEDICLE 9X65 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912965,"$2,437.50"
SCREW SPINAL PEDICLE 9X70 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912970,"$2,437.50"
SCREW SPINAL PEDICLE 9X75 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912975,"$2,437.50"
SCREW SPINAL PEDICLE 9X80 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912980,"$2,437.50"
SCREW SPINAL PEDICLE 9X85 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912985,"$2,437.50"
SCREW SPINAL PEDICLE 9X90 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912990,"$2,437.50"
SCREW SPINAL PEDICLE 9X95 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912995,"$2,574.00"
SCREW SPINAL PEDICLE 9X100 POLYAXIAL SOLID TITANIUM EXPEDIUM 179912999,"$2,437.50"
SCREW SPINAL PEDICLE 4.35X25 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932425,"$3,022.50"
SCREW SPINAL PEDICLE 4.35X30 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932430,"$3,022.50"
SCREW SPINAL PEDICLE 4.35X35 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932435,"$3,022.50"
SCREW SPINAL PEDICLE 4.35X40 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932440,"$3,022.50"
SCREW SPINAL PEDICLE 4.35X45 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932445,"$3,022.50"
SCREW SPINAL PEDICLE 5X25 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932525,"$3,022.50"
SCREW SPINAL PEDICLE 5X30 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932530,"$3,022.50"
SCREW SPINAL PEDICLE 5X35 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932535,"$3,022.50"
SCREW SPINAL PEDICLE 5X45 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932545,"$3,022.50"
SCREW SPINAL PEDICLE 5X50 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932550,"$3,022.50"
CONNECTOR ROD L29-33 MM T ADJUSTABLE POSTERIOR THORACOLUMBAR REVERE,"$2,593.50"
IMPLANT SPINAL CONNECTOR TRANSVERSE 38-51MM TITANIUM THORACOLUMBAR ADJUSTABLE REVERE 124914,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 48-61MM TITANIUM REVERE TRANSVERSE 124915,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 58-71MM TITANIUM REVERE TRANSVERSE 124916,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 68-81MM TITANIUM REVERE TRANSVERSE 124917,"$2,593.50"
SCREW SPINAL PEDICLE 6X30 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932630,"$3,022.50"
SCREW SPINAL PEDICLE 6X35 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932635,"$3,022.50"
SCREW SPINAL PEDICLE 6X40 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932640,"$3,022.50"
SCREW SPINAL PEDICLE 6X45 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932645,"$3,022.50"
SCREW SPINAL PEDICLE 6X50 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932650,"$3,022.50"
SCREW SPINAL PEDICLE 6X55 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932655,"$3,022.50"
SCREW SPINAL PEDICLE 7X35 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932735,"$3,022.50"
SCREW SPINAL PEDICLE 7X45 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932745,"$3,022.50"
SCREW SPINAL PEDICLE 7X50 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932750,"$3,022.50"
SCREW SPINAL PEDICLE 7X55 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932755,"$3,022.50"
SCREW SPINAL PEDICLE 10X80 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612080,"$2,437.50"
SCREW SPINAL PEDICLE 10X85 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612085,"$2,437.50"
SCREW SPINAL PEDICLE 10X90 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612090,"$2,437.50"
SCREW SPINAL PEDICLE 10X100M POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612099,"$2,437.50"
SCREW SPINAL PEDICLE 8X35 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932835,"$3,022.50"
SCREW SPINAL PEDICLE 8X40 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932840,"$3,022.50"
SCREW SPINAL PEDICLE 8X45 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932845,"$3,022.50"
SCREW SPINAL PEDICLE 8X50 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932850,"$3,022.50"
SCREW SPINAL PEDICLE 8X55 POLYAXIAL SOLID TITANIUM EXPEDIUM 179932855,"$3,022.50"
HOOK PEDICLE NARROW BLADE 11X6.35MM TITANIUM CLOSED FOR 6.35MM ROD NSTRL EXPEDIUM 179942031,"$1,348.75"
HOOK PEDICLE NARROW BLADE 5X6.35MM TITANIUM CLOSED FOR 6.35MM ROD NSTRL EXPEDIUM 179942035,"$1,348.75"
HOOK PEDICLE NARROW BLADE 8X6.35MM TITANIUM CLOSED FOR 6.35MM ROD NSTRL EXPEDIUM 179942038,"$1,348.75"
HOOK PEDICLE WIDE BLADE 11X6.35MM TITANIUM CLOSED FOR 6.35MM ROD NSTRL EXPEDIUM 179942041,"$1,348.75"
HOOK LAMINAR WIDE BLADE 6.35X5MM TITANIUM CLOSED FOR 6.35MM ROD NSTRL EXPEDIUM 179942045,"$1,348.75"
HOOK PEDICLE WIDE BLADE 8MM TITANIUM CLOSED FOR 6.35MM ROD NSTRL EXPEDIUM 179942048,"$1,348.75"
HOOK PEDICLE WIDE BLADE 9.5X6.35MM TITANIUM CLOSED FOR 6.35MM ROD NSTRL EXPEDIUM 179942049,"$1,348.75"
HOOK PEDICLE NARROW BLADE 6.35MM TITANIUM FOR 6.35MM ROD NSTRL SERRAT EXPEDIUM 179952000,"$1,348.75"
HOOK PEDICLE DOWN SIZED 6.35MM TITANIUM FOR 6.35MM ROD NSTRL SERRAT EXPEDIUM 179952001,"$1,348.75"
SCREW SPINAL PEDICLE 11X80 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612180,"$2,437.50"
SCREW SPINAL PEDICLE 11X85 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612185,"$2,437.50"
SCREW SPINAL PEDICLE 11X90 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612190,"$2,437.50"
SCREW SPINAL PEDICLE 11X95 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612195,"$2,437.50"
SCREW SPINAL PEDICLE 11X100 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612199,"$2,437.50"
SCREW SPINAL PEDICLE 4.35X20 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612420,"$2,437.50"
SCREW SPINAL PEDICLE 4.35X25 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612425,"$2,437.50"
SCREW SPINAL PEDICLE 4.35X30 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612430,"$2,437.50"
SCREW SPINAL PEDICLE 4.35X35 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612435,"$2,437.50"
SCREW SPINAL PEDICLE 4.35X40 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612440,"$2,437.50"
SCREW SPINAL PEDICLE 4.35X45 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612445,"$2,437.50"
SCREW SPINAL PEDICLE 4.35X50 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612450,"$2,437.50"
IMPLANT SPINAL CAGE 26X10X8MM LUMBAR PEEK TLIF NON STERILE SUSTAIN 304008,"$10,545.00"
SPACER IMPLANT SPINAL 10X26X9MM LUMBAR PEEK TLIF NON STERILE SUSTAIN 304009,"$10,545.00"
IMPLANT SPINAL CAGE 11X26X10MM LUMBAR PEEK TLIF NON STERILE SUSTAIN 304011,"$10,545.00"
SPACER IMPLANT SPINAL 26X10X12MM LUMBAR PEEK TLIF NON STERILE SUSTAIN 304012,"$10,545.00"
SPACER IMPLANT SPINAL 10X26X13MM LUMBAR PEEK TLIF NON STERILE SUSTAIN 304013,"$10,545.00"
SPACER IMPLANT SPINAL 10X26X17MM LUMBAR PEEK TLIF NON STERILE SUSTAIN 304017,"$10,545.00"
SCREW SPINAL PEDICLE 5X30 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612530,"$2,437.50"
SCREW SPINAL PEDICLE 5X35 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612535,"$2,437.50"
SCREW SPINAL PEDICLE 5X40 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612540,"$2,437.50"
SCREW SPINAL PEDICLE 5X50 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612550,"$2,437.50"
SCREW SPINAL PEDICLE 5X55 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612555,"$2,437.50"
HOOK LAMINAR NARROW BLADE 10MM TITANIUM FOR 6.35MM ROD NSTRL RED DIST LAMINAR 179952010,"$1,348.75"
HOOK LAMINAR NARROW BLADE 6.5MM TITANIUM FOR 6.35MM ROD NSTRL RED DIST LAMINAR 179952016,"$1,348.75"
HOOK LAMINAR NARROW BLADE 8MM TITANIUM FOR 6.35MM ROD NSTRL RED DIST LAMINAR 179952018,"$1,348.75"
HOOK LAMINAR ANGLED BLADE 6.35X12MM TITANIUM FOR 6.35MM ROD NSTRL EXPEDIUM 179952020,"$1,348.75"
HOOK LAMINAR ANGLED BLADE 6.5MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952026,"$1,348.75"
HOOK LAMINAR ANGLED BLADE 8MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952028,"$1,348.75"
HOOK LAMINAR ANGLED BLADE 10MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952029,"$1,348.75"
HOOK LAMINAR NARROW BLADE 10MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952030,"$1,348.75"
HOOK LAMINAR NARROW BLADE 6.35X5MM TITANIUM FOR 6.35MM ROD NSTRL EXPEDIUM 179952035,"$1,348.75"
HOOK LAMINAR NARROW BLADE 6.5MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952036,"$1,348.75"
HOOK LAMINAR NARROW BLADE 8MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952038,"$1,348.75"
HOOK LAMINAR WIDE BLADE 10MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952040,"$1,348.75"
HOOK LAMINAR WIDE BLADE 6.35X12MM TITANIUM FOR 6.35MM ROD NSTRL EXPEDIUM 179952042,"$1,348.75"
HOOK LAMINAR WIDE BLADE 6.5MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952046,"$1,348.75"
HOOK LAMINAR WIDE BLADE 8MM TITANIUM FOR 6.35MM ROD NSTRL LAMINAR 179952048,"$1,348.75"
IMPLANT SPINAL CONNECTOR TRANSVERSE 78-91MM TITANIUM THORACOLUMBAR ADJUSTABLE REVERE 124918,"$2,593.50"
IMPLANT SPINAL ROD PRE LORDOTIC 6.35X120MM TITANIUM STRAIGHT PRE CUT EXPEDIUM 179963120,$830.00
IMPLANT SPINAL ROD PRE LORDOTIC 6.35X30MM TITANIUM STRAIGHT PRE CUT EXPEDIUM 179963300,"$1,660.00"
IMPLANT SPINAL ROD PRE LORDOTIC 6.35X450MM TITANIUM STRAIGHT PRE CUT EXPEDIUM 179963450,"$1,660.00"
IMPLANT SPINAL ROD PRE LORDOTIC 6.35X600MM TITANIUM STRAIGHT PRE CUT EXPEDIUM 179963600,"$1,660.00"
IMPLANT SPINAL ROD THORACOLUMBAR 6.35X35MM TITANIUM STRAIGHT EXPEDIUM 179970035,$830.00
IMPLANT SPINAL ROD THORACOLUMBAR 6.35X40MM TITANIUM STRAIGHT EXPEDIUM 179970040,$830.00
IMPLANT SPINAL ROD THORACOLUMBAR 6.35X45MM TITANIUM STRAIGHT EXPEDIUM 179970045,$830.00
SCREW SPINAL PEDICLE 6.35X50 POLYAXIAL SOLID TITANIUM EXPEDIUM 179970050,$830.00
IMPLANT SPINAL ROD THORACOLUMBAR 55X6MM TITANIUM STRAIGHT EXPEDIUM 179970055,$830.00
IMPLANT SPINAL ROD THORACOLUMBAR 6.35X60MM TITANIUM STRAIGHT EXPEDIUM 179970060,$830.00
IMPLANT SPINAL ROD THORACOLUMBAR 65X6.35MM TITANIUM STRAIGHT EXPEDIUM 179970065,$830.00
IMPLANT SPINAL ROD THORACOLUMBAR 6.35X70MM TITANIUM STRAIGHT EXPEDIUM 179970070,$830.00
SCREW SPINAL PEDICLE 6X25 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612625,"$2,437.50"
SCREW SPINAL PEDICLE 6X30 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612630,"$2,437.50"
SCREW SPINAL PEDICLE 6X35 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612635,"$2,437.50"
SCREW SPINAL PEDICLE 6X40 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612640,"$2,437.50"
SCREW SPINAL PEDICLE 6X45 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612645,"$2,437.50"
SCREW SPINAL PEDICLE 6X50 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612650,"$2,437.50"
SCREW SPINAL PEDICLE 6X55 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612655,"$2,437.50"
SCREW SPINAL PEDICLE 6X60 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612660,"$2,437.50"
SCREW SPINAL PEDICLE 6X65 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612665,"$2,437.50"
SCREW SPINAL PEDICLE 6X70 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612670,"$2,437.50"
SCREW SPINAL PEDICLE 6X75 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612675,"$2,437.50"
SCREW SPINAL PEDICLE 6X80 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612680,"$2,437.50"
SCREW SPINAL PEDICLE 7X35 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612735,"$2,437.50"
SCREW SPINAL PEDICLE 7X40 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612740,"$2,437.50"
SCREW SPINAL PEDICLE 7X45 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612745,"$2,437.50"
SCREW SPINAL PEDICLE 7X55 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612755,"$2,437.50"
SCREW SPINAL PEDICLE 7X60 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612760,"$2,437.50"
SCREW SPINAL PEDICLE 7X65 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612765,"$2,437.50"
SCREW SPINAL PEDICLE 7X70 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612770,"$2,437.50"
SCREW SPINAL PEDICLE 7X80 POLYAXIAL SOLID STAINLESS STEEL EXPEDIUM 189612780,"$2,437.50"
