Roper St. Francis Healthcare Hospital Facilities,,
2019 Standard Charges,,
,,
ITEM,DESCRIPTION,CHARGE
78182,CATH THROMB/EMBOL GRP 2,"$1,076.00 "
78184,CATH THROMB/EMBOL GRP 3,"$2,044.00 "
78186,CATH THROMB/EMBOL GRP 4,"$3,600.00 "
78188,CATH THROMB/EMBOL GRP 5,"$5,068.00 "
78162,CATH THROMBECT/EMBOLECTY GRP 2,$222.00 
78164,CATH THROMBECT/EMBOLECTY GRP 3,$555.00 
78176,CATH THROMECT/EMBOLECTY GRP 1,$84.00 
72774,CATH TRANS ANGIO NON LASER,$258.50 
77812,CATH VALVE DELIVERY SYSTEM,"$1,030.00 "
72518,"CATH, DIALYSIS/PERITONEAL, ST",$597.00 
70539,"CATH, SUPRAPUBIC/CYSTOSCOPIC",$58.00 
72190,"CATH, TRANSLUMINAL ANGIO LEV 1",$98.00 
72192,"CATH, TRANSLUMINAL ANGIO LEV 2",$354.00 
72194,"CATH, TRANSLUMINAL ANGIO LEV 3",$485.00 
72196,"CATH, TRANSLUMINAL ANGIO LEV 4",$728.00 
72198,"CATH, TRANSLUMINAL ANGIO LEV 5","$3,299.00 "
12046,CATHERIZE FOR URINE SPECIMEN,$65.00 
77044,CATHETER LIFEPORT SINGLE LUMEN,"$1,000.00 "
23050,CBC (COMPLETE BLOOD COUNT) BK,$104.00 
23018,CBC AND AUTO DIFF WBC COUNT BK,$207.00 
21390,CEA,$385.00 
29826,"CEA, FLUID",$59.00 
6354,ceFAZolin 1 g ADDvantage vial,$38.20 
15,ceFAZolin 1 g Flip Top vial,$38.20 
4575,ceFAZolin 1 g/50 mL Sol,$38.20 
5587,ceFAZolin 10 g Inj,$41.20 
5951,ceFAZolin 2 g/100 ml NS Premix 100 mL,$38.20 
5822,ceFAZolin 2 g/50 mL IV Soln 50 mL duplex,$38.20 
5927,ceFAZolin 3 g/150 ml NS Premix 150 mL,$38.20 
6300,ceFAZolin 3g/100mL NS pre-made,$38.20 
3070,ceFAZolin 500 mg Inj,$38.20 
6240,cefdinir 250 mg/5 mL Pow,$2.65 
6239,cefdinir 300 mg Cap,$5.05 
6274,cefditoren 200 mg Tab,$33.10 
6275,cefditoren 400 mg Tab,$62.65 
6289,cefepime 1 g ADD-vantage,$38.20 
3101,cefepime 1 g Flip Top vial,$38.20 
6291,cefepime 1 g/50 mL Duplex,$56.10 
6295,cefepime 1 g/50 mL Frozen PREMIX,$191.60 
6290,cefepime 2 g ADD-vantage,$44.60 
3100,cefepime 2 g Flip Top vial,$51.15 
6296,cefepime 2 g/100 mL Frozen PREMIX,$307.15 
6292,cefepime 2 g/50 mL Duplex,$84.65 
6276,cefixime 200 mg Tab,$258.05 
6277,cefixime 400 mg Cap UD,$152.40 
2302,cefotaxime 1 g Inj,$38.20 
3438,cefotaxime 500 mg Inj,$38.20 
2776,cefoTEtan 1 g Inj,$38.20 
2777,cefoTEtan 2 g Inj,$38.20 
3026,cefOXitin 1 g Inj,$38.20 
4852,cefOXitin 1 g/50 mL Sol,$75.25 
3027,cefOXitin 2 g Inj,$42.00 
4854,cefOXitin 2 g/50 mL Sol,$138.20 
572,cefpodoxime 100 mg Tab,$22.05 
1636,cefpodoxime 100 mg/5 mL Oral Liquid 50 mL,$27.70 
5789,ceftaroline 600 mg IV Inj,$613.20 
3045,cefTAZidime 1 g Inj,$38.20 
3046,cefTAZidime 2 g Inj,$75.65 
4186,cefTAZidime 500 mg Inj,$38.20 
6279,ceftibuten 180 mg/5 mL Pow,$254.00 
6278,ceftibuten 400 mg Cap,$180.65 
6257,ceftolozane-tazobactam 1 g-0.5 g Pow,$552.90 
2782,cefTRIAXone 1 g ADDvantage vial,$38.20 
2987,cefTRIAXone 1 g Flip Top vial,$38.20 
4778,cefTRIAXone 1 g/50 mL Duplex,$74.15 
3450,cefTRIAXone 1 g/50 mL Frozen PREMIX,$310.15 
2785,cefTRIAXone 2 g ADDvantage vial,$38.20 
2988,cefTRIAXone 2 g Flip Top vial,$38.20 
4777,cefTRIAXone 2 g/50 mL Duplex,$88.00 
3451,cefTRIAXone 2 g/50 mL Frozen PREMIX,$543.05 
2783,cefTRIAXone 250 mg Flip Top vial,$38.20 
2784,cefTRIAXone 500 mg Flip Top vial,$38.20 
6306,cefuroxime 1.5 g add-vantage twistvial,$68.40 
2994,cefuroxime 1.5 g Inj,$38.20 
5773,cefuroxime 1.5 g/50 mL-5% Sol,$58.75 
1637,cefuroxime 125 mg/5 mL Oral Liquid 100 mL,$33.90 
574,cefuroxime 250 mg Tab,$11.25 
3458,cefuroxime 250 mg/5 mL Oral Liquid 50 mL,$50.90 
2305,cefuroxime 750 mg Inj,$38.20 
3311,celecoxib 100 mg Cap,$4.60 
5702,celecoxib 400 mg Cap,$9.00 
23279,"CELIAC HLA, ONE ALLELE ZB1MH",$173.00 
23277,"CELIAC HLA, ONE ANTIGEN ZB1MH",$147.00 
20104,CELL BLOCK (LVL 4 EXAM),$213.00 
23020,CELL COUNT BODY FLUID W/DIFF BK,$294.00 
23172,CELL COUNT CSF W/DIFF BK,$294.00 
14634,CELLUTOME EPIDERMAL HARVESTING,"$2,011.00 "
79660,CEMENT BONE W/BARIUM,$342.00 
77069,CEMENT BONE W/GENTAMYCIN,$589.00 
77058,CEMENT HALF DOSE,$129.00 
77068,CEMENT WHOLE DOSE,$201.00 
144,cephalexin 250 mg Cap,$2.65 
1639,cephalexin 250 mg/5 mL Oral Liquid 100 mL,$4.05 
1640,cephalexin 250 mg/5 mL Oral Liquid 200 mL,$2.65 
2619,CEPHALEXIN 500 mg 2 capsules EMERGISCRIPT,$2.65 
145,cephalexin 500 mg Cap,$2.65 
14924,CERCLAGE PROCEDURE,"$3,419.00 "
5962,certolizumab 200 mg Subcut Kit,"$4,540.50 "
28096,CERULOPLASMIN.,$76.00 
55052,CERVICAL FACET NEUROLYSIS,"$4,076.00 "
14832,CESAREAN SECTION DELIVERY,"$16,072.00 "
4225,cetirizine 1 mg/mL Oral Syrup 120 mL,$2.65 
578,cetirizine 10 mg Tab,$2.65 
4437,cetirizine-PSE 5 mg-120 mg ER Tab,$3.50 
5813,cetuximab 2 mg/mL IV Soln 100 mL,"$5,014.75 "
4650,cetuximab 2 mg/mL IV Soln 50 mL,"$2,507.40 "
3461,cetylpyridinium chloride 0.05 % Mouthwash 360 mL,$1.80 
28178,CH 50 (COMPLEMENT) TTL HEMOLYTIC,$729.00 
4761,charcoal 25 g Oral Granule for Recon,$13.30 
3042,charcoal 25 g Oral Susp 120 mL,$11.95 
172,charcoal 260 mg Cap,$0.15 
1641,charcoal-sorbitol 25 g Oral Susp 120 mL,$12.55 
3465,charcoal-sorbitol 50 g Oral Susp 240 mL,$17.80 
14018,CHEMICAL CAUTERIZATION,$254.00 
22060,CHEMILUMINESCENT ASSAY,$173.00 
13846,CHEMO INF VIA INTRATHECAL SPINE,$658.00 
13796,CHEMO INJ VIA SQ RESERVOIR,$173.00 
13788,CHEMO IV INFUSE GT 8 HRS PROLONG,"$2,953.00 "
13786,CHEMO IV INFUSION EA ADD HR,$284.00 
13784,CHEMO IV INFUSION INTL HR,$658.00 
13844,CHEMO IV INFUSION SEQ UP TO 1 HR,$284.00 
13830,CHEMO IV PUSH EA ADDL DRUG,$325.00 
13688,CHEMO IV PUSH INITIAL DRUG,$336.00 
13848,CHEMO PERITONEAL CAVITY-PORT/CATH,"$1,246.00 "
13798,CHEMO SQ/IM HORMONAL,$199.00 
13644,CHEMO SQ/IM NON-HORMONAL,$199.00 
46004,CHEST PHYSIOTHERAPY SUBSEQ,$81.00 
25296,CHLAMYDIA AMPLIFIED PROBE,$209.00 
28152,CHLAMYDIA PNEUM IGA AB - P,$188.00 
28154,CHLAMYDIA PNEUM IGG AB - P,$188.00 
28156,CHLAMYDIA PNEUM IGM AB - P,$188.00 
21874,CHLAMYDIA PNEUMONIAE,$84.00 
579,chlorambucil 2 mg Tab,$103.10 
2786,chloramphenicol 1000 mg Inj,$190.50 
174,chlordiazePOXIDE 10 mg Cap,$4.80 
175,chlordiazePOXIDE 25 mg Cap,$4.80 
173,chlordiazePOXIDE 5 mg Cap,$4.80 
285,chlordiazePOXIDE-clidinium 5 mg-2.5 mg Cap,$10.05 
4332,chlorhexidine 0.12% Mucous Membrane Liquid,$2.65 
21076,CHLORIDE BLOOD BK,$97.00 
21786,CHLORIDE BODY FLUID,$132.00 
21524,CHLORIDE CSF,$123.00 
21526,CHLORIDE STOOL,$143.00 
21528,CHLORIDE URINE 24 HR,$168.00 
21078,CHLORIDE URINE RANDOM,$169.00 
26182,"CHLORIDE, URINE - REF LAB",$22.00 
6082,chlorophyllin 3 mg Tab,$2.65 
2373,chloroprocaine 1% Inj Soln 30 mL,$87.45 
2374,chloroprocaine 2% PF Inj Soln 20 mL,$54.80 
2375,chloroprocaine 3% PF Inj Soln 20 mL,$84.90 
582,chloroquine 500 mg Tab,$34.40 
1512,chlorothiazide 0.5 g IV Inj,$453.05 
1649,chlorothiazide 250 mg/5 mL Sus 237 mL,$2.65 
583,chlorothiazide 500 mg Tab,$4.80 
4443,chlorpheniramine 12 mg ER Tab,$0.40 
584,chlorpheniramine 4 mg Tab,$0.15 
2687,chlorpheniramine-HYDROcodone 8 mg-10 mg/5 mL Oral Susp ER 473 mL,$13.45 
5265,chlorpheniramine-PSE 4 mg-60 mg Tab,$0.15 
588,chlorproMAZINE 10 mg Tab,$22.35 
589,chlorproMAZINE 25 mg Tab,$15.85 
1653,chlorproMAZINE 25 mg/mL Inj Soln 2 mL,$101.35 
590,chlorproMAZINE 50 mg Tab,$46.75 
592,chlorproPAMIDE 100 mg Tab,$4.90 
593,chlorproPAMIDE 250 mg Tab,$2.65 
594,chlorthalidone 25 mg Tab,$4.00 
595,chlorthalidone 50 mg Tab,$4.90 
597,chlorzoxazone 500 mg Tab,$2.65 
5754,cholecalciferol 1000 intl units Tab,$0.15 
5448,cholecalciferol 400 intl units Tab,$0.15 
5752,cholecalciferol 400 intl units/mL Oral Liquid 50 mL,$0.15 
6054,cholecalciferol 5000 intl units Cap,$0.15 
23258,CHOLESTEROL - REF,$33.00 
21080,CHOLESTEROL BLOOD TOTAL,$116.00 
28606,CHOLESTEROL BODY FLUID,$39.00 
2621,cholestyramine 4 g/5.5 g Pow UD,$10.35 
2620,cholestyramine 4 g/9 g Powder for Recon 60 gm,$9.55 
599,choline salicylate-magnesium salicylate 500 mg Tab,$2.65 
5703,choline salicylate-magnesium salicylate 500 mg/5 mL Oral Liquid 240 mL,$2.65 
600,choline salicylate-magnesium salicylate 750 mg Tab,$2.65 
28162,CHOLINESTERASE RBC,$237.00 
34316,CHORIONIC VILLUS SAMPLING CVS,$540.00 
21834,"CHROMIUM, PLASMA",$63.00 
29767,CHROMOGRANIN A,$123.00 
29256,CHROMOSOME ANALYS AMNIOT FLUID-P,$321.00 
29720,CHROMOSOME ANALYSIS ADDL CELLS-P,$14.00 
29718,CHROMOSOME ANALYSIS KAROTYPE-P,$53.00 
29730,CHROMOSOME ANALYSIS POC-P,$408.00 
29734,CHROMOSOME ANALYSIS TISSUE-P,$480.00 
28164,CHROMOSOME BONE MARROW,$549.00 
29258,CHROMOSOME PERIPHERAL BLOOD,$471.00 
21836,CHRONIC URTICARIA,$228.00 
29828,"CHYLOMICRONS, BODY FLUID",$94.00 
28794,CI ESTERASE INHIBITOR AG,$81.00 
5659,ciclesonide 50 mcg/inh Nasal Spray 12.5 gm,$114.00 
5658,ciclesonide CFC free 160 mcg/inh Aerosol 6.1 gm,$905.00 
5657,ciclesonide CFC free 80 mcg/inh Aerosol 6.1 gm,$970.05 
2376,ciclopirox 0.77% Cream 15 gm,$22.65 
2377,ciclopirox 0.77% Lotion 30 mL,$325.35 
1658,cidofovir 75 mg/mL IV Soln 5 mL,"$1,796.90 "
4188,cilostazol 100 mg Tab,$2.65 
5310,cinacalcet 30 mg Tab,$118.40 
6095,ciprofloxacin 0.3% Ophth Oint 3.5 gm,$615.60 
1662,ciprofloxacin 0.3% Ophth Soln 2.5 mL,$11.65 
1663,ciprofloxacin 10 mg/mL IV Soln 20 mL,$38.20 
3476,ciprofloxacin 10 mg/mL IV Soln 40 mL,$38.20 
2125,ciprofloxacin 200 mg/D5W 100 mL,$38.20 
463,ciprofloxacin 250 mg Tab,$2.65 
5262,ciprofloxacin 250 mg/5 mL Oral Liquid 100 mL,$29.00 
2126,ciprofloxacin 400 mg/D5W 200 mL,$38.20 
464,ciprofloxacin 500 mg Tab,$2.65 
4623,ciprofloxacin 500 mg/5 mL Oral Liquid 100 mL,$33.95 
465,ciprofloxacin 750 mg Tab,$9.15 
6391,ciprofloxacin ophthalmic 0.3% Soln 5 mL,$18.40 
5189,ciprofloxacin-dexamethasone 0.3%-0.1% Otic Susp 7.5 mL,$864.40 
3478,cisatracurium 10 mg/mL IV Soln 20 mL,$765.55 
1665,cisatracurium 2 mg/mL IV Soln 10 mL,$83.15 
2787,CISplatin 1 mg/mL IV Soln 100 mL,$38.20 
5384,CISplatin 1 mg/mL IV Soln 200 mL,$38.20 
5817,CISplatin 1 mg/mL IV Soln 50 mL,$38.20 
5337,citalopram 10 mg Tab,$2.65 
3248,citalopram 20 mg Tab,$2.65 
29100,CITRATE URINE 24 HR,$119.00 
29779,CITRIC ACID URINE-P,$119.00 
4765,citric acid/gluconodelta-lactone/magnesium carbonate Irrigation Soln 500 mL,$172.35 
2184,citric acid-sodium citrate 334 mg-500 mg/5 mL Oral Soln 30 mL,$3.85 
29612,CITRULLINE AB,$144.00 
37572,CK 3-D RADIOTHERAPY PLAN,"$4,838.00 "
37520,CK CONT MED RAD PHY CONSLT PER5TX,$502.00 
37578,"CK LINAC SRS EA, 1ST-5TH TX","$15,479.00 "
37552,CK LINAC SRS SINGLE TX,"$19,883.00 "
37566,CK RAD PHY CONSLT SRX SBRT,"$1,333.00 "
37568,CK RAD THERPY DOSE PLANNING,$551.00 
37576,CK RESPIRATORY MOTION MGMT,"$3,305.00 "
37564,CK SIMULATION COMPLX,"$2,549.00 "
37570,CK TREATMNT DEVICES COMPLEX,"$2,476.00 "
1668,cladribine 1 mg/mL IV Soln 10 mL,$747.85 
1669,clarithromycin 125 mg/5 mL Oral Liquid 50 mL,$12.60 
607,clarithromycin 250 mg Tab,$10.35 
1670,clarithromycin 250 mg/5 mL Oral Liquid 50 mL,$19.35 
4644,clarithromycin 500 mg ER Tab,$16.85 
606,clarithromycin 500 mg Tab,$22.00 
609,clemastine 1.34 mg Tab,$2.65 
5985,clindamycin 1% Lotion 60 mL,$392.30 
2379,clindamycin 1% Topical Gel 30 gm,$195.90 
2380,clindamycin 1% Topical Soln 60 mL,$354.05 
180,clindamycin 150 mg Cap,$2.65 
1671,clindamycin 150 mg/mL Inj Soln 2 mL,$38.20 
5270,clindamycin 150 mg/mL Inj Soln 4 mL,$38.20 
1672,clindamycin 150 mg/mL Inj Soln 6 mL,$38.20 
2378,clindamycin 2% Vag Cream 40 gm,$346.95 
4207,clindamycin 300 mg Cap,$4.45 
3157,clindamycin 300 mg/D5W 50 mL,$38.20 
3375,clindamycin 600 mg/D5W 50 mL,$38.20 
1673,clindamycin 75 mg/5 mL Oral Liquid 100 mL,$23.85 
6374,clindamycin 900 mg/50 mL-NaCl 0.9% Sol,$61.50 
3376,clindamycin 900 mg/D5W 50 mL,$42.10 
6008,clindamycin 900mg add-vantage,$38.20 
52998,CLINIC-LAP BAND ADJUSTMENT,$104.00 
6280,cloBAZam 10 mg Tab,$85.35 
2381,clobetasol 0.05% Cream 15 gm,$318.30 
5407,clobetasol 0.05% Cream 30 gm,$622.65 
5272,clobetasol 0.05% Cream 60 gm,"$1,114.30 "
3956,clobetasol 0.05% Topical Gel 15 gm,$223.00 
2383,clobetasol 0.05% Topical Oint 15 gm,$446.15 
6105,clobetasol 0.05% Topical Oint 30 gm,$588.60 
2385,clobetasol 0.05% Topical Soln 50 mL,$500.95 
4764,clofarabine 1 mg/mL IV Soln 20 mL,"$14,011.55 "
183,clomiPRAMINE 25 mg Cap,$44.30 
3378,clomiPRAMINE 75 mg Cap,$40.30 
4601,clonazePAM 0.25 mg Dis Tab,$4.80 
613,clonazePAM 0.5 mg Tab,$4.80 
614,clonazePAM 1 mg Tab,$4.80 
616,cloNIDine 0.1 mg Tab,$2.65 
2622,cloNIDine 0.1 mg/24 hr TD Film ER,$87.05 
617,cloNIDine 0.2 mg Tab,$2.65 
2623,cloNIDine 0.2 mg/24 hr TD Film ER,$130.15 
618,cloNIDine 0.3 mg Tab,$2.65 
2624,cloNIDine 0.3 mg/24 hr TD Film ER,$162.45 
3900,cloNIDine 100 mcg/mL Inj Soln 10 mL,$267.25 
6344,cloNIDine PEDIATRIC oral suspension 10mcg/mL,$2.65 
5374,clopidogrel 300 mg Tab,$115.85 
3091,clopidogrel 75 mg Tab,$2.65 
622,clorazepate 3.75 mg Tab,$11.70 
623,clorazepate 7.5 mg Tab,$6.45 
60228,CLOSE INTERATRIAL COMM W/ RHC,"$35,507.00 "
20784,"CLOT FACTOR VIII, VW ACTIVITY",$194.00 
20786,"CLOT FACTOR VIII, VW ANTIGEN",$194.00 
2386,clotrimazole 1% Cream 15 gm,$1.70 
6106,clotrimazole 1% Cream 30 gm,$1.80 
2387,clotrimazole 1% Topical Soln 30 mL,$274.95 
2388,clotrimazole 1% Vag Cream 45 gm,$1.95 
624,clotrimazole 10 mg Lozenge,$5.75 
20782,CLOTTING FACTOR VIII,$194.00 
28854,CLOZAPINE (CLOZARIL),$54.00 
3455,cloZAPine 100 mg Tab,$6.30 
3398,cloZAPine 25 mg Tab,$2.65 
36292,CMR BREAST BIL W/CONTRAST MRI,"$3,657.00 "
36294,CMR BREAST BIL W/O CONTR MRI,"$3,657.00 "
21394,CMV (CYTOMEGALOVIRUS IGG AB),$112.00 
21396,CMV (CYTOMEGALOVIRUS IGM AB),$112.00 
27560,CMV DNA (PCR) QUANT,$235.00 
29799,CMV DNA BY PCR CSF,$223.00 
21086,CO2 BLOOD BK,$105.00 
28264,COAG FACTOR 10,$706.00 
28266,COAG FACTOR 13,$393.00 
28268,COAG FACTOR 5,$276.00 
28270,COAG FACTOR 7,$276.00 
28272,COAG FACTOR 8,$647.00 
28274,COAG FACTOR 9,$253.00 
4685,coagulation factor IX human IV Inj,$38.20 
5570,coagulation factor IX recombinant Kit,$38.20 
5486,coagulation factor VIIa 1000 mcg (1 mg) IV Inj,"$6,855.20 "
5485,coagulation factor VIIa 2000 mcg (2 mg) IV Inj,"$13,710.40 "
5484,coagulation factor VIIa 5000 mcg (5 mg) IV Inj,"$34,276.00 "
1674,coal tar 0.5% Shampoo 120 mL,$0.55 
2392,coal tar 1% Shampoo 180 mL,$0.70 
2321,coal tar 2.5% Topical Oil 221 mL,$108.30 
72766,COAPTITE BULKING AGENT PER 1ML,"$1,096.00 "
21838,"COBALT, PLASMA",$61.00 
6282,cobicistat 150 mg Tab,$35.15 
6230,cobicistat/elvitegravir/emtricitabine/tenofov 150 mg-150 mg-200 mg-10 mg Tab,$471.80 
5942,cobicistat/elvitegravir/emtricitabine/tenofovir 150 mg-150 mg-200 mg-300 mg Tab,$462.95 
6271,cobicistat-darunavir 150 mg-800 mg Tab,$298.05 
5583,cocaine 10% Topical Soln 4 mL,$494.65 
126,cocaine 4% Topical Soln 4 mL,$725.85 
28800,COCCIDIOIDES AB,$81.00 
123,codeine sulfate 15 mg Tab,$4.80 
124,codeine sulfate 30 mg Tab,$4.80 
2688,codeine/phenylephrine/promethazine 10 mg-5 mg-6.25 mg/5 mL Syrup 118 mL,$4.80 
2691,codeine-guaiFENesin 10 mg-100 mg/5 mL Oral Syrup 5 mL,$4.80 
2689,codeine-promethazine 10 mg-6.25 mg/5 mL Oral Syrup 118 mL,$4.80 
72526,COFLEX STABLIZATION DEVICE,"$16,367.00 "
71860,COIL SYSTEM PERIPHERAL,"$2,550.00 "
71760,"COIL, EMBO GRP 1",$261.00 
632,colchicine 0.6 mg Tab,$33.80 
1100,colchicine-probenecid 0.5 mg-500 mg Tab,$3.55 
21398,COLD AGGLUTININS TITER,$363.00 
4615,colesevelam 625 mg Tab,$14.80 
633,colestipol 1 g Tab,$4.35 
2625,colestipol 5 g Granule,$13.10 
5212,colistimethate 150 mg (colistin base) Inj,$53.05 
1681,colistin/hydrocortisone/neomycin/thonzonium 0.3%-1%-0.33%-0.05% Otic Susp 5 mL,$164.30 
79750,COLLAGEN NEURAGEN P/CM (</=1CM),"$3,750.00 "
79751,COLLAGEN NEURAGEN P/CM (>1CM),"$1,875.00 "
3935,collagenase 250 units/g Topical Oint 15 gm,$224.10 
5688,collagenase 250 units/g Topical Oint 30 gm,$889.90 
4658,collagenase clostridium histolyticum 0.9 mg Inj,"$15,233.60 "
13838,COLLECT BLOOD FROM EST CATHETER,$168.00 
13836,COLLECT BLOOD FROM IMPLANTED VAD,$87.00 
21702,COMP METABOLIC PANEL BK,$356.00 
60076,COMPREHENSIVE EP STUDY,"$6,370.00 "
60078,COMPREHENSIVE EP W/INDUCTION,"$9,953.00 "
62332,COMPRESSION PSEUDO ANUERYSM AVFI,"$2,772.00 "
22054,"CONCENTRATION, INFECTIOUS AGENT",$39.00 
5573,conivaptan 20 mg/D5W 100 mL,"$2,230.85 "
718,conjugated estrogens 0.3 mg Tab,$22.30 
4829,conjugated estrogens 0.45 mg Tab,$22.30 
719,conjugated estrogens 0.625 mg Tab,$22.30 
2424,conjugated estrogens 0.625 mg/g Vag Cream 30 gm,$882.35 
634,conjugated estrogens 0.9 mg Tab,$22.30 
720,conjugated estrogens 1.25 mg Tab,$22.30 
1788,conjugated estrogens 25 mg Inj,"$1,184.20 "
4717,conjugated estrogens-medroxyPROGESTERone 0.625 mg-2.5 mg Tab,$29.95 
4716,conjugated estrogens-medroxyPROGESTERone 0.625 mg-5 mg Tab,$27.35 
29424,CONNECTING PEPTIDE,$788.00 
72590,CONNECTIVE TISSUE HUMAN LEVEL 1,$450.00 
72592,CONNECTIVE TISSUE HUMAN LEVEL 2,$900.00 
72594,CONNECTIVE TISSUE HUMAN LEVEL 3,"$1,350.00 "
72596,CONNECTIVE TISSUE HUMAN LEVEL 4,"$5,143.00 "
72600,CONNECTIVE TISSUE HUMAN LEVEL 5,"$9,523.00 "
72598,CONNECTIVE TISSUE HUMAN LEVEL 5.,"$12,703.20 "
72602,CONNECTIVE TISSUE HUMAN LEVEL 6,"$19,964.50 "
74442,CONNECTIVE TISSUE NON-HUM LEV 5.,"$4,731.80 "
74434,CONNECTIVE TISSUE NON-HUM LEVEL 1,$300.00 
74436,CONNECTIVE TISSUE NON-HUM LEVEL 2,$900.00 
74438,CONNECTIVE TISSUE NON-HUM LEVEL 3,"$1,619.00 "
74440,CONNECTIVE TISSUE NON-HUM LEVEL 4,"$3,218.00 "
74441,CONNECTIVE TISSUE NON-HUM LEVEL 5,"$13,500.00 "
74443,CONNECTIVE TISSUE NON-HUM LEVEL 6,"$9,004.80 "
72650,CONNECTOR IMPLANT LEVEL 1,"$3,220.00 "
72652,CONNECTOR IMPLANT LEVEL 2,$913.00 
13678,CONTIGEN SKIN TEST,$189.00 
48024,CONTINUOUS AEROSOLIZED MEDICATION,$297.00 
28182,COPPER,$331.00 
1688,copper sulfate 1.57 mg/mL Inj Soln 10 mL,$38.20 
60266,COR ANGIO ONLY NO AORTIC VALVE,"$13,932.00 "
60268,COR ANGIO W/IMA W/WO SVG NO AORTC,"$16,301.00 "
77872,CORMATRIX CANGAROO,"$2,985.00 "
79789,CORMATRIX EXTRACELL SKIN SUBS NOS,"$1,332.00 "
77680,CORNEA DONOR,"$2,350.00 "
6052,corticorelin 100 mcg IV Inj,"$3,291.55 "
29752,CORTISOL 120 MINUTES,$161.00 
29749,CORTISOL 30 MINUTES,$161.00 
29750,CORTISOL 60 MINUTES,$161.00 
29751,CORTISOL 90 MINUTES,$161.00 
29748,CORTISOL BASELINE,$161.00 
28008,CORTISOL FREE URINE 24 HR,$379.00 
29662,CORTISOL SALIVARY,$161.00 
21532,CORTISOL TOTAL AM,$161.00 
21534,CORTISOL TOTAL PM,$161.00 
21092,CORTISOL TOTAL RANDOM,$161.00 
635,cortisone 25 mg Tab,$15.45 
1513,cosyntropin 0.25 mg Inj,$107.20 
74459,COUPLER GEM MICRO ANASTOMOTIC,"$1,025.00 "
28194,COXSACKIE B1 AB - P,$162.00 
28196,COXSACKIE B2 AB - P,$162.00 
28198,COXSACKIE B3 AB - P,$162.00 
28200,COXSACKIE B4 AB - P,$162.00 
28202,COXSACKIE B5 AB - P,$162.00 
28204,COXSACKIE B6 AB - P,$162.00 
48044,CPAP INITIATION AND MGT PER DAY,$828.00 
21610,CPK TOTAL BK,$138.00 
46024,CPR BRKLY,$265.00 
62404,CR EXERCISE EVALUATION,$136.00 
62406,CR PERIPHERAL ART DISEASE REHAB,$253.00 
62606,CR PHASE II W/O MONITR/SESSION,$112.00 
62400,CR PHASE II WITH MONITR/SESSION,$272.00 
62402,CR PHASE IV,$24.00 
21104,C-REACTIVE PROTEIN (CRP),$236.00 
21096,CREATININE BLOOD BK,$99.00 
21344,CREATININE BODY FLUID,$155.00 
21100,CREATININE CLRNC URINE 24HR/SERUM,$284.00 
21536,CREATININE URINE 24 HR,$155.00 
21102,CREATININE URINE RANDOM,$155.00 
29628,CREATININE URINE REF LAB,$25.00 
21976,CREATININE-CA CREAT RATIO URINE,$155.00 
21978,CREATININE-MICALBCREAT RATIO UR,$155.00 
12015,CRITICAL CARE E/M BK W/PROC,"$4,117.00 "
12014,CRITICAL CARE EVAL/MGT BRKLY,"$4,117.00 "
36310,CRMR EXT UPPER MRA W/CONTRAST,"$3,657.00 "
6046,crofelemer 125 mg DR Tab,$46.25 
3385,cromolyn 10 mg/mL Inh Soln 2 mL,$16.05 
4384,cromolyn 4% Ophth Soln 10 mL,$16.10 
1687,cromolyn 5.2 mg/inh Nasal Spray 13 mL,$7.05 
27018,CROSSMATCH PER UNIT AHG,$220.00 
27106,CROSSMATCH PER UNIT AHG PREWARMED,$220.00 
27162,CROSSMATCH PER UNIT ELECTRONIC,$144.00 
27016,CROSSMATCH PER UNIT INCUBATION,$93.00 
27014,CROSSMATCH PER UNIT IS TECH,$269.00 
21682,CRP HIGH SENSITIVITY,$144.00 
62604,CRSF EXERCISE EVALUATION,$136.00 
62600,CRSF PHASE II WITH MONITR/SESSION,$271.00 
62602,CRSF PHASE IV,$24.00 
28208,CRYOFIBRINOGEN,$220.00 
28212,CRYOGLOBULIN QUAL/SEMI QUANT,$228.00 
27020,CRYOPPT POOL,$328.00 
27512,CRYOPRECIPITATE EA UNIT,$332.00 
25310,CRYPTO ANTIGEN TITER,$294.00 
21892,CRYPTO NEOFORMANS/GATTII,$84.00 
25306,CRYPTOCOCCAL AG,$605.00 
25308,CRYPTOCOCCAL AG CSF SCRN,$605.00 
28214,CRYPTOCOCCOL AB,$196.00 
25250,CRYPTOSPORIDIUM EIA STOOL,$55.00 
29744,CRYPTOSPORIDIUM STAIN,$44.00 
23010,CRYSTAL BILE BK,$169.00 
23026,CRYSTALS SYNOVIAL FLUID BK,$169.00 
35390,CT ARTHRO ELBOW W/CTRST,"$2,297.00 "
35388,CT ARTHRO HIP W/CTRST,"$2,297.00 "
35386,CT ARTHRO KNEE W/CTRST,"$2,297.00 "
35394,CT ARTHRO SHOULDER W/CTRST,"$2,297.00 "
35392,CT ARTHRO WRIST W/CTRST,"$2,297.00 "
35402,CT CARDIAC CALCIUM SCORING,$293.00 
35254,CT CEREBRAL PERFUSION ANALYSIS,"$2,297.00 "
35282,CT COLONOGRAPHY DX W/O CTRST,"$2,297.00 "
35278,CT COLONOGRAPHY SCREENING,"$2,297.00 "
35284,CT COLONOGRPHY DX W/CTRST (W/O),"$2,297.00 "
