Charge Description,Charge Amount
DRILL BIT 12MM 03.010.036S,"$5,232.00 "
DRILL BIT 12MM 03.010.439,"$4,248.00 "
DRILL BIT 12MM 03.617.912,"$1,507.50 "
DRILL BIT 12MM 48510612,"$1,458.00 "
DRILL BIT 12MM I31-06-12,$900.00 
DRILL BIT 13MM 7080513,$900.00 
DRILL BIT 14MM  324.143,"$1,494.00 "
DRILL BIT 151-06016,$900.00 
DRILL BIT 159005ND,"$1,428.00 "
DRILL BIT 15MM 03.010.165,"$3,636.50 "
DRILL BIT 16MM 03.617.916,"$1,507.50 "
DRILL BIT 16MM 48510616,"$1,460.10 "
DRILL BIT 18MM DRLTFS18,"$1,116.00 "
DRILL BIT 2.0 2312-20-204,$318.00 
DRILL BIT 2.0 310.21,$721.68 
DRILL BIT 2.0 323.062,"$1,315.32 "
DRILL BIT 2.0 4010-0520,$312.00 
DRILL BIT 2.0 80-0386,$714.00 
DRILL BIT 2.0 AR-4160-20,$474.00 
DRILL BIT 2.0 AR-8943-16,$570.00 
DRILL BIT 2.0 DB2.0 HAND INNOV,$508.80 
DRILL BIT 2.0 FAST FDB 2.0,$539.34 
DRILL BIT 2.0 MS-DC5020,$714.00 
DRILL BIT 2.0 QC 310.19,$680.94 
DRILL BIT 2.0\2.4 L 316-0014,"$1,782.00 "
DRILL BIT 2.0MM,$735.00 
DRILL BIT 2.0MM 310.221,"$3,816.00 "
DRILL BIT 2.0MM XFO082001,"$1,932.00 "
DRILL BIT 2.0X102 45-27010,$723.60 
DRILL BIT 2.0X14MM 03.617.914,"$1,507.50 "
DRILL BIT 2.2MM AR-8944-22,$510.00 
DRILL BIT 2.3 40100523,$426.00 
DRILL BIT 2.3 4010-0523,$312.00 
DRILL BIT 2.3 80-0627,$714.00 
DRILL BIT 2.3MM AR-1202-3D,$450.00 
DRILL BIT 2.4 310.530,"$1,398.00 "
DRILL BIT 2.4 4806-121-24,$590.34 
DRILL BIT 2.4 AR-13303-2.4,$222.00 
DRILL BIT 2.4 CANN LONG,$930.00 
DRILL BIT 2.4MM     NAV2075,"$3,900.00 "
DRILL BIT 2.5 10.325.180,$768.00 
DRILL BIT 2.5 2142-35-007,$547.20 
DRILL BIT 2.5 2410-33,$323.94 
DRILL BIT 2.5 4010-0525,$312.00 
DRILL BIT 2.5 8290-29-070,$580.02 
DRILL BIT 2.5 AR-4160-25,$474.00 
DRILL BIT 2.5 AR-8943-13,$510.00 
DRILL BIT 2.5 QC 310.25,$640.20 
DRILL BIT 2.5MM  OS200025L,$450.00 
DRILL BIT 2.5MM 705025,"$2,544.00 "
DRILL BIT 2.5MM AR-8916-06,$408.00 
DRILL BIT 2.5MM AR-8943-30,$510.00 
DRILL BIT 2.5MM AR-8943-42,$510.00 
DRILL BIT 2.5MM X 180MM 103.25.180,$582.00 
DRILL BIT 2.5X16MM 03.613.116,"$1,494.00 "
DRILL BIT 2.7 2142-27-070,$630.90 
DRILL BIT 2.7 2142-35-006,$595.20 
DRILL BIT 2.7 2360-205-27,$660.90 
DRILL BIT 2.7 2360-270-27,"$1,033.20 "
DRILL BIT 2.7 310.28,$721.68 
DRILL BIT 2.7 4010-0527,$312.00 
DRILL BIT 2.7 FLUTED 315.28,"$1,018.50 "
DRILL BIT 2.7 QC 1147-26,"$2,956.80 "
DRILL BIT 2.75MM AR-7000-14,"$3,000.00 "
DRILL BIT 2.7MM 702449,"$3,267.00 "
DRILL BIT 2.8 03.113.024,"$1,070.88 "
DRILL BIT 2.8 03.122.002,"$1,440.00 "
DRILL BIT 2.8 2810-17-115,"$1,404.30 "
DRILL BIT 2.8 324.214,"$1,524.84 "
DRILL BIT 2.8 LONG MS-LDC28,$714.00 
DRILL BIT 2.8 MSDC-28,$588.00 
DRILL BIT 2.8MM 310.288,$797.34 
DRILL BIT 2.8X10 DB2.8,$539.34 
DRILL BIT 2.9 310.495,"$3,922.68 "
DRILL BIT 2.9 8290-31-070,$580.02 
DRILL BIT 210-24-001,"$1,050.00 "
DRILL BIT 2112-01-303,"$3,892.00 "
DRILL BIT 2112-01-406,$888.00 
DRILL BIT 2112-01-505,"$1,536.00 "
DRILL BIT 2236-00-015,"$1,094.40 "
DRILL BIT 2236-00-016,"$2,316.00 "
DRILL BIT 2236-00-15,"$1,094.40 "
DRILL BIT 2255-35-50,"$1,017.60 "
DRILL BIT 25MM AR-1355D,$492.00 
DRILL BIT 2MM CANN AR-8933-20C,"$1,050.00 "
DRILL BIT 3.0 AR-13303-3.0,$192.00 
DRILL BIT 3.0 AR-8933-30C,"$1,050.00 "
DRILL BIT 3.0 AR-8945-30C,"$1,050.00 "
DRILL BIT 3.0MM 310-30-001,"$1,350.00 "
DRILL BIT 3.0MM 310-31-001,"$1,350.00 "
DRILL BIT 3.0MM 80-1088,$780.00 
DRILL BIT 3.0MM AR-8970-30,"$1,170.00 "
DRILL BIT 3.1 MM 705031,"$2,511.00 "
DRILL BIT 3.1MM 5901-1126,$600.00 
DRILL BIT 3.2 03.010.060,"$2,095.20 "
DRILL BIT 3.2 03-161-104,"$2,245.50 "
DRILL BIT 3.2 2141-13-032,$702.12 
DRILL BIT 3.2 2360-225-37,$879.24 
DRILL BIT 3.2 324.212,"$1,652.88 "
DRILL BIT 3.2 FLUTED 315.29,"$1,216.38 "
DRILL BIT 3.2 MWJ126,"$1,386.00 "
DRILL BIT 3.2MM  310.65,"$3,841.20 "
DRILL BIT 3.2MM 03.010.103,"$1,495.74 "
DRILL BIT 3.2MM 35463018,"$1,200.00 "
DRILL BIT 3.3MM 00-2490-072-33,$979.20 
DRILL BIT 3.5 8290-32-070,$595.20 
DRILL BIT 3.5 QC 310.35,$680.94 
DRILL BIT 3.5MM 4.0 NC 02.00024.325,$936.00 
DRILL BIT 3.5MM AR-4160-35,$474.00 
DRILL BIT 3.7 2360-315-37,"$1,420.80 "
DRILL BIT 3.8 2141-14-038,$758.10 
DRILL BIT 3.8 2810-12-038,$868.80 
DRILL BIT 3.8 2810-12-138,$920.94 
DRILL BIT 3.8 2810-13-138,$971.82 
DRILL BIT 3.8MM 03.019.016,"$1,850.76 "
DRILL BIT 310.48 SYNTHES,"$1,080.00 "
DRILL BIT 310-24-001,"$1,350.00 "
DRILL BIT 31-323230,$390.00 
DRILL BIT 4.0 315.40,"$1,297.86 "
DRILL BIT 4.0 357.407,"$1,780.92 "
DRILL BIT 4.0 AR-8967-40,$900.00 
DRILL BIT 4.0 MED 00-5207-040-70,$912.00 
DRILL BIT 4.0MM 8290-33-070,$595.20 
DRILL BIT 4.0MM SNDB40,$498.60 
DRILL BIT 4.2 03.010.061,"$2,095.20 "
DRILL BIT 4.2 03.010.101,"$2,148.00 "
DRILL BIT 4.2 03.010.104,"$1,495.74 "
DRILL BIT 4.2MM 03.010.061S,"$2,604.00 "
DRILL BIT 4.2MM 03.010.104S,"$1,986.00 "
DRILL BIT 4.2X180 1806-4270S,"$2,046.60 "
DRILL BIT 4.3,"$1,056.00 "
DRILL BIT 4.3 00-2490-072-43,$518.40 
DRILL BIT 4.3 324.213,"$1,652.88 "
DRILL BIT 4.3 NCB 02.00024.001,$852.00 
DRILL BIT 4.3X195 02.00024.002,"$1,080.00 "
DRILL BIT 4.4 2810-12-044,$969.60 
DRILL BIT 4.4 2810-12-144,"$1,027.80 "
DRILL BIT 4.5 2410-46 ZIMMER,$333.96 
DRILL BIT 4.5 CANN 310.66,"$3,960.00 "
DRILL BIT 4.5MM 03.010.089,"$3,136.98 "
DRILL BIT 4.5MM AR-8970-45,$474.00 
DRILL BIT 4.9 00-2490-034-49,"$2,265.60 "
DRILL BIT 4806-195-35,$491.46 
DRILL BIT 4806-195-45,$468.60 
DRILL BIT 4MM    804-03-049,$630.00 
DRILL BIT 4MM AR-1204D,$690.00 
DRILL BIT 4MM AR-8967-40C,"$1,170.00 "
DRILL BIT 5.0 03.008.008,"$2,141.76 "
DRILL BIT 5.0 310.63,"$3,864.48 "
DRILL BIT 5.0 NCB 02.00024.050,"$1,572.00 "
DRILL BIT 5.0MM 03.010.062,"$2,160.00 "
DRILL BIT 5.0MM 03.010.105,"$1,542.00 "
DRILL BIT 5.0MM 310.632,"$3,090.42 "
DRILL BIT 5.5 2141-23-00,"$1,348.32 "
DRILL BIT 5.5MM AR-8970-55,$474.00 
DRILL BIT 502015207,$960.00 
DRILL BIT 5X254 471736,$978.00 
DRILL BIT 6.4 71631035,"$1,774.50 "
DRILL BIT 6.7MM AR-8967-67C,"$1,170.00 "
DRILL BIT 6009504,$715.92 
DRILL BIT 6013505,$819.90 
DRILL BIT 6020012,$935.40 
DRILL BIT 6474176,"$2,100.00 "
DRILL BIT 6956011,"$1,564.98 "
DRILL BIT 6961241,"$1,770.00 "
DRILL BIT 6972118,"$1,194.00 "
DRILL BIT 7080510,$900.00 
DRILL BIT 7MM 01-7144,"$1,074.00 "
DRILL BIT 876.455,"$1,207.50 "
DRILL BIT 8790-007-03,"$1,008.00 "
DRILL BIT 8TD156,$615.96 
DRILL BIT ACUT 2 MICR AT2-1509,"$1,680.00 "
DRILL BIT ACUT 2 STD AT2-2515,"$1,680.00 "
DRILL BIT ACUT STD L AT2-L2515,"$1,680.00 "
DRILL BIT AR-1201.7D,$474.00 
DRILL BIT AR-13434-02,$534.78 
DRILL BIT AT2M-1813,"$1,680.00 "
DRILL BIT AT2M-L1813,"$1,680.00 "
DRILL BIT CAN 2.7 2360-76-27,"$1,612.80 "
DRILL BIT CANN 2.0 212-20-002,"$1,050.00 "
DRILL BIT CANN 2.0 AR-8005D-20,$834.00 
DRILL BIT CANN 2.7 310.67,"$3,916.86 "
DRILL BIT CANN 3.5 310.68,"$4,626.00 "
DRILL BIT CANNULATED 2.6MM,"$1,050.00 "
DRILL BIT CANNULATED AR-1201-7DC,"$1,050.00 "
DRILL BIT CORT 80-0945,"$1,860.00 "
DRILL BIT CORT 80-0946,"$1,860.00 "
DRILL BIT DB25,$539.34 
DRILL BIT DWD055,$711.00 
DRILL BIT FAST 4.0 SH FDBS40,$549.48 
DRILL BIT FAST ST FDS40,$549.48 
DRILL BIT FLUTED 4.5 315.48,"$1,216.38 "
DRILL BIT KIT 2.0MM DRILL,"$2,619.00 "
DRILL BIT KIT 2.65MM DRILL,$945.00 
DRILL BIT LONG FDB4.0L,$549.48 
DRILL BIT MEMOFIX 1.7 MS2610,$750.00 
DRILL BIT MS-DC28,$714.00 
DRILL BIT OCCIPITAL    7756131,"$1,628.52 "
DRILL BIT PERC 2.5 4836-270-25,$954.00 
DRILL BIT QC 1.5 310.16,$640.20 
DRILL BIT QR 2.0\2.4 316-0013,"$1,782.00 "
DRILL BIT SCALED 2.6MM  703691,"$1,657.80 "
DRILL BIT SHORT 4.0 FDB40S,$549.48 
DRILL BIT SHORT DB4.0S,$774.00 
DRILL BIT STEPPED 6.0MM/10.0MM,"$5,076.00 "
DRILL BIT W/STP 2.5X15 324.155,"$1,494.00 "
DRILL BIT WIRE PASS 1.5MM 5300-10-63,$195.00 
DRILL BIT WIRE PASS 2.0MM 5300-10-71,$195.00 
DRILL BIT ZIMMER 1147-30,"$2,956.80 "
DRILL BUD,"$1,860.00 "
DRILL CALIBRATED 5.0MMX365MM 27982,"$1,656.00 "
DRILL CANN 2.0 101-00011,"$1,002.00 "
DRILL CANN EX LONG 2.0/2.4MM,"$2,646.00 "
DRILL CANNULATED 2.7MM 80-2075,"$1,680.00 "
DRILL CANNULATED 3.2MM 45765003,$786.00 
DRILL CANNULATED OSTEOMED,"$1,782.00 "
DRILL CENTER 2230-00-015,$750.00 
DRILL COUNTERSINK 119415ND,"$1,428.00 "
DRILL EXTENDED BONOPTY 16CM,$456.00 
DRILL FLEX 30MM 6611-003-02,"$2,760.00 "
DRILL IT 2.0MM AGB200,"$1,650.00 "
DRILL KIT DIS AR-8934DSC,$870.00 
DRILL KIT ELITE,"$2,880.90 "
DRILL KIT P/N DK-200,$900.00 
DRILL KIT P/N DK-265,$900.00 
DRILL LAG 2.7MM QR SURGIBIT,"$1,188.00 "
DRILL LAG 3.5MM QR SURGIBIT,"$1,188.00 "
DRILL LONG 2.8,$942.00 
DRILL LONG 4.0MM 71631121,"$1,419.60 "
DRILL LONG 4.3 2490-044-43,$595.20 
DRILL LONG 4.3MM 2112-01-405,$960.00 
DRILL LONG MICRO 80-0100,"$1,680.00 "
DRILL MINI LONG   ATZM-L1813,"$1,680.00 "
DRILL MINI LONG AT2-L1813,"$1,410.00 "
DRILL PEG DRL-0920-056-002,$630.00 
DRILL POLOT 4.0MM 71631110,"$1,521.00 "
DRILL PROFILE MICRO AR-8737-46,$900.00 
DRILL PROFILE MINI AR-8737-47,$900.00 
DRILL REAMER 2MM XF0012002-00,"$1,548.00 "
DRILL RIB PLATE SILVER RBP2111,"$1,620.00 "
DRILL SCREW COMP 7.0MM 71674034,"$1,193.40 "
DRILL SCREW LAG INTERTAN 71674540,"$3,120.00 "
DRILL SHORT 2.8,$906.00 
DRILL SHORT 2.9 PUSHLOCK AR-2923D-ST,$630.00 
DRILL SHORT 4.0MM 71631123,"$1,033.50 "
DRILL SLEEVE 72200937,"$1,620.00 "
DRILL SPEED GUIDE 703894,"$2,030.40 "
DRILL STARTER COMP 71674570,"$1,197.30 "
DRILL STARTER DRL-0920-047-001,$930.00 
DRILL STEP  AR-2752,$630.00 
DRILL TIP 1.6MM 900.601,$381.18 
DRILL TIP GUIDEWIRE 2360-33-16,$284.16 
DRILL TIP KIT 100-0071,"$5,616.00 "
DRILL TWIST 1.1X50 25-452-05-91,$714.00 
DRILL TWIST 2.30L,$750.00 
DRILL TWISXT 4.3MM 27984,$975.00 
"DRILL,CANNULATED 3.5MM AR-8956C-35PD","$1,050.00 "
DRILLING INST KIT DWD161,"$1,093.50 "
DRIVE SHAFT 351.718S,$190.56 
DRIVER DOWEL FACET 03.630.909,"$2,812.50 "
DRIVER DRILL 2.5MM AR-8933D,$660.00 
DRIVER HEADLESS 2.0/2.4 316-0303,"$1,458.00 "
DRIVER QUICK RELEASE 2.5MM HPC-0025,$900.00 
DRIVER SHAFT T10 AR-8737-16,$660.00 
DRIVER T8 03.617.904,$679.50 
DRIVER TIP 1.5MM HT-0915,"$1,224.00 "
DRONABINOL 2.5 MG PO CAPS ,$23.10 
DRONABINOL 5 MG PO CAPS ,$24.46 
DRONEDARONE HCL 400 MG PO TABS ,$62.43 
DROPERIDOL 2.5 MG/ML IJ SOLN ,$44.07 
DROXIDOPA 200 MG PO CAPS ,$227.33 
DRYSEAL SHEATH 12FR SSF1233,"$2,682.00 "
DRYSEAL SHEATH 16FR SDV1628,"$1,500.00 "
DRYSEAL SHEATH 22FR DSL2228,"$2,244.00 "
DRYSEAL SHEATH 24FR DSL2433,"$3,624.00 "
DTAP-HEPATITIS B RECOMB-IPV IM SUSP ,$378.17 
DTAP-IPV VACCINE IM SUSP ,$255.16 
DTAP-IPV-HIB VACCINE IM SUSR ,$520.83 
DTPA AEROSOL TC99M ,$185.42 
DTPA TC99M EMERGENCY KIT ,$714.55 
DUAL LUMEN PICC WITH 135CM NITINOL WIRE,$390.00 
DULAGLUTIDE 0.75 MG/0.5ML SC SOPN ,"$1,053.68 "
DULAGLUTIDE 1.5 MG/0.5ML SC SOPN ,"$1,131.35 "
DULOXETINE HCL 20 MG PO CPEP ,$12.25 
DULOXETINE HCL 30 MG PO CPEP ,$12.25 
DULOXETINE HCL 60 MG PO CPEP ,$12.25 
DURAMATRIX 1 X 3,"$2,412.36 "
DURAMATRIX 2 X 2,"$2,896.02 "
DURAMATRIX 4 X 5,"$3,750.29 "
DURASEAL SEALANT SYS 20-2050,"$4,247.60 "
DURASPHERE 1ML 890-215,"$1,410.00 "
DURASUL ALL POLY PATELLA,"$4,681.25 "
DURASUL POLY PATEL 6301-07-101,"$5,482.38 "
DUTASTERIDE 0.5 MG PO CAPS ,$12.25 
DVR ANATOMIC NARROW LEFT    DVRANL,"$4,533.42 "
DYE SPOT GIS-45,$216.00 
DYNGEN X4 DF4,"$45,900.00 "
EAR WAX DROPS 6.5 % OT SOLN ,$12.25 
ECLIPSE VR SINGLE CHAMBER ICD,"$30,000.00 "
ECONAZOLE NITRATE 1 % EX CREA ,$170.82 
EDGE 180 PROCEDURE KIT,"$4,396.21 "
EDGE 45 PROCEDURE KIT,"$4,396.21 "
EDGE 90 PROCEDURE KIT,"$4,396.21 "
EDOXABAN TOSYLATE 30 MG PO TABS ,$58.55 
EDROPHONIUM CHLORIDE 10 MG/ML IJ SOLN ,$398.59 
EDROPHONIUM CL-ATROPINE 10-0.14 MG/ML IV SOLN ,$127.45 
EFAVIRENZ 600 MG PO TABS ,$134.02 
ELBOW TORQUE DRIVER 8401-080-00,"$2,688.00 "
ELECT BIPOLAR SLEND BALL 26055NB-S,"$2,937.60 "
ELECT BIPOLAR SLEND KNIFE 26055BL1-S,"$2,300.82 "
ELECT BIPOLAR SLEND LOOP 26055GP1-S,"$2,643.48 "
ELECTRODE 24 EXT 27050GP,"$1,072.80 "
ELECTRODE 24 XLONG 27050LP,$865.02 
ELECTRODE 24FR BARREL 27050NX,$808.80 
ELECTRODE 27 XLG KNIFE 27050KP,$820.02 
ELECTRODE 27 XLON LOOP 27050FP,$865.02 
ELECTRODE ABLATION 10CMX2CM,"$5,754.00 "
ELECTRODE ABLATION 10CMX3CM,"$5,754.00 "
ELECTRODE BALL HK PD 27147EP,$594.00 
ELECTRODE BLUNT PD 27147EL,$852.00 
ELECTRODE BUGBEE 2FR. BE-208,$558.78 
ELECTRODE COAG ANGLED 27123M,"$1,138.38 "
ELECTRODE COLD KNIFE 27069K,"$1,149.60 "
ELECTRODE COOLTIP 15CMX2CM,"$5,667.34 "
ELECTRODE COOLTIP 15CMX3CM,"$6,617.45 "
ELECTRODE COOLTIP 20CMX2CM,"$5,237.75 "
ELECTRODE COOLTIP 20CMX3CM,"$5,237.75 "
ELECTRODE COOL-TIP SINGLE,"$4,637.50 "
ELECTRODE CUT LOOP 24FR 27050G,$808.80 
ELECTRODE CUT LOOP PD 27147EG,$852.00 
ELECTRODE CUTTING LOOP 27123L,"$1,138.38 "
ELECTRODE EMG MODULE 8050015,"$5,382.00 "
ELECTRODE EX LONG 24FR 27050NP,$820.02 
ELECTRODE HC TUIDE INSERTION TOOL,"$6,000.00 "
ELECTRODE HOOK LAP 098-4182,$240.00 
ELECTRODE J HOOK TIP 4151,$180.00 
ELECTRODE L 36CM 098-4152,$180.00 
ELECTRODE L HOOK E277345,$243.60 
ELECTRODE LEEP BALL TIP B0512,$138.78 
ELECTRODE LIGASURE LS1200,"$1,353.00 "
ELECTRODE LOOP 1.0X0.7 T R1007,$136.08 
ELECTRODE LOOP 1.0X1.0 R1010,$138.84 
ELECTRODE LOOP 1.5X0.7 R1507,$138.78 
ELECTRODE LOOP 2.0X1.0 R2010,$138.78 
ELECTRODE LOOP 27FR 27050F,$795.00 
ELECTRODE NV EMG 8020015,"$5,382.00 "
ELECTRODE PAIRED DUAL 8227411,"$1,038.00 "
ELECTRODE PARED SINGLE 8227410,$702.00 
ELECTRODE POINT 24FR 27050L-6,$808.80 
ELECTRODE POINT 27FR 27050K,$760.02 
ELECTRODE QUIK COMBO DEFIB,$150.00 
ELECTRODE QUIK COMBO RADIO TRANSPARENT DEFIB,$210.00 
ELECTRODE SLEND BALL 26055N-S,$899.28 
ELECTRODE SLEND KNIFE 26055L-S,$806.40 
ELECTRODE SLEND LOOP 26055G-S,$806.40 
ELECTRODE SPATULA 5/33CM 4150,$180.00 
ELECTRODE SPATULA LAP 098-4180,$240.00 
ELECTRODE ST LOOP 24FR 27050J,$808.80 
ELECTRODE SUBDURAL VG04A-IS00X-OKG,"$2,970.00 "
ELECTRODE VAPO CUT 24F 27050WG,"$1,112.82 "
ELECTRODES FOR NIM 9450003,"$2,252.10 "
ELECTRO-LUBE EL101,$144.00 
ELEMENTAL TISSUE MATRIX AM-010125,"$4,449.38 "
ELEVATE SYSTEM W/INTEXEN LP,"$8,085.00 "
ELEVATOR PASSING   SC-4230,$300.00 
ELITE LASER 2.0MM 7F 420-159,"$11,532.50 "
ELITE LASER 2.3MM 7F 423-001,"$11,532.50 "
ELITE LASER 2.5MM 8F 425-011,"$11,532.50 "
ELLIPSE DR ICD,"$32,800.00 "
ELTROMBOPAG OLAMINE 25 MG PO TABS ,$943.47 
ELVIEW SUBMUCCOASL 10CC AGENT,$486.00 
ELVITEG-COBIC-EMTRICIT-TENOFAF 150-150-200-10 MG PO TABS ,$522.99 
ELVITEG-COBIC-EMTRICIT-TENOFDF 150-150-200-300 MG PO TABS ,$646.38 
EMBOSPHERE MICRO 300-500,"$1,440.00 "
EMBOSPHERE MICRO 500-700,"$1,440.00 "
EMBOSPHERE MICRO 700-900,"$1,440.00 "
EMBOSPHERES 100-300,"$1,110.90 "
EMERGENCY ADD-ON FEE,$900.00 
EMG NIMS ETT,"$2,217.30 "
EMPAGLIFLOZIN 10 MG PO TABS ,$93.93 
EMTRICITABINE 200 MG PO CAPS ,$112.24 
EMTRICITABINE-TENOFOVIR AF 200-25 MG PO TABS ,$350.55 
EMTRICITABINE-TENOFOVIR DF 200-300 MG PO TABS ,$350.55 
EMTRICITAB-RILPIVIR-TENOFOV DF 200-25-300 MG PO TABS ,$560.78 
ENALAPRIL MALEATE 10 MG PO TABS ,$12.25 
ENALAPRIL MALEATE 2.5 MG PO TABS ,$24.50 
ENALAPRIL MALEATE 20 MG PO TABS ,$12.25 
ENALAPRIL MALEATE 5 MG PO TABS ,$12.25 
ENALAPRILAT 1.25 MG/ML IV INJ ,$42.00 
END CAP 04.008.000,"$1,518.00 "
END CAP 04.008.000S,"$1,903.14 "
END CAP 04.008.001S,"$1,903.14 "
END CAP 0MM 04.001.003,"$1,344.00 "
END CAP 0MM 04.004.000,"$1,408.44 "
END CAP 0MM 04.004.008,"$1,896.00 "
END CAP 0MM 462.660S,"$1,617.96 "
END CAP 10MM 04.004.002S,"$2,310.00 "
END CAP 10MM 04.004.010,"$1,810.02 "
END CAP 10MM 04.004.010S,"$2,240.70 "
END CAP 10MM 62410041,"$4,170.60 "
END CAP 11MM 6276111,"$5,938.14 "
END CAP 15MM 04.004.011S,"$2,240.70 "
END CAP 1822-0015S,"$1,960.20 "
END CAP 5MM 04.001.001S,"$1,734.36 "
END CAP 5MM 04.003.006,"$1,452.00 "
END CAP 5MM 04.004.001,"$1,810.02 "
END CAP 5MM 04.004.009,"$2,240.70 "
ENDCAP TIBIAL 1812-00-001,$969.60 
ENDO BABCOCK CLAMP 5MM BB5,$736.80 
ENDO FB3.0 FLOATING BALL 12-201-1,"$3,762.50 "
ENDO GIA STAPLER USUEGIAUSTND,"$1,959.30 "
ENDO POUCH 8X5 LARGE C-LSP-8-5,$384.30 
ENDOBRONCH LEFT,$298.20 
ENDOFLATOR 15-105,$240.00 
ENDOGUIDE 28MM HELI-FX HG-16-62-28,"$6,163.50 "
ENDOGUIDE STEERABLE SG-64,"$6,163.50 "
ENDOPROSTHESIS  PLC271400,"$16,180.50 "
ENDOPROSTHESIS  THORACIC TGU373715,"$31,000.00 "
ENDOPROSTHESIS THORACIC TGU454520,"$31,000.00 "
ENDOVENOUS BASIC PACK  9507001,$297.00 
ENEMA 7-19 GM/118ML RE ENEM ,$1.00 
ENEMA MINERAL OIL RE ENEM ,$3.00 
ENOXAPARIN SODIUM 100 MG/ML SC SOLN ,$72.62 
ENOXAPARIN SODIUM 120 MG/0.8ML SC SOLN ,$140.64 
ENOXAPARIN SODIUM 150 MG/ML SC SOLN ,$96.10 
ENOXAPARIN SODIUM 30 MG/0.3ML SC SOLN ,$42.00 
ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN ,$43.54 
ENOXAPARIN SODIUM 60 MG/0.6ML SC SOLN ,$53.66 
ENOXAPARIN SODIUM 80 MG/0.8ML SC SOLN ,$61.66 
ENSEAL G2 SUPER JAW NSEALX22L,"$3,444.00 "
ENSEAL X1 LARGE JAW NSLX120L,"$3,684.24 "
ENTACAPONE 200 MG PO TABS ,$19.44 
ENTECAVIR 0.5 MG PO TABS ,$250.44 
ENTERAL DRAINAGE SYS W/ENFIT 500ML 150CM EXT TUBE CLAMP,$36.30 
ENTUIT GASTROSTOMY 12FR,$429.72 
ENTUIT GASTROSTOMY 14FR,$429.72 
ENTUIT SMALL INITIAL PLACEMENT SET,$560.70 
ENVELOPE CORMATRIX CANGAROO LARGE,"$5,910.00 "
ENVELOPE CORMATRIX MED,"$5,910.00 "
ENVELOPE CORMATRIX XLG,"$5,910.00 "
ENVELOPE NEURO MEDIUM ABSORBABLE ANTIBACTERIAL 2.5 X 2.7,"$5,970.00 "
ENVELOPE TYRX ICD CMRM,"$5,970.00 "
ENVELOPE TYRX PM CMRM,"$5,970.00 "
EPHEDRINE SULFATE 50 MG/ML INJ/IV SOLN WR ,$97.73 
EPINEPHRINE 0.15 MG/0.3ML IJ SOAJ ,$764.91 
EPINEPHRINE 0.3 MG/0.3ML IJ SOAJ ,$885.90 
EPINEPHRINE 8 MCG/ML INFUSION PREMIX ,$138.00 
EPINEPHRINE 8 MCG/ML INFUSION PREMIXED FOR ANES ,$139.00 
EPINEPHRINE HCL (NASAL) 0.1 % NA SOLN ,"$1,151.64 "
EPINEPHRINE PF 1 MG/10ML IJ SOSY ,$51.28 
EPINEPHRINE PF 1 MG/ML IJ SOLN ,$12.25 
EPIPHYSIS BODY 1100-30-100,"$3,727.50 "
EPIPHYSIS BODY 1100-60-100,"$3,727.50 "
EPIPHYSIS BODY SZ 14.5 1100-50-100,"$3,727.50 "
EPIPHYSIS CUP 130720203,"$11,163.11 "
EPIPHYSIS SZ 2 LT 130720202,"$11,197.55 "
EPIPHYSYS SZ 1 LEFT 130720102,"$11,163.11 "
EPISIL MT LIQD ,$834.22 
EPLERENONE 25 MG PO TABS ,$12.25 
EPOETIN ALFA 10000 UNIT/ML IJ SOLN ,$624.52 
EPOETIN ALFA 2000 UNIT/ML IJ SOLN ,$260.10 
EPOETIN ALFA 20000 UNIT/ML IJ SOLN ,"$1,307.38 "
EPOETIN ALFA 3000 UNIT/ML IJ SOLN ,$377.65 
EPOETIN ALFA 40000 UNIT/ML IJ SOLN ,"$2,423.13 "
EPTIFIBATIDE 75 MG/100ML IV SOLN ,"$1,352.80 "
ERGOLOID MESYLATES 1 MG PO TABS ,$28.86 
ERLOTINIB HCL 100 MG PO TABS ,"$1,299.75 "
ERLOTINIB HCL 150 MG PO TABS ,"$1,271.96 "
ERLOTINIB HCL 25 MG PO TABS ,$955.32 
ERYTHROMYCIN 5 MG/GM OP OINT ,$12.25 
ERYTHROMYCIN BASE 250 MG PO CPEP ,$29.25 
ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML PO SUSR ,"$1,468.77 "
ERYTHROMYCIN ETHYLSUCCINATE 400 MG PO TABS ,$73.78 
ERYTHROMYCIN STEARATE 250 MG PO TABS ,$12.25 
ESCITALOPRAM OXALATE 10 MG PO TABS ,$12.25 
ESCITALOPRAM OXALATE 20 MG PO TABS ,$12.25 
ESCITALOPRAM OXALATE 5 MG/5ML PO SOLN ,$12.25 
ESLICARBAZEPINE ACETATE 200 MG PO TABS ,$169.40 
ESLICARBAZEPINE ACETATE 800 MG PO TABS ,$46.35 
ESMOLOL HCL 100 MG/10ML IV SOLN ,$138.00 
ESMOLOL HCL-SODIUM CHLORIDE 10-0.59 MG/ML-% IV SOLN ,"$1,856.50 "
ESMOLOL HCL-SODIUM CHLORIDE 2500 MG/250ML IV SOLN ,"$1,856.50 "
ESOMEPRAZOLE MAGNESIUM 40 MG PO CPDR ,$12.25 
ESSURE PERMANENT BIRTH CONTROL,"$6,475.00 "
EST ESTROGENS-METHYLTEST 0.625-1.25 MG PO TABS ,$12.25 
