HOSPITAL,DESCRIPTION, STD CHARGE 
UPMC PINNACLE MEMORIAL,NECK SOFT TISSUE,$402.00 
UPMC PINNACLE MEMORIAL,FLUOROSCOPY UP TO 1 HOUR,$339.00 
UPMC PINNACLE MEMORIAL,LUMBAR BENDING VIEWS MIN 4V,$203.00 
UPMC PINNACLE MEMORIAL,KNEE 1 OR 2 VIEWS - LT,$258.00 
UPMC PINNACLE MEMORIAL,KNEE 3 VIEWS - LT,$295.00 
UPMC PINNACLE MEMORIAL,KNEE COMP MIN 4 VIEWS - LT,$332.00 
UPMC PINNACLE MEMORIAL,TIBIA FIBULA 2 VIEWS - LT,$482.00 
UPMC PINNACLE MEMORIAL,LOW EXT INFANT 2V - LT,$162.00 
UPMC PINNACLE MEMORIAL,ANKLE 2 VIEWS - LT,$279.00 
UPMC PINNACLE MEMORIAL,ANKLE COMP MIN 3V - LT,$355.00 
UPMC PINNACLE MEMORIAL,FOOT 2 VIEWS - LT,$279.00 
UPMC PINNACLE MEMORIAL,FOOT COMP MIN 3V - LT,$355.00 
UPMC PINNACLE MEMORIAL,CALCANEUS MIN 2V - LT,$430.00 
UPMC PINNACLE MEMORIAL,TOE(S) MIN 2V - LT,$139.00 
UPMC PINNACLE MEMORIAL,HYSTEROSALPINGOGRAM,"$1,120.00 "
UPMC PINNACLE MEMORIAL,RAD GUID FOR PERC DRAINAGE WITH CATH PLACE,$492.00 
UPMC PINNACLE MEMORIAL,ARTERIOGRAM ABD AORTA,"$5,036.00 "
UPMC PINNACLE MEMORIAL,ANGIOGRAM EXT UNIL SI,"$9,211.00 "
UPMC PINNACLE MEMORIAL,ANG EXT BIL,"$9,211.00 "
UPMC PINNACLE MEMORIAL,ARTERIO VISCERAL ARTERY,"$5,605.00 "
UPMC PINNACLE MEMORIAL,VENOGRAM EXT UNIL SI,"$1,983.00 "
UPMC PINNACLE MEMORIAL,REMOVE CVA DEVICE OBST,$689.00 
UPMC PINNACLE MEMORIAL,FLUOROSCOPY MORE THAN 1 HOUR,$718.00 
UPMC PINNACLE MEMORIAL,NOSE TO RECTUM FB CHILD 1V,$275.00 
UPMC PINNACLE MEMORIAL,BONE AGE STUDIES T-F,$348.00 
UPMC PINNACLE MEMORIAL,BONE LENGTH STUDIES,$762.00 
UPMC PINNACLE MEMORIAL,BONE SURVEY COMPLETE,"$2,024.00 "
UPMC PINNACLE MEMORIAL,DEXA AXIAL,$250.00 
UPMC PINNACLE MEMORIAL,SURGICAL SPECIMEN,$293.00 
UPMC PINNACLE MEMORIAL,FL LOC NDL-CTH EPIDRLETC INJ,$493.00 
UPMC PINNACLE MEMORIAL,ENTIRE SPINE 1 VIEW,$558.00 
UPMC PINNACLE MEMORIAL,HIP 2-3V W-WO PELVIS - RT,$475.00 
UPMC PINNACLE MEMORIAL,FLUORO LOC NEEDLE BX-ASP,$276.00 
UPMC PINNACLE MEMORIAL,CTA CHEST W-WO CNTRST,"$1,537.00 "
UPMC PINNACLE MEMORIAL,CT LOW DOSE LUNG CA SCREEN,$597.00 
UPMC PINNACLE MEMORIAL,CT BRAIN W-O CONTRAST,$870.00 
UPMC PINNACLE MEMORIAL,CT BRAIN W-CONTRAST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT BRAIN W-WO CONTRAST,"$1,517.00 "
UPMC PINNACLE MEMORIAL,CT ORB-SELLA-EAR W-O CONTRAST,$870.00 
UPMC PINNACLE MEMORIAL,CT ORB-SELLA-EAR W-CONTRAST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT MAXOFACIAL W-O CONTRAST,$870.00 
UPMC PINNACLE MEMORIAL,CT MAXOFACIAL W-CONTRAST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT MAXOFACIAL W-WO CONTRAST,"$1,517.00 "
UPMC PINNACLE MEMORIAL,CT SFT TIS NECK W-O CONTRAST,$870.00 
UPMC PINNACLE MEMORIAL,CT SFT TIS NECK W-CONTRAST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CTA HEAD W-WO CONTRAST,"$1,537.00 "
UPMC PINNACLE MEMORIAL,CTA NECK W-WO CONTRAST,"$1,537.00 "
UPMC PINNACLE MEMORIAL,CT CHEST W-O CONTRAST,$870.00 
UPMC PINNACLE MEMORIAL,CT CHEST W-CONTRAST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT CHEST W-WO CONTRAST,"$1,517.00 "
UPMC PINNACLE MEMORIAL,CTA HEART SELFPAY,"$1,540.00 "
UPMC PINNACLE MEMORIAL,CALCIUM SCORE SELFPAY,$275.00 
UPMC PINNACLE MEMORIAL,CTA/CALCIUM SCORE COMB SELFPAY,"$1,692.00 "
UPMC PINNACLE MEMORIAL,CT ABDOMEN - PELVIS W-O CNTRST,"$1,840.00 "
UPMC PINNACLE MEMORIAL,CT ABDOMEN - PELVIS W-CNTRST,"$2,636.00 "
UPMC PINNACLE MEMORIAL,CT ABDOMEN - PELVIS W-WO CON,"$2,636.00 "
UPMC PINNACLE MEMORIAL,CT CALC SCR&LUNG CASCR SELFPAY,$308.00 
UPMC PINNACLE MEMORIAL,CTA ABDOMEN-PELVIS W-WO CTR,"$2,110.00 "
UPMC PINNACLE MEMORIAL,CT LUNG CANCER SCRN SELFPAY,$275.00 
UPMC PINNACLE MEMORIAL,CT PELVIS W-O CONTRAST,$870.00 
UPMC PINNACLE MEMORIAL,CT PELVIS W-CONTRAST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT COLONOGRAPHY SCREENING,"$2,636.00 "
UPMC PINNACLE MEMORIAL,CT UPPER EXT W-O CNTRST - LT,$870.00 
UPMC PINNACLE MEMORIAL,CT UPPER EXT W- CNTRST - LT,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CTA UEXT W-WO CNTRST - LT,"$1,537.00 "
UPMC PINNACLE MEMORIAL,CT UPPER EXT W-O CNTRST - RT,$870.00 
UPMC PINNACLE MEMORIAL,CT UPPER EXT W- CNTRST - RT,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT LOW EXT W-O CONT - LT,$870.00 
UPMC PINNACLE MEMORIAL,CT LOW EXT W CONT - LT,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT LOW EXT W-O CONT - RT,$870.00 
UPMC PINNACLE MEMORIAL,CT LOW EXT W CONT - RT,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CTA LEXT W-WO CNTRST - LT,"$1,537.00 "
UPMC PINNACLE MEMORIAL,CT ABDOMEN W-O CONTRAST,$870.00 
UPMC PINNACLE MEMORIAL,CT ABDOMEN W-CONTRAST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT ABDOMEN W-WO CONTRAST,"$1,517.00 "
UPMC PINNACLE MEMORIAL,CTA ABDOMEN W-WO CONTRAST,"$1,537.00 "
UPMC PINNACLE MEMORIAL,COLONOGRAPHY W-O CONTRAST DX,"$1,839.00 "
UPMC PINNACLE MEMORIAL,CT CERVICAL W-O CONTRAST,$870.00 
UPMC PINNACLE MEMORIAL,CT THORACIC W-O CNTRST,$870.00 
UPMC PINNACLE MEMORIAL,CT THORACIC W- CNTRST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CT LUMBAR W-O CNTRST,$870.00 
UPMC PINNACLE MEMORIAL,CT LUMBAR W- CNTRST,"$1,366.00 "
UPMC PINNACLE MEMORIAL,CTA ABD AO BI FEM W-WO CNT,"$1,537.00 "
UPMC PINNACLE MEMORIAL,CT GUIDED NEEDLE BIOPSY,"$1,940.00 "
UPMC PINNACLE MEMORIAL,ASP-INJ MAJ JOINT HIPSHLDKN W-O US,$714.00 
UPMC PINNACLE MEMORIAL,ASP-INJ MAJ JOINT HIPSHLDKN W-US W- PMN,$667.00 
UPMC PINNACLE MEMORIAL,PUNC ASP BREAST CYST,$480.00 
UPMC PINNACLE MEMORIAL,FINE NEEDLE ASP,"$1,415.00 "
UPMC PINNACLE MEMORIAL,PERICARDIOCENTESIS INITIAL,"$1,047.00 "
UPMC PINNACLE MEMORIAL,IABP-ADDL PROCEDURE,"$2,307.00 "
UPMC PINNACLE MEMORIAL,STEREOTCTC BRST BX EA ADD - LT,"$1,412.00 "
UPMC PINNACLE MEMORIAL,ABD PARACENTESIS W-IMAGING,"$1,668.00 "
UPMC PINNACLE MEMORIAL,INS CATH REN ART 1ST BILAT,"$6,954.00 "
UPMC PINNACLE MEMORIAL,THORACENTESIS W-IMAGING GUID,"$1,199.00 "
UPMC PINNACLE MEMORIAL,THROMBOLYTIC ART THERAPY,"$4,823.00 "
UPMC PINNACLE MEMORIAL,THROMBOLYTIC VEN THERAPY,"$4,823.00 "
UPMC PINNACLE MEMORIAL,THROMBOLYTIC ART-VEN THERAPY,"$4,823.00 "
UPMC PINNACLE MEMORIAL,CESSATION TX CATH REMOVAL,"$4,823.00 "
UPMC PINNACLE MEMORIAL,STEREOTCTC BRST BX 1ST LES - LT,"$2,824.00 "
UPMC PINNACLE MEMORIAL,STEREOTCTC BRST BX 1ST LES - RT,"$2,824.00 "
UPMC PINNACLE MEMORIAL,PERC NDL BX LUNG-MEDIASTINUM,"$2,871.00 "
UPMC PINNACLE MEMORIAL,TUNL INS CTR VEN CATH WO P 5Y,"$4,833.00 "
UPMC PINNACLE MEMORIAL,INS PICC W-O SUBCU PRT-PMP 5Y,"$1,867.00 "
UPMC PINNACLE MEMORIAL,RPL CMP T CV CTH WO P-P SAM VA,"$5,593.00 "
UPMC PINNACLE MEMORIAL,PICC EXCHANGE,"$1,876.00 "
UPMC PINNACLE MEMORIAL,RMVL TNL CTR VN CTH WO PRT-PMP,"$1,539.00 "
UPMC PINNACLE MEMORIAL,RMVL TNL CVD W-PT-PMP CT-PR IN,"$1,539.00 "
UPMC PINNACLE MEMORIAL,MCHRMV FIB SHTH CVD SEP VA,"$5,099.00 "
UPMC PINNACLE MEMORIAL,INJ HIP ARTH,$278.00 
UPMC PINNACLE MEMORIAL,INJ SHLDR ARTH,$480.00 
UPMC PINNACLE MEMORIAL,MAM GUIDE PLC LOC DEV,"$1,511.00 "
UPMC PINNACLE MEMORIAL,PERC NDL BX LIVER,"$3,160.00 "
UPMC PINNACLE MEMORIAL,NEEDLE BX PROSTATE,"$3,659.00 "
UPMC PINNACLE MEMORIAL,SCP SEG-SUBSEG PULM ART,"$11,270.00 "
UPMC PINNACLE MEMORIAL,INTRO CATH MAIN PULM ART,"$11,270.00 "
UPMC PINNACLE MEMORIAL,SCP LT-RT PULM ART,"$11,270.00 "
UPMC PINNACLE MEMORIAL,SCP VENOUS 2ND OR BRANCH,"$2,743.00 "
UPMC PINNACLE MEMORIAL,INTRO CATH AORTA T-F,"$2,743.00 "
UPMC PINNACLE MEMORIAL,SCP ART 1ST ORD THOR - BRACH,"$2,743.00 "
UPMC PINNACLE MEMORIAL,SCP ART 1ST ORD ABD-PEL-LEXT,"$1,862.00 "
UPMC PINNACLE MEMORIAL,SCP ART 2ND ORD ABD-PEL-LEXT,"$1,862.00 "
UPMC PINNACLE MEMORIAL,SCP ART 3RD ORD ABD-PEL-LEXT,"$1,862.00 "
UPMC PINNACLE MEMORIAL,ENDOVENOUS RF 1ST VEIN,"$8,363.00 "
UPMC PINNACLE MEMORIAL,DECLOT BY THROMB AGT VASC ACC,$441.00 
UPMC PINNACLE MEMORIAL,INJ CYSTOGRAM - VCUG,$374.00 
UPMC PINNACLE MEMORIAL,CNTRST INJ CVAD W-FL,$820.00 
UPMC PINNACLE MEMORIAL,VENOUS MECH THROMBECTOMY,"$3,740.00 "
UPMC PINNACLE MEMORIAL,US BREAST BX 1ST LES - LT,"$2,178.00 "
UPMC PINNACLE MEMORIAL,US BREAST BX 1ST LES - RT,"$2,178.00 "
UPMC PINNACLE MEMORIAL,US BREAST BX EA ADD - RT,"$1,076.00 "
UPMC PINNACLE MEMORIAL,PUNC ASP ABSC HEMATMA CYST,$480.00 
UPMC PINNACLE MEMORIAL,CNTRST INJ EVAL GI TB W-IMAG,$521.00 
UPMC PINNACLE MEMORIAL,TRNSCATH RETRIEV INTRVSC FB,"$9,458.00 "
UPMC PINNACLE MEMORIAL,ILIAC REVASC W-STENT,"$10,333.00 "
UPMC PINNACLE MEMORIAL,PERC CHOLECYSTOSTOMY,$769.00 
UPMC PINNACLE MEMORIAL,INJECTION FOR CHOLANGIOGRAM EXISTING CATH,"$1,134.00 "
UPMC PINNACLE MEMORIAL,CATH INTRO SALINE-CNTR HYSTERO,$374.00 
UPMC PINNACLE MEMORIAL,NDL BX LYMPH NODE SPRFIC,"$3,865.00 "
UPMC PINNACLE MEMORIAL,SENTINAL NODE NO IMAG,$601.00 
UPMC PINNACLE MEMORIAL,LUMBAR SPINAL PUNC DIAG,"$1,231.00 "
UPMC PINNACLE MEMORIAL,GAST ROOM PER MINUTE,$244.37 
UPMC PINNACLE MEMORIAL,OR TIME LVL 1 PER MINUTE,$93.71 
UPMC PINNACLE MEMORIAL,OR TIME LVL 2 PER MINUTE,$131.15 
UPMC PINNACLE MEMORIAL,OR TIME LVL 3 PER MINUTE,$172.38 
UPMC PINNACLE MEMORIAL,ROBOTIC DA VINCI PER MINUTE,$24.29 
UPMC PINNACLE MEMORIAL,ANESTH SVCS EXCL CRNA PER MINUTE,$29.30 
UPMC PINNACLE MEMORIAL,INJ EPIDURAL BLD OR CLOT PATCH,$790.00 
UPMC PINNACLE MEMORIAL,LITHOTRIPSY SINGLE,"$8,096.00 "
UPMC PINNACLE MEMORIAL,MOD SED SAME PHYS-QHP 5-YRS,$642.00 
UPMC PINNACLE MEMORIAL,MOD SED SAME PHYS-QHP EA,$267.00 
UPMC PINNACLE MEMORIAL,MYOCARD PRF SPCT MULT INCL,"$3,889.00 "
UPMC PINNACLE MEMORIAL,NM HEPATOBILIARY-GB NO PHARM,"$1,347.00 "
UPMC PINNACLE MEMORIAL,NM HEPATBIL-GB W-PHARM EF,"$1,347.00 "
UPMC PINNACLE MEMORIAL,PULMONARY VENTILATION IMAGING,$771.00 
UPMC PINNACLE MEMORIAL,NM LUNG VENT - PERF IMAGING,"$1,356.00 "
UPMC PINNACLE MEMORIAL,THYROID UPTAKE SCAN,"$1,108.00 "
UPMC PINNACLE MEMORIAL,PARATHYROID IMG W-SPECT-CT,"$2,401.00 "
UPMC PINNACLE MEMORIAL,NM TUMOR LOC WB MULT DAY,"$2,090.00 "
UPMC PINNACLE MEMORIAL,LYMPH IMAG,$786.00 
UPMC PINNACLE MEMORIAL,GASTRIC EMPTY,"$2,019.00 "
UPMC PINNACLE MEMORIAL,ACU GASTRO BL LOS,"$1,376.00 "
UPMC PINNACLE MEMORIAL,BONE LIMIT,"$1,000.00 "
UPMC PINNACLE MEMORIAL,BONE WHOLE BOD,"$1,741.00 "
UPMC PINNACLE MEMORIAL,BONE THREE PHASE,"$2,102.00 "
UPMC PINNACLE MEMORIAL,BONE SPECT,"$1,741.00 "
UPMC PINNACLE MEMORIAL,MUGA,"$2,419.00 "
UPMC PINNACLE MEMORIAL,PUL PER PARTIC,"$1,356.00 "
UPMC PINNACLE MEMORIAL,THYROID CA MET IMAG WHOLE BODY,"$1,624.00 "
UPMC PINNACLE MEMORIAL,KIDNEY IMAG W- PHARM MULTI,$934.00 
UPMC PINNACLE MEMORIAL,TUMOR LOCALIZATION SPECT,"$3,420.00 "
UPMC PINNACLE MEMORIAL,ABSCESS LIM,"$2,537.00 "
UPMC PINNACLE MEMORIAL,TRANSFUSION BLOOD OR BLOOD COMPONENTS,"$1,045.00 "
UPMC PINNACLE MEMORIAL,DIG BREAST TOMO - LT,$36.00 
UPMC PINNACLE MEMORIAL,SCRN BREAST TOMO UNILAT,$63.00 
UPMC PINNACLE MEMORIAL,DIG BREAST TOMO - RT,$36.00 
UPMC PINNACLE MEMORIAL,DIG BREAST TOMO BILAT,$67.00 
UPMC PINNACLE MEMORIAL,SCRN BREAST TOMO BILAT,$67.00 
UPMC PINNACLE MEMORIAL,BI SCRN MAMMO LEFT W-CAD,$477.00 
UPMC PINNACLE MEMORIAL,BI SCRN MAMMO RIGHT W-CAD,$477.00 
UPMC PINNACLE MEMORIAL,UNI DIAG MAMMO LEFT W-CAD,$430.00 
UPMC PINNACLE MEMORIAL,BI SCRN MAMMO BILAT W-CAD,$479.00 
UPMC PINNACLE MEMORIAL,BI DIAG MAMMO BILAT W-CAD,$469.00 
UPMC PINNACLE MEMORIAL,UNI DIAG MAMMO RIGHT W-CAD,$430.00 
UPMC PINNACLE MEMORIAL,US JOINT COMP,$388.00 
UPMC PINNACLE MEMORIAL,US JOINT OR OTHER NON VASC EXT LIMITED,$540.00 
UPMC PINNACLE MEMORIAL,US GUID VASC AC,$389.00 
UPMC PINNACLE MEMORIAL,US HEAD,$565.00 
UPMC PINNACLE MEMORIAL,US THYROID - NECK,$914.00 
UPMC PINNACLE MEMORIAL,US CHEST,$838.00 
UPMC PINNACLE MEMORIAL,US BREAST LIM - LT,$581.00 
UPMC PINNACLE MEMORIAL,US BREAST COMP - LT,$581.00 
UPMC PINNACLE MEMORIAL,US BREAST BILAT LIM,$581.00 
UPMC PINNACLE MEMORIAL,US BREAST COMP - RT,$581.00 
UPMC PINNACLE MEMORIAL,US BREAST LIM - RT,$581.00 
UPMC PINNACLE MEMORIAL,US ABDOMEN COMPLETE,"$1,196.00 "
UPMC PINNACLE MEMORIAL,US ABDOMEN LIMITED,$855.00 
UPMC PINNACLE MEMORIAL,US RETROPERITONEAL COMP,$855.00 
UPMC PINNACLE MEMORIAL,US RETROPERITONEAL LIMITED,$771.00 
UPMC PINNACLE MEMORIAL,US OB 14 WKS SINGLE FETUS,$792.00 
UPMC PINNACLE MEMORIAL,US OB 14 WKS EA ADDL FETUS,$239.00 
UPMC PINNACLE MEMORIAL,US OB -=14 WKS SINGLE FETUS,"$1,071.00 "
UPMC PINNACLE MEMORIAL,US OB DETAILED SINGLE FETUS,"$1,195.00 "
UPMC PINNACLE MEMORIAL,US OB LIMITED ONE-MORE FETUSES,$647.00 
UPMC PINNACLE MEMORIAL,US OB FOLLOWUP PER FETUS,$802.00 
UPMC PINNACLE MEMORIAL,US OB TRANSVAGINAL,"$1,071.00 "
UPMC PINNACLE MEMORIAL,US FETAL BIO PRO WO STRS-NSTRS,$978.00 
UPMC PINNACLE MEMORIAL,US TRANSVAGINAL,$864.00 
UPMC PINNACLE MEMORIAL,US PELVIS COMPLETE,$742.00 
UPMC PINNACLE MEMORIAL,US PELVIS LIMITED,$504.00 
UPMC PINNACLE MEMORIAL,US SCROTUM,$914.00 
UPMC PINNACLE MEMORIAL,US TRANSRECTAL,$460.00 
UPMC PINNACLE MEMORIAL,US FOR AAA SCREENING,$405.00 
UPMC PINNACLE MEMORIAL,US GUIDED NEEDLE PLCMNT,$389.00 
UPMC PINNACLE MEMORIAL,US-GUIDE INTRAOPERATIVE,$654.00 
UPMC PINNACLE MEMORIAL,PET TUMOR IMG SKL BS-MID TH-PS,"$6,105.00 "
UPMC PINNACLE MEMORIAL,PET TUMOR IMG LIMITED AREA-PI,"$6,581.00 "
UPMC PINNACLE MEMORIAL,PET TUMOR IMG SKL BS-MID TH-PI,"$6,105.00 "
UPMC PINNACLE MEMORIAL,PET TUMOR IMG WHOLE BODY-PI,"$6,105.00 "
UPMC PINNACLE MEMORIAL,AEROSOL INHALATION SUBS,$106.00 
UPMC PINNACLE MEMORIAL,CONT POS AIRWAY PRESSURE SUBS,$935.00 
UPMC PINNACLE MEMORIAL,AEROSOL INHALATION,$158.00 
UPMC PINNACLE MEMORIAL,CHEST PT; SUBSEQUENT,$75.00 
UPMC PINNACLE MEMORIAL,VENT ASSIST MGMT-SUBSQ,$485.00 
UPMC PINNACLE MEMORIAL,INTUBATION ASSIST,$200.00 
UPMC PINNACLE MEMORIAL,CONT INH TRMT W-ARSL 1ST HR,$229.00 
UPMC PINNACLE MEMORIAL,CONT INH TRMT W-ARSL EAADL HR,$129.00 
UPMC PINNACLE MEMORIAL,INCENTIVE SPIROMETRY RX,$177.00 
UPMC PINNACLE MEMORIAL,CAR SEAT-BED TEST + 30 MIN,$241.00 
UPMC PINNACLE MEMORIAL,CONT POSITIVE AIRWAY PRESSURE,$328.00 
UPMC PINNACLE MEMORIAL,METERED DOSE INHALER SUBSE,$161.00 
UPMC PINNACLE MEMORIAL,VENT ASSIST MGMT INIT,$485.00 
UPMC PINNACLE MEMORIAL,METERED DOSE INHALER,$177.00 
UPMC PINNACLE MEMORIAL,CHEST PT; INIT OR EVAL,$160.00 
UPMC PINNACLE MEMORIAL,PERCUSS AND POST DRAIN-PEP,$218.00 
UPMC PINNACLE MEMORIAL,INJ ANES AGENT TRIGEM NRVE,$254.00 
UPMC PINNACLE MEMORIAL,INJ ANESTH GRTR OCCIPITAL NRV,$254.00 
UPMC PINNACLE MEMORIAL,ASP-INJ INTRMED JT-WRST ANKL W-O US,$408.00 
UPMC PINNACLE MEMORIAL,ASP-INJ MAJ JOINT HIPSHLDKN W-O US,$902.00 
UPMC PINNACLE MEMORIAL,REMOVE EMBEDDED FB EYELID,$408.00 
UPMC PINNACLE MEMORIAL,ID FOREIGN BODY SIMPLE,$254.00 
UPMC PINNACLE MEMORIAL,ID HEMATOMA T-F,$408.00 
UPMC PINNACLE MEMORIAL,INS PICC W-O SUBCU PRT-PMP 5Y,$902.00 
UPMC PINNACLE MEMORIAL,CARDIOPULMONARY RESUSCITATION,$495.00 
UPMC PINNACLE MEMORIAL,NON TUNL INS CTR VEN CATH 5Y,$902.00 
UPMC PINNACLE MEMORIAL,NASO-ORO GASTRIC TB PLC,$408.00 
UPMC PINNACLE MEMORIAL,ED VISIT LEVEL 1,$522.00 
UPMC PINNACLE MEMORIAL,ED VISIT LEVEL 2,$592.00 
UPMC PINNACLE MEMORIAL,ED VISIT LEVEL 3,$709.00 
UPMC PINNACLE MEMORIAL,ED VISIT LEVEL 4,"$1,061.00 "
UPMC PINNACLE MEMORIAL,ED VISIT LEVEL 5,"$1,609.00 "
UPMC PINNACLE MEMORIAL,CRITICAL CARE FIRST HOUR,"$2,544.00 "
UPMC PINNACLE MEMORIAL,ID ABSCESS SIMPLE,$408.00 
UPMC PINNACLE MEMORIAL,ID ABSCESS COMP-MULT,$902.00 
UPMC PINNACLE MEMORIAL,ID PILONIDAL CYST SIM,$408.00 
UPMC PINNACLE MEMORIAL,ID FOREIGN BODY COMP,$408.00 
UPMC PINNACLE MEMORIAL,AVUL NAIL PL PART-COMP SIN SIM,$254.00 
UPMC PINNACLE MEMORIAL,EVAC SUBUNG HEMATOMA,$254.00 
UPMC PINNACLE MEMORIAL,SIM REP S-N-T-E 2.5 CM,$254.00 
UPMC PINNACLE MEMORIAL,SIM REP S-N-T-E 2.6-7.5 CM,$254.00 
UPMC PINNACLE MEMORIAL,SIM REP S-N-T-E 7.6-12.5 CM,$254.00 
UPMC PINNACLE MEMORIAL,SIM REP S-N-T-E 12.6-20.0 CM,$254.00 
UPMC PINNACLE MEMORIAL,SIM REP F-E-E-N-L 2.5 CM,$254.00 
UPMC PINNACLE MEMORIAL,SIM REP F-E-E-N-L 2.6-5.0 CM,$254.00 
UPMC PINNACLE MEMORIAL,SIM REP F-E-E-N-L 5.1-7.5 CM,$254.00 
UPMC PINNACLE MEMORIAL,INT REP S-A-T-E 2.5 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP S-A-T-E 2.6-7.5 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP S-A-T-E 7.6-12.5 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP S-A-T-E 12.6-20.0 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP N-H-F 2.5 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP N-H-F 2.6-7.5 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP N-H-F 7.6-12.5 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP F-E-E-N-L 2.5 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP F-E-E-N-L 2.6-5.0 CM,$408.00 
UPMC PINNACLE MEMORIAL,INT REP F-E-E-N-L 7.6-12.5 CM,$408.00 
UPMC PINNACLE MEMORIAL,COMP REP S-A-L 2.6-7.5 CM,$902.00 
UPMC PINNACLE MEMORIAL,COMP REP F-C-C-M-N-H-F 2.6-7.5,$902.00 
UPMC PINNACLE MEMORIAL,COMP REP E-N-E-L 2.6-7.5 CM,$902.00 
UPMC PINNACLE MEMORIAL,BURN DRG-DB INT-SUB W-OANES SM,$902.00 
UPMC PINNACLE MEMORIAL,CLSD RX ACROMIOCL DISL W-O MAN,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX SHL DIS W-MAN-W-O ANS,$902.00 
UPMC PINNACLE MEMORIAL,CLSD ELBOW DISL W-O ANES,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX RAD HEAD SUBLUX CHILD,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX RAD-ULN SHFT FX W-O MN,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX RAD-ULN SHFT FX W- MN,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX DIST RAD FX W-O MAN,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX DIST RAD FX W- MAN,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX METACARPAL FX W-O MAN,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX METACARPAL FX W- MAN,$408.00 
UPMC PINNACLE MEMORIAL,CLRX CARPOMETA DISL NOT THUMB,$408.00 
UPMC PINNACLE MEMORIAL,CLRX METACARPOPH DIS SNG W-MN,$408.00 
UPMC PINNACLE MEMORIAL,CLRX PHL SHFT FX PROX-MDL W-O,$254.00 
UPMC PINNACLE MEMORIAL,CLRX PHL SHFT FX PROX-MDL W- M,$254.00 
UPMC PINNACLE MEMORIAL,CLRX INTRPHAL JNT DSL SGL W-MN,$254.00 
UPMC PINNACLE MEMORIAL,CLSD RX BIMALL FX W-O MAN,$408.00 
UPMC PINNACLE MEMORIAL,CLSD RX TRIMALL FX W-O MAN,$408.00 
UPMC PINNACLE MEMORIAL,APPL SPL LONG ARM,$408.00 
UPMC PINNACLE MEMORIAL,APPL SPL SHT ARM STATIC,$408.00 
UPMC PINNACLE MEMORIAL,APPL FINGER SPLINT,$254.00 
UPMC PINNACLE MEMORIAL,APPL LONG LEG SPLINT,$408.00 
UPMC PINNACLE MEMORIAL,APPL SHORT LEG SPLINT,$408.00 
UPMC PINNACLE MEMORIAL,REM FB INTRANAS OFF TYPE PROC,$254.00 
UPMC PINNACLE MEMORIAL,CONTROL NAS HEMORRHAGE ANT SIM,$408.00 
UPMC PINNACLE MEMORIAL,CONTROL NAS HEMORRHAGE ANT CMP,$408.00 
UPMC PINNACLE MEMORIAL,CNT NAS HEMOR PST PCK-CAUT INT,$408.00 
UPMC PINNACLE MEMORIAL,INTUB ENDOTRACH EMER PROC,$902.00 
UPMC PINNACLE MEMORIAL,REP LAC2.5 CM MTH-ANT 2-3 TNG,$408.00 
UPMC PINNACLE MEMORIAL,ID PERITONSILLAR ABSCESS,$408.00 
UPMC PINNACLE MEMORIAL,ID PERIRECTAL ABSCESS,$902.00 
UPMC PINNACLE MEMORIAL,INCIS THROMBOSES HEMORHOID EXT,$408.00 
UPMC PINNACLE MEMORIAL,EXC EXT THROMBOTIC HEMORRHOID,$408.00 
UPMC PINNACLE MEMORIAL,ID BARTHOLINS CYST,$408.00 
UPMC PINNACLE MEMORIAL,REM FB EXT EYE CONJ SUPRF,$254.00 
UPMC PINNACLE MEMORIAL,REM FB EXT EYE CORN W-O SLTLMP,$254.00 
UPMC PINNACLE MEMORIAL,REM FB EXT EYE CORN W- SLTLMP,$408.00 
UPMC PINNACLE MEMORIAL,DRN EXT EAR ABS-HEMATOMA SIM,$254.00 
