"Category","Department","Charge","Cost"
"LABOR DELIVERY","LABOR & DELIVERY","CERVICAL CERCLAGE",$1119.63
"LABOR DELIVERY","LABOR & DELIVERY","C-SEC EMERG W/MAJOR SURGERY",$6829.72
"LABOR DELIVERY","LABOR & DELIVERY","C-SEC EMERG W/MINOR SURG",$4366.54
"LABOR DELIVERY","LABOR & DELIVERY","C-SEC NON-EMERG W/MAJOR SURGER",$3470.84
"LABOR DELIVERY","LABOR & DELIVERY","C-SEC NON-EMERG W/MINOR SURG",$2239.25
"LABOR DELIVERY","LABOR & DELIVERY","DBL SET-UP OR FAILED FORC/VAC",$223.93
"LABOR DELIVERY","LABOR & DELIVERY","DELIVERIES OUTSIDE THE DEPT",$1343.55
"LABOR DELIVERY","LABOR & DELIVERY","DILATION & CURETTAGE (D&C)",$1007.66
"LABOR DELIVERY","LABOR & DELIVERY","DILATION & EVACUATION (D&E)",$1007.66
"LABOR DELIVERY","LABOR & DELIVERY","EXTERNAL VERSIONS",$1119.63
"LABOR DELIVERY","LABOR & DELIVERY","FET DEM/TERM 2 3 TRI W/EPIDUR",$4030.66
"LABOR DELIVERY","LABOR & DELIVERY","FETAL DEMISE/TERM 2  3 TRIMEST",$3358.88
"LABOR DELIVERY","LABOR & DELIVERY","HYSTERECT UNSCHED (NO OR MIN)",$4254.58
"LABOR DELIVERY","LABOR & DELIVERY","INDUCT/AUGMENT (C/S, VAG) ADD",$447.85
"LABOR DELIVERY","LABOR & DELIVERY","ITRUTERINE PRESS CATH MONITOR",$223.93
"LABOR DELIVERY","LABOR & DELIVERY","MAJ PRO EME OR NON-EME W/O DEL",$4254.58
"LABOR DELIVERY","LABOR & DELIVERY","MATERN ICU(2 RVU/HR UP TO 24H",$223.93
"LABOR DELIVERY","LABOR & DELIVERY","MIN PRO EME OR NON-EME W/O DEL",$895.70
"LABOR DELIVERY","LABOR & DELIVERY","MULTIPLE BIRTH: TRIPLETS",$1007.66
"LABOR DELIVERY","LABOR & DELIVERY","MULTIPLE BIRTH: TWINS",$671.78
"LABOR DELIVERY","LABOR & DELIVERY","NEONAT RESUSC W/APGAR <6@1 MIN",$447.85
"LABOR DELIVERY","LABOR & DELIVERY","NON-STRESS TEST",$559.81
"LABOR DELIVERY","LABOR & DELIVERY","OXYTOCIN STRESS TEST",$559.81
"LABOR DELIVERY","LABOR & DELIVERY","VAG BIRTH W/EPIDURAL/VAC/FORC",$3582.80
"LABOR DELIVERY","LABOR & DELIVERY","VAGINAL BIRTH (NO ANESTH W/O C",$2687.10
"LABOR DELIVERY","LABOR & DELIVERY","VAGINAL BIRTH PREV C-SEC(VBAC)",$3582.80
"LABOR DELIVERY","LABOR & DELIVERY","VAGINAL BIRTH W/EPIDURAL",$3358.88
"LABOR DELIVERY","LABOR & DELIVERY","VAGINAL BIRTH W/VACUUM/FORCEPS",$2911.03
"LABORATORY","BACTERIOLOGY","ACTINO CULTURE",$51.50
"LABORATORY","BACTERIOLOGY","AEROBIC CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","AFB CULTURE",$123.60
"LABORATORY","BACTERIOLOGY","AFB TB STAIN",$41.20
"LABORATORY","BACTERIOLOGY","ANAEROBIC CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","ANEROBIC FINAL ID",$20.60
"LABORATORY","BACTERIOLOGY","ANEROBIC QUANTITATIVE CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","ANTI-BODY TREPONEMA PALLIDUM",$35.02
"LABORATORY","BACTERIOLOGY","ASO-STREPTOZYME",$30.90
"LABORATORY","BACTERIOLOGY","ATHENA ANA",$30.90
"LABORATORY","BACTERIOLOGY","BAL QUANT CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","BETA LACTAMASE",$10.30
"LABORATORY","BACTERIOLOGY","BETA STREP CULTURE (OTHER)",$41.20
"LABORATORY","BACTERIOLOGY","BLOOD CULTURE W/ ARD",$82.40
"LABORATORY","BACTERIOLOGY","BRONCHIAL BRUSH, QUAN",$82.40
"LABORATORY","BACTERIOLOGY","BRONCHIAL BRUSHING CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","BRONCHIAL LAVAGE CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","BRONCHIAL WASHING CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","C. DIFFICILE TOXIN PROBE",$247.20
"LABORATORY","BACTERIOLOGY","CAMPY EIA",$51.50
"LABORATORY","BACTERIOLOGY","CANDIDA DNA PROBE",$247.20
"LABORATORY","BACTERIOLOGY","CERVIX CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","CHGCULT",$20.60
"LABORATORY","BACTERIOLOGY","CHLAM DNA AMP PROBE",$92.70
"LABORATORY","BACTERIOLOGY","CHLAMYDIA GEN - PROBE CHDNA",$92.70
"LABORATORY","BACTERIOLOGY","CLO TEST",$41.20
"LABORATORY","BACTERIOLOGY","CLOSTRIDIUM TOXIN",$51.50
"LABORATORY","BACTERIOLOGY","COLD AGGLUTININ",$53.56
"LABORATORY","BACTERIOLOGY","CRYGIA PROBE",$247.20
"LABORATORY","BACTERIOLOGY","CRYPTOCOCCAL ANTIGEN TITRE",$51.50
"LABORATORY","BACTERIOLOGY","CRYPTOSPORIDIUM EIA",$51.50
"LABORATORY","BACTERIOLOGY","CRYTOCCAL ANTIGEN EIA",$51.50
"LABORATORY","BACTERIOLOGY","CRYTOSPORIDIM AG DSX",$51.50
"LABORATORY","BACTERIOLOGY","CSF CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","EAR CULTURE/GRAM STAIN",$82.40
"LABORATORY","BACTERIOLOGY","ECOLI SMAC",$20.60
"LABORATORY","BACTERIOLOGY","ENV CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","EPSTEIN BARR VIRUS EARLY AG",$67.98
"LABORATORY","BACTERIOLOGY","EPSTEIN BARR VIRUS NUCLEAR AG",$67.98
"LABORATORY","BACTERIOLOGY","EPSTEIN BARR VIRUS VCA IGG",$96.82
"LABORATORY","BACTERIOLOGY","EPSTEIN BARR VIRUS VCA IGM",$96.82
"LABORATORY","BACTERIOLOGY","ETEST SENSITIVITY",$20.60
"LABORATORY","BACTERIOLOGY","EYE CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","FECAL OCCULT BLOOD SCREEN",$10.30
"LABORATORY","BACTERIOLOGY","FINAL YEAST ID",$20.60
"LABORATORY","BACTERIOLOGY","FOB (FECAL LACTOFERRIN - FL)",$51.50
"LABORATORY","BACTERIOLOGY","FUNGAL SMEAR",$41.20
"LABORATORY","BACTERIOLOGY","FUNGUS CULT HAIR,SKIN,NAILS",$51.50
"LABORATORY","BACTERIOLOGY","FUNGUS CULTURE",$51.50
"LABORATORY","BACTERIOLOGY","GARD VAGINALIS SCREEN",$247.20
"LABORATORY","BACTERIOLOGY","GASTRIC OCCULT BLOOD",$8.24
"LABORATORY","BACTERIOLOGY","GASTRIC PH",$16.48
"LABORATORY","BACTERIOLOGY","GC CULTURE",$41.20
"LABORATORY","BACTERIOLOGY","GC DNA AMP PROBE",$92.70
"LABORATORY","BACTERIOLOGY","GC DNA PROBE - GCDNA",$92.70
"LABORATORY","BACTERIOLOGY","GENITAL CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","GIARDIA AG DSX",$51.50
"LABORATORY","BACTERIOLOGY","GIARDIA EIA",$51.50
"LABORATORY","BACTERIOLOGY","GRAM STAIN",$41.20
"LABORATORY","BACTERIOLOGY","GROUP B SCREEN",$247.20
"LABORATORY","BACTERIOLOGY","GROUP B STREP SUSCEPTABILITY",$20.60
"LABORATORY","BACTERIOLOGY","H. PYLORI ANTIBODY",$51.50
"LABORATORY","BACTERIOLOGY","HEPATITIS B SURFACE ANTIGEN",$51.50
"LABORATORY","BACTERIOLOGY","HOMOGEN OF TISSUE FOR CULTURE",$309.00
"LABORATORY","BACTERIOLOGY","ID FINAL MOLD",$20.60
"LABORATORY","BACTERIOLOGY","ID FINAL YEAST",$20.60
"LABORATORY","BACTERIOLOGY","IDENT ORG ID",$20.60
"LABORATORY","BACTERIOLOGY","INDIA INK",$16.48
"LABORATORY","BACTERIOLOGY","INFECTIOUS MONO SCREEN",$15.40
"LABORATORY","BACTERIOLOGY","INFLUENZA A",$51.50
"LABORATORY","BACTERIOLOGY","INFLUENZA B",$51.50
"LABORATORY","BACTERIOLOGY","INVASIVE LINE CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","KIRBY BAUER ENTEROCOCCUS PANEL",$20.60
"LABORATORY","BACTERIOLOGY","KIRBY BAUER GRAM NEGATIVE PANE",$20.60
"LABORATORY","BACTERIOLOGY","KIRBY BAUER PNEUMOCOCCAL PANEL",$20.60
"LABORATORY","BACTERIOLOGY","KIRBY BAUER SPEC GRAM NEG PANE",$20.60
"LABORATORY","BACTERIOLOGY","KIRBY BAUER STAPH PANEL",$20.60
"LABORATORY","BACTERIOLOGY","KOH PREP",$16.48
"LABORATORY","BACTERIOLOGY","LACTOFERRIN STOOL",$16.48
"LABORATORY","BACTERIOLOGY","LEGIONELLA CULTURE",$41.20
"LABORATORY","BACTERIOLOGY","LEGIONELLA UR AG",$51.50
"LABORATORY","BACTERIOLOGY","LEUKO STOOL",$10.30
"LABORATORY","BACTERIOLOGY","LIAT FLU INFLUENZA TEST",$329.61
"LABORATORY","BACTERIOLOGY","LIATSS - RAPID STREP",$247.20
"LABORATORY","BACTERIOLOGY","LYMES EIA",$51.50
"LABORATORY","BACTERIOLOGY","MANUAL MIC",$20.60
"LABORATORY","BACTERIOLOGY","MIC GRAM NEGATIVE PANEL",$20.60
"LABORATORY","BACTERIOLOGY","MIC PNEUMOCOCCAL PANEL",$20.60
"LABORATORY","BACTERIOLOGY","MIC STAPH PANEL",$20.60
"LABORATORY","BACTERIOLOGY","MICRO BROTH CONCEN",$41.20
"LABORATORY","BACTERIOLOGY","MRSA SCREEN CULTURE",$41.20
"LABORATORY","BACTERIOLOGY","MULTI RESISTANT ORG SCREEN",$41.20
"LABORATORY","BACTERIOLOGY","MUMPS EIA",$41.20
"LABORATORY","BACTERIOLOGY","NASOPHARYNGEAL CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","NEIS MENINGITIS SCREEN",$41.20
"LABORATORY","BACTERIOLOGY","NOCARD CULTURE",$51.50
"LABORATORY","BACTERIOLOGY","OCCULT BLOOD",$10.30
"LABORATORY","BACTERIOLOGY","PERTUSSIS",$41.20
"LABORATORY","BACTERIOLOGY","PERTUSSIS CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","PINWORM EXAM",$12.36
"LABORATORY","BACTERIOLOGY","QUANTITATIVE CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","RAPID HIV-I SEROLOGY",$51.50
"LABORATORY","BACTERIOLOGY","RAPID MRSA",$247.20
"LABORATORY","BACTERIOLOGY","RGBS PCR",$247.20
"LABORATORY","BACTERIOLOGY","RHEU FACTOR SCREEN",$16.48
"LABORATORY","BACTERIOLOGY","RHEU FACTOR TITER",$20.60
"LABORATORY","BACTERIOLOGY","RMRSA PCR",$247.20
"LABORATORY","BACTERIOLOGY","ROTAVIRUS",$51.50
"LABORATORY","BACTERIOLOGY","RPR",$16.48
"LABORATORY","BACTERIOLOGY","RPR QUAN",$20.60
"LABORATORY","BACTERIOLOGY","RSV",$51.50
"LABORATORY","BACTERIOLOGY","SHIGA TOXIN 1",$51.50
"LABORATORY","BACTERIOLOGY","SHIGA TOXIN 2",$51.50
"LABORATORY","BACTERIOLOGY","SINUS CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","SPN-UR",$51.50
"LABORATORY","BACTERIOLOGY","SPUTUM CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","STAPH SCREEN FOR PRE-OP PATIEN",$41.20
"LABORATORY","BACTERIOLOGY","STOOL CULTURE",$61.80
"LABORATORY","BACTERIOLOGY","STREP SCREEN, RAPID",$51.50
"LABORATORY","BACTERIOLOGY","STREP THROAT CULTURE",$41.20
"LABORATORY","BACTERIOLOGY","STREPTOZYME",$24.72
"LABORATORY","BACTERIOLOGY","STREPTOZYME TITRE",$51.50
"LABORATORY","BACTERIOLOGY","TB CONCENTRATION",$41.20
"LABORATORY","BACTERIOLOGY","TB IDENTIFICATION WORK",$156.56
"LABORATORY","BACTERIOLOGY","THROAT CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","TRICH DNA PROBE",$92.70
"LABORATORY","BACTERIOLOGY","URETHRA CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","URINE CULTURE",$41.20
"LABORATORY","BACTERIOLOGY","VAGINAL CULTURE",$82.40
"LABORATORY","BACTERIOLOGY","VANC RESISTANT SCREEN",$41.20
"LABORATORY","BACTERIOLOGY","VIRAL TEST SEROLOGY",$51.50
"LABORATORY","BACTERIOLOGY","VITAMIN D 25-HYDROXY",$30.90
"LABORATORY","BACTERIOLOGY","WET PREP TRICH",$16.48
"LABORATORY","BACTERIOLOGY","YEAST CULTURE",$51.50
"LABORATORY","BACTERIOLOGY","YEAST SUSCEPTIBILITY",$20.60
"LABORATORY","BLOOD BANK","ARC AUTOLOGOUS LEUKO-RED RBC",$442.91
"LABORATORY","BLOOD BANK","ARC DIRECTED LEUKO-RED RBC",$442.91
"LABORATORY","BLOOD BANK","SPLITTING BLOOD PROD EA UNIT",$41.20
"LABORATORY","BLOOD TEST","ANTIBODY SCREEN--PREWARM",$24.72
"LABORATORY","BLOOD TEST","ANTIBODY SCREEN-SALINE REP.",$24.72
"LABORATORY","BLOOD TEST","ARC AB ID PER RGT CELL",$24.72
"LABORATORY","BLOOD TEST","ARC ABO TYPING",$8.24
"LABORATORY","BLOOD TEST","ARC ANTIBODY ABSORPTION",$206.00
"LABORATORY","BLOOD TEST","ARC ANTIBODY ID",$61.80
"LABORATORY","BLOOD TEST","ARC ANTIBODY SCREEN",$24.72
"LABORATORY","BLOOD TEST","ARC ANTIGEN ON PT",$30.90
"LABORATORY","BLOOD TEST","ARC CMV NEG PRODUCT",$30.90
"LABORATORY","BLOOD TEST","ARC COMPAT ANTIGLOBULIN",$20.60
"LABORATORY","BLOOD TEST","ARC COOMBS TEST DIRECT",$16.48
"LABORATORY","BLOOD TEST","ARC ELUTION",$41.20
"LABORATORY","BLOOD TEST","ARC HGB S NEG PRODUCT",$20.60
"LABORATORY","BLOOD TEST","ARC HLA AB ID",$82.40
"LABORATORY","BLOOD TEST","ARC HLA ANTIBODY SCREEN",$82.40
"LABORATORY","BLOOD TEST","ARC HLA TYPING (A,B,C)",$257.50
"LABORATORY","BLOOD TEST","ARC IGG TITER",$65.92
"LABORATORY","BLOOD TEST","ARC PLATELET ANTIBODY ID",$103.00
"LABORATORY","BLOOD TEST","ARC PLATELET ANTIBODY SCREEN",$103.00
"LABORATORY","BLOOD TEST","ARC PRETREAT RBC,INCL W ENZ EA",$63.86
"LABORATORY","BLOOD TEST","ARC PRETREAT RBCS,INCUB W CHEM",$63.86
"LABORATORY","BLOOD TEST","ARC PRETREAT SERUM,DILUTION",$63.86
"LABORATORY","BLOOD TEST","ARC PRETREAT SERUM,INC W INHIB",$63.86
"LABORATORY","BLOOD TEST","ARC PRETREAT SERUM,INCL W DRUG",$63.86
"LABORATORY","BLOOD TEST","ARC RETIC SEPARATION, PRETREAT",$63.86
"LABORATORY","BLOOD TEST","ARC RH TYPING",$8.24
"LABORATORY","BLOOD TEST","ATB ID, RBC ATB, EA PANEL",$61.80
"LABORATORY","BLOOD TEST","ATB SCREEN RBC, EA TECHNIQUE",$24.72
"LABORATORY","BLOOD TEST","AUTO ABSORB",$206.00
"LABORATORY","BLOOD TEST","AUTOLOGOUS BLD,COLL,PROC,STORE",$350.21
"LABORATORY","BLOOD TEST","BL TYP,RBC ANTIG OT ABO/RH EA",$30.90
"LABORATORY","BLOOD TEST","BLOOD SALVAGE-ARC CANCELED",$1081.52
"LABORATORY","BLOOD TEST","BLOOD SALVAGE-ARC INTRA",$1081.52
"LABORATORY","BLOOD TEST","BLOOD SALVAGE-ARC STAND-BY",$1081.52
"LABORATORY","BLOOD TEST","BLOOD SALVAGE-FRES CANCELED",$1081.52
"LABORATORY","BLOOD TEST","BLOOD SALVAGE-FRES INTRA",$1081.52
"LABORATORY","BLOOD TEST","BLOOD SALVAGE-FRES STAND-BY",$1081.52
"LABORATORY","BLOOD TEST","BLOOD TYPING RH(D)",$8.24
"LABORATORY","BLOOD TEST","BLOOD TYPING, ABO",$8.24
"LABORATORY","BLOOD TEST","CHG-AGW",$30.90
"LABORATORY","BLOOD TEST","CHG-ARC AGSCPTS",$24.72
"LABORATORY","BLOOD TEST","CHG-ARCAGU",$30.90
"LABORATORY","BLOOD TEST","COMPAT TEST INCUBAT (PRE-WARM)",$2.06
"LABORATORY","BLOOD TEST","COMPATIBILITY, ANTIGLOB TECHNI",$20.60
"LABORATORY","BLOOD TEST","COMPLETE Rh PHENOTYPE JARC",$61.80
"LABORATORY","BLOOD TEST","COOMBS TEST DIRECT,POLYSPECIFI",$16.48
"LABORATORY","BLOOD TEST","COOMBS TEST IGg",$16.48
"LABORATORY","BLOOD TEST","COOMBS TEST,INDIRECT QUAL EACH",$24.72
"LABORATORY","BLOOD TEST","CROSSMATCH--SALINE REP.",$16.48
"LABORATORY","BLOOD TEST","CRYOPRECIPITATE THAWING",$8.24
"LABORATORY","BLOOD TEST","ELUATE",$41.20
"LABORATORY","BLOOD TEST","FETAL-MATERNAL HEM SCREEN",$30.90
"LABORATORY","BLOOD TEST","FFP THAWING",$8.24
"LABORATORY","BLOOD TEST","IGG QUAN TITER",$65.92
"LABORATORY","BLOOD TEST","IMM SPIN CROSSMATCH",$16.48
"LABORATORY","BLOOD TEST","pH ON PLAT FOR BAC DET",$30.90
"LABORATORY","BLOOD TEST","PLATELET SALVAGE/TRANSFER",$1081.52
"LABORATORY","BLOOD TEST","PRENATAL 1",$156.56
"LABORATORY","BLOOD TEST","PRETREATMENT OF RBC,ENZYME",$63.86
"LABORATORY","BLOOD TEST","UNIT ABO RECHECK",$8.24
"LABORATORY","BLOOD TEST","UNIT RH RECHECK",$8.24
"LABORATORY","BLOOD TEST","VOL REDUC BLOOD PROD",$41.20
"LABORATORY","CHEMISTRY","ACETAMINOPHEN",$30.90
"LABORATORY","CHEMISTRY","ALBUMIN",$4.12
"LABORATORY","CHEMISTRY","ALKALINE PHOSPHATASE",$4.12
"LABORATORY","CHEMISTRY","ALPHA-1 ANTITRYPSIN",$30.90
"LABORATORY","CHEMISTRY","AMMONIA",$41.20
"LABORATORY","CHEMISTRY","AMY (CHG-AMY)",$12.36
"LABORATORY","CHEMISTRY","AMYLASE",$12.36
"LABORATORY","CHEMISTRY","AMYLASE URINE",$12.36
"LABORATORY","CHEMISTRY","AMYLASE, BODY FLUID",$12.36
"LABORATORY","CHEMISTRY","ANTI NUCLEAR ANTIBODY",$30.90
"LABORATORY","CHEMISTRY","B NATIURETIC PEPTIDE",$61.80
"LABORATORY","CHEMISTRY","BASIC METABOLIC (BMP)",$22.66
"LABORATORY","CHEMISTRY","BETA-2 MICROGLOBULIN",$30.90
"LABORATORY","CHEMISTRY","BETA-HYDROXYBUTYRATE",$26.78
"LABORATORY","CHEMISTRY","BF GLUCOSE",$8.24
"LABORATORY","CHEMISTRY","BF LDH",$8.24
"LABORATORY","CHEMISTRY","BF PROTEIN",$20.60
"LABORATORY","CHEMISTRY","BF PROTEIN",$4.12
"LABORATORY","CHEMISTRY","BF SPECIFIC GRAVITY",$8.24
"LABORATORY","CHEMISTRY","BILIRUBIN-TOTAL",$12.36
"LABORATORY","CHEMISTRY","BNP-TYPE NATRIUTIC PEPTIDE",$61.80
"LABORATORY","CHEMISTRY","BUN",$4.12
"LABORATORY","CHEMISTRY","C REACT PROTEIN QUAN (CRP)",$30.90
"LABORATORY","CHEMISTRY","CA 125",$67.98
"LABORATORY","CHEMISTRY","CALCIUM",$4.12
"LABORATORY","CHEMISTRY","CALCIUM URINE 24HR",$20.60
"LABORATORY","CHEMISTRY","CALCIUM URINE RANDOM",$4.12
"LABORATORY","CHEMISTRY","CANCER ANTIGEN 19.9 QUAINT",$67.98
"LABORATORY","CHEMISTRY","CARBAMAZEPINE",$30.90
"LABORATORY","CHEMISTRY","CARBON DIOXIDE",$4.12
"LABORATORY","CHEMISTRY","CEA",$51.50
"LABORATORY","CHEMISTRY","CERULOPLASMIN",$30.90
"LABORATORY","CHEMISTRY","CERUPLASMIN",$30.90
"LABORATORY","CHEMISTRY","CHLORIDE",$4.12
"LABORATORY","CHEMISTRY","CHLORIDE URINE RANDOM",$20.60
"LABORATORY","CHEMISTRY","CHLORIDE, 24 HR URINE",$20.60
"LABORATORY","CHEMISTRY","CHOLESTEROL",$8.24
"LABORATORY","CHEMISTRY","CK MB",$30.90
"LABORATORY","CHEMISTRY","CL, RANDOM UR",$20.60
"LABORATORY","CHEMISTRY","COMP METABOLIC (CMP)",$30.90
"LABORATORY","CHEMISTRY","COMPLEMENT C3",$51.50
"LABORATORY","CHEMISTRY","COMPLEMENT C-3",$51.50
"LABORATORY","CHEMISTRY","COMPLEMENT C4",$51.50
"LABORATORY","CHEMISTRY","COMPLEMENT C-4",$51.50
"LABORATORY","CHEMISTRY","CORTISOL",$30.90
"LABORATORY","CHEMISTRY","CORTISOL RANDOM",$30.90
"LABORATORY","CHEMISTRY","CPK",$12.36
"LABORATORY","CHEMISTRY","CREATININE",$4.12
"LABORATORY","CHEMISTRY","CREATININE CLEAR 24HR",$24.72
"LABORATORY","CHEMISTRY","CREATININE RANDOM URINE",$20.60
"LABORATORY","CHEMISTRY","CREATININE URINE 24 HR",$20.60
"LABORATORY","CHEMISTRY","CRP HIGH SENSITIVITY",$32.96
"LABORATORY","CHEMISTRY","CSF GLUCOSE",$8.24
"LABORATORY","CHEMISTRY","CSF PROTEIN",$20.60
"LABORATORY","CHEMISTRY","CSF PROTEIN",$4.12
"LABORATORY","CHEMISTRY","DIGOXIN",$30.90
"LABORATORY","CHEMISTRY","DIRECT BILIRUBIN",$12.36
"LABORATORY","CHEMISTRY","DIRECT LDL",$30.90
"LABORATORY","CHEMISTRY","DRUGS OF ABUSE SCREEN, QUAL",$131.84
"LABORATORY","CHEMISTRY","EBV EARLY-ANTIGEN ANTIBODY IgG",$67.98
"LABORATORY","CHEMISTRY","ECTASY (MDMA)",$16.48
"LABORATORY","CHEMISTRY","ELECTROLYTES",$16.48
"LABORATORY","CHEMISTRY","EPSTEIN BARR NUCLEAR AG IGG",$67.98
"LABORATORY","CHEMISTRY","EPSTEIN BARR VCA AB IGM",$96.82
"LABORATORY","CHEMISTRY","EPSTEIN BARR VCA IGG",$96.82
"LABORATORY","CHEMISTRY","ESTRADIOL",$30.90
"LABORATORY","CHEMISTRY","FERNING TEST, AMNIOTIC FLUID",$30.90
"LABORATORY","CHEMISTRY","FERRITIN",$30.90
"LABORATORY","CHEMISTRY","FETAL FIBRONECTIN",$360.51
"LABORATORY","CHEMISTRY","FOLATE",$30.90
"LABORATORY","CHEMISTRY","FREE KAPPA",$30.90
"LABORATORY","CHEMISTRY","FREE LAMBDA",$30.90
"LABORATORY","CHEMISTRY","FREE T3",$30.90
"LABORATORY","CHEMISTRY","FSH",$30.90
"LABORATORY","CHEMISTRY","GENTAMICIN",$30.90
"LABORATORY","CHEMISTRY","GGTP",$4.12
"LABORATORY","CHEMISTRY","GLUC TOL-3 SPEC",$30.90
"LABORATORY","CHEMISTRY","GLUCOSE",$8.24
"LABORATORY","CHEMISTRY","GLUCOSE (NONFASTING)",$8.24
"LABORATORY","CHEMISTRY","GLUCOSE WITH GLUCOLA",$8.24
"LABORATORY","CHEMISTRY","GTT-ADDITIONAL SPEC",$8.24
"LABORATORY","CHEMISTRY","HBSAG",$51.50
"LABORATORY","CHEMISTRY","HCG QUALITATIVE",$20.60
"LABORATORY","CHEMISTRY","HCG QUAN",$49.44
"LABORATORY","CHEMISTRY","HDL CHOLESTEROL",$30.90
"LABORATORY","CHEMISTRY","HEPATITIS B SURFACE AG",$51.50
"LABORATORY","CHEMISTRY","HEPATITUS B SURFACE AB",$41.20
"LABORATORY","CHEMISTRY","HEPATITUS C AB SCREEN",$51.50
"LABORATORY","CHEMISTRY","HGB A1C",$41.20
"LABORATORY","CHEMISTRY","HIV AG/AB COMBO (EIA)",$51.50
"LABORATORY","CHEMISTRY","HIV ANTIBODY",$51.50
"LABORATORY","CHEMISTRY","HIV P24 ANTIGEN",$51.50
"LABORATORY","CHEMISTRY","IGA",$30.90
"LABORATORY","CHEMISTRY","IGG",$30.90
"LABORATORY","CHEMISTRY","IGM",$30.90
"LABORATORY","CHEMISTRY","IMMUNOELECTROPHERESIS, URINE",$90.64
"LABORATORY","CHEMISTRY","IMMUNOELECTROPHORESIS UR SERUM",$82.40
"LABORATORY","CHEMISTRY","INSULIN",$30.90
"LABORATORY","CHEMISTRY","IONIZED CALCIUM",$30.90
"LABORATORY","CHEMISTRY","IRON",$12.36
"LABORATORY","CHEMISTRY","LACTIC ACID",$41.20
"LABORATORY","CHEMISTRY","LDH",$8.24
"LABORATORY","CHEMISTRY","LDL DIRECT",$30.90
"LABORATORY","CHEMISTRY","LIPASE",$16.48
"LABORATORY","CHEMISTRY","LIPID PANEL",$39.14
"LABORATORY","CHEMISTRY","LITHIUM",$30.90
"LABORATORY","CHEMISTRY","LIVER PANEL",$22.66
"LABORATORY","CHEMISTRY","LUTEINIZING HORMONE",$51.50
"LABORATORY","CHEMISTRY","LYMES IgG",$51.50
"LABORATORY","CHEMISTRY","LYMES IgM",$51.50
"LABORATORY","CHEMISTRY","MAGNESIUM",$12.36
"LABORATORY","CHEMISTRY","MAGNESIUM URINE 24 HR",$12.36
"LABORATORY","CHEMISTRY","MICROALBUMIN, URINE",$30.90
"LABORATORY","CHEMISTRY","MICROSOMIAL ANTIBODY (THYROID)",$45.32
"LABORATORY","CHEMISTRY","MUMPS",$41.20
"LABORATORY","CHEMISTRY","OSMALITY SERUM",$20.60
"LABORATORY","CHEMISTRY","OSMALITY URINE",$20.60
"LABORATORY","CHEMISTRY","OXYCODONE URINE",$20.60
"LABORATORY","CHEMISTRY","PARATHYROID HORMONE, INTACT",$30.90
"LABORATORY","CHEMISTRY","pH",$16.48
"LABORATORY","CHEMISTRY","PHENOBARBITAL",$30.90
"LABORATORY","CHEMISTRY","PHENYTOIN",$30.90
"LABORATORY","CHEMISTRY","PHOSPHORUS",$4.12
"LABORATORY","CHEMISTRY","PHOSPHORUS URINE 24HR",$20.60
"LABORATORY","CHEMISTRY","POTASSIUM",$8.24
"LABORATORY","CHEMISTRY","POTASSIUM URINE 24 HR",$20.60
"LABORATORY","CHEMISTRY","POTASSIUM URINE RANDOM",$20.60
"LABORATORY","CHEMISTRY","PREALBUMIN",$30.90
"LABORATORY","CHEMISTRY","PROGESTERONE",$30.90
"LABORATORY","CHEMISTRY","PROLACTIN",$41.20
"LABORATORY","CHEMISTRY","PROSTATIC SPEC ANTIGEN (PSA)",$41.20
"LABORATORY","CHEMISTRY","PROTEIN ELEC",$51.50
"LABORATORY","CHEMISTRY","PROTEIN ELECT, URINE",$51.50
"LABORATORY","CHEMISTRY","PROTEIN, URINE",$20.60
"LABORATORY","CHEMISTRY","PSA, SCREEN",$41.20
"LABORATORY","CHEMISTRY","RENAL PANEL",$24.72
"LABORATORY","CHEMISTRY","RUBELLA ANTIBODY IgG",$30.90
"LABORATORY","CHEMISTRY","SALICYLATE",$30.90
"LABORATORY","CHEMISTRY","SGOT (AST)",$4.12
"LABORATORY","CHEMISTRY","SGPT (ALT)",$4.12
"LABORATORY","CHEMISTRY","SODIUM",$4.12
"LABORATORY","CHEMISTRY","SODIUM URINE 24 HR",$20.60
"LABORATORY","CHEMISTRY","SODIUM URINE RANDOM",$20.60
