CDM Description,CDM Price,,,The information contained in this file is being provided in compliance with the Centers for Medicare and Medicaid Services (CMS) requirement [FY 2019 IPPS/LTCH PPS Final Rule; CMS-1694-F] ,
CARBAMAZEPINE TAB SR 100MG,$1.30 ,,,,
CARBAMAZEPINE TAB SR 200MG,$1.85 ,,,,
CARBAMAZEPINE TDA,$299.00 ,,,,
CARBAMIDE PEROX OTIC SOL 15ML,$4.00 ,,,,
CARBAMIDE PEROX SOL 15ML,$7.70 ,,,,
CARBIDOPA/LEVO TAB 10/100MG,$1.10 ,,,,
CARBIDOPA/LEVO TAB 12.5/50MG,$1.05 ,,,,
CARBIDOPA/LEVO TAB 25/100MG,$1.20 ,,,,
CARBIDOPA/LEVO TAB 25/250MG,$1.20 ,,,,
CARBIDOPA/LEVO TAB SR 25/100MG,$1.20 ,,,,
CARBON DIOXIDE (BICARB),$38.00 ,,,,
CARBOPLATIN VL 150MG,$620.00 ,,,,
CARBOPLATIN VL 50MG,$122.00 ,,,,
CARBOPROST TROM AMP 250MCG 1ML,$520.00 ,,,,
CARBOXYHEMOGLOBIN QN,$231.00 ,,,,
CARBOXYMETHYL EYE SOL 1% 0.3ML,$1.30 ,,,,
CARCINOEMBRYONIC AG (CEA),$165.00 ,,,,
CARDIAC REH IP PHSE 1 W MONTR,$209.00 ,,,,
CARDIAC REH OP PHSE 2 W MONTR,$209.00 ,,,,
CARDIAC REH OP PHSE 2 WO MONTR,$156.00 ,,,,
CARDIOLIPIN AB IGG,$293.00 ,,,,
CARDIOLIPIN AB IGM,$293.00 ,,,,
CARDIOPULMONARY RESUSCITATION,$388.00 ,,,,
CARDIOVERSION EXTERNAL,"$1,206.00 ",,,,
CARISOPRODOL TAB 350MG,$3.10 ,,,,
CARMUSTINE VL 100MG,$306.00 ,,,,
CARVEDILOL TAB 12.5MG,$1.05 ,,,,
CARVEDILOL TAB 25MG,$1.05 ,,,,
CARVEDILOL TAB 3.125MG,$1.05 ,,,,
CASPOFUNGIN VL 50MG,$233.00 ,,,,
CASPOFUNGIN VL 70 MG,$240.00 ,,,,
CASTOR OIL 60ML,$3.10 ,,,,
CATH DRAINAGE LEVEL 2,$330.00 ,,,,
CATHETER OTHER LEVEL 1,$83.00 ,,,,
CBC,$87.00 ,,,,
CBC W AUTO DIFF,$95.00 ,,,,
C-COLLAR FOAM OTS L1,$66.00 ,,,,
C-COLLAR SRGD L1,$134.00 ,,,,
CEFACLOR CAP 250MG,$1.85 ,,,,
CEFAZOLIN INTRAOCULAR 100MG,$94.00 ,,,,
CEFAZOLIN IV PREMIX 1GM,$95.00 ,,,,
CEFAZOLIN IV PREMIX 2GM,$100.00 ,,,,
CEFAZOLIN VL 1GM,$69.00 ,,,,
CEFDINIR CAP 300MG,$1.85 ,,,,
CEFDINIR SUSP 125MG/5ML 1ML,$15.00 ,,,,
CEFEPIME VL 1GM,$77.00 ,,,,
CEFEPIME VL 2GM,$86.00 ,,,,
CEFOTAXIME VL 1GM,$72.00 ,,,,
CEFOTAXIME VL 2GM,$76.00 ,,,,
CEFOTAXIME VL 500MG,$71.00 ,,,,
CEFOXITIN 1GM/100ML NS,$98.00 ,,,,
CEFOXITIN VL 1GM,$76.00 ,,,,
CEFOXITIN VL 2GM,$84.00 ,,,,
CEFPROZIL SUSP 250MG/5ML 1ML,$15.00 ,,,,
CEFPROZIL TAB 250MG,$4.70 ,,,,
CEFTAROLINE VL 600MG 20ML,$353.00 ,,,,
CEFTAZIDIME INTRAOCULAR 4.5MG,$99.00 ,,,,
CEFTAZIDIME VL 1GM,$74.00 ,,,,
CEFTAZIDIME VL 2GM,$80.00 ,,,,
CEFTRIAXONE VL 1GM,$70.00 ,,,,
CEFTRIAXONE VL 250MG,$69.00 ,,,,
CEFTRIAXONE VL 2GM,$73.00 ,,,,
CEFUROXIME SUSP 250/5 1ML,$15.00 ,,,,
CEFUROXIME TAB 250MG,$1.60 ,,,,
CEFUROXIME VL 750MG,$85.00 ,,,,
CELECOXIB CAP 100MG,$3.05 ,,,,
CELECOXIB CAP 200MG,$2.60 ,,,,
CELL COUNT BODY FLUID,$55.00 ,,,,
CELL COUNT CSF,$55.00 ,,,,
CELL COUNT W DIFF BODY FLUID,$72.00 ,,,,
CELL COUNT W DIFF CSF,$72.00 ,,,,
CELL SURFACE MARKER EA ADDL,$69.00 ,,,,
CEPHALEXIN CAP 250MG,$1.05 ,,,,
CEPHALEXIN CAP 500MG,$1.20 ,,,,
CEPHALEXIN SUSP 250/5 1ML,$15.00 ,,,,
CERULOPLASMIN,$208.00 ,,,,
CERVICOVAG FLUID AMN FLD QL EA,$594.00 ,,,,
CETACAINE AERO 56GM/GEQ,$42.30 ,,,,
CETAPHIL LOT 240ML,$45.90 ,,,,
CETAPHIL MOIST LOT 240ML,$7.60 ,,,,
CFTR GENE COMMON VARIANTS,$584.00 ,,,,
CHARCOAL ACTIV LIQ 50GM 240ML,$21.85 ,,,,
CHARCOAL ACTIV SORB LIQ 50GM,$21.85 ,,,,
CHEMILUMINESCENT HEPATITIS C,$190.00 ,,,,
CHERRY SYRUP 5ML,$1.05 ,,,,
CHEST PHYSIOTHERAPY INITIAL,$118.00 ,,,,
CHEST PHYSIOTHERAPY SUBSEQUENT,$95.00 ,,,,
CHLAMYDIA AB,$48.00 ,,,,
CHLAMYDIA AB IGM,$156.00 ,,,,
CHLAMYDIA PNEUM NAP AMPLIFIED,$80.00 ,,,,
CHLAMYDIA PNEUMONIAE AB IGG,$48.00 ,,,,
CHLAMYDIA TRACH NAP AMPLIFIED,$228.00 ,,,,
CHLORDIAZ/CLIDINIUM CAP,$1.50 ,,,,
CHLORDIAZEPOXIDE CAP 10MG,$3.10 ,,,,
CHLORDIAZEPOXIDE CAP 25MG,$3.15 ,,,,
CHLORDIAZEPOXIDE CAP 5MG,$3.15 ,,,,
CHLORHEXIDNE GLUC MW 15ML,$1.70 ,,,,
CHLORHEXIDNE GLUC MW 1ML,$15.00 ,,,,
CHLORHEXIDNE GLUC MW 480ML,$5.50 ,,,,
CHLORIDE,$36.00 ,,,,
CHLORIDE CSF,$85.00 ,,,,
CHLORIDE OTHER SOURCE,$81.00 ,,,,
CHLORIDE URINE,$46.00 ,,,,
CHLOROPROCAINE VL 2% 20ML,$93.00 ,,,,
CHLOROTHIAZIDE VL 500MG 20ML,$271.00 ,,,,
CHLORPROMAZN AMP 25MG/ML 2ML,$102.00 ,,,,
CHLORPROMAZN TAB 10MG,$1.70 ,,,,
CHLORPROMAZN TAB 25MG,$2.05 ,,,,
CHLORPROPAMIDE TAB 250MG,$1.60 ,,,,
CHLORTHALIDONE TAB 25MG,$1.10 ,,,,
CHLORZOXAZONE TAB 500MG,$1.05 ,,,,
CHOLESTEROL,$42.00 ,,,,
CHOLESTEROL HDL,$62.00 ,,,,
CHOLESTEROL LDL DIRECT,$74.00 ,,,,
CHOLESTYRAMINE LT PWDR 2GM,$1.40 ,,,,
CHOLESTYRAMINE LT PWDR 4GM/5GM,$1.40 ,,,,
CHRMTGPH NON-DRUG NOS EA SPEC,$232.00 ,,,,
CHROMIUM CHL 4MCG/ML 1ML,$34.00 ,,,,
CHROMOSOME COUNT 15-20/2,$504.00 ,,,,
CICLOPIROXOLAMINE CRM 0.77% 15,$25.35 ,,,,
CILOSTAZOL TAB 50MG,$1.10 ,,,,
CIMETIDINE LIQ 60MG/ML 1ML,$15.00 ,,,,
CIMETIDINE VL 150MG/ML 2ML,$71.00 ,,,,
CINACALCET TAB 30MG ESRD DIALY,$0.00 ,,,,
CINACALET TAB 30MG,$8.90 ,,,,
CIPROFLOXACIN EYE SOL 2.5ML,$8.00 ,,,,
CIPROFLOXACIN IV PREMIX 400MG,$95.00 ,,,,
CIPROFLOXACIN SUSP 100MG 1ML,$15.00 ,,,,
CIPROFLOXACIN TAB 250MG,$1.10 ,,,,
CIPROFLOXACIN TAB 500MG,$1.15 ,,,,
CIPROFLOXACIN VL 400MG 40ML,$75.00 ,,,,
CIPROFLOXACIN/DEX OTIC 7.5ML,$165.90 ,,,,
CIPROFLOXACIN/HC EAR SUSP 10ML,$223.15 ,,,,
CISATRACURIUM VL 2MG/ML 10ML,$111.00 ,,,,
CISPLATIN AQ VL 1MG/ML 100ML,$102.00 ,,,,
CITALOPRAM SOL 2MG/ML 10ML,$5.35 ,,,,
CITALOPRAM SOL 2MG/ML 15ML,$1.45 ,,,,
CITALOPRAM SOL 2MG/ML 1ML,$15.00 ,,,,
CITALOPRAM TAB 10MG,$1.05 ,,,,
CITALOPRAM TAB 20MG,$1.05 ,,,,
CITALOPRAM TAB 40MG,$1.05 ,,,,
CITALOPRAM TAB 5MG,$1.00 ,,,,
CITRATE,$112.00 ,,,,
CITRATE URINE,$112.00 ,,,,
CLADRIBINE VL 1MG/ML 10ML,"$1,110.00 ",,,,
CLARITHROMYCN TAB 250MG,$5.00 ,,,,
CLINDAMYCIN CAP 150MG,$1.05 ,,,,
CLINDAMYCIN IV PREMIX 600MG,$106.00 ,,,,
CLINDAMYCIN IV PREMIX 900MG,$109.00 ,,,,
CLINDAMYCIN SOL 75MG/5ML 1ML,$15.00 ,,,,
CLINDAMYCIN VAG CRM 2% 40GM,$45.40 ,,,,
CLINDAMYCIN VL 150MG/ML 4ML,$74.00 ,,,,
CLINDAMYCIN VL 150MG/ML 6ML,$76.00 ,,,,
CLOBAZEPAM 10 MG TAB,$17.85 ,,,,
CLOBETASOL CRM 0.05% 30GM,$133.60 ,,,,
CLOBETASOL OINT 0.05% 30GM,$133.60 ,,,,
CLOBETASOL SCALP 0.05% 25ML,$26.00 ,,,,
CLOMIPRAMINE CAP 25MG,$1.05 ,,,,
CLONAZEPAM (KLONOPIN) TDA,$200.00 ,,,,
CLONAZEPAM TAB 0.25MG,$3.00 ,,,,
CLONAZEPAM TAB 0.5 MG,$3.00 ,,,,
CLONAZEPAM TAB 1MG,$3.10 ,,,,
CLONIDINE PATCH 0.1MG/24HR,$16.35 ,,,,
CLONIDINE PATCH 0.3MG/24HR,$36.90 ,,,,
CLONIDINE TAB 0.05 MG,$1.05 ,,,,
CLONIDINE TAB 0.1 MG,$1.00 ,,,,
CLOPIDOGREL TAB 75MG,$1.15 ,,,,
CLORAZEPATE TAB 3.75MG,$3.10 ,,,,
CLOSTRIDIUM DIFFICILE TOXIN,$80.00 ,,,,
CLOTRIMAZOLE CRM 1% 15GM,$3.70 ,,,,
CLOTRIMAZOLE TROCHE 10MG,$1.30 ,,,,
CLOTRIMAZOLE VAG CRM 1% 45GM,$5.40 ,,,,
CLOZAPINE TAB 100MG,$1.75 ,,,,
CLOZAPINE TAB 25MG,$1.30 ,,,,
CO2 EXPIRED GAS DETERMINATION,$330.00 ,,,,
COAG FACTOR VIIA VL 1MG,"$3,190.00 ",,,,
COAG/FIBRINOLYSIS EA ANALYTE,$312.00 ,,,,
COCAINE DEFINITIVE ASSAY,$198.00 ,,,,
COCAINE SOL 10% 4ML,$33.10 ,,,,
COCAINE SOL 4% 4ML,$157.65 ,,,,
CODEINE SULF TAB 15MG,$3.30 ,,,,
COLCHICINE TAB 0.3MG,$1.00 ,,,,
COLCHICINE TAB 0.6MG,$5.75 ,,,,
COLESTIPOL TAB 1GM,$1.45 ,,,,
COLLAGENASE OINT 30GM,$157.70 ,,,,
COLLECT BLOOD PORT/ IMPL VAD,$98.00 ,,,,
COMPLEMENT ACTIVITY C1 ESTER,$276.00 ,,,,
COMPLEMENT ACTIVITY C2,$276.00 ,,,,
COMPLEMENT AG C3,$462.00 ,,,,
COMPLEMENT AG C4,$462.00 ,,,,
COMPLEMENT TOTAL (CH50),$222.00 ,,,,
COMPREHENSIVE METABOLIC PANEL,$299.00 ,,,,
CONC INFECTION AGENTS ANY TYPE,$85.00 ,,,,
CONSULT PATH COMPREHENSIVE,$658.00 ,,,,
CONSULT PATH LIMITED,$50.00 ,,,,
CONSULT PATH SURG CYTO INITIAL,$285.00 ,,,,
CONSULT PATH SURG FS 1ST BLK,$340.00 ,,,,
CONSULT PATH SURG FS ADDL BLK,$57.00 ,,,,
CONT INHAL TX 1ST HR,$1.00 ,,,,
CORTISOL FREE URINE,$353.00 ,,,,
CORTISOL TOTAL,$316.00 ,,,,
CORTISPORIN OINT 15GM/GEQ,$45.50 ,,,,
CORTISPORIN OP SUSP 7.5ML/GEQ,$99.00 ,,,,
CORTISPORIN OTIC SUSP 10ML/GEQ,$17.75 ,,,,
CORTROSYN BRAND VL 0.25MG,$213.00 ,,,,
CPAP INITIATION & MGMT DAILY,$664.00 ,,,,
C-PEPTIDE,$174.00 ,,,,
C-REACTIVE PROTEIN,$84.00 ,,,,
C-REACTIVE PROTEIN HIGH SENS,$114.00 ,,,,
CREAM BODY/HAND 30GM,$3.95 ,,,,
CREATINE KINASE (CK) MB,$261.00 ,,,,
CREATINE KINASE (CPK),$101.00 ,,,,
CREATININE,$62.00 ,,,,
CREATININE OTHER SOURCE,$60.00 ,,,,
CRITICAL CARE 30-74 MINUTES,"$2,102.00 ",,,,
CRITICAL CARE 30-74 MINUTES,$690.00 ,,,,
CRNA EA POINT,$55.00 ,,,,
CROSSMATCH IMMEDIATE SPIN,$66.00 ,,,,
CRUDE ALLERGEN IGE LX QN/SQ EA,$126.00 ,,,,
CRUDE ALLERGEN IGE QN/SQ EA,$126.00 ,,,,
CRYOGLOBULIN,$162.00 ,,,,
CRYPTOSPORIDIUM AG IF,$128.00 ,,,,
CRYSTAL ID LIGHT MICROSCOPY,$66.00 ,,,,
CT MISCELLANEOUS,$300.00 ,,,,
CULT TYPE SERO EA ANTISERUM,$25.00 ,,,,
CULTURE AEROBIC ADD DEFIN EA,$108.00 ,,,,
CULTURE ANAEROBIC ADD DEFIN EA,$207.00 ,,,,
CULTURE ANAEROBIC EXCEPT BLOOD,$134.00 ,,,,
CULTURE BLOOD,$281.00 ,,,,
CULTURE COLONY COUNT URINE,$48.00 ,,,,
CULTURE FUNGUS BLOOD,$85.00 ,,,,
CULTURE FUNGUS DEFIN ID MOLD,$42.00 ,,,,
CULTURE FUNGUS DEFIN ID YEAST,$77.00 ,,,,
CULTURE FUNGUS SKIN HAIR NAIL,$110.00 ,,,,
CULTURE OTHER SOURCE,$103.00 ,,,,
CULTURE QN AEROBIC OTHER SRC,$117.00 ,,,,
CULTURE SCR LEGIONELLA,$59.00 ,,,,
CULTURE SCR MRSA,$59.00 ,,,,
CULTURE SCR SINGLE ORGANISM,$59.00 ,,,,
CULTURE SCR STREP GROUP B,$59.00 ,,,,
CULTURE SCR VRE,$59.00 ,,,,
CULTURE SPUTUM,$103.00 ,,,,
CULTURE STOOL EA ADD,$68.00 ,,,,
CULTURE STOOL EA ADD E COLI,$68.00 ,,,,
CULTURE STOOL EA ADD YERSINIA,$68.00 ,,,,
CULTURE STOOL SALM/SHIG,$125.00 ,,,,
CULTURE VIRUS OBSERV DISSECT,$111.00 ,,,,
CYCLOBENZAPRINE TAB 10MG,$1.05 ,,,,
CYCLOBENZAPRINE TAB 5MG,$2.30 ,,,,
CYCLOPENT/PHENYL EYE SOL 2ML,$17.50 ,,,,
CYCLOPENTOL EYE SOL 1% 2ML,$7.65 ,,,,
CYCLOPHOSPHAMIDE CAP 50MG (CH),$26.00 ,,,,
CYCLOPHOSPHAMIDE VL 500MG,$88.00 ,,,,
CYCLOSPOR 0.05% EYE SOL 0.04ML,$3.45 ,,,,
CYCLOSPOR MOD CAP 100MG,$2.35 ,,,,
CYCLOSPOR MOD CAP 25MG,$1.35 ,,,,
CYCLOSPOR MOD SOL 100/ML 1ML,$15.00 ,,,,
CYCLOSPORINE TDA,$171.00 ,,,,
CYPROHEPTADINE TAB 4MG,$1.10 ,,,,
CYTARABINE VL 100MG,$74.00 ,,,,
CYTARABINE VL 2GM,$103.00 ,,,,
CYTOMEGALOVIRUS (CMV) AB IGG,$105.00 ,,,,
CYTOMEGALOVIRUS (CMV) AB IGM,$109.00 ,,,,
CYTOPATH SMEAR CONCENTRATION,$139.00 ,,,,
CYTOPATH SMR OTHR SOURC W/PREP,$126.00 ,,,,
CYTOPATHOLOGY NON GYN THIN PRP,$155.00 ,,,,
D10% 0.2 NACL 250ML,$94.00 ,,,,
D10% 500ML,$94.00 ,,,,
D25% 10ML SYRINGE,$80.00 ,,,,
D5% 0.2 NACL 1000ML,$94.00 ,,,,
D5% 0.2 NACL+KCL 20MEQ 1000ML,$95.00 ,,,,
D5% 0.33 NACL 500ML,$94.00 ,,,,
D5% 0.33 NACL+KCL 20MEQ 1000ML,$94.00 ,,,,
D5% 0.45 NACL 1000ML,$92.00 ,,,,
D5% 0.45 NACL 1000ML,$94.00 ,,,,
D5% 0.45 NACL 500ML,$94.00 ,,,,
D5% 0.45 NACL+KCL 10MEQ 1000ML,$95.00 ,,,,
D5% 0.45 NACL+KCL 20MEQ 1000ML,$94.00 ,,,,
D5% 0.45 NACL+KCL 40MEQ 1000ML,$95.00 ,,,,
D5% 0.9 NACL 1000ML,$92.00 ,,,,
D5% 0.9 NACL 1000ML,$94.00 ,,,,
D5% 0.9 NACL 500ML,$94.00 ,,,,
D5% 0.9 NACL+KCL 20MEQ 1000ML,$95.00 ,,,,
D5% 0.9 NACL+KCL 40MEQ 1000ML,$95.00 ,,,,
D5% 100ML,$92.00 ,,,,
D5% 100ML,$94.00 ,,,,
D5% 150ML,$93.00 ,,,,
D5% 250ML,$92.00 ,,,,
D5% 250ML,$94.00 ,,,,
D5% 500ML,$94.00 ,,,,
D5% 500ML NON PVC,$97.00 ,,,,
D5% 50ML,$94.00 ,,,,
D5% 50ML,$71.00 ,,,,
D5% LR 500ML,$94.00 ,,,,
D5% LR+KCL 20MEQ 1000ML,$95.00 ,,,,
D5% RINGERS 1000ML,$94.00 ,,,,
D5%+KCL 20MEQ 1000ML,$95.00 ,,,,
D50% 50ML SYRINGE,$82.00 ,,,,
D70% 2000ML,$102.00 ,,,,
DABIGATRAN CAP 150MG,$3.95 ,,,,
DABIGATRAN CAP 75MG,$4.80 ,,,,
DACRIOSE IRR SOL 30ML/GEQ,$6.90 ,,,,
DACTINOMYCIN VL 0.5MG,$876.00 ,,,,
DANAZOL CAP 200MG,$4.05 ,,,,
DANTROLENE CAP 25MG,$1.85 ,,,,
DANTROLENE VL 20MG 70ML,$230.00 ,,,,
DAPSONE TAB 25MG,$1.85 ,,,,
DAPTOMYCIN VL 500MG,$707.00 ,,,,
DARBEPOETIN VL 100MCG,$805.00 ,,,,
DARBEPOETIN VL 200MCG,"$1,618.00 ",,,,
DARBEPOETIN VL 25MCG,$298.00 ,,,,
DARBEPOETIN VL 300MCG,"$2,278.00 ",,,,
DARBEPOETIN VL 40MCG,$436.00 ,,,,
DARBEPOETIN VL 60MCG,$510.00 ,,,,
DAUNORUBICIN VL 20MG,$129.00 ,,,,
DEBRIDEMENT EXCISIONAL LVL 1,$829.00 ,,,,
DECALCIFICATION,$26.00 ,,,,
DECITABINE VL 50MG,"$2,461.00 ",,,,
DEFEROXAMINE VL 2GM,$120.00 ,,,,
DEFEROXAMINE VL 500MG,$81.00 ,,,,
DEMECLOCYCLINE TAB 150MG,$4.85 ,,,,
DEMO/EVAL PT USE OF INHALER,$100.00 ,,,,
DEOXYRIBONUCLEASE AB,$441.00 ,,,,
DESFLURANE 240ML,$218.00 ,,,,
DESIPRAMINE TAB 100MG,$3.25 ,,,,
DESIPRAMINE TAB 25MG,$1.95 ,,,,
DESITIN OINT 60GM,$6.40 ,,,,
DESLORATADINE 5MG TAB,$2.90 ,,,,
DESMOPRESS TAB 0.1MG,$1.95 ,,,,
DESMOPRESS VL 4MCG/ML 1ML,$178.00 ,,,,
DESVENLAFAXINE TAB ER 50MG,$4.90 ,,,,
DEXAMETH EYE SOL 5ML,$53.90 ,,,,
DEXAMETH INTRAOCULAR 0.8MG,$94.00 ,,,,
DEXAMETH NEO SOL 10MG/1ML,$1.95 ,,,,
DEXAMETH SOL 1MG/ML 1ML,$15.00 ,,,,
DEXAMETH TAB 1MG,$1.25 ,,,,
DEXAMETH TAB 2MG,$1.50 ,,,,
DEXAMETH TAB 4MG,$1.10 ,,,,
DEXAMETH VL 4MG/ML 1ML,$69.00 ,,,,
DEXAMETH VL PF 10MG/ML 1ML,$72.00 ,,,,
DEXMEDETOMIDINE INJ 200MCG,$243.00 ,,,,
DEXMEDETOMIDINE IV 200MCG/NS50,$157.00 ,,,,
DEXMEDETOMIDINE VL 80MCG/20ML,$116.00 ,,,,
DEXMETHYLPHENIDATE 20MG CAPSR,$9.50 ,,,,
DEXMETHYLPHENIDATE 5MG CAPSR,$5.95 ,,,,
DEXRAZOXANE VL 500MG,$594.00 ,,,,
DEXTRAN 40 10%/D5 500ML,$92.00 ,,,,
DEXTROAMPHET TAB 5MG,$3.20 ,,,,
DEXTROAMPHET/AMPHET CAPSR 10MG,$7.00 ,,,,
DEXTROAMPHET/AMPHET CAPSR 20MG,$7.00 ,,,,
DEXTROAMPHET/AMPHET CAPSR 5MG,$7.70 ,,,,
DEXTROAMPHET/AMPHET TAB 10MG,$3.15 ,,,,
DEXTROAMPHET/AMPHET TAB 5MG,$3.15 ,,,,
DEXTROMETH SYRP 1.5MG/ML 1ML,$15.00 ,,,,
DEXTROMETHORPHAN SUS 1ML,$15.00 ,,,,
DIALYSIS SOL 1.5%2000ML UBAG,$122.00 ,,,,
DIALYSIS SOL 1.5%2500ML UBAG,$122.00 ,,,,
DIALYSIS SOL 2.5%2000ML UBAG,$130.00 ,,,,
DIALYSIS SOL 2.5%2500ML UBAG,$124.00 ,,,,
DIALYSIS SOL 4.25%2000ML UBAG,$123.00 ,,,,
DIALYSIS SOL 4.25%2500ML UBAG,$126.00 ,,,,
DIATRIZOATE MEG VL 18% 300ML,$0.00 ,,,,
DIATRIZOATE MEG/NA ORAL 120ML,$3.00 ,,,,
DIATRIZOATE MEG/NA ORAL 30ML,$3.00 ,,,,
DIAZEPAM INJ 10MG 2ML,$110.00 ,,,,
DIAZEPAM RECTAL GEL DIAL 10 MG,$476.60 ,,,,
DIAZEPAM SOL 1MG/ML 1ML,$3.00 ,,,,
DIAZEPAM SOL 1MG/ML 5ML,$3.35 ,,,,
DIAZEPAM SYRUP 5MG/ML 1ML,$3.70 ,,,,
DIAZEPAM TAB 2MG,$3.05 ,,,,
DIAZEPAM TAB 5MG,$3.05 ,,,,
DIAZEPAM VL 5MG/ML 10ML,$130.00 ,,,,
DIBUCAINE OINT 1% 30GM/GEQ,$7.40 ,,,,
DICLOFENAC GEL 1% 100GM,$37.70 ,,,,
DICLOFENAC SOD TAB SR 75MG,$1.35 ,,,,
DICLOFENAC/MISOPROST TAB 75/20,$2.65 ,,,,
DICLOFENAC/MISOPROST TAB50/200,$2.65 ,,,,
DICLOXACILLIN CAP 250MG,$1.20 ,,,,
DICYCLOMINE CAP 10MG,$1.05 ,,,,
DIGOXIN ELX 0.05MG/ML 1ML,$15.00 ,,,,
DIGOXIN ELX 0.05MG/ML 2.5ML,$2.00 ,,,,
DIGOXIN IMMUNE FAB VL 40MG,"$5,528.00 ",,,,
DIGOXIN INJ 0.25MG/ML 2ML,$208.00 ,,,,
DIGOXIN TAB 0.0625MG,$1.10 ,,,,
DIGOXIN TAB 0.125MG,$1.15 ,,,,
DIGOXIN TAB 0.25MG,$1.10 ,,,,
DIGOXIN TOTAL TDA,$54.00 ,,,,
DIHYDROERGOTAMINE AMP 1MG 1ML,$318.00 ,,,,
DILTIAZEM 100MG/100ML D5W,$101.00 ,,,,
DILTIAZEM ADV VL 100MG,$85.00 ,,,,
DILTIAZEM CAP CD 120MG,$1.45 ,,,,
DILTIAZEM CAP CD 180MG,$1.45 ,,,,
DILTIAZEM CAP CD 240MG,$1.30 ,,,,
DILTIAZEM CAP CD 300MG,$1.35 ,,,,
DILTIAZEM CAP SR 60MG,$1.40 ,,,,
DILTIAZEM CAP SR 90MG,$1.55 ,,,,
DILTIAZEM IV 100MG/100ML,$101.00 ,,,,
DILTIAZEM TAB 30MG,$1.05 ,,,,
DILTIAZEM VL 5MG/ML 10ML,$73.00 ,,,,
DILTIAZEM VL 5MG/ML 25ML,$77.00 ,,,,
DILTIAZEM VL 5MG/ML 5ML,$71.00 ,,,,
DILUENT FOR RTU INFUSION N/C,$6.90 ,,,,
DIMERCAPROL AMP 100MG/ML 3ML,$278.00 ,,,,
DIMETAPP ELX 1ML/GEQ,$15.00 ,,,,
DINOPROSTONE VAG SUPP 10MG,$172.65 ,,,,
DINOPROSTONE VAG SUPP 20MG,$588.35 ,,,,
DIP/TET INJ 0.5ML >7YRS,$111.00 ,,,,
DIP/TET PED INJ 0.5ML,$89.00 ,,,,
DIPHENHYD CAP 25MG,$1.30 ,,,,
DIPHENHYD CAP 50MG,$1.05 ,,,,
DIPHENHYD CRM 2% 30GM,$4.35 ,,,,
DIPHENHYD ELX 5ML,$1.45 ,,,,
DIPHENHYD SYR 1ML,$15.00 ,,,,
DIPHENHYD VL 50MG/ML 1ML,$69.00 ,,,,
DIPHENOX/ATROPINE LIQ 1ML,$15.00 ,,,,
DIPHENOX/ATROPINE LIQ 5ML,$3.50 ,,,,
DIPHENOX/ATROPINE TAB,$3.20 ,,,,
DIPYRIDAMOLE AMP 10MG,$71.00 ,,,,
DIPYRIDAMOLE TAB 25MG,$1.20 ,,,,
DIPYRIDAMOLE VL 50MG 10ML,$77.00 ,,,,
DIPYRIDAMOLE/ASPIRIN TAB,$2.85 ,,,,
DISOPYRAMIDE CAP 100MG,$1.20 ,,,,
DISOPYRAMIDE CAP SR 100MG,$2.10 ,,,,
DISOPYRAMIDE CAP SR 150MG,$2.25 ,,,,
DISULFIRAM TAB 250MG,$2.70 ,,,,
DIVALPROEX CAP 125MG,$1.75 ,,,,
DIVALPROEX SOD TAB 250MG,$1.05 ,,,,
DIVALPROEX SOD TAB 500MG,$1.20 ,,,,
DIVALPROEX SOD TAB SR 125MG,$1.10 ,,,,
DIVALPROEX SOD TAB SR 250MG,$2.80 ,,,,
DIVALPROEX SOD TAB SR 500MG,$3.20 ,,,,
DNA AB DOUBLE STRAND,$63.00 ,,,,
DOBUTAMINE IVPB 500MG,$101.00 ,,,,
DOBUTAMINE IVPB 500MG,$90.00 ,,,,
DOBUTAMINE VL 250MG,$76.00 ,,,,
DOCETAXEL INJ 10 MG/ML 2 ML,$333.00 ,,,,
DOCOSANOL CRM 10% 2GM,$17.75 ,,,,
DOCUSATE SOD CAP 100MG,$1.00 ,,,,
DOCUSATE SOD LIQ 10MG/ML 10ML,$1.35 ,,,,
DOCUSATE SOD LIQ 10MG/ML 1ML,$15.00 ,,,,
DOFETILIDE CAP 125MCG,$8.85 ,,,,
DONEPEZIL TAB 10MG,$1.10 ,,,,
DONEPEZIL TAB 23 MG,$8.25 ,,,,
DONEPEZIL TAB 5MG,$1.10 ,,,,
DOPAMINE IVPB 400MG 250ML,$100.00 ,,,,
DOPAMINE IVPB 400MG 250ML,$99.00 ,,,,
DOPAMINE VL 80MG/ML 5ML,$73.00 ,,,,
DORIPENEM VL 500MG,$131.00 ,,,,
DORZOLAMIDE EYE SOL 2% 10ML,$14.25 ,,,,
DORZOLAMIDE/TIMOL EYE SOL 10ML,$24.10 ,,,,
DOXAPRAM VL 20MG/ML 20ML,$167.00 ,,,,
DOXAZOSIN TAB 1MG,$1.05 ,,,,
DOXAZOSIN TAB 2MG,$1.05 ,,,,
DOXAZOSIN TAB 4MG,$1.10 ,,,,
DOXEPIN CAP 10MG,$1.05 ,,,,
DOXEPIN CAP 25MG,$1.10 ,,,,
DOXORUBICIN LIPID(DOXIL)VL50MG,"$2,445.00 ",,,,
DOXORUBICIN VL 10MG,$75.00 ,,,,
DOXORUBICIN VL 50MG,$98.00 ,,,,
DOXYCYCLINE CAP 100MG,$2.20 ,,,,
