System Generated Service Id,Description,Price,,
33676,RAD PRO CERVICAL SPINE 2 OR 3 VIEWS,27.10,,
33811,RAD PRO Hip - Bilat incld Pelvis 2 Views,27.10,,
33862,RAD PRO LUMBAR SPINE FLEX & EXT ONLY,27.10,,
34010,RAD PRO RIBS UNI LEFT W/O PA CHEST 3V  Left,27.10,,
33985,RAD PRO RIBS UNI W/O PA CHEST RIGHT Right,27.10,,
33998,RAD PRO S/C JOINTS 3 VIEWS,27.10,,
34052,RAD PRO Thoracic Spine (Dorsal) Ap-Lat,27.10,,
30310,RADIATION THERAPY MANAGEMENT W/ COMPLETE COURSE OF THERAPY,270.23,,
30028,"HOSPITAL DISCHARGE DAY MGT.,MORE THAN 30 MINUTES",270.56,,
33923,RAD PRO MRI CHEST HILAR&MEDIAL W&WO,271.42,,
34282,RAD PRO THORACENTESIS W IMAGING GUIDANCE,271.47,,
30300,PROLONGED EVAL & MGT SERV/NON-DIRECT CARE/IN PAT/FIRST HOUR,271.58,,
31342,BYP GRAFT NOT VEIN; FEM-FEM,2722.48,,
30560,"DEATH, NURSING HOME RESIDENT, HOSPICE",273.19,,
30274,PHYSICIAN SUPERVISION OF A PATIENT UNDER A MEDICARE-APPROVED HOSPICE (,274.57,,
29904,"COLPOSCOPY OF CERVIX INCLUDING ADJ VAGINA, WITH BX OF CERVIX",274.73,,
29930,"CRITICAL CARE OF UNSTABLE CRITICALLY ILL,CONSTANT PHYS ATTEND,EA ADD 30M",274.82,,
33910,RAD PRO MRI BRAIN/BRAIN STEM W&WO CONT,274.83,,
33932,RAD PRO MRI CERVICAL SPINE W AND W/O,274.83,,
33964,RAD PRO MRI LUMBAR SPINE W AND W/O,274.83,,
33949,RAD PRO MRI THORACIC SPINE W AND W/O,274.83,,
34394,TX ATRIAL FIBR PULM VEIN ISOL,2754.44,,
31138,EXCHANGE NEPHROSTOMY CATHETER,277.09,,
33716,RAD PRO CARDIAC MRI FOR MORP,277.29,,
34166,RAD PRO ULTRASOUND ELASTOGRAPHY,277.54,,
29820,ABDOMINAL PARACENTESIS WITH IMAGING GUIDANCE,278.91,,
30080,"INJ,SINGLE,NOT INCLUD NEUROLYTIC SUBSTANCES W OR W/O CONTRASTS OF DX OR",278.94,,
31643,DRAIN OPEN RETROPERI ABSCESS,2788.62,,
29868,"BIOPSY, BONE, TROCAR OR NEEDLE; DEEP (VERTEBRAL BODY,FEMUR)",279.09,,
31337,REDUCTION MAMMAPLASTY,2796.94,,
33996,RAD PRO RADEX EXAM HIP LT UNI 2-3 VIEWS LEFT (WITH PELVIS IF PERF),28.06,,
33990,RAD PRO RADEX EXAM HIP RT UNI 2-3 VIEWS RIGHT (WITH PELVIS IF PERF),28.06,,
33855,RAD PRO KNEE 4 OR MORE VIEWS LT  Left,28.55,,
33853,RAD PRO KNEE 4 OR MORE VIEWS RT Right,28.55,,
33989,RAD PRO RADEX KNE COMPL 4/MORE VIEWS BILATERAL,28.55,,
30188,LAPARO-VAG HYST COMPLEX >250 GM,2806.64,,
31750,CHOLECYSTECTOMY WITH EXPL CBD,2808.57,,
31945,I & D OF VULVA OR PERINEAL ABSCESS,281.42,,
30002,"EXCIS BENIGN LESN NOT SKIN TAG.,SCLP,NCK,HND,FT,GEN;.6-1.0CM",281.55,,
29849,"ARTERY X-RAYS, SPINE",282.38,,
31339,RECHANNEL OF ARTERY SUPER FEMORAL,2822.29,,
31540,LAP CHOLE W EXPLORATION OF CD,2822.73,,
29987,"EMERGENCY DEPT. VISIT FOR E&M, PROBLEM OF HIGH SEVERITY",283.59,,
33743,RAD PRO CT ANGIO HRT W/3D IMAGE,283.84,,
30867,RECHANNEL OF ARTERY CAROTID/VERTEB/SUBCLAV,2833.30,,
31771,AA REPAIR W AA PROSTHESIS,2835.58,,
33726,RAD PRO CT ANGIO ABDOMINAL ART W / WO CONT,284.38,,
29906,COLPOSCOPY OF VULVA W BIOPSIES,284.41,,
30303,PROLONGED PHYSICIAN SERVICE IN THE OFFICE OR OTHER OUTPATIENT SETTING,284.81,,
30423,"THORACENTESIS, NEEDLE OR CATHETER, ASPIRATION OF THE PLEURAL SPACE; WITH IMAGING GUIDANCE",285.00,,
33980,RAD PRO Pet Scan Skull Base to Mid Thigh,286.74,,
30140,"INTIAL INPATIENT CONSULTATION, NEW OR EST PATIENT 55 MINUTES",286.78,,
30380,"SELECTIVE CATHETER PLACEMENT, EXTERNAL CAROTID ARTERY, UNILATERAL",286.79,,
31592,REP ANEURYSM; C FEMORAL ART FOR OD,2864.70,,
30400,SPECIAL RADIATION TREATMENT,287.23,,
31338,PARTIAL HIP REPL PROSTHESIS,2873.40,,
30176,"LAPAROSCOPY, SURGICAL, WITH TOTAL HYSTERECTOMY, FOR UTERUS GREATER",2874.53,,
30110,"INJECTION,EPIDURAL, OF BLOOD OR CLOT PATCH",288.92,,
30092,"INJECTION(S), ANESTHETIC AGENT AND/OR STEROID, TRANSFORAMINAL EPIDURAL",289.41,,
29932,"CT ANGIOGRAPHY, ABDOMEN AND PELVIS, WITH CONTRAST MATERIAL(S), INCLUDING NONCONTRAST IMAGES,",289.58,,
33971,RAD PRO Pet Scan Whole Body,289.79,,
30053,INCISION OF LINGUAL FRENUM (FRENOTOMY),289.84,,
29997,"ENDOVASCULAR REPAIR ILIAC ART ANEURYSM / TRAUMA, SUPV + INTERP",289.96,,
33098,BYP GRAFT NOT VEIN; ILIOFEMORAL,2897.53,,
34033,RAD PRO Temporal Mandibular Joint,29.31,,
34012,RAD PRO Skull Less Than 4 Views,29.74,,
33657,RAD PRO Abdomen flat and Upright,29.88,,
30219,"NURSING FACILITY DISCHARGE DAY MGMT,MORE THAN 30 MINUTES",290.52,,
31310,SIGMOIDOSCOPY W/TNDSC BALLOON DILATION,290.94,,
30800,COMP EP EVAL W RA RECORDING,291.03,,
29947,"DESTRUCTION OF LESION(S), VULVA; SIMPLE, ANY METHOD",292.06,,
31948,CHEMODENERV OF TRUNK MUSC 1-5,292.21,,
29965,ECHO TRANSESOPHAGAEL/PROF,292.91,,
32270,EXC SKIN ABD,2942.95,,
30267,PERICARDIOCENTESIS; INITIAL,295.26,,
30031,"HUMAN PAPILLOMA VIRUS (HPV) VACCINE, TYPES 6, 11, 16, 18 (QUADRIVALENT)",295.55,,
30407,"SUBSEQUENT INTENSIVE CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF",295.55,,
31341,BYP GRAFT NOT VEIN; CAROTID-SUBCLAV,2953.42,,
31779,COLOSTOMY,2957.84,,
30366,RT TX PLANNING; INTERMEDIATE,296.99,,
32284,THRMBC/NFS DIALYSIS CIRCUIT,2963.85,,
31336,MASTECTOMY MODIFIED RADICAL,2964.54,,
30059,INITIAL COMPREHENSIVE PREVENTIVE MEDICINE EVALUATION AND MANAGEMENT,297.46,,
31351,TAKE-DOWN SPLEN FLEXURE W P COLECTOMY,297.80,,
29895,"CHEMODENERVATION OF MUSCLE(S), MUSCLES INNERVATED BY FACIAL NERVE (EG,",298.89,,
31136,TLBA EA ADDTL VISCERAL ARTERY,299.35,,
29836,ANNUAL WELLNESS VISIT PPS SUBSEQUENT,299.67,,
33387,EXAM/BIOPSY OF VAG W/SCOPE,299.68,,
30212,NEWBORN SAME DAY DISCHARGE INITIAL HOSP CARE E&M,299.86,,
29945,DESTRUCTION BY NEUROLYTIC AGENT;OTHER PERIPHERAL NERVE OR BRANCH,299.94,,
31988,BIPOLAR HIP REPLACEMENT,2992.59,,
34508,CYSTECTOMY PART; COMPLICATED,2993.76,,
30075,"INJ, VITAMIN B-12 CYANOCOBALAMIN, UP TO 1000 MCG",3.72,,
33886,RAD PRO Mandible Complete Min 4 Views,30.11,,
34036,RAD PRO Sinus Films,30.11,,
34016,RAD PRO TEMPOROMANDIBULAR JOINT BILAT,30.19,,
33675,RAD PRO BILATERAL ABI NO STRESS,30.30,,
30055,"INFLUENZA VIRUS VACCINE, SPLIT VIRUS, PRESERVATIVE FREE, WHEN",30.35,,
30196,"LIMITED BILATERAL NONINVASIVE PHYSIOLOGIC STUDIES OF UPPER OR LOWER EXTREMITY ARTERIES,",30.60,,
34015,RAD PRO SKULL BASAL VIEW,30.63,,
30390,"SMOKING AND TOBACCO USE CESSATION COUNSELING VISIT, INTERMEDIATE,",30.71,,
31254,"TOBACCO-USE COUNSEL 3-10 MIN,ASYMP",30.71,,
33660,RAD PRO ABD FLAT & UPRIGHT,30.78,,
33658,RAD PRO ABDOMEN UPRIGHT,30.78,,
30307,PULMONARY FUNCTION TEST BY GAS,30.93,,
29940,"DESTRUCTION BY NEUROLYTIC AGENT, PARAVERTEBRAL FACET JOINT NERVE(S), WITH IMAGING GUIDANCE (FLUOROSCOPY OR CT); CERVICAL OR THORACIC, EACH ADDITIONAL FACET JOINT",300.34,,
30121,"INSERTION OF NON-TUNNELED CENTRALLY INSERTED CENTRAL VENOUS CATHETER, A",300.72,,
30319,RESECT SM INTEST; SGL RESECT & ANAST,3009.22,,
33752,"RAD PRO CT HRT W/3D IMAGE, CONGEN",302.36,,
30156,"INTRO CATHETER;SUPERIOR/INFERIOR VENA CAVA,RT HRT,PULM ARTER",303.35,,
32653,BALO ANGIOP CTR DIALYSIS SEG,303.89,,
34487,UNLISTED LAPAROSCOPY UTERUS,3032.04,,
31866,EXC ABD TUM 5 CM OR LESS,3033.45,,
30675,REPAIR ARTERY BLOCKAGE EACH; TRANSLUMINAL BALLOON ANGIO,304.82,,
30051,INCISION AND DRAINAGE OF HEMATOMA; SIMPLE,304.91,,
30067,"INITIAL PREVENTIVE PHYSICAL EXAMINATION, FACE-TO-FACE VISIT, SERVICES",305.46,,
32972,EXC H-F-NK-SP MAL+MARG 0.5 <,306.45,,
31751,MANAGE LIVER HEMORR; SIMPLE SUTURE LIVER,3065.59,,
34185,RAD PRO CARDIAC MRI FOR MORPH W/DYE,307.40,,
32423,TX INTER/PR/SUBTRCHNTRIC FEM FX IMED IMPLTSCREW,3077.37,,
32151,INJECT SPINE LUMBAR/SACRAL WITH GUIDE,309.12,,
31087,ADVANCED CARE PLAN FIRST 30 MIN,309.23,,
29883,"CARDIOVERSION,ELECTIVE,ELECTRICAL CONVERSION OF ARRHYTHMIA,EXTERNAL",309.34,,
33906,RAD PRO MANDIBLE 4 VIEWS,31.01,,
33993,RAD PRO PARANASAL SINUS 3 VIEWS,31.01,,
34110,RAD PRO X-RAY EXAM ENTIRE SPI 1 VW,31.83,,
32954,NONSELECT CATH RT HEART/MAIN PULMON ART,310.42,,
29887,CESAREAN DELIVERY ONLY INCLUDING POSTPARTUM CARE,3100.64,,
30208,MODULAR BIFURCATED AORTIC STENT GRAFT,3118.39,,
31153,REPAIR NAIL BED,312.27,,
31690,PARTIAL COLECTOMY W REMOVAL OF ILIUM,3150.63,,
31117,INTRVASCULAR US NONCORONARY 1ST,316.70,,
30057,INITIAL COMP PREVENTIVE MEDICINE E&M 65 AND OLDER,319.61,,
33306,MUSCLE FLAP; TRUNK,3194.70,,
33809,RAD PRO FACIAL BONES COMP MIN 3V,32.29,,
30045,"IMMUN ADMIN,PERCUT/INTRADERMAL/SUBCUTAN/INTRAMUSCULAR & JET INJ+/OR INTR",32.31,,
30416,TELEPHONE EVALUATION AND MANAGEMENT SERVICE PROVIDED BY A PHYSICIAN,32.56,,
34030,RAD PRO Scoliosis Series Standing,32.78,,
29876,BRONCHODILATION RESPONSIVENESS PRE/POST DILAUTOR U,32.80,,
33697,RAD PRO Chest Pa-Lat And Apical Lordot,32.80,,
34018,RAD PRO RIBS UNI LEFT WITH PA CHEST 4V  Left,32.83,,
33991,RAD PRO RIBS UNI W/PA CHEST RIGHT Right,32.83,,
32162,INJECT SPINE W/CATH LUMBAR/SAC WITH GUIDE,321.90,,
29994,ENDOVASCULAR REPAIR OF INFRARENAL ABDOMINAL AORTIC ANEURYSM OR DISSECTI,3219.07,,
31646,CYSTOURETHROSCOPY PROC,323.46,,
32379,ENTEROENTEROSTOMY ANASTOM OF INTEST,3233.75,,
34512,SUTURE EXTRAHEP BILE DUCT - FORMER INJ,3247.95,,
32956,EXCHANGE BILIARY DRNG CATH,326.62,,
30189,LAPARO-VAG HYST W/T/O COMPL >250 GM,3264.97,,
33525,RESECT NECK TUMOR 5 CM/>,3266.27,,
31868,INGUINOFEM W PELVIC LYMPHADECTOMY,3267.82,,
30573,PB VALVULOPLASTY; AORTOC VALVE,3268.13,,
34453,RAD PRO RENAL BIOPSY PERQ,327.08,,
34310,TOT KNEE ARTHROPLASTY,3290.66,,
30040,ILIAC ARTERY ANGIOGRAPHY PERFORMED AT THE SAME TIME OF CARDIAC,33.17,,
30373,"SCREENING TEST, PURE TONE, AIR ONLY",33.17,,
34165,RAD PRO Liver Elastography/Fibroscan,33.68,,
33729,RAD PRO Apical Lordotic 1 View,33.78,,
34134,DESTROY ANAL LESION SIMPLE; SURG EXC,331.31,,
30223,OBSERVATION OR INPATIENT HOSPITAL INCLUDING ADMISSION/DISCHARGE ON SAME,331.85,,
33529,GASTRORRHAPHY SUTURE PERF DUOD/GASTRIC,3314.25,,
34513,REVISE/REPLACE KNEE JOINT 1 COMPONENT,3314.96,,
30177,"LAPAROSCOPY, SURGICAL, WITH TOTAL HYSTERECTOMY, FOR UTERUS GREATER THAN",3315.34,,
29913,COMPUTED TOMOGRAPHY GUIDANCE FOR PLACEMENT OF RADIATION THERAPY FIELDS,332.35,,
30168,"INTUBATION, ENDOTRACHEAL, EMERGENCY PROCEDURE",332.64,,
30574,REPLACE AORTIC VALVE PERQ,3345.13,,
33644,TX S WND DEHIS; W PACK,337.48,,
30065,INITIAL OBSERVATION CARE PER DAY EVAL & MGMT PATIENT-MODERATE COMPLEXITY,338.22,,
31410,PSYCH DIAGNOSTIC EVAL W /MEDICAL SERVICES,338.55,,
30444,"TRANSCATHETER THERAPY, ARTERIAL OR VENOUS INFUSION FOR THROMBOLYSIS OTHER THAN CORONARY",338.59,,
32565,GASTROTOMY; W SUTURE REP BLEED ULCER,3382.47,,
29908,COLPOSCOPY(VAGINOSCOPY) W/BIOPSY(S)OF THE CERVIX&/ENDOCERVICAL CURETTAGE,339.89,,
31548,LAP P COLECTOMY W REM ILEUM,3395.49,,
33960,RAD PRO Orbits,34.35,,
34078,RAD PRO US GUIDE VASCULAR ACCESS,34.54,,
34099,RAD PRO X-RAY EXAM HIP UNI 4/> VIEWS LEFT,34.55,,
34093,RAD PRO X-RAY EXAM HIP UNI 4/> VIEWS RIGHT,34.55,,
33880,RAD PRO LEG LENGTH L&R,34.65,,
30134,INITIAL HOSPITAL CARE(NEW OR EST PATIENT)PER DAY FOR E&M 50 MINUTES,340.14,,
30076,"INJ,ANESTHETIC AGENT+/OR STEROID,TRANSFORAMINAL EPIDURAL,CERVICAL OR THO",340.14,,
29938,"DEST LESION(S),ANUS(EG CONDYLOM,PAPILLOMA,MOL..),SIMP;ELECTR",340.77,,
31546,COLECTOMY PARTIAL; W ANASTOMOSIS,3403.35,,
31987,LAP ENTERECTOMY,3417.99,,
33694,RAD PRO CARDIAC MRI W/STRESS IMG,342.03,,
33308,CLOSE INTESTINAL CUTANEOUS FISTULA,3423.68,,
31832,LAP KIDNEY REM W TOT URETER REMVL,3428.52,,
29877,"BRONCHOSCOPY,(RIGID OR FLEXIBLE),DIAGNOSTIC,W OR W/0 CELL WASHING(SEP P",345.00,,
31713,BYP GRAFT W VEIN; POPL-TIB PERONEAL ART,3450.56,,
30594,SUTURE SI FOR ULCER WND INJ; SGL PERF,3457.86,,
29861,"BIOPSY OF LIVER, PERCUTANEOUS NEEDLE",346.36,,
29999,"EXCIS BENIGN LES NOT SKIN TAG.,SCLP,NCK,HND,FT,GEN;1.1-2.0CM",347.84,,
31552,TOTAL HIP ARTHROPLASTY,3476.14,,
29878,"BYPASS GRAFT, WITH VEIN TIBIAL-TIBIAL, PERONEAL-TIBIAL, OR",3485.54,,
34115,RAD PRO X-RAY EXAM HIPS BI 3-4 VIEWS,35.15,,
33965,RAD PRO ORBITS MIN 4 VIEWS,35.38,,
31349,PERC PLACEMENT OF ENTEROCLYSIS TUBE,350.24,,
30282,POSTPARTUM CARE ONLY (SEPARATE PROCEDURE),351.25,,
30029,HOME VISIT FOR THE EVAL AND MGMT OF EST PATIENT WITH DETAILED INTERVAL,351.65,,
30330,"REMOVAL TUNNELED CENTRAL VENOUS CATH., W/O SUBCUTANEOUS PORT OR PUMP",352.02,,
30264,"PERCUTANEOUS TRANSLUMINAL CORONARY ATHERECTOMY, WITH INTRACORONARY STENT, WITH CORONARY ANGIOPLASTY WHEN PERFORMED EACH BRANCH",353.98,,
32433,ARTERY BYPASS GR WO V COMMON CAR-IPSI,3530.05,,
30358,RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(,354.03,,
30236,"OFFICE VISIT FOR E&M, NEW PATIENT 45 MINUTES",354.32,,
30342,"REPLACEMENT OF GASTRO-JEJUNOSTOMY TUBE, PERCUTANEOUS, UNDER",355.53,,
31749,DRAINAGE ABDOM ABSCESS OPEN,3561.08,,
34746,BRONCHSCOPY W/THER ASPIR 1ST,357.37,,
30545,TELETHERAPY  ISODOSE PLAN COMPLEX,358.72,,
32152,INJECT SPINE CERV/THOR WITH GUIDE,359.00,,
30810,EGD DIAGNOSTIC BRUSH WASH,359.42,,
33852,RAD PRO Hip Bilat incld Pelvis 3-4 Views,36.20,,
34024,RAD PRO RIBS BILATERAL W/O CHEST,36.20,,
29881,CARDIOVASC STRESS TST USG MAX/.; INTERPRETATION&REPT ONLY,36.38,,
31704,DEBRIDE NAIL 1-5,36.40,,
30676,DXA BONE DENSITY STUDY W VFA,36.78,,
30064,"INITIAL NURSING FACILITY CARE, PER DAY, FOR THE EVALUATION",360.08,,
33977,RAD PRO PLACE DEVICE LOC BREAST EACH LESION MAMMO,360.10,,
30332,"RENAL BIOPSY; PERCUTANEOUS, BY TROCAR OR NEEDLE",362.87,,
30688,CIRCUMCISION NEONATE <=28 DAYS,363.60,,
30392,"SPHINCTEROTOMY, ANAL, DIVISION OF SPHINCTER (SEPARATE PROCED",363.69,,
31516,BYPASS GRAFT W VEIN; FEM-POPLITEAL,3633.33,,
33304,EXC TR-EXT B9+MARG 2.1-3CM,364.22,,
32286,INTRO NEEDLE CATH DIALYSIS CIRCUIT PRO,365.03,,
29855,"ASPIRATION OF BLADDER, WITH INSERTION OF SUPRAPUBIC CATHETER",365.50,,
29998,"EPISIOTOMY OR VAGINAL REPAIR ONLY, BY OTHER THAN ATTENDING",366.33,,
33090,EXC S/N/H/F/G MAL+MRG 0.6-1,369.89,,
32690,REPAIR BLD VESSEL DIRECT; INTRA-ABDOM,3696.33,,
33795,"RAD PRO DXA BONE DENSITY STUDY HIP,PELVIS,SPINE W VFA",37.02,,
34104,RAD PRO X-RAY EXAM HIPS BI 5/> VIEWS,37.67,,
33730,RAD PRO CHEST COMPLETE MIN 4 VIEWS,37.71,,
33685,RAD PRO CERVICAL SPINE MIN 4 VIEWS,37.89,,
33861,RAD PRO LUMBAR SPINE MINIMUM 4 VIEWS,37.89,,
30397,"STEREOTACTIC BODY RADIATION THERAPY, TREATMENT DELIVERY,",3725.17,,
30260,PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY;SINGLE MAJOR ARTERY OR BRANCH,373.44,,
30408,"SUBSEQUENT NURSING FACILITY CARE, PER DAY",374.21,,
29936,"DELIVERY/BIRTHING ROOM RESUSCITATION, PROVISION OF POSITIVE PRESSURE",375.60,,
29885,"CERCLAGE OF CERVIX, DURING PREGNANCY;VAGINAL",375.63,,
32950,RADIOPH RX BY IV ADMIN,375.73,,
30729,PERI-PX PACEMAKER DEVICE EVL,38.34,,
34005,RAD PRO RIBS BILAT W CXR,38.46,,
29842,"ARTERIAL PUNCTURE, WITHDRAWAL OF BLOOD FOR DIAGNOSIS",38.60,,
33835,RAD PRO Hip - Bilat incld Pelvis 5+Views,38.80,,
34116,RAD PRO X-RAY EXAM ENTIRE SPINE 2 OR 3 VIEWS,38.80,,
33681,RAD PRO Chest Pa-Lat And Both Obl,38.84,,
30155,"INTRO CATHETER,AORTA(ARCH/ABDOM/MIDSTR REN/AORTOIL.);INIT PL",380.71,,
31442,INTERMDT WOUND REPAIR S/A/T/EXT 2.5CM OR LESS,380.80,,
30106,"INJECTION, ANESTHETIC AGENT;SPHENOPALATINE GANGLION",382.31,,
30242,OPEN/PERQ PLACE STENT EA ADD VEIN,383.15,,
34049,RAD PRO US Biopsy Breast Perc Auto w/ Image Guide Right MC,384.86,,
34113,RAD PRO US Biopsy Breast Perc Auto w/Image Gu LT MC,384.86,,
30225,OFFICE CONSULTATION LEVEL 4 FOR NEW EST PATIENT,385.02,,
31716,ANGIOSCOPY,385.62,,
32790,LAP PARTIAL COLECTOMY,3868.89,,
34524,RAD PRO INTERDISCAL PERQ ASPIR DX,387.24,,
30600,INSERT CATHETER PLEURA W/ IMAGE,387.46,,
31830,SIGMOIDOSCOPY FOR BLEEDING,389.55,,
34011,RAD PRO Ribs Bilateral With Pa Chest,39.61,,
32532,PARE BENIGN LES; SGL,39.79,,
30383,"SELECTIVE CATHETER PLACEMENT, VENOUS SYSTEM",391.70,,
31562,INSERTION OF CHEST TUBE,394.89,,
31715,REOPERATION BYPASS GRAFT,396.14,,
31080,STIM & PACING S/P IV DRUGS,396.78,,
30336,REPAIR INTERMEDIATE WOUNDS OF NECK HANDS FEET AND/OR EXTERNAL,399.15,,
31780,SUTURE SI FOR ULCER WND INJ; MULT PERF,3991.05,,
31376,RESECT OVARIAN MALIGNANCY W RAD DEBULK DISS,3991.48,,
31865,BREAST RECONST W TISS EXP,3999.14,,
34038,RAD PRO SKULL COMPLETE MIMIMUM 4 VIEWS,40.97,,
30000,"EXCIS BENIGN LES NOT SKIN TAG.,SCLP,NCK,HND,FT,GEN;2.1-3.0CM",402.18,,
31719,ESOPH EGD DILATION <30 MM,403.30,,
30070,INJ PARAVERT F JNT LUM/SAC 1 LEV,404.46,,
30326,REMOVAL OF INDWELLING TUNNELED PLEURAL CATHETER WITH CUFF,405.45,,
29907,COLPOSCOPY(VAGINOSCOPY W LOOP ELECTROSURGICAL EXCISION(S) CERVIX(LEEP),405.55,,
33651,LAP CLOSE ENTEROSTOMY,4070.19,,
31542,CLOSE ENTEROSTOMY; W RESECT & CR ANAST,4070.56,,
33677,"RAD PRO BX BRST,PERC VAC W/IM GD RT",409.35,,
30493,VENOUS CATHETERIZATION FOR SELECTIVE ORGAN BLOOD SAMPLING,411.57,,
30592,COLECTOMY PARTIAL; (HARTMANN TYPE),4116.95,,
29923,"CONVERSION OF GASTROSTOMY TUBE TO GASTRO-JEJUNOSTOMY TUBE, PERCUTANEOUS,",412.93,,
33099,BYP GRAFT W VEIN; FEM-ANT TIB POST TIB,4128.29,,
30141,"INTIAL INPATIENT CONSULTATION, NEW OR EST PATIENT 80 MINUTES",415.18,,
30287,"PRIMARY PERCUTANEOUS TRANSLUMINAL MECH THROMBECTOMY, NONCORONARY,",416.24,,
29984,"EMERG DEPT VISIT,COMPREHENSIVE HISTORY,EXAM,DECISON MAKING HIGH COMPLEXI",417.55,,
30381,"SELECTIVE CATHETER PLACEMENT, SEGMENTAL OR SUBSEGMENTAL PU",419.23,,
34009,RAD PRO Skull Complete Minimum 4 Views,42.20,,
29960,ECHO DOPPLE ADD-ON/PROF,42.32,,
33986,RAD PRO PYELOGRAM RETROGRADE,42.42,,
33749,RAD PRO C-Spine Complete WObl Flx&Ext,42.57,,
33884,RAD PRO MAMMARY DUCT/GALACTOGRAM SINGL,42.94,,
30222,"OBSERVATION OR INPATIENT HOSPITAL CARE,COMPREHENSIVE HISTORY,EXAM,MEDICA",420.40,,
31514,COLECTOMY PARTIAL; W COLOPROCTOSTOMY,4207.84,,
30078,"INJ,INCLUD CATHETER PLACEMENT,CONTINUOUS INFUSION OR INTERMITTENT BOLUS",421.51,,
30038,"I & D VAGINAL HEMATOMA, OB",421.64,,
34485,REMOVE W INS DRUG IMPLANT,425.96,,
29933,"CURRETTAGE,POSTPARTUM",426.29,,
30041,ILIAC REVASC ADD-ON EA ADD VESSEL,426.60,,
30811,EGD BIOPSY SINGLE/MULTIPLE,429.37,,
33705,RAD PRO CHOLANGIOGRAM IN OR,43.79,,
34070,RAD PRO Thyroid imaging w/blood flow,43.83,,
33722,RAD PRO CERVICAL SPINE COMPLETE,43.85,,
34082,RAD PRO X-RAY EXAM ENTIRE SPI 4/5 VW,43.97,,
31990,LAP PART COLECTOMY W/STOMA,4322.16,,
34515,COLECTOMY PART; W SL CECOSTOM/OSTOMY,4326.80,,
30377,SELECTIVE CATHETER PLACEMENT VENOUS SYSTEM;2ND ORDER OR MO,434.64,,
30005,EXCISION OF VAGINAL CYST OR TUMOR,434.88,,
32659,PRO-PRQ CARD REVASC CHRONIC ADDL,435.13,,
30250,PERCUT CORONARY THROMBECTOMY,435.69,,
30365,RT TX PLANNING; COMPLEX,436.57,,
31352,COLECTOMY P; W RESECT OR MUCOFISTULA,4368.44,,
30147,"INTRAVASCULAR ULTRASOUND (NON-CORONARY VESSEL), RADIOLOGICAL SUPERVISI",437.09,,
30130,INSRTN OR REPLCMNT OF TEMP.TRANSVENOUS SNGLE CHMBR CARDIACE ELCTRD/PCMKR,439.09,,
29978,"ELECTROCARDIOGRAM, ROUTINE ECG WITH 12 LEADS, PERFORMED AS A SCREENING",44.44,,
29834,ANNUAL WELLNESS VISIT  INCLUDES A PERSONALIZED PREVENTION PLAN OF,440.09,,
30089,"INJECTION PROCEDURE FOR DISCOGRAPHY, EACH LEVEL, LUMBAR",441.37,,
31517,LAPAROSCOPY PARAE HERNIA REPAIR W/MESH,4411.58,,
32951,REPAIR TCAT MITRAL VALVE PRO,4412.81,,
31782,UPPR GI SCOPE W/SUBMUC INJ,445.03,,
32287,DIALYSIS CIRCUIT EMBOLJ,445.67,,
33924,RAD PRO MRI Breast Biopsy Left MC,446.33,,
33920,RAD PRO MRI Breast Biopsy Right MC,446.33,,
31669,EXCISION S/N/H/F/G MALIG LESION 1.1 - 2CM,447.03,,
34285,RAD PRO HYSTEROSALPINGOGRAPHY S&I,45.53,,
31354,LAPAROSCOPY COLECTOMY/COLOPROCTOSTOMY,4516.16,,
30052,"INCISION AND DRAINAGE, COMPLEX, POSTOPERATIVE WOUND INFECTIO",453.12,,
30157,INTRODUCTION OF GUIDE INTO RENAL PELVIS AND/OR URETER,454.25,,
34486,PARTIAL HYMENECTOMY OR REVISION,455.02,,
30159,INTRODUCTION OF INTRACATHETER OR CATHETER INTO RENAL PELVIS,455.69,,
30001,"EXCIS BENIGN LES NOT SKIN TAG.,SCLP,NCK,HND,FT,GEN;3.1-4.0CM",457.02,,
30199,MARSUPIALIZATION OF BARTHOLIN'S GLAND CYST,458.74,,
30217,NURSING FACILITY CARE INIT 45 MIN,458.80,,
29897,CHEMODENERVATION OF MUSCLE(S); NECK MUSCLE(,459.11,,
30821,I&D ABSC; COMPL OR MULTI,459.62,,
29843,"ARTERY X-RAY, EACH VESSEL",46.34,,
30472,"UROGRAPHY, ANTEGRADE (PYELOSTOGRAM, NEPHROSTOGRAM,",46.82,,
30237,"OFFICE VISIT FOR E&M, NEW PATIENT 60 MINUTES",460.34,,
29880,"CARDIOPULMONARY RESUSCITATION (EG, IN CARDIAC ARREST)",460.83,,
33758,RAD PRO CT GUIDANCE TISSUE ABLATION,461.41,,
30066,INITIAL OBSERVATION CARE PER DAY FOR EVAL & MGMT OF PATIENT-HIGH COMPLEX,462.00,,
31355,LAPAROSCOPY MOBILIZATION SPLENIC FL ADD-ON,463.61,,
29905,"COLPOSCOPY OF CERVIX INCLUDING ADJ VAGINA,W LOOP ELECTRODE CERVIX",464.09,,
32695,PROCTECTOMY; CPLT ABDOMINOPERINEAL,4641.45,,
