Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3,Missing
50071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,4082366400,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"700 LAWRENCE EXPRESSWAY SANTA CLARA, CA (37.335456, -121.995767)",https://healthy.kaiserpermanente.org/northern-california/facilities/kaiser-permanente-santa-clara-medical-center-and-medical-offices-100305,https://thrive.kaiserpermanente.org/care-near-you/northern-california/santaclara/locations/santa-clara-medical-center-2/,https://thrive.kaiserpermanente.org/care-near-you/northern-california/santaclara/,TRUE
60126,BANNER FORT COLLINS MEDICAL CENTER,4700 LADY MOON DR,FORT COLLINS,CO,80528,LARIMER,9708214000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"4700 LADY MOON DR FORT COLLINS, CO (40.521117, -105.010885)",https://www.bannerhealth.com/locations/fort-collins/banner-fort-collins-medical-center,https://www.bannerhealth.com/locations/fort-collins/banner-fort-collins-medical-center-er,https://www.bannerhealth.com/locations/fort-collins/banner-health-center-lady-moon,TRUE
110142,EVANS MEMORIAL HOSPITAL,200 N RIVER STREET,CLAXTON,GA,30417,EVANS,9127395105,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"200 N RIVER STREET CLAXTON, GA (32.164133, -81.900403)",https://evansmemorialhospital.org/,https://evansmemorialhospital.org/contact-us.html,https://www.evansmemorialhospital.org/directions.html,TRUE
60014,PRESBYTERIAN ST LUKES MEDICAL CENTER,1719 E 19TH AVE,DENVER,CO,80218,DENVER,3038396000,Acute Care Hospitals,Government - State,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1719 E 19TH AVE DENVER, CO (39.746089, -104.967175)",https://pslmc.com/,https://pslmc.com/about/contact.dot,https://pslmc.com/careers/search.dot,TRUE
60016,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,1338 PHAY AVENUE,CANON CITY,CO,81212,FREMONT,7192852000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"1338 PHAY AVENUE CANON CITY, CO (38.455747, -105.230264)",https://www.centura.org/locations/st-thomas-more-hospital,https://www.centura.org/locations/st-thomas-more-hospital/medical-services,https://www.centura.org/locations/st-thomas-more-hospital/about,TRUE
80001,"CHRISTIANA CARE HEALTH SERVICES, INC.",4755 OGLETOWN-STANTON ROAD,NEWARK,DE,19718,NEW CASTLE,3027331000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"4755 OGLETOWN-STANTON ROAD NEWARK, DE (39.689909, -75.673228)",https://christianacare.org/facilities/christianahospital/,https://christianacare.org/,https://christianacare.org/facilities/,TRUE
30022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,MARICOPA,6023445011,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"2601 EAST ROOSEVELT STREET PHOENIX, AZ (33.458525, -112.02643)",http://mihs.org/,https://www.dmgaz.org/maricopa-medical-center/,https://www.maricopaemergencymedicine.com/maricopa-medical-center.html,TRUE
30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,MARICOPA,6027956020,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"6501 NORTH 19TH AVENUE PHOENIX, AZ (33.531837, -112.099614)",https://www.thecoreinstitutehospital.com/,https://www.thecoreinstitutehospital.com/contact-us/,https://www.thecoreinstitute.com/physician/item/surgical-specialty-hospital-of-arizona.html,TRUE
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"810 ST VINCENT'S DRIVE BIRMINGHAM, AL (33.508015, -86.788755)",https://healthcare.ascension.org/Locations/Alabama/ALBIR/Birmingham-St-Vincents-Birmingham,https://healthcare.ascension.org/Locations/Alabama/ALBIR/Birmingham-St-Vincents-Birmingham/Our-Specialties,http://www.stvhs.com/birmingham/default.asp,TRUE
100252,RAULERSON HOSPITAL,1796 HWY 441 NORTH,OKEECHOBEE,FL,34972,OKEECHOBEE,8637632151,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"1796 HWY 441 NORTH OKEECHOBEE, FL (27.207002, -80.809229)",https://raulersonhospital.com/,https://raulersonhospital.com/about/contact.dot,https://raulersonhospital.com/about/phone-directory/,TRUE
60012,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,1008 MINNEQUA AVE,PUEBLO,CO,81004,PUEBLO,7195574000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"1008 MINNEQUA AVE PUEBLO, CO (38.233211, -104.622789)",https://www.centura.org/locations/st-mary-corwin-medical-center,https://www.centura.org/locations/st-mary-corwin-medical-center/medical-services,https://www.centura.org/locations/st-mary-corwin-medical-center/about,TRUE
100150,LOWER KEYS MEDICAL CENTER,5900 COLLEGE ROAD,KEY WEST,FL,33040,MONROE,3052945531,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"5900 COLLEGE ROAD KEY WEST, FL (24.581573, -81.743688)",https://www.lkmc.com/,https://www.lkmc.com/career-opportunities,https://www.lkmc.com/contact,TRUE
110164,COLISEUM MEDICAL CENTERS,350 HOSPITAL DRIVE,MACON,GA,31217,BIBB,4787657000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"350 HOSPITAL DRIVE MACON, GA (32.84577, -83.6188)",https://coliseumhealthsystem.com/,https://coliseumhealthsystem.com/about/contact.dot,https://coliseumhealthsystem.com/location/coliseum-medical-centers,TRUE
10146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"1701 SOUTH PELHAM ROAD JACKSONVILLE, AL (33.785191, -85.761263)",https://rmccares.org/hospitals/rmc-jacksonville/,https://rmccares.org/family-practices/jacksonville-primary-care/,https://www.al.com/business/index.ssf/2018/05/rmc_jacksonville_to_close_jsu.html,TRUE
50225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,PARADISE,CA,95969,BUTTE,5308779361,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,"5974 PENTZ ROAD PARADISE, CA (39.756161, -121.572305)",https://www.adventisthealth.org/feather-river/,https://www.adventisthealth.org/services/laboratory-services/,https://en.wikipedia.org/wiki/Adventist_Health_Feather_River,TRUE
50192,ADVENTIST HEALTH REEDLEY,372 W CYPRESS AVE,REEDLEY,CA,93654,FRESNO,5596388155,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,3,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"372 W CYPRESS AVE REEDLEY, CA (36.607812, -119.451695)",https://www.adventisthealth.org/locations/adventist-health-medical-office-reedley/,https://www.adventisthealth.org/reedley/,https://www.adventisthealth.org/locations/adventist-health-medical-office-reedley-cypress/,TRUE
100124,SANTA ROSA MEDICAL CENTER,6002 BERRYHILL RD,MILTON,FL,32570,SANTA ROSA,8506267762,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"6002 BERRYHILL RD MILTON, FL (30.632616, -87.06825)",https://www.srmcfl.com/,https://www.srmcfl.com/phone-directory,https://www.srmcfl.com/career-opportunities,TRUE
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"3555 CESAR CHAVEZ STREET SAN FRANCISCO, CA (37.74805, -122.420987)",https://health.usnews.com/best-nursing-homes/area/ca/california-pacific-medical-center-st-lukes-campus-555243,https://www.sutterhealth.org/find-location/facility/cpmc-mission-bernal-campus,https://www.sutterhealth.org/for-patients/mission-bernal-cpmc,TRUE
110184,WELLSTAR DOUGLAS HOSPITAL,8954 HOSPITAL DRIVE,DOUGLASVILLE,GA,30134,DOUGLAS,7709491500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"8954 HOSPITAL DRIVE DOUGLASVILLE, GA (33.738973, -84.73305)",https://www.wellstar.org/locations/pages/wellstar-douglas-hospital.aspx,https://www.wellstar.org/locations/pages/practice-detail.aspx?lid=f631199c-e3f8-4034-95e3-f4e478fd568d,https://www.wellstar.org/locations/pages/wellstar-douglasville-practices.aspx,TRUE
50077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,6192948111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"4077 5TH AVE SAN DIEGO, CA (32.751211, -117.161024)",https://www.scripps.org/locations/hospitals/scripps-mercy-hospital/scripps-mercy-hospital-san-diego,https://www.scripps.org/locations/hospitals/scripps-mercy-hospital,https://www.scripps.org/locations/specialty-centers/mercy-clinic,TRUE
50121,ADVENTIST HEALTH HANFORD,115 MALL DRIVE,HANFORD,CA,93230,KINGS,2094107200,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"115 MALL DRIVE HANFORD, CA (36.323877, -119.669005)",https://www.adventisthealth.org/hanford/,https://www.adventisthealth.org/locations/,https://www.adventisthealth.org/hanford/contact-us/,TRUE
100080,JFK MEDICAL CENTER,5301 S CONGRESS AVE,ATLANTIS,FL,33462,PALM BEACH,5619657300,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"5301 S CONGRESS AVE ATLANTIS, FL (26.598548, -80.09031)",https://jfkmc.com/,https://jfkmc.com/about/contact.dot,https://jfkmc.com/about/phone-directory/,TRUE
40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,5017766000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,"#1 MEDICAL PARK DRIVE BENTON, AR (34.573552, -92.584405)",http://www.salinememorial.org/,http://www.salinememorial.org/contact_us/phone_number_directory.aspx,http://www.salinememorial.org/join_our_team/career_information.aspx,TRUE
90011,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,DC,20010,THE DISTRICT,2028777000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,"110 IRVING ST NW WASHINGTON, DC (38.929157, -77.012268)",https://www.medstarwashington.org/,https://www.medstarhealth.org/mmg-medstar-whc/,https://www.medstarhealth.org/mhs/venue/medstar-washington-hospital-center-4/,TRUE
50589,PLACENTIA LINDA HOSPITAL,1301 N ROSE DRIVE,PLACENTIA,CA,92870,ORANGE,7149932000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"1301 N ROSE DRIVE PLACENTIA, CA (33.886612, -117.842096)",https://www.placentialinda.com/,https://www.placentialinda.com/contact-us,https://www.placentialinda.com/about-us/careers,TRUE
50424,SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,SAN DIEGO,8584559100,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,"10666 NORTH TORREY PINES ROAD LA JOLLA, CA (32.897124, -117.241854)",https://www.scripps.org/locations/hospitals/scripps-green-hospital,https://www.scripps.org/locations/scripps-clinic/scripps-clinic-torrey-pines,https://www.yelp.com/biz/scripps-green-hospital-la-jolla,TRUE
110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,FULTON,4046055000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,"1968 PEACHTREE RD NW ATLANTA, GA (33.807479, -84.393754)",https://www.piedmont.org/locations/piedmont-atlanta/pah-home,https://www.piedmont.org/locations/piedmont-atlanta/pah-driving-directions,https://www.piedmont.org/,TRUE
70020,MIDDLESEX HOSPITAL,28 CRESCENT ST,MIDDLETOWN,CT,6457,MIDDLESEX,8603446000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,"28 CRESCENT ST MIDDLETOWN, CT (41.554865, -72.647633)",https://middlesexhealth.org/,https://middlesexhealth.org/location-finder/middlesex-hospital,https://www.ahd.com/free_profile/070020/Middlesex_Hospital/Middletown/Connecticut/,TRUE
100291,STEWARD MELBOURNE HOSPITAL,250 NORTH WICKHAM ROAD,MELBOURNE,FL,32935,BREVARD,3217521200,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"250 NORTH WICKHAM ROAD MELBOURNE, FL (28.109804, -80.67261)",https://www.melbourneregional.org/,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=141039,https://www.healthcare4ppl.com/hospital/fl/melbourne/steward-melbourne-hospital-100291.html,TRUE
60076,STERLING REGIONAL MEDCENTER,615 FAIRHURST ST,STERLING,CO,80751,LOGAN,9705220122,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"615 FAIRHURST ST STERLING, CO (40.613684, -103.220524)",https://www.bannerhealth.com/locations/sterling/sterling-regional-medcenter,https://www.bannerhealth.com/ways-to-give/foundations/sterling,https://www.ahd.com/free_profile/060076/Sterling_Regional_MedCenter/Sterling/Colorado/,TRUE
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"50 MEDICAL PARK EAST DRIVE BIRMINGHAM, AL (33.595351, -86.665182)",https://healthcare.ascension.org/Locations/Alabama/ALBIR/Birmingham-St-Vincents-East,https://healthcare.ascension.org/Locations/Alabama/ALBIR/Birmingham-St-Vincents-East/Medical-Records-Request,https://www.yelp.com/biz/st-vincents-east-birmingham,TRUE
50710,KAISER FOUNDATION HOSPITAL - FRESNO,7300 NORTH FRESNO ST,FRESNO,CA,93720,FRESNO,5594484500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,This hospital's star rating only includes data reported on inpatient services.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"7300 NORTH FRESNO ST FRESNO, CA (36.84278, -119.783436)",https://healthy.kaiserpermanente.org/northern-california/facilities/kaiser-permanente-fresno-medical-center-100363,https://thrive.kaiserpermanente.org/care-near-you/northern-california/fresno/locations/fresno-medical-center/,https://thrive.kaiserpermanente.org/care-near-you/northern-california/fresno/locations/fresno-medical-center/campus-map/,TRUE
100275,WELLINGTON REGIONAL MEDICAL CENTER LLC,10101 FOREST HILL BLVD,WELLINGTON,FL,33414,PALM BEACH,5617988500,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"10101 FOREST HILL BLVD WELLINGTON, FL (26.650806, -80.204858)",https://www.wellingtonregional.com/,https://www.wellingtonregional.com/about/contact-us,https://www.wellingtonregional.com/patients-visitors/phone-directory,TRUE
50767,KAISER FOUNDATION HOSPITAL - VACAVILLE,1 QUALITY DRIVE,VACAVILLE,CA,95688,SOLANO,7076244000,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,This hospital's star rating only includes data reported on inpatient services.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1 QUALITY DRIVE VACAVILLE, CA (38.390073, -121.936776)",https://healthy.kaiserpermanente.org/northern-california/facilities/vacaville-medical-center-100315,https://thrive.kaiserpermanente.org/care-near-you/northern-california/napasolano/locations/vacaville-hospital-trauma-center-medical-offices/,https://m.kp.org/mt/healthy.kaiserpermanente.org/health/care/poc/!ut/p/a1/dc1NC4JAGATg39LBY7xjW2Ld1Ch2xb4_bC-xWdmSuCJL4L-vpA4dmtswDwxJSkmW6qFzZbUpVfHu0jtOxHoehm4AhKIPngSz1UAIAC4JknlhTi099OokSnKSlbK3ri6vhtLKZO_lZm01cuDgqjJdaNt0z7q-ZNbUjQOS-kypCzB3QHuSv5_-lo3Bt9Ek8pb8hfABYHzZgunCA7gfb-LdMGZA7wv-JABVd3lqGDQPOp0niMV39Q!!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/pw/Z7_FJSOBB1A00BJ40IMANR5JJ00G2/ren/p=id=100315/p=viewID=department_specialties/p=_rvip=QCPjspQCPFacilityDirectoryHome.jsp/p=_rap=facilityCtrl.viewDeptList/p=com.ibm.faces.portlet.mode=view/p=javax.servlet.include.path_info=QCPjspQCP_rlvid.jsp/=/?un_jtt_v_expand=108507%7C,TRUE
100090,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,SAINT AUGUSTINE,FL,32086,ST. JOHNS,9048194426,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"400 HEALTH PARK BLVD SAINT AUGUSTINE, FL (29.862616, -81.31748)",https://www.flaglerhospital.org/,https://www.flaglerhospital.org/Contact-Us.aspx,https://www.flaglerhospital.org/Employment/Job-Listings.aspx,TRUE
50289,SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,DALY CITY,CA,94015,SAN MATEO,6509924000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"1900 SULLIVAN AVENUE DALY CITY, CA (37.680315, -122.47291)",https://seton.verity.org/patients-and-visitors/,https://www.yelp.com/biz/seton-medical-center-daly-city,https://www.vitals.com/hospital/3ht0bm/seton-medical-center-daly-city,TRUE
50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,Acute Care Hospitals,Proprietary,FALSE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"531 W COLLEGE ST LOS ANGELES, CA (34.064627, -118.239249)",https://www.pamc.net/,https://www.yelp.com/biz/pacific-alliance-medical-center-los-angeles-2,https://locator.lacounty.gov/lac/Location/3179394/pacific-alliance-medical-center,TRUE
40069,GREAT RIVER MEDICAL CENTER BLYTHEVILLE AR,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,8708387300,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,1,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"1520 N DIVISION STREET BLYTHEVILLE, AR (35.943011, -89.918929)",http://www.mchsys.org/getpage.php?name=greatriver,http://www.mchsys.org/,http://www.mchsys.org/getpage.php?name=contact,TRUE
30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,QUEEN CREEK,AZ,85140,PINAL,4803944030,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"37000 NORTH GANTZEL ROAD QUEEN CREEK, AZ (33.214839, -111.563447)",https://www.bannerhealth.com/locations/queen-creek/banner-ironwood-medical-center,https://www.bannerhealth.com/locations/queen-creek/banner-ironwood-medical-center-er,https://www.ahd.com/free_profile/030130/Banner_Ironwood_Medical_Center/Queen_Creek/Arizona/,TRUE
50084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,2099432000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1800 N CALIFORNIA ST STOCKTON, CA (37.970737, -121.289251)",https://www.dignityhealth.org/central-california/locations/stjosephs-stockton,https://www.dignityhealth.org/central-california/locations/stjosephs-stockton/contact-us,https://locations.dignityhealth.org/st-joseph-s-medical-center-stockton-ca,TRUE
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,MARICOPA,6022392000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"1111 EAST MCDOWELL ROAD PHOENIX, AZ (33.465724, -112.058127)",https://www.bannerhealth.com/locations/phoenix/banner-university-medical-center-phoenix,https://www.bannerhealth.com/locations/phoenix/banner-university-medical-center-phoenix-er,https://www.castleconnolly.com/hospitals/full.cfm?id=COT1399,TRUE
100243,BRANDON REGIONAL HOSPITAL,119 OAKFIELD DR,BRANDON,FL,33511,HILLSBOROUGH,8136815551,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"119 OAKFIELD DR BRANDON, FL (27.934002, -82.288303)",https://brandonhospital.com/,https://brandonhospital.com/about/contact.dot,https://brandonhospital.com/careers/,TRUE
50736,MONTEREY PARK HOSPITAL,900 S ATLANTIC BLVD,MONTEREY PARK,CA,91754,LOS ANGELES,6265709000,Acute Care Hospitals,Proprietary,FALSE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"900 S ATLANTIC BLVD MONTEREY PARK, CA (34.049769, -118.138751)",https://www.montereyparkhosp.com/,https://www.montereyparkhosp.com/Contact-Us.aspx,https://www.montereyparkhosp.com/Jobs.aspx,TRUE
70021,WINDHAM COMM MEM HOSP & HATCH HOSP,112 MANSFIELD AVENUE,WILLIMANTIC,CT,6226,WINDHAM,8604569116,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"112 MANSFIELD AVENUE WILLIMANTIC, CT (41.716569, -72.224068)",https://windhamhospital.org/,https://www.plushcare.com/hospital/windham-comm-mem-hosp--hatch-hosp/,https://projects.propublica.org/emergency/hospital/070021,TRUE
50426,WEST ANAHEIM MEDICAL CENTER,3033 W ORANGE AVENUE,ANAHEIM,CA,92804,ORANGE,7148273000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"3033 W ORANGE AVENUE ANAHEIM, CA (33.824735, -117.995115)",https://www.westanaheimmedctr.com/,https://www.westanaheimmedctr.com/Contact-Us.aspx,https://www.westanaheimmedctr.com/Careers.aspx,TRUE
