Tufts Medical Center -- Standard Charges eff. 1/1/2019,,
,,
Item Number,Description,Price
9950,IMPLANT SYNEX LG ENDPLT 10DX33,13942
9951,IMPLANT SYNEX LG ENDPLT 20DX37,14104
9952,IMPLANT SYNEX SM ENDPLT 5DX/36,14500
9953,IMPLANT SYNMESH OBLNG 17X22X88,12268
9954,IMPLANT SYNMESH RND 15X88MM,9470
9955,IMPLANT TRANSPHENOIDAL SELLAR,650
9956,INJECTOR UTERINE MANIPULATOR,59
9957,INSERT CROSSFIRE2 28X50 0DEG,1186
9958,INSERT CROSSFIRE2 32X54 10DEG,2826
9959,INSERT CROSSLINK 12.5MM,4045
9960,INSERT CROSSLINK 2.5/8MM,1246
9961,INSERT CROSSLINK 8MM,1246
9962,INSERT CROSSLINK STAB 8MM,4045
9963,INSERT CROSSLINK STABLE SZ2,3816
9964,INSERT CROSSLINKED CVD 12.5M,3844
9965,INSERT CROSSLINKED CVD 8MM,3718
9966,INSERT CROSSLINKED CVD SZ4 10M,2856
9967,INSERT CROSSLINKED CVD SZ5 10M,3718
9968,INSERT CROSSLINKED CVD SZ5 8MM,3844
9969,INSERT CROSSLINKED PLI 10MM,3234
9970,INSERT CROSSLINKED PLI 12.5MM,1296
9971,INSERT CROSSLINKED PLI 8MM,2944
9972,INSERT CROSSLINKED PLI 8MM 2.5,3844
9973,INSERT CROSSLINKED PLI 8MM 4,3844
9974,INSERT CVD 2.5X8,80
9975,INSERT CVD TIBIAL 5/8MM 83X55,786
9976,INSERT CVD TIBIAL KNE 10X71X47,786
9977,INSERT CVD TIBIAL KNEE 10X64,786
9978,INSERT CVD TIBIAL KNEE 10X67,786
9979,INSERT CVD TIBIAL KNEE 61X41,786
9980,INSERT CVD TIBIAL KNEE 64X43,786
9981,INSERT CVD TIBIAL KNEE 76X51,786
9982,INSERT CVD TIBIAL KNEE 83X55,786
9983,INSERT CVD TIBIAL KNEE 8MM,786
9984,INSERT CVD TIBIAL KNEE 8MM.,786
9985,INSERT CVD TIBIAL KNEE 8X71X45,786
9986,INSERT JAW FOR PO187R/PM187R,528
9987,INSERT MTL/MTL 28MM 44D,4100
9988,INSERT PINNACLE MTL NEUT 36X54,3806
9989,INSERT PINNACLE MTL NEUT 36X56,3806
9990,INSERT PINNACLE MTL NEUT 36X60,3806
9991,INSERT PLI 2.5X8,70
9992,INSERT POST LIP TIB 10X58X38,726
9993,INSERT ROT PLAT CVD TIB 10MM,4421
9994,INSERT ROT PLAT CVD TIB 12MM,2722
9995,INSERT ROT PLAT CVD TIB 2.5X10,2722
9996,INSERT ROT PLAT CVD TIB 3X10,2722
9997,INSERT ROT PLAT CVD TIB 4X10,2086
9998,INSERT STABILIZED SZ2 10MM,1646
9999,INSERT STABILIZED SZ2 8MM,1246
10000,INSERT STABILIZED SZ2.5 10MM,1246
10001,INSERT STABILIZED SZ3 8MM,1646
10002,INSERT STABILIZED SZ4 8MM,1646
10003,INSERT TIBIAL 10.0MM,846
10004,INSERT TIBIAL 12.5MM 76X51,1142
10005,INSERT TIBIAL 61X41X10 1.5,846
10006,INSERT TIBIAL 61X41X8,846
10007,INSERT TIBIAL 64X43X10 2,846
10008,INSERT TIBIAL 64X43X12.5,846
10009,INSERT TIBIAL 64X43X8,846
10010,INSERT TIBIAL 8.0MM,846
10011,INSERT TIBIAL 83X55X8.0,846
10012,INSERT TIBIAL KNEE 83X55X17.5,1142
10013,INSERT TIBIAL PFC KNEE 10MM,3882
10014,INSERT TIBIAL PFC KNEE 64X43,726
10015,INSERT TIBIAL PLI 10MM,726
10016,INSERT TIBIAL PLI 10X67X45,726
10017,INSERT TIBIAL PLI 2.5 8X67X45,726
10018,INSERT TIBIAL PLI 4 10X76X51,726
10019,INSERT TIBIAL PLI 83X55X10,726
10020,INSERT TIBIAL PLI 8X64X43,726
10021,INSERT TIBIAL PLI 8X71X47,726
10022,INSERT TIBIAL PLI 8X76X51,726
10023,INSERT TIBIAL RP STAB SZ2 10MM,2726
10024,INSERT TIBIAL RP STAB SZ3 10MM,2726
10025,INSERT TIBIAL RP STAB SZ4 10MM,2726
10026,INSERT TIBIAL RP STAB SZ4 12.5,2726
10027,INSERT TIBIAL STAB 10MM,846
10028,INSERT TIBIAL STAB 2.5X17.5,846
10029,INSERT TIBIAL STAB 2.5X8,846
10030,INSERT TIBIAL STAB 67X45X10,846
10031,INSERT TIBIAL STAB 71X45,846
10032,INSERT TIBIAL STAB 8MM,846
10033,INSERT CR TIBIAL #6 TRIATHLON,3586
10034,INSERT X3 POLY 0D 36MM 54-56 S,1700
10035,INSERT ALUMINA 32MM 50-52 TRID,4614
10036,INSERT ALUMINA 32MM 54-56 TRID,4420
10037,INSERT TRIDENT POLY 0DEG 32MM,2826
10038,KIT ACCESS PORT GASTRIC 9/10,1190
10039,KIT ACCESSORY,170
10040,KIT ACCESSORY BACLOFIN PUMPS,170
10041,KIT ARTHROSCOPIC 3 PIN 40X1.3,1080
10042,KIT ARTHROSCOPIC 5 PIN 40X1.3,1763
10043,KIT BIO-TENODESIS,390
10044,DRAIN PRATT 10FX30CM RND .75,24
10045,KIT CENTRAL 2LUMEN 4FX13CM,72
10046,KIT CUEVA ELECTRODE 2MM,550
10047,KIT CRANIOPLASTY CEMENT,2568
10048,KIT CVC 4FX8 2LUM,60
10049,KIT CVC 5.5FX13 3LUM,91
10050,KIT CVC 7FX16 2LUM,56
10051,KIT NOVUS VALVE MINI MED PRESS,2739
10052,KIT GASTRIC BAND/DISECTOR C,6456
10053,KIT HABIB 4X,8250
10054,KIT HICKMAN CATH 9.0F 2LUM,362
10055,KIT INFUSE BONE GRAFT LG,11470
10056,KIT INFUSE BONE GRAFT SM,7390
10057,KIT LAP BAND ACCESS PORT LO,1650
10058,KIT LEAD END CAP,50
10059,KIT MANIFOLD SPINES,330
10060,KIT MONITOR CUEVA FOSSA MIDDLE,264
10061,KIT VERTPLASTY PCD 11G,4800
10062,KIT VERTPLASTY PCD 13G,4800
10063,KIT XLIF DISPO,2090
10064,KNEE FEMORAL CEMENT SZ1 54X50,4012
10065,LAPSAC 2X5 50ML RT BLU,48
10066,LAPSAC 5X8 750ML,98
10067,LAPSAC 6X4 200ML,98
10068,LAPSAC 8X10 1500ML,98
10069,LEG CONTRALATERAL 16MMX13.5CM,6574
10070,LINER ACETAB L SERIES 32MM,2500
10071,LINER ACETABULAR +4 28/50,1764
10072,LINER ACETABULAR +4 28X48,1396
10073,LINER ACETABULAR +4 32MM ANG,1764
10074,LINER ACETABULAR +4 32X48,1196
10075,LINER ACETABULAR +4 32X52,1614
10076,LINER ACETABULAR +4 32X54,1416
10077,LINER ACETABULAR +4 32X56,1416
10078,LINER ACETABULAR +4 32X58,1764
10079,LINER ACETABULAR +4 36X56,3770
10080,LINER ACETABULAR +4 48X74,2736
10081,LINER ACETABULAR +4 52X32,1396
10082,LINER ACETABULAR +4 56X36 NEU,3691
10083,LINER ACETABULAR 22.225MM SZ42,2544
10084,LINER ACETABULAR 26X44,2704
10085,LINER ACETABULAR 28X50,1266
10086,LINER ACETABULAR 32X54,1286
10087,LINER ACETABULAR 32X56,1286
10088,LINER ACETABULAR 32X58,1286
10089,LINER ACETABULAR 32X60,1522
10090,LINER ACETABULAR 46X28 ANG,1404
10091,LINER ACETABULAR 48X28,1266
10092,LINER ACETABULAR 52X32,1286
10093,LINER ACETABULAR 56X36 NEU ANG,1666
10094,LINER ACETABULAR 62X32,1286
10095,LINER CAST PROCEL 2IN,22
10096,LINER M SER 0D 26 S ROM,666
10097,MANIPULATOR ENDO UTERINE STD,110
10098,MATRIX COLLAGEN SURGIMEND 4X7,1064
10099,MATRIX COLLAGEN VERITAS 10X16,8640
10100,MATRIX COLLAGEN VERITAS 12X25,16200
10101,MATRIX COLLAGEN VERITAS 8X14,4852
10102,MATRIX FORMAGRAFT BONE 10CC,2308
10103,MATRIX OSTEOCEL+ BONE 10CC,8800
10104,MATRIX OSTEOCEL+ BONE 1CC,1150
10105,MATRIX OSTEOCEL+ BONE 5CC,5300
10106,GRAFT DURAMATRIX-ONLAY COL 1X1,474
10107,GRAFT DURAMATRIX-ONLAY COL 4X5,1891
10108,GRAFT DURAMATRIX-ONLAY COL 2X2,852
10109,GRAFT DURAMATRIX-ONLAY COL 3X3,1277
10110,MESH 1.7MM DYNAMIC 90X90X0.3,1341
10111,MESH 1.7MM DYNAMIC 90X90X0.6,1941
10112,MESH 12X15X11,4540
10113,MESH 12X15X8,4950
10114,MESH 3D MAX LG RT 4X6IN,500
10115,MESH 3D MAX MED LFT 3X5,439
10116,MESH 3D MAX MED RT 3X5,439
10117,MESH COMPOSIX 4X8,926
10118,MESH DYNAMIC 90X90X0.6,3402
10119,MESH MANDIBULAR ANG SEG 2.0,2194
10120,MESH MANDIBULAR SEG 2.0 LFT,1454
10121,MESH MANDIBULAR SEG 2.0 LG LFT,6275
10122,MESH MANDIBULAR SEG 2.0 LG RT,3064
10123,MESH MANDIBULAR SEG 2.0 SHT RT,2118
10124,MESH OVAL 17X22MM 50MM HEIGHT,11165
10125,MESH OVAL TRP 8X12,8710
10126,MESH PARIETEX 10X8IN,2062
10127,MESH PARIETEX 12X8IN,2248
10128,MESH RESORBABLE,1203
10129,MESH ROUND 13X8,4540
10130,MESH TITANIUM MICRO 15.2X66MM,281
10131,MODULE II NV DUAL ELECTRODES,2990
10132,NAIL T2 SUPRA CONDYLAR 13X340,3081
10133,NAIL TI CAN TRC 130D 11X380 L,2915
10134,NAIL TI CAN TRC 130D 11X400 R,3805
10135,NAIL TI CANN FEM 11X340 ST,1636
10136,NAIL TI CANN FEM 11X380 ST,1636
10137,NAIL TI CANN FEM 12X340 ST,1636
10138,NAIL TI CANN FEM 12X440 ST,1636
10139,NAIL TI CANN FEM 14X380 ST,1636
10140,NAIL TI ELASTIC 2.0X440,656
10141,NAIL TI ELASTIC 2.5X440,704
10142,NAIL TI ELASTIC 3.0X440,744
10143,NAIL TI ELASTIC 3.5X440,786
10144,NAIL TI ELASTIC 4.0X440,844
10145,NAIL TI SLD TIB 10X285,1584
10146,NEEDLE 3HOLE ASPIRATION,350
10147,NEEDLE BIOPSY TRU CUT 14GX4.5,28
10148,NEEDLE FR SPRING EYE INTEST.5,10
10149,NEEDLE MICRO-DISSECTING 4CM ST,74
10150,NEEDLE NORIAN DEL 10CC 10G,348
10151,NEEDLE NUVASIVE ASPIRATION,230
10152,NEEDLE SPINAL 22GX7 BLK,9
10153,NEEDLE VERPLASTY 11G,540
10154,NEEDLE VERPLASTY 13G,540
10155,NEEDLE VERRES 150MM DISPO,27
10156,NUT AXIS 11MM FLAT WIDTH TITAN,108
10157,NUT DOMED,160
10158,NUT HEX,150
10159,NUT MAGNUM OUTER,150
10160,NUT OUTER X CONNECTOR SPINE,281
10161,OFFSET LATERAL 10MM,1700
10162,OSTEOTOME CVD CUSTOM,596
10163,OSTEOTOME FLEXIBLE 10X3,572
10164,OSTEOTOME FLEXIBLE 6MMX1.5,572
10165,OSTEOTOME FLEXIBLE 6MMX3,572
10166,OSTEOTOME STR CUSTOM,717
10167,PACKING NASAL POPE POSTERIOR,48
10168,PANEL RESORBABLE 90X90,1203
10169,PATCH SOFT TISSUE 5X10 1MM,388
10170,PATELLA DOME W/CENTRAL PEG 28M,650
10171,PATELLA OVAL DOME 32MM,1470
10172,PATELLA OVAL DOME 35MM,1572
10173,PATELLA OVAL DOME 38MM,1572
10174,PATELLA OVAL DOME 41MM,1572
10175,PATELLA OVAL POLY 32MM XSM PFC,563
10176,PEG FULLY THREADED 2.5X20,184
10177,PEG INST DISPLAY 153MM,20
10178,PEG LOCKING 2.0X18,140
10179,PEG SMOOTH 2.0X14 LNG,184
10180,PEG SMOOTH 2.0X16 LNG,184
10181,PEG SMOOTH 2.0X18 LNG,184
10182,PEG SMOOTH 2.0X20 LNG,184
10183,PEG SMOOTH 2.0X24 LNG,184
10184,PEG SMOOTH 2.0X26 LNG,184
10185,PEG SMOOTH 2.0X28 LNG,173
10186,PEG SMOOTH 2.0X30 LNG,184
10187,PEG SMOOTH 5.0X22 LNG,184
10188,PEG THREADED 2.5X14 LNG,184
10189,PEG THREADED 2.5X16 LNG,184
10190,PEG THREADED 2.5X18 LNG,184
10191,PEG THREADED 2.5X20 LNG,184
10192,PEG THREADED 2.5X22 LNG,184
10193,PEG THREADED 2.5X24 LNG,173
10194,PEG THREADED 2.5X26 LNG,184
10195,PEG THREADED 2.5X28 LNG,173
10196,PEG THREADED 2.5X30 LNG,173
10197,PERFORATOR DISP HUDSON,498
10198,PIN 3X80.5,70
10199,PIN ABC FIXATION,91
10200,PIN CALIBRATED GUIDE 3.2MM,128
10201,PIN CROSS 1.5X4 SELF DRL,98
10202,PIN CROSS 1.5X4 SELF TAP,70
10203,PIN CROSS 1.5X5 SELF DRL,98
10204,PIN CROSS 1.5X5 SELF TAP,70
10205,PIN CROSS 1.5X6 SELF TAP,70
10206,PIN HALF 2X36 15MM CONT THREAD,100
10207,PIN HALF 2X45 20MM CONT THREAD,100
10208,PIN HEMORRHAGE OCCLUDER,2340
10209,PIN LOCKING LINER 5.0MM,92
10210,PIN ORTHO SHRT,49
10211,PIN STEINMAN 3IN HDLS 10/PK,208
10212,PIN STEINMAN SMOOTH 3/16X9 N/S,10
10213,PIN STEINMAN THREAD 1/8X9 NS,16
10214,PIN STEINMAN THREAD 3/16X9 NS,17
10215,PIN STEINMAN THREAD 3/32X9 NS,16
10216,PIN STEINMAN THREAD 5/32X9 NS,16
10217,PIN STEINMAN THREAD 7/64X9 N/S,14
10218,PIN STEINMAN THREAD 9/64X9 NS,16
10219,PIN STEINMAN TROCAR 5/64X9 NS,17
10220,PIN STEINMANN 5X200 CENT THR,352
10221,PIN THRD CERCLAGE POS 4.5MM ST,415
10222,PIN TI BUTTRESS 1.8X18,78
10223,PIN TI CERCLAGE POSITION 3.5,312
10224,PIN TI CERCLAGE POSITION 3.5 T,312
10225,PIN TI CERCLAGE POSITION 4.5,312
10226,PIN TI CERCLAGE POSITIONING ST,280
10227,PIN TRANSFIXATION 6.0X225,358
10228,PINS DISTRACTION CASPER #14,100
10229,PINS DISTRACTION CASPER #16,100
10230,PLATE  L  8H 90DEG LFT UPPER,228
10231,PLATE 1/4 TUBE W/COLLAR 6H/47,215
10232,PLATE 1/4 TUBE W/COLLAR 8H/63,247
10233,PLATE 100D ADOL OSTEO 50/15,664
10234,PLATE 100D CHILD OSTEO 35/8,979
10235,PLATE 10H UPPERFACE CVD,409
10236,PLATE 130D DHS SRT BARL 3H/62,670
10237,PLATE 130D DHS SRT BARL 4H/78,650
10238,PLATE 130D DHS STD BARL 4H/78,848
10239,PLATE 135D DHS SRT BARL  4H/78,1161
10240,PLATE 135D DHS STD BARL 4H/78,1162
10241,PLATE 145D DHS STD BARL 4H/78,650
10242,PLATE 150D DHS SRT BARL  4H/78,848
10243,PLATE 150D DHS STD BARL 6H/110,650
10244,PLATE 2.7 CVD COMMAND 4H 39MM,456
10245,PLATE 2.7 CVD COMMAND 6H 49MM,615
10246,PLATE 2LVL 42MM,2590
10247,PLATE 3D 1.2 MICROPLUS 2X2H SQ,258
10248,PLATE 3D 1.2 MICROPLUS 3X2H SQ,378
10249,PLATE 3D 1.2 MICROPLUS 4X2H SQ,458
10250,PLATE 3D 1.7 MIN  6X4H SQ,1306
10251,PLATE 3D 1.7 MINI 2X2H SQ,259
10252,PLATE 3D 1.7 MINI 3X2H RECTNG,354
10253,PLATE 3D 1.7 MINI 3X2H SQ,440
10254,PLATE 3D 1.7 MINI 4X2H SQ,506
10255,PLATE 3D 2.0 3X2H 1.0MM THK SQ,409
10256,PLATE 3D 2X2H MIDFACE,353
10257,PLATE 3D 3X2 RECTANGLE,418
10258,PLATE 3D 6X2H CVD SQ,670
10259,PLATE 3D 6X6H MALLABLE UPPER,1592
10260,PLATE 3D MIDFACE 2X2H,401
10261,PLATE 4H,530
10262,PLATE 6H,530
10263,PLATE 6H MIDFACE LOCK L,320
10264,PLATE 8H MIDFACE,466
10265,PLATE 90D ADLT OSTEO 60/10 ST,730
10266,PLATE 90D ADLT OSTEO 60/20,690
10267,PLATE 90D ADOL OSTEO 40/15,920
10268,PLATE 90D ADOL OSTEO 50/10,751
10269,PLATE 90D CHILD OSTEO 45/8,1097
10270,PLATE 90D INFNT OSTEO 25/12,878
10271,PLATE 90D INFNT OSTEO 25/7,1047
10272,PLATE 90D INFNT OSTEO 32/12,878
10273,PLATE 90D INFNT OSTEO 32/7,981
10274,PLATE 90D TODD OSTEO 26/8,1025
10275,PLATE 90D TODD OSTEO 32/8,1025
10276,PLATE ABC2 1-LEVEL 20MM,1550
10277,PLATE ABC2 2-LEVEL 40MM,1688
10278,PLATE ABC2 3-LEVEL 58MM,1934
10279,PLATE ABC2 3-LEVEL 64MM,1934
10280,PLATE ABC2 1-LEVEL 24MM,1550
10281,PLATE ABC2 1-LEVEL 26MM,1550
10282,PLATE ABC2 1-LEVEL 28MM,1680
10283,PLATE ANG 3.5 5+16H RT RECON,1294
10284,PLATE ANG BRIDGN 2.7 4X14H LFT,1316
10285,PLATE ANG BRIDGN 2.7 4X14H RT,1316
10286,PLATE ABC2 2-LEVEL 37MM,1688
10287,PLATE ABC2 1-LEVEL 22MM,1550
10288,PLATE ABC2 2-LEVEL 34MM,1688
10289,PLATE BOX LO PRO 2X2,170
10290,PLATE BOX LOW PRO LG,427
10291,PLATE BOX LOW PRO W/TAB,388
10292,PLATE BROAD LCP 4.5X116 6H,568
10293,PLATE BROAD LCP 4.5X134 7H,601
10294,PLATE BROAD LCP 4.5X152 8H,738
10295,PLATE BROAD LCP 4.5X188 10H,1488
10296,PLATE BROAD LCP 4.5X206 11H,914
10297,PLATE C CPS SYSTEM 7H,388
10298,PLATE C SYMPH 2.3 COMMAND 4H,458
10299,PLATE CALCANEAL 60MM 21H LT,724
10300,PLATE CALCANEAL Y 87MM XLNG LT,610
10301,PLATE CALCENEAL MINI 70MM LT,1106
10302,PLATE CANNULATED 4.5X30MM 10H,1578
10303,PLATE CANNULATED 4.5X30MM 12H,1440
10304,PLATE CANNULATED 4.5X30MM 6H,1136
10305,PLATE CANNULATED 4.5X40MM 12H,1498
10306,PLATE CANNULATED 4.5X40MM 6H,1196
10307,PLATE CANNULATED 4.5X50MM 12H,1498
10308,PLATE CAUDAL SM,1990
10309,PLATE CERVICAL 11MM,668
10310,PLATE ABC2 2-LEVEL 43MM,1688
10311,PLATE CHIN 2.0 PAULUS 2MM,222
10312,PLATE CHIN 2.0 PAULUS 4MM,274
10313,PLATE CHIN 2.0 PAULUS 6MM,278
10314,PLATE CHIN 2.0 PAULUS 8MM,286
10315,PLATE CHIN 6H 10MM,348
10316,PLATE CHIN 6H 12MM,348
10317,PLATE CHIN 6H 4MM,290
10318,PLATE CHIN 6H 6MM,290
10319,PLATE CHIN 6H 8MM,290
10320,PLATE CHIN W/2MM BAR,347
10321,PLATE CLP 1LVL RBI 124,2390
10322,PLATE CLP 1LVL RBI 126,2390
10323,PLATE CSLP NEW ADD 14X22 TITAN,1206
10324,PLATE CSLP NEW ADD 16X16 TITAN,1206
10325,PLATE CSLP NEW ADD 43X51 TITAN,1352
10326,PLATE CSLP VARI ANG 16X25,2156
10327,PLATE CVD 4H W/BAR MIDFACE,280
10328,PLATE CVD BRD LCP 4.5X300 16H,2134
10329,PLATE CVD BRD LCP 4.5X336 18H,2597
10330,PLATE DBL T 1.7 MINI 6H NO BAR,256
10331,PLATE DBL Y 1.2 MICROPLUS 6H,216
10332,PLATE DBL Y 1.2 MICROPLUS 7H,216
10333,PLATE DBL Y 1.7 MINI 6H 8MM,256
10334,PLATE DBL Y 1.7 MINI 6H NO BAR,303
10335,PLATE DBL Y 1.7 MINI 7H NO BAR,256
10336,PLATE DBL Y 2.0 STD WURZ 6H RE,231
10337,PLATE DBL Y 6H 8MM LOW PRO,46
10338,PLATE DBL Y 7H MIDFACE,269
10339,PLATE DBL Y 7H MIDFACE LOCK,517
10340,PLATE DBL Y 7H UPPERFACE MALL,330
10341,PLATE DHS STD BARREL 135D 3H S,1481
10342,PLATE DISTAL ROD VOLAN LOCKING,1250
10343,PLATE DVR WIDE RT,1702
10344,PLATE E CRANIAL 10MM,1648
10345,PLATE E CRANIAL 12MM,1648
10346,PLATE FRACTURE 14H,886
10347,PLATE FRACTURE 4H,470
10348,PLATE FRACTURE 4H W/BAR,486
10349,PLATE FRACTURE 6H,570
10350,PLATE FRACTURE 6H 115DEG ANG,836
10351,PLATE FRACTURE 6H W/BAR,618
10352,PLATE FRACTURE C SHAPE 4H,503
10353,PLATE GBAT ADVANCEMENT 12MM,310
10354,PLATE GBAT ADVANCEMENT 14MM,310
10355,PLATE GBAT GUIDE 12MM TREPHINE,192
10356,PLATE GBAT GUIDE 14MM TREPHINE,192
10357,PLATE GBAT GUIDE ANG 12MM,192
10358,PLATE HEMI RECON 6X17H,2333
10359,PLATE L 1.2 MICROPLUS 5H LFT,202
10360,PLATE L 1.2 MICROPLUS 8H RT,202
10361,PLATE L 1.7 MINI 2X2H 10MM LFT,270
10362,PLATE L 1.7 MINI 2X2H 10MM RT,270
10363,PLATE L 1.7 MINI 2X2H 6MM LFT,226
10364,PLATE L 1.7 MINI 2X2H 6MM RT,226
10365,PLATE L 1.7 MINI 2X2H 8MM LFT,270
10366,PLATE L 1.7 MINI 2X2H 8MM RT,270
10367,PLATE L 1.7 MINI 3X2H 12MM LFT,282
10368,PLATE L 1.7 MINI 3X2H 12MM RT,282
10369,PLATE L 12.0 ADVC 6H 100D RT,286
10370,PLATE L 2.0 2H/20 OBL LT,138
10371,PLATE L 2.0 2H/20 OBL RT,124
10372,PLATE L 2.0 ADVC 5H 100D LFT,254
10373,PLATE L 2.0 ADVC 5H 100D RT,254
10374,PLATE L 2.0 STEINHAUS 5X4H LFT,236
10375,PLATE L 2.0 STEINHAUS 5X4H RT,236
10376,PLATE L 5.0 ADVC 5H 100D LFT,262
10377,PLATE L 5.0 ADVC 5H 100D RT,262
10378,PLATE L 8.0 ADVC 6H 100D LFT,279
10379,PLATE L 8.0 ADVC 6H 100D RT,279
10380,PLATE L PRO 8H W/O BAR,222
10381,PLATE LATERAL 12IN,8414
10382,PLATE LC DCP 3.5X103 8H,393
10383,PLATE LC/DCP 2.0MM 8H TITANIUM,416
10384,PLATE LCP 1/3 TUBE W/C 10H/117,426
10385,PLATE LCP 1/3 TUBE W/C 12H/141,464
10386,PLATE LCP 1/3 TUBE W/COL 7H/81,426
10387,PLATE LCP 1/3 TUBE W/COL 8H/93,448
10388,PLATE LCP 3.5X111 8H,844
10389,PLATE LCP 3.5X124 9H,796
10390,PLATE LCP 3.5X137 10H,862
10391,PLATE LCP 3.5X163 12H,988
10392,PLATE LCP 3.5X189 14H,1496
10393,PLATE LCP 3.5X72 5H,717
10394,PLATE LCP 3.5X85 6H,733
10395,PLATE LCP 3.5X98 7H,728
10396,PLATE LCP CONDY 4.5X170 6H LT,3147
10397,PLATE LCP CONDY 4.5X170 6H RT,3365
10398,PLATE LCP CONDY 4.5X206 8H LT,3597
10399,PLATE LCP CONDY 4.5X206 8H RT,3430
10400,PLATE LCP CONDY 4.5X242 10H LT,2400
10401,PLATE LCP CONDY 4.5X278 12H RT,3394
10402,PLATE LCP CONDY 4.5X314 14H RT,3702
10403,PLATE LCP CONDY 4.5X350 16H LT,2754
10404,PLATE LCP CVD CONDY 4.5X422 RT,3596
10405,PLATE LCP CVD CONDY 4.5X458 RT,3666
10406,PLATE LCP MED 3.5X1042 6H LT,2326
10407,PLATE LCP MED 3.5X1042 6H RT,3052
10408,PLATE LCP MED 3.5X116 4H LT,2302
10409,PLATE LCP MED 3.5X116 4H RT,2134
10410,PLATE LCP MED 3.5X220 12H LT,2400
10411,PLATE LCP OLEC 3.5X112 4H LT,2320
10412,PLATE LCP PROX 3.5 LNG 10H/232,4394
10413,PLATE LCP PROX 3.5 LNG 12H/268,4218
10414,PLATE LCP PROX 3.5 LNG 8H/196,4344
10415,PLATE LCP PROX 3.5 STD 3H/90,3768
10416,PLATE LCP PROX 3.5 STD 5H/114,3888
10417,PLATE LCP PROX 3.5X107 6H LT,3162
10418,PLATE LCP PROX 3.5X107 6H LT S,2876
10419,PLATE LCP PROX 3.5X107 6H RT S,3257
10420,PLATE LCP PROX 3.5X133 8H LT,3198
10421,PLATE LCP PROX 3.5X159 10H LT,3232
10422,PLATE LCP PROX 3.5X159 10H RT,2172
10423,PLATE LCP PROX 3.5X185 12H LT,3274
10424,PLATE LCP PROX 3.5X211 14H LT,2222
10425,PLATE LCP PROX 3.5X211 14H RT,2222
10426,PLATE LCP PROX 3.5X237 16H LT,2304
10427,PLATE LCP PROX 3.5X81 4H LT ST,2842
10428,PLATE LCP PROX 3.5X81 4H RT,2921
10429,PLATE LCP PROX 3.5X81 4H RT ST,2841
10430,PLATE LCP PRX TIB 4.5X118 LT,2296
10431,PLATE LCP PRX TIB 4.5X118 LT S,2860
10432,PLATE LCP PRX TIB 4.5X118 RT,3147
10433,PLATE LCP PRX TIB 4.5X118 RT S,2860
10434,PLATE LCP PRX TIB 4.5X154 LT,1964
10435,PLATE LCP PRX TIB 4.5X154 LT S,2892
10436,PLATE LCP PRX TIB 4.5X154 RT,2835
10437,PLATE LCP PRX TIB 4.5X154 RT S,2892
10438,PLATE LCP PRX TIB 4.5X190 LT,2866
10439,PLATE LCP PRX TIB 4.5X190 RT,3217
10440,PLATE LCP PRX TIB 4.5X190 RT S,2924
10441,PLATE LCP PRX TIB 4.5X226 LT,1853
10442,PLATE LCP PRX TIB 4.5X262,2032
10443,PLATE LCP PRX TIB 4.5X82 LT,1920
10444,PLATE LCP PRX TIB 4.5X82 LT ST,2826
10445,PLATE LCP PRX TIB 4.5X82 RT,2097
10446,PLATE LCP PRX TIB 4.5X82 RT ST,2826
10447,PLATE LCP RECON 3.5 10H/140,1272
10448,PLATE LCP RECON 3.5 12H/168,1406
10449,PLATE LCP RECON 3.5 5H/70,1057
10450,PLATE LCP RECON 3.5 6H/84,1222
10451,PLATE LCP RECON 3.5 7H/98,1176
10452,PLATE LCP RECON 3.5 8H/112,1352
10453,PLATE LCP SUP ANT CLAV 3H LT W,1692
10454,PLATE LCP SUP ANT CLAV 3H RT W,1692
10455,PLATE LCP SUP ANT CLAV 4H LT W,1720
10456,PLATE LCP SUP ANT CLAV 4H RT W,2070
10457,PLATE LCP SUP ANT CLAV 5H LT W,1836
10458,PLATE LCP SUP ANT CLAV 5H RT W,1748
10459,PLATE LCP SUP ANT CLAV 6H LT,1768
10460,PLATE LCP SUP ANT CLAV 6H LT W,2028
10461,PLATE LCP SUP ANT CLAV 6H RT,1768
10462,PLATE LCP SUP ANT CLAV 6H RT W,1768
10463,PLATE LCP SUP ANT CLAV 7H LT,2082
10464,PLATE LCP SUP ANT CLAV 7H RT,2186
10465,PLATE LCP SUP ANT CLAV 7H RT W,2296
10466,PLATE LCP SUP ANT CLAV 8H LT,1862
10467,PLATE LCP SUP ANT CLAV 8H LT W,1862
10468,PLATE LCP SUP ANT CLAV 8H RT,1862
10469,PLATE LCP SUP ANT CLAV 8H RT W,1862
10470,PLATE LCP T 3.5 3H/3H/50 90D,707
10471,PLATE LCP T 3.5 3H/3HX52 OBL,832
10472,PLATE LCP T 3.5 3H/4HX63 OBL,831
10473,PLATE LCP T 3.5 4H/4H/56 90D,730
10474,PLATE LCP T 4.5X115 6H,365
10475,PLATE LCP VOL DIST 4H/3H LT,1996
10476,PLATE LCP VOL DIST 4H/3H RT,1996
10477,PLATE LCP VOL DIST 4H/5H LT,2148
10478,PLATE LCP VOL DIST 4H/5H RT,2148
10479,PLATE LCP VOL DIST 5H/3H LT,1996
10480,PLATE LCP VOL DIST 5H/3H RT,1996
