Tufts Medical Center -- 2018,,
,,
,,
Medicare Severity Diagnosis Related Groups (MS DRGs),MS DRG Description 2018, 2018 Average Charge / Inpatient Case 
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC," 42,751 "
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES," 58,240 "
485,KNEE PROCEDURES W PDX OF INFECTION W MCC," 79,842 "
486,KNEE PROCEDURES W PDX OF INFECTION W CC," 69,803 "
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC," 102,373 "
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC," 46,481 "
492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC"," 71,340 "
493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC"," 59,305 "
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC"," 43,559 "
495,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W MCC," 33,545 "
496,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC," 49,740 "
497,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC," 32,052 "
500,SOFT TISSUE PROCEDURES W MCC," 39,996 "
501,SOFT TISSUE PROCEDURES W CC," 49,937 "
502,SOFT TISSUE PROCEDURES W/O CC/MCC," 39,663 "
503,FOOT PROCEDURES W MCC," 87,453 "
504,FOOT PROCEDURES W CC," 32,118 "
505,FOOT PROCEDURES W/O CC/MCC," 29,152 "
506,MAJOR THUMB OR JOINT PROCEDURES," 29,888 "
507,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC," 37,622 "
511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC"," 32,827 "
513,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC"," 74,731 "
515,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC," 64,810 "
516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC," 94,427 "
517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC," 37,302 "
518,BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM," 173,910 "
519,BACK & NECK PROC EXC SPINAL FUSION W CC," 47,125 "
520,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC," 37,673 "
534,FRACTURES OF FEMUR W/O MCC," 12,201 "
535,FRACTURES OF HIP & PELVIS W MCC," 54,710 "
536,FRACTURES OF HIP & PELVIS W/O MCC," 17,880 "
539,OSTEOMYELITIS W MCC," 19,752 "
540,OSTEOMYELITIS W CC," 27,177 "
541,OSTEOMYELITIS W/O CC/MCC," 8,392 "
542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC," 34,571 "
543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC," 34,529 "
544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC," 25,363 "
545,CONNECTIVE TISSUE DISORDERS W MCC," 88,286 "
546,CONNECTIVE TISSUE DISORDERS W CC," 29,977 "
547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC," 23,862 "
548,SEPTIC ARTHRITIS W MCC," 14,435 "
549,SEPTIC ARTHRITIS W CC," 35,840 "
551,MEDICAL BACK PROBLEMS W MCC," 24,697 "
552,MEDICAL BACK PROBLEMS W/O MCC," 19,653 "
553,BONE DISEASES & ARTHROPATHIES W MCC," 35,239 "
554,BONE DISEASES & ARTHROPATHIES W/O MCC," 15,753 "
555,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC," 24,498 "
556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC," 15,046 "
557,"TENDONITIS, MYOSITIS & BURSITIS W MCC"," 16,661 "
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC"," 13,345 "
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC"," 40,438 "
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC"," 35,706 "
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC"," 12,931 "
562,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC"," 37,584 "
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC"," 21,170 "
564,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC," 27,353 "
565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC," 18,717 "
566,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC," 8,146 "
570,SKIN DEBRIDEMENT W MCC," 107,256 "
571,SKIN DEBRIDEMENT W CC," 29,519 "
572,SKIN DEBRIDEMENT W/O CC/MCC," 23,850 "
573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W MCC," 91,099 "
574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC," 25,981 "
575,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W/O CC/MCC," 32,060 "
577,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC," 62,959 "
578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC," 41,485 "
579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC"," 47,700 "
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC"," 33,877 "
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC"," 33,611 "
582,MASTECTOMY FOR MALIGNANCY W CC/MCC," 27,128 "
585,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC"," 67,772 "
593,SKIN ULCERS W CC," 11,733 "
595,MAJOR SKIN DISORDERS W MCC," 69,051 "
596,MAJOR SKIN DISORDERS W/O MCC," 15,327 "
597,MALIGNANT BREAST DISORDERS W MCC," 37,503 "
600,NON-MALIGNANT BREAST DISORDERS W CC/MCC," 15,867 "
601,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC," 11,389 "
602,CELLULITIS W MCC," 22,336 "
603,CELLULITIS W/O MCC," 14,452 "
604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC"," 57,596 "
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC"," 20,839 "
606,MINOR SKIN DISORDERS W MCC," 37,708 "
607,MINOR SKIN DISORDERS W/O MCC," 13,696 "
614,ADRENAL & PITUITARY PROCEDURES W CC/MCC," 82,244 "
615,ADRENAL & PITUITARY PROCEDURES W/O CC/MCC," 40,321 "
616,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC"," 63,580 "
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC"," 89,981 "
620,O.R. PROCEDURES FOR OBESITY W CC," 30,423 "
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC," 24,637 "
622,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC"," 89,153 "
623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC"," 16,034 "
624,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W/O CC/MCC"," 28,185 "
626,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC"," 39,346 "
627,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC"," 54,456 "
628,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC"," 31,897 "
629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC"," 50,649 "
637,DIABETES W MCC," 34,866 "
638,DIABETES W CC," 16,352 "
639,DIABETES W/O CC/MCC," 13,521 "
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC"," 36,225 "
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC"," 17,439 "
642,INBORN AND OTHER DISORDERS OF METABOLISM," 44,457 "
643,ENDOCRINE DISORDERS W MCC," 34,606 "
644,ENDOCRINE DISORDERS W CC," 21,948 "
645,ENDOCRINE DISORDERS W/O CC/MCC," 10,909 "
652,KIDNEY TRANSPLANT," 140,026 "
653,MAJOR BLADDER PROCEDURES W MCC," 117,076 "
654,MAJOR BLADDER PROCEDURES W CC," 75,163 "
655,MAJOR BLADDER PROCEDURES W/O CC/MCC," 44,037 "
656,KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC," 145,070 "
657,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC," 63,348 "
658,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC," 48,345 "
659,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC," 98,863 "
660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC," 43,152 "
661,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC," 44,484 "
662,MINOR BLADDER PROCEDURES W MCC," 23,359 "
665,PROSTATECTOMY W MCC," 57,160 "
666,PROSTATECTOMY W CC," 32,358 "
668,TRANSURETHRAL PROCEDURES W MCC," 31,800 "
669,TRANSURETHRAL PROCEDURES W CC," 30,586 "
670,TRANSURETHRAL PROCEDURES W/O CC/MCC," 43,957 "
673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC," 86,031 "
674,OTHER KIDNEY & URINARY TRACT PROCEDURES W CC," 33,516 "
682,RENAL FAILURE W MCC," 36,688 "
683,RENAL FAILURE W CC," 18,364 "
684,RENAL FAILURE W/O CC/MCC," 12,826 "
685,ADMIT FOR RENAL DIALYSIS," 17,325 "
686,KIDNEY & URINARY TRACT NEOPLASMS W MCC," 13,103 "
689,KIDNEY & URINARY TRACT INFECTIONS W MCC," 31,902 "
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC," 15,766 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC," 19,572 "
695,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W MCC," 26,467 "
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC," 18,335 "
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC," 28,400 "
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC," 24,468 "
700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC," 17,594 "
707,MAJOR MALE PELVIC PROCEDURES W CC/MCC," 52,304 "
708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC," 48,171 "
710,PENIS PROCEDURES W/O CC/MCC," 32,600 "
712,TESTES PROCEDURES W/O CC/MCC," 35,568 "
713,TRANSURETHRAL PROSTATECTOMY W CC/MCC," 41,942 "
714,TRANSURETHRAL PROSTATECTOMY W/O CC/MCC," 33,215 "
716,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W/O CC/MCC," 34,451 "
717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC," 46,757 "
725,BENIGN PROSTATIC HYPERTROPHY W MCC," 11,198 "
727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC," 31,880 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC," 23,105 "
729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W CC/MCC," 17,025 "
736,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W MCC," 343,123 "
737,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC," 58,906 "
738,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC," 43,225 "
739,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W MCC"," 161,914 "
740,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC"," 37,082 "
742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC," 58,469 "
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC," 31,913 "
746,"VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC"," 30,940 "
747,"VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC"," 29,383 "
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES," 74,263 "
750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC," 19,015 "
754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC"," 27,408 "
758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC"," 16,841 "
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC"," 10,199 "
760,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC," 14,054 "
761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC," 9,610 "
765,CESAREAN SECTION W CC/MCC," 30,784 "
766,CESAREAN SECTION W/O CC/MCC," 25,364 "
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C," 26,025 "
768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C," 31,722 "
769,POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE," 47,595 "
770,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"," 20,819 "
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES," 27,442 "
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES," 22,339 "
776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE," 9,813 "
777,ECTOPIC PREGNANCY," 42,160 "
778,THREATENED ABORTION," 10,178 "
779,ABORTION W/O D&C," 32,011 "
780,FALSE LABOR," 4,110 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS," 17,102 "
782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS," 18,646 "
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY"," 139,425 "
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE"," 326,162 "
791,PREMATURITY W MAJOR PROBLEMS," 161,840 "
792,PREMATURITY W/O MAJOR PROBLEMS," 36,685 "
793,FULL TERM NEONATE W MAJOR PROBLEMS," 43,612 "
794,NEONATE W OTHER SIGNIFICANT PROBLEMS," 8,964 "
795,NORMAL NEWBORN," 5,267 "
800,SPLENECTOMY W CC," 151,224 "
802,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W MCC," 705,502 "
803,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W CC," 36,865 "
804,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W/O CC/MCC," 18,582 "
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC," 71,534 "
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC," 44,451 "
810,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/MCC," 21,328 "
811,RED BLOOD CELL DISORDERS W MCC," 34,272 "
812,RED BLOOD CELL DISORDERS W/O MCC," 18,318 "
813,COAGULATION DISORDERS," 23,524 "
814,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W MCC," 44,963 "
815,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC," 15,072 "
816,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC," 16,279 "
820,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC," 138,019 "
821,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC," 99,178 "
822,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC," 38,829 "
823,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W MCC," 182,864 "
824,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC," 58,379 "
826,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC," 347,158 "
827,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC," 67,637 "
828,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC," 29,951 "
829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER  PROCEDURE W CC/MCC," 91,279 "
830,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER  PROCEDURE W/O CC/MCC," 39,765 "
834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC," 193,204 "
835,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC," 34,799 "
837,CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC," 138,991 "
838,CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT," 24,030 "
839,CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC," 14,683 "
840,LYMPHOMA & NON-ACUTE LEUKEMIA W MCC," 71,307 "
841,LYMPHOMA & NON-ACUTE LEUKEMIA W CC," 39,819 "
842,LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC," 16,915 "
843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC," 44,023 "
844,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC," 40,965 "
846,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC," 37,881 "
847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC," 18,997 "
848,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC," 11,773 "
849,RADIOTHERAPY," 42,013 "
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC," 165,313 "
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC," 54,514 "
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC," 83,798 "
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC," 42,734 "
862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC," 41,584 "
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC," 19,101 "
864,FEVER," 22,453 "
865,VIRAL ILLNESS W MCC," 49,341 "
866,VIRAL ILLNESS W/O MCC," 20,869 "
867,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC," 42,529 "
868,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC," 19,523 "
869,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W/O CC/MCC," 28,331 "
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS," 225,046 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC," 60,943 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC," 27,241 "
876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS," 31,396 "
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION," 20,390 "
881,DEPRESSIVE NEUROSES," 31,681 "
882,NEUROSES EXCEPT DEPRESSIVE," 26,250 "
883,DISORDERS OF PERSONALITY & IMPULSE CONTROL," 14,977 "
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY," 29,941 "
885,PSYCHOSES," 43,097 "
886,BEHAVIORAL & DEVELOPMENTAL DISORDERS," 27,342 "
887,OTHER MENTAL DISORDER DIAGNOSES," 41,600 "
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA"," 17,528 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC," 38,476 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC," 17,250 "
901,WOUND DEBRIDEMENTS FOR INJURIES W MCC," 121,959 "
902,WOUND DEBRIDEMENTS FOR INJURIES W CC," 30,363 "
903,WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC," 30,485 "
904,SKIN GRAFTS FOR INJURIES W CC/MCC," 143,099 "
906,HAND PROCEDURES FOR INJURIES," 89,132 "
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC," 132,472 "
908,OTHER O.R. PROCEDURES FOR INJURIES W CC," 50,147 "
909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC," 37,267 "
913,TRAUMATIC INJURY W MCC," 29,706 "
914,TRAUMATIC INJURY W/O MCC," 17,336 "
915,ALLERGIC REACTIONS W MCC," 35,888 "
916,ALLERGIC REACTIONS W/O MCC," 8,925 "
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC," 39,828 "
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC," 15,943 "
919,COMPLICATIONS OF TREATMENT W MCC," 76,779 "
920,COMPLICATIONS OF TREATMENT W CC," 21,964 "
921,COMPLICATIONS OF TREATMENT W/O CC/MCC," 17,620 "
922,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC"," 31,476 "
923,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC"," 7,368 "
935,NON-EXTENSIVE BURNS," 24,299 "
939,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC," 69,153 "
940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC," 62,146 "
947,SIGNS & SYMPTOMS W MCC," 25,073 "
948,SIGNS & SYMPTOMS W/O MCC," 16,405 "
949,AFTERCARE W CC/MCC," 31,757 "
950,AFTERCARE W/O CC/MCC," 18,400 "
951,OTHER FACTORS INFLUENCING HEALTH STATUS," 15,836 "
955,CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA," 243,754 "
956,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA"," 109,518 "
957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC," 136,089 "
958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC," 98,497 "
963,OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC," 65,245 "
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC," 31,820 "
965,OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC," 16,820 "
969,HIV W EXTENSIVE O.R. PROCEDURE W MCC," 45,212 "
974,HIV W MAJOR RELATED CONDITION W MCC," 163,299 "
975,HIV W MAJOR RELATED CONDITION W CC," 25,194 "
977,HIV W OR W/O OTHER RELATED CONDITION," 19,979 "
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC," 95,683 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC," 68,435 "
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," 55,179 "
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC," 136,607 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC," 30,978 "
989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," 22,059 "
0,UNCODED," 30,228 "
