MNEMONIC,DESCRIPTION,CHRG AMT
3743935,"CEMENT,3CC INJCT CALLOS",1968.75
3743939,"CEMENT,10CC IMPACT CALLOS",4809
3743942,"CANNULA,INNER,DISP.TRACH SZ6",9.79
3743943,INNER CANNULA SIZE 8,9.79
3743944,"TUBE,TRACH W\CUFF DISP. SZ 6",96.93
3743945,TRACH TUBE WITH CUFF SZ 8,96.93
3743947,INTERDRY AG DRESSING,135.86
3743948,"POUCH, ENDOCATCH 15MM",797.58
3743949,"GUIDEWIRE, LUNDERQUIST 260CM",324.45
3743950,"NEEDLE, TYPE A 22GX2",24.68
3743951,"NEEDLE, TYPE A 21GX4",24.68
3743953,"CATHETER,TURBOHAWK ATHERECTOMY",6289.5
3743955,"RETRACTOR,IRIS FLEXIBLE",329.18
3743961,"SUTURE, PLAIN 2-0",8.46
3743962,"CATHETER, BT CATH SET",365.4
3743965,"DISSECTOR,MARYLAND ROTICULATE",1218
3743968,"SHEATH,DESTINATION 8FR,45CM",289.8
3743969,WOUND VAC DRAPE,17.64
3743971,G2 X JUGULAR VENA CAVA FILTER,1912.5
3743972,DENALI FEMORAL IVC FILTER,3517.5
3743974,"CATHETER, SILVERHAWK LX-M",5764.5
3743975,"IMPLANT, PORP GOLDENBURG 5.1MM",1399.97
3743976,IMPLANT TORP GOLDENBURG HAPEX,1492.5
3743977,"DRESSING,AQUACEL AG RIBBON",31.99
3743978,"FLANGE,HOLLISTER",6.12
3743980,"GLOVE,PROTEXIS ORTHO 7.5",6.28
3743981,"GLOVE,PROTEXIS ORTHO 7",5.71
3743982,"GLOVE,PROTEXIS ORTHO 8",6.28
3743983,"CATHETER,CVD 19CM PALNDRME",904.4
3743984,"CATHETER,23CM CVD PALNDRME",904.4
3743985,"SUTURE,V-LOC 3-0",104.24
3743986,"SUTURE,V-LOC 3/0",98.36
3743987,"SUTURE,V-LOC 3/0",133.23
3743988,"SUTURE,V-LOC 3/0",133.23
3743989,"STENT, FILIFORM PIGTAIL 6X22",342.5
3743990,"STENT,FILIFORM PIGTAIL 6X24",342.5
3743991,"STENT,FILFIORM PIGTAIL 6X26",342.5
3743992,RING BARRIER ADAPT CONVEX,12.64
3743994,9 IN UROSTOMY POUCH,10.81
3743995,"PUSHLOCK, 4.5X18.5",1162
3743996,"BLADE,STRYKER 277-96-326",88.26
3743997,"GLOVE,RADIATION 8.0",147.39
3743998,"TUBIGRIP, SZ B",7.04
3744002,"BLADE,SAG STRYKER",168.13
3744007,"DEVICE,OMNICLOSE TROCAR",355.32
3744008,"MESH,COMP OVAL L/P",2146.5
3744009,"CANNULA,INNER TRACH SZ 8",18.12
3744010,"BLANKET,LITHOTOMY UNDER",72.26
3744011,"GLOVE,PROTEXIS ORTHO 6.5",5.36
3744012,"DRAPE,SLUSH MACHINE",143.79
3744014,"PROBE,TEMPERATURE  400",982.8
3744018,CATHETER. DRAINAGE 8.5,232.85
3744019,JEFFERY WIRE GUIDE X-CHANGE6.5,326.97
3744020,"TUBE, 10CM CONNECTING VINYL",71.4
3744021,"TUBE,30CM CONNECTING VINYL",33.59
3744022,"TUBE,40CM CONNECTING VINYL",28.49
3744023,"GUIDE, FIXED CORE WIRE",37.57
3744024,NEFF PERCUTANEOUS,271.53
3744025,DAWSON-MUELLER DRAINAGE 6FR,230.86
3744026,"DAWSON-MUELLER DRAINAGE,5FR",223.84
3744027,"NEEDLE, QUICK CORE 20G/9CM",164.65
3744028,"NEEDLE, QUICK CORE 18G/9CM",140.08
3744029,"NEEDLE, QUICK CORE 20G/20CM",140.08
3744030,"DILATORS, 7FR",14.99
3744031,"DILATOR,8FR",32.13
3744032,"DILATOR,9FR",14.99
3744033,"DILATOR, 7FR HYDROPHILIC",26.79
3744034,"DILATOR,8FR HYDROPHILIC",45.15
3744035,"DILATOR,9FR HYDROPHILIC",45.15
3744036,"NEEDLE,QUICKCORE 18G-9CM",129.78
3744037,PARA/THORA KIT,116.11
3744038,TOPAZ MICRODEBRIDER,1016.4
3744040,"BALLOON,WIREGUIDED ESOPHAGEAL",628.11
3744041,"HOVERMATT,DISP 39",222.08
3744043,"NEEDLE, QUICK CORE 20G/15CM",169.97
3744044,"NEEDLE, QUICK CORE 18G/15CM",164.65
3744050,TACKER SORBAFIX,1475
3744051,"SUTURE,PROLENE 4-0 8629H",8.74
3744052,"CATHETER,URET 6FR DUAL LU",136.75
3744054,"BUR,ROUND 1.5 x 48 DIAMOND",169.97
3744055,"BUR,ROUND 4x30 CARBIDE",169.97
3744056,"BUR,ROUND 5X48",157.39
3744057,"BUR,ROUND 3X48",157.39
3744058,SET LINVATEC ENT TUBING,169.97
3744059,"SCD,FOOT SLEEVE REG",88.12
3744060,"SCD,FOOT SLLEVE LARGE",84.09
3744063,"PORT,POWER DUAL LUMEN 9.5F",1437.5
3744064,"CYST0TOME, 25GA EYE",6.8
3744065,"SHEATH, MERIT FISTULA KIT",88.54
3744067,SUPER 7 SPEEDBAND/ LIGATOR,433.13
3744069,"SUTURE,VLOC 4-0 90 P-12",67.01
3744070,"SUTURE,VLOC 3-0 P-14",70.35
3744071,"KIT,BIOPSY/ARTHROGRAM",31.45
3744072,"SUTURE,VLOC 2-0 180 GS-21",84.68
3744073,"BUTTON, 30 DEG PLASMA",1161.89
3744074,"LOOP, 24 FR PLASMA ANGLED",1161.89
3744079,"KIT,LEEP READY",109.28
3744080,ARISTA 3GR HEMOSTAT ABS,662.13
3744081,"DRESSING,AQUACEL 3.5x10",99.23
3744082,"GRAFT,STR 4-7 STD WALL",2524.2
3744083,"TROCAR,5MM XL NBLADE",57.8
3744084,IRIS HOOK DISPOSABLE,78.2
3744085,CAPSULAR TENSION RING,595.35
3744086,"CATH, KIT 16 FR W/DUAL CONNECT",75.75
3744090,"DURAPREP, 6ML",9.07
3744091,"STAPLER,ECH FLEX EC45A",787.47
3744092,RELOAD 45FLEX GREEN,432.54
3744093,"RELOAD,45 FLEX BLUE",445.51
3744094,"RELOAD,45 FLEX VASC WHITE",432.54
3744095,ALLIGATOR CLAMP MINI LAP,598.5
3744096,"APPLICATOR,ARISTA",67.32
3744097,"DRESSING,BRIDGE XG",189
3744098,"SUTRE,VICRYL 1 J519H",8.66
3744099,"SUTURE,VICRYL 2-0 J869H",4.64
3744100,"PATTIE,CODMAN 1/2 x 1/2",15.37
3744101,"FWIRE,2 CUTTING 7202",74.8
3744102,"ARISTA,ENT APP 2GM",418.95
3744104,"PACK,JACKSON SPINAL",123.39
3744105,"PACK,WILSON SPINAL",138.39
3744106,"PACK,JACKSON TUBING",89.78
3744113,"DRAPE,LITHO W/POUCH",40.93
3744114,"KIT,NEPHROSTOMY BARD",684.97
3744115,"STENT, ZIMMON PANCREATIC",160.65
3744116,"KIT,KYPHON 2 LEVEL EXPRESS",4951.8
3744117,KYPHON EXPRESS CURETTE,1261.26
3744119,DURASEAL 5ML,1725
3744120,DURASEAL APPLICATOR,308.23
3744122,KIT CENTRAL PRESSURE RATED,374.22
3744123,"BAG,BODY",29.58
3744126,CYTOLOGY BRUSH--GI,58.79
3744128,"SHEATH,TERUMO 5FR",33.32
3744129,LMA.AIR Q 3.5 DISP,54.4
3744130,"LMA,AIR Q 4.5 DISP",54.4
3744131,"LMA,AIR Q 2.5 DISP",54.4
3744133,"BASKET,TRAPEZOID RX 1.5CM",787.47
3744134,"KIT,MILD SPINAL",6300
3744135,"DRAPE,ORTHOMAX BAR",22.04
3744137,"BALLOON,DISSECTION",1043.25
3744138,"TROCAR,BALLOON",727.08
3744139,"MESH,LIGHT 3D LEFT LARGE",635.67
3744140,"MESH,LIGHT 3D RIGHT LARGE",635.67
3744144,"DRAIN,HEMODUCT FLAT 4MM",67.49
3744145,"SHEATH, 7F BALKIN",169.97
3744146,"STENT,6x28 DOUBLE PIGTAIL",169.97
3744147,"STENT,7x28 DOUBLE PIGTAIL",201.69
3744148,"SUTURE,VLOC 3-0 P-14",95.23
3744149,MAMMOTOME 2ND SITE MARKER 11G,207.9
3744150,MAMMOMARK2 8 MR BIOSITE INDENT,223.24
3744151,BIOPSY FORCEPS RADIAL JAW 4,28.69
3744152,DREAMTOME 44-20MM/260CM,1092
3744153,TURBOHAWK SX-C,6709.5
3744154,TURBOHAWK SS-CL,6709.5
3744156,BUR RND XCOARSE,749.7
3744157,GLIDECATH 100CM 4F ANGLES,162.52
3744158,"SNARE,SENSATION STD OVAL 27MM",28.56
3744162,"CANNULA,INNER SIZE 7 70XLTIN",28.05
3744164,VIA VAC,1399.97
3744166,"SUTURE,PROLENE 4-0",12.46
3744168,"J-HOOK,DISPOSABLE",153.44
3744170,"GIVMOHR SLING, MEDIUM",159.61
3744171,"GIVMOHR SLING, LARGE",159.61
3744172,"TRAY, NOSEBLEED",26.11
3744173,"DEVICE,INFLATION",74.8
3744175,POUCH UROSTOMY ODOR BARR,8.06
3744176,"SUTURE,VICRYL 2-0 JJ42D",32.37
3744177,"GAUZE,XEROFORM ROLL",19.64
3744178,TALON GRASPING DEVICE,428.4
3744179,TRAPEASE QUAD CHAMBER,12.27
3744181,LEAD INTRODUCER KIT,784
3744182,LEAD KIT 33CM INTERSTIM,7466.66
3744183,"GENERATOR, BLADDER STIM",16352
3744184,"PROGRAMMER,BLADER STIM",2499
3744185,ANTENNA BLADDER STIMULATOR,252
3744186,"RETRACTOR,LONESTAR KIT",370.38
3744188,QUICKCAT EXTRACTION CATH,1078
3744189,CINCH PAD,6.39
3744190,BALLOON BILIARY RX,447.3
3744191,OVERTUBE,498.75
3744192,"BUR,ROUND DIMAOND FINE",382.85
3744194,"LIGASURE,5MM",1407.48
3744195,FROVA INTOBATING INTRODUCER 14,292.92
3744196,SUTURE SILK 2 SA8H,5.24
3744197,"SUTURE,SILK 3-0",8.02
3744198,TISSUE SEALER,1575
3744199,"SUTURE,MONOCRYL 0 CT-1",21.61
3744200,"VICRYL,JB946H",6.08
3744201,"SUTURE,1 MONOCRYL Y359H",5.64
3744202,"SUTURE,VICRYL EVP322H",4.76
3744203,BOAST HEAD POSITIONER,57.8
3744208,SPEAKING VALVE W/OUT OXY PORT,95.84
3744209,"BLADE, 7MM CASPAR",380.84
3744210,"BLADE,8MM CASPAR",380.84
3744211,"BLADE,9MM CASPAR",380.84
3744213,"SHIELD, NIPPLE 20MM",13.94
3744214,"SHIELD,NIPPLE 24MM",13.94
3744215,GLIDESCOPE DISPOSABLE BLADE,54.4
3744216,GLIDESCOPE BLADE DISP GVL4,54.4
3744217,NON-BALLOON REPLACE PEG KIT,409.5
3744218,"BUR,ROUND 3X48 DIA",169.97
3744219,TRIGGER FLEX PROBE,1399.97
3744220,FLEXTRODE BIPOLAR PROBE,1229.2
3744221,"BLADE,4.5MM STRAIGHT",752.85
3744222,"BLADE,4.5MM CURVED",837.2
3744226,MEROCEL ADULT DOYLE NASAL PACK,30.56
3744227,"SUTURE,ETHIBND 4-0 X581H",15.23
3744228,"SUCTION,RABEN'S LIGHTED",708.75
3744229,"CATH,90CM LASER VEIN KIT",1399.97
3744230,"PATCH,VASC .8CM X 8CM",623.83
3744231,"PATCH,VASC 1CM X 10CM",787.47
3744232,"SUTURE,POLYSORB ENDOSTITCH",193.15
3744233,"SEALER,BIPOLAR  6.0",1263.5
3744234,FLEX HD BREAST KIT 6x16,10785.41
3744235,"SUTURE,VICRYL 0 J479H",5.57
3744236,"BLADE,CASPAR 10MM",380.84
3744237,"BUR,6MM ROUND DIAMOND",343.48
3744238,"MESH,DUALMESH 8CMx12CM",1206.8
3744239,"MESH,DUALMESH 7.5CMx10CM",1080.8
3744240,"SEALER,VEIN 3.4MM",1399.97
3744241,NEEDLE STRAIGHT DEL SYSTEM,1265.6
3744242,NEEDLE CURV DEL SYSTEM,1316.22
3744243,NEEDLE REV CURVE DEL SYSTEM,1265
3744244,SLOTTED CANNULA AND KPSC,399.67
3744245,"TUBING,SPINE IN FLOW",140.76
3744246,"VERSAPORT,5MM LONG",229.98
3744247,"VERSAPORT,5MM SHORT",229.98
3744250,"SLING,MEDIUM LEFT",220.22
3744251,"SLING,LARGE LEFT",220.22
3744252,"SLING,MED RIGHT",220.22
3744253,"SLING,LARGE RIGHT",220.22
3744254,HURRICANE BILIARY BALLOON 10X4,721.35
3744255,POLAR CARE CUBE KNEE COMBO,262.17
3744256,POLAR CARE CUBE SHOULDER COMBO,313.93
3744257,"SWIVELOCK,4.75 DOUBLE LOCK",1167.6
3744258,"SUTURE,#2 FIBERLINK",169.97
3744259,"NEEDLE,SCORPION MULTIFIRE",535.5
3744260,"PUSHLOCK,BIOCOMPOSITE",1120
3744261,"SUTURELASSO,CRESCENT",441
3744262,"CANNULA,BUTTON 8MMx2CM",108.8
3744263,"CANNULA,BUTTON 8MMx3CM",108.8
3744264,"CANNULA,BUTTON 8MMx4CM",108.8
3744265,"CANNULA,BUTTON 8MMx5CM",108.8
3744266,"SUTURELASSO,45 LEFT CVD",441
3744267,"SUTURELASSO,45 RIGHT CVD",441
3744268,"MESH,KUGEL PATCH",787.47
3744269,"STENT,ENDOBILLIARY LAP",1570.75
3744270,"BRACE,KNEE HINGED",279.53
3744271,"PAD,ARTH LEG HOLDER",60.92
3744272,LAP DISC MEDIUM,81.03
3744273,RUMI KOH 3CM,283.5
3744274,RUMI KOH 3.5CM,283.5
3744275,RUMI KOH 4CM,283.5
3744276,RUMI TIP LAV 5.1MM X 6CM,149.16
3744277,RUMI TIP BLUE 6.7MM X 8CM,149.16
3744278,F/G NEEDLEKNIFE RX,582.75
3744281,"STENT,DBL PIG 4.5X18",201.69
3744282,"STENT,DBL PIG 4.5X20",189
3744283,"STENT,DBL PIG 6X20",189
3744284,"CATHETER, RANFAC CHOL 4FR",71.4
3744285,"CATHETER,COUNCILL 18FR",39.35
3744286,"CATHETER,COUNCILL 18FR",35.84
3744287,"CATHETER,COUNCILL 20FR",38.69
3744288,"CATHETER,COUNCILL 22FR",39.35
3744290,TRIMANO BEACH CHAIR KIT,236.25
3744291,"HANDPIECE,SMOKE EVAC",79.8
3744292,"HOOD,STRYKER FLYTE",107.06
3744294,"STOCKINETTE, IMPERVIOUS 9X36",8.5
3744295,"PAD,PERONEAL HIP",283.5
3744296,FOOT PAD,459.27
3744297,"CATHETER, 5F JACKY 3.5 110 CM",130.9
3744298,CATHETER 6F JACKY 3.5 110 CM,132.6
3744299,CATHETER 5F TIGER 4.0 110 CM,130.9
3744300,CATHETER 6F TIGER 4.0 110 CM,130.9
3744301,5F RADIAL ACCESS KIT,280.98
3744302,6F RADIAL ACCESS KIT,280.98
3744303,REGULAR TR BAND,132.6
3744304,LARGE TR BAND,132.6
3744305,NEEDLELESS HEMONATE SET,18.49
3744306,G PROBES FOR ULT BREAST BIOPSY,597.52
3744307,"STENT, VIABAHN COVERED 10 X 50",5817
3744310,"SUTURE, VICRYL RAPIDE 5-0 P-1",12.14
3744312,"SET,CO2 FLUSH",127.5
3744313,"BAG,CO2 WASTE",42.5
3744315,"SEALER,AQUAMANTIS 6.0",1238.24
3744316,"BLADE,GATOR 3.5",153
3744317,"BLADE,END CUTTER 3.5",153
3744318,"GLOVES,RADIATION 7.5",147.39
3744320,"POUCH,LAPSAC 8X10",205.63
3744328,"CONTAINER, EVAC 500ML",38.55
3744331,"PHLEBOTOMY SET, 16G",9.38
3744335,"STENT,4.5x22 DBL PIGTL",189
3744336,"GELFOAM 100MM,3 1/8 X 5",116.79
3744337,GELFOAM 12-7MM 3/4X2 3/8,23.9
3744338,"NUGAUZE,IODOFORM 1/4 8755",10.61
3744339,"NUGAUZE,IODOFORM 1/2 8756",11.05
3744340,"NUGAUZE,IODOFORM 1  8757",12.55
3744341,"NUGAUZE,PLAIN 1/2 8751",9.79
3744351,OP SITE 6 X 11,10.91
3744354,"SUTURE,MONO 3/0 YB944",6.8
3744356,"CATHETER,CHOL 4.5 X 30",92.34
3744359,"KIT,PORT ACCESS 20G X 3/4",40.46
3744371,"DRESSING,SURGICEL 1X2",291.24
3744374,SURGICEL 2 X 14 1951,269
3744387,"KIT,PORT ACCESS 20G X 1",39.24
3744398,"NUGAUZE,PLAIN 1/4 8750",9.96
3744399,"TACKER,SECURE STRAP",1509.17
3744400,"CANULA,SPINAL 1.25 X 250",134.3
3744403,"DRESSING,TEGADERM 4 X 4",2.09
3744404,SURGICEL 4 X 8 1952,299.56
3744406,"CODMAN PATTIE, 1 X 1",26.02
3744409,"SUTURE,PDS 2-0 PDPB333H",6.71
3744411,BARD FILTER RETRIEVAL KIT,787.47
3744412,"HEADREST,BLUE ADULT",19.21
3744414,"PROBE,TAC-S EFLEX",1228.44
3744415,"PROBE,CHISEL EFLEX",1219.71
3744416,"PROBE,ABLATOR EFLEX",1219.71
3744418,THERMACHOICE BALLOON,1874.98
3744419,"MESH,STRATTICE 10x10",5629.22
3744420,"MESH,STRATTICE 6x10",3477.6
3744421,"MESH,STRATTICE 8X8",3952.2
3744422,XL LOOP FLITES,115.6
3744423,REPOSITION SLING CEILING LIFT,302.4
3744424,"MESH,VENTRALIGHT ST 6x10",2167.2
3744425,"MESH,VENTRALIGHT ST 7x9",2246.22
3744426,"MESH,VENTRALIGHT ST 8x10",2799.3
3744427,NASAL PK. POST 7.5 RAPID RHINO,128.86
3744428,"STENT, PANCREATIC GEENEN",395.01
3744436,ZIMMON PANCREATIC STENT,160.65
3744444,"NEEDLE, CARR LOCK INJECTION",132.09
3744445,"SNARE,EXACTO COLD MINI",54.4
3744447,HOVERMATT 34,286.48
3744448,"TURBOHAWK, LX-C",6289.5
3744450,DAVINCI SUCTION IRRIGATOR,693
3744451,DAVINCI 8MM BLDLESS TROCAR,85
3744452,DAVINCI LNG 8MM BLDLSS TROCAR,85
3744453,DAVINCI TIP COVER/SCISSORS,68
3744454,DAVINCI ARM DRAPE INST,153
3744455,DAVINCI CAM HEAD DRAPE,139.4
3744456,DAVINCI CAM ARM DRAPE,142.8
3744457,DAVINCI 8MM SEAL,51
3744458,DAVINCI 8.5 ENDO CANN SEAL,136
3744459,"SUTURE,PROLENE 0 PB21H",8.17
3744460,DAVINCI WARMER DRAPE,116.17
3744461,"ELECTRODE,CUTTING 24.5 GYN",1399.97
3744462,MAMMOTOME ELITE PROBE 13G,696.94
3744463,MAMMOSTAR BIOPSY SITE IDENT,232.47
3744466,"MANIPULATOR,UTERINE STD",236.25
3744467,"MANIPULATOR,UTERINE LARGE",236.25
3744468,"NEEDLE,2 PART TROCAR",57.94
3744469,"SUTURE,1 STRATAFIX PDO",83.73
3744470,"CATHETER,KUMPE ACCESS",118.81
3744471,"CATHETER,COBRA",80.92
3744472,"SHEATH,AMPLATZ 30FRx30CM",80.92
3744473,"BASKET,4.5x65CM NCIRCLE",389.71
3744474,BASKET 10FR PERC N CIRCLE,353.43
3744475,"CATHETER, 14FR COPE LOOP",237.01
3744476,NGAGE STONE EXTRACTOR 2.2FRx11,672.21
3744477,"MESH,VENTRLIGHT ST 4x6",1068.56
3744478,PLASMA BLADE,787.47
3744480,DAVINCI MONITOR DRAPE,95.2
3744481,"TURBOHAWK, LX-M",6289.5
3744482,"SHEATH,URET ACCESS",319.41
3744483,"BASKET,NO TIP COOK",602.91
3744484,"DRAPE,LINGMAN PERC",138.99
3744485,"DILAOTR,URETHRAL 10FR",85.99
3744486,ULTRAXX NEPH BALLOON 24FR,826.56
3744487,"NEEDLE,BOTOX WILLIAMS 5FR",75.07
3744488,"CATH,DUAL LUMEN COOK",128.62
3744489,STONE CONTROL DEVICE,938
3744490,"FORCEP,PIRANHA BX 3FR",1050.7
3744491,SINGLE PT. SPO2 SENSORS,54.33
3744492,SINGLE PT. SPO2 CRADLE/SENSORS,65.89
3744493,TAP SYSTEM XXL,793.49
3744496,DAVINCI 3 ARM ACCESS KIT,630
3744497,DAVINCI 4 ARM ACCESS DRAPE,787.47
3744498,DAVINCI 5MM CAUTERY TIP,283.5
3744502,DAVINCI BIPOLAR CABLE,16.32
3744503,"TROCAR,12MM NBLADE",311.13
3744504,"SUTURE,VLOC 3-0 CV-23 6",80.65
3744505,"SUTURE,VLOC 3-0 CV-23 6",80.65
3744506,"SUTURE,VLOC 3-0 V-20 6",95.08
3744507,"SUTURE,VLOC 2-0 V-20 12",107.83
3744508,"SUTURE,VLOC 0 GS-21 12",99.83
3744509,"SUTURE, VICRYL RAPIDE J489G",11.15
3744510,"HOSE, TED SMALL SHORT THIGH",16.93
3744511,"HOSE,TED MED SHORT THIGH",14.28
3744512,"HOSE, TED LARGE SHORT THIGH",16.93
3744513,RAPID RHINO 5.5 RR550,102
3744514,"SLING,TVTRL SLING",2249.98
3744516,"NEEDLE, ADULT LG EZ IO",393.75
3744519,"HOSE,TED XL SHORT THIGH",18.9
3744520,"HOSE,TED XXL SHORT THIGH",29.65
3744521,"SCOPE WARMER, D HELP",125.95
3744522,EZ-IO  15G Intraosseous Needle,378
3744524,MACROPLASTIQUE IMPLANT 2.5ML,1399.97
3744526,MACROPLASTIQUE NEEDLE,112.2
3744528,"BALLOON,KOH CUP OCCLUDER",207.44
3744532,ROADRUNNER WIRE 18X260 STRT.,346.5
3744533,"GLOVE,PROTEXIS ORTHO 6.0",5.34
3744534,"SUTURE,0 PLAIN",7.99
3744535,"DRAIN,HEMOVAC 10FR SILICONE",51.31
3744536,"TIP,RUMI GRN 10CM",149.15
3744539,PLASMABLADE 3.0,799.34
3744540,"SLING,SPARC",1874.98
3744541,"SLING,MONARC",1874.98
3744542,"BUR,ROUND 6.5X48",327.69
3744543,SMARTNAIL 1.5 x 16,571.73
3744544,SMARTNAIL 1.5 X 20,571.73
3744545,SMARTNAIL 1.5 x 25,571.73
3744546,"BANDAGE,SPANDAGRIP SZ G",89.25
3744547,"BANDAGE,SPANDAGRIP SZ J",103.7
3744548,"CATHETER,BALLOON 5x6",515.03
3744549,"WRAP, HIP POLAR PAD",110.43
3744552,"CABLE,BIPOLAR KLEPPINGER",9.08
3744557,"SHEATH, TERUMO 10CM 11FR",33.32
3744558,CLINCH CUTTER,393.75
3744560,TAKE OUT TRANSPORT PAD,6.77
3744564,HUG-U-VAC COVER,78.2
3744565,LARGE HUG-U-VAC COVER,79.33
3744572,"PORT,SS DAV 8.5MM",448.88
3744573,"SEAL,SS DAV 5MM",57.8
3744574,"SEALER,DAVINCI VESSEL",1487.5
3744575,"DIFFUSER,OIL LUBE",82.96
3744576,"BUR,5MM BALL LEGEND",560.7
3744577,"BLADE,ELECTRODE 6.5 EXT",21.45
3744578,VITA PREP,152.32
3744579,"VITAGEL,4.5ML HEMOSTAT",1572.5
3744580,"APPLICATOR,VITAGEL LAP",173.72
3744581,"CORD,BIPOLAR MALIS",31.93
3744582,"BUR,3MM BALL LEGEND",551.25
3744583,"SLEEVE,INFUSION EYE",136
3744584,"LENS,SENSAR 17.0",406.35
3744585,"LENS,SENSAR 17.5",406.35
3744586,"LENS,SENSAR 18.0",406.35
3744587,"LENS,SENSAR 18.5",406.35
3744588,"LENS,SENSAR 19.0",406.35
3744589,"LENS,SENSAR 19.5",406.35
3744590,"LENS,SENSAR 20.0",406.35
3744591,"LENS,SENSAR 20.5",406.35
3744592,"LENS,SENSAR 21.0",406.35
3744593,"LENS,SENSAR 21.5",406.35
3744594,"LENS,SENSAR 22.0",406.35
3744595,"LENS,SENSAR 22.5",406.35
3744596,"LENS,SENSAR 23.0",406.35
3744602,"SUTURE,ETHIBOND 3-0 X872H",5.89
3744604,"CATHETER,MULTI PURP. DRAINAGE",247.18
3744606,"SUTURE,VLOC 4-0 P-12",83.43
3744607,"SUTURE,VICRYL 2-0 J755D",28.46
3744610,TISSUE RETENTION SYSTEM,189
3744611,5F RBL4,85
3744612,"HEAD RESTRAINT,UNIVERSAL",78.2
3744617,ARTHREX MIXING SYSTEM,771.75
3744618,ARTHREX FUNNEL,95.2
3744619,"BIO CARTILAGE,1CC",2205
3744620,"BLADE,6900",18.13
3744621,"MESH,3D LIGHT LEFT XL",719.21
3744622,"MESH,3D LIGHT RIGHT XL",719.21
3744623,"SUTURE,ETHIBOND 0 SKI NEEDLE",151.52
3744626,"BLADE,STRYKER PRECISION",787.47
3744628,PREVENA WOUND VAC,1081.08
3744631,ENDOAVITY NEEDLE GUIDE 2.6 X20,48.88
3744632,"VAC,PICO 6x6 WOUND",738.05
3744633,"VAC,PICO 10x10 WOUND",787.47
3744635,MALYUGIN RING 7MM,406.87
3744636,"DRAPE,SPINE MICROSCOPE",106.25
3744637,"STRYKER,KYPHO AUTOPLEX",1812.5
3744638,"BALLOON,KYPHO 10MM/10G",2187.26
3744639,"STRYKER,KYPHO BONE BX KIT",233.41
3744640,"STRYKER,KYPHO HAND DRILL",165.07
3744641,"STRYKER,KYPHO CEMENT CANNULA",165.07
3744642,ENDOTRACHEAL INTUBATION GUIDE,169.97
3744644,BARD CORE MAX,137.09
3744645,SPANDAGRIP SIZE B,10.43
3744646,SPANDAGRIP SIZE C,12
3744647,SPANDAGRIP SIZE D,13.09
3744648,SPANDAGRIP SIZE E,6.35
3744649,SPANDAGRIP SIZE F,7.61
3744650,"CABLE,CERCLAGE ZIMMER",868.28
3744651,"SUTURE,FIBERWIRE 2",119
3744652,"KIT,TENODESIS DISP",614.25
3744653,"KIT,DISTAL BICEPS",1912.5
3744654,"SCREW,TENODESIS 4x10",882
3744655,"SCREW,TENODESIS 5.5x15",882
3744656,"SCREW,TENODESIS 6.25x15",882
3744657,"SCREW,TENODESIS 5.5x8",882
3744658,"SCREW,TENODESIS 7x10",882
3744659,"SCREW,TENODESIS 8x12",882
3744660,"SCREW, TENODESIS 7x23",882
3744661,"SCREW,TENODESIS 8x23",882
3744663,MAMMOSTAR BIOPSY SITE IDEN 14G,1845
3744664,"SLEEVE,SHOULDER DISTACTOR",315
3744665,"MESH,STRATTICE 10x16",9003.5
3744668,CARTILAGE BIOPSY KIT,1399.97
3744669,COOK SHEATH 6F 45CM,154.7
3744670,COOK SHEATH 6F 55CM,154.7
3744671,STARCLOSE,677.25
3744672,"PORT,AIRSEAL 8MM LP",241.51
3744674,"BLADE, 15 ETHMOID DIEGO",533.61
3744675,"BLADE,40 ETHMOID DIEGO",505.26
3744680,5F 65CM SHORT KUMPE,51
3744683,"NEEDLE,MENISCAL REPAIR",204.75
3744688,"SUTURE, 2 SFIX OS-6",78.26
3744689,"SUTURE, 1 SFIX CP-2",83.71
3744690,"SUTURE,0 SFIX FS",66.31
3744693,VALVE TRACH SPEAKING PURPLE,280.31
3744694,ENDOVIVE 22FR BALLOON KIT,91.8
3744696,"TRAY, TRIPLE LUMEN 5F PICC",750.96
3744699,SINGLE USE LIGATING DEVICE,83.71
3744706,"SURGIFLO,8ML HEMOSTATIC MATRIX",761.58
3744707,"SUTURE,VLOC 0 9IN GS-21",100.69
3744709,"LOOP,LARGE 24FR PLASMA",1161.89
3744711,"PAD,POSITIONING",265.86
3744714,"CATHETER,CENTESIS ONE STEP",66.3
3744716,4x7 THICK GRAFT JACKET,6705.3
3744718,"PINS,MAYFIELD SKULL",98.88
3744722,HIP SCOPE DISP. KIT,1050
3744723,HIP SCOPE CANN. KNIFE,630
3744726,"DRESSING,SILVERLON 4 X 12",106.39
3744727,"DRAPE,C ARMOR",110.5
3744728,APLIGRAF,2782.5
3744729,"SOLUTION, NORMAL SALINE 2B7479",30.33
3744731,"LIGASURE,MARYLAND JAW",1495.59
3744732,"TUBE,ENDO PARKER CUFF 6.5",11.88
3744733,PARKER FLEX TIP ENDO TUBE 7.0,11.88
3744734,PARKER FLEX TIP ENDO TUBE 7.5,11.88
3744735,PARKER FLEX TIP ENDO TUBE 6.0,11.05
3744736,"BLADE,ULTRA CUT 4.2mm",207.9
3744743,"24Fr Repl G-Tube, Straight",91.8
3744745,BILI CHEK TIPS,19.41
3744770,"KIT,VEIN MICROPUNCTURE",85
3744772,"CATHETER,BALLOON 4x10",515.03
