SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Lab,LAB S/O AMINO ACIDS QT =>6 EA SPECIMEN,"$1,093.50 "
Lab,LAB S/O AMINO ACIDS QUANT SINGLE EA SPC,$232.75 
Lab,LAB S/O AMIODARONE,$333.25 
Lab,LAB S/O AMITRIPTYLINE,$165.50 
Lab,LAB S/O ANA TITER,$141.75 
Lab,LAB S/O ANDROSTENEDIONE,$273.75 
Lab,LAB S/O ANGIOTENSIN I CONVERTING ENZYME,$206.25 
Lab,LAB S/O ANTI GLIADEN,$158.00 
Lab,LAB S/O ANTI-MULLERIAN HORMONE,$220.00 
Lab,LAB S/O ANTI-PHOSPHATIDYLSERINE AB,$688.25 
Lab,LAB S/O ANTIBODY ANTI HISTONE,$176.50 
Lab,LAB S/O ANTIBODY ANTI JO 1,$128.25 
Lab,LAB S/O ANTIBODY ANTI MYOCARDIAL,$195.00 
Lab,LAB S/O ANTIBODY ANTI-MITOCHONDRIAL,$176.50 
Lab,LAB S/O ANTIBODY BETA 2 GPI IGA,$156.50 
Lab,LAB S/O ANTIBODY BETA 2 GPI IGG,$156.50 
Lab,LAB S/O ANTIBODY BETA 2 GPI IGM,$156.50 
Lab,LAB S/O ANTIBODY CHENODEOXY ACID,$176.50 
Lab,LAB S/O ANTIBODY CHOLIC ACID,$176.50 
Lab,LAB S/O ANTIBODY CHROMOGRANIN A,$219.50 
Lab,LAB S/O ANTIBODY CYTOMEGALOVIRUS IGM,$255.25 
Lab,LAB S/O ANTIBODY DEOXYCHOLIC ACID,$176.50 
Lab,LAB S/O ANTIBODY ENDOMYSIAL,$195.00 
Lab,LAB S/O ANTIBODY FUNGAL ASPERGILLUS,$93.50 
Lab,LAB S/O ANTIBODY GLOMULAR BASEMNT MEMBR,$176.50 
Lab,LAB S/O ANTIBODY HEPATITIS B QUANTITAT,$122.25 
Lab,LAB S/O ANTIBODY HIV-1,$142.50 
Lab,LAB S/O ANTIBODY HIV-2,$142.50 
Lab,LAB S/O ANTIBODY HTLV 1,$126.25 
Lab,LAB S/O ANTIBODY IDENTIFICATION BASIC,$467.25 
Lab,LAB S/O ANTIBODY IDENTIFICATION COMPLEX,$467.25 
Lab,LAB S/O ANTIBODY ISLET CELL,$195.25 
Lab,LAB S/O ANTIBODY NEUTROPHIL,$69.50 
Lab,LAB S/O ANTIBODY NEUTROPHIL EA ADDL,$69.50 
Lab,LAB S/O ANTIBODY PARIETAL CELL,$195.00 
Lab,LAB S/O ANTIBODY PLATELET ABS BIOL,$236.25 
Lab,LAB S/O ANTIBODY PLATELET ABS DRUG,$382.00 
Lab,LAB S/O ANTIBODY PLATELET POST TRANSFSN,$87.50 
Lab,LAB S/O ANTIBODY RETICULIN IGA,$195.00 
Lab,LAB S/O ANTIBODY SMOOTH MUSCLE,$195.00 
Lab,LAB S/O ANTIBODY STRIATED MUSCLE,$195.00 
Lab,LAB S/O ANTIBODY TETANUS TOXOID,$147.75 
Lab,LAB S/O ANTIBODY TRANSLUTAMINASE IGA,$158.00 
Lab,LAB S/O ANTIBODY TREPONEMA PALLIDUM,$175.50 
Lab,LAB S/O ANTIBODY TRYPTASE,$176.50 
Lab,LAB S/O ANTIBODY WEST NILE VIRUS,$122.25 
Lab,LAB S/O ANTIGEN GALACTOMANNAN/ASPERGILL,$159.00 
Lab,LAB S/O ANTINUCLEAR ANTIBODY (ANA),$191.75 
Lab,LAB S/O ANTISREPTOLYSI O (ASO) TITER,$129.00 
Lab,LAB S/O ANTITHROMBIN III ACTIVITY,$504.50 
Lab,LAB S/O ANTITHROMBIN III ANTIGEN ASSAY,$222.00 
Lab,LAB S/O APOLIPOPROTEIN A,$122.75 
Lab,LAB S/O APOLIPOPROTEIN B,$122.75 
Lab,LAB S/O ARSENIC,$155.25 
Lab,LAB S/O BACTERIUM ANTIBODY,$201.25 
Lab,LAB S/O BARTONELLA ANTIBODY IGG,$54.75 
Lab,LAB S/O BARTONELLA ANTIBODY IGM,$54.75 
Lab,LAB S/O BCL2 GENE TRANSLOCATION,$655.00 
Lab,LAB S/O BCR-ABL1 KINASE DOMAIN,"$1,761.25 "
Lab,LAB S/O BCR/ABL MAJOR BREAKPOINT,$418.75 
Lab,LAB S/O BCR/ABL MINOR BREAKPOINT,$370.00 
Lab,LAB S/O BETA HYDROXYBUTYRATE,$151.00 
Lab,LAB S/O BETA-2 MICROGLOBULIN,$156.50 
Lab,LAB S/O BILE ACIDS TOTAL,$122.00 
Lab,LAB S/O BILIRUBIN TOTAL,$40.00 
Lab,LAB S/O BK VIRUS DNA,$519.75 
Lab,LAB S/O BLOOD CULTURE ID BY PCR,$15.00 
Lab,LAB S/O BLOOD TYPE RBC AGS EA NT ABO/RH,$114.00 
Lab,LAB S/O BRAF GENE ANALYSIS,$680.75 
Lab,LAB S/O BRAF MUTATION ANALYSIS,"$1,112.50 "
Lab,LAB S/O BRUCELLA ABORTUS ANTIBODY,$70.00 
Lab,LAB S/O BUSULFAN,$175.75 
Lab,LAB S/O C PEPTIDE,$180.75 
Lab,LAB S/O C REACT PROTEIN HIGH SENSITIV,$106.00 
Lab,LAB S/O C REACTIVE PROTEIN (CRP),$115.75 
Lab,LAB S/O C1 ESTERASE INHIBITOR,$161.00 
Lab,LAB S/O C1 ESTERASE INHIBITOR QUANTIT,$129.25 
Lab,LAB S/O CACNA1A DNA,$740.00 
Lab,LAB S/O CADMIUM,$175.25 
Lab,LAB S/O CALCITONIN,$205.50 
Lab,LAB S/O CALCIUM IONIZED,$186.75 
Lab,LAB S/O CALCULUS ANALYSIS,$86.25 
Lab,LAB S/O CALCULUS INFRARED SPECTROSCOPY,$130.50 
Lab,LAB S/O CALPROTECTIN FECES,$304.00 
Lab,LAB S/O CALRETICULIN (CALR) MUTATION ANALY,$850.00 
Lab,LAB S/O CAMPYLOBACTOR ANTIBODY,$150.00 
Lab,LAB S/O CANDIDA ALBICANS IGA,$180.75 
Lab,LAB S/O CANDIDA ALBICANS IGG,$180.75 
Lab,LAB S/O CANDIDA ALBICANS IGM,$180.75 
Lab,LAB S/O CARBAMAZEPINE EPOXIDE FREE,$192.50 
Lab,LAB S/O CARBOHYD DEFICIENT TRANSFERRIN,$237.50 
Lab,LAB S/O CARBOXYHEMOGLOBIN QUANTITATIVE,$308.25 
Lab,LAB S/O CARDIOLIPIN AB EACH IG CLASS,$235.75 
Lab,LAB S/O CARNITINE QUANTITATIVE EA SPEC,$232.50 
Lab,LAB S/O CAROTENE,$99.25 
Lab,LAB S/O CATECHOLAMINES FRACTIONATED,$221.25 
Lab,LAB S/O CD4/CD8 COUNT ABSOLUTE W/ RATIO,$661.25 
Lab,LAB S/O CEA,$244.00 
Lab,LAB S/O CEBPA MUTATION ANALYSIS,$787.50 
Lab,LAB S/O CENTROMERE AUTOAB,$123.00 
Lab,LAB S/O CERULOPLASMIN,$141.75 
Lab,"LAB S/O CHIC2,4Q12 DELETION","$1,230.00 "
Lab,LAB S/O CHIMERISM CD3 CELLS,$666.00 
Lab,LAB S/O CHIMERISM CD33 CELLS,$666.00 
Lab,LAB S/O CHIMERISM POST-TRANSPLANT,$530.00 
Lab,LAB S/O CHLAMYDIA AMPLIFIED PROBE,$111.75 
Lab,LAB S/O CHLAMYDIA ANTIBODY IGG,$90.25 
Lab,LAB S/O CHLAMYDIA TYPING IFA,$62.75 
Lab,LAB S/O CHLORIDE FECES,$92.50 
Lab,LAB S/O CHRMOSOME ANALY 15-20/2 W/BAND,$729.00 
Lab,LAB S/O CHROMATOGRAPHY MULTI ANALYTES,$475.00 
Lab,LAB S/O CHROMATOGRAPHY NON DRUG QUANT,$225.00 
Lab,LAB S/O CHROMIUM,$165.00 
Lab,LAB S/O CHROMOSOME ANALYSIS,$358.75 
Lab,LAB S/O CITRATE URINE,$275.00 
Lab,LAB S/O CK ISOENZYMES,$138.00 
Lab,LAB S/O CLOMIPRAMINE,$208.00 
Lab,LAB S/O CLONAZEPAM,$160.00 
Lab,LAB S/O CLOSTRIDIUM DIFFICLE TOXIN GENE,$149.25 
Lab,LAB S/O CLOZAPINE,$113.00 
Lab,LAB S/O CMPLMNT TOTAL HEMOLYTIC (CH50),$214.00 
Lab,LAB S/O COENZYME Q10,$275.00 
Lab,LAB S/O COLD AGGLUTININ TITER,$89.25 
Lab,LAB S/O COMPLEMENT ANTIGEN,$285.00 
Lab,LAB S/O CONC FOR INFECTIOUS AGENTS,$41.00 
Lab,LAB S/O COOMBS INDIR EA ANTIBODY TITER,$187.50 
Lab,LAB S/O COPORPHYRIN,$167.00 
Lab,LAB S/O COPPER,$151.00 
Lab,LAB S/O CORE ANTIBODY,$92.00 
Lab,LAB S/O CORTISOL BINDING GLOBULIN,$147.00 
Lab,LAB S/O CORTISOL FREE,$224.50 
Lab,LAB S/O CORTISOL SALIVA,$224.50 
Lab,LAB S/O CORTISOL TOTAL,$252.25 
Lab,LAB S/O COTININE,$118.00 
Lab,LAB S/O CROSSMATCH ANTIGLOBULIN EA UNIT,$216.50 
Lab,LAB S/O CRYOGLOBULINS/CYROFIBRINOGEN,$117.25 
Lab,LAB S/O CRYPTOSPORIDIUM ANTIGEN,$108.75 
Lab,LAB S/O CRYSTL ID W/W/O LENS ANY BDY FL,$126.25 
Lab,LAB S/O CTX-COLLAGEN TYPE I,$256.00 
Lab,LAB S/O CULT FUNGI W/ID SKIN/HAIR/NAIL,$160.00 
Lab,LAB S/O CULT PATH ORG SCREEN LEGIONELLA,$126.50 
Lab,LAB S/O CULT PATH ORG SCREEN MRSA,$126.50 
Lab,LAB S/O CULT PATH ORG SCREEN PERTUSSIS,$126.50 
Lab,LAB S/O CULT PRESUM PATH ORG SCREEN,$126.50 
Lab,LAB S/O CULT STOOL SALMONELLA/SHIGELLA,$186.75 
Lab,LAB S/O CULT TIS NEOPLSM MRRW/BLD CELLS,$583.25 
Lab,LAB S/O CULT TISS NOT NEOPLAS AMNIO FLD,$624.25 
Lab,LAB S/O CULT TISSUE NOT NEOPLASM LYMPHO,$583.25 
Lab,LAB S/O CULTUR AEROBIC ISOLAT EA ISOLAT,$75.00 
Lab,LAB S/O CULTUR FUNGI W/PRESUM ID NONBLD,$160.00 
Lab,LAB S/O CULTUR TISS NEOPLSM SOLID TUMOR,$800.75 
Lab,LAB S/O CULTUR TYPE IMMUNOLOG ANTISERUM,$35.00 
Lab,LAB S/O CULTUR URINE W/ISOLAT&PRESUM ID,$85.00 
Lab,LAB S/O CULTURE ANAEROBE,$375.25 
Lab,LAB S/O CULTURE ANAEROBIC ID EA ISOLATE,$98.50 
Lab,LAB S/O CULTURE ANY OTHR SOURCE AEROBIC,$244.00 
Lab,LAB S/O CULTURE BLD AEROBIC W/PRESMP ID,$215.00 
Lab,LAB S/O CULTURE CHLAMYDIA ANY SOURCE,$184.00 
Lab,LAB S/O CULTURE FUNGI DEFINITVE ID MOLD,$160.00 
Lab,LAB S/O CULTURE FUNGI DEFINTVE ID YEAST,$160.00 
Lab,LAB S/O CULTURE FUNGI W/PRESUMP ID BLD,$176.50 
Lab,LAB S/O CULTURE HIV QUALITATIVE,$332.00 
Lab,LAB S/O CULTURE MYCOBACTERIAL DEFIN ID,$140.50 
Lab,LAB S/O CULTURE MYCOPLASMA ANY SOURCE,$236.50 
Lab,LAB S/O CULTURE PATH ORG SCREEN STREP A,$126.50 
Lab,LAB S/O CULTURE PATH ORG SCRN GC,$126.50 
Lab,LAB S/O CULTURE RESPIRATORY,$244.00 
Lab,LAB S/O CULTURE STOOL AEROB ADL PATHGNS,$90.25 
Lab,LAB S/O CULTURE TISSUE NOT NEOPLASM BX,$644.75 
Lab,LAB S/O CULTURE TUBERCLE/FB W/PRESMP ID,$160.00 
Lab,LAB S/O CULTURE TYPE ID NUCL ACID PROBE,$212.00 
Lab,LAB S/O CULTURE URINE QUANT COLONY CNT,$170.00 
Lab,LAB S/O CYANIDE,$315.75 
Lab,LAB S/O CYCLIC AMP,$227.75 
Lab,LAB S/O CYCLIC CITRULLINATED PEPTIDE,$156.00 
Lab,LAB S/O CYCLOSPORIN,$354.75 
Lab,LAB S/O CYSTATIN C,$150.00 
Lab,LAB S/O CYSTIC FIBROSIS GENE ANALYSIS,"$1,230.00 "
Lab,LAB S/O CYSTINE URINE QUANT,$291.00 
Lab,LAB S/O CYTO CERV/VAG-PHYSICIAN INTERP,$65.25 
Lab,LAB S/O CYTOGENOMIC MICROARRAY ANALYSIS,"$2,795.00 "
Lab,LAB S/O CYTOGENTCS & MOLECLR INTERP&RPT,$296.75 
Lab,LAB S/O CYTOMEGALOVIRUS DNA QUALITATIVE,$297.25 
Lab,LAB S/O CYTOMETRY MARKER EACH ADDL,$134.00 
Lab,LAB S/O CYTOMETRY MARKER FIRST,$188.00 
Lab,LAB S/O DELTA AMINOLEVULINIC ACID,$147.75 
Lab,LAB S/O DEOXYCORTISOL 11,$193.50 
Lab,LAB S/O DEOXYRIBONUCLEASE ANTIBODY,$119.50 
Lab,LAB S/O DESIPRAMINE,$165.50 
Lab,LAB S/O DHEA,$278.25 
Lab,LAB S/O DHEA S,$246.00 
Lab,LAB S/O DIBUCAINE NUMBER,$80.00 
Lab,LAB S/O DIHYDROTESTOSTERONE,$192.50 
Lab,LAB S/O DIPHENHYDRAMINE,$297.25 
Lab,LAB S/O DIPHTHERIA ANTIBODY,$127.25 
Lab,LAB S/O DMPK MUTATION ANALYSIS,$952.75 
Lab,LAB S/O DNA ANTIBODY DOUBLE STRANDED,$255.25 
Lab,LAB S/O DNA ANTIBODY SINGLE STRANDED,$118.00 
Lab,LAB S/O DYT1A MUTATION ANALYSIS,$547.75 
Lab,LAB S/O EGFR AMPLIFICATION,"$1,985.00 "
Lab,LAB S/O EGFR GENE ANALYSIS,"$1,112.50 "
Lab,LAB S/O ELASTASE PANCREATIC FECES,$369.25 
Lab,LAB S/O ENTEROVIRUS RNA AMPLIFIED PROBE,$448.75 
Lab,LAB S/O ENZYM ACT CX/TISS NONRAD EA SPEC,$350.00 
Lab,LAB S/O EPSTEIN BARR VIRAL CAPSID,$140.00 
Lab,LAB S/O ERBB2 (HER2/NEU) GENE AMP FISH,"$1,047.50 "
Lab,LAB S/O ERYTHROPOIETIN,$310.75 
Lab,LAB S/O ESTRADIOL,$427.50 
Lab,LAB S/O ESTRIOL,$171.00 
Lab,LAB S/O ESTROGEN TOTAL,$198.25 
Lab,LAB S/O ESTRONE,$219.50 
Lab,LAB S/O ETHOSUXIMIDE,$145.00 
Lab,LAB S/O ETHYLENE GLYCOL,$206.75 
Lab,LAB S/O EVEROLIMUS,$252.00 
Lab,LAB S/O EXTRACTABLE ANTIGEN ANTIBODY EA,$206.75 
Lab,LAB S/O FACTOR II PROTHROMBIN,$240.00 
Lab,LAB S/O FACTOR INHIBITOR TEST,$372.25 
Lab,LAB S/O FACTOR IX (PTC/CHRISTMAS),$322.00 
Lab,LAB S/O FACTOR V LABILE FACTOR,$339.50 
Lab,LAB S/O FACTOR V LEIDEN GENE ANALYSIS,$400.00 
Lab,LAB S/O FACTOR VII STABLE FACTOR,$367.00 
Lab,LAB S/O FACTOR VIII AHG ONE STAGE,$258.50 
Lab,LAB S/O FACTOR VIII RELATED ANTIGEN,$320.50 
Lab,LAB S/O FACTOR VIII VW FACT RISTOCETIN,$283.50 
Lab,LAB S/O FACTOR VIII VW FACTOR ANTIGEN,$268.00 
Lab,LAB S/O FACTOR VIII VW FACTOR MULTIMET,$320.50 
Lab,LAB S/O FACTOR X (STUART-POWER),$437.75 
Lab,LAB S/O FACTOR XI (PTA),$268.75 
Lab,LAB S/O FACTOR XII (HAGEMAN),$319.25 
Lab,LAB S/O FACTOR XIII SCREEN SOLUBILITY,$172.00 
Lab,LAB S/O FAMILIAL MED FEVER MUTATION,$638.00 
Lab,LAB S/O FAT/LIPID FECES QUALITATIVE,$73.00 
Lab,LAB S/O FAT/LIPID FECES QUANTITATIVE,$180.50 
Lab,LAB S/O FELBATOL,$218.00 
Lab,LAB S/O FERRITIN,$262.50 
Lab,LAB S/O FETAL ABNORMAL RISK 3 ANALYTES,$480.50 
Lab,LAB S/O FETAL ABNORMAL RISK 4 ANALYTES,$798.50 
Lab,LAB S/O FIBRINOLYTIC PLASMINOGEN ACTIV,$323.25 
Lab,LAB S/O FLECANIDE,$297.25 
Lab,LAB S/O FLOW CELL CYCLE/DNA ANALYSIS,$357.75 
Lab,LAB S/O FLT3 GENE ANALYSIS,$785.75 
Lab,LAB S/O FLUOR NONINFECT AB SCREEN,$195.00 
Lab,LAB S/O FLUOR NONINFECT AB TITER,$264.50 
Lab,LAB S/O FLUORESCENT ANTIBODY TITER,$264.50 
Lab,LAB S/O FOLIC ACID RBC,$182.00 
Lab,LAB S/O FOLIC ACID SERUM,$171.25 
Lab,LAB S/O FRAGILE X CHARACTERIZATION,$272.00 
Lab,LAB S/O FRAGILE X GENE ANALYSIS,$423.00 
Lab,LAB S/O FRUCTOSAMINE,$124.00 
Lab,LAB S/O FSH,$455.25 
Lab,LAB S/O FTS-ABS,$40.75 
Lab,LAB S/O FUNGAL ANTIBODY BLASTOMYCES,$94.25 
Lab,LAB S/O FUNGAL ANTIBODY COCCIDIODES,$128.75 
Lab,LAB S/O FUNGAL ANTIBODY HISTOPLASMA,$124.50 
Lab,LAB S/O FUNGAL NOS SACCH CEREVISIAE IGA,$120.00 
Lab,LAB S/O FUNGAL NOS SACCH CEREVISIAE IGG,$120.00 
Lab,LAB S/O FXN MUTATION ANALYSIS,$719.50 
Lab,LAB S/O G6PD QUANTITATIVE,$115.50 
Lab,LAB S/O GABAPENTIN,$218.00 
Lab,LAB S/O GASTRIN,$182.75 
Lab,LAB S/O GC/CHLAMYDIA DNA PRBE MULT ORGM,$305.00 
Lab,LAB S/O GC/MASS SPEC QUANTITATIVE,$450.00 
Lab,LAB S/O GENOTYPE DNA HEPATITIS B,$543.00 
Lab,LAB S/O GGT,$87.00 
Lab,LAB S/O GIARDIA SPECIFIC ANTIGEN,$135.75 
Lab,LAB S/O GIARDIA SPECIFIC ANTIGEN 65,$135.75 
Lab,LAB S/O GLUCAGON,$163.25 
Lab,LAB S/O GLUCOSE FECES/REDUCING SUBST,$95.25 
Lab,LAB S/O GLUTAMIC ACID DECARB 65 ABS,$298.25 
Lab,LAB S/O HAEMOPHILUS INFLUENZA ANTIBODY,$134.00 
Lab,LAB S/O HAPTOGLOBIN QUANTITATIVE,$189.75 
Lab,LAB S/O HBC HCV,$162.75 
Lab,LAB S/O HCG QUANTITATIVE,$221.50 
Lab,LAB S/O HELICOBACTER PYLORI ANTIGEN,$185.75 
Lab,LAB S/O HELICOBACTER PYLORI BREATH TEST,$380.00 
Lab,LAB S/O HELMINTH ANTIBODY,$233.75 
Lab,LAB S/O HEMOCHROMATOSIS GENE ANALYSIS,$297.00 
Lab,LAB S/O HEMOGLOBIN ELECTROPHERESIS,$296.00 
Lab,LAB S/O HEMOGLOBIN PLASMA,$78.75 
Lab,LAB S/O HEMOLYSISN/AGGLUTININS COLD AGG,$107.00 
Lab,LAB S/O HEMOSIDERIN QUALITATIVE URINE,$77.00 
Lab,LAB S/O HEP C NS3 GENOTYPE,$693.00 
Lab,LAB S/O HEPATITIS A ANTIBODY IGM,$331.25 
Lab,LAB S/O HEPATITIS A ANTIBODY TOTAL,$314.75 
Lab,LAB S/O HEPATITIS B CORE AB IGM,$331.25 
Lab,LAB S/O HEPATITIS B SURFACE AB,$274.75 
Lab,LAB S/O HEPATITIS BE ANTIBODY,$173.50 
Lab,LAB S/O HEPATITIS C ANTIBODY RIBA II,$218.50 
Lab,LAB S/O HEPATITIS C GENOTYPING,$663.00 
Lab,LAB S/O HEPATITIS DELTA ANTIBODY,$195.75 
Lab,LAB S/O HEPATITIS E IGG ANTIBODY,$165.75 
Lab,LAB S/O HEPATITIS E IGM ANTIBODY,$165.75 
Lab,LAB S/O HERPES SIMP AB NON SPECIFIC IGM,$150.00 
Lab,LAB S/O HFE GENE ANALYSIS,$331.00 
Lab,LAB S/O HISTAMINE,$269.25 
Lab,LAB S/O HISTOPLASMA CAPSULATUM ANTIGEN,$266.75 
Lab,LAB S/O HIV 1 QUALITATIVE,$434.50 
Lab,LAB S/O HIV-1 GENOTYPE,$778.00 
Lab,LAB S/O HLA AB HGH DEF PNL CLASS I ONLY,$575.00 
Lab,LAB S/O HLA AB HGH DF PNL CLASS II ONLY,$575.00 
Lab,LAB S/O HLA AB ID PANEL CLASS I ONLY,$460.00 
Lab,LAB S/O HLA AB ID PANEL CLASS II ONLY,$460.00 
Lab,LAB S/O HLA CLASS I & II HIGH RES,$882.50 
Lab,LAB S/O HLA CLASS I & II LOW RES,"$1,027.00 "
Lab,LAB S/O HLA CLASS I ONE ANTIGEN LOW RES,$185.75 
Lab,LAB S/O HLA CLASS I ONE LOCUS HIGH RES,$738.00 
Lab,LAB S/O HLA CLASS I ONE LOCUS LOW RES,$738.00 
Lab,LAB S/O HLA CLASS I ONLY LOW RES,$564.25 
Lab,LAB S/O HLA CLASS II LW RS ONE ANTGN EA,$590.00 
Lab,LAB S/O HLA CLASS II ONE LOCUS HIGH RES,$640.50 
Lab,LAB S/O HLA CLASS II ONE LOCUS LOW RES,$640.50 
Lab,LAB S/O HLA CLASS II ONLY LOW RES,$563.75 
Lab,LAB S/O HLA SLD PH AB SCRN CLSS I OR II,$460.00 
Lab,LAB S/O HLA SOLID PH AB SCRN CLASS I/II,$920.00 
Lab,LAB S/O HLA TYPING A/B/C SINGLE ANTIGEN,$246.00 
Lab,LAB S/O HOMOCYSTEINE,$401.00 
Lab,LAB S/O HOMOGENIZATION TISSUE FOR CX,$40.00 
Lab,LAB S/O HOMOVANILLIC ACID URINE,$225.50 
Lab,LAB S/O HPC ANTIBODY SCREEN,$144.00 
Lab,LAB S/O HPC CMV ANTIBODY,$204.75 
Lab,LAB S/O HPC HBSAG,$81.00 
Lab,LAB S/O HPC HCV NAT,$96.00 
Lab,LAB S/O HPC HIV 1/2 ABS SINGLE RESULT,$179.50 
Lab,LAB S/O HPC HIV1 HCV HBV NAT,$207.00 
Lab,LAB S/O HPC STS,$61.50 
Lab,LAB S/O HPC TRYPANOSOMA CRUZI AB,$122.75 
Lab,LAB S/O HPV GENOTYPE 16,$198.25 
Lab,LAB S/O HPV GENOTYPE 18,$198.25 
Lab,LAB S/O HPV HIGH RISK TYPES,$171.00 
Lab,LAB S/O HSV TYPE 1,$100.50 
Lab,LAB S/O HSV TYPE 2,$100.50 
Lab,LAB S/O HTLV II ANTIBODY,$88.00 
Lab,LAB S/O HU ANTIBODY,$207.00 
Lab,LAB S/O HUMAN GROWTH HORMONE RIA,$163.25 
Lab,LAB S/O HUNTINGTON ABNORMAL ALLELES,$550.75 
Lab,LAB S/O HYDROXYBUTRATE B-KETONE QUANT,$209.75 
Lab,LAB S/O HYDROXYCORTICOSTEROIDS 17 OH,$171.25 
Lab,LAB S/O HYDROXYINDOLACETIC ACID 5,$135.50 
Lab,LAB S/O HYDROXYPROGESTERONE 17 OH,$183.75 
Lab,LAB S/O HYDROXYPROLINE FREE,$65.50 
Lab,LAB S/O HYDROXYPROLINE TOTAL,$65.50 
Lab,"LAB S/O IDH1,2 MUTATION ANALYSIS",$557.00 
Lab,LAB S/O IG HEAVY CHAIN REARRANGEMENT,$505.75 
Lab,LAB S/O IG KAPPA LIGHT CHAIN,$550.00 
Lab,LAB S/O IGD ANTIBODY,$130.00 
Lab,LAB S/O IGE,$477.75 
Lab,LAB S/O IGG SUBCLASSES (1-4),$182.75 
Lab,LAB S/O IGVH MUTATION ANALYSIS,$637.00 
Lab,LAB S/O IL-6,$216.00 
Lab,LAB S/O IL28B MUTATION ANALYSIS,$667.25 
Lab,LAB S/O IMIPRAMINE,$165.50 
Lab,LAB S/O IMMNOCHEMSTRY PR SPCIMN INIT AB,$225.00 
Lab,LAB S/O IMMUNCHM QUANT PR SPMN CMP ASST,$400.25 
Lab,LAB S/O IMMUNE COMPLEX ASSAY,$198.25 
Lab,LAB S/O IMMUNOASSAY QUANT NOS,$151.50 
Lab,LAB S/O IMMUNOASSAY QUANT RIA,$298.25 
Lab,LAB S/O IMMUNOCHEM PER SPECIMEN ADDL AB,$161.75 
Lab,LAB S/O IMMUNOCHEM QUANT PR SPMN MANUAL,$400.00 
Lab,LAB S/O IMMUNOELECTROPHORESIS URINE,$448.00 
Lab,LAB S/O IMMUNOFIXAT ELECTROPHORESIS BLD,$264.75 
Lab,LAB S/O IMMUNOFIXAT ELECTROPHORESIS BLD,$264.75 
Lab,LAB S/O IMMUNOFIXATION ELECTROPHRSIS FL,$327.25 
Lab,LAB S/O IMMUNOFLRSCNT PER SPEC EACH  AB,$187.50 
Lab,LAB S/O IMMUNOFLRSCNT PER SPEC INITL AB,$889.00 
Lab,LAB S/O IMMUNOGLOBULIN SINGLE QUANT,$130.00 
Lab,LAB S/O IN SITU HYBD HPV PR SPEC 1 PRBE,$349.25 
Lab,LAB S/O IN SITU HYBRID QUANT MULTIPLEX,$673.50 
Lab,LAB S/O IN SITU HYBRID QUANT MULTIPLEX ADDL,$673.50 
Lab,LAB S/O IN SITU QUANT PER SPEC COMP ASST,$551.25 
Lab,LAB S/O IN SITU QUANT PER SPEC MANUAL,$414.25 
Lab,LAB S/O INFCT AGNT DETEC EIA MULTI STEP,$159.00 
Lab,LAB S/O INFCT AGNT DETEC NUC ACID PROBE,$413.25 
Lab,LAB S/O INFEC AGNT DETECT IF POLYVALENT,$93.00 
Lab,LAB S/O INFEC AGNT DETECT NUC ACID QUAN,$519.75 
Lab,LAB S/O INFECTIOUS AGENT ANTIBODY QUANT,$157.00 
Lab,LAB S/O INHIBIN A,$156.75 
Lab,LAB S/O INHIBIN B,$219.50 
Lab,LAB S/O INSULIN ANTIBODIES,$199.00 
Lab,LAB S/O INSULIN FREE,$126.75 
Lab,LAB S/O INSULIN LIKE BP3 PEDIATRIC,$298.25 
Lab,LAB S/O INSULIN LIKE GROWTH FACTOR BP3,$227.75 
Lab,LAB S/O INSULIN TOTAL,$242.75 
Lab,LAB S/O INTRINSIC FACTOR ANTIBODIES,$125.25 
Lab,LAB S/O IRRADIATE BLOOD PRODUCT EA UNIT,$127.25 
Lab,LAB S/O ITRACONAZOLE,$297.25 
Lab,LAB S/O JAK2 EXON 12-14 MUTATION,$745.00 
Lab,LAB S/O JAK2 GENE ANALYSIS,$646.75 
Lab,LAB S/O JAK2 QUANT MUTATION ANALYSIS,"$1,125.00 "
Lab,LAB S/O JC VIRUS PCR,$737.00 
Lab,LAB S/O KETOSTEROIDS 17 TOTAL,$166.75 
Lab,LAB S/O KIR GENOTYPING,"$1,032.00 "
Lab,LAB S/O KIT (CKIT) MUTATION ANALYSIS,"$1,500.00 "
Lab,LAB S/O KIT ASP816VAL GENE MUTATION ANALY,$687.50 
Lab,LAB S/O KRAS ADDITIONAL VARIANTS,$350.00 
Lab,LAB S/O KRAS GENE ANALYSIS,"$1,026.75 "
Lab,LAB S/O KRAS VARIANTS EXON 2,$350.00 
Lab,LAB S/O KSS MUTATION ANALYSIS,"$1,194.25 "
Lab,LAB S/O KSS MUTATION ANALYSIS,"$1,150.00 "
Lab,LAB S/O LAB ZONISIAMIDE,$218.00 
Lab,LAB S/O LACOSAMIDE,$255.00 
Lab,LAB S/O LAMOTRIGINE,$218.00 
Lab,LAB S/O LATEX ALLERGEN,$41.00 
Lab,LAB S/O LEAD,$118.25 
Lab,LAB S/O LEFLUNOMIDE,$275.00 
Lab,LAB S/O LEGIONELLA ANTIBODY,$153.25 
Lab,LAB S/O LEUCINE AMINOPEPTIDASE,$150.00 
Lab,LAB S/O LEUKOCYTE ALKALINE PHOS W/COUNT,$371.75 
Lab,LAB S/O LEVETIRACETAM,$218.00 
Lab,LAB S/O LH,$437.75 
