Supply Name,Charge
SCREW SPINAL PEDICLE 8.5X70 MULTIAXIAL CANNULATED MAXIMUM ACCESS SURGERY TITANIUM LEGACY 7578570,"$3,685.50"
SCREW SPINAL PEDICLE 8.5X75 MULTIAXIAL CANNULATED MAXIMUM ACCESS SURGERY TITANIUM LEGACY 7578575,"$3,685.50"
SCREW SPINAL ANTERIOR CERVICAL 6.3X32 VARIABLE ANGLE SOLID SELF DRILLING TITANIUM 88901000,$415.00
IMPLANT SPINAL ROD LUMBAR 5.5X5.5MM TITANIUM TSRH 88905512,"$2,593.50"
IMPLANT SPINAL ROD LUMBAR 5.5X5.5X22MM TITANIUM TSRH 88905522,"$2,593.50"
CONNECTOR ROD L32 MM OD5.5 X 5.5 MM LATERAL,"$2,593.50"
SCREW SPINAL PEDICLE 10.5X100 MULTIAXIAL SOLID TITANIUM OSTEOGRIP 70460500,"$2,574.00"
SCREW SPINAL PEDICLE 10.5X110 MULTIAXIAL SOLID TITANIUM LEGACY 70460511,"$2,574.00"
SCREW SPINAL PEDICLE 10.5X80 MULTIAXIAL SOLID TITANIUM OSTEOGRIP 70460580,"$2,574.00"
SCREW SPINAL PEDICLE 10.5X90 MULTIAXIAL SOLID TITANIUM OSTEOGRIP 70460590,"$2,574.00"
SCREW SPINAL PEDICLE 5.5X30 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70465530,"$2,574.00"
SCREW SPINAL PEDICLE 5.5X35 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70465535,"$2,574.00"
SCREW SPINAL PEDICLE 5.5X40 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM LEGACY 70465540,"$2,574.00"
SCREW SPINAL PEDICLE 5.5X40 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70465545,"$2,574.00"
SCREW SPINAL PEDICLE 5.5X50 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM LEGACY 70465550,"$2,574.00"
SCREW SPINAL PEDICLE 5.5X40 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70465555,"$2,574.00"
SCREW SPINAL PEDICLE 5.5X60 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM LEGACY 70465560,"$2,574.00"
SCREW SPINAL PEDICLE 6.5X35 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70466535,"$2,574.00"
SCREW SPINAL PEDICLE 6.5X40 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70466540,"$2,574.00"
SCREW SPINAL PEDICLE 6.5X45 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70466545,"$2,574.00"
SCREW SPINAL PEDICLE 6.5X50 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM LEGACY 70466550,"$2,574.00"
SCREW SPINAL PEDICLE 6.5X55 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70466555,"$2,574.00"
SCREW SPINAL PEDICLE 6.5X60 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM LEGACY 70466560,"$2,574.00"
SCREW SPINAL PEDICLE 6.5X70 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM LEGACY 70466570,"$2,574.00"
SCREW SPINAL PEDICLE 7.5X100 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70467500,"$2,574.00"
SCREW SPINAL PEDICLE 7.5X40 MULTIAXIAL SOLID CLOSED MAXIMUM ACCESS SURGERY TITANIUM OSTEOGRIP 70467540,"$2,574.00"
STENT URETERAL L26 CM OD7 FR NAUTILUS BLADDER KIDNEY COIL SMOOTH TRANSITION ZONE W/O GUIDEWIRE DUAL DUROMETER PERCUFLEX HYDROPLUS,$653.63
STENT URETERAL L26 CM OD6 FR NAUTILUS BLADDER KIDNEY COIL SMOOTH TRANSITION ZONE W/O GUIDEWIRE DUAL DUROMETER PERCUFLEX HYDROPLUS,$690.48
STENT URETERAL L24 CM OD6 FR NAUTILUS BLADDER KIDNEY COIL SMOOTH TRANSITION ZONE W/O GUIDEWIRE DUAL DUROMETER PERCUFLEX HYDROPLUS,$653.63
ELECTRODE EEG 12 PLATINUM CONTACT W/ ECCF12 ECCFS12 CABLE STRIP DUAL SIDED CYLINDRICAL CONNECTOR CORTICAL,"$1,986.94"
ELECTRODE EEG L8XW5IN 40 CONTACT CABLE GRID CYLINDRICAL CONNECTOR EXTRA THIN FLEXIBLE CORTICAL AURAGEN,"$4,092.35"
BASEPLATE GLENOID FIXATION OD25 MM SHOULDER AEQUALIS REVERSED II,"$4,414.80"
PLEDGET VASCULAR L7 MM X W3 MM THK1.5 MM SOFT POLYMER STERILE,$9.81
BIT DRILL SURGICAL 3.2MM STAINLESS STEEL VERTEX 7756131,"$1,701.50"
BIT DRILL 3.2MM OCCIPITOCERVICAL FLEXIBLE STERILE SLOT KEYESS 7756281S,"$2,535.00"
COMPONENT FEMORAL KNEE 8.5MMX34MM TITANIUM POROUS VANGUARD 184706,$830.00
INSERT TIBIAL KNEE 20X59MM POLYETHYLENE FIXED VANGUARD 183510,"$3,352.99"
INSERT TIBIAL KNEE 20X63/67MM POLYETHYLENE FIXED VANGUARD 183530,"$3,352.99"
INSERT TIBIAL KNEE 20X71/75MM POLYETHYLENE FIXED VANGUARD 183550,"$3,352.99"
INSERT TIBIAL KNEE 20X79/83MM POLYETHYLENE FIXED VANGUARD 183570,"$3,352.99"
INSERT TIBIAL KNEE 16X87/91MM POLYETHYLENE FIXED VANGUARD 183586,"$3,352.99"
INSERT TIBIAL KNEE 18X87/91MM POLYETHYLENE FIXED VANGUARD 183588,"$3,352.99"
INSERT TIBIAL KNEE 20X87/91MM POLYETHYLENE FIXED VANGUARD 183590,"$3,352.99"
BASEPLATE TIBIAL KNEE CEMENTED 59MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141220,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 63MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141221,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 67MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141222,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 71MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141223,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 75MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141224,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 79MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141225,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 83MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141226,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 87MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141227,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 91MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141228,"$4,485.00"
BASEPLATE TIBIAL KNEE CEMENTED 59MM COBALT CHROMIUM FIXED FINNED 1 PIECE ASCENT 141230,"$4,485.00"
IMPLANT HIP FEMORAL HEAD +0X32MM COBALT CHROMIUM BIOLOX 183200,"$7,800.00"
IMPLANT PLATE SPINE LUMBAR SACRAL SUPERIOR 34.5X27MM UHMWPE STRL MED PRODISC PDLMSP06S,"$17,230.75"
IMPLANT SPINAL CAGE 14X24X34MM PEEK XLIF STERILE BRIGADE 6941434,"$13,708.50"
ENDPLATE LS INFERIOR 39X30MM LG POLY PRODISC L PDLLIP00S,"$17,230.75"
DISK INLAY LS 39X30MM LG POLY PRODISC L PDLLPT10S,"$3,178.03"
INLAY SPINAL H12 MM LARGE W/ TANTALUM MARKER PRODISC-L POLYETHYLENE STERILE,"$3,178.03"
INLAY SPINAL H14 MM LARGE W/ TANTALUM MARKER PRODISC-L POLYETHYLENE STERILE,"$3,178.03"
ENDPLATE LS SUPERIOR 39X30MM LG POLY PRODISC L PDLLSP06S,"$17,230.75"
ENDPLATE LS SUPERIOR 39X30MM LG POLY PRODISC L PDLLSP11S,"$17,230.75"
IMPLANT PLATE SPINE LUMBAR 10MM POLYETHYLENE STRL TANTALUM MARKER PRODISC PDLMPT10S,"$3,178.03"
DISK INLAY LUMBR 12MM MED POLY PDLMPT12S,"$3,178.03"
INLAY SPINAL H14 MM MEDIUM W/ TANTALUM MARKER PRODISC-L POLYETHYLENE STERILE,"$3,178.03"
SCREW BONE CORTICAL 5X52MM CANNULATED TITANIUM FULL THREAD STRL DISTAL FEMORAL TIBIAL 458952S,$842.57
SCREW BONE CORTICAL 5X54MM CANNULATED TITANIUM FULL THREAD STRL DISTAL FEMORAL TIBIAL 458954S,$842.57
SCREW BONE CORTICAL 5X34MM CANNULATED TITANIUM FULL THREAD STRL DISTAL FEMORAL TIBIAL 458934S,$842.57
SCREW BONE CORTICAL 5X36MM CANNULATED TITANIUM FULL THREAD STRL DISTAL FEMORAL TIBIAL 458936S,$842.57
SCREW BONE CORTICAL 5X46MM CANNULATED TITANIUM FULL THREAD STRL DISTAL FEMORAL TIBIAL 458946S,$842.57
SCREW BONE CORTICAL 5X50MM CANNULATED TITANIUM FULL THREAD STRL DISTAL FEMORAL TIBIAL 458950S,$842.57
NAIL BONE INTRAMEDULLARY FEMORAL 11X380MM TITANIUM GREEN 456419S,"$6,748.21"
NAIL BONE INTRAMEDULLARY FEMORAL 11X400MM TITANIUM GREEN 456420S,"$6,748.21"
NAIL BONE INTRAMEDULLARY FEMORAL 11X400MM TITANIUM GREEN 456421S,"$6,748.21"
NAIL BONE INTRAMEDULLARY FEMORAL 11X420MM TITANIUM GREEN 456422S,"$6,748.21"
NAIL BONE INTRAMEDULLARY FEMORAL 11X420MM TITANIUM GREEN 456423S,"$6,748.21"
NAIL BONE INTRAMEDULLARY FEMORAL 11X440MM TITANIUM GREEN 456424S,"$6,748.21"
NAIL BONE INTRAMEDULLARY FEMORAL 11X440MM TITANIUM GREEN 456425S,"$6,748.21"
NAIL BONE INTRAMEDULLARY FEMORAL 11X460MM TITANIUM GREEN 456426S,"$6,748.21"
NAIL BONE INTRAMEDULLARY FEMORAL 11X460MM TITANIUM GREEN 456427S,"$6,748.21"
WIRE FIXATION L100 MM OD1.25 MM THREADED TIP KIRSCHNER,$202.91
PORT INFUSION ODSEC6 FR SOFT SINGLE LUMEN INTERMEDIATE PROFILE POWER INJECTABLE W/ ATTACHABLE POLYURETHANE CATHETER AIRGUARD VALVED INTRODUCER POWERPORT VUE SILICONE TITANIUM,"$2,054.25"
ELECTRODE EEG L6XW1IN 7.5MM SPACING 6 CONTACT CABLE STRIP CYLINDRICAL CONNECTOR EXTRA THIN FLEXIBLE CORTICAL AURAGEN,"$1,873.31"
BIT DRILL SURGICAL 2X14MM STAINLESS STEEL QUICK COUPLING NON STERILE ZERO P VA 03617914,"$1,390.25"
IMPLANT HIP FEMORAL HEAD 40MM COBALT CHROMIUM METASUL 00877004002,"$4,231.15"
KIT PHLEBOTOMY DOUBLE SYRINGE DESIGN ACP SERIES II F/AUTOLOGOUS CONDITIONED PLASMA,"$1,037.50"
GUIDEWIRE VASC .018INX180X15CM STR TP SS HYDROPHIL COATD PERIPH TREASURE PAGH18M070,$747.00
SCREW BONE L4MM OD1.5MM TITANIUM ULTRA LOW PROFILE IMPLANTABLE MAXDRIVE,$103.50
SCREW BONE L5 MM OD1.5 MM ULTRA LOW PROFILE ULP TITANIUM,$103.50
BIT DRILL OD4 MM SHORT PILOT AO,$759.45
BIT DRILL OD4 MM LONG PILOT AO,"$1,045.80"
GUIDEWIRE BONE FEMORAL 3.2X343MM STAINLESS STEEL THREADED BRAD POINT STERILE 71674130,$672.30
GRAFT VASCULAR L5 CM ID3.5 MM THIN WALL SHUNT PROPATEN EPTFE HEPARIN PEDIATRIC,"$2,999.10"
GRAFT VASCULAR L10 CM ID5 MM THIN WALL SHUNT PROPATEN EPTFE HEPARIN PEDIATRIC,"$3,623.10"
GRAFT VASCULAR L15 CM ID6 MM THIN WALL SHUNT PROPATEN EPTFE HEPARIN PEDIATRIC,"$4,348.50"
SCREW SPINAL PEDICLE 5.5X50 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502350,"$2,769.00"
SCREW SPINAL PEDICLE 6.5X30 FIXED SOLID STAINLESS STEEL POLARIS 14504430,"$2,398.50"
SCREW SPINAL PEDICLE 6.5X40 FIXED SOLID STAINLESS STEEL POLARIS 14504440,"$2,398.50"
HOOK PEDICLE ANGLED BLADE 5.5X9MM TITANIUM FOR 6.35MM ROD NSTRL LG POLARIS 20005552,"$1,776.20"
HOOK LAMINAR ANGLED BLADE 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501175,"$1,776.20"
HOOK PEDICLE ANGLED BLADE 5.5X7.5MM TITANIUM FOR 6.35MM ROD NSTRL MED POLARIS 20005550,"$1,776.20"
HOOK PEDICLE ANGLED BLADE 5.5X6MM TITANIUM FOR 6.35MM ROD NSTRL SM POLARIS 20005548,"$1,776.20"
HOOK LAMINAR ANGLED BLADE 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501174,"$1,776.20"
HOOK LAMINAR EXTENDED 5.5X9MM TITANIUM FOR 5.5MM ROD NSTRL LG POLARIS 20005558,"$1,776.20"
HOOK LAMINAR EXTENDED 9X6.35MM TITANIUM F/6.35MM ROD STRL LG POLARIS 14501179,"$1,776.20"
HOOK LAMINAR EXTENDED 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501178,"$1,776.20"
HOOK LAMINAR EXTENDED 5.5X7.5MM TITANIUM FOR 5.5MM ROD NSTRL MED POLARIS 20005556,"$1,776.20"
HOOK LAMINAR EXTENDED 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501177,"$1,776.20"
HOOK LAMINAR EXTENDED 5.5X6MM TITANIUM FOR 5.5MM ROD NSTRL SM POLARIS 20005554,"$1,776.20"
HOOK PEDICLE LEFT ANGLED 9X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501155,"$1,776.20"
HOOK PEDICLE LEFT ANGLED 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501154,"$1,776.20"
HOOK PEDICLE LEFT ANGLED 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501153,"$1,776.20"
HOOK LAMINAR LEFT OFFSET 9X6.35MM TITANIUM F/6.35MM ROD STRL LG POLARIS 14501170,"$1,776.20"
HOOK PEDICLE LEFT OFFSET 5.5X9MM TITANIUM FOR 6.35MM ROD NSTRL LG POLARIS 20005544,"$1,776.20"
HOOK LAMINAR LEFT OFFSET 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501169,"$1,776.20"
HOOK PEDICLE LEFT OFFSET 5.5X7.5MM TITANIUM FOR 6.35MM ROD NSTRL MED POLARIS 20005540,"$1,776.20"
HOOK PEDICLE LEFT OFFSET 5.5X6MM TITANIUM FOR 6.35MM ROD NSTRL SM POLARIS 20005536,"$1,776.20"
HOOK LAMINAR LEFT OFFSET 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501168,"$1,776.20"
HOOK LAMINAR NARROW BLADE 9X6.35MM TITANIUM F/6.35MM ROD STRL LG POLARIS 14501164,"$1,776.20"
HOOK LAMINAR NARROW BLADE 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501163,"$1,776.20"
HOOK LAMINAR NARROW BLADE 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501162,"$1,776.20"
HOOK PEDICLE NARROW REDUCED 5.5X9MM TITANIUM FOR 6.35MM ROD NSTRL LG POLARIS 20005534,"$1,776.20"
HOOK LAMINAR REDUCED NARROW BLADE 9X6.35MM TITANIUM F/6.35MM ROD STRL LG POLARIS 14501167,"$1,776.20"
HOOK PEDICLE NARROW REDUCED 5.5X7.5MM TITANIUM FOR 6.35MM ROD NSTRL MED POLARIS 20005532,"$1,776.20"
SCREW SPINAL PEDICLE 4.75X25 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502225,"$2,769.00"
SCREW SPINAL PEDICLE 5.5X25 FIXED SOLID STAINLESS STEEL POLARIS 14504325,"$2,398.50"
SCREW SPINAL PEDICLE 5.5X30 FIXED SOLID STAINLESS STEEL POLARIS 14504330,"$2,398.50"
SCREW SPINAL PEDICLE 5.5X35 FIXED SOLID STAINLESS STEEL POLARIS 14504335,"$2,398.50"
SCREW SPINAL PEDICLE 5.5X40 FIXED SOLID STAINLESS STEEL POLARIS 14504340,"$2,398.50"
SCREW SPINAL PEDICLE 5.5X30 MULTIAXIAL REDUCTION SOLID STAINLESS STEEL POLARIS 14507330,"$3,880.50"
SCREW SPINAL PEDICLE 5.5X40 MULTIAXIAL REDUCTION SOLID STAINLESS STEEL POLARIS 14507340,"$3,880.50"
SCREW SPINAL PEDICLE 5.5X20 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502320,"$2,769.00"
SCREW SPINAL PEDICLE 5.5X25 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502325,"$2,769.00"
SCREW SPINAL PEDICLE 5.5X35 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502335,"$2,769.00"
IMPLANT SPINAL CONNECTOR ROD 12X5.5MM TITANIUM POLARIS CROSS FIXED 14505142,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 14X5.5MM TITANIUM POLARIS CROSS FIXED 14505143,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 25X5.5MM TITANIUM POLARIS CROSS FIXED 14505120,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 12X5.5MM TITANIUM POLARIS CROSS FIXED 14500130,"$2,593.50"
HOOK LAMINAR REDUCED NARROW BLADE 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501166,"$1,776.20"
HOOK LAMINAR NARROW BLADE 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501165,"$1,776.20"
HOOK PEDICLE NARROW REDUCED 5.5X6MM TITANIUM FOR 6.35MM ROD NSTRL SM POLARIS 20005530,"$1,776.20"
HOOK PEDICLE LARGE 9X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501152,"$1,776.20"
HOOK PEDICLE RIGHT LARGE 9X5.5MM TITANIUM FOR 6.35MM ROD NSTRL POLARIS 20005504,"$1,776.20"
HOOK PEDICLE MEDIUM 7.5X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501151,"$1,776.20"
HOOK PEDICLE SMALL 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501150,"$1,776.20"
HOOK PEDICLE RIGHT ANGLED 9X6.35MM TITANIUM F/6.35MM ROD STRL LG POLARIS 14501158,"$1,776.20"
HOOK PEDICLE RIGHT ANGLED 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501157,"$1,776.20"
HOOK PEDICLE RIGHT ANGLED 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501156,"$1,776.20"
HOOK LAMINAR RIGHT OFFSET 9X6.35MM TITANIUM F/6.35MM ROD STRL LG POLARIS 14501173,"$1,776.20"
HOOK PEDICLE RIGHT OFFSET 5.5X9MM TITANIUM FOR 6.35MM ROD NSTRL LG POLARIS 20005546,"$1,776.20"
HOOK LAMINAR RIGHT OFFSET 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501172,"$1,776.20"
HOOK PEDICLE RIGHT OFFSET 5.5X7.5MM TITANIUM FOR 6.35MM ROD NSTRL MED POLARIS 20005542,"$1,776.20"
HOOK LAMINAR RIGHT OFFSET 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501171,"$1,776.20"
HOOK PEDICLE RIGHT OFFSET 5.5X6MM TITANIUM FOR 6.35MM ROD NSTRL SM POLARIS 20005538,"$1,776.20"
HOOK LAMINAR NARROW WIDE BLADE 9X6.35MM TITANIUM F/6.35MM ROD STRL LG POLARIS 14501161,"$1,776.20"
HOOK PEDICLE WIDE BLADE 5.5X9MM TITANIUM FOR 6.35MM ROD NSTRL LG POLARIS 20005522,"$1,776.20"
HOOK LAMINAR NARROW WIDE BLADE 7.5X6.35MM TITANIUM F/6.35MM ROD STRL MED POLARIS 14501160,"$1,776.20"
HOOK LAMINAR WIDE BLADE 5.5X7.5MM TITANIUM FOR 6.35MM ROD NSTRL MED POLARIS 20005520,"$1,776.20"
HOOK LAMINAR WIDE BLADE 5.5X6MM TITANIUM FOR 6.35MM ROD NSTRL SM POLARIS 20005518,"$1,776.20"
HOOK LAMINAR NARROW WIDE BLADE 6X6.35MM TITANIUM F/6.35MM ROD STRL SM POLARIS 14501159,"$1,776.20"
IMPLANT SPINAL CONNECTOR ROD 14X5.5MM TITANIUM POLARIS CROSS FIXED 14500131,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 35X5.5MM TITANIUM POLARIS CROSS FIXED 14500132,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD LAT 50X5.5MM TITANIUM HELICAL FLANGE POLARIS F/5.5M ROD 20001022,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD LAT 75X5.5MM TITANIUM HELICAL FLANGE POLARIS F/5.5M ROD 20001024,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD LAT 25X5.5MM TITANIUM HELICAL FLANGE POLARIS F/5.5M ROD 20001020,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 14X6.35MM TITANIUM POLARIS CROSS FIXED 14501041,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 16X6.35MM TITANIUM POLARIS CROSS FIXED 14501051,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 18X6.35MM TITANIUM POLARIS CROSS FIXED 14501052,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 20X6.35MM TITANIUM POLARIS CROSS FIXED 14501053,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 22X6.35MM TITANIUM POLARIS CROSS FIXED 14501054,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 24X6.35MM TITANIUM POLARIS CROSS FIXED 14501055,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 50X6.35MM TITANIUM POLARIS CROSS FIXED 14501220,"$2,593.50"
IMPLANT SPINAL CONNECTOR ROD 75X6.35MM TITANIUM POLARIS CROSS FIXED 14501221,"$2,593.50"
HOOK PEDICLE LEFT ANGLED 9X5.5MM TITANIUM FOR 6.35MM ROD NSTRL LG POLARIS 20005514,"$1,776.20"
HOOK PEDICLE LEFT MEDIUM ANGLED 7.5X5.5MM TITANIUM FOR 6.35MM ROD NSTRL POLARIS 20005510,"$1,776.20"
HOOK PEDICLE LEFT ANGLED 6X5.5MM TITANIUM FOR 6.35MM ROD NSTRL SM POLARIS 20005506,"$1,776.20"
HOOK PEDICLE NARROW BLADE 5.5X9MM TITANIUM FOR 6.35MM ROD NSTRL LARGR POLARIS 20005528,"$1,776.20"
HOOK PEDICLE NARROW BLADE 5.5X7.5MM TITANIUM FOR 6.35MM ROD NSTRL MED POLARIS 20005526,"$1,776.20"
HOOK PEDICLE NARROW BLADE 5.5X6MM TITANIUM FOR 6.35MM ROD NON TERILE SM POLARIS 20005524,"$1,776.20"
HOOK PEDICLE RIGHT MEDIUM 5.5X7.5MM TITANIUM FOR 6.35MM ROD NSTRL POLARIS 20005502,"$1,776.20"
HOOK PEDICLE RIGHT SMALL 5.5X6MM TITANIUM FOR 6.35MM ROD NSTRL POLARIS 20005500,"$1,776.20"
HOOK PEDICLE RIGHT ANGLED 5.5X9MM TITANIUM FOR 6.35MM ROD NSTRL LG POLARIS 20005516,"$1,776.20"
HOOK PEDICLE RIGHT MEDIUM ANGLED 7.5X5.5MM TITANIUM FOR 6.35MM ROD NSTRL POLARIS 20005512,"$1,776.20"
HOOK PEDICLE RIGHT SMALL ANGLED 6X5.5MM TITANIUM FOR 6.35MM ROD NSTRL POLARIS 20005508,"$1,776.20"
HOOK LAMINAR ANGLED BLADE 9X6.35MM TITANIUM F/6.35MM ROD STRL LG POLARIS 14501176,"$1,776.20"
SCREW SPINAL PEDICLE 6.5X60 MULTIAXIAL CANNULATED STAINLESS STEEL POLARIS 14503460,"$2,769.00"
SCREW SPINAL PEDICLE 6.5X70 MULTIAXIAL CANNULATED STAINLESS STEEL POLARIS 14503470,"$2,769.00"
SCREW SPINAL PEDICLE 6.5X35 MULTIAXIAL REDUCTION SOLID STAINLESS STEEL POLARIS 14507435,"$3,880.50"
SCREW SPINAL PEDICLE 6.5X30 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502430,"$2,769.00"
SCREW SPINAL PEDICLE 6.5X35 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502435,"$2,769.00"
SCREW SPINAL PEDICLE 6.5X40 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502440,"$2,769.00"
SCREW SPINAL PEDICLE 6.5X45 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502445,"$2,769.00"
SCREW SPINAL PEDICLE 6.5X50 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502450,"$2,769.00"
SCREW SPINAL PEDICLE 6.5X55 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502455,"$2,769.00"
SCREW SPINAL PEDICLE 7.5X40 MULTIAXIAL SOLID STAINLESS STEEL POLARIS 14502540,"$2,769.00"
SCREW SPINAL PEDICLE 8.5X80 MULTIAXIAL CANNULATED STAINLESS STEEL POLARIS 14503680,"$2,769.00"
SCREW SPINAL PEDICLE 4.75X20 SOLID TITANIUM POLARIS 20004220,"$2,398.50"
SCREW SPINAL PEDICLE 4.75X25 MULTIAXIAL SOLID SELF TAPPING TITANIUM POLARIS 20002225,"$2,769.00"
SCREW SPINAL PEDICLE 4.75X25 SOLID TITANIUM POLARIS 20004225,"$2,398.50"
SCREW SPINAL PEDICLE 4.75X30 MULTIAXIAL SOLID SELF TAPPING TITANIUM POLARIS 20002230,"$2,769.00"
SCREW SPINAL PEDICLE 4.75X30 SOLID TITANIUM POLARIS 20004230,"$2,398.50"
SCREW SPINAL PEDICLE 4.75X35 SOLID TITANIUM POLARIS 20004235,"$2,398.50"
SCREW SPINAL PEDICLE 4.75X40 SOLID TITANIUM POLARIS 20004240,"$2,398.50"
SCREW SPINAL PEDICLE 4.75X45 SOLID TITANIUM POLARIS 20004245,"$2,398.50"
SCREW SPINAL PEDICLE 5.5X25 MULTIAXIAL SOLID SELF TAPPING TITANIUM POLARIS 20002325,"$2,769.00"
SCREW SPINAL PEDICLE 5.5X25 SOLID TITANIUM POLARIS 20004325,"$2,398.50"
SCREW SPINAL PEDICLE 5.5X30 SOLID TITANIUM POLARIS 20004330,"$2,398.50"
SCREW SPINAL PEDICLE 5.5X35 SOLID TITANIUM POLARIS 20004335,"$2,398.50"
SCREW BONE MULTI SCREW 5.5X40MM TITANIUM NSTRL SPINE THORACOLUMBAR POLARIS 20004340,"$2,398.50"
SCREW BONE MULTI SCREW 5.5X45MM TITANIUM NSTRL SPINE THORACOLUMBAR POLARIS 20004345,"$2,398.50"
