Medication,Charge
BUPIVACAINE (PRESERV FREE) 0.25 % (2.5 MG/ML) INJECTION,$48.00
BUPIVACAINE (PRESERV FREE) 0.25 % (2.5 MG/ML) INJECTION,$47.67
BUPIVACAINE (PRESERV FREE) 0.25 % (2.5 MG/ML) INJECTION,$51.38
BUPIVACAINE (PRESERV FREE) 0.25 % (2.5 MG/ML) INJECTION,$51.38
BUPIVACAINE (PRESERV FREE) 0.25 % (2.5 MG/ML) INJECTION,$59.63
BUPIVACAINE (PRESERV FREE) 0.5 % (5 MG/ML) INJECTION,$48.32
BUPIVACAINE (PRESERV FREE) 0.75 % (7.5 MG/ML) INJECTION,$52.22
BUPIVACAINE 0.5 % (5 MG/ML) INJECTION,$52.45
BUPIVACAINE 0.5 % (5 MG/ML) INJECTION,$52.45
BUPIVACAINE-DEXTROSE-WATER(PF) 7.5 MG/ML (0.75 %) INJECTION,$47.45
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJECTION",$50.99
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION",$49.14
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION",$54.63
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION",$54.63
BUPRENORPHINE 0.3 MG/ML INJECTION,$81.05
BUPRENORPHINE-NALOXONE 2 MG-0.5 MG SUBLINGUAL FILM,$26.07
BUPRENORPHINE-NALOXONE 2 MG-0.5 MG SUBLINGUAL TAB,$17.28
BUPRENORPHINE-NALOXONE 8 MG-2 MG SUBLINGUAL TAB,$25.31
BUPROPION 100 MG TAB,$7.69
BUPROPION 50 MG (HALF-TAB),$13.94
BUPROPION 75 MG TAB,$7.20
BUPROPION SR 100 MG TAB,$7.59
BUPROPION SR 150 MG TAB (BUNDLED),$7.90
BUPROPION SR 150 MG TAB (BUNDLED),$7.69
BUPROPION XL 150 MG 24 HR TAB,$8.81
BUPROPION XL 150 MG 24 HR TAB,$16.13
BUPROPION XL 300 MG 24 HR TAB,$12.35
BUSPIRONE 10 MG TAB,$6.71
BUSPIRONE 10 MG TAB,$6.71
BUSPIRONE 2.5 MG (HALF-TAB),$12.89
BUSPIRONE 5 MG TAB,$6.64
BUTAMBEN-TETRACAINE-BENZOCAINE 2 %-2 %-14 % TOPICAL SPRAY,$154.52
BUTORPHANOL TARTRATE 2 MG/ML INJECTION,$52.91
CAFFEINE 200 MG TAB,$8.18
CAFFEINE-SODIUM BENZOATE 250 MG/ML INJECTION,$67.76
CALAMINE-ZINC OXIDE 8 %-8 % TOPICAL SUSP,$23.56
CALCITONIN (SALMON) 200 UNIT/ACTUATION NASAL SPRAY AEROSOL,$331.70
CALCITONIN (SALMON) 200 UNIT/ML INJECTION,$205.98
CALCITRIOL 0.25 MCG CAP,$8.39
CALCITRIOL 0.25 MCG CAP,$8.39
CALCITRIOL 1 MCG/ML IV,$55.08
CALCIUM (TPN) INJECTION - ROPH,$47.25
CALCIUM ACETATE 667 MG CAP,$8.88
CALCIUM ACETATE 667 MG CAP,$8.32
CALCIUM ACETATE 667 MG CAP,$8.73
"CALCIUM ACETATE-ALUMINUM 952 MG-1,347 MG TOPICAL POWDER IN PACKET",$8.85
"CALCIUM CARBONATE 1,250 MG/5 ML (500 MG/5 ML) ORAL SUSP",$30.25
"CALCIUM CARBONATE 1,500 MG (600 MG ELEM) TAB",$6.61
"CALCIUM CARBONATE 500 MG (1,250 MG) TAB",$6.78
CALCIUM CARBONATE 500 MG CHEWABLE TAB,$6.75
CALCIUM CARBONATE 750 MG CHEWABLE TAB,$6.68
CALCIUM CHLORIDE 10% (100 MG/ML) IV SYRINGE,$50.21
CALCIUM CHLORIDE 10% (100 MG/ML) IV SYRINGE,$58.53
CALCIUM CITRATE-VITAMIN D3 315 MG-200 UNIT TAB,$6.64
CALCIUM GLUCONATE 100 MG/ML (10 %) IV,$57.13
CALCIUM GLUCONATE 100 MG/ML (10 %) IV,$63.10
CALCIUM-CHOLECALCIFEROL (D3) 250 MG-125 UNIT TAB,$6.54
CALCIUM-CHOLECALCIFEROL (D3) 500 MG-200 UNIT TAB,$6.64
CALCIUM-CHOLECALCIFEROL (D3) 600 MG-200 UNIT TAB,$6.64
CALCIUM-CHOLECALCIFEROL (D3) 600 MG-400 UNIT TAB,$6.61
CALCIUM-CHOLECALCIFEROL (D3) 600 MG-400 UNIT TAB,$6.57
"CALCIUM-SIMETHICONE 1,000 MG-60 MG CHEWABLE TAB",$6.71
CANDESARTAN 16 MG TAB,$13.92
CANDESARTAN 2 MG (HALF-TAB),$19.54
CANDESARTAN 4 MG TAB,$13.40
CANDESARTAN 8 MG TAB,$13.92
CANGRELOR 50 MG INTRAVENOUS SOLUTION,"$2,803.85"
CAPSAICIN 0.025 % TOPICAL CREAM,$38.15
CAPSAICIN 0.025 % TOPICAL CREAM,$16.30
CAPSAICIN 0.075 % TOPICAL CREAM,$36.37
CAPTOPRIL 100 MG TAB,$6.61
CAPTOPRIL 100 MG TAB,$6.61
CAPTOPRIL 12.5 MG TAB,$6.68
CAPTOPRIL 25 MG TAB,$6.68
CAPTOPRIL 50 MG TAB,$6.75
CAPTOPRIL 6.25 MG (HALF-TAB),$12.96
CARBACHOL 0.01 % INTRAOCULAR,$62.63
CARBAMAZEPINE 100 MG CHEWABLE TAB,$6.92
CARBAMAZEPINE 200 MG TAB,$6.82
CARBAMAZEPINE 200 MG/10 ML ORAL SUSP,$12.84
CARBAMAZEPINE XR 100 MG 12 HR TAB,$8.04
CARBAMAZEPINE XR 200 MG 12 HR TAB,$9.06
CARBAMIDE PEROXIDE 10 % ORAL RINSE,$50.21
CARBAMIDE PEROXIDE 6.5 % EAR DROPS,$24.36
CARBAMIDE PEROXIDE 6.5 % EAR DROPS,$28.63
CARBIDOPA 25 MG TAB,$13.33
CARBIDOPA-LEVODOPA 10 MG-100 MG TAB,$8.74
CARBIDOPA-LEVODOPA 12.5 MG-125 MG (HALF-TAB),$13.63
CARBIDOPA-LEVODOPA 12.5 MG-50 MG (HALF-TAB),$12.95
CARBIDOPA-LEVODOPA 25 MG-100 MG TAB,$7.03
CARBIDOPA-LEVODOPA 25 MG-100 MG TAB,$7.06
CARBIDOPA-LEVODOPA 25 MG-100 MG TAB,$7.03
CARBIDOPA-LEVODOPA 25 MG-250 MG TAB,$7.24
CARBIDOPA-LEVODOPA SR 12.5 MG-50 MG (HALF-TAB),$13.52
CARBIDOPA-LEVODOPA SR 25 MG-100 MG TAB,$7.24
CARBIDOPA-LEVODOPA SR 50 MG-200 MG TAB,$10.39
CARBOPLATIN 10 MG/ML IV,$187.50
CARBOPROST TROMETHAMINE 250 MCG/ML IM,$527.65
CARBOPROST TROMETHAMINE 250 MCG/ML IM,$527.65
CARISOPRODOL 175 MG (HALF-TAB),$13.42
CARISOPRODOL 350 MG TAB,$7.03
CARISOPRODOL-ASPIRIN 200 MG-325 MG TAB,$11.51
CARMUSTINE 100 MG IV SOLUTION,$568.67
CARVEDILOL 12.5 MG TAB,$6.82
CARVEDILOL 12.5 MG TAB,$6.78
CARVEDILOL 25 MG TAB,$6.82
CARVEDILOL 25 MG TAB,$6.75
CARVEDILOL 3.125 MG TAB,$6.75
CARVEDILOL 3.125 MG TAB,$6.82
CARVEDILOL 6.25 MG TAB,$6.75
CARVEDILOL PHOSPHATE SR 10 MG MULTIPHASE 24 HR CAP,$19.94
CARVEDILOL PHOSPHATE SR 20 MG MULTIPHASE 24 HR CAP,$19.94
CARVEDILOL PHOSPHATE SR 40 MG MULTIPHASE 24 HR CAP,$19.94
CARVEDILOL PHOSPHATE SR 80 MG MULTIPHASE 24 HR CAP,$19.87
CASPOFUNGIN 50 MG IV SOLUTION,$612.74
CASPOFUNGIN 70 MG IV SOLUTION,$632.36
CEFACLOR 250 MG CAP,$11.86
CEFACLOR 500 MG CAP,$12.66
CEFADROXIL 500 MG CAP,$9.34
CEFAZOLIN 1 G SOLN FOR INJ - FOR DESENSITIZATION,$46.18
CEFAZOLIN 1 G SOLN FOR INJ - FOR DESENSITIZATION,$46.18
CEFAZOLIN 1 G SOLUTION FOR INJECTION,$46.18
CEFAZOLIN 1 G SOLUTION FOR INJECTION,$46.18
CEFAZOLIN 1 G SOLUTION FOR INJECTION,$46.05
CEFAZOLIN 1 G SOLUTION FOR INJECTION,$46.05
CEFAZOLIN 10 G SOLUTION FOR INJECTION,$65.13
CEFAZOLIN 10 G SOLUTION FOR INJECTION,$61.62
CEFAZOLIN 2 GRAM/100 ML IN DEXTROSE(ISO-OSMOTIC) INTRAVENOUS PIGGYBACK,$128.13
CEFAZOLIN 20 MG/ML INJECTION (PEDS) (ROPH),$73.00
CEFAZOLIN IN DEXTROSE (ISO-OSMOTIC) 1 G/50 ML IV PIGGY BACK,$128.13
CEFAZOLIN IN NS 1 G/100 ML IV PIGGYBACK (ADS),$128.13
CEFEPIME 1 G IV SOLUTION,$64.74
CEFEPIME 1 G SOLN FOR INJ -  FOR DESENSITIZATION,$58.92
CEFEPIME 1 G SOLUTION FOR INJECTION,$56.68
CEFEPIME 1 G SOLUTION FOR INJECTION,$58.92
CEFEPIME 1 G SOLUTION FOR INJECTION,$56.68
CEFEPIME 2 G SOLUTION FOR INJECTION,$66.36
CEFEPIME 2 G SOLUTION FOR INJECTION,$70.42
CEFEPIME IN DEXTROSE (ISO-OSMOTIC) 1 GRAM/50 ML IV PIGGY BACK,$128.13
CEFEPIME IN DEXTROSE (ISO-OSMOTIC) 2 GRAM/100 ML IV PIGGY BACK,$128.13
CEFEPIME IN NS 2G/100 ML IV PIGGYBACK (ADS),$128.13
CEFIXIME 100 MG/5 ML ORAL SUSP,$328.75
CEFOTAXIME 1 G SOLUTION FOR INJECTION,$62.49
CEFOTAXIME 2 G IV SOLUTION,$59.99
CEFOTAXIME 2 G SOLUTION FOR INJECTION,$54.69
CEFOTETAN 1 G SOLUTION FOR INJECTION,$71.95
CEFOTETAN 2 G SOLUTION FOR INJECTION,$99.87
CEFOXITIN 1 G IV SOLUTION,$55.41
CEFOXITIN 1 G IV SOLUTION,$57.03
CEFOXITIN 1 G IV SOLUTION,$57.03
CEFOXITIN 1 G IV SOLUTION (IMS ADDITIVE),$57.03
CEFOXITIN 1 G IV SOLUTION (IMS ADDITIVE),$55.41
CEFOXITIN 1 G IV SOLUTION (IMS ADDITIVE),$57.03
CEFOXITIN 2 G IV SOLUTION,$65.35
CEFOXITIN 2 G IV SOLUTION (IMS ADDITIVE),$65.35
CEFPODOXIME 100 MG (HALF-TAB),$23.04
CEFPODOXIME 100 MG TAB,$25.73
CEFPODOXIME 200 MG TAB,$30.41
CEFTAZIDIME 1 G SOLUTION FOR INJECTION,$60.24
CEFTAZIDIME 100 MG/0.5 ML SUBCONJUNCTIVAL SOLUTION,$227.50
CEFTAZIDIME 2 G SOLUTION FOR INJECTION,$62.14
CEFTAZIDIME 2.25 MG/0.1 ML INTRAVITREAL SOLUTION,$227.50
CEFTAZIDIME 4.5 MG/0.1 ML INTRAVITREAL SOLUTION,$97.50
CEFTRIAXONE 1 G INJECTION (NEO-PEDS),$49.14
CEFTRIAXONE 1 G INJECTION (NEO-PEDS),$47.67
CEFTRIAXONE 1 G INJECTION (PEDS) (IMS ADDITIVE),$49.14
CEFTRIAXONE 1 G INJECTION (PEDS) (IMS ADDITIVE),$47.67
CEFTRIAXONE 1 G SOLUTION FOR INJECTION,$49.14
CEFTRIAXONE 1 G SOLUTION FOR INJECTION,$47.67
CEFTRIAXONE 2 G SOLUTION FOR INJECTION,$52.74
CEFTRIAXONE 250 MG SOLUTION FOR INJECTION,$45.85
CEFTRIAXONE 250 MG SOLUTION FOR INJECTION,$46.11
CEFTRIAXONE 250 MG SOLUTION FOR INJECTION,$46.15
CEFTRIAXONE 250 MG SOLUTION FOR INJECTION,$46.60
CEFTRIAXONE 500 MG SOLUTION FOR INJECTION,$46.70
CEFTRIAXONE 500 MG SOLUTION FOR INJECTION,$47.22
CEFTRIAXONE 500 MG SOLUTION FOR INJECTION,$52.87
CEFTRIAXONE IN LIDOCAINE 450 MG/ML IM INJECTION - ADULT,$123.01
CEFTRIAXONE IN LIDOCAINE 450 MG/ML IM INJECTION (PEDS),$123.01
CEFTRIAXONE IN NS 1 G/100 ML IV PIGGYBACK (ADS),$128.13
CEFTRIAXONE IN NS 2 G/100 ML IV PIGGYBACK (ADS),$128.13
CEFTRIAXONE-DEXTROSE (ISO-OSMOTIC) 1 G/50 ML IV PIGGY BACK,$128.13
CEFTRIAXONE-DEXTROSE (ISO-OSMOTIC) 2 G/50 ML IV PIGGY BACK,$128.13
CEFUROXIME AXETIL 250 MG TAB,$7.31
CEFUROXIME AXETIL 250 MG TAB,$7.45
CEFUROXIME AXETIL 500 MG TAB,$7.94
CEFUROXIME SODIUM 1.5 G IV SOLUTION,$54.60
CELECOXIB 100 MG CAP,$13.82
CELECOXIB 200 MG CAP,$18.47
CELECOXIB 200 MG CAP,$14.59
CELLULOSE OXIDIZED 4X8 DRS,$92.09
"CELLULOSE, OXIDIZED 2"" X 3"" MISC",$99.92
CEPHALEXIN 125 MG/5 ML ORAL SUSP,$35.60
CEPHALEXIN 250 MG CAP,$6.71
CEPHALEXIN 250 MG CAP,$7.89
CEPHALEXIN 250 MG/5 ML ORAL SUSP,$30.25
CEPHALEXIN 500 MG CAP,$6.89
CEPHALEXIN 500 MG CAP,$8.04
CETIRIZINE 10 MG TAB,$6.85
CETIRIZINE 10 MG TAB,$6.85
CETIRIZINE 5 MG (HALF-TAB),$13.28
CETUXIMAB 100 MG/50 ML IV,"$1,971.50"
CHLORAMBUCIL 1 MG (HALF-TAB),$23.60
CHLORAMBUCIL 2 MG TAB,$33.40
CHLORAMPHENICOL SOD SUCCINATE 1 G IV SOLUTION,$97.59
CHLORDIAZEPOXIDE 10 MG CAP,$15.33
CHLORDIAZEPOXIDE 25 MG CAP,$6.96
CHLORDIAZEPOXIDE 5 MG CAP,$15.45
CHLORDIAZEPOXIDE-CLIDINIUM 5 MG-2.5 MG CAP,$9.16
CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH,$28.98
CHLORIDE (TPN) INJECTION - ROPH,$44.98
CHLORIDE (TPN) INJECTION - ROPH,$52.97
CHLOROPROCAINE 2 % INJECTION,$65.09
CHLOROQUINE 250 MG (HALF-TAB),$20.14
CHLOROQUINE 500 MG TAB,$13.89
CHLOROTHIAZIDE 250 MG TAB,$6.78
CHLOROTHIAZIDE 500 MG TAB,$6.82
CHLORPHENIRAMINE 2 MG (HALF-TAB),$12.82
CHLORPHENIRAMINE 4 MG TAB,$6.64
CHLORPHENIRAMINE SR 12 MG TAB,$6.99
CHLORPHENIRAMINE-HYDROCODONE SR 8 MG-10 MG/5 ML ORAL 12 HR SUSP,$951.54
CHLORPHENIRAMINE-HYDROCODONE SR 8 MG-10 MG/5 ML ORAL 12 HR SUSP,$24.30
CHLORPROMAZINE 10 MG TAB,$7.24
CHLORPROMAZINE 100 MG TAB,$7.27
CHLORPROMAZINE 100 MG TAB,$7.27
CHLORPROMAZINE 200 MG TAB,$7.45
CHLORPROMAZINE 25 MG TAB,$7.03
CHLORPROMAZINE 25 MG/ML INJECTION,$64.18
CHLORPROMAZINE 25 MG/ML INJECTION,$103.85
CHLORPROMAZINE 25 MG/ML INJECTION,$103.83
CHLORPROMAZINE 50 MG TAB,$7.10
CHLORPROMAZINE 50 MG TAB,$7.10
CHLORPROPAMIDE 100 MG TAB,$6.75
CHLORPROPAMIDE 125 MG (HALF-TAB),$13.84
CHLORPROPAMIDE 250 MG TAB,$6.96
CHLORTHALIDONE 12.5 MG (HALF-TAB),$13.10
CHLORTHALIDONE 25 MG TAB,$6.85
CHLORTHALIDONE 50 MG TAB,$6.96
CHLORZOXAZONE 250 MG (HALF-TAB),$13.14
CHLORZOXAZONE 500 MG TAB,$6.89
"CHOLECALCIFEROL (VITAMIN D3) 1,000 UNIT TAB",$6.63
CHOLECALCIFEROL (VITAMIN D3) 400 UNIT TAB,$6.54
CHOLESTYRAMINE-ASPARTAME 4 G PACKET,$8.60
CHOLESTYRAMINE-SUCROSE 4 G PACKET,$11.54
CHOLESTYRAMINE-SUCROSE 4 G PACKET,$8.64
CICLOPIROX 0.77 % TOPICAL GEL,$400.00
CICLOPIROX 1 % SHAMPOO,$519.00
CILOSTAZOL 100 MG TAB,$7.34
CILOSTAZOL 50 MG TAB,$7.04
CIMETIDINE 300 MG TAB,$6.61
CIMETIDINE 300 MG/5 ML ORAL LIQUID,$37.64
CIMETIDINE 400 MG TAB,$7.03
CIMETIDINE 800 MG TAB,$6.85
CINACALCET 30 MG TAB,$45.40
CINACALCET 60 MG TAB,$83.75
CINACALCET 90 MG TAB,$120.86
CIPROFLOXACIN 0.3 % EYE DROPS,$29.96
CIPROFLOXACIN 0.3 % EYE DROPS,$30.21
CIPROFLOXACIN 0.3 % EYE DROPS,$30.98
CIPROFLOXACIN 0.3 % EYE DROPS,$31.33
CIPROFLOXACIN 0.3 % EYE OINTMENT,$219.98
CIPROFLOXACIN 125 MG (HALF-TAB),$13.03
CIPROFLOXACIN 250 MG TAB,$7.10
CIPROFLOXACIN 500 MG TAB,$6.78
CIPROFLOXACIN 500 MG TAB,$7.45
CIPROFLOXACIN 750 MG TAB,$24.24
"CIPROFLOXACIN-DEXAMETHASONE 0.3 %-0.1 % EAR DROPS, SUSP",$328.30
"CIPROFLOXACIN-HYDROCORTISONE 0.2 %-1 % EAR DROPS, SUSP",$315.10
CISATRACURIUM 2 MG/ML IV,$81.99
CISATRACURIUM 2 MG/ML IV,$123.17
CISPLATIN 1 MG/ML IV,$165.74
CITALOPRAM 10 MG TAB,$6.68
CITALOPRAM 20 MG TAB,$6.68
CITALOPRAM 40 MG TAB,$6.78
CITALOPRAM 5 MG (HALF-TAB),$14.64
CLADRIBINE 1 MG/ML IV,"$2,635.85"
CLARITHROMYCIN 125 MG (HALF-TAB),$16.36
CLARITHROMYCIN 125 MG/5 ML ORAL SUSP,$119.62
CLARITHROMYCIN 250 MG TAB,$10.07
CLARITHROMYCIN 250 MG/5 ML ORAL SUSP,$182.19
CLARITHROMYCIN 250 MG/5 ML ORAL SUSP,$114.45
CLARITHROMYCIN 500 MG TAB,$10.07
CLARITHROMYCIN SR 500 MG 24 HR TAB,$26.03
CLEMASTINE 2.68 MG TAB,$6.92
CLINDAMYCIN (10 MG/ML) INTRAVITREAL SOLUTION ,$47.25
CLINDAMYCIN (5 MG/ML) INTRAVITREAL SOLUTION,$66.63
CLINDAMYCIN 1 % TOPICAL SOLN,$156.11
CLINDAMYCIN 1 % TOPICAL SOLN,$30.70
CLINDAMYCIN 12 MG/ML INJECTION (PEDS) (ROPH),$100.95
CLINDAMYCIN 150 MG CAP,$7.48
CLINDAMYCIN 150 MG CAP,$7.27
CLINDAMYCIN 150 MG/ML INJECTION,$56.66
CLINDAMYCIN 150 MG/ML INJECTION,$50.89
CLINDAMYCIN 15MG/ML ORAL SOLUTION (PEDS),$195.75
CLINDAMYCIN 300 MG CAP,$8.64
CLINDAMYCIN 600 MG/4 ML IV,$54.14
CLINDAMYCIN 600 MG/50 ML IV PIGGY BACK (BUNDLED),$128.13
CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION,$195.75
CLINDAMYCIN 900 MG/50 ML IV PIGGYBACK (BUNDLED),$128.13
CLINDAMYCIN IN D5W 300 MG/50 ML IV PIGGY BACK,$128.13
CLIOQUINOL-HYDROCORTISONE 3 %-0.5 % TOPICAL CREAM,$110.03
CLOBAZAM 10 MG TAB,$61.53
CLOBAZAM 2.5 MG (QUARTER-TAB),$61.53
CLOBAZAM 5 MG (HALF-TAB),$61.53
CLOBETASOL 0.05 % OINTMENT,$31.36
CLOBETASOL 0.05 % OINTMENT,$38.19
CLOBETASOL 0.05 % OINTMENT,$169.71
CLOBETASOL 0.05 % TOPICAL CREAM,$125.14
CLOBETASOL 0.05 % TOPICAL CREAM,$206.56
CLOBETASOL-EMOLIENT 0.05 % TOPICAL CREAM,$197.02
CLOMIPRAMINE 50 MG CAP,$6.85
CLOMIPRAMINE 75 MG CAP,$35.45
CLONAZEPAM 0.125 MG (QUARTER-TAB),$12.89
CLONAZEPAM 0.25 MG (HALF-TAB),$12.89
CLONAZEPAM 0.5 MG TAB,$6.64
CLONAZEPAM 0.5 MG TAB,$6.57
"CLONAZEPAM 0.5 MG TAB, RAPID DISSOLVE",$8.22
CLONAZEPAM 2 MG TAB,$15.12
"CLONIDINE (PF) 1,000 MCG/10 ML EPIDURAL",$129.80
CLONIDINE 0.05 MG (HALF-TAB),$12.86
CLONIDINE 0.1 MG TAB,$6.64
CLONIDINE 0.1 MG TAB,$6.64
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,$67.76
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,$106.37
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,$58.30
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERM PATCH,$67.76
CLONIDINE 0.2 MG TAB,$7.13
CLONIDINE 0.2 MG TAB,$6.71
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERM PATCH,$91.31
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERM PATCH,$150.93
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERM PATCH,$78.68
CLONIDINE 0.3 MG TAB,$6.75
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,$189.45
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,$117.98
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,$144.17
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERM PATCH,$146.23
CLOPIDOGREL 300 MG TAB,$69.98
CLOPIDOGREL 300 MG TAB,$54.82
CLOPIDOGREL 37.5 MG (HALF-TAB),$30.38
CLOPIDOGREL 75 MG TAB,$26.38
CLOPIDOGREL 75 MG TAB,$7.41
CLOPIDOGREL 75 MG TAB,$6.89
CLORAZEPATE DIPOTASSIUM 15 MG TAB,$8.74
CLORAZEPATE DIPOTASSIUM 3.75 MG TAB,$15.12
CLORAZEPATE DIPOTASSIUM 7.5 MG TAB,$15.12
CLORAZEPATE DIPOTASSIUM 7.5 MG TAB,$15.39
CLOSTRIDIUM BOTULINUM TOXIN TY 100 UNIT IM,"$2,168.75"
CLOTRIMAZOLE 1 % TOPICAL CREAM,$25.31
CLOTRIMAZOLE 1 % TOPICAL CREAM,$85.96
CLOTRIMAZOLE 1 % TOPICAL CREAM,$24.50
CLOTRIMAZOLE 1 % TOPICAL CREAM,$74.80
CLOTRIMAZOLE 1 % TOPICAL SOLN,$59.28
CLOTRIMAZOLE 1 % VAGINAL CREAM,$23.90
CLOTRIMAZOLE 1 % VAGINAL CREAM,$37.80
CLOTRIMAZOLE 10 MG TROCHE,$9.37
CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % LOTION,$39.62
CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM,$27.90
CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM,$71.03
CLOZAPINE 100 MG TAB,$28.63
CLOZAPINE 100 MG TAB,$28.63
CLOZAPINE 100 MG TAB,$9.41
CLOZAPINE 100 MG TAB,$28.63
CLOZAPINE 12.5 MG (HALF-TAB),$20.87
CLOZAPINE 25 MG TAB,$15.29
CLOZAPINE 50 MG TAB,$8.95
COCAINE 4 % TOPICAL SOLN,$97.74
CODEINE 15 MG (HALF-TAB),$15.96
CODEINE 30 MG TAB,$15.96
CODEINE 60 MG TAB,$16.32
COLCHICINE 0.3 MG (HALF-TAB),$27.30
COLCHICINE 0.6 MG TAB,$22.74
COLCHICINE 0.6 MG TAB,$34.18
COLESTIPOL 1 G TAB,$8.71
COLESTIPOL 5 G ORAL PACKET,$14.59
COLISTIMETHATE SODIUM 150 MG SOLUTION FOR INJECTION,$81.38
COLISTIMETHATE SODIUM 150 MG SOLUTION FOR INJECTION,$100.94
COLISTIMETHATE SODIUM 150 MG SOLUTION FOR INJECTION,$83.88
COLLAGENASE 250 UNIT/G OINTMENT,$216.82
COLLODION LIQUID,"$3,204.00"
CONJUGATED ESTROGENS 0.3 MG TAB,$11.40
CONJUGATED ESTROGENS 0.45 MG (HALF-TAB),$17.41
CONJUGATED ESTROGENS 0.45 MG TAB,$12.63
CONJUGATED ESTROGENS 0.625 MG TAB,$12.63
CONJUGATED ESTROGENS 0.625 MG/G VAGINAL CREAM,$436.88
CONJUGATED ESTROGENS 0.9 MG TAB,$12.63
CONJUGATED ESTROGENS 1.25 MG TAB,$11.16
CONJUGATED ESTROGENS 25 MG SOLUTION FOR INJECTION,$298.40
CORTICORELIN OVINE TRIFLUTATE 100 MCG IV SOLUTION,"$2,059.52"
CORTISONE 12.5 MG (HALF-TAB),$13.56
CORTISONE 25 MG TAB,$7.31
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,$225.19
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,$207.29
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,$207.29
CUSTOM TOPICAL COMPOUND,$75.00
"CYANOCOBALAMIN 1,000 MCG TAB",$6.57
"CYANOCOBALAMIN 1,000 MCG/ML INJECTION",$45.59
"CYANOCOBALAMIN 1,000 MCG/ML INJECTION",$89.59
CYANOCOBALAMIN 100 MCG TAB,$6.54
CYANOCOBALAMIN 50 MCG (HALF-TAB),$12.79
CYANOCOBALAMIN 500 MCG (HALF-TAB),$12.82
CYANOCOBALAMIN 500 MCG TAB,$6.54
CYCLOBENZAPRINE 10 MG TAB,$6.68
CYCLOBENZAPRINE 10 MG TAB,$6.68
CYCLOBENZAPRINE 5 MG TAB,$6.68
CYCLOPENTOLATE 1 % EYE DROPS,$24.54
CYCLOPENTOLATE 1 % EYE DROPS,$49.91
CYCLOPENTOLATE 1 % EYE DROPS,$31.36
CYCLOPENTOLATE 1 % EYE DROPS,$61.34
CYCLOPENTOLATE 2 % EYE DROPS,$28.95
CYCLOPENTOLATE 2 % EYE DROPS,$77.46
CYCLOPHOSPHAMIDE 1 G IV SOLUTION,$379.95
CYCLOPHOSPHAMIDE 1 G IV SOLUTION,$315.95
CYCLOPHOSPHAMIDE 500 MG IV SOLUTION,$226.07
CYCLOSPORINE (SANDIMMUNE) 100 MG/ML ORAL SOLN,$533.25
CYCLOSPORINE 0.05 % EYE DROPPERETTE,$16.93
CYCLOSPORINE MODIFIED (NEORAL) 100 MG/ML ORAL SOLN,"$1,130.38"
CYCLOSPORINE MODIFIED 25 MG CAP,$9.02
CYCLOSPORINE MODIFIED 25 MG CAP,$10.07
CYCLOSPORINE MODIFIED 25 MG CAP,$9.02
CYPROHEPTADINE 4 MG TAB,$6.92
CYSLOSPORINE (SANDIMMUNE) 100 MG CAP,$17.35
CYSLOSPORINE (SANDIMMUNE) 100 MG CAP,$17.35
CYTARABINE 100 MG/ML INJECTION,$151.42
D5-1/2 NS & POTASSIUM CHLORIDE 20 MEQ/L IV,$128.13
D5-1/4 NS & POTASSIUM CHLORIDE 20 MEQ/L IV,$71.75
D5-NS WITH POTASSIUM CHLORIDE 20 MEQ/L IV,$71.75
D5W WITH POTASSIUM CHLORIDE 20 MEQ/L IV,$71.75
DABIGATRAN ETEXILATE 150 MG CAP,$15.32
DABIGATRAN ETEXILATE 75 MG CAP,$15.32
DABIGATRAN ETEXILATE 75 MG CAP,$22.78
"DALTEPARIN (PORCINE) 10,000 ANTI-XA UNIT/ML SUB-Q SYRINGE",$148.52
"DALTEPARIN (PORCINE) 12,500 UNIT/0.5 ML SUB-Q SYRINGE",$159.55
