,, We are provider based - so you may be charged column C or column D & E ,,
3612306,PROSTHESIS HIP FEMORAL STEM TPRLC 133 FP TYPE 1 HO 6MM, $-   , $-   ,"$7,892.00 "
3612307,PROSTHESIS HIP FEMORAL STEM TPRLC 133 FP TYPE 1 HO 7MM, $-   , $-   ,"$7,892.00 "
3612308,PROSTHESIS HIP ACTIVE ARTICULATION 28 X 56MM, $-   , $-   ,"$2,737.00 "
3612309,PROSTHESIS HIP ACTIVE ARTICULATION 28 X 58MM, $-   , $-   ,"$2,737.00 "
3612310,PROSTHESIS HIP ACTIVE ARTICULATION 28 X 60MM, $-   , $-   ,"$2,737.00 "
3612311,HEAD MODULAR CO-CR-MO 28mm +12 NECK, $-   , $-   ,$969.00 
3612312,HEAD MODULAR CO-CR-MO 28mm +6 NECK, $-   , $-   ,$969.00 
3612313,SHELL ACETABULAR G7 OSSEO 48MM C, $-   , $-   ,"$6,820.00 "
3612314,SHELL ACETABULAR G7 OSSEO 50MM D, $-   , $-   ,"$6,820.00 "
3612315,SHELL ACETABULAR G7 OSSEO 60MM G, $-   , $-   ,"$6,820.00 "
3612316,SHELL ACETABULAR G7 OSSEO 62MM H, $-   , $-   ,"$6,820.00 "
3612317,SHELL ACETABULAR G7 OSSEO 64MM H, $-   , $-   ,"$6,820.00 "
3612318,SHELL ACETABULAR G7 OSSEO 4 HOLE 60MM G, $-   , $-   ,"$5,647.00 "
3612319,SHELL ACETABULAR G7 OSSEO 4 HOLE 64MM H, $-   , $-   ,"$5,647.00 "
3612320,LINER ACETABULAR G7 NEUTRAL 32MM A, $-   , $-   ,"$4,018.00 "
3612321,LINER ACETABULAR G7 NEUTRAL 36MM B, $-   , $-   ,"$4,018.00 "
3612323,HEAD MODULAR CO-CR-MO 28mm STANDARD NECK, $-   , $-   ,$969.00 
3612324,HEAD MODULAR CO-CR 22.2MM STANDARD NECK, $-   , $-   ,$969.00 
3612325,HEAD MODULAR CO-CR 22.2MM -5 NECK, $-   , $-   ,$969.00 
3612326,HEAD MODULAR CO-CR 22.2MM -3 NECK, $-   , $-   ,$969.00 
3612327,SCREW COMPRESSION LOW PROFILE 6.5 X 45 X 15 THREAD, $-   , $-   ,$756.00 
3612328,DRILL BIT CANNULATED QC 6.5MM, $-   , $-   ,$504.00 
3612329,GUIDEWIRE 2.8MM ORTHOFIX, $-   , $-   ,$140.00 
3612330,SCREW COMPRESSION LOW PROFILE 6.5 X 55 X 30 THREAD, $-   , $-   ,$756.00 
3612331,PROSTHESIS HIP ACTIVE ARTICULATION E1 22 X 32MM, $-   , $-   ,"$5,940.00 "
3612332,PROSTHESIS HIP ACTIVE ARTICULATION E1 22 X 36MM, $-   , $-   ,"$5,940.00 "
3612333,PROSTHESIS TAPERLOC 133 FULL PROFILE TYPE 1 PPS SO 5, $-   , $-   ,"$7,892.00 "
3612334,PROSTHESIS TAPERLOC 133 FULL PROFILE TYPE 1 PPS SO 6, $-   , $-   ,"$7,892.00 "
3612335,PROSTHESIS TAPERLOC 133 FULL PROFILE TYPE 1 PPS SO 7, $-   , $-   ,"$7,892.00 "
3612336,SPEEDTRAP GRAFT PREPARATION SYSTEM WHITE 30MM, $-   , $-   ,$250.00 
3612337,PLATE TIBIA DISTAL MEDIAL 12 HOLE X 201MM RIGHT, $-   , $-   ,"$3,848.00 "
3612338,SCREW CORTICAL SELF TAPPING TI 3.5 X 30MM, $-   , $-   ,$118.00 
3612339,SCREW CORTICAL SELF TAPPING TI 3.5 X 34MM, $-   , $-   ,$118.00 
3612340,SCREW CORTICAL SELF TAPPING TI 3.5 X 40MM, $-   , $-   ,$118.00 
3612341,SCREW LOCKING SELF TAPPING 4.0 X 28MM, $-   , $-   ,$380.00 
3612342,SCREW LOCKING SELF TAPPING 4.0 X 30MM, $-   , $-   ,$515.00 
3612343,SCREW LOCKING SELF TAPPING 4.0 X 32MM, $-   , $-   ,$380.00 
3612344,SCREW LOCKING SELF TAPPING 4.0 X 40MM, $-   , $-   ,$380.00 
3612345,SCREW LOCKING SELF TAPPING 4.0 X 50MM, $-   , $-   ,$380.00 
3612346,SCREW LOCKING SELF TAPPING 4.0 X 55MM, $-   , $-   ,$380.00 
3612347,ANCHOR SWIVELOCK DX PEEK 3.5 X 13.5MM, $-   , $-   ,$765.00 
3612348,DRILL TWIST AO FIT 3.5 X 195MM, $-   , $-   ,$391.00 
3612349,IOL TECNIS 1-PIECE ZCB00 5.5, $-   , $-   ,$350.00 
3612350,STEM HUMERAL REUNION TSA LONG 8 X 200MM, $-   , $-   ,"$6,188.00 "
3612351,CEMENT RESTRICTOR REVISION UNIVERSAL, $-   , $-   ,$464.00 
3612352,HUMERAL CUP REUNION RSA 32 X 10MM, $-   , $-   ,"$2,475.00 "
3612353,HUMERAL INSERT REUNION RSA 32 X 8MM, $-   , $-   ,"$2,475.00 "
3612354,IOL IMPLANT TORIC SN6AT3 13.0, $-   , $-   ,$891.00 
3612355,IOL TECNIS 1-PIECE ZCB00 11.0, $-   , $-   ,$350.00 
3612356,SCREW PERIPHERAL REUNION RSA 4.5 X 36MM, $-   , $-   ,$315.00 
3612357,SCREW PERIPHERAL REUNION RSA 4.5 X 40MM, $-   , $-   ,$315.00 
3612358,IOL SENSAR FOLDABLE AR40e 10.0, $-   , $-   ,$313.00 
3612359,PLATE FIBULA LATERAL LEFT 101MM, $-   , $-   ,"$2,056.00 "
3612360,PROSTHESIS FEMORAL COMPONENT SIZE 1 LEFT, $-   , $-   ,"$3,589.00 "
3612361,PROSTHESIS FEMORAL COMPONENT SIZE 1 RIGHT, $-   , $-   ,"$3,589.00 "
3612362,PROSTHESIS FEMORAL COMPONENT SIZE 7 RIGHT, $-   , $-   ,"$3,589.00 "
3612363,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 RIGHT 12MM, $-   , $-   ,"$1,502.00 "
3612364,PROSTHESIS TIBIAL INSERT FLEX SIZE 3 RIGHT 11MM, $-   , $-   ,"$1,502.00 "
3612365,PROSTHESIS TIBIAL INSERT FLEX SIZE 3 LEFT 13MM, $-   , $-   ,"$1,502.00 "
3612366,PROSTHESIS TIBIAL INSERT FLEX SIZE 3 RIGHT 17MM, $-   , $-   ,"$1,502.00 "
3612367,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 LEFT 11MM, $-   , $-   ,"$1,502.00 "
3612368,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 RIGHT 12MM, $-   , $-   ,"$1,502.00 "
3612369,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 RIGHT 17MM, $-   , $-   ,"$1,502.00 "
3612370,PROSTHESIS TIBIAL INSERT FLEX SIZE 5 RIGHT 11MM, $-   , $-   ,"$1,502.00 "
3612371,PROSTHESIS TIBIAL INSERT FLEX SIZE 5 LEFT 12MM, $-   , $-   ,"$1,502.00 "
3612372,PROSTHESIS TIBIAL INSERT FLEX SIZE 5 RIGHT 14MM, $-   , $-   ,"$1,502.00 "
3612373,PROSTHESIS TIBIAL INSERT FLEX SIZE 5 RIGHT 17MM, $-   , $-   ,"$1,502.00 "
3612374,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 RIGHT 12MM, $-   , $-   ,"$1,502.00 "
3612375,PROSTHESIS FEMORAL COMPONENT SIZE 6 PLUS RIGHT, $-   , $-   ,"$3,589.00 "
3612376,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 LEFT 10MM, $-   , $-   ,"$1,502.00 "
3612377,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 RIGHT 10MM, $-   , $-   ,"$1,502.00 "
3612378,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 LEFT 11MM, $-   , $-   ,"$1,502.00 "
3612379,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 RIGHT 11MM, $-   , $-   ,"$1,502.00 "
3612380,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 LEFT 13MM, $-   , $-   ,"$1,502.00 "
3612381,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 RIGHT 13MM, $-   , $-   ,"$1,502.00 "
3612382,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 LEFT 14MM, $-   , $-   ,"$1,502.00 "
3612383,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 RIGHT 14MM, $-   , $-   ,"$1,502.00 "
3612384,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 LEFT 17MM, $-   , $-   ,"$1,502.00 "
3612385,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 RIGHT 17MM, $-   , $-   ,"$1,502.00 "
3612386,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 LEFT 20MM, $-   , $-   ,"$1,502.00 "
3612387,PROSTHESIS TIBIAL INSERT FLEX SIZE 1 RIGHT 20MM, $-   , $-   ,"$1,502.00 "
3612388,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 LEFT 13MM, $-   , $-   ,"$1,502.00 "
3612389,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 RIGHT 13MM, $-   , $-   ,"$1,502.00 "
3612390,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 LEFT 14MM, $-   , $-   ,"$1,502.00 "
3612391,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 RIGHT 14MM, $-   , $-   ,"$1,502.00 "
3612392,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 LEFT 17MM, $-   , $-   ,"$1,502.00 "
3612393,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 RIGHT 17MM, $-   , $-   ,"$1,502.00 "
3612394,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 LEFT 20MM, $-   , $-   ,"$1,502.00 "
3612395,PROSTHESIS TIBIAL INSERT FLEX SIZE 2 RIGHT 20MM, $-   , $-   ,"$1,502.00 "
3612396,PROSTHESIS TIBIAL INSERT FLEX SIZE 3 LEFT 14MM, $-   , $-   ,"$1,502.00 "
3612397,PROSTHESIS TIBIAL INSERT FLEX SIZE 3 RIGHT 14MM, $-   , $-   ,"$1,502.00 "
3612398,PROSTHESIS TIBIAL INSERT FLEX SIZE 3 LEFT 20MM, $-   , $-   ,"$1,502.00 "
3612399,PROSTHESIS TIBIAL INSERT FLEX SIZE 3 RIGHT 20MM, $-   , $-   ,"$1,502.00 "
3612400,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 LEFT 13MM, $-   , $-   ,"$1,502.00 "
3612401,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 RIGHT 13MM, $-   , $-   ,"$1,502.00 "
3612402,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 LEFT 14MM, $-   , $-   ,"$1,502.00 "
3612403,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 RIGHT 14MM, $-   , $-   ,"$1,502.00 "
3612404,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 LEFT 20MM, $-   , $-   ,"$1,502.00 "
3612405,PROSTHESIS TIBIAL INSERT FLEX SIZE 4 RIGHT 20MM, $-   , $-   ,"$1,502.00 "
3612406,PROSTHESIS TIBIAL INSERT FLEX SIZE 5 LEFT 13MM, $-   , $-   ,"$1,502.00 "
3612407,PROSTHESIS TIBIAL INSERT FLEX SIZE 5 RIGHT 13MM, $-   , $-   ,"$1,502.00 "
3612408,PROSTHESIS TIBIAL INSERT FLEX SIZE 5 LEFT 20MM, $-   , $-   ,"$1,502.00 "
3612409,PROSTHESIS TIBIAL INSERT FLEX SIZE 5 RIGHT 20MM, $-   , $-   ,"$1,502.00 "
3612410,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 LEFT 11MM, $-   , $-   ,"$1,502.00 "
3612411,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 RIGHT 11MM, $-   , $-   ,"$1,502.00 "
3612412,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 LEFT 13MM, $-   , $-   ,"$1,502.00 "
3612413,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 RIGHT 13MM, $-   , $-   ,"$1,502.00 "
3612414,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 LEFT 14MM, $-   , $-   ,"$1,502.00 "
3612415,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 RIGHT 14MM, $-   , $-   ,"$1,502.00 "
3612416,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 LEFT 17MM, $-   , $-   ,"$1,502.00 "
3612417,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 RIGHT 17MM, $-   , $-   ,"$1,502.00 "
3612418,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 LEFT 20MM, $-   , $-   ,"$1,502.00 "
3612419,PROSTHESIS TIBIAL INSERT FLEX SIZE 6 RIGHT 20MM, $-   , $-   ,"$1,502.00 "
3612422,IOL CONVEXOPLANO ANTERIOR MTA4U0 9.0, $-   , $-   ,$250.00 
3612475,SCREW CENTER REUNION RSA 6.5 X 32MM, $-   , $-   ,$315.00 
3612476,HUMERAL CUP REUNION RSA 36 X 4MM, $-   , $-   ,"$2,475.00 "
3612477,HUMERAL CUP REUNION RSA 36 X 10MM, $-   , $-   ,"$2,475.00 "
3612478,HUMERAL CUP REUNION RSA 40 X 4MM, $-   , $-   ,"$2,475.00 "
3612479,HUMERAL CUP REUNION RSA 40 X 10MM, $-   , $-   ,"$2,475.00 "
3612480,HUMERAL INSERT REUNION RSA 32 X 4MM, $-   , $-   ,"$2,475.00 "
3612481,SCREW CENTER REUNION RSA 6.5 X 40MM, $-   , $-   ,$315.00 
3612482,SCREW CENTER REUNION RSA 6.5 X 44MM, $-   , $-   ,$315.00 
3612483,STEM HUMERAL REUNION TSA 13 X 128MM, $-   , $-   ,"$6,188.00 "
3612484,STEM HUMERAL REUNION TSA 14 X 133MM, $-   , $-   ,"$6,188.00 "
3612485,STEM HUMERAL REUNION TSA 8 X 118MM, $-   , $-   ,"$6,188.00 "
3612486,STEM HUMERAL REUNION TSA 9 X 118MM, $-   , $-   ,"$6,188.00 "
3612487,STEM HUMERAL REUNION TSA 10 X 123MM, $-   , $-   ,"$6,188.00 "
3612488,HUMERAL INSERT REUNION RSA 36 X 6MM, $-   , $-   ,"$2,475.00 "
3612489,HUMERAL INSERT REUNION RSA 36 X 8MM, $-   , $-   ,"$2,475.00 "
3612490,HUMERAL INSERT REUNION RSA 36 X 10MM, $-   , $-   ,"$2,475.00 "
3612491,HUMERAL INSERT REUNION RSA 36 X 12MM, $-   , $-   ,"$2,475.00 "
3612492,GLENOSPHERE CONCENTRIC REUNION RSA 32 X 6MM, $-   , $-   ,"$2,475.00 "
3612493,GLENOSPHERE CONCENTRIC REUNION RSA 36 X 2MM, $-   , $-   ,"$2,475.00 "
3612494,GLENOSPHERE CONCENTRIC REUNION RSA 35 X 6MM, $-   , $-   ,"$2,475.00 "
3612495,GLENOSPHERE CONCENTRIC REUNION RSA 40 X 2MM, $-   , $-   ,"$2,475.00 "
3612496,GLENOSPHERE CONCENTRIC REUNION RSA 40 X 6MM, $-   , $-   ,"$2,475.00 "
3612497,STEM HUMERAL REUNION TSA LONG 6MM, $-   , $-   ,"$6,188.00 "
3612498,STEM HUMERAL REUNION TSA LONG 10MM, $-   , $-   ,"$6,188.00 "
3612499,STEM HUMERAL REUNION TSA LONG 12MM, $-   , $-   ,"$6,188.00 "
3612500,STEM HUMERAL REUNION TSA 7MM, $-   , $-   ,"$6,188.00 "
3612501,STEM HUMERAL REUNION TSA 15MM, $-   , $-   ,"$6,188.00 "
3612502,STEM HUMERAL REUNION TSA 16MM, $-   , $-   ,"$6,188.00 "
3612503,STEM HUMERAL REUNION TSA 17MM, $-   , $-   ,"$6,188.00 "
3612504,MENISCAL REPAIR TRUESPAN 12 DG PEEK, $-   , $-   ,$772.00 
3612505,MENISCAL REPAIR TRUESPAN 24 DG PEEK, $-   , $-   ,$772.00 
3612506,SCREW BIOCOMPOSITE INTERFERENCE 7 X 23MM, $-   , $-   ,$423.00 
3612507,REAMER LOW PROFILE KNEE 7MM, $-   , $-   ,$488.00 
3612508,"FIBERLOOP 2-0 BLUE 24"" W/ DIAMOND NEEDLE 26.2MM", $-   , $-   ,$125.00 
3612509,NAIL TIBIAL 9 X 345MM, $-   , $-   ,"$3,321.00 "
3612510,PROSTHESIS HIP BIOLOX MOD CERAMIC HEAD 28MM STD NK, $-   , $-   ,"$3,503.00 "
3612511,PROSTHESIS HIP FEMORAL STEM HIGH 20 X 160MM, $-   , $-   ,"$7,892.00 "
3612512,PROSTHESIS HIP FEMORAL STEM HIGH 24 X 167MM, $-   , $-   ,"$7,892.00 "
3612513,PROSTHESIS HIP FEMORAL STEM HIGH 22 X 164MM, $-   , $-   ,"$7,892.00 "
3612514,PROSTHESIS HIP FEMORAL STEM 24 X 167MM, $-   , $-   ,"$7,892.00 "
3612515,PROSTHESIS HIP FEMORAL STEM 20 X 167MM, $-   , $-   ,"$7,892.00 "
3612516,IOL IMPLANT TORIC SN6AT3 15.5, $-   , $-   ,$891.00 
3612517,IOL CONVEXOPLANO ANTERIOR MTA4U0 13.0, $-   , $-   ,$250.00 
3612518,"FIBERTAPE 2MM 7"" BLUE COLLAGEN COATED", $-   , $-   ,$188.00 
3612520,SCREW BONE LOCKING LONG 5.0 X 38MM, $-   , $-   ,$374.00 
3612530,"DRILL BIT 1/8""", $-   , $-   ,$250.00 
3612533,STEM HUMERAL REVERSE PS 16 X 108MM, $-   , $-   ,"$8,652.00 "
3612536,MENISCAL REPAIR TRUESPAN 0 DG PEEK, $-   , $-   ,$772.00 
3612537,KIT TRANSTIBIAL ACL W/OUT SAW BLADE KNEE, $-   , $-   ,$363.00 
3612538,IOL TECNIS 1-PIECE ZCB00 12.0, $-   , $-   ,$350.00 
3612539,IOL SENSAR FOLDABLE AR40e 11.5, $-   , $-   ,$313.00 
3612540,PLATE VOLAR DISTAL RADIUS STND RIGHT 3 HOLE, $-   , $-   ,"$1,312.00 "
3612541,DRILL BIT 1.7MM SHORT GRADUATED, $-   , $-   ,$198.00 
3612542,SCREW LOW PROFILE CORTICAL DRP 3.5 X 16MM, $-   , $-   ,$150.00 
3612543,SCREW CANCELLOUS LOW PROFILE NON-LOCKING 3.0 X 18MM, $-   , $-   ,$123.00 
3612544,BB-TAK NON-THREADED DISP, $-   , $-   ,$125.00 
3612545,NAIL INSERTION SLEEVE ELASTIC SPI08-11, $-   , $-   ,$392.00 
3612546,K-WIRE FIXATION SPI03 X 285MM WCH COATED, $-   , $-   ,$373.00 
3612547,NAIL TIBIAL T2 10 X 345MM, $-   , $-   ,"$4,159.00 "
3612548,PLATE FIBULA DISTAL LATERAL 4 HOLE 89MM VARIAX, $-   , $-   ,"$1,697.00 "
3612549,SCREW CANNULATED ASNIS III TI 4.0 X 46MM, $-   , $-   ,$523.00 
3612550,SCREW CANNULATED ASNIS III TI 4.0 X 50MM, $-   , $-   ,$523.00 
3612551,SCREW LOCKING VARIAX T10 FT 3.5 X 14MM, $-   , $-   ,$425.00 
3612552,SCREW LOCKING VARIAX T10 FT 3.5 X 16MM, $-   , $-   ,$533.00 
3612553,SCREW BONE NON-LOCKING VARIAX T10 FT 3.5 X 14MM, $-   , $-   ,$320.00 
3612554,SCREW BONE NON-LOCKING VARIAX T10 FT 3.5 X 16MM, $-   , $-   ,$403.00 
3612555,SCREW BONE NON-LOCKING VARIAX T10 FT 3.5 X 20MM, $-   , $-   ,$403.00 
3612556,DRILL TWIST CANNULATED AO COUPLING 2.7MM, $-   , $-   ,$855.00 
3612557,GUIDEWIRE THREADED ASNIS III 1.4 X 150MM, $-   , $-   ,$221.00 
3612558,DRILL BIT AO 2.6 X 135MM SCALED, $-   , $-   ,$463.00 
3612559,OVERDRILL AO 3.5 X 122MM, $-   , $-   ,$473.00 
3612560,IOL CONVEXOPLANO ANTERIOR MTA4U0 10.0, $-   , $-   ,$250.00 
3612561,TEMPLATE SIZING SET LCP DISTAL RADIAL XL STERILE, $-   , $-   ,$660.00 
3612562,PLATE LCP DISTAL RADIAL 2.4/2.7MM X 6 HOLE RIGHT STERILE, $-   , $-   ,"$4,940.00 "
3612563,SCREW LOCKING VA W/ STARDRIVE 2.4 X 12MM, $-   , $-   ,$416.00 
3612564,SCREW LOCKING VA W/ STARDRIVE 2.4 X 18MM, $-   , $-   ,$416.00 
3612565,SCREW LOCKING VA W/ STARDRIVE 2.4 X 20MM, $-   , $-   ,$416.00 
3612566,SCREW CHARLOTTE MUC 3.0 X 20MM, $-   , $-   ,$488.00 
3612567,SCREW CHARLOTTE MUC 3.0 X 30MM, $-   , $-   ,$488.00 
3612568,SCREW CHARLOTTE MUC 3.0 X 34MM, $-   , $-   ,$488.00 
3612569,SCREW CHARLOTTE MUC SHORT 4.3 X 48MM, $-   , $-   ,$587.00 
3612570,SCREW CHARLOTTE MUC SHORT 4.3 X 50MM, $-   , $-   ,$587.00 
3612571,TROCAR WIRE SINGLE 1.0 X 150MM, $-   , $-   ,$95.00 
3612572,DRILL BIT CANNULATED 3.0MM, $-   , $-   ,$313.00 
3612573,DRILL BIT CANNULATED 2.0MM, $-   , $-   ,$313.00 
3612574,SUTURE ANCHOR GRAVITY 3.5MM 0, $-   , $-   ,$641.00 
3612575,CORKSCREW BIOCOMPOSITE FT W/SUTURE TAPE 4.75MM, $-   , $-   ,$639.00 
3612576,IOL TECNIS SYMFONY ZXR00 20.5, $-   , $-   ,"$1,477.00 "
3612577,MEDPOR TITAN 3D MTB RIGHT SMALL, $-   , $-   ,"$3,935.00 "
3612578,SCREW BONE CROSS PIN SD 1.7 X 5MM, $-   , $-   ,$155.00 
3612579,MEDPOR TITAN 3D MTB RIGHT LARGE, $-   , $-   ,"$3,935.00 "
3612580,PLATE VOLAR DISTAL RADIUS STND LEFT 5 HOLE, $-   , $-   ,"$1,312.00 "
3612581,SCREW LOW PROFILE CORTICAL DRP 3.5 X 14MM, $-   , $-   ,$150.00 
3612582,IOL TECNIS SYMFONY ZXR00 20.0, $-   , $-   ,"$1,477.00 "
3612583,IMPLANT BREAST SMOOTH ROUND ULTRA HIGH PROFILE 455 CC,"$1,658.00 ", $-   , $-   
3612585,IOL TECNIS 1-PIECE ZCB00 14.0, $-   , $-   ,$350.00 
3612586,SCREW CANNULATED INTERFERENCE 9 X 23MM, $-   , $-   ,$423.00 
3612587,SCREW PARTIALLY THREADED 6.5MM X 20MM X 100MM, $-   , $-   ,$815.00 
3612589,SCREW PARTIALLY THREADED 6.5MM X 20MM x 95MM, $-   , $-   ,$815.00 
3612590,DRILL CANNULATED 4.9MM AO FITTING, $-   , $-   ,"$1,394.00 "
3612591,WIRE GUIDE THREADED 3.2 X 300MM, $-   , $-   ,$209.00 
3612592,REAMER LOW PROFILE KNEE 10MM STERILE, $-   , $-   ,$488.00 
3612593,PLATE DVR CROSSLOCK MEDIUM RIGHT, $-   , $-   ,"$2,099.00 "
3612594,PEG SMOOTH LOCKING 2.2 X 18MM, $-   , $-   ,$380.00 
3612595,PEG SMOOTH LOCKING 2.2 X 20MM, $-   , $-   ,$380.00 
3612596,PEG SMOOTH LOCKING 2.2 X 22MM, $-   , $-   ,$380.00 
3612597,SCREW LOCKING TI SELF TAPPING 3.5 X 10MM, $-   , $-   ,$499.00 
3612598,SCREW LOCKING TI SELF TAPPING 3.5 X 18MM, $-   , $-   ,$499.00 
3612599,PLATE SUPERIOR LATERAL 5 HOLE RIGHT, $-   , $-   ,"$3,099.00 "
3612600,K-WIRE 2.0MM WITH STOP CLAVICLE, $-   , $-   ,$387.00 
3612601,PLATE TIBIA DISTAL MEDIAL 14 HOLE X 227MM LEFT, $-   , $-   ,"$4,736.00 "
3612602,SCREW LOCKING SELF TAPPING 4.0 X 20MM, $-   , $-   ,$464.00 
3612603,SCREW LOCKING SELF TAPPING 4.0 X 26MM, $-   , $-   ,$380.00 
3612604,SCREW LOCKING SELF TAPPING 4.0 X 44MM, $-   , $-   ,$380.00 
3612605,SCREW LOCKING SELF TAPPING 4.0 X 46MM, $-   , $-   ,$380.00 
3612606,SCREW CORTICAL SELF TAPPING TI 3.5 X 28MM, $-   , $-   ,$135.00 
3612607,SCREW CORTICAL SELF TAPPING TI 3.5 X 36MM, $-   , $-   ,$135.00 
3612608,PLATE DVR CROSSLOCK MEDIUM LEFT, $-   , $-   ,"$2,099.00 "
3612609,PEG SMOOTH LOCKING 2.2 X 16MM, $-   , $-   ,$380.00 
3612610,PEG SMOOTH LOCKING 2.2 X 24MM, $-   , $-   ,$380.00 
3612611,IOL TECNIS SYMFONY ZXT150 20.0, $-   , $-   ,"$1,477.00 "
3612612,DRILL AO 2.0 X 122MM - FOR 3.5MM SCREWS, $-   , $-   ,$443.00 
3612613,WAND COBLATION WEREWOLF FLOW 50, $-   , $-   ,$423.00 
3612614,PROSTHESIS HIP ACETABULAR SHELL 52MM E, $-   , $-   ,"$2,269.00 "
3612615,IOL TECNIS 1-PIECE ZCB00 13.0, $-   , $-   ,$350.00 
3612616,IOL IMPLANT TORIC SN6AT3 17.5, $-   , $-   ,$891.00 
3612617,PLATE  VA LCP ANTEROLATERAL DISTAL TIBIA 2.7/3.5MM X 10 HOLE, $-   , $-   ,"$4,836.00 "
3612618,SCREW METAPHYSEAL 2.7 X 38MM, $-   , $-   ,$195.00 
3612619,SCREW METAPHYSEAL 2.7 X 44MM, $-   , $-   ,$195.00 
3612620,SCREW METAPHYSEAL 2.7 X 60MM, $-   , $-   ,$195.00 
3612621,SCREW LOCKING VA SELF TAPPING 3.5 X 26MM, $-   , $-   ,$461.00 
3612622,SCREW LOCKING VA SELF TAPPING 3.5 X 32MM, $-   , $-   ,$461.00 
3612623,KIT SWIVELOCK ANCHOR DX 3.5 X 13.5MM, $-   , $-   ,$495.00 
3612624,PLATE CLAVICLE DISTAL THIRD RIGHT SS 10 HOLE, $-   , $-   ,$908.00 
3612625,SCREW LOCKING LOW PROFILE SS 2.7 X 14MM, $-   , $-   ,$288.00 
3612626,SCREW LOW PROFILE CORTICAL 3.5 X 13MM, $-   , $-   ,$150.00 
3612627,SCREW LOW PROFILE CORTICAL 3.5 X 18MM, $-   , $-   ,$150.00 
3612628,HYDROSET INJ HA BONE SUBSTITUTE CEMENT 5CC, $-   , $-   ,"$3,870.00 "
3612629,HYDROSET INJ HA BONE SUBSTITUTE CEMENT 10CC, $-   , $-   ,"$7,367.00 "
3612630,HYDROSET INJ HA BONE SUBSTITUTE CEMENT 15CC, $-   , $-   ,"$9,609.00 "
3612631,IOL TECNIS 1-PIECE ZCB00 13.5, $-   , $-   ,$350.00 
3612632,PLATE PROXIMAL LATERAL TIBIA 4 HOLE 121MM LEFT, $-   , $-   ,"$3,576.00 "
3612633,SCREW LOCKING SELF TAPPING 4.0 X 24MM, $-   , $-   ,$380.00 
3612634,SCREW LOCKING SELF TAPPING 4.0 X 70MM, $-   , $-   ,$380.00 
3612635,SCREW LOCKING SELF TAPPING 4.0 X 75MM, $-   , $-   ,$380.00 
3612636,SCREW CORTICAL SELF TAPPING TI 3.5 X 26MM, $-   , $-   ,$118.00 
3612637,PLATE FIBULA DISTAL LATERAL 8 HOLE VARIAX, $-   , $-   ,"$1,543.00 "
3612638,SCREW BONE NON-LOCKING VARIAX T12 FT 3.5 X 16MM, $-   , $-   ,$276.00 
3612639,SCREW LOCKING VARIAX T12 3.5 X 12MM, $-   , $-   ,$393.00 
3612640,SCREW LOCKING VARIAX T12 3.5 X 14MM, $-   , $-   ,$393.00 
3612641,SCREW LOCKING VARIAX T12 3.5 X 16MM, $-   , $-   ,$393.00 
3612642,SCREW LOCKING VARIAX T12 3.5 X 18MM, $-   , $-   ,$393.00 
3612643,DRILL 2.6 X 122MM AO COUPLING, $-   , $-   ,$362.00 
3612644,SCREW VAL TI 3.0 X 12MM, $-   , $-   ,$350.00 
3612645,SCREW VAL TI 3.0 X 16MM, $-   , $-   ,$350.00 
