Charge Code,Description,Primary Price
2201481,FLOSEAL HEMOSTATIS MATRIX 5ML,$515.00
2201482,FLOSEAL ENDOSCOPIC APPLICATOR,$151.00
2201483,FLOSEAL HEMOSTATIS MATRIX 10ML,"$1,382.00"
2201484,IMPLANT IPD X STOP (SZ),"$15,385.00"
2201485,PEG DUPUY (SZ),$543.75
2201486,INTERPULSE HANDPIECE KIT,$107.25
2201487,FIBER GREENLIGHT HPS,"$2,192.50"
2201488,PLATE SM GRAG LOCKING (SZ),"$2,991.00"
2204213,OSTEOSET RESORB,"$3,550.00"
2204214,K-WIRE TROCAR (SZ),$511.75
2204215,PUTTY PUROS W/CHIPS 10CC,"$3,419.00"
2204216,WEDGE BONE (SZ),"$2,007.25"
2204217,FIBER LASER OPTILITE 940U,"$1,250.25"
2204219,SYSTEM SKIN CLOSURE DERMABOND,$229.50
2204220,NANOTACK FLEX ANCHOR,"$1,097.50"
2204221,CHINLOCK SS ANCHOR,"$1,215.00"
2204222,VERISTOMIC FLEXIBLE GUIDE PIN,$931.25
2204223,TRANSPORT (SZ),$270.00
2204224,FLOWPORT II,$987.50
2204225,SLINGSHOT (SZ),$872.50
2204226,KIT PORTAL ENTRY,$823.25
2204227,ACL DISPOSABLE PIN PACK,$708.25
2204228,NANOPASS REACH CRESCENT,$722.50
2204229,SAMURAI,$612.50
2204230,NANOTACK FLEX DRILL,$522.50
2204231,CHINLOCK SS DRILL,$472.50
2204232,STENT LIFESTENT 7X15X130,"$2,125.00"
2204233,PAD COLD THERAPY BACK WRAP,$94.75
2204234,PROS MAMM RND SMOOTH MP,"$3,140.00"
2204235,BURR TRANSNASAL SKULL BASE(SZ),$783.75
2204236,SET TUBING MIDAS CLEARVIEW IRR,"$1,245.00"
2204237,IRR REMOTE CONTROL INTELLIFLOW,$783.75
2204238,BALL FLUTED MIDAS REX CLRVIEW,$783.75
2204239,CATH URET DIL BLN W INF GA,$504.25
2204240,CATH BARDEX 2 WAY,$42.25
2204241,STENT UNIVERSA (SZ),$346.50
2204242,NEPHROMAX BALLOON CATH 7FR,"$1,826.50"
2204243,HEAD FEMORAL FROZEN,"$3,552.00"
2204248,PLASMABLADE,$875.00
2204249,GRAFT AMNIOGRAFT SZ A 2.5X2 CM,"$1,737.50"
2204250,GRAFT AMNIOGRAFT SZ B 2X1.5 CM,"$1,487.50"
2204251,GASTRECTOMY CAL SYSTEM W/BULB,$462.25
2204252,TIP CURVE ENSEAL TRIO 3MM 45CM,"$1,059.50"
2204253,FORCEP PK DISSECTING 5MM 33CM,$420.25
2204254,FORCEP PK CUTTING 5MM 33CM,"$1,100.25"
2204255,FORCEP PK CUTTING 10MM 33CM,$908.25
2204256,TIP CURVE ENSEAL TRIO 3MM 35CM,$991.50
2204257,BONE TRICORTICAL 12MM-14MM,"$2,057.00"
2204258,BONE TRICORTICAL 8MM-11MM,"$1,734.00"
2204259,BIO DBM BOAT 5CM SHORT,"$4,921.25"
2204260,BIO DBM BOAT SINGLE,"$3,736.75"
2204261,BOVIE PENCIL E-SEP,$77.00
2204262,BOVIE EXTENSION E-SEP,$0.00
2204263,ELECTRODE DISP,$0.00
2204264,WEDGE BONE ALLOPURE,"$8,745.00"
2204265,MESH PLUG PREFIX SM,$725.00
2204266,FORCEP HALO PK CUTTING,"$1,244.00"
2204267,PACEMAKER REVO MRI SYSTEM,"$17,781.25"
2204268,PACEMAKER ADVISA MRI,"$14,247.25"
2204269,PACEMAKER ADVISA MRI SYSTEM,"$14,760.00"
2204270,SYR ARTERION,$0.00
2204271,FILTER CARDIOPLEGIA PLUS,$122.50
2204272,CUTTER AND AGGRES,$228.00
2204273,PROBE SERAS HOOK XL,$425.00
2204274,GRAFT GRACILIS 4.5X245 MM,"$3,585.00"
2204275,BURR ROUND LONG 8 FLUTE 5.5MM,$230.50
2204276,CASSETTE CROSS FLOW,$171.00
2204277,WAND ICW MULTIVAC,"$1,132.50"
2204278,WAND ICW COVAC,"$1,105.00"
2204279,SPACER VERTEBRAL,"$8,309.75"
2204280,SPACE AVS AS,"$3,844.00"
2204281,SPACER VERTEBRAL ALF,$295.00
2204282,ITRACK 250A MICROCATHETER,"$1,990.00"
2204283,REAMER TENODESIS,$537.50
2204284,FIBER ELEVATE ENT,"$1,575.00"
2204285,STAPLER RELOAD ENDOWRIST,$450.00
2204286,KIT FLOURO IMAGING PROCEDURE,$243.75
2204287,STAPLER SHEATH ENDOWRIST,$70.00
2204288,STAPLER INST ENDOWRIST 45 XI,$103.00
2204289,DRAPE COLUMN DAVINCI XI,$23.00
2204290,DRAPE ARM DAVINCI XI,$74.00
2204291,RELOAD PROX 60MM,$165.25
2204292,RELOAD LINEAR UNIT 100MM,$298.50
2204293,RELOAD LINEAR UNIT 55MM,$160.25
2204294,CLOSURE SURG SKIN ZIPLINE 8,$180.00
2204295,CLOSURE SURG SKIN ZIPLINE 16,$210.00
2204296,CLOSURE SURG SKIN ZIPLINE 24,$255.00
2204297,FILLER STIMULAN BONE VOID 5CC,"$3,820.00"
2204298,FILLER STIMULAN BONE VOID 10CC,"$3,645.00"
2204299,FILLER STIMULAN BONE VOID 20CC,"$7,200.00"
2204300,SCREW CORTICAL 2.4,$409.25
2204301,DRILL BIT CAL 1.8,$395.00
2204302,SHAFT DRIVER T8 AO QC,$637.50
2204303,SCREW LOCKING 2.4,$500.00
2204304,SEALER VESSEL DAVINCI,"$1,190.00"
2204305,BALLOON CATH LUTONIX,"$2,250.00"
2204306,SYSTEM DURASEAL EXT SPINE 5ML,"$1,618.25"
2204307,DRIVER NEEDLE MEGA SUTURE CUT,$133.50
2204308,DRIVER NEEDLE (SZ),$154.00
2204309,GRAPTOR SMALL,$227.75
2204310,FORCEP LONG TIP,$700.00
2204311,FORCEP FENESTRATED BIPOLAR,$248.75
2204312,FORCEP MARYLAND BIPOLAR,$119.25
2204313,FORCEP PROGRASP,$183.50
2204314,FORCEP TENACULUM,$550.00
2204315,FORCEP CADIERE,$525.00
2204316,SHEARS HOYRY PERMANENT,$228.75
2204317,HOOK CAUTERY PERMANENT,$250.00
2204318,FORCEP COBRA,$0.00
2204319,OCULAR VALVE AHMED DEVICE,"$2,300.00"
2204320,EXPANDER TISSUE BREAST,"$4,395.00"
2204321,RING ANNULOPLASTY,"$5,400.00"
2204322,HANDPIECE ULTRASONIC SONICBEAT,$845.75
2204323,TENDON GRAFTLINK 9X68MM,"$6,520.00"
2204324,SMOKE FILTRATION DEVICE,$50.00
2204325,PATIENT RF GROUND PAD,$66.50
2204326,CANNULAE RF 20G,$122.50
2204327,KIT TRIMANO BEACH CHAIR,$225.00
2204328,BALLOON CYTE OTW,"$1,660.75"
2204329,NEUROSTIMULATOR SYS CHARGER,"$3,075.00"
2204330,SPINAL CORD MRI STIMULATOR,"$50,250.00"
2204331,IPG PROCLAIM ELITE 7,"$52,665.00"
2204332,KIT INTERSTIM PNE,"$2,100.00"
2204333,VNS THERAPY GENERATOR MDL 103,"$59,841.50"
2204334,SHEATH SENTRANT 12FR,$337.50
2204335,SHEATH SENTRANT 14-18FR,$450.00
2204336,SHEATH SENTRANT 20-26FR,$562.50
2204337,GRAFT OCCLUDER 8-16MM,"$3,341.25"
2204338,GRAFT OCCLUDER 18-20MM,"$3,476.25"
2204339,GRAFT OCCLUDER 22-24MM,"$3,611.25"
2204340,GRAFT CONVERTER 22-28MM,"$22,882.50"
2204341,GRAFT CONVERTER 30-32MM,"$23,152.50"
2204342,GRAFT CONVERTER 34-36MM,"$23,422.50"
2204344,GRAFT TALENT DIST 100MM,"$43,861.50"
2204345,GRAFT TALENT PROX 150MM,"$49,936.50"
2204349,GRAFT TALENT STRT CL 200MM,"$50,611.50"
2204350,GRAFT ENDURANT CONT LIMB 82MM,"$13,095.00"
2204351,GRAFT ENDURANT CONT LIMB 124MM,"$13,432.50"
2204352,GRAFT ENDURANT CONT LIMB 156MM,"$17,280.00"
2204353,GRAFT ENDURANT CONT LIMB 199MM,"$17,536.50"
2204354,GRAFT ENDURANT CONT LIMB,"$13,297.50"
2204355,GRAFT ENDURANT II AUI,"$26,932.50"
2204356,GRAFT ENDURANT II BIF,"$26,932.50"
2204357,ENDURANT II CAP CASE,"$58,500.00"
2204358,NAIL CANN TI TFNA,"$6,654.25"
2204359,NAIL CANN TI TFNA 285MM,"$5,459.25"
2204360,NAIL CANN TO TFNA 170MM,"$4,747.75"
2204361,MESH 3D MAX 5X7IN,$988.25
2204362,MESH 3D MAX 4X6IN,$889.25
2204363,MESH 3D MAX 3X5IN,$816.50
2204364,RETRACTOR HTO RADIOLUCENT,"$1,500.00"
2204365,SCREW ANG STABLE (SZ),"$1,050.75"
2204366,DRILL BIT ASLS,$450.75
2204367,SLEEVE RESORBABLE,$956.50
2204368,SCREW COMP THD (SZ),"$1,668.50"
2204371,CARTRIDGE MAESTRO OIL DRILL,$69.50
2204372,DIFFUSER MAESTRO DRILL,$36.75
2204373,KIT ACESSORY 700 AMS,"$1,060.00"
2204374,BUR PRECISION ROUND,$699.00
2204375,PATCH VASCULAR POLY,$240.00
2204376,KIT HNA PRO PATIENT CARE,$133.25
2204377,VARILIFT-L IBFD,"$17,100.00"
2204378,BLOCKER MANTIS REDUCTION,$503.25
2204379,STENT ICAST 59MM,"$8,325.00"
2204380,STENT ICAST 38MM,"$7,725.00"
2204381,SEALER ENSEAL G2 ART CRV 45CM,"$1,058.75"
2204382,SEALER ENSEAL G2 22CM,"$1,042.50"
2204383,SEALER ENSEAL G2 STR 35MM,"$1,135.50"
2204384,SEALER ENSEAL G2 ART CRV 35CM,"$1,201.25"
2204385,STENT FLEXIMA,$477.75
2204386,IPG EON RECHARGEABLE,"$39,000.00"
2204387,IPG 16 CHANNEL PROTEGE,"$43,500.00"
2204388,IPG 16 CHANNEL PROTEGE MRI,"$47,850.00"
2204389,CANNULA STAPLER W/SEAL,$70.00
2204390,SEAL UNIVERSAL,$63.00
2204391,CANNULA REDUCER ENDOWRIST,$87.50
2204392,APPLIER LARGE CLIP,$0.00
2204393,SPACER LUMBAR INTERBODY,"$13,500.00"
2204394,BLADE HELICAL TFNA,"$3,025.00"
2204395,CANNULA FEMORAL ARTERIAL,$647.50
2204396,CANNULA MULTISTAGE VENOUS,$970.00
2204397,MASK AUTOREGISTRATION STRYKER,$500.00
2204543,SYSTEM PROLENE EXT HERNIA XL,
2205240,CYSTO DRAIN,$52.00
2205675,UTERINE MANIPULATOR TIP,$172.00
2205694,SPACESUITS,$138.25
2205700,ANGIOSCOPE,"$2,766.00"
2205701,ANGIOSCOPY SUPPLIES,$436.00
2205702,SYSTEM ATRICLIP FLEX (SZ),"$2,092.50"
2205704,LS GB SURGIPORT 11MM,$159.00
2205705,LS GB SURGIPORT 5MM,$129.00
2205707,LS DISP IRRIGATION TUBING,$107.00
2205712,CHICK TABLE,$315.00
2205714,SILTEX BREAST EXPANDER (SZ),"$2,612.75"
2205715,FILTER GREENFIELD VENA CAVA,"$3,986.75"
2205716,NEZHAT IRRIGATION PUMP,$300.00
2205717,DEFOGGER FRED,$0.00
2205718,INSUFLATOR ELECTRONIC,$0.00
2205720,KIT CELL SAVER,$623.50
2205721,ANEURYSM CLIPS,"$1,984.00"
2205722,TA 35 STAPLES,$364.00
2205723,BOOTIES RADIOPAQUE DISP (SZ),$0.00
2205724,VERRES NEEDLE,$107.00
2205725,NDL DISP BIOPSY 2.5MM X 210MM,$937.50
2205726,GUIDE FRAMELESS F/NDL BIOPSY,$976.50
2205727,SHEATH PRELUDE 7FR,$510.00
2205728,ENDOFORM DRESSING 4X5,$913.25
2205729,FILTER INSP/EXP VAPOR CLEAN,$217.25
2205730,INTRO EEA 21/25 DISP TAN ANAL,$146.00
2205731,SET DISP TUBING W/ EXT,$856.00
2205732,ENDO CLOSE DEVICE,$136.00
2205733,DEVICE TISSUE REMOVAL MYOSURE,"$1,650.00"
2205734,TISSUE SEMITENDINOSUS NON IRR,"$3,585.00"
2205735,NEUROSTIMULATOR IMPLANT LEAD,"$10,440.00"
2205736,PACK PROCEDURE ARMGUARD,$161.25
2205737,PACK PROCEDURE TRENDGUARD,$168.00
2205738,ALLGRAFT BIOCARTILAGE 1CC,"$3,920.00"
2205739,VALVE AORTIC TRIFECTA (SZ),"$17,250.00"
2205740,PACKING NASAL NEXFOAM,$240.00
2205741,TRIATHLN ALL POLY PATELLA (SZ),"$1,000.00"
2205742,TRIATHLN STAB/TIBIA INSERT(SZ),"$4,000.00"
2205743,TRIATHLN PATELLA IMPLANT (SZ),"$2,000.00"
2205744,SUTURE PASSING WIRE,$225.00
2205745,ANCHOR SUTURE SWIVELOCK SP(SZ),"$2,100.00"
2205746,KIT DISP PUSHLOCK,"$1,000.00"
2205747,BLADE DERMATONE,$70.00
2205748,CLIPPER HEAD DISPOSABLE,$99.00
2205756,DRILL GREY BONE,$312.00
2205757,DALL MILES CABLE,"$2,091.00"
2205758,DALL MILES GRIP,"$1,886.00"
2205759,DALL MILES CABLE SLEEVE,$325.00
2205760,TUBING INSUFFLATOR,$0.00
2205761,ANGIOGRAPHY PUMP TUBING,$688.00
2205762,BIG SUCKER (10 MM ASPIRATOR),$108.00
2205763,BILATERAL LIMB SHEET,$354.00
2205764,WAX BONE,$68.00
2205765,SET SUCTION IRRIG W/TIP DISP,$85.50
2205766,TOURNIQUET CUFF DISPOSABLE,$133.75
2205768,EHL PROBE,$571.00
2205769,ELECTROSURG COAG SUCTION TUBE,$58.00
2205771,FORCEPS GRASPING,$723.00
2205773,KIT TROCAR HERNIA,$652.00
2205774,HANDLES DISPOSABLE LIGHT,$0.00
2205775,LS CANNULA,$67.00
2205776,LTA KIT,$51.00
2205777,PAD MAGNETIC,$0.00
2205778,MALCOTT CATHETER,$49.00
2205779,SUCTION POOLE TIP,$64.75
2205780,ENDO CLIPS MED/LG,$663.00
2205781,ENDO GUAGE,$887.00
2205782,ENDO GIA RELOADS,$554.00
2205783,ENDO LOOPS,$80.75
2205784,ENDO SHEARS,$333.25
2205785,FASCIA GRIP,"$2,043.00"
2205786,FLEXMASTER ACE,$59.50
2205787,CATHETER FOGARTY LONG,$273.50
2205788,CATHETER FOGARTY SHORT,$332.00
2205789,KIT G.B. TROCAR,"$1,564.00"
2205790,GORTEX GRAFT UP TO 40 CM,"$2,231.00"
2205791,EHL MACHINE,$172.00
2205792,DYONICS ARTHROSCOPY PRINTER,$0.00
2205793,TUBING ARTHROSCOPY PUMP,$243.00
2205794,BOVIE TIP NEEDLE,$70.00
2205795,BAG CYSTO TABLE DRAIN,$72.00
2205797,GORTEX GRAFT 70 CM,"$2,991.00"
2205798,TA 100 STAPLES,$333.00
2205799,TA 50 STAPLES,$336.00
2205800,ARTHROSCOPY BURRS,$199.00
2205801,ENDOSCOPE,$508.75
2205802,ARGON BEAM,$173.00
2205803,MESH PROLENE,$622.00
2205805,PURSESTRING-BOWEL DISP,$49.00
2205806,KIT KWIK (PACK),$63.00
2205807,SHEA BURRS,$601.00
2205808,STABILITY THREADS,$51.00
2205809,SUTURE CARDIOVASCULAR,$55.00
2205810,TRAY TOTAL JOINT MAJOR,"$1,407.00"
2205811,TRAY TOTAL JOINT MINOR,"$1,187.00"
2205812,SUTURE NEEDLES,$94.50
2205813,DRAPE CO2 LASER ARM,$51.00
2205815,SYSTEM DELIVER CRV,$428.00
2205816,CORD DISPOSABLE BIPOLAR,$59.00
2205817,BIPOLAR IRRIGARTING CORD,$126.00
2205818,CADAVER BONE DOWELS 12MM,$908.00
2205819,CADAVER BONE DOWELS 14 MM,"$1,008.00"
2205820,THORACOPORT,$60.00
2205821,URETERAL DILATION BALLOON CATH,$536.00
2205822,BLOOD WARMER,$51.00
2205823,EBI SM EXTERNAL FIXATOR,"$5,561.00"
2205824,EBI UNIT-BONE STIMULATOR,"$9,473.00"
2205825,CADAVER BONE DOWELS 16 MM,"$1,019.00"
2205827,CADAVER BONE ILIAC CREST 10 MM,$866.00
2205828,BONE ILIAC CREST 2.7,"$3,285.00"
2205829,CADAVER BONE ILIAC CREST 15 MM,"$1,087.00"
2205830,CADAVER BONE ILIAC CREST 18 MM,"$1,068.00"
2205831,CAUTERY LOOPS,$51.00
2205832,DRAINAGE SET-NEURO,$279.00
2205833,KIT ICP MONITORING,$766.00
2205834,MAYFIELD SKULL PINS DISP,$58.50
2205835,CLIP MICHELLE,$48.00
2205836,BLADES MICROSURGICAL,$625.00
2205837,PS MEDICAL PERITONEAL CATHETER,$263.00
2205839,PS MED VENTRIC CATHETER,$184.00
2205841,SOFT STRAP CERVICAL COLAR,$51.00
2205842,SOFT STRAP CERV TRAC COLLAR,$55.00
2205843,SWIVEL ADAPTOR FIBEROPTIC,$51.00
2205844,CATHETER VENTRICULAR,$384.00
2205845,SPONGE DEPUY FEMORAL,$94.50
2205846,EBI WRIST EXTERNAL FIXATION,"$6,048.00"
2205847,GLUE GUN INJECTOR,$107.00
2205853,KIT SIMPULSE SOLO,$70.00
2205854,BRUSH FEMORAL CANAL W/SUCT/IRR,$56.00
2205856,ROGOZINSKI COUPLER,$305.00
2205857,ROGOZINSKI CROSS BAR,$561.00
2205858,ROGOZINSKI GUIDE PIN,$72.00
2205862,ROGOZINSKI SET SCREW,$105.00
2205863,STRYKER IRRIGATOR HAND PIECE,$718.00
2205864,TITANIUM IMPLANT PLATE,$718.00
2205865,TITANIUM IMPLANT SCREW,$170.00
2205866,ZIMMER BATTERIES,$51.00
2205867,ZIMMER DRILL,$140.00
2205868,FLIPCUTTER (SZ),$897.00
2205869,PATCH XENOSURE BIOLOGIC,$900.00
2205870,KIT DISP SUTURETAK 3.0 MM,$487.50
2205871,IMPL COLLAGEN BIO-GIDE 40X50,"$2,475.00"
2205872,PATCH VASCULAR POLY 10X150,
2205873,PUMP CENTRIFUGAL ROTOFLOW,$410.00
2205874,OXYGENATOR QUADROX,"$1,632.50"
2205875,FILTER VENACAVA BIRDS NEST,"$3,975.00"
2205876,INTRODUCER SYS OSTEO ONE-STEP,"$1,702.50"
2205877,CATH HEARTRAIL III (SZ),$225.00
2205878,NEEDLE TRANSSEPTAL BRK (SZ),$440.00
2205879,CATH RUBICON (SZ),$375.00
2205880,STENT INNOVA 7X150X130,"$3,900.00"
2205881,COIL TORNADO (SZ),$520.00
2205882,COIL NESTER (SZ),$520.00
2205883,COIL INTERLOCK 2D 2-4MM,"$2,250.00"
2205884,CATH BI-CAVA AVALONE E (SZ),"$3,525.00"
2205885,SET ANCHOR F/GASTRO TUBE,$283.25
2205886,MATRIX ECM VASC REPAIR 4X7 CM,"$3,180.00"
2205887,MATRIX ECM VASC REPAIR 1X10 CM,"$1,975.00"
2205888,WOUND CYTAL 7 X 10CM,"$1,280.00"
2205889,PACEMAKER MRI ASSURITY DR,"$12,285.00"
2205890,PACEMAKER MRI ASSURITY DR SYS,"$13,200.00"
2205891,PACEMAKER MRI ASSURITY SR,"$9,585.00"
2205892,PACEMAKER MRI ASSURITY SR SYS,"$10,500.00"
2205893,BLADE FLEX CHISEL,$520.00
2205895,CONT COLLAGEN IMPL/PER SYRINGE,"$2,094.00"
2205896,GIA RELOADS,$703.75
2205897,CAROTID PATCH-OSHNER,$118.00
2205898,WAND REFLEX ULTRA PLASMA,$562.50
2205899,MDT TABLE,$164.00
2205900,CYTAL WOUND MATRIX 2L 5X5CM,"$1,394.00"
2205901,PATCH CAROTID (SZ),$591.00
2205902,LS LAVH KIT,"$1,381.00"
2205904,STATEK ANCHORING SUTURE,$421.00
2205905,SHOULDER ABDUCTION PILLOW,$82.00
2205906,DUPUY ORTHO SUCTION,$68.75
2205907,INTERCEED,$507.00
2205908,CYTAL WOUND MATRIX 3L 7X10CM,"$2,798.25"
2205909,MULTILOCK HAND SURG SUPPLIES,$562.00
2205910,KIT INSERTION FEMORAL CANNULA,$151.00
2205911,MORCELLATOR W/ OBTURATOR,"$1,278.00"
2205912,BARD SNARE,$93.00
2205913,TA DISP STAPLER 30/60/90,$703.75
2205914,CLAMP ENDO BABOCK DISPOSABLE,$295.00
2205915,ENDO MAYO SHEAR-DISP,$431.00
2205916,CLAMP ENDO KELLY DISPOSABLE,$278.50
2205917,CLAMP ENDO ALLIS DISPOSABLE,$293.00
2205918,ENDO MOUTHGAG,$60.00
2205919,ARTHROTEK ABSORBO MAT,$101.00
2205920,EBI EXT FIXATION-LONG,"$6,650.00"
2205921,EBI EXT FIXATION-STD,"$3,902.00"
2205922,EBI EXT FIXATION-PELVIC,"$10,242.00"
2205923,EBI EXT FIXATION-ANKLE,"$9,750.00"
2205924,BIONET ORTHO SUCTION TIP/TUBIN,$51.00
2205925,HARPOON SUTURE-ARTHROTEX,$480.00
2205926,ELECTRODES MENISECTOMY,$227.00
2205927,VESSEL CLIPS,$52.00
2205928,MITEK ANCHORING SUTURE,$497.00
2205929,CYTAL WOUND MATRIX 2L 7X10CM,"$1,537.50"
2205930,BURN CYTAL 7X10CM,"$1,500.00"
2205931,TABLE JACKSON ACCESSORIES,$608.00
2205932,NASAL PACK,$66.00
2205933,MICROVASIVE STONE BASKET,$402.25
2205934,CYTAL 7X15CM,"$2,646.00"
2205935,CYTAL WOUND MATRIX 6L 10X15CM,"$6,396.00"
2205936,SYNTHES BURR HOLE,$288.25
2205940,ARTHREX CANN INFERENCE SCREW,$777.00
2205941,MEDITECH MICROV. GUIDEWIRE .18,$141.00
2205942,MICROVASIVE ANGLED/STRAIGHT,$160.25
2205943,MEDITECH MICROV. LEVEEN INFL,$747.00
2205944,CYTAL WOUND MATRIX 3L 10X15CM,"$4,797.00"
2205945,ADD/STAT LASER FIBERS (ANGLED,"$1,876.00"
2205946,BURN CYTAL 10X15CM,"$2,700.00"
2205947,CYTAL XS 16X20CM,"$11,520.00"
2205948,CYTAL XS 20X20CM,"$14,400.00"
2205949,CYTAL XS 20X30CM,"$21,600.00"
2205950,DARDIK HUMAN UMBILICAL GRAFT,"$2,944.00"
2205951,PINNACLE INTRODUCER SHEATH,$104.00
2205952,LEVEEN INFLATOR/PRESSURE GUAGE,$299.00
2205953,ENDOSTITCH CARTRIDGE,$242.75
2205954,ENDOSTITCH,$552.75
2205955,GRAFTON 10CC,"$1,759.00"
2205956,TSRH COLLARED EYEBOLT 3/16IN,$326.00
2205957,TSRH HEX-END ROD,$391.00
2205958,TSRH LAMINAR HOOKS,$546.00
2205959,TSRH OFFSET HOOKS,$800.00
2205960,TSRH VA EYEBOLT ASSEMBLY,$505.00
2205961,TSRH TOP TIGHTENING LOCK SCREW,$48.00
2205962,TSRH TOP TIGHT T-BOLT,$365.00
2205963,TSRH TOPTIGHT VA T-BOLT,$585.00
2205964,TSRH VARIABLE ANGLE SCREWS,$822.00
2205965,TSRH CROSSLINK PLATES,$670.00
2205966,TSRH CROSSLINK EYEBOLT/LOCKNUT,$120.00
2205967,TSRH CROSSLINK OPEN EYEBOLT,$259.00
2205968,EBI LIMB RECONSTRUCT KIT-LONG,"$10,084.00"
2205969,EBI LIMB RECONSTRUCT KIT-STD,"$9,676.00"
2205970,EBI LIMB RECONSTRUCT KIT-SHORT,"$6,176.00"
2205971,EBI PED LIMB RECON KIT-LONG,"$7,553.00"
2205972,EBI PED LIMB RECON KIT-STD,"$5,932.00"
2205973,EBI PED LIMB RECON KIT-SHORT,"$5,696.00"
2205975,RUMI UTERINE MANIPULATOR TIP,$196.00
2205976,SYN MICROSET MICRO SCREW,$102.00
2205977,SYN MICROSET EMERGE SCREW,$113.00
2205978,SYN MICROSET ADAPTION PLATE,$652.00
2205979,SYN MICROSET ORBITAL RIM PLATE,$243.00
2205980,SYN MICROSET L-PLATE,$199.00
2205981,SYN MICROSET UNIV ORB FLOOR PL,"$1,015.00"
2205982,SYN MICROSET UNIV ORB FLOOR TE,$164.00
2205983,SYN MICROSET MEDIAL WALL PLATE,"$1,015.00"
2205985,SYN MICROSET MESH PLATE,"$1,042.00"
2205986,SYN MICROSET Y-PLATE,$214.00
2205987,SYN MICROSET DOUBLE Y-PLATE,$214.00
2205988,SYN MICROSET H-PLATE,$210.00
2205989,SYN MICROSET T-PLATE,$187.00
2205990,SYN MICROSET X-PLATE,$215.00
2205991,SYN CRANIOFACIAL CORTEX SCREW,$649.00
2205992,SYN CRANIOFACIAL EMERGE SCREW,$72.00
2205993,SYN CRANIOFACIAL ZYGOMATIC PL,$247.00
2205994,SYN CRANIOFACIAL ADAPTION PLAT,$394.00
2205995,SYN CRANIOFACIAL ADAPT PL SKUL,$467.00
2205996,SYN CRANIOFACIAL ORBITAL PLATE,$214.00
2205997,SYN CRANIOFACIAL L-PLATE,$237.00
2205998,SYN CRANIOFACIAL Y-PLATE,$847.00
2205999,SYN CRANIOFACIAL X-PLATE,$216.00
2206001,SYN CRANIOFACIAL H-PLATE,$245.00
2206002,SYNTHESE DRILL BITS,$260.75
2206003,TITANIUM UNREAMED MISS-A-NAIL,"$2,944.00"
2206004,TITANIUM UNREAMED RECON NAIL,"$6,824.00"
2206005,TITANIUM UNREAMED FEMORAL NAIL,"$2,598.00"
2206006,PROKERA CORNEAL OCULAR RING,"$3,796.00"
2206007,SET INTRO FLEXOR CHK FLO,$193.50
2206008,BUR HELIOCOIDAL RASP,$280.00
2206009,LINER CANISTER DISPOSABLE,$124.25
2206010,DRAPE SPACE STATION DISPOSABLE,$180.75
2206011,CATH JETSTREAM (SZ),"$4,935.00"
2206012,GUIDEWIRE CHOICE PT,$195.00
2206013,GORE DIASTAT VAS GRAFT 6X30X45,"$3,744.00"
2206014,STEP TROCAR 12MM,$219.00
2206015,STEP TROCAR 10MM,$202.00
2206016,STEP INSUFFLATION NEEDLE,$81.00
2206017,CARTRIDGE ESOPHYX 7.5,"$1,062.50"
2206019,SYN MAXILOFACIAL EMERG SCREW,$123.00
2206020,SYN MAXILOFACIAL MONOCRT SCREW,$420.00
2206021,SYN MAXILOFACIAL BAND PLATE,$355.00
2206022,SYN MAXILOFACIAL CRESCENT PLAT,$590.00
2206023,SYN MAXILOFACIAL STRAIGHT PLAT,$634.00
2206024,SYN MAXILOFACIAL FRACTURE PLAT,"$1,001.00"
2206025,SYN MAXILOFACIAL RECON PLATE,"$1,178.00"
2206026,CADAVER PERICARDIUM-SMALL,$300.00
2206027,CADAVER PERICARDIUM-MEDIUM,$790.00
2206028,CADAVER PERICARDIUM-LARGE,$925.00
2206029,DRAPE CONVERTOR TOWEL,$51.00
2206030,SAC TEETH GUARDS,$51.00
2206031,DRAPE INTRASCAN PROBE,$182.50
2206032,ARGON BEAM HANDPIECE,$143.00
2206033,ELECRODES PRASS PAIRED,$325.00
2206034,PRASS FLUSH TIP PROBE,$226.00
2206035,GRAFTON ICC,$303.00
2206036,HOOK HARMONIC 5MM,$530.00
2206037,HARMONIC 5MM BALL,$492.00
2206038,HARMONIC LAP COAL SHEARS,"$1,383.50"
2206039,SPECIMEN TRAP SOCKS,$64.00
2206040,CADAVER FEMORAL HEAD-BONE GRAF,"$2,008.00"
2206041,KNEE POSITIONING TRIANGLE PAD,$58.50
2206042,CEMENT RESTRICTOR-POLY PLUG,$214.00
2206043,STERILE NYLON FINGER TRAP,$51.00
2206044,"DRAPE, CHICK",$80.50
2206045,XOMED TREACE MICROGRID,$51.00
2206046,SURE CLOSURE SKIN STRETCHING,"$1,135.00"
2206047,PACK VITOSS FOAM 2.5CC,"$2,903.50"
2206048,PACK VITOSS FOAM 1.2CC,"$1,879.00"
2206049,MANDIBULAR OSTEO SAW BLADE,$388.00
2206050,RECIPROCATING SAW BLADE,$230.00
2206051,STRYKER CARBIDE BURR,$104.00
2206052,STYKER WIRE PASS DRILL,$202.50
2206053,STRYKER SAGITTAL BLADE,$221.75
2206054,STRYKER PEAR BURR,$206.00
2206055,STRYKER ROUND BURR,$185.25
2206056,STRYKER OSCILLATING SAW BLADE,$113.75
