SVC CODE,SERVICES DESCRIPTION,CHGAMT,
156012079,"MOPATH PROCE, MO602H (LV7) 81406","$5,056.00 ",
156012081,"MOPATH PROCE, MO604H (LVL9)81408","$7,303.00 ",
156012083,"CAR ION CNNPATH 10 GNS, MO606H","$4,214.00 ",
156012084,"CAR ION CHNNLPATH 2 GNS, MO606H","$4,213.00 ",
156012088,"MOPATH PROCE, MO601H (LVL6) 81405","$3,371.00 ",
156012089,"MANUAL BILL MOL, NGS (LV5)","$2,800.00 ",
156012090,"MANUAL BILL CODE, MITOCHO GENE","$8,500.00 ",
142001241,LIVER FUNCTION PANEL,$367.00 ,
142001250,RENAL FUNCTION PANEL,$455.00 ,
142000013,GLUCOSE CSF,$74.00 ,
142000130,SODIUM FLUID,$102.00 ,
155001305,ZALCITABINE,$234.00 ,
142000014,CHOLESTEROL SERUM OR WHOLE BLD,$107.00 ,
142000140,T3 TOTAL,$233.00 ,
155001400,11 DEOXYCORTISOL STEROID,$354.00 ,
157014000,FLOW CYTOMMARKR 1OXIDATIVE BRST,$495.00 ,
157014001,ADDITIONAL MARKER OXIDATIVE BRST,$518.00 ,
142014042,PLATELETS RETICULATED IPF,$81.00 ,
155001405,17 HYDROXYPROGESTERONE STEROID,$267.00 ,
155001410,PROGESTERONE STEROID,$145.00 ,
142014101,ADDITIONAL MARKER CD79A,$198.00 ,
142014102,ADDITIONAL MARKER MPO,$198.00 ,
142014103,ADDITIONAL MARKER CD64,$198.00 ,
142014104,ADDITIONAL MARKER CD103,$198.00 ,
142014105,ADDITIONAL MARKER CD117,$198.00 ,
142014106,ADDITIONAL MARKER CD16,$198.00 ,
142014107,ADDITIONAL MARKER CYTOPLASMIC CD3,$198.00 ,
142014108,ADDITIONAL MARKER CD16 56,$273.00 ,
142014109,ADDITIONAL MARKERS CD19 CD5,$198.00 ,
142014110,ADDITIONAL MARKER CD19+CD5+,$198.00 ,
142014111,ADDITIONAL MARKER IGM+,$198.00 ,
142014112,ADDITIONAL MARKER IGD+,$198.00 ,
142014113,ADDITIONAL MARKER KAPPA+,$198.00 ,
142014114,ADDITIONAL MARKER LAMBDA+,$198.00 ,
142014115,ADDITIONAL MARKER CD3+CD4+,$273.00 ,
142014116,ADDITIONAL MARKER CD3+CD8+,$273.00 ,
142014117,ADDITIONAL MARKER CD2+HLADR+,$257.00 ,
142014118,ADDITIONAL MARKER CD8+CD57+,$273.00 ,
142014119,ADDITIONAL MARKER CD4+CD25+,$273.00 ,
142014120,ADDITIONAL MARKER CD4+CD62L,$209.00 ,
142014121,ADDITIONAL MARKER CD4+CD31+,$273.00 ,
142014122,ADDITIONAL MARKER CD19+KAPPA+,$273.00 ,
142014123,ADDITIONAL MARKER CD19+LAMBDA,$273.00 ,
142014124,ADDITIONAL MARKER CD19+CD27+,$273.00 ,
142014125,ADDL MARKER CD4NEGCD8NEG TCRAB+,$273.00 ,
142014126,ADDITIONAL MARKER FASL (CD95L),$198.00 ,
142014127,ADDITIONAL MARKER CTLA4 (CD152),$198.00 ,
142014128,ADDITIONAL MARKER PERFORIN,$198.00 ,
142014129,ADDITIONAL MARKER CD40,$198.00 ,
142014130,ADDITIONAL MARKER CD40L (CD154),$198.00 ,
142014131,ADDITIONAL MARKER CD132,$198.00 ,
142014132,IMMUNOASSAY NON AB SI0002,$326.00 ,
142014133,IMMUNOASSAY NON AB SI0003,$326.00 ,
142014134,IMMUNOASSAY NON AB SI0004,$326.00 ,
142014135,IMMUNOASSAY NON AB SI0005,$326.00 ,
142014136,IMMUNOASSAY NON AB SI0006,$326.00 ,
142014137,IMMUNOASSAY NONANTIBODY SI0007,$326.00 ,
142014138,PROCALCITONIN (PCT) RR0019,$280.00 ,
142014139,"DRUG SCREEN PRESUMPTIVE, URINE",$264.00 ,
142014140,COMPL AUTOM CBC W PLTC RR0032,$134.00 ,
155001415,TESTOSTERONE STEROID,$311.00 ,
142014181,ACETONE ASSAY B HYDROXY (RR0035),$145.00 ,
155001420,ANDROSTENEDIONE STEROID,$368.00 ,
155001435,DHEA SULFATE STEROID,$384.00 ,
155001440,DEHYDROEPIANDROSTERONE STEROID,$384.00 ,
142000145,T4,$133.00 ,
155001450,ALDOSTERONE,$494.00 ,
155001455,CORTICOSTERONE,$228.00 ,
155001460,VITAMIN D,$518.00 ,
142001465,CYANOCOBALAMIN,$173.00 ,
155000148,FREE T4,$252.00 ,
142001500,CYTOMEGALOVIRUS IGG,$177.00 ,
142001515,TOXOPLASMA IGG,$268.00 ,
142001520,TOXOPLASMA IGM,$268.00 ,
142001530,NATRIURETIC PEPTIDE LEVEL,$407.00 ,
142000155,TRICYCLIC ANTIDEPRESSANTS URINE,$146.00 ,
142000160,TOTAL PROTEIN BLOOD,$80.00 ,
142001635,INTACT PTH,$503.00 ,
142001640,C PEPTIDE,$231.00 ,
142001645,ALPHA FETOPROTEIN,$342.00 ,
142001650,PROLACTIN,$284.00 ,
142001655,THYROGLOBULIN ANTIBODY,$228.00 ,
142001660,THYROID PEROXIDASE ANTIBODIES,$209.00 ,
142001665,HOMOCYSTEINE,$432.00 ,
142000017,CHLORIDE FLUID,$99.00 ,
142000175,TRIGLYCERIDES FLUID,$125.00 ,
142000018,CORTISOL TOTAL,$285.00 ,
142000180,TRIGLYCERIDES,$125.00 ,
142000185,TSH - THYROID STIMULATING HORMONE,$270.00 ,
151001880,(BILL ONLY)OUTSIDE CON.STAT CORE,$48.00 ,
142001895,CULTURE INOCULATION FEE,$6.00 ,
142000019,CREATINE KINASE (CPK) TOTAL,$153.00 ,
142000190,CALCIUM URINE (TIMED),$74.00 ,
142000191,"(BILL ONLY)VOL MEASURE,TIMED COLL",$41.00 ,
142000195,CREATININE URINE (TIMED),$110.00 ,
142000002,ALBUMIN BLOOD,$90.00 ,
142000020,CREATININE FLUID,$110.00 ,
142000200,PROTEIN URINE (TIMED),$80.00 ,
142000207,"URINALYSIS,COMPLETE",$136.00 ,
142000021,CREATININE LEVEL BLOOD,$110.00 ,
142000215,CHLORIDE RANDOM URINE,$90.00 ,
142000022,PROTEIN (TOTAL) CSF,$113.00 ,
142000220,CREATININE URINE,$110.00 ,
142000225,GLUCOSE UR BODY FLUID NOT BLD,$64.00 ,
142000023,FREE DIGOXIN,$166.00 ,
142000230,URINE POTASSIUM,$91.00 ,
142000236,URINE MACROSCOPIC ONLY,$44.00 ,
142000240,MYOGLOBIN SCREEN,$42.00 ,
142000245,SODIUM RANDOM URINE,$102.00 ,
142000025,ESTRADIOL,$395.00 ,
142000250,URINE OSMOLALITY,$156.00 ,
142000255,UREA NITROGEN FLUID,$98.00 ,
142000026,ALCOHOL,$320.00 ,
142000260,URIC ACID LEVEL BLOOD,$136.00 ,
142000263,URIC ACID BLOOD,$136.00 ,
142000027,IRON,$190.00 ,
142000270,URIC ACID FLUID,$136.00 ,
142000275,URINE PROTEIN,$80.00 ,
142000028,FERRITIN,$259.00 ,
142000280,URINE UREA NITROGEN,$98.00 ,
194028001,AEROBIC BACTERIAL BLD CULT (UMC),$312.00 ,
194028002,ANAEROBIC BLOOD CULTURE,$228.00 ,
194028003,CSF BACTERIAL CULT (UMC),$216.00 ,
194028004,FUNGAL BLOOD CULT (UMC),$322.00 ,
194028005,FUNGAL CULTURE (UMC),$220.00 ,
194028006,GC BACTERIAL CULT (UMC),$223.00 ,
194028007,GRAM SMEAR (UMC),$91.00 ,
194028008,GRP A STREP ASSAY (UMC),$158.00 ,
194028010,KOH PREP (UMC),$72.00 ,
194028011,MISC BACTERIAL CULTURE (UMC),$237.00 ,
194028012,OVA AND PARASITES (UMC),$122.00 ,
194028013,OTHER BACTERIAL CULTURE (UMC),$237.00 ,
194028014,RESPIRATORY BACTERIAL CULT (UMC),$410.00 ,
194028015,STOOL CULTURE (UMC),$376.00 ,
194028016,TRICHOMONAS WET MOUNT (UMC),$121.00 ,
194028017,URINE CULTURE (UMC),$100.00 ,
194028018,STOOL OCCULT BLOOD (UMC),$63.00 ,
194028020,ANAEROBIC CULTURE (UMC),$249.00 ,
194028022,UMC PERTUSSIS PCRAMPL NA PROBE,$413.00 ,
194028023,UMC PERTUSSIS CULTURE,$196.00 ,
194028024,CHLAMYDIA TRACHOMATIS CULT (UMC),$861.00 ,
194028040,RBC ANTIBODY SCREEN (UMC),$179.00 ,
194028041,BLOOD TYPING ABO (UMC),$50.00 ,
194028042,DIRECT ANTIGLOBULIN (UMC),$132.00 ,
194028043,CRYOPRECIPITATE EA (UMC),$257.00 ,
194028044,ONE DONOR FFP EA UNIT (UMC),$169.00 ,
194028045,APHERESIS PLATELETS EA UNIT (UMC,"$2,355.00 ",
194028046,BLOOD TYPING RH D (UMC),$52.00 ,
194028048,COMPATABILITY TEST ANTIGLOB (UMC,$276.00 ,
194028049,LEUKOCYTE POOR BLD EA UNIT (UMC),$738.00 ,
194028050,BLOOD SPLIT UNIT PER 50ML (UMC),$180.00 ,
194028053,TRANSFUSION REACTION (UMC),$133.00 ,
194028054,ANTIBODY ID (UMC),$252.00 ,
194028080,BASIC METABOLIC PANEL (UMC),$344.00 ,
194028081,CBC W AUTO DIFFERENTIAL UMC,$181.00 ,
194028082,COMPREHENSIVE METABOLIC PNL (UMC),$605.00 ,
194028083,CSF VENT COUNT WITH DIFF UMC,$176.00 ,
194028084,ELECTROLYTES (NON POCT) (UMC),$311.00 ,
194028085,ACUTE HEPATITIS PANEL (UMC),$766.00 ,
194028086,HEPATITIS BE ANTIGEN (UMC),$223.00 ,
194028087,HEPATITIS BE ANTIBODY (UMC),$192.00 ,
194028088,LIVER FUNCTION PANEL (UMC),$367.00 ,
194028089,MALARIA PANEL THIN AND THICK UMC,$57.00 ,
194028090,CHLAMYDIA TRACHOMATIS PCR (UMC),$259.00 ,
194028091,HETEROPHILE ANTIBODY (UMC),$152.00 ,
194028092,HSV PCR (UMC),$303.00 ,
194028093,RAPID HIV 12 AB SCREEN (UMC),$37.00 ,
194028094,RESP VIRUS ANTIGEN PANEL (UMC),$251.00 ,
194028095,ROTAVIRUS ASSAY (UMC),$288.00 ,
194028096,RPR (UMC),$70.00 ,
194028097,RSV ANTIGEN (UMC),$203.00 ,
194028098,RSV EIA ANTIGEN (UMC),$428.00 ,
194028099,STREP PNEUMONIAE ANTIGEN (UMC),$164.00 ,
194028100,ACETAMINOPHEN (UMC),$407.00 ,
194028101,ACETONE (UMC),$99.00 ,
194028102,ALBUMIN (UMC),$90.00 ,
194028103,ALK (UMC),$99.00 ,
194028104,ALPHA FETOPROTEIN (UMC),$342.00 ,
194028105,ALT (UMC),$127.00 ,
194028106,AMMONIA (UMC),$227.00 ,
194028107,AMYLASE (UMC),$175.00 ,
194028108,AST (UMC),$127.00 ,
194028109,AUTOMATED RETIC COUNT (UMC),$95.00 ,
194028110,BILIRUBIN DIRECT (UMC),$120.00 ,
194028111,TOTAL BILIRUBIN (UMC),$120.00 ,
194028112,BLOOD UREA NITROGEN (UMC),$98.00 ,
194028113,CALCIUM (UMC),$70.00 ,
194028114,CARBOXYHEMOGLOBIN (UMC),$255.00 ,
194028115,CO2 (UMC),$115.00 ,
194028116,CREATINE KINASE (UMC),$153.00 ,
194028117,CREATINE KINASE MB (UMC),$236.00 ,
194028118,CREATINE (UMC),$110.00 ,
194028119,CRP HIGH SENSITIVITY (UMC),$115.00 ,
194028120,D DIMER (UMC),$369.00 ,
194028121,DIGOXIN (UMC),$155.00 ,
194028122,ETHANOL (UMC),$320.00 ,
194028123,FIBRIN DEGREDATION PRODUCTS (UMC),$135.00 ,
194028124,FIBRINOGEN (NEPH)(UMC),$190.00 ,
194028125,FREE T4 (UMC),$252.00 ,
194028126,GGT (UMC),$155.00 ,
194028127,GLUCOSE (UMC),$60.00 ,
194028128,GLUCOSE CSF (UMC),$74.00 ,
194028129,HEMATOCRIT (UMC),$73.00 ,
194028130,HEMOGLOBIN (UMC),$83.00 ,
194028131,IRON (UMC),$190.00 ,
194028132,LACTATE (UMC),$264.00 ,
194028133,LDH (UMC),$130.00 ,
194028134,LIPASE (UMC),$166.00 ,
194028135,LIPID PROFILE (UMC),$208.00 ,
194028136,LITHIUM (UMC),$140.00 ,
194028137,MAGNESIUM (UMC),$161.00 ,
194028138,METHEMOGLOBIN (UMC),$106.00 ,
194028139,OSMOLALITY (UMC),$126.00 ,
194028140,OSMOLALITY URINE (UMC),$134.00 ,
194028141,PHENOBARBITAL (UMC),$174.00 ,
194028142,PHENYTOIN (UMC),$206.00 ,
194028143,PHOSPHORUS (UMC),$113.00 ,
194028144,PLATELET COUNT (UMC),$81.00 ,
194028145,POTASSIUM (UMC),$91.00 ,
194028146,PREGNANCY TEST URINE (UMC),$170.00 ,
194028147,PROTEIN URINE (UMC),$62.00 ,
194028148,PROTHROMBIN TIME (UMC),$149.00 ,
194028149,PTT (UMC),$167.00 ,
194028150,REDUCING SUBSTANCE (UMC),$43.00 ,
194028151,SALICYLATE (TOXICOLOGY) (UMC),$273.00 ,
194028152,SEDIMENTATION RATE (UMC),$108.00 ,
194028153,SICKLE CELL PREP (UMC),$126.00 ,
194028154,SODIUM RANDOM URINE (UMC),$102.00 ,
194028155,STOOL FOR POLYS (UMC),$117.00 ,
194028156,TEGRETOL (UMC),$212.00 ,
194028158,TOTAL PROTEIN (UMC),$80.00 ,
194028159,TOTAL PROTEIN CSF (UMC),$113.00 ,
194028160,TROPONIN I (UMC),$194.00 ,
194028161,TSH (UMC),$270.00 ,
194028162,URIC ACID (UMC),$136.00 ,
194028163,URINALYSIS AUTO W OUT MICRO UMC,$44.00 ,
194028164,URINALYSIS MICRO ONLY (UMC),$202.00 ,
194028165,URINE POTASSIUM (UMC),$91.00 ,
194028166,URINE REDUCING SUBSTANCE (UMC),$43.00 ,
194028167,VALPROIC ACID (UMC),$250.00 ,
194028168,LEAD BLOOD (UMC),$158.00 ,
194028169,CK ISOENZYMES (UMC),$126.00 ,
194028170,COCAINE CONFIRMATION (UMC),$173.00 ,
194028172,EPSTEIN BARR ANTIBODY PANEL (UMC),$162.00 ,
194028173,ISOPROPANOL (UMC),$153.00 ,
194028174,LYME DISEASE AB PANEL (UMC),$244.00 ,
194028175,MARIJUANA CONFIRMATION (UMC),$173.00 ,
194028176,METHADONE CONFIRMATION (UMC),$231.00 ,
194028177,METHADONE SCREEN (UMC),$258.00 ,
194028178,METHANOL (UMC),$197.00 ,
194028179,OPIATES CONFIRMATION (UMC),$115.00 ,
194028180,OXCARBAZEPINE (UMC),$310.00 ,
194028181,PCP CONFIRMATION (UMC),$136.00 ,
194028182,SERUM DRUG SCREEN (UMC),$349.00 ,
194028183,STREPTOLYSIN O TITER (UMC),$39.00 ,
194028184,CHLAMYDIA T AMPL NA PROBE (UMC),$74.00 ,
194028185,NEISSERIA AMPL NA PROBE (UMC),$460.00 ,
194028186,PHENOTHIAZINE SCREEN (UMC),$258.00 ,
194028187,HIV 1 AND 2 AB SINGLE (UMC),$43.00 ,
194028188,HGB FRACT AND QUANT (UMC),$283.00 ,
194028189,STREP B ANTIGEN DETECTION (UMC),$148.00 ,
194028190,"FTA ABS, TREPONEMA PALLIDUM (UMC)",$226.00 ,
194028191,UMC CPK TOTAL,$121.00 ,
194028192,UMC HGB ELECTROPHERESIS OTHER,$393.00 ,
194028193,UMC RPR TITER NON TREP QUANT,$118.00 ,
194028194,UMC EBV ANTIBODY EBNA,$162.00 ,
194028195,UMC EBV ANTIBODY VCA,$30.00 ,
194028196,GLYCOSYLATED HEMOGLOBIN (UMC),$161.00 ,
194028197,HCG QUANTITATIVE (UMC),$230.00 ,
194028198,CK MB (UMC),$236.00 ,
194028200,ENTEROVIRUS PCR (UMC),$637.00 ,
194028201,HIV WESTERN BLOT (UMC),$97.00 ,
194028202,HIV1 RNA PCR QNT NA PROBE (UMC),$131.00 ,
194028203,CD4 LYMPHOCYTE COUNT (UMC),$190.00 ,
194028204,CLOSTRIDIUM AG EIA (UMC),$156.00 ,
194028205,NATRIURETIC PEPTIDE,$182.00 ,
194028206,RENAL FUNCTION PANEL (UMC),$295.00 ,
194028207,DRUG SCREEN URINE QUAL (UMC),$559.00 ,
194028208,G6PD QUANT (UMC),$112.00 ,
194028209,PLEURAL FLUID ANALYSIS (UMC),$166.00 ,
194028210,PERICARDIAL FLUID ANAL (UMC),$166.00 ,
194028211,PERITONEAL FLUID ANAL (UMC),$166.00 ,
194028212,SYNOVIAL FLUID ANAL (UMC),$166.00 ,
194028213,C.TRACHOMATIS RNA TMA (UMC),$208.00 ,
194028250,UMC MIC SUSCEPTIBILITY (MICGN24),$171.00 ,
194028251,UMC MIC SUSCEPTIBILITY (MICGP67),$171.00 ,
194028252,UMC SENSITIVITY DISK-PLT (KB BS),$122.00 ,
194028253,UMC SENSITIVITY DISK-PLT (KB EB),$122.00 ,
194028254,UMC SENSITIVITY DISK-PLT (KB EN),$122.00 ,
194028255,UMC SENSITIVITY DISK-PLT(KB HAE),$122.00 ,
194028256,UMC SENSITIVITY DISK-PLT (KB MRSA,$122.00 ,
194028257,UMC SENSITIVITY DISK-PLT (KB PA),$122.00 ,
194028258,UMC SENSITIVITY DISK PLT (KB SA),$122.00 ,
194028259,UMC SENSITIVITY DISK-PLT (KB SM),$122.00 ,
194028260,UMC SENSITIVITY DISK PLT (KB SP),$122.00 ,
194028261,UMC SENSITIVITY DISK-PLT (KB SS),$122.00 ,
194028262,UMC SENSITIVITY DISK PLT (KB VRE),$122.00 ,
194028263,UMC SENSITIVITY DISK PLT(KB VS),$122.00 ,
194028265,UMC BACTERIAL ID,$101.00 ,
142000283,MICROALBUMIN URINE QNT (RR0037),$154.00 ,
142000284,CREATININE NOT BLOOD (RR0037),$110.00 ,
142000029,GLUCOSE BODY FLUID NOT BLOOD,$74.00 ,
142000296,ADDITIONAL GLUCOSE TOLERANCE TEST,$155.00 ,
142000003,ALBUMIN QNT OTH SOURCE (FLUID),$100.00 ,
142000030,"LDH, FLUID",$102.00 ,
153030005,BLOOD TYPE ANTIGEN DONOR EA,$206.00 ,
154030006,AUTOLOGOUS BLOOD PROCESSING,$764.00 ,
153030014,BLOOD TYPE,$59.00 ,
153030015,RH BLOOD TYPE,$56.00 ,
153030016,RH PHENOTYPING,$424.00 ,
154030017,HARVEST AUTO STEM CELLS,"$4,773.00 ",
153030018,BLD TYPE RBC AG NOT ABO RHD,$112.00 ,
153030020,COLD AGGLUTININ TITER,$96.00 ,
153030021,BLD TYPE RBC AG NOT ABO RHD,$106.00 ,
153030025,CMV NEGATIVE UNIT,$179.00 ,
153030031,DAT - C3,$132.00 ,
153030032,DAT - IGG,$132.00 ,
153030033,DAT - POLYSPECIFIC,$132.00 ,
154030035,DIRECTED DONATION PROCESS,$264.00 ,
153030040,ANTIBODY ELUTION,$467.00 ,
153030050,HEMODILUTION BAG,$113.00 ,
153030051,STERILE CONNECT CHARGE,$18.00 ,
153030052,PEDI TRANSFER BAG CHARGE,$60.00 ,
153030060,COOMBS (INDIRECT),$179.00 ,
153030090,IRRADIATION OF UNIT,$156.00 ,
153030097,WASH CHARGE FOR OUTSIDE INSTITUT.,$166.00 ,
153030100,ISOAGGLUTININ TITER,$85.00 ,
153030120,SICKLE TEST ON UNIT,$138.00 ,
153030125,SPLITTING BLOOD PRODUCT,$94.00 ,
154030145,THERAPEUTIC WBC DEPLETION,"$4,144.00 ",
154030149,PHOTOPHERESIS EXTRACABORTED PROC,"$2,369.00 ",
153030170,TRANSFUSION REACTION,$57.00 ,
153030400,"ANTIHM VIII VFW,1,06851646111",$2.50 ,
153030402,"ANTIHM VIII,VFW,10,06851646111",$25.00 ,
153030404,"ANTIHM VIII VFW,100,06851646111",$250.00 ,
153030406,"ANTIHM VIII VFW,1,06851646121",$2.50 ,
153030408,"ANTIHM VIII VFW,10,06851646121",$25.00 ,
153030410,"ANTIHM VIII VFW,100,06851646121",$250.00 ,
153030412,"ANTIHM VIII VFW,1,06851646132",$2.50 ,
153030414,"ANTIIHM VIII VFW,10,06851646132",$25.00 ,
153030416,"ANTIHM VIII VFW,100,06851646132",$250.00 ,
153030418,"ANTIHM VIII VFW,1000,06851646132","$2,500.00 ",
153030420,"ANTIHM VIII VFW,1,06851646142",$2.50 ,
153030422,"ANTIHM VIII VFW,10,06851646142",$25.00 ,
153030424,"ANTIHM VIII VFW,100,06851646142",$250.00 ,
153030426,"ANTIHM VIII VFW,1000,06851646142","$2,500.00 ",
153030430,FACTOR IX REC 1-NDC 05839463303,$3.50 ,
153030431,FACTOR IX REC 10-NDC 05839463303,$35.00 ,
153030432,FACTOR IX REC 100-NDC 05839463303,$350.00 ,
153030434,FACTOR IX REC 1-NDC 05839463403,$3.50 ,
153030435,FACTOR IX REC 10-NDC 05839463403,$35.00 ,
153030436,FACTOR IX REC 100-NDC 05839463403,$350.00 ,
153030438,FACTOR IX REC 1-NDC 05839463503,$3.50 ,
153030439,FACTOR IX REC 10-NDC 05839463503,$35.00 ,
153030440,FACTOR IX REC 100-NDC 05839463503,$350.00 ,
153030441,FACTOR IX REC1000-NDC 05839463503,"$3,500.00 ",
153030443,FACTOR IX REC 1-NDC 05839463603,$3.50 ,
153030444,FACTOR IX REC 10-NDC 05839463603,$35.00 ,
153030445,FACTOR IX REC 100-NDC 05839463603,$350.00 ,
153030446,FACTOR IX REC1000-NDC 05839463603,"$3,500.00 ",
153030448,XYNTHA INJ L1-05839401201,$2.75 ,
153030449,XYNTHA INJ L10-05839401201,$27.50 ,
153030450,XYNTHA INJ L100-05839401201,$275.00 ,
153030452,XYNTHA INJ M1-05839401301,$2.75 ,
153030453,XYNTHA INJ M10-05839401301,$27.50 ,
153030454,XYNTHA INJ M100-05839401301,$275.00 ,
153030456,XYNTHA INJ H1-05839401401,$2.75 ,
153030457,XYNTHA INJ H10-05839401401,$27.50 ,
153030458,XYNTHA INJ H100-05839401401,$275.00 ,
153030459,XYNTHA INJ H1000-05839401401,"$2,750.00 ",
153030461,XYNTHA INJ S1-05839401501,$2.75 ,
153030462,XYNTHA INJ S10-05839401501,$27.50 ,
153030463,XYNTHA INJ S100-05839401501,$275.00 ,
153030464,XYNTHA INJ S1000-05839401501,"$2,750.00 ",
153030468,"FACTOR VIIA,1MG,NDC 00169720101","$5,670.00 ",
153030469,"FACTOR VIIA,2MG,NDC 00169720201","$11,340.00 ",
153030470,"FACTOR VIIA,5MG,NDC 00169720501","$28,350.00 ",
153030472,"HUMATE P,M1 -NDC 06383361502",$2.75 ,
153030473,"HUMATE P, M10 -NDC 06383361502",$27.50 ,
153030474,"HUMATE P,M100 -NDC 06383361502",$275.00 ,
153030476,"HUMATE P,H1 -NDC 06383361602",$2.75 ,
153030477,"HUMATE P, H10 -NDC 06383361602",$27.50 ,
153030478,"HUMATE P, H100 -NDC 06383361602",$275.00 ,
153030479,"HUMATE P,H1000 -NDC 06383361602","$2,750.00 ",
153030481,"HUMATE P, S1 -NDC 06383361702",$2.75 ,
153030482,"HUMATE P, S10 -NDC 06383361702",$27.50 ,
153030483,"HUMATE P,S100 -NDC 06383361702",$275.00 ,
153030484,"HUMATE P,S1000 -NDC 06383361702","$2,750.00 ",
153030486,"ANTI-INHB,M1,06419342606",$5.00 ,
153030487,"ANTI-INHB,M10,06419342602",$50.00 ,
153030488,"ANTI-INHB,M100,06419342602",$500.00 ,
153030490,"ANTI-INHIB,H1-NDC 06419342402",$5.00 ,
153030491,"ANTI-INHIB,H10-NDC 06419342402",$50.00 ,
153030492,"ANTI-INHIB,H100-NDC 06419342402",$500.00 ,
153030493,"ANTI-INHIB,H1000-NDC 06419342402","$5,000.00 ",
153030495,"ANTI-INHIB,S1-NDC 06419342502",$5.00 ,
153030496,"ANTI-INHIB,S10-NDC 06419342502",$50.00 ,
153030497,"ANTI-INHIB,S100-NDC 06419342502",$500.00 ,
153030498,"ANTI-INHIB,S1000-NDC 06419342502","$5,000.00 ",
153030501,PROTEIN C CONC M1-00944417705,$4.50 ,
153030502,PROTEIN C CONC M10-00944417705,$45.00 ,
153030503,PROTEIN C CONC M100-00944417705,$450.00 ,
153030505,PROTEIN C CONC H1-00944417910,$4.50 ,
153030506,PROTEIN C CONC H10-00944417910,$45.00 ,
153030507,PROTEIN C CONC H100-0094417910,$450.00 ,
153030508,PROTEIN C CONC H1000-00944417910,"$4,500.00 ",
153030510,FACT VIII HUMAN ML1-00944394002,$2.75 ,
153030511,FACT VIII HUMAN ML10-00944394002,$27.50 ,
153030512,FACT VIII HUM ML100-00944394002,$275.00 ,
153030514,FACT VIII HUMAN MM1-00944394202,$2.75 ,
153030515,FACT VIII HUMAN MM10-00944394202,$27.50 ,
153030516,FACT VIII HUMAN MM100-00944394202,$275.00 ,
153030518,FACT VIII HUMAN MH1-00944394402,$2.75 ,
153030520,FACT VIII HUM MH1-00944394402,$27.50 ,
153030521,FACT VIII HUMAN MH100-00944394402,$275.00 ,
153030522,FACT VIII HUM MH1000-00944394402,"$2,750.00 ",
153030523,FACT VIII HUM MS1-00944394602,$2.75 ,
153030524,FACT VIII HUM MS10-00944394602,$27.50 ,
153030525,FACT VIII HUM MS100-00944394602,$275.00 ,
153030526,FACT VIII HUM MS1000-00944394602,"$2,750.00 ",
153030528,FAC VIII REC NOS L1-00944305102,$3.50 ,
153030529,FAC VIII REC NOS L10-00944305102,$35.00 ,
153030530,FAC VIII REC NOS L100-00944305102,$350.00 ,
153030532,FAC VIII REC NOS M1-00944305202,$3.50 ,
153030533,FAC VIII REC NOS M10-00944305202,$35.00 ,
153030534,FAC VIII REC NOS M100-00944305202,$350.00 ,
153030536,FAC VIII REC NOS H1-00944305302,$3.50 ,
153030537,FAC VIII REC NOS H10-00944305302,$35.00 ,
153030538,FAC VIII REC NOS H100-00944305302,$350.00 ,
153030539,FAC VIII RECNOS H1000-00944305302,"$3,500.00 ",
153030541,FAC VIII REC NOS E1-00944305402,$3.50 ,
153030542,FAC VIII REC NOS E10-00944305402,$35.00 ,
153030543,FAC VIII REC NOS E100-00944305402,$350.00 ,
153030544,FAC VIII RECNOS E1000-00944305402,"$3,500.00 ",
153030546,FAC VIII REC NOS S1-00944304510,$3.50 ,
153030547,FAC VIII REC NOS S10-00944304510,$35.00 ,
153030548,FAC VIII REC NOS S100-00944304510,$350.00 ,
153030549,FAC VIII RECNOS S1000-00944304510,"$3,500.00 ",
153030551,FAC VIII REC NOS X1-00944304610,$3.50 ,
153030552,FAC VIII REC NOS X10-00944304610,$35.00 ,
153030553,FAC VIII REC NOS X100-00944304610,$350.00 ,
153030554,FAC VIII RECNOS X1000-00944304610,"$3,500.00 ",
153030558,"WILATE M,INJ 1-NDC 06898218201",$2.50 ,
153030559,"WILATE M, INJ10-NDC 06898218201",$25.00 ,
153030560,"WILATE M,INJ100 - NDC 06898218201",$250.00 ,
153030563,"WILATE H,INJ 1-NDC 06898218202",$2.50 ,
153030564,"WILATE H,INJ10-NDC 06898218202",$25.00 ,
153030565,"WILATE H,INJ100-NDC 06898218202",$250.00 ,
153030566,"WILATE H,IN 1000-NDC 06898218202","$2,500.00 ",
153030567,"ANTITHROM RECOM,1-NDC04297612101",$8.50 ,
153030568,"ANTITHROM RECOM,10-NDC04297612101",$85.00 ,
153030569,"ANTITHROM REC,100-NDC04297612101",$850.00 ,
153030570,"ANTITHROM RECOM,1-NDC04297612102",$8.50 ,
153030571,"ANTITHROM RECOM,10-NDC04297612102",$85.00 ,
153030572,"ANTITHROM REC,100-NDC04297612102",$850.00 ,
153030573,"ANTITHROM REC,1000-NDC04297612102","$8,500.00 ",
153030574,"F VIII REC NOS,1-NDC00944284110",$3.50 ,
153030575,"F VIII REC NOS,10-NDC00944284110",$35.00 ,
153030576,"F VIII REC NOS,100-NDC00944284110",$350.00 ,
153030577,"F VIII REC NOS,1-NDC00944284210",$3.50 ,
153030578,"F VIII REC NOS,10-NDC00944284210",$35.00 ,
