Charge description, Average charge/unit , Average self-pay charge/unit (30% discount) 
BIO 141652 REV SPLINED STEM W/SCR," $4,416.00 "," $3,091.20 "
BIO 141656 REV SPLINED STEM W/SCR," $4,604.50 "," $3,223.15 "
BIO 148316 REV SPLINED V2 STEM," $5,098.00 "," $3,568.60 "
BIO 150352 REV RESURF FEM COMP," $18,604.00 "," $13,022.80 "
BIO 150357 REV OSS SEG ELLIPT FEM," $22,573.00 "," $15,801.10 "
BIO 150366 REV BOWED IM STEM W/SC," $5,422.00 "," $3,795.40 "
BIO 150410 REV OSS TIB POLY BEAR," $3,393.00 "," $2,375.10 "
BIO 150457 PROX FEMORAL," $20,732.00 "," $14,512.40 "
BIO 150476 REV OSS POLY TIB BUSHG, $90.00 , $63.00 
BIO 150476 REV OSS POLY TIB BUSHG, $977.00 , $683.90 
BIO 150477 REV OSS POLY FEM BUSHG," $1,363.00 ", $954.10 
BIO 150480 REVISIION OSS AXLE, $90.00 , $63.00 
BIO 150480 REVISIION OSS AXLE," $1,474.00 "," $1,031.80 "
BIO 150493 REV OSS REINFORCD YOKE," $1,843.00 "," $1,290.10 "
BIO 150493 REV OSS REINFORCD YOKE," $3,171.00 "," $2,219.70 "
BIO 163665 REV MOD HEAD," $2,966.00 "," $2,076.20 "
BIO 179025 CONSTRAINED FEMUR," $3,020.00 "," $2,114.00 "
BIO 179322 LIPPED BEARING," $13,843.00 "," $9,690.10 "
BIO 183130 REV PS OPEN BOX FEM," $11,647.00 "," $8,152.90 "
BIO 183740 REV TIB BEAR INSERT, $295.00 , $206.50 
BIO 183740 REV TIB BEAR INSERT," $4,655.00 "," $3,258.50 "
BIO 183740 REV WASTED TIB BEARING," $3,385.00 "," $2,369.50 "
BIO 183746 REV PS+TIB BEARING DCM," $4,655.00 "," $3,258.50 "
BIO 183864 REV CONSTR PS TIB BEAR, $449.00 , $314.30 
BIO 183864 REV CONSTR PS TIB BEAR," $6,489.50 "," $4,542.65 "
BIO 183866 REV DCM TIB BEARING," $5,736.67 "," $4,015.67 "
BIO 183868 REV CONSTR DCM TIB BRG," $6,207.00 "," $4,344.90 "
BIO 1841XX REV POST FEM AUG W/BLT," $2,848.00 "," $1,993.60 "
BIO 1841XX REV POST FEM AUG W/BLT," $3,461.00 "," $2,422.70 "
BIO 184704 REV STANDARD PATELLA," $2,366.25 "," $1,656.38 "
BIO 185202 REV TIB W/LCK BAR-SCRW," $7,464.40 "," $5,225.08 "
BIO 185211 REV OFFSET ADAP EXPLAN," $1,943.00 "," $1,360.10 "
BIO 185211 REV OFFSET ADAP W/SCRW," $2,672.00 "," $1,870.40 "
BIO 185235 REV TIB AUG W/BOLTS," $3,222.00 "," $2,255.40 "
BIO 185262 REV FEM W/SCREW, $373.00 , $261.10 
BIO 185262 REV FEM W/SCREW," $17,499.63 "," $12,249.74 "
BIO 185264 REV FEM W/SCR EXPLANT," $13,794.00 "," $9,655.80 "
BIO 185264 VANGUARD KNEE FEM SCRW," $3,537.00 "," $2,475.90 "
BIO 185344 REV PST AUG W/BLT EXPL," $2,720.00 "," $1,904.00 "
BIO 1853XX REV POST AUG W/BOLT," $3,539.75 "," $2,477.83 "
BIO 185XXX REV DIST FEM AUG W/BOL, $320.00 , $224.00 
BIO 185XXX REV DIST FEM AUG W/BOL," $3,671.00 "," $2,569.70 "
BIO 192114 REV LAT FEM STEM," $13,841.00 "," $9,688.70 "
BIO 193014 REV STAND FEM STEM," $14,686.00 "," $10,280.20 "
BIO 35.23.014 NORMED 2.3 SCREW, $811.00 , $567.70 
BIO 432165 STAGE 1 FEM MOLD SPACR," $8,436.00 "," $5,905.20 "
BIO 433175 STAGE 1 TIB MOLD SPACR," $4,387.00 "," $3,070.90 "
BIO 650-1057 REV OPT CERAMIC HEAD," $6,512.08 "," $4,558.46 "
BIO 650-1064 REV TAPER ADAPTER, $680.76 , $476.54 
BIO 6570-0-036 WASTED FEM HEAD," $3,554.00 "," $2,487.80 "
BIO 8161-35-032 LOCK SCRW 3.5, $307.00 , $214.90 
BIO 8240-76-002 LAPIDUS PLATE," $2,776.00 "," $1,943.20 "
BIO 907 325 BONE MULCH SCREW," $3,129.00 "," $2,190.30 "
BIO 912029 JUGGERKNOT ANCHOR 2.9, $119.00 , $83.30 
BIO 912029 JUGGERKNOT ANCHOR 2.9, $946.00 , $662.20 
BIO 912031 JUGGERKNOT ANCH SINGLE, $800.00 , $560.00 
BIO CAP HEMI ARTHROPLASTY," $7,125.00 "," $4,987.50 "
BIO CAP TOT HIP ACE LINER HI WALL," $1,005.00 ", $703.50 
BIO CAP TOT HIP W/ONE REV HEAD," $4,635.00 "," $3,244.50 "
BIO CAP TOT HIP W/ONE REV HEAD," $12,825.00 "," $8,977.50 "
BIO CAP TOT HIP W/REV CUP," $11,115.00 "," $7,780.50 "
BIO CAP TOT KNEE WASTED TIB BEAR," $3,385.00 "," $2,369.50 "
BIO CAP TOTAL HIPS," $13,000.00 "," $9,100.00 "
BIO CAP UNI KNEE," $7,125.00 "," $4,987.50 "
BIO CAP VITAMIN E POLY UPCHARGE," $1,005.00 ", $703.50 
BIO CAPITATED TOTAL KNEES," $12,113.00 "," $8,479.10 "
BIO CM-9145SP QUATTRO ANCHOR," $1,129.00 ", $790.30 
BIO CP113124 REV METAL FEM W/SCRW," $20,120.00 "," $14,084.00 "
BIO EP-105914 REV WASTED LINER, $432.00 , $302.40 
BIO REV ACE SHELL," $9,922.00 "," $6,945.40 "
BIO REV CERMAMIC HEAD," $5,721.00 "," $4,004.70 "
BIO REV MODULAR HEAD," $9,194.00 "," $6,435.80 "
BIO REV SHELL," $9,922.00 "," $6,945.40 "
BIO REV TOT HIP COMP MOD HEAD," $4,501.00 "," $3,150.70 "
BIO REV TOT KNEE NO PATELLA," $7,695.00 "," $5,386.50 "
BIO REVISION CUP ONLY," $11,115.00 "," $7,780.50 "
BIO TKA W REV TIB BEAR INSERT, $295.00 , $206.50 
BIO TKA W REV TIB BEAR INSERT," $8,693.00 "," $6,085.10 "
"BIO TOT HIP REV HEAD,SHELL,LINER"," $7,125.00 "," $4,987.50 "
BIO TOT HIP W/REV HEAD & CUP," $9,690.00 "," $6,783.00 "
BIO VIT E POLY LINER UPCHARGE," $1,005.00 ", $703.50 
BIO WASTED SHELL," $4,365.00 "," $3,055.50 "
BIO XL-105995 REV ACE LINER, $347.00 , $242.90 
BIO XL-105995 REV ACE LINER," $4,535.00 "," $3,174.50 "
BIO XL-200150 REV BEARING," $3,100.00 "," $2,170.00 "
BIOMET 4.5 LINK ANCHOR CM-9155," $1,106.00 ", $774.20 
BIOMET 5X10MM BOLT SCR CM-9505," $1,156.00 ", $809.20 
BIOMET JUG KNOT ANC 1.5MM 912031," $1,256.00 ", $879.20 
BIOMET TOGGLELOC 2.9MM," $2,144.00 "," $1,500.80 "
BIOPTY BX INST., $155.00 , $108.50 
BIOPTY BX INST.," $1,408.00 ", $985.60 
BLA 55 2050 ROD, $326.00 , $228.20 
BLA 55 2050 ROD," $1,938.00 "," $1,356.60 "
BLA 55 2114 ROD 140MM," $9,597.00 "," $6,717.90 "
BLA 55 5365 CROSS CONNECTOR," $2,703.00 "," $1,892.10 "
BLA 60 6240 CERVICAL PLATE, $265.00 , $185.50 
BLA 60 6240 CERVICAL PLATE," $3,227.00 "," $2,258.90 "
BLA 65 3314 14MM SCREW," $24,015.00 "," $16,810.50 "
BLOOD PUMP SET," $6,062.00 "," $4,243.40 "
BONE HARVESTER," $3,486.00 "," $2,440.20 "
BONECHIPS #68 1/OZ, $590.00 , $413.00 
BOS 38046-70375 ILI/BILI STENT," $2,764.00 "," $1,934.80 "
BOS 7065 WALLFLEX BILIARY," $5,115.00 "," $3,580.50 "
BOS 8208 G-TUBE REPLACEMENT 20FR, $97.00 , $67.90 
BOS H965403310 WALLSTENT 16X40X75," $2,816.00 "," $1,971.20 "
BOS H965403320 WALLSTENT," $2,814.00 "," $1,969.80 "
BOS H965404110 WALLSTENT 18X40X75," $3,130.00 "," $2,191.00 "
BOS H965404120 WALLSTENT," $3,129.00 "," $2,190.30 "
BOS H96540XXXX WALLSTENT XXX90X75," $4,422.00 "," $3,095.40 "
BOS M00202019575P0 HEMASHIELD, $266.00 , $186.20 
BOS M00202175428P0 HEMASHEILD PLT," $1,410.00 ", $987.00 
BOS M00536920 STENT PANCREATIC, $270.00 , $189.00 
BOS SC-5500-2 PROGRAMMER KIT," $4,483.00 "," $3,138.10 "
BOSCCI SPECTRA WR SC-1160," $46,280.00 "," $32,396.00 "
BOSSCI REMOTE CONT SC-5562-1," $3,015.00 "," $2,110.50 "
BRACHYTHERAPY NONSTRANDED YTTRIUM," $43,463.00 "," $30,424.10 "
BREAST EXPANDER 550CC 2," $4,404.00 "," $3,082.80 "
BUTTON PEC REPAIR," $1,015.00 ", $710.50 
CARDIAC EVENT RECORDER, $408.00 , $285.60 
CARDIOVERTER-DEFIB GENERATOR," $56,074.00 "," $39,251.80 "
CASCI CLEAR-TRAC CANNULA," $1,722.00 "," $1,205.40 "
"CASCI LASER, INST,SPEC,SUCT,EVAC"," $3,556.00 "," $2,489.20 "
CAT 056116 RED ROBINSON, $14.00 , $9.80 
CAT 056116 RED ROBINSON," $44,720.00 "," $31,304.00 "
CAT 100819X-XX ABB VIATRAC 14 PLS, $670.00 , $469.00 
CAT 10632301 OMNI FLUSH, $419.00 , $293.30 
CAT 31-478 BOSTON SCI TORCON, $94.00 , $65.80 
CAT 31-XXX SELECT BERN IMAGER, $32.00 , $22.40 
CAT 31-XXX SELECT BERN IMAGER, $469.00 , $328.30 
CAT 392XX-XX RUBICON SUPPORT, $68.00 , $47.60 
CAT 392XX-XX RUBICON SUPPORT, $452.00 , $316.40 
CAT 41060-01 EV3 INFUSION CATH, $160.92 , $112.65 
CAT 4FR MERIT BERN IMPRESS 46535, $40.00 , $28.00 
CAT 500-55XXX CATHETER MACH4 EKOS, $307.58 , $215.31 
CAT 500-55XXX CATHETER MACH4 EKOS," $9,106.00 "," $6,374.20 "
CAT 518-083/093 SPECTRANETICS, $187.00 , $130.90 
CAT 7718-CO 4F BERN I PERFORMA, $40.00 , $28.00 
CAT 86700 VOLCANO VISIONS PV.018," $2,328.00 "," $1,629.60 "
CAT 8887660184 COV RED RUBBER, $3.60 , $2.52 
CAT 8888145057 PALINDROME SILVER," $2,332.00 "," $1,632.40 "
CAT 88901 VOLCANO VISION PV 0.035," $3,317.00 "," $2,321.90 "
CAT BARD PORT CATHETER," $6,679.00 "," $4,675.30 "
CAT BOS 109676-001 ANGIOJET," $4,356.00 "," $3,049.20 "
CAT CG41X TERUMO GLIDECATH, $198.00 , $138.60 
CAT G1379X COOK VANSCHIE 3-5, $299.00 , $209.30 
CAT G23733 CATHETER BALLOON CODA," $1,484.00 "," $1,038.80 "
CAT G2699X NESTER," $1,173.00 ", $821.10 
CAT NC35XXX TERUMO NAVICROSS, $115.00 , $80.50 
CAT NC35XXX TERUMO NAVICROSS, $764.00 , $534.80 
CATH SAVI 6-MINI, $347.00 , $242.90 
CATH SAVI 6-MINI," $9,253.00 "," $6,477.10 "
CATHETER GUIDING, $365.00 , $255.50 
"CATHETER,COUDE 2W 5CC 20FR", $297.00 , $207.90 
"CATHETER,COUNCIL 2W 5CC 22FR"," $3,522.00 "," $2,465.40 "
"CATHETER,ROBINSON 14FR", $449.00 , $314.30 
"CATHETER,ROBINSON 14FR"," $2,303.00 "," $1,612.10 "
"CATHETER,ROBINSON 20FR"," $2,290.00 "," $1,603.00 "
"CAUTERY TIP, EXT. NEEDLE ELECTROD"," $5,221.00 "," $3,654.70 "
"CAUTERY TIP,NEEDLE #0067", $697.50 , $488.25 
"CAUTERY TIP,NEEDLE #0067"," $3,746.00 "," $2,622.20 "
CHIPS BONE 15CC (PCAN15), $497.00 , $347.90 
CHIPS BONE 15CC (PCAN15), $559.00 , $391.30 
CHIPS BONE 30CC (PCAN30), $995.00 , $696.50 
CHRONOS 100X25X3," $4,898.00 "," $3,428.60 "
CHRONOS 47X18X3MM," $3,829.00 "," $2,680.30 "
CIRCON ROLLER," $3,459.00 "," $2,421.30 "
CLIPS HULKA," $3,372.00 "," $2,360.40 "
COMPONENT PATELLA 38MM OVAL," $7,810.00 "," $5,467.00 "
COMPONENT TROCHLEAR MED/RT," $12,219.00 "," $8,553.30 "
CON ESS305," $9,597.00 "," $6,717.90 "
CONCEPT BURR," $2,862.00 "," $2,003.40 "
CONCEPT ELECTRODE, $920.00 , $644.00 
COO AX1-2-28-113 GRAFT," $16,936.00 "," $11,855.20 "
COO G18070 STENT PERCUFLEX UR DIV, $324.00 , $226.80 
COO G21541 BILIARY STENT, $419.00 , $293.30 
COO G21545 BILIARY STENT, $330.00 , $231.00 
COO G21545 STENT BILIARY, $335.00 , $234.50 
COO MWCE-35-20-8 NESTER COIL, $693.00 , $485.10 
COO MWCE-35-8/4 TORNADO COIL, $533.00 , $373.10 
COO MWCER-35-14-8 RETRACTA COIL," $2,583.00 "," $1,808.10 "
COO TFFB-26-96-ZT GRAFT MAIN BODY," $21,351.00 "," $14,945.70 "
COO TFFB-36-95-ZT MAIN BODY," $21,351.00 "," $14,945.70 "
COO TFFB-XX-XX-ZT ALL MAIN BODY," $21,411.62 "," $14,988.13 "
COO ZFEN-D-12-28-76-C LEGS," $10,568.00 "," $7,397.60 "
COO ZFEN-P-2-36-137-R MAIN BODY," $3,086.67 "," $2,160.67 "
COO ZFEN-P-2-36-137-R MAIN BODY," $28,600.00 "," $20,020.00 "
COO ZSLE-13-74ZT LEG GRAFT," $8,539.00 "," $5,977.30 "
COO ZSLE-16-74-ZT ILIAC LEG EXTEN," $8,539.00 "," $5,977.30 "
COO ZSLE-20-56-ZT GRAFT," $8,539.00 "," $5,977.30 "
COO ZSLE-XX-XX-ZT ALL EXTENSIONS, $419.00 , $293.30 
COO ZSLE-XX-XX-ZT ALL EXTENSIONS," $8,539.00 "," $5,977.30 "
COO ZTA-P-42-121-W THORACIC STENT, $737.00 , $515.90 
COO ZTA-P-42-121-W THORACIC STENT," $40,300.00 "," $28,210.00 "
COO ZTA-PT-XX-XX-XXX-W PROX THOR," $41,509.00 "," $29,056.30 "
COTTONOID," $2,953.00 "," $2,067.10 "
COV LGP1510 PROGRIP MESH," $1,233.00 ", $863.10 
COV LPG1510AL SELF-FIXATING MESH," $1,444.00 "," $1,010.80 "
COV LPG1612 PROGRIP MESH," $1,380.00 ", $966.00 
COV SYM9 SYMBOTEX, $901.00 , $630.70 
COV TEM1515G PROGRIP," $1,327.00 ", $928.90 
COVER MAYO STAND," $4,443.00 "," $3,110.10 "
COVERED STENT W/DELIVERY, $184.00 , $128.80 
CROSSOVER SPINE 1894-01-407," $2,931.00 "," $2,051.70 "
CRY BG3502-5-US BIOGLUE," $1,940.00 "," $1,358.00 "
CRY BG3515-5-US BIOGLUE," $2,707.00 "," $1,894.90 "
DCI 06100019 FROZEN TENDON," $3,305.00 "," $2,313.50 "
DCI 06300701 CANCELLS CUBES 30CC, $161.00 , $112.70 
DCI 06300701 CANCELLS CUBES 30CC," $2,023.00 "," $1,416.10 "
DCI 07804203-TIBIALIS TENDON ANT," $2,992.50 "," $2,094.75 "
DCI 09600019 PERONEOUS TENDON FRZ," $2,846.00 "," $1,992.20 "
DCI BONE CHIPS CANCELLOUS 30CC, $185.00 , $129.50 
DCI BONE CHIPS CANCELLOUS 30CC," $6,310.00 "," $4,417.00 "
DCI CANCELLOUS 1-4MM90CC LYOSTER," $3,504.00 "," $2,452.80 "
DCI CANCELLOUS CUBES 15CC," $1,233.00 ", $863.10 
DCI PERONEUS TEND FRZN 030743862," $2,420.00 "," $1,694.00 "
DEMNATOME PADGETT," $1,035.00 ", $724.50 
DEMNATOME PADGETT," $1,555.33 "," $1,088.73 "
DEP 04.613.516 VECTRA SCREW, $754.00 , $527.80 
DEP 1012-01-088 HIP STEM, $372.00 , $260.40 
DEP 1218-36-660 REV ACE LINER," $12,675.00 "," $8,872.50 "
DEP 1307-60-038 ECC GLENOSPHERE," $1,292.00 ", $904.40 
DEP 1365-12-500 REV FEMORAL HEAD, $838.00 , $586.60 
DEP 1365-12-500 REV FEMORAL HEAD," $2,124.00 "," $1,486.80 "
DEP 1365-21-000 REV FEM HEAD," $2,555.00 "," $1,788.50 "
DEP 1797 02 000 SET SCREW, $503.00 , $352.10 
DEP 1797-32-650 EXPEDIUM SCREW, $330.00 , $231.00 
DEP 1797-32-650 EXPEDIUM SCREW," $3,100.00 "," $2,170.00 "
DEP 1836-12-030 2 LEVEL PLATE," $1,253.00 ", $877.10 
DEP 1861-12-025 EXP. SCREW," $6,669.00 "," $4,668.30 "
DEP 1868-02-032 SKYLINE PLATE," $3,937.00 "," $2,755.90 "
DEP 1868-52-014 VAST SCREWS 14MM, $754.00 , $527.80 
DEP 1873 01 106 BENGEL IMPLANT, $81.25 , $56.88 
DEP 1873 01 106 BENGEL IMPLANT," $3,875.00 "," $2,712.50 "
DEP 1881-02-640 EXP MONO SCREW," $2,005.00 "," $1,403.50 "
DEP 1883 18 314 FA SCREW 3.5," $3,100.00 "," $2,170.00 "
DEP 1883 42 200 POLY SCREW, $503.00 , $352.10 
DEP 1883-41-021 CROSSLINK," $2,178.00 "," $1,524.60 "
DEP 1883-41-100 OUTER SCREW, $503.00 , $352.10 
DEP 1883-41-200 INNER SCREW," $4,184.00 "," $2,928.80 "
DEP 1894-01-303 A3 SFX," $2,178.00 "," $1,524.60 "
DEP 1894-01-405 SFX A5, $561.00 , $392.70 
DEP 1894-01-405 SFX A5," $2,178.00 "," $1,524.60 "
DEP 1894-01-406 SFX A6," $2,178.00 "," $1,524.60 "
DEP 1894-07-232 EXP. CROSSLINK," $9,960.00 "," $6,972.00 "
DEP 2761 01 015 CONDUIT TCP 15CC," $13,843.00 "," $9,690.10 "
DEP 401.136.99 TITANIUM SCREW, $503.00 , $352.10 
DEP 443.182 TIT LAMINOPLSTY PLT," $2,831.00 "," $1,981.70 "
DEP 52-1504 S-ROM SCREW, $593.00 , $415.10 
DEP 52-2028 REV FEMORAL HEAD," $1,766.00 "," $1,236.20 "
DEP 52-2028 REV FEMORAL HEAD," $3,162.00 "," $2,213.40 "
DEP 87-3557 REV LINER," $7,343.00 "," $5,140.10 "
DEP FEM HEAD 522028, $297.00 , $207.90 
"DEP K-WIRE 28,35,45,54,62", $455.00 , $318.50 
"DEP SPI CONST ANT CERV P,S.COR L1"," $3,191.00 "," $2,233.70 "
DEP SPINE COMP CAGE CERVICAL," $3,100.00 "," $2,170.00 "
DILAMEG INSERT, $669.00 , $468.30 
DRESSING NUGAUZE PLAIN," $1,133.00 ", $793.10 
DUR 206320 INTEGRA DURASEAL 3ML," $2,700.00 "," $1,890.00 "
DUR 206520 DURASEAL," $3,345.00 "," $2,341.50 "
EDW 3000 PERICARDIAL VALVE," $17,387.18 "," $12,171.03 "
EDW 4450 ANNULOPLASTY RING," $7,258.46 "," $5,080.92 "
EDW 4900 MC3 ANNULOPLASTY SYS," $8,108.00 "," $5,675.60 "
EDW 6900P PERICARDIAL HEART VALVE," $15,447.71 "," $10,813.40 "
EDW DP1X6 DURAVESS BOVINE PATCH, $553.00 , $387.10 
ELASTOPLAST 3," $2,012.00 "," $1,408.40 "
ELECTRODE MITEK SIDE EFFECT, $432.00 , $302.40 
"ELECTRODE,VAPOR", $297.00 , $207.90 
ENDO CLIP II #176657," $2,953.00 "," $2,067.10 "
ENDO CLIP M00522610, $65.00 , $45.50 
ENDO GAUGE," $3,013.00 "," $2,109.10 "
ENSTRUM EDITH," $8,418.00 "," $5,892.60 "
ENT COMPLEX 1ST 30 MIN, $556.00 , $389.20 
ENT MAJOR 1ST 30 MIN," $3,155.00 "," $2,208.50 "
ENT MINOR 1ST 30 MIN," $3,976.00 "," $2,783.20 "
EP-200154 DUAL MOBILITY BEARING," $5,985.00 "," $4,189.50 "
ETH EVICEL 2ML, $995.00 , $696.50 
ETH STRAP25 FIXATION DEVICE," $1,977.00 "," $1,383.90 "
EV3 SERB65-14-60-80 PROTEGE GPS," $2,630.00 "," $1,841.00 "
EVERSHEARS II SCISSORS 3843," $1,637.00 "," $1,145.90 "
EXA SPK0222 LARGE KNEE SPACER," $8,987.00 "," $6,290.90 "
EXPANDER 475CC HI PROFILE," $5,814.00 "," $4,069.80 "
EXPANDER BREAST 605CC INSPIRA," $4,030.00 "," $2,821.00 "
EXPANDER BREAST 605CC INSPIRA," $44,720.00 "," $31,304.00 "
EXPANDER MOD HT EXT PRO 600CC, $733.00 , $513.10 
EXPANDER MOD HT EXT PRO 600CC," $3,860.00 "," $2,702.00 "
EXPANDER TISSUE 250CC (133MV-11-T," $4,805.00 "," $3,363.50 "
EXPANDER TISSUE 500CC," $4,805.00 "," $3,363.50 "
EXPANDER TISSUE 850CC W-TAB," $4,805.00 "," $3,363.50 "
EXPANDR BRST TISS TALL HT 350CC," $4,578.00 "," $3,204.60 "
EXTRA NURSE, $297.00 , $207.90 
FEMORAL SZ 6 RT OXINIUM," $13,897.00 "," $9,727.90 "
FEMR CRUCIATE RETAINING NRW LT S8," $24,233.00 "," $16,963.10 "
FEMUR CEMENTED NRW LT SZ 5," $24,233.00 "," $16,963.10 "
FEMUR CEMENTED NRW LT SZ 9," $4,650.00 "," $3,255.00 "
FEMUR CEMENTED NRW RT SZ 5," $24,233.00 "," $16,963.10 "
FEMUR CEMENTED ST RT SZ 8," $24,233.00 "," $16,963.10 "
FEMUR CEMENTED STD LEFT SZ 5, $299.00 , $209.30 
FEMUR CEMENTED STD LEFT SZ 5," $19,958.00 "," $13,970.60 "
FEMUR CEMENTED STD LT SZ 10," $24,233.00 "," $16,963.10 "
FEMUR CEMENTED STD LT SZ 9," $2,253.00 "," $1,577.10 "
FEMUR CEMENTED STD LT SZ 9," $24,233.00 "," $16,963.10 "
FEMUR CEMENTED STD RT SZ 10," $24,233.00 "," $16,963.10 "
FEMUR CEMENTED STD RT SZ 9," $24,233.00 "," $16,963.10 "
FEMUR CRUCIATE RETAIN NRW RT SZ 6," $24,233.00 "," $16,963.10 "
FEMUR CRUCIATE RETAIN NRW RT SZ 7," $24,233.00 "," $16,963.10 "
FEMUR CRUCIATE RETAIN NRW RT SZ 8," $24,233.00 "," $16,963.10 "
FEMUR CRUCIATE RETAIN STD LT SZ 6," $24,233.00 "," $16,963.10 "
FEMUR CRUCIATE RETAIN STD LT SZ 8," $22,033.00 "," $15,423.10 "
FEMUR CRUCIATE RETAIN STD RT SZ 6," $24,233.00 "," $16,963.10 "
FEMUR NARROW LEFT SZ 6," $24,233.00 "," $16,963.10 "
FEMUR NARROW RT SZ 9 CEMENTED, $163.00 , $114.10 
FEMUR NARROW RT SZ 9 CEMENTED," $19,957.60 "," $13,970.32 "
FEMUR NRW RT SZ 4," $21,109.00 "," $14,776.30 "
FEMUR PERSONA NRW LT SZ 7," $24,233.00 "," $16,963.10 "
FEMUR PERSONA STD RT SZ 7," $24,233.00 "," $16,963.10 "
FEMUR STD LEFT SZ 7," $24,233.00 "," $16,963.10 "
FEMUR STD LT SZ 11," $24,233.00 "," $16,963.10 "
FEMUR STD RT SZ 11," $24,233.00 "," $16,963.10 "
FEMUR STD SZ 5 RT CEMENTED," $19,958.00 "," $13,970.60 "
FINGER JOINT IMPLANT, $866.00 , $606.20 
FLEXHD SINGLE 6 X 16CM PERF," $7,382.92 "," $5,168.04 "
FLEXHD SINGLE 6 X 16CM PERF THICK, $737.00 , $515.90 
FLEXHD SINGLE 6 X 16CM PERF THICK," $7,382.92 "," $5,168.04 "
FLOWONIX INTRA CATH 11823," $1,508.00 "," $1,055.60 "
FLOWONIX PT CONTROLLER B18D0161," $1,843.00 "," $1,290.10 "
FLOWONIX PUMP 10BC4A27X," $23,400.00 "," $16,380.00 "
FRACTURE TABLE," $2,149.00 "," $1,504.30 "
GAS SAMPLING TUBE," $8,417.00 "," $5,891.90 "
GENERAL MAJOR SURGERY OR TIME," $3,522.00 "," $2,465.40 "
GLENOID KEELED S35," $6,021.00 "," $4,214.70 "
GLENOID PEGGED SZ 50," $6,689.00 "," $4,682.30 "
GLENOSPHERE STD 36MM, $559.00 , $391.30 
GLENOSPHERE STD 36MM," $9,359.00 "," $6,551.30 "
GLENOSPHERE STD 39MM," $9,359.00 "," $6,551.30 "
GLO COMP CROSS LINK, $642.00 , $449.40 
GLO COMP CROSS LINK," $2,931.00 "," $2,051.70 "
GLO COMP PEDICLE & 3 PART SCREWS, $180.00 , $126.00 
GLO COMP PEDICLE & 3 PART SCREWS," $2,931.00 "," $2,051.70 "
GLO COMP ROD LESS THAN 300MM, $670.00 , $469.00 
GLO COMP WASTE/XPLANT PED SCREW," $2,198.00 "," $1,538.60 "
GLO SPI COMP ANT LUMBAR PLATE, $838.00 , $586.60 
GLO SPI COMP ANT LUMBAR PLATE," $8,550.00 "," $5,985.00 "
GLO SPI COMP LAMINOPLASTY PLT PST," $3,116.00 "," $2,181.20 "
GLO SPI COMP LUMBAR SCREW, $830.00 , $581.00 
GLO SPI COMP STAND ALONE LUMBAR," $16,640.00 "," $11,648.00 "
GLO SPI COMP WASTED SELF-TAP SCRW, $297.00 , $207.90 
"GLOVES, SURGEON 7", $14.00 , $9.80 
"GOWN, TOGA LARGE W/ZIPPER"," $3,811.00 "," $2,667.70 "
GRA 10002 5050 001 VASC ACCESS, $306.00 , $214.20 
GRA 175434P VASULAR GRAFT," $1,455.00 "," $1,018.50 "
GRA DF8006SC BYPASS GRAFT, $451.00 , $315.70 
GRA DF8006SC BYPASS GRAFT," $8,919.50 "," $6,243.65 "
GRA DF8008SC," $5,214.00 "," $3,649.80 "
GRA F4006C IMPRA CARBOFLO GRAFT," $1,763.00 "," $1,234.10 "
GRA F4008 IMPRA FLEX," $1,528.00 "," $1,069.60 "
GRA F7008C PTFE VASC 70X8," $2,526.00 "," $1,768.20 "
GRA F7010 IMPRA EPTFE REG WALL," $2,446.00 "," $1,712.20 "
GRA F8006C PTFE VASCULAR GRAFT," $3,045.00 "," $2,131.50 "
GRA F8006SC IMPRA CARBOFLO FLEX," $3,212.00 "," $2,248.40 "
GRA F8008S FLEX GRAFT," $2,801.00 "," $1,960.70 "
GRA GORE H470045A PROPATEN," $3,819.00 "," $2,673.30 "
GRA HGK0008-40 8MM STRAIGHT," $1,243.00 ", $870.10 
GRA ID1101 DURAGEN, $959.00 , $671.30 
GRA ID1101 DURAGEN," $1,286.00 ", $900.20 
GRA ID1301 DURAGEN DURAL GRAFT," $2,080.00 "," $1,456.00 "
GRA IGK0010-20 STRAIGHT 10X20, $894.00 , $625.80 
GRA IGK1608 BIFURCATION, $674.00 , $471.80 
GRA IGK1608 BIFURCATION," $1,799.00 "," $1,259.30 "
GRA IGK1809 BIFUR 18X9," $1,837.00 "," $1,285.90 "
GRAFT GORE PROPATEN 4X7," $3,819.00 "," $2,673.30 "
GUIDEWIRE-ENDO, $634.00 , $443.80 
GYN/GU COMPLEX 1ST 30 MIN," $4,341.00 "," $3,038.70 "
HAL 0100-18 MIC GJ-TUBE, $144.00 , $100.80 
HALL OSCILLATOR," $2,107.00 "," $1,474.90 "
HAN 1312-11-120 MULTI-DIR PEG, $352.00 , $246.40 
HAN DISTAL VOLAR PLATE," $2,814.00 "," $1,969.80 "
HAN FP18 2.5 FULL TREAD PEG, $324.00 , $226.80 
HAN SP20 CANCELLOUS SCREW 2.5, $241.00 , $168.70 
HAN TP20 THREADED PEG 2.5, $338.00 , $236.60 
HAND INN CORT SCREW 14MM CS14000, $336.00 , $235.20 
HAND INN CORT SCREW 3.5 CS12000, $339.00 , $237.30 
HAND INN CORT SCREW CS16000, $336.00 , $235.20 
HAND INN DVRANS-R PLATE," $2,857.00 "," $1,999.90 "
HAND INN PEG 2.0X18MM P18000, $334.00 , $233.80 
