ProcedureID,Description,Charge
85050,TOPROL XL 25MG PER 1/2 TABLET,$2.50
85068,AMOXIL 400MG/5ML 50ML BOTTLE,$1.50
85126,DEMADEX 10MG PER 1/2 TABLET,$1.70
85127,DEMADEX 5MG TABLET,$1.50
85183,LEVAQUIN 500MG IV BAG,$18.68
85184,LEVAQUIN 250MG IV BAG,$18.68
85209,LEVAQUIN 250MG TABLET,$28.30
85217,ZEBETA TABLET 2.5MG PER 1/2TAB,$2.92
85225,ZYPREXA TABLET 2.5MG PER 1/2TB,$21.60
85241,ZOSYN INJ 3.375GM,$21.18
85242,ZOSYN INJ,$16.63
85258,ZEBETA 1.25MG PER 1/4 TAB,$2.92
85290,RISPERDAL 0.5MG HALF-TAB,$7.80
85308,LEVAQUIN 500MG TAB,$32.30
85316,CASODEX TAB 50MG,$31.60
85365,VALTREX CAPLET 500MG,$7.90
85415,SIMVASTATIN 20MG TAB,$9.70
85449,DDAVP TAB 0.1MG,$6.10
85456,LOVENOX 60MG SYR,$100.40
85480,CORDARONE INJ 150MG/3ML,$8.64
85571,ZYVOX 600MG TABLET,$294.03
85654,DIOVAN CAP 80MG,$9.20
85655,DIOVAN 40MG  TABLET,$7.70
85662,MACROBID CAPSULE 100MG,$7.10
85670,FLOMAX CAP 0.4MG,$1.20
85712,CELEBREX CAPSULE 100MG,$8.70
85720,GABITROL TABLET 4 MG,$15.40
85745,CITALOPRAM 10MG TABLET,$5.00
85746,CELEXA TAB 20MG,$5.50
85753,AVAPRO TABLET 150MG,$6.30
85761,LIPITOR TABLET 10MG,$1.10
85762,LIPITOR 5MG PER 1/2 TABLET,$0.36
85787,LOVENOX SYRINGE 80MG/0.8ML,$132.18
85795,CILOXAN OPHTH OITMENT 0.3%,$410.61
85811,PLAVIX TABLET 75MG,$1.10
85837,LOVENOX SYRINGE 100MG/1ML,$163.87
85894,LAMICTAL TAB 100MG,$5.10
85910,ZOSYN 4.5 GM INJ,$22.33
85951,SINGULAIR TAB 10MG,$9.80
86397,HYDROMORPHONE TAB 2MG,$4.15
86398,DILAUDID 4MG TABLET,$4.02
86470,METHADONE TAB 5MG,$2.76
86496,MEPERIDINE INJ 25MG/1ML,$7.56
86678,PERCOCET TAB,$4.79
86702,OPIUM & BELLADONNA SUPP,$66.56
86769,MORPHINE TAB SR 30MG,$8.68
86777,MORPHINE INJ 10MG/10ML P.F.,$18.41
86819,OXYCODONE SA TAB 40 MG,$21.81
86843,FENTANYL INJ 100MCG/2ML,$5.86
86852,SUBLIMAZE 100MCG X2.5=(250MCG),$7.31
86884,COCAINE TOPICAL SOLN 4% 4ML,$359.99
86975,MORPHINE INJ 10MG/1ML VIAL,$10.50
86990,OXYCONTIN SA TAB 10MG,$10.04
87015,MORPHINE INJ 2MG/ML 1ML,$11.04
87031,FENTANYL PATCH 25MCG/HR,$43.35
87049,FENTANYL PATCH 50MCG/HR,$76.87
87080,MORPHINE SULF SOLN 10MG/5ML,$6.54
87205,MORPHINE TAB SR 15MG,$6.45
87312,FENTANYL PATCH 100MCG/HR,$88.38
87361,LOVENOX SYRINGE 40MG/0.4ML,$80.45
87452,ADDERALL 5MG TAB,$4.20
87494,BISOPROLOL FUM TAB 5MG,$2.92
87502,BISOPROLOL FUN TB 10 MG,$2.70
87528,PERMETHRIN CREAM 5%,"$2,952.25"
87570,RITUXIMAB 500MG 50ML VIAL,"$8,950.97"
87585,PENCICLOVIR CREAM 1%,"$1,565.10"
87627,INTERFERON-BETA 1A INJ 30MCG,"$12,081.04"
87650,FLUTICASONE INHALER  220MCG,$14.40
87661,COMBIVENT RESPIMAT INHAL SPRAY,$7.40
87700,PRAMIPEXOLE TAB 1MG,$2.30
87718,NEPHRO-VITE RX TAB,$2.10
87726,TORSEMIDE TAB 100MG,$6.10
87727,DEMADEX 50MG HALF-TAB,$3.20
87734,TIZANIDINE TAB 4MG,$3.70
87742,ATORVASTATINE TAB 20MG,$1.30
87759,MEROPENEM 1GM/30ML VIAL,$32.36
87775,CARVEDILOL TAB 12.5MG,$4.30
87817,BUPROPION SR TAB 150MG,$4.00
87858,BRIMONIDINE OPHT SOL 0.2%,$251.21
87890,CARVEDILOL TAB 6.25MG,$4.30
87908,DOCETAXEL VIAL 20MG,$624.24
87916,FOSINOPRIL TAB 20MG,$3.35
87965,CARVEDILOL TAB 3.125MG,$4.10
87981,CLOBETASOL PROF E CRM 0.05%,$442.10
87999,ITRACONAZOLE CAP 100MG,$7.60
88005,K PHOS NEUTRAL TAB 250MG,$2.69
88054,NICOTINE TRANSDERM 7MG,$10.80
88062,FEXOFENADINE TAB 60MG,$3.20
88088,VITAMIN B12 TAB 500MCG,$1.00
88089,VIT B12 250MCG TABLET,$1.00
88112,GLIPIZIDE XL TAB 5MG,$1.70
88146,MUPIROCIN OINTMENT 2%,$53.50
88153,LEVOBUNOLOL O/S 0.5%,$45.94
88161,DIVALPROEX SPRINKLE 125MG,$3.00
88195,"VITAMIN D CAP 50,000 UNITS",$4.20
88229,NABUMETONE TAB 500MG,$1.90
88245,SIMVASTATIN TAB 10MG,$5.70
88252,RAMIPRIL TAB 5MG,$3.90
88260,PRIMAQUINE TAB,$3.80
88286,DIVALPROEX TAB 125MG,$2.00
88294,ETHAMBUTOL TAB 400MG,$3.40
88302,PRAVASTATIN TAB 10 MG,$5.80
88310,PROPAFENONE TAB 150MG,$3.50
88336,KETOCONAZOLE CRM 2%,$64.80
88351,FOSINOPRIL TAB 10 MG,$4.20
88369,CLINDAMYCIN SUSP 75MG/5ML BTL,$1.64
88393,BENAZEPRIL TAB 5 MG,$2.30
88419,FINASTERIDE TAB 5MG,$6.30
88427,GUANFACINE TAB 1MG,$2.00
88450,DANTROLENE CAP 25MG,$4.00
88500,FIBERCON TAB,$1.00
88518,FIORICET TAB,$4.10
88534,GABAPENTIN CAP 100MG,$1.46
88542,GABAPENTIN CAP 400MG,$3.23
88567,LORATADINE TAB 10MG,$1.70
88568,CLARITIN 5MG PER 1/2 TABLET,$1.00
88575,MAG. GLUCONATE TAB 500MG,$1.00
88585,TAPAZOLE 5MG TABLET,$1.20
88609,MESALAMINE CAP 250 MG,$6.91
88617,MESALAMINE SUPP 1000MG,$78.58
88682,PHENYTOIN CAP 30MG,$2.80
88690,PYRIDOSTIGMINE TAB 60 MG,$3.20
88724,URSODIOL CAP 300 MG,$16.70
88732,"VITAMIN A CAP 10,000IU",$1.00
88740,NALTREXONE TAB 50 MG,$5.10
88757,ISOSORBIDE MONONIT TAB 20MG,$1.10
88758,MONOKET 10MG TABLET,$1.30
88765,ENOXAPARIN INJ 30MG,$61.60
88856,CAPSAICIN CREAM 0.025%,$24.00
88914,LIOTHYRONINE TAB 25MCG,$2.30
88930,VARICELLA VACCINE,$239.10
88963,LAMOTRIGINE TAB 25MG,$8.30
88971,NICOTINE TRANSDERMAL 21MG,$9.60
88997,FLUTICASONE NASAL SPRAY,$141.00
89003,TRAMADOL TAB 50MG,$4.13
89029,LOSARTAN TAB 25MG,$3.50
89037,LOSARTAN TAB 50MG,$1.58
89052,HALOBETASOL PROP OINT,$167.33
89086,GABAPENTIN CAP 300MG,$2.90
89128,DORZOLAMIDE O/S  2% 5ML,$107.70
89201,AZITHROMYCIN TAB 250MG,$5.87
89219,LAC HYDRIN LOTION 12%,$20.60
89250,CLINDAMYCIN VAG CREAM,$214.60
89284,CLOBETASOL PROP OINT 0.05%,$421.60
89292,CETIRIZINE TAB 10MG,$5.10
89293,ZYRTEC 5MG/5ML SYRUP,$5.30
89326,CYCLOSPORINE MICR CAP 100MG,$19.10
89334,CYCLOSPORINE MICR CAP 25MG,$4.91
89417,OLANZAPINE TAB 10MG,$25.50
89433,METFORMIN TAB 850MG,$2.98
89441,LITHIUM CARB SA TAB 300MG,$1.30
89458,LITHIUM CARB SA TAB 450MG,$1.80
89482,TORSEMIDE TAB 20MG,$1.90
89490,TIMOLOL XE GEL O/S 0.5%,$342.09
89508,ISOSORBIDE MONO SA TAB 30MG,$3.50
89516,ISOSORBIDE MONO SA TAB 60MG,$4.30
89524,NICOTINE TRANSDERM 14MG,$10.10
89532,ZOLPIDEM TAB 5MG,$2.77
89573,CARBAMAZEPINE XR TAB 200 MG,$8.00
89631,SUMATRIPTAN TAB 25 MG,$51.70
89649,METAXALONE 400MG 1/2 TABLET,$6.00
89664,FAMCICLOVIR TAB 500MG,$24.90
89672,TRANDOLAPRIL TAB 1 MG,$2.70
89680,OLANZAPINE TAB 5MG,$25.50
89714,GLIMEPIRIDE TAB 2MG,$2.70
89748,MIRTAZAPINE TAB 15MG,$5.50
89749,REMURON TAB 7.5MG PER 1/2TAB,$5.50
89763,BENAZEPRIL TAB 20MG,$2.20
89797,FLUVOXAMINE TAB 50MG,$5.20
89813,DAPSONE TAB 100MG,$6.70
89847,RAMIPRIL CAP 1.25MG,$4.00
89904,CEFEPIME VIAL 2GM,$27.80
89920,SARNA LOTION,$15.40
89946,DONEPEZIL TAB 5MG,$14.12
89953,IPRATROPIUM NASAL SPRAY .06%,$87.50
89979,LATANOPROST OPHTH SOLN,$45.73
89995,SANTYL OINTMENT,$436.58
95147,AMIKACIN 1GM/4ML VIAL,$60.90
99901,FLEET OIL RETENTION ENEMA,$5.79
99980,APPROPRIATE DILUENT,$5.02
99994,PHARMACY MISC NON-FORMULARY,$113.68
600023,MRI ORBITS FACE NECK W/O CON,"$4,033.37"
600031,MRI BRAIN (INCL BRAIN STEM)W/O,"$4,411.50"
600049,MRI CHEST WITHOUT CONTRAST,"$4,489.70"
600056,MRI CERV SPIN CANL CONT WO CON,"$4,237.41"
600064,MRI THOR SPIN CANL CONT WO CON,"$3,431.64"
600072,MRI LUMB SPIN CANL CONT WO CON,"$4,390.05"
600098,MRI-UPPER EXTREM;OTHR THAN JOI,"$3,431.64"
600106,MRI-ANY JOINT UP EXTRM W/O CON,"$3,431.64"
600114,MRI LOW EXTRM OTHR JNT W/O FOL,"$3,706.22"
600122,MRI ANY JOINT LOWER EXTRM W/O,"$3,706.22"
600130,MRI-ABDOMEN WITHOUT CONTRAST,"$3,431.64"
600135,MRI ABDOMEN W/CONTRAST,"$3,431.64"
600140,MRI ABDOMEN  W/O FOLL BY WITH,"$3,431.64"
600197,MRI BRAIN INC BRAIN STEM W CON,"$3,706.22"
600205,MRI CERV SPIN CANL CONT W CONT,"$4,477.56"
600213,MRI THOR SPIN CANL CONT W CONT,"$3,431.64"
600221,MRI LUMB SPIN CANL CONT W CONT,"$3,706.22"
600247,MRI BRAIN W/O FOLLOWED BY WITH,"$6,090.95"
600254,MRI CERV SPIN CAN W/O & W/ CON,"$5,374.07"
600262,MRI THOR SPIN CAN W/O & W/ CON,"$5,732.17"
600270,MRI LUMB SPIN CAN W/O & W/ CON,"$5,446.20"
600312,MRA CHEST EXCL MYOC W/O FOLL,"$3,706.22"
600320,MRA ABDOMEN W/O FOLL BY WITH,"$3,706.22"
600353,MRA UPPER EXTREM WITH CONTRAST,"$3,706.22"
600361,MRA LOWER EXTREM W/O FOLL WITH,"$3,706.22"
600377,MRA HEAD W/O CONTRAST,"$3,706.22"
600385,MRA HEAD W/CONTRAST,"$3,706.22"
600393,MRA HEAD W/O FOL.BY WITH,"$3,706.22"
600401,MRA NECK W/O CONTRAST,"$3,706.22"
600409,MRA NECK W/CONTRAST,"$3,706.22"
600417,MRA NECK W/O FOL.BY WITH,"$3,706.22"
600425,MRA ABDOMEN WITH CONTRAST,"$3,706.22"
600433,MRA ABDOMEN W/O CONTRAST,"$3,706.22"
600441,MRA CHEST EXCL.MYOC.W/CONTRAST,"$3,706.22"
600457,MRA LOWER EXTREM W/O CONTRAST,"$3,706.22"
600481,MRA UPPER EXTRM W/O FOLL W/CON,"$3,706.22"
600489,MRI UP EXTRM OTHER JOINT W/O,"$2,342.17"
600497,MRI UP EXTRM OTHER JOINT WITH,"$2,756.91"
600501,MRI CHEST W/O FOLL.WITH CONT.,"$6,196.23"
600505,MRI PELVIS WITHOUT CONTRAST,"$3,609.10"
600513,MRI ANY JOINT LOWER EXTRM WITH,"$3,084.35"
600521,MRI ANY JOINT LOW EXTRM W/O,"$3,704.31"
600529,"MRI ORBIT ,FACE NECK WITH CON","$5,411.28"
600537,MRI LOW EXTRM OTHER JOINT W/O,"$2,750.37"
600545,MRI LOW EXTRM OTHER JOINT WITH,"$3,162.92"
600553,MRI ANY JOINT UP EXTRM W/O FOL,"$3,713.02"
600569,MRA PELVIS W/O FOLL W/CONTRAST,"$3,706.22"
600601,MRI TEMPOROMANDIBULAR JOINT,"$1,912.02"
600609,"MRI ORBIT,FACE NECK W/O FOLL W","$5,338.24"
600617,MRI PELVIS W/O FOLL WITH CON,"$4,981.88"
600665,MRA SPINAL CANAL W CONTRAST,"$2,798.88"
600697,CINE/VIDEO X-RAYS ADD-ON,$130.20
600729,MRI BILAT BREAST W/O CONTRAST,"$2,976.00"
600737,MRI BILAT BREASTS W/O FOLLOW,"$2,976.00"
610241,PET/CT SINGLE PULMONARY NODULE,"$5,509.13"
610249,"PET/CT DIAG LUNG CA,NON SMALL","$5,509.13"
610257,PET/CT INIT STAGING LUNG CA,"$5,509.13"
610265,PET/CT RESTAGING LUNG CA NON,"$5,509.13"
610281,PET/CT INIT STAGING COLORECTAL,"$5,509.13"
610289,PET/CT RESTAGING COLORECTAL CA,"$5,509.13"
610313,PET/CT RESTAGING MELANOMA,"$5,509.13"
610329,PET/CT DIAG LYMPHOMA,"$5,509.13"
610337,PET/CT INIT STAGING LYMPHOMA,"$5,509.13"
610345,PET RESTAGING LYMPHOMA,"$5,509.13"
610361,PET/CT INIT STAGING HEAD&NECK,"$5,509.13"
610401,PET/CT RESTAGING ESOPHAGEAL CA,"$5,509.13"
610425,PET/CT STAGE/RESTAGE BREAST CA,"$5,509.13"
610441,PET/CT WHOLE BODY NON-COV,"$5,509.13"
620257,PET BRAIN IMAG. METABOLIC EVAL,"$2,290.93"
700187,EYE FOR FB,$311.25
700252,MANDIBLE PARTIAL,$233.70
700286,MANDIBLE COMPLETE,$363.65
700351,MASTOIDS COMPLETE,$397.27
700427,FACIAL BONES PART,$238.48
700468,FACIAL BONES COMPL,$392.68
700518,NASAL BONES,$233.70
700583,SINUSES PARTIAL,$198.53
700617,SINUSES COMPLETE,$360.75
700674,SKULL LIMITED,$220.25
700708,SKULL COMPLETE,$420.51
700732,TMJ BILAT,$334.03
700740,TEETH SINGLE VIEW,$96.80
700757,TEETH-PARTIAL VIEW,$179.62
700765,TEETH-FULL MOUTH,$359.37
700773,NECK SOFT TISSUE,$155.65
700872,CHEST 1 VIEW,$203.46
700906,CHEST 2 VIEWS,$240.84
700930,CHEST 4 VIEWS OR MORE,$311.25
701359,RIBS UNILAT INCL.CHEST,$287.02
701383,RIBS BILAT INCL.CHEST,$528.43
701425,STERNUM,$233.70
701441,SET TREATMENT PORTS-SIMPLE/LIM,"$1,599.00"
701466,STERNOCLAV JTS,$311.25
701474,BASIC DOSIMETRY,$724.43
701508,X-RAY EXAM ENTIRE SPI 2/3 VW,$623.08
701516,TELETHERAPY ISODOSE PLAN-INTER,"$1,295.53"
701532,X-RAY EXAM NECK SPINE 2-3 VW,$307.91
701565,SPINE CERVICAL 6 OR MORE VIEWS,$504.85
701581,TREATMENT DEVICE-EXTENDED/COMP,$977.56
701599,THORACIC SPINE THREE VIEWS,$376.55
701664,SET TREATMENT PORTS-EXTEN/COMP,"$3,005.68"
701680,X-RAY EXAM THORACOLMB 2/> VW,$292.48
701755,SPECIAL PHYSICS CONSULT,$766.55
701771,PHYSICS QUALITY ASSURANCE,$621.35
701821,SPINE LUMBOSACRAL 2 OR 3 VIEWS,$298.05
701854,SPINE LS COMPLETE,$485.22
701912,SPINE LS W/BENDING,$451.45
701946,PELVIS AP,$233.10
702027,PELVIS COMPLETE,$270.68
702043,RADIOLOGY PORT IMAGES(S),$409.71
702142,SI JOINTS,$270.68
702209,SACRUM * COCCYX,$233.70
702274,MEGAVOLT <=5 MV:COMP,$731.44
702316,MYELDGRAPHY LS CP,"$1,909.25"
702348,SPECIAL DOSIMETRY,$240.99
702364,IV HYDRATION INITIAL UPTO 1HR,$382.18
702452,3-D RADIOTHERAPY PLAN,"$2,688.03"
702464,CLAVICLE,$165.74
702476,"RADIOTHERAPY DOSE PLAN, IMRT","$8,856.31"
702508,STEREOSCOPIC X-RAY GUIDANCE,"$1,352.85"
702514,SCAPULA,$233.70
702522,WBC WHOLE BODY,"$2,193.17"
702524,MLC DEVICE FOR IMRT PER PLAN,"$1,396.19"
702530,WBC LIMITED AREA,"$1,337.32"
702533,NTSTY MODUL RAD TX DLVR CPLX(,"$7,623.22"
702541,NTSTY MODUL RAD TX DLVR SMPL,"$7,623.22"
702548,SHOULDER 1 VIEW,$198.53
702555,BONE SCAN WHOLE BODY,"$1,530.91"
702589,SHOULDER COMPLETE,$232.70
702605,INTESTINE IMAGING-MECKELS,"$1,293.93"
702639,SHOULDER ARTHRO CP,$595.54
702704,KIDNEY SCAN W/FLOW & FUNCTION,"$1,696.78"
702712,AC JOINTS BILAT W/WO WEIGHTS,$273.25
702753,LIVER SPLEEN,"$1,489.18"
702761,HUMERUS,$198.53
702779,GI BLOOD LOSS STUDY,"$1,641.83"
702795,ELBOW AP * LAT,$198.53
702837,ELBOW COMPLETE,$227.58
702928,PULM.VENT.IMAGING,"$1,358.77"
702936,CARDIAC GATED BLOOD POOL STUDY,"$1,940.17"
702985,CEREBROSPINAL FLUID FLOW CISTE,"$2,030.84"
702993,FOREARM,$195.48
703033,GASTRIC EMPTYING STUDY,"$1,023.73"
703041,UPPER EXTRM INFANT,$179.62
703065,PARATHYROID IMAGING,$344.84
703082,US ABDOMEN LMTED SINGLE ORGAN,$574.93
703105,LUNG DIFF FUNCT-VENT/PERFUSION,$584.99
703124,WRIST AP * LAT,$198.53
703165,WRIST COMPLETE,$214.44
703199,HAND 2 VIEWS,$198.53
703207,US ABD.REAL TIME COMPLETE,$814.23
703231,HAND COMPLETE,$214.44
703256,US RETROPERITONEAL COMPLETE,$814.23
703298,FINGER (S),$155.24
703330,X-RAY EXAM HIP UNI 1 VIEW,$240.64
703454,US RETROPERTITONEAL LIMITED,$569.07
703512,X-RAY EXAM HIPS BI 2 VIEWS,$459.91
703602,THYROID UPTAKE SINGLE OR MULTI,$449.22
703645,X-RAY EXAM OF FEMUR 2/>,$243.65
703694,KNEE AP * LAT,$224.93
703736,KNEE COMPLETE,$233.82
703751,US PELVIC NON-OB COMPLETE,$712.39
703769,KNEE ARTHOGRAM CP,$908.21
703793,TIBIA*FIBULA AP*LA,$243.65
703827,LOWER EXTRM INFANT,$179.62
703918,ANKLE AP * LAT,$198.53
703942,ANKLE COMPLETE,$235.62
703975,FOOT AP * LAT,$198.53
704007,ECHO ENCEPHALOGRAPHY,$553.18
704015,FOOT COMPLETE,$235.62
704031,ECHOGRAPHY. TRANSVAGINAL,$854.36
704064,US GUIDANCE INTRAOPERATIVE,"$1,368.82"
704114,OS CALCIS,$155.65
704163,TOE (S),$135.20
704270,ABDOMEN 1 VIEW,$216.87
704312,ABDOMEN MULTIPLE VIEWS ACUTE,$415.07
704361,ESOPHAGRAM,$397.27
704460,UPPER GI WITH KUB,$742.93
704494,UPPER GI W/SM BOWEL,"$1,044.53"
704502,ULTRASOUND SCROTUM AND CONTENT,$649.86
704536,US EXTREMITY NON-VASCUL COMPL,"$1,001.74"
704544,US SOFT TISSUE HEAD/NECK,$727.21
704551,US OB LIMITED FETUS(S),$527.61
704577,US GUIDANCE NEEDLE PLACEMENT,"$1,187.77"
704668,SM BOWEL INC MULT SERIAL FILMS,$467.43
704708,ECHO NON OBS PELVI LIMIT OR FU,$358.84
704716,US INFANT HIPS;DYNAMIC,$400.43
704742,BARIUM ENEMA WITH OR W/OUT KUB,$752.60
704764,DUPLEX EXTRA-CRANIAL ART,$682.92
704783,BE W/AIR CONTRAST,$963.33
704812,DUPLEX EXTREMITY VEINS BILAT,$618.67
704820,DUPLEX EXTREMITY VEINS UNILAT,$385.61
704830,US OB<14WKS SINGLE OR 1ST GEST,$357.56
704833,US OB<14WKS EA.ADD.GESTATION,$178.74
704839,ULTRASOUND TRANS. PREG.UTERUS,$357.56
704842,VISCERAL ORGANS DUPLEX LIMITED,$309.73
704844,"DUPLEX COMP,AORTA/IVC/ILLIAC",$586.52
704845,FETAL BPP W/O NON STRESS TEST,$372.08
704860,US CHEST (INCL.MEDIASTINUM),$502.51
704868,US TRANPLANT KIDNEY W/DOPPLER,$594.29
704876,ECHO SPINAL CORD AND CONTENTS,$624.95
704884,SALINE INF.SONOHYSTEROGRAPHY,$545.99
704893,ECHO OBS FOLLOW UP OR REPEAT,$248.78
704911,VISCERAL ORGANS DUPLEX COMPLET,$510.74
704920,IMAGING GUIDED SURG.PROC,$654.82
704928,ULTRASOUND TRANSRECTAL,$413.77
704944,DOPPLER VELO. FETAL UMBIL.CORD,$459.06
704952,DOPPLER VELC.FETAL MID.CEREBRL,$459.06
705277,"IVP W OR W/O KUB, TOMO",$532.80
705582,RETROGRADE PYELO,$359.37
705657,CYSTOGRAPHY MIN 3 VIEWS,$449.22
705764,BONE SCAN; THREE PHASE STUDY,"$1,913.69"
705772,BONE SPECT,"$1,530.91"
705798,KIDNEY IMAGING W/FLOW & PHARM,"$1,242.00"
705806,KIDNEY IMAGING W/FLOW MULT,"$1,379.51"
705838,LYMPH NODE IMAGING,"$1,021.52"
705848,URETHROCYSTOGRAPHY VOIDING,$699.00
705854,TUMOR LOCALIZATION LIMITED,$629.88
705870,TUMOR IMAGING WB MULTI DAYS,"$1,336.41"
705886,RADIOPHARM.LOC.TMR SPECT,$948.34
705894,I-123 SOD.IOD.CAP PER 100uCI,$197.46
705902,INDIUM-111 PENT.PER 0.5 mCi,$556.96
705918,I-131 SODIUM IODIDE (PER mCI),$69.97
705926,GALLIUM Ga 67 PER mCi,$78.25
706002,ORTHOPANTOGRAM-PANDREX,$339.00
706022,Tc99m PERTECHNETATE PER mCi,$3.83
706028,CHEST 3 VIEWS,$267.49
706062,Tc99 MEDRONATE  UP TO 30mCi,$128.85
706070,RADIOPHARM.THERAPY ORAL ADMIN,$685.34
706077,FLUOR GUID FOR NEEDLE PLACEMNT,$985.17
706126,Tc99m MACROAG.ALBU. UPTO 10mCi,$251.50
706135,UGI W/ A-C AND SBET,"$1,068.66"
706150,UROGRAPHY/LOOPGRAM,$449.22
706158,Tc99m PENTETATE AERO.TO 75mCi,$192.59
706166,Tc99m EXAMETAZIME UPTO 25mCi,"$2,106.00"
706182,Tc99m SULFUR COLLOID TO 20 mCi,$773.61
706190,Tc99m SESTAMIBI UPTO 40mCi,$371.85
706206,Tc99m LABELLED RBC UPTO 30 mCi,"$3,748.64"
706214,INJ.SINCALIDE 5 MICROGRAMS,$163.98
706230,Tc99m MERTIATIDE UPTO 15 mCi,$788.73
706238,TECHNETIUM Tc99m PENT.TO 25mCi,$570.16
706246,Tc99m MEBRO DIAG.UPTO 15mCi,$294.65
706270,INDIUM IN-111 PENT.UP TO 6MCI,"$5,733.71"
706278,HEPATOBILIARY SYST IMAGING INC,"$1,149.81"
706286,HEPATOBIL SYST IMAG INC GB W/P,"$1,608.12"
706294,PULMONARY VENTILATION & PERFUS,"$1,263.71"
706398,THYROID IMAGING W/UPTAKE MULTI,$944.34
706414, TECHNETIUM TC-99M AUTO WBC,"$11,032.72"
707620,BONE AGE STUDIES,$269.50
707661,BONE LENGTH STUDIES,$374.39
707695,BONE SURVEY COMPLETE,"$1,198.19"
707745,BONE SURVEY INFANT,$270.68
707810,FISTULA-SINUS TRACT STUDY,$532.80
708487,RADIO EXAM NOSE-RECTUM FORE BO,$360.24
709386,X-RAY EXAM OF TEAR DUCT,$469.36
780009,AORTAGRAM W/RUN-OFF BILAT,"$4,127.57"
780017,CONTRAST EXAM ABDOMINL AORTA,"$3,517.25"
780025,"VENOGRAPHY, CAVAL INFERIOR","$3,517.25"
780097,ARTERY X-RAYS ARM/LEG,"$3,668.29"
780105,ARTERY X-RAYS ARMS/LEGS,"$3,668.29"
780129,ANGIOGRAPHY VISCERAL SELECTIVE,"$4,288.60"
780225,CHANGE OF PERCUT DRAIN CATH,$973.32
780281,FLUOR GUID FOR NEEDLE PLACEMNT,$985.17
780337,IMAGING GUIDED SURG PROC,$654.82
780345,VEIN X-RAY ARMS/LEGS,"$1,950.34"
780361,VENOGRAPHY EXTREM.UNILAT.S&I,"$1,123.35"
780385,FLUORO UP TO 1HR,$395.96
780393,FLUORO GUIDED SPINE INJ,$475.17
780417,FISTULA SINUS TRACT STUDY,$532.80
780481,FLUORO.GUIDANCE FOR CVA DEVICE,$241.32
780489,US GUIDANCE VASCULAR ACCESS,$253.22
780553,CYST PUNCTURE,$717.63
780609,PELVIC ANGIO SEL OR SUPRA,"$2,327.36"
780717,ARTERY X-RAY EACH VESSEL,"$2,175.38"
780725,RENALVENOGRAM UNILATERAL,"$1,770.15"
780741,SINUS OR JUGULAR VENO,"$1,770.15"
780773,VEIN X-RAY LIVER W/HEMODYNAM,"$1,770.15"
780797,MECH REM PERICATH BY VEIN,"$1,770.15"
780917,TRANSCATH BIOPSY,"$1,492.93"
780981,DILAT NFROS URTRS/URT RS&I,"$1,373.33"
781073,DILAT NFROS URTRS/URT RS&I,"$1,373.33"
781089,ANGIOGRAPHY VISCERAL SELECTIVE,"$4,288.60"
781097,CHANGE OF PERCUT DRAIN CATH,$973.32
781105,FLUOR GUID FOR NEEDLE PLACEMNT,$985.17
781137,FLUORO UP TO 1HR,$395.96
781151,FISTULA SINUS TRACT STUDY,$532.80
781165,US GUIDANCE VASCULAR ACCESS,$253.22
781167,FLUORO.GUIDANCE FOR CVA DEVICE,$241.32
781223,SPINAL SELECT EA VESSEL,"$2,950.70"
781247,ARTERY X-RAY EACH VESSEL,"$2,175.38"
781375,AORTAGRAM W/RUN-OFF BILAT,"$4,127.57"
781383,CONTRAST EXAM ABDOMINL AORTA,"$3,517.25"
781391,VEIN X-RAY CHEST,"$3,517.25"
781408,ARTERY X-RAYS ARM/LEG,"$3,668.29"
781416,ARTERY X-RAYS ARMS/LEGS,"$3,668.29"
790038,"RAD EXAM SPINE,CERV,4OR5 VIEWS",$216.17
790064,MAMMO SCREEN BILAT INLC. CAD,$301.01
790089,RIBS-UNI W/O 1 VIEW CHEST,$240.84
790098,RIBS-BI W/O 1 VIEW CHEST,$275.77
790104,RADIO EXAM BREAST SURG.SPEC,$152.74
790130,IMAGING GUIDED SURG PROC.,$654.82
790146,RAD.EXAM THORACIC SPINE 2VIEWS,$136.58
790152,IMAGING GUIDED SURG PROC,$654.82
790154,SWALLOWING FUNCTION W/CINE,$254.52
790162,UPPER G.I.AIR CONTRAST W/KUB,$314.87
790170,UPPER GI W/O KUB,$282.82
790176,MAMMO DUCTOGRAM SINGLE,$925.48
790178,FLUORO UP TO 1HR,$395.96
790184,MAMMO DUCTOGRAM MULTI,"$1,091.41"
790186,CHOLANGIO/PANCREATOGRPHY IN OR,$220.59
790192,RADIO EXAM BREAST SURG.SPEC,$152.74
790208,DIAG.MAMMO INCL.CAD  UNILAT,$431.18
790210,US INFANT HIPS LIMITED;STATIC,$290.36
790211,FLUORO GUIDED SPINE INJ,$475.17
790216,DIAG.MAMMO INCL.CAD  BILAT,$544.10
790218,US OBS DETAILED SINGLE GEST,$394.08
790219,ORBIT COMPLETE MIN 4 VIEWS,$143.27
790224,BREAST TOMOSYNTHESIS UNI,$194.00
790226,US OBS DETAILED EACH ADD GEST,$196.10
790227,SPINE SPECIFY LEV SINGLE VIEW,$98.02
790232,BREAST TOMOSYNTHESIS BI,$203.00
790234,AORTA/IVC/ILIAC DUPLEX UNI/LTD,$290.36
790235,BOTH KNEES STANDING AP,$99.92
