Prisma Health - Upstate CDM,Valid Date: 4/3/2019,,,
SX,SX00435560002073,BAL SPRINTER RX 1.5X6,$700.00 ,
SX,SX00435560002074,BAL SPRINTER RX 2.0X15,$700.00 ,
SX,SX00435560002075,BAL SPRINTER RX 2.0X20,$700.00 ,
SX,SX00435560002076,BAL SPRINTER RX 2.0X30,$700.00 ,
SX,SX00435560002077,BAL SPRINTER RX 2.25X12,$700.00 ,
SX,SX00435560002078,BAL SPRINTER RX 2.25X15,$700.00 ,
SX,SX00435560002079,BAL SPRINTER RX 2.50X10,$700.00 ,
SX,SX00435560002080,BAL SPRINTER RX 2.50X15,$700.00 ,
SX,SX00435560002081,BAL SPRINTER RX 2.50X20,$700.00 ,
SX,SX00435560002082,BAL SPRINTER RX 2.50X30,$700.00 ,
SX,SX00435560002083,BAL SPRINTER RX 2.75X12,$700.00 ,
SX,SX00435560002084,BAL SPRINTER RX 2.75X15,$700.00 ,
SX,SX00435560002085,BAL SPRINTER RX 3.00X10,$700.00 ,
SX,SX00435560002086,BAL SPRINTER RX 3.00X15,$700.00 ,
SX,SX00435560002087,BAL SPRINTER RX 3.00X30,$700.00 ,
SX,SX00435560002088,BAL STELLAREX  4X80X135,"$4,725.00 ",
SX,SX00435560002089,BAL STELLAREX 4X100X135,"$4,725.00 ",
SX,SX00435560002090,BAL STELLAREX 4X120X135,"$5,425.00 ",
SX,SX00435560002091,BAL STELLAREX 4X120X80,"$5,425.00 ",
SX,SX00435560002092,BAL STELLAREX 4X40X135,"$4,725.00 ",
SX,SX00435560002093,BAL STELLAREX 4X40X80,"$4,725.00 ",
SX,SX00435560002094,BAL STELLAREX 4X60X135,"$4,725.00 ",
SX,SX00435560002095,BAL STELLAREX 4X60X80,"$4,725.00 ",
SX,SX00435560002096,BAL STELLAREX 4X80X80,"$4,725.00 ",
SX,SX00435560002097,BAL STELLAREX 5X100X135,"$4,725.00 ",
SX,SX00435560002098,BAL STELLAREX 5X120X135,"$5,425.00 ",
SX,SX00435560002099,BAL STELLAREX 5X120X80,"$5,425.00 ",
SX,SX00435560002100,BAL STELLAREX 5X40X135,"$4,725.00 ",
SX,SX00435560002101,BAL STELLAREX 5X40X80,"$4,725.00 ",
SX,SX00435560002102,BAL STELLAREX 5X60X135,"$4,725.00 ",
SX,SX00435560002103,BAL STELLAREX 5X60X80,"$4,725.00 ",
SX,SX00435560002104,BAL STELLAREX 5X80X135,"$4,725.00 ",
SX,SX00435560002105,BAL STELLAREX 5X80X80,"$4,725.00 ",
SX,SX00435560002106,BAL STELLAREX 6X100X135,"$4,725.00 ",
SX,SX00435560002107,BAL STELLAREX 6X120X135,"$5,425.00 ",
SX,SX00435560002108,BAL STELLAREX 6X120X80,"$5,425.00 ",
SX,SX00435560002109,BAL STELLAREX 6X40X135,"$4,725.00 ",
SX,SX00435560002110,BAL STELLAREX 6X40X80,"$4,725.00 ",
SX,SX00435560002111,BAL STELLAREX 6X60X135,"$4,725.00 ",
SX,SX00435560002112,BAL STELLAREX 6X60X80,"$4,725.00 ",
SX,SX00435560002113,BAL STELLAREX 6X80X135,"$4,725.00 ",
SX,SX00435560002114,BAL STELLAREX 6X80X80,"$4,725.00 ",
SX,SX00435560002115,BAL STONE EXT 12-15CM RX,$550.00 ,
SX,SX00435560002116,BAL STONE EXT 15 18CM RX,$550.00 ,
SX,SX00435560002117,BAL STONE EXT 9-12CM RX,$550.00 ,
SX,SX00435560002118,BAL STR ES OTW 4.0X40,"$1,184.76 ",
SX,SX00435560002119,BAL STRLNG 4X20X135,"$1,184.76 ",
SX,SX00435560002120,BAL STRLNG 5X20X135,"$1,184.76 ",
SX,SX00435560002121,BAL STRLNG 6X20X135,"$1,184.76 ",
SX,SX00435560002122,BAL STRLNG 7X20X135,"$1,184.76 ",
SX,SX00435560002123,BAL STRLNG 8X4X135,"$1,184.76 ",
SX,SX00435560002124,BAL SYS HYPEFORM 4-15,"$4,844.00 ",
SX,SX00435560002125,BAL SYS HYPERFORM 3-15,"$4,844.00 ",
SX,SX00435560002126,BAL SYS HYPERFORM 4-20,"$4,844.00 ",
SX,SX00435560002127,BAL SYS HYPERFORM 4-7,"$4,844.00 ",
SX,SX00435560002128,BAL SYS HYPERFORM 7-15,"$4,844.00 ",
SX,SX00435560002129,BAL SYS HYPRFL 5-20,"$4,000.00 ",
SX,SX00435560002130,BAL SYS HYPRFORM 3-7,"$4,844.00 ",
SX,SX00435560002131,BAL SYS HYPRFORM 7-7,"$4,844.00 ",
SX,SX00435560002132,BAL SYS HYPRGL 3-10,"$4,000.00 ",
SX,SX00435560002133,BAL SYS HYPRGL 3-15,"$4,000.00 ",
SX,SX00435560002134,BAL SYS HYPRGL 4-10,"$4,000.00 ",
SX,SX00435560002135,BAL SYS HYPRGL 4-15,"$4,000.00 ",
SX,SX00435560002136,BAL SYS HYPRGL 4-20,"$4,000.00 ",
SX,SX00435560002137,BAL SYS HYPRGL 4-30,"$4,000.00 ",
SX,SX00435560002138,BAL SYS HYPRGL 5-15,"$4,000.00 ",
SX,SX00435560002139,BAL SYS HYPRGL 5-30,"$4,000.00 ",
SX,SX00435560002140,BAL SZ 24MM,"$1,372.50 ",
SX,SX00435560002141,BAL SZ 34MM,"$1,372.50 ",
SX,SX00435560002142,BAL TRI-LOBE,"$2,250.00 ",
SX,SX00435560002143,BAL TRI-LOBE BCL2645,"$2,400.00 ",
SX,SX00435560002144,BAL TRI-LOBE BCM1634,"$2,400.00 ",
SX,SX00435560002145,BAL TROCR HER 10MM,$775.70 ,
SX,SX00435560002146,BAL TYSHAK 20X60,"$2,235.87 ",
SX,SX00435560002147,BAL TYSHAK 22X60,"$2,235.87 ",
SX,SX00435560002148,BAL UROMAX 6X10 LNG,"$1,963.94 ",
SX,SX00435560002149,BAL UROMAX 6X4,"$1,963.94 ",
SX,SX00435560002150,BAL UROMAX 7X4,"$1,963.94 ",
SX,SX00435560002151,BAL VIATRAC 15MM 135 4,$877.50 ,
SX,SX00435560002152,BAL VIATRAC 15MM 135 4.5,$877.50 ,
SX,SX00435560002153,BAL VIATRAC 15MM 135 5.0,$877.50 ,
SX,SX00435560002154,BAL VIATRAC 15MM 135 5.5,$877.50 ,
SX,SX00435560002155,BAL VIATRAC 15MM 135 6.0,$877.50 ,
SX,SX00435560002156,BAL VIATRAC 15MM 135 6.5,$877.50 ,
SX,SX00435560002157,BAL VIATRAC 15MM 135 7.0,$877.50 ,
SX,SX00435560002158,BAL VIATRAC 20MM 135 4,$877.50 ,
SX,SX00435560002159,BAL VIATRAC 20MM 135 4.5,$877.50 ,
SX,SX00435560002160,BAL VIATRAC 20MM 135 5.0,$877.50 ,
SX,SX00435560002161,BAL VIATRAC 20MM 135 5.5,$877.50 ,
SX,SX00435560002162,BAL VIATRAC 20MM 135 6.0,$877.50 ,
SX,SX00435560002163,BAL VIATRAC 20MM 135 6.5,$877.50 ,
SX,SX00435560002164,BAL VIATRAC 20MM 135 7.0,$877.50 ,
SX,SX00435560002165,BAL VIATRAC 30MM 135 4,$877.50 ,
SX,SX00435560002166,BAL VIATRAC 30MM 135 4.5,$877.50 ,
SX,SX00435560002167,BAL VIATRAC 30MM 135 5.0,$877.50 ,
SX,SX00435560002168,BAL VIATRAC 30MM 135 5.5,$877.50 ,
SX,SX00435560002169,BAL VIATRAC 30MM 135 6.0,$877.50 ,
SX,SX00435560002170,BAL VIATRAC 30MM 135 6.5,$877.50 ,
SX,SX00435560002171,BAL VIATRAC 30MM 135 7.0,$877.50 ,
SX,SX00435560002172,BAL VIATRAC 40M 135 4,$877.50 ,
SX,SX00435560002173,BAL VIATRAC 40MM 135 4.5,$877.50 ,
SX,SX00435560002174,BAL VIATRAC 40MM 135 5.0,$877.50 ,
SX,SX00435560002175,BAL VIATRAC 40MM 135 5.5,$877.50 ,
SX,SX00435560002176,BAL VIATRAC 40MM 135 6.0,$877.50 ,
SX,SX00435560002177,BAL VIATRAC 40MM 135 6.5,$877.50 ,
SX,SX00435560002178,BAL VIATRAC 40MM 135 7.0,$877.50 ,
SX,SX00435560002179,BAL WOLVERINE CUT MR 2.00X10,"$3,200.00 ",
SX,SX00435560002180,BAL WOLVERINE CUT MR 2.00X15,"$3,200.00 ",
SX,SX00435560002181,BAL WOLVERINE CUT MR 2.00X6,"$3,200.00 ",
SX,SX00435560002182,BAL WOLVERINE CUT MR 2.25X10,"$3,200.00 ",
SX,SX00435560002183,BAL WOLVERINE CUT MR 2.25X15,"$3,200.00 ",
SX,SX00435560002184,BAL WOLVERINE CUT MR 2.25X6,"$3,200.00 ",
SX,SX00435560002185,BAL WOLVERINE CUT MR 2.50X10,"$3,200.00 ",
SX,SX00435560002186,BAL WOLVERINE CUT MR 2.50X15,"$3,200.00 ",
SX,SX00435560002187,BAL WOLVERINE CUT MR 2.50X6,"$3,200.00 ",
SX,SX00435560002188,BAL WOLVERINE CUT MR 2.75X10,"$3,200.00 ",
SX,SX00435560002189,BAL WOLVERINE CUT MR 2.75X15,"$3,200.00 ",
SX,SX00435560002190,BAL WOLVERINE CUT MR 2.75X6,"$3,200.00 ",
SX,SX00435560002191,BAL WOLVERINE CUT MR 3.00X10,"$3,200.00 ",
SX,SX00435560002192,BAL WOLVERINE CUT MR 3.00X15,"$3,200.00 ",
SX,SX00435560002193,BAL WOLVERINE CUT MR 3.00X6,"$3,200.00 ",
SX,SX00435560002194,BAL WOLVERINE CUT MR 3.25X10,"$3,200.00 ",
SX,SX00435560002195,BAL WOLVERINE CUT MR 3.25X15,"$3,200.00 ",
SX,SX00435560002196,BAL WOLVERINE CUT MR 3.25X6,"$3,200.00 ",
SX,SX00435560002197,BAL WOLVERINE CUT MR 3.50X10,"$3,200.00 ",
SX,SX00435560002198,BAL WOLVERINE CUT MR 3.50X15,"$3,200.00 ",
SX,SX00435560002199,BAL WOLVERINE CUT MR 3.50X6,"$3,200.00 ",
SX,SX00435560002200,BAL WOLVERINE CUT MR 3.75X10,"$3,200.00 ",
SX,SX00435560002201,BAL WOLVERINE CUT MR 3.75X15,"$3,200.00 ",
SX,SX00435560002202,BAL WOLVERINE CUT MR 3.75X6,"$3,200.00 ",
SX,SX00435560002203,BAL WOLVERINE CUT MR 4.00X10,"$3,200.00 ",
SX,SX00435560002204,BAL WOLVERINE CUT MR 4.00X15,"$3,200.00 ",
SX,SX00435560002205,BAL WOLVERINE CUT MR 4.00X6,"$3,200.00 ",
SX,SX00435560002206,BAL XPRESS LOPRO SINUS 6X18MM,"$5,001.50 ",
SX,SX00435560002207,BAL XPRESS ULTRA SINUS 5X8MM,"$5,390.00 ",
SX,SX00435560002208,BAL ZMED 16FR 30MM,"$2,807.80 ",
SX,SX00435560002209,BAL ZMED 20X4,"$2,417.76 ",
SX,SX00435560002210,BAL ZMED 22X4,"$2,265.76 ",
SX,SX00435560002211,BAL ZMED 23X4,"$2,417.76 ",
SX,SX00435560002212,BAL ZMED 25X4,"$2,417.76 ",
SX,SX00435560002213,BAL ZMED 28X4,"$2,739.32 ",
SX,SX00435560002214,BAL ZMED 33X6,"$2,996.16 ",
SX,SX00435560002215,BAL ZMED 35X4,"$2,996.16 ",
SX,SX00435560002216,BAL ZMED 40X4,"$2,996.16 ",
SX,SX00435560002217,BALL 4MM DIAMOND,$436.05 ,
SX,SX00435560002218,BALL 4MM FLUTED,$461.70 ,
SX,SX00435560002219,BALL 4MM FLUTED,$444.60 ,
SX,SX00435560002220,BALL 5MM FLUTED,$447.45 ,
SX,SX00435560002221,BALL 6MM FLUTED,$640.00 ,
SX,SX00435560002222,BALLOON ANGIOSCULPT 2.0X10MM,"$3,200.00 ",
SX,SX00435560002223,BALLOON ANGIOSCULPT 2.0X15MM,"$3,200.00 ",
SX,SX00435560002224,BALLOON ANGIOSCULPT 2.0X6MM,"$3,200.00 ",
SX,SX00435560002225,BALLOON ANGIOSCULPT 2.5X10MM,"$3,200.00 ",
SX,SX00435560002226,BALLOON ANGIOSCULPT 2.5X15MM,"$3,200.00 ",
SX,SX00435560002227,BALLOON ANGIOSCULPT 2.5X6MM,"$3,200.00 ",
SX,SX00435560002228,BALLOON ANGIOSCULPT 3.0X10MM,"$3,200.00 ",
SX,SX00435560002229,BALLOON ANGIOSCULPT 3.0X15MM,"$3,200.00 ",
SX,SX00435560002230,BALLOON ANGIOSCULPT 3.0X6MM,"$3,200.00 ",
SX,SX00435560002231,BALLOON ANGIOSCULPT 3.5X10MM,"$3,200.00 ",
SX,SX00435560002232,BALLOON ANGIOSCULPT 3.5X15MM,"$3,200.00 ",
SX,SX00435560002233,BALLOON ANGIOSCULPT 3.5X6MM,"$3,200.00 ",
SX,SX00435560002234,BALLOON ANGIOSCULPT 3X40X155MM,"$3,900.00 ",
SX,SX00435560002235,BALLOON ARMADA 035 10X20X135CM,$425.00 ,
SX,SX00435560002236,BALLOON ARMADA 035 10X20X80CM,$425.00 ,
SX,SX00435560002237,BALLOON ARMADA 035 10X40X135CM,$425.00 ,
SX,SX00435560002238,BALLOON ARMADA 035 10X40X80CM,$425.00 ,
SX,SX00435560002239,BALLOON ARMADA 035 10X60X135CM,$425.00 ,
SX,SX00435560002240,BALLOON ARMADA 035 10X60X80CM,$425.00 ,
SX,SX00435560002241,BALLOON ARMADA 035 10X80X135CM,$425.00 ,
SX,SX00435560002242,BALLOON ARMADA 035 10X80X80CM,$425.00 ,
SX,SX00435560002243,BALLOON ARMADA 035 12X20X135CM,$425.00 ,
SX,SX00435560002244,BALLOON ARMADA 035 12X20X80CM,$425.00 ,
SX,SX00435560002245,BALLOON ARMADA 035 12X40X135CM,$425.00 ,
SX,SX00435560002246,BALLOON ARMADA 035 12X40X80CM,$425.00 ,
SX,SX00435560002247,BALLOON ARMADA 035 12X60X135CM,$425.00 ,
SX,SX00435560002248,BALLOON ARMADA 035 12X60X80CM,$425.00 ,
SX,SX00435560002249,BALLOON ARMADA 035 12X80X135CM,$425.00 ,
SX,SX00435560002250,BALLOON ARMADA 035 12X80X80CM,$425.00 ,
SX,SX00435560002251,BALLOON ARMADA 035 14X20X135CM,$425.00 ,
SX,SX00435560002252,BALLOON ARMADA 035 14X20X80CM,$425.00 ,
SX,SX00435560002253,BALLOON ARMADA 035 14X40X135CM,$425.00 ,
SX,SX00435560002254,BALLOON ARMADA 035 14X40X80CM,$425.00 ,
SX,SX00435560002255,BALLOON ARMADA 035 14X60X135CM,$425.00 ,
SX,SX00435560002256,BALLOON ARMADA 035 14X60X80CM,$425.00 ,
SX,SX00435560002257,BALLOON ARMADA 035 14X80X135CM,$425.00 ,
SX,SX00435560002258,BALLOON ARMADA 035 14X80X80CM,$425.00 ,
SX,SX00435560002259,BALLOON ARMADA 035 3X20X135CM,$425.00 ,
SX,SX00435560002260,BALLOON ARMADA 035 3X20X80CM,$425.00 ,
SX,SX00435560002261,BALLOON ARMADA 035 3X40X135CM,$425.00 ,
SX,SX00435560002262,BALLOON ARMADA 035 3X40X80CM,$425.00 ,
SX,SX00435560002263,BALLOON ARMADA 035 4X100X135CM,$425.00 ,
SX,SX00435560002264,BALLOON ARMADA 035 4X100X80CM,$425.00 ,
SX,SX00435560002265,BALLOON ARMADA 035 4X120X135CM,$425.00 ,
SX,SX00435560002266,BALLOON ARMADA 035 4X120X80CM,$425.00 ,
SX,SX00435560002267,BALLOON ARMADA 035 4X150X135CM,$425.00 ,
SX,SX00435560002268,BALLOON ARMADA 035 4X200X135CM,$425.00 ,
SX,SX00435560002269,BALLOON ARMADA 035 4X20X135CM,$425.00 ,
SX,SX00435560002270,BALLOON ARMADA 035 4X20X80CM,$425.00 ,
SX,SX00435560002271,BALLOON ARMADA 035 4X250X135CM,$425.00 ,
SX,SX00435560002272,BALLOON ARMADA 035 4X40X135CM,$425.00 ,
SX,SX00435560002273,BALLOON BRIDGE OCCLUSION,"$3,400.00 ",
SX,SX00435560002274,BALLOON EMERGE MR 12X1.50,$575.00 ,
SX,SX00435560002275,BALLOON EMERGE MR 12X2.00,$575.00 ,
SX,SX00435560002276,BALLOON EMERGE MR 12X2.25,$575.00 ,
SX,SX00435560002277,BALLOON EMERGE MR 12X2.50,$575.00 ,
SX,SX00435560002278,BALLOON EMERGE MR 12X2.75,$575.00 ,
SX,SX00435560002279,BALLOON EMERGE MR 12X3.00,$575.00 ,
SX,SX00435560002280,BALLOON EMERGE MR 12X3.25,$575.00 ,
SX,SX00435560002281,BALLOON EMERGE MR 12X3.50,$575.00 ,
SX,SX00435560002282,BALLOON EMERGE MR 12X3.75,$575.00 ,
SX,SX00435560002283,BALLOON EMERGE MR 12X4.00,$575.00 ,
SX,SX00435560002284,BALLOON EMERGE MR 15X1.20,$575.00 ,
SX,SX00435560002285,BALLOON EMERGE MR 15X1.50,$575.00 ,
SX,SX00435560002286,BALLOON EMERGE MR 15X2.00,$575.00 ,
SX,SX00435560002287,BALLOON EMERGE MR 15X2.25,$575.00 ,
SX,SX00435560002288,BALLOON EMERGE MR 15X2.50,$575.00 ,
SX,SX00435560002289,BALLOON EMERGE MR 15X2.75,$575.00 ,
SX,SX00435560002290,BALLOON EMERGE MR 15X3.00,$575.00 ,
SX,SX00435560002291,BALLOON EMERGE MR 15X3.50,$575.00 ,
SX,SX00435560002292,BALLOON EMERGE MR 15X3.75,$575.00 ,
SX,SX00435560002293,BALLOON EMERGE MR 15X4.00,$575.00 ,
SX,SX00435560002294,BALLOON EMERGE MR 20X1.20,$575.00 ,
SX,SX00435560002295,BALLOON EMERGE MR 20X1.50,$575.00 ,
SX,SX00435560002296,BALLOON EMERGE MR 20X2.00,$575.00 ,
SX,SX00435560002297,BALLOON EMERGE MR 20X2.25,$575.00 ,
SX,SX00435560002298,BALLOON EMERGE MR 20X2.50,$575.00 ,
SX,SX00435560002299,BALLOON EMERGE MR 20X2.75,$575.00 ,
SX,SX00435560002300,BALLOON EMERGE MR 20X3.00,$575.00 ,
SX,SX00435560002301,BALLOON EMERGE MR 20X3.50,$575.00 ,
SX,SX00435560002302,BALLOON EMERGE MR 20X4.00,$575.00 ,
SX,SX00435560002303,BALLOON EMERGE MR 30X2.00,$575.00 ,
SX,SX00435560002304,BALLOON EMERGE MR 30X2.25,$575.00 ,
SX,SX00435560002305,BALLOON EMERGE MR 30X2.50,$575.00 ,
SX,SX00435560002306,BALLOON EMERGE MR 30X2.75,$575.00 ,
SX,SX00435560002307,BALLOON EMERGE MR 30X3.00,$575.00 ,
SX,SX00435560002308,BALLOON EMERGE MR 30X3.50,$575.00 ,
SX,SX00435560002309,BALLOON EMERGE MR 30X4.00,$575.00 ,
SX,SX00435560002310,BALLOON EMERGE MR 8X1.20,$575.00 ,
SX,SX00435560002311,BALLOON EMERGE MR 8X1.50,$575.00 ,
SX,SX00435560002312,BALLOON EMERGE MR 8X2.00,$575.00 ,
SX,SX00435560002313,BALLOON EMERGE MR 8X2.50,$575.00 ,
SX,SX00435560002314,BALLOON EMERGE MR 8X2.75,$575.00 ,
SX,SX00435560002315,BALLOON EMERGE MR 8X3.00,$575.00 ,
SX,SX00435560002316,BALLOON EMERGE MR 8X3.25,$575.00 ,
SX,SX00435560002317,BALLOON EMERGE OTW 8X1.20,$575.00 ,
SX,SX00435560002318,BALLOON EMPIRA 1.50 X 10MM,$450.00 ,
SX,SX00435560002319,BALLOON GATEWAY 1.50X15,"$4,000.00 ",
SX,SX00435560002320,BALLOON GATEWAY 1.50X20,"$4,000.00 ",
SX,SX00435560002321,BALLOON GATEWAY 1.50X9,"$4,000.00 ",
SX,SX00435560002322,BALLOON GATEWAY 2.00X15,"$4,000.00 ",
SX,SX00435560002323,BALLOON GATEWAY 2.00X20,"$4,000.00 ",
SX,SX00435560002324,BALLOON GATEWAY 2.00X9,"$4,000.00 ",
SX,SX00435560002325,BALLOON GATEWAY 2.25X15,"$4,000.00 ",
SX,SX00435560002326,BALLOON GATEWAY 2.25X20,"$4,000.00 ",
SX,SX00435560002327,BALLOON GATEWAY 2.25X9,"$4,000.00 ",
SX,SX00435560002328,BALLOON GATEWAY 2.50X15,"$4,000.00 ",
SX,SX00435560002329,BALLOON GATEWAY 2.50X20,"$4,000.00 ",
SX,SX00435560002330,BALLOON GATEWAY 2.50X9,"$4,000.00 ",
SX,SX00435560002331,BALLOON GATEWAY 2.75X15,"$4,000.00 ",
SX,SX00435560002332,BALLOON GATEWAY 2.75X20,"$4,000.00 ",
SX,SX00435560002333,BALLOON GATEWAY 2.75X9,"$4,000.00 ",
SX,SX00435560002334,BALLOON GATEWAY 3.00X15,"$4,000.00 ",
SX,SX00435560002335,BALLOON GATEWAY 3.00X20,"$4,000.00 ",
SX,SX00435560002336,BALLOON GATEWAY 3.00X9,"$4,000.00 ",
SX,SX00435560002337,BALLOON GATEWAY 3.25X15,"$4,000.00 ",
SX,SX00435560002338,BALLOON GATEWAY 3.25X20,"$4,000.00 ",
SX,SX00435560002339,BALLOON GATEWAY 3.25X9,"$4,000.00 ",
SX,SX00435560002340,BALLOON GATEWAY 3.50X15,"$4,000.00 ",
SX,SX00435560002341,BALLOON GATEWAY 3.50X20,"$4,000.00 ",
SX,SX00435560002342,BALLOON GATEWAY 3.50X9,"$4,000.00 ",
SX,SX00435560002343,BALLOON GATEWAY 3.75X15,"$4,000.00 ",
SX,SX00435560002344,BALLOON GATEWAY 3.75X20,"$4,000.00 ",
SX,SX00435560002345,BALLOON GATEWAY 3.75X9,"$4,000.00 ",
SX,SX00435560002346,BALLOON GATEWAY 4.00X15,"$4,000.00 ",
SX,SX00435560002347,BALLOON GATEWAY 4.00X20,"$4,000.00 ",
SX,SX00435560002348,BALLOON GATEWAY 4.00X9,"$4,000.00 ",
SX,SX00435560002349,BALLOON LPROSCPC RND DISECT ST,"$1,066.73 ",
SX,SX00435560002350,BALLOON LV,$450.00 ,
SX,SX00435560002351,BALLOON MOZEC NC 2.00X10,$379.50 ,
SX,SX00435560002352,BALLOON MOZEC NC 2.00X13,$379.50 ,
SX,SX00435560002353,BALLOON MOZEC NC 2.00X15,$379.50 ,
SX,SX00435560002354,BALLOON MOZEC NC 2.00X18,$379.50 ,
SX,SX00435560002355,BALLOON MOZEC NC 2.00X8,$379.50 ,
SX,SX00435560002356,BALLOON MOZEC NC 2.25X10,$379.50 ,
SX,SX00435560002357,BALLOON MOZEC NC 2.25X13,$379.50 ,
SX,SX00435560002358,BALLOON MOZEC NC 2.25X15,$379.50 ,
SX,SX00435560002359,BALLOON MOZEC NC 2.25X8,$379.50 ,
SX,SX00435560002360,BALLOON MOZEC NC 2.5.00X8,$379.50 ,
SX,SX00435560002361,BALLOON MOZEC NC 2.5X10,$379.50 ,
SX,SX00435560002362,BALLOON MOZEC NC 2.5X13,$379.50 ,
SX,SX00435560002363,BALLOON MOZEC NC 2.5X15,$379.50 ,
SX,SX00435560002364,BALLOON MOZEC NC 2.5X18,$379.50 ,
SX,SX00435560002365,BALLOON MOZEC NC 2.5X23,$379.50 ,
SX,SX00435560002366,BALLOON MOZEC NC 2.5X28,$379.50 ,
SX,SX00435560002367,BALLOON MOZEC NC 2.75X10,$379.50 ,
SX,SX00435560002368,BALLOON MOZEC NC 2.75X13,$379.50 ,
SX,SX00435560002369,BALLOON MOZEC NC 2.75X15,$379.50 ,
SX,SX00435560002370,BALLOON MOZEC NC 2.75X18,$379.50 ,
SX,SX00435560002371,BALLOON MOZEC NC 2.75X8,$379.50 ,
SX,SX00435560002372,BALLOON MOZEC NC 3.00X10,$379.50 ,
SX,SX00435560002373,BALLOON MOZEC NC 3.00X13,$379.50 ,
SX,SX00435560002374,BALLOON MOZEC NC 3.00X15,$379.50 ,
SX,SX00435560002375,BALLOON MOZEC NC 3.00X18,$379.50 ,
SX,SX00435560002376,BALLOON MOZEC NC 3.00X23,$379.50 ,
SX,SX00435560002377,BALLOON MOZEC NC 3.00X28,$379.50 ,
SX,SX00435560002378,BALLOON MOZEC NC 3.00X8,$379.50 ,
SX,SX00435560002379,BALLOON MOZEC NC 3.5X10,$379.50 ,
SX,SX00435560002380,BALLOON MOZEC NC 3.5X13,$379.50 ,
SX,SX00435560002381,BALLOON MOZEC NC 3.5X15,$379.50 ,
SX,SX00435560002382,BALLOON MOZEC NC 3.5X18MM,$379.50 ,
SX,SX00435560002383,BALLOON MOZEC NC 3.5X28,$379.50 ,
SX,SX00435560002384,BALLOON MOZEC NC 3.5X8,$379.50 ,
SX,SX00435560002385,BALLOON MOZEC NC 4.00X10,$379.50 ,
SX,SX00435560002386,BALLOON MOZEC NC 4.00X13,$379.50 ,
SX,SX00435560002387,BALLOON MOZEC NC 4.00X15,$379.50 ,
SX,SX00435560002388,BALLOON MOZEC NC 4.00X18,$379.50 ,
SX,SX00435560002389,BALLOON MOZEC NC 4.00X8,$379.50 ,
SX,SX00435560002390,BALLOON MOZEC NC 4.5X15,$379.50 ,
SX,SX00435560002391,BALLOON MOZEC NC 4.5X8,$379.50 ,
SX,SX00435560002392,BALLOON MOZEC NC PTCA 3.5X23,$379.50 ,
SX,SX00435560002393,BALLOON MOZEC PTCA 1.50X12,$379.50 ,
SX,SX00435560002394,BALLOON MOZEC PTCA 1.50X15,$379.50 ,
SX,SX00435560002395,BALLOON MOZEC PTCA 1.50X9,$379.50 ,
SX,SX00435560002396,BALLOON MOZEC PTCA 2.00X12,$379.50 ,
SX,SX00435560002397,BALLOON MOZEC PTCA 2.00X15,$379.50 ,
SX,SX00435560002398,BALLOON MOZEC PTCA 2.00X9,$379.50 ,
SX,SX00435560002399,BALLOON MOZEC PTCA 2.25X14,$379.50 ,
SX,SX00435560002400,BALLOON MOZEC PTCA 2.25X17,$379.50 ,
SX,SX00435560002401,BALLOON MOZEC PTCA 2.25X20,$379.50 ,
SX,SX00435560002402,BALLOON MOZEC PTCA 2.50X14,$379.50 ,
SX,SX00435560002403,BALLOON MOZEC PTCA 2.50X17,$379.50 ,
SX,SX00435560002404,BALLOON MOZEC PTCA 2.50X20,$379.50 ,
SX,SX00435560002405,BALLOON MOZEC PTCA 2.50X25,$379.50 ,
SX,SX00435560002406,BALLOON MOZEC PTCA 2.50X30,$379.50 ,
SX,SX00435560002407,BALLOON MOZEC PTCA 2.50X9,$379.50 ,
SX,SX00435560002408,BALLOON MOZEC PTCA 2.75X14,$379.50 ,
SX,SX00435560002409,BALLOON MOZEC PTCA 3.00X14,$379.50 ,
SX,SX00435560002410,BALLOON MOZEC PTCA 3.00X17,$379.50 ,
SX,SX00435560002411,BALLOON MOZEC PTCA 3.00X20,$379.50 ,
SX,SX00435560002412,BALLOON MOZEC PTCA 3.00X30,$379.50 ,
SX,SX00435560002413,BALLOON MOZEC PTCA 3.00X9,$379.50 ,
SX,SX00435560002414,BALLOON MOZEC PTCA 3.50X14,$379.50 ,
SX,SX00435560002415,BALLOON MOZEC PTCA 3.50X17,$379.50 ,
SX,SX00435560002416,BALLOON MOZEC PTCA 3.50X20,$379.50 ,
SX,SX00435560002417,BALLOON MOZEC PTCA 3.50X9,$379.50 ,
SX,SX00435560002418,BALLOON MOZEC PTCA 4.00X14,$379.50 ,
SX,SX00435560002419,BALLOON MOZEC PTCA 4.00X9,$379.50 ,
SX,SX00435560002420,BALLOON NC EMPIRA 2.25X10MM,$450.00 ,
SX,SX00435560002421,BALLOON SAPPHIRE  NC 2.00X12,$357.50 ,
SX,SX00435560002422,BALLOON SAPPHIRE  NC 2.00X15,$357.50 ,
SX,SX00435560002423,BALLOON SAPPHIRE  NC 2.00X18,$357.50 ,
SX,SX00435560002424,BALLOON SAPPHIRE  NC 2.25X10,$357.50 ,
SX,SX00435560002425,BALLOON SAPPHIRE  NC 2.25X12,$357.50 ,
SX,SX00435560002426,BALLOON SAPPHIRE  NC 2.25X15,$357.50 ,
SX,SX00435560002427,BALLOON SAPPHIRE  NC 2.25X18,$357.50 ,
